sequence,v115@8gA8IeA8CeB8CeB8AeE8AeI8BeB8Jex6IvhFicBzdB?OkBXgBFnBUsB,v115@8gA8IeA8CeB8CeB8AeE8AeI8BeB8JeZ/IvhFCbB2hB?zdBXgBFnBUsB,v115@8gA8IeA8CeB8CeB8AeE8AeI8BeB8JeZ/IvhFufBcgB?TcBidBFnB3sB,v115@8gA8IeA8CeB8CeB8AeE8AeI8BeB8JeZ/IvhFGbB/hB?FdB8iBzfBKsB,v115@8gA8IeA8CeB8CeB8AeE8AeI8BeB8JeT7IvhF/hBRdB?OkBliB0fBKsB
TOLISZJ,O,O,O,O,O
TOLIZJS,X,X,O,O,X
TOLIZSJ,X,X,O,O,X
TOLJISZ,O,O,X,O,O
TOLJIZS,O,X,O,O,X
TOLJSIZ,O,O,X,O,O
TOLJSZI,O,O,X,O,O
TOLJZIS,O,X,O,O,X
TOLJZSI,O,X,O,O,O
TOLSIJZ,O,O,X,O,O
TOLSIZJ,O,O,O,O,O
TOLSJIZ,O,O,X,O,O
TOLSJZI,O,O,X,O,O
TOLSZIJ,O,O,O,O,O
TOLSZJI,O,O,O,O,O
TOLZIJS,X,X,O,O,X
TOLZISJ,X,X,O,O,X
TOLZJIS,O,X,O,O,X
TOLZJSI,O,X,O,O,O
TOLZSIJ,O,X,O,O,O
TOLZSJI,O,X,O,O,O
TOJILSZ,O,O,X,O,X
TOJILZS,O,X,O,O,X
TOJISLZ,O,O,X,X,X
TOJISZL,O,O,X,X,X
TOJIZLS,O,X,O,O,X
TOJIZSL,X,O,O,X,X
TOJLISZ,O,O,X,O,O
TOJLIZS,O,X,O,O,X
TOJLSIZ,O,O,X,O,O
TOJLSZI,O,O,X,O,O
TOJLZIS,O,X,O,O,X
TOJLZSI,O,X,O,O,O
TOJSILZ,O,O,X,X,X
TOJSIZL,O,O,X,X,X
TOJSLIZ,O,O,X,X,X
TOJSLZI,O,O,X,X,X
TOJSZIL,O,O,X,X,X
TOJSZLI,O,O,X,X,X
TOJZILS,O,X,O,O,X
TOJZISL,X,O,O,X,X
TOJZLIS,O,X,O,O,X
TOJZLSI,O,X,O,O,X
TOJZSIL,O,O,O,X,X
TOJZSLI,O,O,O,X,X
TOSILJZ,O,O,X,X,X
TOSILZJ,O,O,O,X,X
TOSIJLZ,O,O,X,X,X
TOSIJZL,O,O,X,X,X
TOSIZLJ,O,O,O,X,X
TOSIZJL,X,O,O,X,X
TOSLIJZ,O,O,X,X,X
TOSLIZJ,O,O,O,X,X
TOSLJIZ,O,O,X,X,X
TOSLJZI,O,O,X,X,X
TOSLZIJ,O,O,O,X,X
TOSLZJI,O,O,O,X,X
TOSJILZ,O,O,X,X,X
TOSJIZL,O,O,X,X,X
TOSJLIZ,O,O,X,X,X
TOSJLZI,O,O,X,X,X
TOSJZIL,O,O,X,X,X
TOSJZLI,O,O,X,X,X
TOSZILJ,O,O,O,X,X
TOSZIJL,X,O,O,X,X
TOSZLIJ,O,O,O,X,X
TOSZLJI,O,O,O,X,X
TOSZJIL,O,O,O,X,X
TOSZJLI,O,O,O,X,X
TOZILJS,X,X,O,O,X
TOZILSJ,X,X,O,O,X
TOZIJLS,X,X,O,O,X
TOZIJSL,X,O,O,X,X
TOZISLJ,X,O,O,X,X
TOZISJL,X,O,O,X,X
TOZLIJS,X,X,O,O,X
TOZLISJ,X,X,O,O,X
TOZLJIS,O,X,O,O,X
TOZLJSI,O,X,O,O,X
TOZLSIJ,O,X,O,O,X
TOZLSJI,O,X,O,O,X
TOZJILS,O,X,O,O,X
TOZJISL,X,O,O,X,X
TOZJLIS,O,X,O,O,X
TOZJLSI,O,X,O,O,X
TOZJSIL,O,O,O,X,X
TOZJSLI,O,O,O,X,X
TOZSILJ,O,O,O,X,X
TOZSIJL,X,O,O,X,X
TOZSLIJ,O,O,O,X,X
TOZSLJI,O,O,O,X,X
TOZSJIL,O,O,O,X,X
TOZSJLI,O,O,O,X,X
ITLJSZO,O,O,X,O,X
ITLJSOZ,O,O,X,X,X
ITLJZSO,X,X,O,O,X
ITLJZOS,O,X,O,X,X
ITLJOSZ,O,O,X,X,X
