sequence,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhF3cBGeB?TgBliBasB8sB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhF3cBGeB?TgBliBysBUsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeF7IvhF0cBxdB?3gBSnBOoBTsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhF3cBGeB?TgBFnB8sBisB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeU7IvhFRdBSjB?lhB3gBmnBTsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhFGeBTgB?lhB3iB8sBasB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeF7IvhF0cBSjB?3gBRnBmnBTsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhFCeBTgB?lhBXjB2sBUsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhFSjBTgB?lhBmnB3nBUsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhFGeBTgB?lhB3iBysBUsB
ILSTZJO,O,O,O,X,X,X,O,X,X,X
ILSTZOJ,O,O,O,X,X,X,O,X,X,X
ILSTOJZ,X,O,X,X,X,X,O,X,X,O
ILSTOZJ,X,O,O,X,X,X,O,X,X,O
ILSJTZO,O,O,O,X,X,X,O,X,X,X
ILSJTOZ,O,O,O,X,X,X,X,X,X,O
ILSJZTO,O,O,O,O,X,X,O,X,X,X
ILSJZOT,O,O,O,O,X,X,X,X,X,X
ILSJOTZ,O,O,O,X,X,X,X,X,X,O
ILSJOZT,O,O,O,O,X,X,X,X,X,O
ILSZTJO,O,O,O,X,X,X,O,X,X,X
ILSZTOJ,O,O,O,X,X,X,O,X,X,X
ILSZJTO,O,O,O,O,X,X,O,X,X,X
ILSZJOT,O,O,O,O,X,X,X,X,X,X
ILSZOTJ,O,O,O,X,X,X,O,X,X,X
ILSZOJT,O,O,X,X,X,X,X,X,X,X
ILSOTJZ,O,O,X,X,X,X,O,X,X,O
ILSOTZJ,O,O,O,X,X,X,O,X,X,O
ILSOJTZ,O,O,X,X,X,X,O,X,X,O
ILSOJZT,O,O,X,X,X,X,O,X,X,O
ILSOZTJ,O,O,O,X,X,X,O,X,X,O
ILSOZJT,O,O,X,X,X,X,O,X,X,O
ILZTJSO,O,O,O,O,O,X,X,X,X,X
ILZTJOS,O,O,O,X,O,X,X,X,X,X
ILZTSJO,O,O,O,O,O,X,O,X,X,X
ILZTSOJ,O,O,O,X,O,X,O,X,X,X
ILZTOJS,O,O,O,X,O,X,X,X,X,X
ILZTOSJ,O,O,O,X,O,X,X,X,X,X
ILZJTSO,O,O,O,O,O,X,X,X,X,X
ILZJTOS,O,O,O,X,O,X,X,X,X,X
ILZJSTO,O,O,O,O,X,X,O,X,X,X
ILZJSOT,O,O,O,O,X,X,X,X,X,X
ILZJOTS,O,O,O,X,X,X,X,X,X,X
ILZJOST,O,O,O,X,X,X,X,X,X,X
ILZSTJO,O,O,O,X,X,X,O,X,X,X
ILZSTOJ,O,O,O,X,X,X,O,X,X,X
ILZSJTO,O,O,O,O,X,X,O,X,X,X
ILZSJOT,O,O,O,O,X,X,X,X,X,X
ILZSOTJ,O,O,O,X,X,X,O,X,X,X
ILZSOJT,O,O,X,X,X,X,X,X,X,X
ILZOTJS,O,O,O,X,X,X,X,X,X,X
ILZOTSJ,O,O,O,X,X,X,X,X,X,X
ILZOJTS,O,O,X,X,X,X,X,X,X,X
ILZOJST,O,O,X,X,X,X,X,X,X,X
ILZOSTJ,O,O,O,X,X,X,O,X,X,X
ILZOSJT,O,O,X,X,X,X,X,X,X,X
ILOTJSZ,O,O,X,X,X,X,X,X,O,O
ILOTJZS,X,O,X,X,X,X,X,X,O,X
ILOTSJZ,O,O,X,X,X,X,X,X,O,O
ILOTSZJ,O,O,X,X,X,X,X,X,X,O
ILOTZJS,O,O,O,X,X,X,X,X,O,X
ILOTZSJ,O,O,O,X,X,X,X,X,X,O
ILOJTSZ,O,O,X,X,X,X,X,X,O,O
ILOJTZS,X,O,X,X,X,X,X,X,O,X
ILOJSTZ,O,O,X,X,X,X,X,X,O,O
ILOJSZT,O,O,X,X,X,X,X,X,X,O
ILOJZTS,O,O,X,X,X,X,X,X,O,X
ILOJZST,O,O,X,X,X,X,X,X,X,O
ILOSTJZ,O,O,X,X,X,X,X,X,O,O
ILOSTZJ,O,O,O,X,X,X,O,X,X,O
ILOSJTZ,O,O,X,X,X,X,X,X,O,O
ILOSJZT,O,O,X,X,X,X,X,X,X,O
ILOSZTJ,O,O,O,X,X,X,O,X,X,O
ILOSZJT,O,O,X,X,X,X,X,X,X,O
ILOZTJS,O,O,O,X,X,X,X,X,O,X
ILOZTSJ,O,O,O,X,X,X,X,X,X,O
ILOZJTS,O,O,X,X,X,X,X,X,O,X
ILOZJST,O,O,X,X,X,X,X,X,X,O
ILOZSTJ,O,O,O,X,X,X,O,X,X,O
ILOZSJT,O,O,X,X,X,X,X,X,X,O
IJTLSZO,O,O,O,X,O,X,X,X,X,X
IJTLSOZ,O,O,O,X,X,X,X,X,X,X
IJTLZSO,X,O,O,X,O,X,X,X,X,X
IJTLZOS,X,O,O,X,O,X,X,X,X,X
IJTLOSZ,X,O,X,X,X,X,X,X,O,X
IJTLOZS,X,X,O,X,O,X,X,X,O,X
IJTSLZO,O,O,O,X,O,X,X,X,X,X
IJTSLOZ,O,O,O,X,X,X,X,O,X,X
IJTSZLO,O,X,O,O,O,X,X,X,X,X
IJTSZOL,O,X,O,O,X,X,X,X,X,X
IJTSOLZ,O,O,O,X,X,X,X,O,X,X
IJTSOZL,O,X,O,O,X,X,X,O,X,X
IJTZLSO,O,X,O,O,O,X,X,X,X,X
IJTZLOS,O,X,O,X,O,X,X,X,X,X
IJTZSLO,O,X,X,O,O,X,X,X,X,X
IJTZSOL,O,X,X,O,X,X,X,X,X,X
IJTZOLS,X,X,X,X,O,X,X,X,X,X
IJTZOSL,O,X,X,O,X,X,X,X,X,X
IJTOLSZ,X,X,O,X,X,X,X,O,O,X
IJTOLZS,X,X,O,X,O,X,X,X,O,X
IJTOSLZ,X,X,O,X,X,X,X,O,O,X
IJTOSZL,X,X,X,X,X,X,X,O,X,X
IJTOZLS,X,X,O,X,O,X,X,X,O,X
IJTOZSL,X,X,X,X,X,X,X,O,X,X
IJLTSZO,O,O,O,X,O,X,X,X,X,X
IJLTSOZ,O,O,O,X,X,X,X,X,X,X
IJLTZSO,X,O,O,X,O,X,X,X,X,X
IJLTZOS,X,O,O,X,O,X,X,X,X,X
IJLTOSZ,X,O,X,X,X,X,X,X,O,X
IJLTOZS,X,O,O,X,O,X,X,X,O,X
IJLSTZO,O,O,O,X,X,X,O,X,X,X
IJLSTOZ,O,O,O,X,X,X,X,X,X,O
IJLSZTO,O,O,O,O,X,X,O,X,X,X
IJLSZOT,O,O,O,O,X,X,X,X,X,X
IJLSOTZ,O,O,O,X,X,X,X,X,X,O
IJLSOZT,O,O,O,O,X,X,X,X,X,O
IJLZTSO,O,O,O,O,O,X,X,X,X,X
IJLZTOS,O,O,O,X,O,X,X,X,X,X
IJLZSTO,O,O,O,O,X,X,O,X,X,X
IJLZSOT,O,O,O,O,X,X,X,X,X,X
IJLZOTS,O,O,O,X,X,X,X,X,X,X
IJLZOST,O,O,O,X,X,X,X,X,X,X
IJLOTSZ,O,O,X,X,X,X,X,X,O,O
IJLOTZS,X,O,O,X,X,X,X,X,O,X
IJLOSTZ,O,O,O,X,X,X,X,X,O,O
IJLOSZT,O,O,O,X,X,X,X,X,X,O
IJLOZTS,X,O,O,X,X,X,X,X,O,X
IJLOZST,O,O,O,X,X,X,X,X,X,O
IJSTLZO,O,O,O,X,X,X,O,X,X,X
IJSTLOZ,O,O,O,X,X,X,X,O,X,X
IJSTZLO,O,X,O,O,X,X,O,X,X,X
IJSTZOL,O,X,O,O,X,X,X,X,X,X
IJSTOLZ,O,O,O,X,X,X,O,O,X,X
IJSTOZL,O,X,O,O,X,X,O,O,X,X
IJSLTZO,O,O,O,X,X,X,O,X,X,X
IJSLTOZ,O,O,O,X,X,X,X,O,X,X
IJSLZTO,O,O,O,O,X,X,O,X,X,X
IJSLZOT,O,O,O,O,X,X,X,X,X,X
IJSLOTZ,O,O,O,X,X,X,X,O,X,X
IJSLOZT,O,O,O,O,X,X,X,O,X,X
IJSZTLO,O,X,O,O,X,X,O,X,X,X
IJSZTOL,O,X,O,O,X,X,X,X,X,X
IJSZLTO,O,O,O,O,X,X,O,X,X,X
IJSZLOT,O,O,O,O,X,X,X,X,X,X
IJSZOTL,O,X,O,O,X,X,X,X,X,X
IJSZOLT,O,O,X,O,X,X,X,X,X,X
IJSOTLZ,O,O,O,X,X,X,O,O,X,X
IJSOTZL,O,X,O,O,X,X,O,O,X,X
IJSOLTZ,O,O,O,X,X,X,O,O,X,X
IJSOLZT,O,O,O,O,X,X,O,O,X,X
IJSOZTL,O,X,O,O,X,X,O,O,X,X
IJSOZLT,O,O,O,O,X,X,O,O,X,X
IJZTLSO,O,X,O,O,O,X,X,X,X,X
IJZTLOS,O,X,O,X,O,X,X,X,X,X
IJZTSLO,O,X,X,O,O,X,X,X,X,X
IJZTSOL,O,X,X,O,X,X,X,X,X,X
IJZTOLS,O,X,X,O,O,X,X,X,X,X
IJZTOSL,O,X,X,O,X,X,X,X,X,X
IJZLTSO,O,O,O,O,O,X,X,X,X,X
IJZLTOS,O,O,O,X,O,X,X,X,X,X
IJZLSTO,O,O,O,O,X,X,O,X,X,X
IJZLSOT,O,O,O,O,X,X,X,X,X,X
IJZLOTS,O,O,O,X,X,X,X,X,X,X
IJZLOST,O,O,O,X,X,X,X,X,X,X
IJZSTLO,O,X,O,O,X,X,O,X,X,X
IJZSTOL,O,X,O,O,X,O,X,X,X,X
IJZSLTO,O,O,O,O,X,X,O,X,X,X
IJZSLOT,O,O,O,O,X,X,X,X,X,X
IJZSOTL,O,X,O,O,X,O,X,X,X,X
IJZSOLT,O,O,X,O,X,O,X,X,X,X
IJZOTLS,O,X,X,O,X,X,X,X,X,X
IJZOTSL,O,X,X,O,X,O,X,X,X,X
IJZOLTS,O,X,X,O,X,X,X,X,X,X
IJZOLST,O,X,X,O,X,O,X,X,X,X
IJZOSTL,O,X,X,O,X,O,X,X,X,X
IJZOSLT,O,X,X,O,X,O,X,X,X,X
IJOTLSZ,O,O,O,X,X,X,X,O,O,O
IJOTLZS,X,O,O,X,X,X,X,X,O,X
IJOTSLZ,O,O,O,X,X,X,X,O,O,X
IJOTSZL,O,X,O,O,X,X,X,O,X,X
IJOTZLS,O,X,O,O,X,X,X,X,O,X
IJOTZSL,O,X,X,O,X,O,X,O,X,X
IJOLTSZ,O,O,O,X,X,X,X,O,O,O
IJOLTZS,X,O,O,X,X,X,X,X,O,X
IJOLSTZ,O,O,O,X,X,X,X,O,O,O
IJOLSZT,O,O,O,O,X,X,X,O,X,O
IJOLZTS,O,O,O,O,X,X,X,X,O,X
IJOLZST,O,O,O,O,X,O,X,X,X,O
IJOSTLZ,O,O,O,X,X,X,X,O,O,X
IJOSTZL,O,X,O,O,X,X,X,O,X,X
IJOSLTZ,O,O,O,X,X,X,X,O,O,O
IJOSLZT,O,O,O,O,X,X,X,O,X,O
IJOSZTL,O,X,O,O,X,O,X,O,X,X
IJOSZLT,O,O,O,O,X,O,X,O,X,X
IJOZTLS,O,X,O,O,X,X,X,X,O,X
IJOZTSL,O,X,X,O,X,O,X,O,X,X
IJOZLTS,O,O,O,O,X,X,X,X,O,X
IJOZLST,O,O,O,O,X,O,X,X,X,O
IJOZSTL,O,X,O,O,X,O,X,O,X,X
IJOZSLT,O,O,O,O,X,O,X,O,X,X
ISTLJZO,O,O,O,X,X,X,O,X,X,X
ISTLJOZ,O,O,O,X,X,X,X,X,X,X
ISTLZJO,O,O,O,X,X,X,O,X,X,X
ISTLZOJ,O,O,O,X,X,X,O,X,X,X
ISTLOJZ,X,O,X,X,X,X,O,X,X,X
ISTLOZJ,X,X,O,X,X,X,O,X,X,X
ISTJLZO,O,O,O,X,X,X,O,X,X,X
ISTJLOZ,O,O,O,X,X,X,X,X,X,X
ISTJZLO,O,X,O,O,X,X,O,X,X,X
ISTJZOL,O,X,O,O,X,X,X,X,X,X
ISTJOLZ,O,O,O,X,X,X,O,X,X,X
ISTJOZL,O,X,O,O,X,X,O,X,X,X
ISTZLJO,O,X,O,X,X,X,O,X,X,X
ISTZLOJ,X,X,O,X,X,X,O,X,X,X
ISTZJLO,O,X,O,O,X,X,O,X,X,X
ISTZJOL,O,X,O,O,X,X,X,X,X,X
ISTZOLJ,X,X,O,X,X,X,O,X,X,X
ISTZOJL,O,X,O,X,X,X,O,X,X,X
ISTOLJZ,X,X,O,X,X,X,O,X,X,X
ISTOLZJ,X,X,O,X,X,X,O,X,X,X
ISTOJLZ,X,X,O,X,X,X,O,X,X,X
ISTOJZL,X,X,O,X,X,X,O,X,X,X
ISTOZLJ,X,X,O,X,X,X,O,X,X,X
ISTOZJL,X,X,O,X,X,X,O,X,X,X
ISLTJZO,O,O,O,X,X,X,O,X,X,X
ISLTJOZ,O,O,O,X,X,X,X,X,X,X
ISLTZJO,O,O,O,X,X,X,O,X,X,X
ISLTZOJ,O,O,O,X,X,X,O,X,X,X
ISLTOJZ,X,O,X,X,X,X,O,X,X,X
ISLTOZJ,X,O,O,X,X,X,O,X,X,X
ISLJTZO,O,O,O,X,X,X,O,X,X,X
ISLJTOZ,O,O,O,X,X,X,X,X,X,X
ISLJZTO,O,O,O,O,X,X,O,X,X,X
ISLJZOT,O,O,O,O,X,X,X,X,X,X
ISLJOTZ,O,O,O,X,X,X,X,X,X,X
ISLJOZT,O,O,O,O,X,X,X,X,X,X
ISLZTJO,O,O,O,X,X,X,O,X,X,X
ISLZTOJ,O,O,O,X,X,X,O,X,X,X
ISLZJTO,O,O,O,O,X,X,O,X,X,X
ISLZJOT,O,O,O,O,X,X,X,X,X,X
ISLZOTJ,O,O,O,X,X,X,O,X,X,X
ISLZOJT,O,O,X,X,X,X,X,X,X,X
ISLOTJZ,O,O,X,X,X,X,O,X,X,X
ISLOTZJ,O,O,O,X,X,X,O,X,X,X
ISLOJTZ,O,O,X,X,X,X,O,X,X,X
ISLOJZT,O,O,X,X,X,X,O,X,X,X
ISLOZTJ,O,O,O,X,X,X,O,X,X,X
ISLOZJT,O,O,X,X,X,X,O,X,X,X
ISJTLZO,O,O,O,X,X,X,O,X,X,X
ISJTLOZ,O,O,O,X,X,X,X,O,X,X
ISJTZLO,O,X,O,O,X,X,O,X,X,X
ISJTZOL,O,X,O,O,X,X,X,X,X,X
ISJTOLZ,O,O,O,X,X,X,O,O,X,X
ISJTOZL,O,X,O,O,X,X,O,O,X,X
ISJLTZO,O,O,O,X,X,X,O,X,X,X
ISJLTOZ,O,O,O,X,X,X,X,O,X,X
ISJLZTO,O,O,O,O,X,X,O,X,X,X
ISJLZOT,O,O,O,O,X,X,X,X,X,X
ISJLOTZ,O,O,O,X,X,X,X,O,X,X
ISJLOZT,O,O,O,O,X,X,X,O,X,X
ISJZTLO,O,X,O,O,X,X,O,X,X,X
ISJZTOL,O,X,O,O,X,X,X,X,X,X
ISJZLTO,O,O,O,O,X,X,O,X,X,X
ISJZLOT,O,O,O,O,X,X,X,X,X,X
ISJZOTL,O,X,O,O,X,X,X,X,X,X
ISJZOLT,O,O,X,O,X,X,X,X,X,X
ISJOTLZ,O,O,O,X,X,X,O,O,X,X
ISJOTZL,O,X,O,O,X,X,O,O,X,X
ISJOLTZ,O,O,O,X,X,X,O,O,X,X
ISJOLZT,O,O,O,O,X,X,O,O,X,X
ISJOZTL,O,X,O,O,X,X,O,O,X,X
ISJOZLT,O,O,O,O,X,X,O,O,X,X
ISZTLJO,O,X,O,O,X,X,O,X,X,X
ISZTLOJ,X,X,O,X,X,X,O,X,X,X
ISZTJLO,O,X,O,O,X,X,O,X,X,X
ISZTJOL,O,X,O,O,X,X,X,X,X,X
ISZTOLJ,O,X,O,X,X,X,O,X,X,X
ISZTOJL,O,X,O,O,X,X,O,X,X,X
ISZLTJO,O,O,O,X,X,X,O,X,X,X
ISZLTOJ,O,O,O,X,X,X,O,X,X,X
ISZLJTO,O,O,O,O,X,X,O,X,X,X
ISZLJOT,O,O,O,O,X,X,X,X,X,X
ISZLOTJ,O,O,O,X,X,X,O,X,X,X
ISZLOJT,O,O,X,X,X,X,X,X,X,X
ISZJTLO,O,X,O,O,X,X,O,X,X,X
ISZJTOL,O,X,O,O,X,X,X,X,X,X
ISZJLTO,O,O,O,O,X,X,O,X,X,X
ISZJLOT,O,O,O,O,X,X,X,X,X,X
ISZJOTL,O,X,O,O,X,X,X,X,X,X
ISZJOLT,O,O,X,O,X,X,X,X,X,X
ISZOTLJ,O,X,O,X,X,X,O,X,X,X
ISZOTJL,O,X,O,O,X,X,O,X,X,X
ISZOLTJ,O,X,O,X,X,X,O,X,X,X
ISZOLJT,O,X,O,O,X,X,O,X,X,X
ISZOJTL,O,X,O,O,X,X,O,X,X,X
ISZOJLT,O,X,O,O,X,X,O,X,X,X
ISOTLJZ,O,O,O,X,X,X,O,X,X,X
ISOTLZJ,O,O,O,X,X,X,O,X,X,X
ISOTJLZ,O,O,O,X,X,X,O,O,X,X
ISOTJZL,O,X,O,O,X,X,O,O,X,X
ISOTZLJ,O,X,O,X,X,X,O,X,X,X
ISOTZJL,O,X,O,O,X,X,O,X,X,X
ISOLTJZ,O,O,O,X,X,X,O,X,X,X
ISOLTZJ,O,O,O,X,X,X,O,X,X,X
ISOLJTZ,O,O,O,X,X,X,O,O,X,X
ISOLJZT,O,O,O,O,X,X,O,O,X,X
ISOLZTJ,O,O,O,X,X,X,O,X,X,X
ISOLZJT,O,O,O,O,X,X,O,X,X,X
ISOJTLZ,O,O,O,X,X,X,O,O,X,X
ISOJTZL,O,X,O,O,X,X,O,O,X,X
ISOJLTZ,O,O,O,X,X,X,O,O,X,X
ISOJLZT,O,O,O,O,X,X,O,O,X,X
ISOJZTL,O,X,O,O,X,X,O,O,X,X
ISOJZLT,O,O,O,O,X,X,O,O,X,X
ISOZTLJ,O,X,O,X,X,X,O,X,X,X
ISOZTJL,O,X,O,O,X,X,O,X,X,X
ISOZLTJ,O,O,O,X,X,X,O,X,X,X
ISOZLJT,O,O,O,O,X,X,O,X,X,X
ISOZJTL,O,X,O,O,X,X,O,O,X,X
ISOZJLT,O,O,O,O,X,X,O,O,X,X
IZTLJSO,O,X,X,O,O,X,X,X,X,X
IZTLJOS,O,X,X,X,O,X,X,X,X,X
IZTLSJO,O,X,X,O,O,X,O,X,X,X
IZTLSOJ,O,X,X,X,O,X,O,X,X,X
IZTLOJS,O,X,X,X,O,X,X,X,X,X
IZTLOSJ,O,X,X,X,O,X,X,X,X,X
IZTJLSO,O,X,X,O,O,X,X,X,X,X
IZTJLOS,O,X,X,X,O,X,X,X,X,X
IZTJSLO,O,X,X,O,O,X,X,X,X,X
IZTJSOL,O,X,X,O,X,X,X,X,X,X
IZTJOLS,O,X,X,O,O,X,X,X,X,X
IZTJOSL,O,X,X,O,X,X,X,X,X,X
IZTSLJO,O,X,X,O,O,X,O,X,X,X
IZTSLOJ,X,X,X,X,O,X,O,X,X,X
IZTSJLO,O,X,X,O,X,X,O,X,X,X
IZTSJOL,O,X,X,O,X,O,X,X,X,X
IZTSOLJ,O,X,X,O,X,O,O,X,X,X
IZTSOJL,O,X,X,O,X,O,X,X,X,X
IZTOLJS,O,X,X,O,O,X,X,X,X,X
IZTOLSJ,O,X,X,O,O,O,X,X,X,X
IZTOJLS,O,X,X,O,O,X,X,X,X,X
IZTOJSL,O,X,X,O,O,O,X,X,X,X
IZTOSLJ,O,X,X,O,O,O,X,X,X,X
IZTOSJL,O,X,X,O,X,O,X,X,X,X
IZLTJSO,O,O,X,O,O,X,X,X,X,X
IZLTJOS,O,O,X,X,O,X,X,X,X,X
IZLTSJO,O,O,X,O,O,X,O,X,X,X
IZLTSOJ,O,O,X,X,O,X,O,X,X,X
IZLTOJS,O,O,X,X,O,X,X,X,X,X
IZLTOSJ,O,O,X,X,O,X,X,X,X,X
IZLJTSO,O,O,X,O,O,X,X,X,X,X
IZLJTOS,O,O,X,X,O,X,X,X,X,X
IZLJSTO,O,O,X,O,X,X,O,X,X,X
IZLJSOT,O,O,X,O,X,X,X,X,X,X
IZLJOTS,O,O,X,X,X,X,X,X,X,X
IZLJOST,O,O,X,X,X,X,X,X,X,X
IZLSTJO,O,O,X,X,X,X,O,X,X,X
IZLSTOJ,O,O,X,X,X,X,O,X,X,X
IZLSJTO,O,O,X,O,X,X,O,X,X,X
IZLSJOT,O,O,X,O,X,X,X,X,X,X
IZLSOTJ,O,O,X,X,X,X,O,X,X,X
IZLSOJT,O,O,X,X,X,X,X,X,X,X
IZLOTJS,O,O,X,X,X,X,X,X,X,X
IZLOTSJ,O,O,X,X,X,X,X,X,X,X
IZLOJTS,O,O,X,X,X,X,X,X,X,X
IZLOJST,O,O,X,X,X,X,X,X,X,X
IZLOSTJ,O,O,X,X,X,X,O,X,X,X
IZLOSJT,O,O,X,X,X,X,X,X,X,X
IZJTLSO,O,X,X,O,O,X,X,X,X,X
IZJTLOS,O,X,X,X,O,X,X,X,X,X
IZJTSLO,O,X,X,O,O,X,X,X,X,X
IZJTSOL,O,X,X,O,X,X,X,X,X,X
IZJTOLS,O,X,X,O,O,X,X,X,X,X
IZJTOSL,O,X,X,O,X,X,X,X,X,X
IZJLTSO,O,O,X,O,O,X,X,X,X,X
IZJLTOS,O,O,X,X,O,X,X,X,X,X
IZJLSTO,O,O,X,O,X,X,O,X,X,X
IZJLSOT,O,O,X,O,X,X,X,X,X,X
IZJLOTS,O,O,X,X,X,X,X,X,X,X
IZJLOST,O,O,X,X,X,X,X,X,X,X
IZJSTLO,O,X,X,O,X,X,O,X,X,X
IZJSTOL,O,X,X,O,X,O,X,X,X,X
IZJSLTO,O,O,X,O,X,X,O,X,X,X
IZJSLOT,O,O,X,O,X,X,X,X,X,X
IZJSOTL,O,X,X,O,X,O,X,X,X,X
IZJSOLT,O,O,X,O,X,O,X,X,X,X
IZJOTLS,O,X,X,O,X,X,X,X,X,X
IZJOTSL,O,X,X,O,X,O,X,X,X,X
IZJOLTS,O,X,X,O,X,X,X,X,X,X
IZJOLST,O,X,X,O,X,O,X,X,X,X
IZJOSTL,O,X,X,O,X,O,X,X,X,X
IZJOSLT,O,X,X,O,X,O,X,X,X,X
IZSTLJO,O,X,X,O,X,X,O,X,X,X
IZSTLOJ,X,X,X,X,X,X,O,X,X,X
IZSTJLO,O,X,X,O,X,X,O,X,X,X
IZSTJOL,O,X,X,O,X,O,X,X,X,X
IZSTOLJ,O,X,X,X,X,O,O,X,X,X
IZSTOJL,O,X,X,O,X,O,O,X,X,X
IZSLTJO,O,O,X,X,X,X,O,X,X,X
IZSLTOJ,O,O,X,X,X,X,O,X,X,X
IZSLJTO,O,O,X,O,X,X,O,X,X,X
IZSLJOT,O,O,X,O,X,X,X,X,X,X
IZSLOTJ,O,O,X,X,X,X,O,X,X,X
IZSLOJT,O,O,X,X,X,X,X,X,X,X
IZSJTLO,O,X,X,O,X,X,O,X,X,X
IZSJTOL,O,X,X,O,X,O,X,X,X,X
IZSJLTO,O,O,X,O,X,X,O,X,X,X
IZSJLOT,O,O,X,O,X,X,X,X,X,X
IZSJOTL,O,X,X,O,X,O,X,X,X,X
IZSJOLT,O,O,X,O,X,O,X,X,X,X
IZSOTLJ,O,X,X,X,X,O,O,X,X,X
IZSOTJL,O,X,X,O,X,O,O,X,X,X
IZSOLTJ,O,X,X,X,X,O,O,X,X,X
IZSOLJT,O,X,X,O,X,O,O,X,X,X
IZSOJTL,O,X,X,O,X,O,O,X,X,X
IZSOJLT,O,X,X,O,X,O,O,X,X,X
IZOTLJS,O,X,X,O,O,X,X,X,X,X
IZOTLSJ,O,X,X,O,O,O,X,X,X,X
IZOTJLS,O,X,X,O,O,X,X,X,X,X
IZOTJSL,O,X,X,O,O,O,X,X,X,X
IZOTSLJ,O,X,X,O,O,O,X,X,X,X
IZOTSJL,O,X,X,O,X,O,X,X,X,X
IZOLTJS,O,X,X,O,O,X,X,X,X,X
IZOLTSJ,O,X,X,O,O,O,X,X,X,X
IZOLJTS,O,X,X,O,O,X,X,X,X,X
IZOLJST,O,X,X,O,X,O,X,X,X,X
IZOLSTJ,O,X,X,X,X,O,O,X,X,X
IZOLSJT,O,X,X,O,X,O,X,X,X,X
IZOJTLS,O,X,X,O,O,X,X,X,X,X
IZOJTSL,O,X,X,O,O,O,X,X,X,X
IZOJLTS,O,X,X,O,O,X,X,X,X,X
IZOJLST,O,X,X,O,X,O,X,X,X,X
IZOJSTL,O,X,X,O,X,O,X,X,X,X
IZOJSLT,O,X,X,O,X,O,X,X,X,X
IZOSTLJ,O,X,X,O,X,O,O,X,X,X
IZOSTJL,O,X,X,O,X,O,X,X,X,X
IZOSLTJ,O,X,X,X,X,O,O,X,X,X
IZOSLJT,O,X,X,O,X,O,X,X,X,X
IZOSJTL,O,X,X,O,X,O,X,X,X,X
IZOSJLT,O,X,X,O,X,O,X,X,X,X
IOTLJSZ,O,O,O,X,X,X,X,O,O,O
IOTLJZS,X,O,O,X,O,X,X,X,O,X
IOTLSJZ,O,O,X,X,X,X,O,X,O,O
IOTLSZJ,O,O,O,X,O,X,O,X,X,O
IOTLZJS,O,O,O,X,O,X,X,X,O,X
IOTLZSJ,O,O,O,X,O,O,O,X,X,O
IOTJLSZ,O,O,O,X,O,X,X,O,O,O
IOTJLZS,X,O,O,X,O,X,X,X,O,X
IOTJSLZ,O,O,O,X,O,X,X,O,O,X
IOTJSZL,O,X,X,O,O,X,X,O,X,X
IOTJZLS,O,X,O,O,O,X,X,X,O,X
IOTJZSL,O,X,X,O,O,O,X,O,X,X
IOTSLJZ,O,O,X,X,X,X,O,X,O,O
IOTSLZJ,O,O,X,X,O,X,O,X,X,O
IOTSJLZ,O,O,X,X,X,X,O,O,O,X
IOTSJZL,O,X,X,O,X,X,O,O,X,X
IOTSZLJ,O,X,X,X,O,O,O,X,X,X
IOTSZJL,O,X,X,O,X,O,O,X,X,X
IOTZLJS,O,X,X,O,O,X,X,X,O,X
IOTZLSJ,O,X,X,O,O,O,O,X,X,O
IOTZJLS,O,X,X,O,O,X,X,X,O,X
IOTZJSL,O,X,X,O,O,O,X,O,X,X
IOTZSLJ,O,X,X,O,O,O,O,X,X,X
IOTZSJL,O,X,X,O,X,O,O,X,X,X
IOLTJSZ,O,O,O,X,X,X,X,O,O,O
IOLTJZS,X,O,O,X,O,X,X,X,O,X
IOLTSJZ,O,O,O,X,X,X,O,X,O,O
IOLTSZJ,O,O,O,X,O,X,O,X,X,O
IOLTZJS,O,O,O,X,O,X,X,X,O,X
IOLTZSJ,O,O,O,X,O,O,O,X,X,O
IOLJTSZ,O,O,O,X,O,X,X,O,O,O
IOLJTZS,X,O,O,X,O,X,X,X,O,X
IOLJSTZ,O,O,O,X,X,X,O,O,O,O
IOLJSZT,O,O,O,O,X,X,O,O,X,O
IOLJZTS,O,O,O,O,O,X,X,X,O,X
IOLJZST,O,O,O,O,X,O,O,X,X,O
IOLSTJZ,O,O,O,X,X,X,O,X,O,O
IOLSTZJ,O,O,O,X,X,X,O,X,X,O
IOLSJTZ,O,O,O,X,X,X,O,O,O,O
IOLSJZT,O,O,O,O,X,X,O,O,X,O
IOLSZTJ,O,O,O,X,X,X,O,X,X,O
IOLSZJT,O,O,O,O,X,X,O,X,X,O
IOLZTJS,O,O,O,O,O,X,X,X,O,X
IOLZTSJ,O,O,O,O,O,O,O,X,X,O
