sequence,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhF3cBGeB?TgBliBasB8sB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhF3cBGeB?TgBliBysBUsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeF7IvhF0cBxdB?3gBSnBOoBTsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhF3cBGeB?TgBFnB8sBisB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeU7IvhFRdBSjB?lhB3gBmnBTsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhFGeBTgB?lhB3iB8sBasB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeF7IvhF0cBSjB?3gBRnBmnBTsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhFCeBTgB?lhBXjB2sBUsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhFSjBTgB?lhBmnB3nBUsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhFGeBTgB?lhB3iBysBUsB
TJIZSLO,O,X,X,O,O,X,X,X,X,X
TJIZSOL,O,X,X,O,X,X,X,X,X,X
TJIZOLS,X,X,X,X,O,X,X,X,X,X
TJIZOSL,O,X,X,O,X,X,X,X,X,X
TJIOLSZ,X,X,O,X,X,X,X,O,O,X
TJIOLZS,X,X,O,X,O,X,X,X,O,X
TJIOSLZ,X,X,O,X,X,X,X,O,O,X
TJIOSZL,X,X,X,X,X,X,X,O,X,X
TJIOZLS,X,X,O,X,O,X,X,X,O,X
TJIOZSL,X,X,X,X,X,X,X,O,X,X
TJLISZO,O,O,O,X,O,X,X,X,X,X
TJLISOZ,O,O,O,X,X,X,X,X,X,X
TJLIZSO,X,O,O,X,O,X,X,X,X,X
TJLIZOS,X,O,O,X,O,X,X,X,X,X
TJLIOSZ,X,O,X,X,X,X,X,X,O,X
TJLIOZS,X,O,O,X,O,X,X,X,O,X
TJLSIZO,O,O,O,X,O,X,X,X,X,X
TJLSIOZ,O,O,O,X,X,X,X,O,X,O
TJLSZIO,X,O,O,X,O,X,X,X,X,X
TJLSZOI,X,O,O,X,O,X,X,O,X,O
TJLSOIZ,O,O,O,X,X,X,X,O,O,O
TJLSOZI,X,O,O,X,X,X,X,O,O,O
TJLZISO,X,O,O,X,O,X,X,X,X,X
TJLZIOS,X,O,O,X,O,X,X,X,X,X
TJLZSIO,X,O,O,X,O,X,X,X,X,X
TJLZSOI,X,O,O,X,O,X,X,X,X,X
TJLZOIS,X,O,O,X,O,X,X,X,O,X
TJLZOSI,X,O,X,X,O,X,X,X,O,X
TJLOISZ,O,O,O,X,X,X,X,O,O,O
TJLOIZS,X,O,O,X,O,X,X,X,O,X
TJLOSIZ,O,O,O,X,X,X,X,O,O,O
TJLOSZI,X,O,O,X,X,X,X,O,O,O
TJLOZIS,X,O,O,X,O,X,X,X,O,X
TJLOZSI,X,O,O,X,O,X,X,X,O,X
TJSILZO,O,O,O,X,O,X,X,X,X,X
TJSILOZ,O,O,O,X,X,X,X,O,X,X
TJSIZLO,O,X,O,O,O,X,X,X,X,X
TJSIZOL,O,X,O,O,X,X,X,X,X,X
TJSIOLZ,O,O,O,X,X,X,X,O,X,X
TJSIOZL,O,X,O,O,X,X,X,O,X,X
TJSLIZO,X,X,O,X,O,X,X,X,X,X
TJSLIOZ,X,X,O,X,X,X,X,O,X,X
TJSLZIO,X,X,O,X,O,X,X,X,X,X
TJSLZOI,X,X,O,X,O,X,X,O,X,X
TJSLOIZ,X,X,O,X,X,X,X,O,O,X
TJSLOZI,X,X,O,X,X,X,X,O,O,X
TJSZILO,X,X,O,X,O,X,X,X,X,X
TJSZIOL,X,X,O,X,X,X,X,X,X,X
TJSZLIO,X,X,O,X,O,X,X,X,X,X
TJSZLOI,X,X,O,X,O,X,X,O,X,X
TJSZOIL,X,X,O,X,X,X,X,O,X,X
TJSZOLI,X,X,O,X,X,X,X,O,X,X
TJSOILZ,O,O,O,X,X,X,X,O,O,X
TJSOIZL,O,X,O,O,X,X,X,O,X,X
TJSOLIZ,X,X,O,X,X,X,X,O,O,X
TJSOLZI,X,X,O,X,X,X,X,O,O,X
TJSOZIL,X,X,O,X,X,X,X,O,X,X
TJSOZLI,X,X,O,X,X,X,X,O,X,X
TJZILSO,O,X,O,O,O,X,X,X,X,X
TJZILOS,O,X,O,X,O,X,X,X,X,X
TJZISLO,O,X,X,O,O,X,X,X,X,X
TJZISOL,O,X,X,O,X,X,X,X,X,X
TJZIOLS,O,X,X,O,O,X,X,X,X,X
TJZIOSL,O,X,X,O,X,X,X,X,X,X
TJZLISO,O,X,O,O,O,X,X,X,X,X
TJZLIOS,O,X,O,X,O,X,X,X,X,X
TJZLSIO,O,X,O,O,O,X,X,X,X,X
TJZLSOI,O,X,X,O,O,X,X,X,X,X
