sequence,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jei6IvhFWhBxcB?3fBTiB0mBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jem6IvhFRcBSiB?TfBUhBXnBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8JeO/IvhF8fBfhB?xcBqmBTiBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jem7IvhFfiB6iB?xfBTfB0mBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jey/IvhFGdBRhB?TfBUhBXnBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jey/IvhFfhBxcB?umBcnBTfBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8JeK/IvhFzaBGdB?RhBUhBXnBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jei6IvhFWhBTdB?3fBxmB0mBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8JeO/IvhF8fBzbB?CdBxmBXnBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jex6IvhF0cBTfB?mgBSnBXnBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jex6IvhFXdBTfB?mgBSnB0mBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Je2/IvhFCcBxhB?3fBTiB0mBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jei6IvhFzbB3fB?xmBumBcnBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jez7IvhFWiB0kB?xmBikBXnBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8JeC8IvhFTdB3fB?xmB2pB0mBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jem7IvhFxfB3hB?cnBTfBCnBlpB
TIOJLZS,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TIOJSLZ,O,O,X,X,X,X,X,O,X,O,O,X,O,X,X,X
TIOJSZL,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TIOJZLS,X,O,X,X,X,X,X,X,O,O,O,X,X,O,X,X
TIOJZSL,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TIOSLJZ,O,O,X,X,X,X,X,O,X,O,O,X,O,X,X,X
TIOSLZJ,O,O,X,X,X,X,X,O,O,X,O,X,O,X,X,X
TIOSJLZ,O,O,X,X,X,X,X,O,X,O,O,X,O,X,X,X
TIOSJZL,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TIOSZLJ,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X
TIOSZJL,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X
TIOZLJS,X,O,O,X,X,X,X,X,O,O,O,X,X,O,X,X
TIOZLSJ,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TIOZJLS,X,O,O,X,X,X,X,X,O,O,O,X,X,O,X,X
TIOZJSL,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TIOZSLJ,O,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X
TIOZSJL,O,O,X,O,X,X,X,O,O,X,X,X,O,X,X,O
TLIJSZO,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X
TLIJZSO,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X
TLIJZOS,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X
TLIJOSZ,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TLIJOZS,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TLISJZO,X,X,O,X,O,X,O,O,X,X,X,X,O,X,O,X
TLISJOZ,X,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X
TLISZJO,X,X,O,X,O,O,O,O,O,X,X,X,O,X,O,X
TLISZOJ,X,X,O,X,X,X,O,O,O,X,X,X,O,X,O,X
TLISOJZ,X,X,O,X,O,X,O,O,X,X,O,X,O,X,X,X
TLISOZJ,X,X,O,X,X,X,O,O,O,X,O,X,O,X,X,X
TLIZJSO,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X
TLIZJOS,X,X,O,X,O,X,O,X,O,O,X,O,X,X,X,X
TLIZSJO,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X,O
TLIZSOJ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLIZOJS,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X
TLIZOSJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TLIOJZS,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TLIOSJZ,X,X,O,X,X,X,O,O,X,O,O,X,O,X,X,X
TLIOSZJ,X,X,O,X,X,X,O,O,O,X,O,X,O,X,X,X
TLIOZJS,X,X,O,X,X,X,O,X,O,O,O,X,X,X,X,X
TLIOZSJ,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TLJISZO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJISOZ,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X
TLJIZSO,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLJIZOS,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X
TLJIOSZ,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TLJIOZS,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X
TLJSIZO,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TLJSIOZ,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X
TLJSZIO,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
TLJSZOI,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X
TLJSOIZ,O,O,O,X,O,X,O,O,X,O,O,X,X,X,X,X
TLJSOZI,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
TLJZISO,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TLJZIOS,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLJZSIO,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TLJZSOI,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
TLJZOIS,O,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X
TLJZOSI,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X
TLJOISZ,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TLJOIZS,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TLJOSIZ,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
TLJOSZI,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
TLJOZIS,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X
TLJOZSI,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TLSIJZO,O,O,O,X,O,X,O,O,X,X,X,X,O,X,O,X
TLSIJOZ,O,O,X,X,O,X,O,O,X,X,O,X,O,X,X,X
TLSIZJO,O,O,O,X,O,O,O,O,X,X,X,X,O,X,O,X
TLSIZOJ,O,O,O,X,X,X,O,O,X,X,X,X,O,X,O,X
TLSIOJZ,O,O,O,X,O,X,O,O,X,X,O,X,O,X,X,X
TLSIOZJ,O,O,O,X,X,X,O,O,X,X,O,X,O,X,X,X
TLSJIZO,O,O,O,X,O,X,O,O,X,X,X,X,O,X,X,X
TLSJIOZ,O,O,X,X,O,X,O,O,X,X,O,X,O,X,X,X
TLSJZIO,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
TLSJZOI,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X
TLSJOIZ,O,O,O,X,O,X,O,O,X,O,O,X,O,X,X,X
TLSJOZI,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
TLSZIJO,O,O,O,X,O,O,O,O,X,X,X,O,O,X,X,X
TLSZIOJ,O,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
TLSZJIO,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
TLSZJOI,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X
TLSZOIJ,O,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X
TLSZOJI,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X
TLSOIJZ,O,O,O,X,O,X,O,O,X,O,O,X,O,X,X,X
TLSOIZJ,O,O,O,X,X,X,O,O,X,X,O,X,O,X,X,X
TLSOJIZ,O,O,O,X,O,X,O,O,X,O,O,X,O,X,X,X
TLSOJZI,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
TLSOZIJ,O,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X
TLSOZJI,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X
TLZIJSO,X,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X
TLZIJOS,X,O,O,X,O,X,O,X,O,O,X,O,X,X,X,X
TLZISJO,X,O,O,O,X,O,X,X,O,X,X,O,X,X,X,O
TLZISOJ,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLZIOJS,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X
TLZIOSJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZJISO,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X
TLZJIOS,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X
TLZJSIO,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
TLZJSOI,O,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X
TLZJOIS,O,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X
TLZJOSI,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
TLZSIJO,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,O
TLZSIOJ,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLZSJIO,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,O
TLZSJOI,O,O,O,O,X,O,O,X,X,O,O,X,X,X,X,X
TLZSOIJ,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TLZSOJI,O,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X
TLZOIJS,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X
TLZOISJ,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TLZOJIS,O,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X
TLZOJSI,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
TLZOSIJ,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TLZOSJI,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X
TLOIJSZ,O,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X
TLOIJZS,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TLOISJZ,O,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X
TLOISZJ,O,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X
TLOIZJS,X,X,O,X,X,X,O,X,O,O,O,X,X,X,X,X
TLOIZSJ,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TLOJISZ,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TLOJIZS,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TLOJSIZ,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
TLOJSZI,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
TLOJZIS,X,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X
TLOJZSI,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TLOSIJZ,O,O,O,X,O,X,O,X,X,O,O,X,O,X,X,X
TLOSIZJ,O,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X
TLOSJIZ,O,O,O,X,O,X,O,X,X,O,O,X,O,X,X,X
TLOSJZI,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
TLOSZIJ,O,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X
TLOSZJI,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X
TLOZIJS,X,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X
TLOZISJ,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TLOZJIS,X,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X
TLOZJSI,X,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
TLOZSIJ,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TLOZSJI,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X
TJILSZO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TJILSOZ,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X
TJILZSO,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X
TJILZOS,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X
TJILOSZ,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TJILOZS,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TJISLZO,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TJISLOZ,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X
TJISZLO,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X
TJISZOL,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X
TJISOLZ,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TJISOZL,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TJIZLSO,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X
TJIZLOS,X,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X
TJIZSLO,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X,O
TJIZSOL,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O
TJIZOLS,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X
TJIZOSL,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TJIOLSZ,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TJIOLZS,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TJIOSLZ,O,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X
TJIOSZL,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TJIOZLS,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TJIOZSL,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TJLISZO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TJLISOZ,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X
TJLIZSO,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJLIZOS,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X
TJLIOSZ,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TJLIOZS,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X
TJLSIZO,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TJLSIOZ,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X
TJLSZIO,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
TJLSZOI,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X
TJLSOIZ,O,O,O,X,O,X,O,O,X,O,O,X,X,X,X,X
TJLSOZI,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
TJLZISO,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TJLZIOS,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TJLZSIO,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TJLZSOI,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
TJLZOIS,O,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X
TJLZOSI,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X
TJLOISZ,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TJLOIZS,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TJLOSIZ,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
TJLOSZI,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
TJLOZIS,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X
TJLOZSI,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TJSILZO,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X
TJSILOZ,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X
TJSIZLO,O,O,O,X,O,X,O,O,X,X,X,X,O,X,X,X
TJSIZOL,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
TJSIOLZ,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X
TJSIOZL,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TJSLIZO,O,O,O,X,O,X,O,O,X,X,X,X,O,X,X,X
TJSLIOZ,O,O,X,X,O,X,O,O,X,X,O,X,O,X,X,X
TJSLZIO,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
TJSLZOI,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X
TJSLOIZ,O,O,O,X,O,X,O,O,X,O,O,X,O,X,X,X
TJSLOZI,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
TJSZILO,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
TJSZIOL,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
