sequence,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhFGeBihBUjBF?nBTrB3sB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhFCeB/mBUiBT?jB2wBlsB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeU8IvhFFdBXeBSoBT?mB2sBxwB,v115@zgC8GeD8FeD8FeD8EeE8DeB8Jex9IvhFlhB3iBcoBK?rBGmBTsB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhF+iBTeBlhBK?rBXoBUsB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeaBJvhFGeBRiBFnBX?oBTrBUsB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeF8IvhFxdB3iBcoBO?rBzmBSxB,v115@zgC8GeD8FeD8FeD8EeE8DeB8Jex9IvhFlhBcnBTjBK?rBGmB3sB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeaBJvhFxdBGjBFnB8?sBTrBfsB,v115@zgC8GeD8FeD8FeD8EeE8DeB8Je38IvhFciBTeBamBW?sBFoBxwB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhFGeBliBimBX?oBUsBTrB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeT+IvhFxhBUhB/sBF?oBCnB2wB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhFThBcoBXnBl?nB2wBCtB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeG9IvhFTeB3hBxnB0?rBlsBarB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhFXiBTjB0rBl?sBOrBCtB
TISJZOL,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X
TISJOLZ,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TISJOZL,X,O,X,X,O,X,X,X,X,O,O,O,X,X,X
TISZLJO,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X
TISZLOJ,O,X,X,X,O,X,X,X,X,O,O,X,X,O,X
TISZJLO,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O
TISZJOL,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O
TISZOLJ,X,X,X,X,O,X,X,X,X,O,X,O,X,O,X
TISZOJL,O,X,X,X,X,X,X,X,X,O,O,O,X,O,X
TISOLJZ,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TISOLZJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISOJLZ,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TISOJZL,O,X,X,X,O,X,X,X,X,O,O,O,X,X,X
TISOZLJ,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X
TISOZJL,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X
TIZLJSO,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O
TIZLJOS,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TIZLSJO,X,X,O,X,O,X,O,X,X,X,O,X,X,O,X
TIZLSOJ,X,X,O,X,O,X,X,X,X,O,O,X,X,O,X
TIZLOJS,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TIZLOSJ,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X
TIZJLSO,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O
TIZJLOS,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TIZJSLO,O,O,O,X,X,X,O,X,X,O,X,X,X,O,O
TIZJSOL,O,O,X,X,X,X,O,X,X,O,X,X,X,O,O
TIZJOLS,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
TIZJOSL,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O
TIZSLJO,X,X,O,X,O,X,O,X,X,X,O,X,X,O,X
TIZSLOJ,X,X,O,X,O,X,X,X,X,O,O,X,X,O,X
TIZSJLO,X,X,O,X,X,X,O,X,X,O,O,X,X,O,O
TIZSJOL,X,X,X,X,X,X,O,X,X,O,O,X,X,O,O
TIZSOLJ,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X
TIZSOJL,X,X,O,X,X,X,O,X,X,O,O,X,X,O,O
TIZOLJS,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X
TIZOLSJ,X,X,O,X,X,X,X,X,X,O,X,O,X,O,X
TIZOJLS,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X
TIZOJSL,X,X,O,X,X,X,O,X,X,O,X,O,X,O,O
TIZOSLJ,X,X,O,X,X,X,X,X,X,O,X,O,X,O,X
TIZOSJL,X,X,O,X,X,X,O,X,X,O,X,O,X,O,O
TIOLJSZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TIOLJZS,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TIOLSJZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TIOLSZJ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TIOLZJS,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TIOLZSJ,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X
TIOJLSZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TIOJLZS,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TIOJSLZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TIOJSZL,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TIOJZLS,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TIOJZSL,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X
TIOSLJZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOSLZJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOSJLZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOSJZL,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TIOSZLJ,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X
TIOSZJL,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X
TIOZLJS,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TIOZLSJ,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X
TIOZJLS,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TIOZJSL,O,X,O,X,X,X,X,X,X,O,X,O,X,O,O
TIOZSLJ,X,X,O,X,X,X,X,X,X,O,X,O,X,O,X
TIOZSJL,O,X,O,X,X,X,X,X,X,O,X,O,X,O,O
TLIJSZO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIJZSO,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TLIJZOS,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TLIJOSZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOZS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TLISJZO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLISJOZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLISZJO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLISZOJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLISOJZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLISOZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJSO,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O
TLIZJOS,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TLIZSJO,X,X,O,O,O,X,O,X,X,X,X,X,X,O,X
TLIZSOJ,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X
TLIZOJS,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
TLIZOSJ,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X
TLIOJSZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TLIOJZS,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TLIOSJZ,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X
TLIOSZJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLIOZJS,X,O,O,X,O,X,X,X,X,O,X,O,X,X,X
TLIOZSJ,X,X,O,O,O,X,X,X,X,O,X,O,X,O,X
TLJISZO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJISOZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJIZSO,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TLJIZOS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TLJIOSZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TLJIOZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TLJSIZO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJSZIO,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLJSZOI,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLJSOIZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJSOZI,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJZISO,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TLJZIOS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TLJZSIO,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TLJZSOI,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TLJZOIS,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TLJZOSI,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X
TLJOISZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TLJOIZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TLJOSIZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSZI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TLJOZSI,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TLSIJZO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TLSIZJO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TLSIOZJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLSJIZO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X
TLSJZIO,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TLSJZOI,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TLSJOIZ,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X
TLSJOZI,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TLSZIJO,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TLSZIOJ,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TLSZJIO,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TLSZJOI,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X
TLSZOIJ,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TLSZOJI,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TLSOIJZ,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
TLSOIZJ,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
TLSOJIZ,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
TLSOJZI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLSOZIJ,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TLSOZJI,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TLZIJSO,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O
TLZIJOS,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TLZISJO,X,X,O,O,O,X,O,X,X,X,X,X,X,O,X
TLZISOJ,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X
TLZIOJS,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
TLZIOSJ,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X
TLZJISO,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O
TLZJIOS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLZJSIO,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O
TLZJSOI,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O
TLZJOIS,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TLZJOSI,X,X,O,X,O,X,O,X,O,X,X,X,X,X,O
TLZSIJO,X,X,O,O,O,X,O,X,X,X,X,X,X,O,X
TLZSIOJ,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X
TLZSJIO,X,X,O,O,O,X,O,X,X,X,X,X,X,O,O
TLZSJOI,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O
TLZSOIJ,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZSOJI,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O
TLZOIJS,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X
TLZOISJ,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TLZOJIS,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TLZOJSI,X,X,X,O,O,X,O,X,O,X,X,X,X,X,O
TLZOSIJ,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZOSJI,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O
TLOIJSZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLOIJZS,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
TLOISJZ,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X
TLOISZJ,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
TLOIZJS,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X
TLOIZSJ,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X
TLOJISZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLOJIZS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLOJSIZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOJSZI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOJZIS,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TLOJZSI,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TLOSIJZ,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X
TLOSIZJ,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
TLOSJIZ,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X
TLOSJZI,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TLOSZIJ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLOSZJI,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLOZIJS,X,O,X,X,O,X,O,X,O,O,X,X,X,X,X
TLOZISJ,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TLOZJIS,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TLOZJSI,X,O,X,O,O,X,O,X,O,X,X,X,X,X,O
TLOZSIJ,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TLOZSJI,X,X,X,O,O,O,X,X,O,X,X,X,X,X,O
TJILSZO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJILSOZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJILZSO,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TJILZOS,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TJILOSZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TJILOZS,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TJISLZO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJISLOZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJISZLO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TJISZOL,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TJISOLZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJISOZL,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
TJIZLSO,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O
TJIZLOS,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TJIZSLO,X,O,O,X,X,X,O,X,X,O,X,X,X,O,O
TJIZSOL,X,O,X,X,X,X,O,X,X,O,X,X,X,O,O
TJIZOLS,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X
TJIZOSL,X,X,X,X,X,X,O,X,X,O,X,O,X,O,O
TJIOLSZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TJIOLZS,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TJIOSLZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TJIOSZL,X,O,O,X,X,X,X,X,X,O,X,O,O,X,X
TJIOZLS,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TJIOZSL,X,X,O,X,X,X,X,X,X,O,X,O,O,O,X
TJLISZO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLISOZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLIZSO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLIZOS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLIOSZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TJLIOZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TJLSIZO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLSIOZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLSZIO,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLSZOI,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLSOIZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLSOZI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLZISO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLZIOS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLZSIO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLZSOI,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLZOIS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TJLZOSI,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TJLOISZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TJLOIZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TJLOSIZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLOSZI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLOZIS,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TJLOZSI,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TJSILZO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSILOZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TJSIZLO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSIZOL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJSIOLZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJSIOZL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJSLIZO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSLIOZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TJSLZIO,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJSLZOI,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJSLOIZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TJSLOZI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSZILO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSZIOL,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
TJSZLIO,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJSZLOI,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJSZOIL,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X
TJSZOLI,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TJSOILZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJSOIZL,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X
TJSOLIZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJSOLZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSOZIL,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X
TJSOZLI,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TJZILSO,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O
TJZILOS,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TJZISLO,X,O,O,X,X,X,O,X,X,O,X,X,X,O,O
TJZISOL,X,O,X,X,X,X,O,X,X,O,X,X,X,O,O
TJZIOLS,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X
TJZIOSL,X,X,X,X,X,X,O,X,X,O,X,O,X,O,O
TJZLISO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
TJZLIOS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJZLSIO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
TJZLSOI,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
TJZLOIS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TJZLOSI,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O
