sequence,v115@7gB8HeC8EeA8AeD8CeG8CeE8JeT6IvhFxbB6iBXgBl?hBcqBerB,v115@7gB8HeC8EeA8AeD8CeG8CeE8Je//IvhFGbB0cB6iBZ?lBVmBzqB,v115@7gB8HeC8EeA8AeD8CeG8CeE8Jex6IvhF0cB6iBlfB3?gBOrBTqB,v115@7gB8HeC8EeA8AeD8CeG8CeE8JeT6IvhFXgBxhBGiBF?mB0qBiqB,v115@7gB8HeC8EeA8AeD8CeG8CeE8JeT6IvhFxcBlgBGiBa?qBXmB0qB,v115@7gB8HeC8EeA8AeD8CeG8CeE8JeT6IvhFxcBGiBFlBX?mBiqB0qB,v115@7gB8HeC8EeA8AeD8CeG8CeE8Jex6IvhF6iB0fBlgB3?hBOrBTqB,v115@7gB8HeC8EeA8AeD8CeG8CeE8JeT6IvhFxcBGiBUlBF?mBKqBfrB,v115@7gB8HeC8EeA8AeD8CeG8CeE8Je//IvhFFbBxcBUhBG?iBTlByvB,v115@7gB8HeC8EeA8AeD8CeG8CeE8JeT6IvhF6iBlhBRlBO?qBXmB0qB,v115@7gB8HeC8EeA8AeD8CeG8CeE8JeT6IvhFxbB6iBfmBl?hBUlB2vB,v115@7gB8HeC8EeA8AeD8CeG8CeE8Je//IvhFZhBTgBCiBG?iB0qBFqB
TILOSZJ,X,O,O,X,X,X,X,X,X,X,X,X
TILOZJS,O,O,O,X,X,X,X,X,X,O,X,X
TILOZSJ,X,O,O,X,X,X,X,X,X,X,X,X
TIJLSZO,O,O,O,X,X,X,X,X,X,X,X,X
TIJLSOZ,O,O,O,X,X,X,X,X,X,O,X,X
TIJLZSO,O,O,O,X,X,X,X,O,X,X,X,X
TIJLZOS,O,X,O,X,X,X,X,X,X,O,X,X
TIJLOSZ,O,X,O,X,X,X,X,X,X,O,X,X
TIJLOZS,O,X,O,X,X,X,X,X,X,O,X,X
TIJSLZO,O,O,O,X,X,O,X,X,X,X,X,X
TIJSLOZ,O,O,O,X,X,O,X,X,X,X,X,X
TIJSZLO,O,O,O,X,X,O,X,O,X,X,X,X
TIJSZOL,O,O,O,X,X,O,X,O,X,X,X,X
TIJSOLZ,O,O,O,O,X,O,X,X,X,X,X,X
TIJSOZL,X,O,O,O,X,O,X,X,X,X,X,X
TIJZLSO,O,O,O,X,X,X,X,O,X,X,X,X
TIJZLOS,O,X,O,X,X,X,X,O,X,X,X,X
TIJZSLO,O,O,O,X,X,X,X,O,X,X,X,X
TIJZSOL,O,O,O,X,X,X,X,O,X,X,X,X
TIJZOLS,O,X,O,X,X,X,X,O,X,X,X,X
TIJZOSL,O,X,X,X,X,X,X,O,X,X,X,X
TIJOLSZ,O,X,O,X,X,X,X,X,X,O,X,X
TIJOLZS,O,X,O,X,X,X,X,X,X,O,X,X
TIJOSLZ,O,X,O,O,X,O,X,X,X,X,X,X
TIJOSZL,X,X,O,O,X,O,X,X,X,X,X,X
TIJOZLS,O,X,O,X,X,X,X,O,X,X,X,X
TIJOZSL,O,X,O,X,X,X,X,O,X,X,X,X
TISLJZO,O,O,O,X,X,X,X,X,X,X,X,X
TISLJOZ,O,O,X,X,X,X,X,X,X,O,X,X
TISLZJO,X,O,O,X,X,X,X,X,X,X,X,X
TISLZOJ,X,O,O,X,X,X,X,X,X,X,X,X
TISLOJZ,O,O,O,O,X,X,X,X,X,O,X,X
TISLOZJ,X,O,O,X,X,X,X,X,X,X,X,X
TISJLZO,O,O,O,X,X,O,X,X,X,X,X,X
TISJLOZ,O,O,X,X,X,O,X,X,X,X,X,X
TISJZLO,O,O,O,X,X,O,X,X,X,X,X,X
TISJZOL,O,O,X,X,X,O,X,X,X,X,X,X
TISJOLZ,O,O,X,O,X,O,X,X,X,X,X,X
TISJOZL,X,O,X,O,X,O,X,X,X,X,X,X
TISZLJO,X,O,O,X,X,X,X,X,X,X,X,X
TISZLOJ,X,O,O,X,X,X,X,X,X,X,X,X
TISZJLO,X,O,X,X,X,X,X,X,X,X,X,X
TISZJOL,X,O,X,X,X,X,X,X,X,X,X,X
TISZOLJ,X,O,X,X,X,X,X,X,X,X,X,X
TISZOJL,X,O,X,O,X,X,X,X,X,X,X,X
TISOLJZ,O,O,O,O,X,X,X,X,X,O,X,X
TISOLZJ,X,O,O,X,X,X,X,X,X,X,X,X
TISOJLZ,X,O,O,O,X,O,X,X,X,X,X,X
TISOJZL,X,O,O,O,X,O,X,X,X,X,X,X
TISOZLJ,X,O,O,O,X,X,X,X,X,X,X,X
TISOZJL,X,O,O,O,X,X,X,X,X,X,X,X
TIZLJSO,O,O,O,X,X,X,X,X,X,X,X,X
TIZLJOS,O,X,O,X,X,X,X,X,X,O,X,X
TIZLSJO,X,O,O,X,X,X,X,X,X,X,X,X
TIZLSOJ,X,O,O,X,X,X,X,X,X,X,X,X
TIZLOJS,O,X,O,X,X,X,X,X,X,O,X,X
TIZLOSJ,X,O,O,X,X,X,X,X,X,X,X,X
TIZJLSO,O,O,O,X,X,X,X,O,X,X,X,X
TIZJLOS,O,X,O,X,X,X,X,O,X,X,X,X
TIZJSLO,O,O,O,X,X,X,X,O,X,X,X,X
TIZJSOL,O,O,X,X,X,X,X,O,X,X,X,X
TIZJOLS,O,X,O,X,X,X,X,O,X,X,X,X
TIZJOSL,O,X,X,X,X,X,X,O,X,X,X,X
TIZSLJO,X,O,O,X,X,X,X,X,X,X,X,X
TIZSLOJ,X,O,O,X,X,X,X,X,X,X,X,X
TIZSJLO,X,O,X,X,X,X,X,X,X,X,X,X
TIZSJOL,X,O,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,X,O,X,O,X,X,X,X,X,X,X,X
TIZSOJL,X,O,X,O,X,X,X,X,X,X,X,X
TIZOLJS,O,X,O,X,X,X,X,X,X,O,X,X
TIZOLSJ,X,O,O,X,X,X,X,X,X,X,X,X
TIZOJLS,X,X,O,X,X,X,X,O,X,X,X,X
TIZOJSL,X,X,O,X,X,X,X,X,X,X,X,X
TIZOSLJ,X,O,O,O,X,X,X,X,X,X,X,X
TIZOSJL,X,O,O,O,X,X,X,X,X,X,X,X
TIOLJSZ,O,O,O,X,X,X,X,X,X,O,X,X
TIOLJZS,O,O,O,X,X,X,X,X,X,O,X,X
TIOLSJZ,O,O,O,O,X,X,X,X,X,O,X,X
TIOLSZJ,X,O,O,X,X,X,X,X,X,X,X,X
TIOLZJS,O,O,O,X,X,X,X,X,X,O,X,X
TIOLZSJ,X,O,O,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,O,O,X,X,X,X,X,X,O,X,X
TIOJLZS,O,O,O,X,X,X,X,X,X,O,X,X
TIOJSLZ,O,O,O,O,X,O,X,X,X,X,X,X
TIOJSZL,X,O,O,O,X,O,X,X,X,X,X,X
TIOJZLS,O,O,O,X,X,X,X,O,X,X,X,X
TIOJZSL,O,O,O,X,X,X,X,X,X,X,X,X
TIOSLJZ,O,O,O,O,X,X,X,X,X,O,X,X
TIOSLZJ,X,O,O,X,X,X,X,X,X,X,X,X
TIOSJLZ,X,O,O,O,X,O,X,X,X,X,X,X
TIOSJZL,X,O,O,O,X,O,X,X,X,X,X,X
TIOSZLJ,X,O,O,O,X,X,X,X,X,X,X,X
TIOSZJL,X,O,O,O,X,X,X,X,X,X,X,X
TIOZLJS,O,O,O,X,X,X,X,X,X,O,X,X
TIOZLSJ,X,O,O,X,X,X,X,X,X,X,X,X
TIOZJLS,X,O,O,X,X,X,X,O,X,X,X,X
TIOZJSL,X,O,O,X,X,X,X,X,X,X,X,X
TIOZSLJ,X,O,O,O,X,X,X,X,X,X,X,X
TIOZSJL,X,O,O,O,X,X,X,X,X,X,X,X
TLIJSZO,O,O,O,X,X,X,X,X,X,X,X,X
TLIJSOZ,O,O,O,X,X,X,X,X,X,O,X,X
TLIJZSO,O,O,O,X,X,X,X,X,X,X,X,X
TLIJZOS,O,X,O,X,X,X,X,X,X,O,X,X
TLIJOSZ,O,X,O,X,O,X,X,X,X,O,X,X
TLIJOZS,O,X,O,X,X,X,X,X,X,O,X,X
TLISJZO,O,O,O,X,X,X,X,X,X,X,X,X
TLISJOZ,O,O,X,X,X,X,X,X,X,O,X,X
TLISZJO,X,O,O,X,X,X,X,X,X,X,X,X
TLISZOJ,X,O,O,X,X,X,X,X,X,X,X,X
TLISOJZ,O,O,O,O,X,X,X,X,X,O,X,X
TLISOZJ,X,O,O,X,X,X,X,X,X,X,X,X
TLIZJSO,O,O,O,X,X,X,X,X,X,X,X,X
TLIZJOS,O,X,O,X,X,X,X,X,X,O,X,X
TLIZSJO,X,O,O,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,O,O,X,X,X,X,X,X,X,X,X
TLIZOJS,O,X,O,X,X,X,X,X,X,O,X,X
TLIZOSJ,X,O,O,X,X,X,X,X,X,X,X,X
TLIOJSZ,O,O,O,X,O,X,X,X,X,O,X,X
TLIOJZS,O,O,O,X,X,X,X,X,X,O,X,X
TLIOSJZ,O,O,O,O,X,X,X,X,X,O,X,X
TLIOSZJ,X,O,O,X,X,X,X,X,X,X,X,X
TLIOZJS,O,O,O,X,X,X,X,X,X,O,X,X
TLIOZSJ,X,O,O,X,X,X,X,X,X,X,X,X
TLJISZO,O,O,O,X,O,X,X,X,O,X,X,X
TLJISOZ,O,O,O,X,O,X,X,X,O,O,X,X
TLJIZSO,O,O,O,X,X,X,X,O,O,X,X,X
TLJIZOS,O,X,O,X,X,X,X,X,X,O,X,X
TLJIOSZ,O,X,O,X,O,X,X,X,O,O,X,X
TLJIOZS,O,X,O,X,X,X,X,X,X,O,X,X
TLJSIZO,O,O,O,X,O,O,X,X,O,X,X,X
TLJSIOZ,O,O,O,X,O,O,X,X,O,X,X,X
TLJSZIO,O,O,O,X,O,O,X,X,O,X,X,X
TLJSZOI,O,O,O,X,O,O,X,X,O,X,X,X
TLJSOIZ,O,X,O,X,O,O,X,X,O,X,X,X
TLJSOZI,O,O,O,X,O,O,X,X,O,X,X,X
TLJZISO,O,O,O,X,X,X,X,O,O,X,X,X
TLJZIOS,O,X,O,X,X,X,X,O,X,X,X,X
TLJZSIO,O,O,O,X,X,X,X,O,O,X,X,X
TLJZSOI,O,O,O,X,X,X,X,O,O,X,X,X
TLJZOIS,O,X,O,X,X,X,X,O,X,X,X,X
TLJZOSI,O,X,O,X,O,X,X,O,X,X,X,X
TLJOISZ,O,X,O,X,O,X,X,X,O,O,X,X
TLJOIZS,O,X,O,X,X,X,X,X,X,O,X,X
TLJOSIZ,O,X,O,X,O,O,X,X,O,X,X,X
TLJOSZI,O,X,O,X,O,O,X,X,O,X,X,X
TLJOZIS,O,X,O,X,X,X,X,O,O,X,X,X
TLJOZSI,O,X,O,X,O,X,X,O,O,X,X,X
TLSIJZO,O,O,O,X,O,X,X,X,O,X,X,X
TLSIJOZ,O,O,X,X,O,X,X,X,O,O,X,X
TLSIZJO,X,O,O,X,X,X,O,X,O,X,X,X
TLSIZOJ,X,O,O,X,X,X,O,X,O,X,X,X
TLSIOJZ,O,O,O,O,O,X,X,X,X,O,X,X
TLSIOZJ,O,O,O,X,X,X,X,X,X,X,X,X
TLSJIZO,O,O,O,X,O,O,X,X,O,X,X,X
TLSJIOZ,O,O,O,X,O,O,X,X,O,X,X,X
TLSJZIO,O,O,O,X,O,O,O,X,O,X,X,X
TLSJZOI,O,O,O,X,O,O,O,X,O,X,X,X
TLSJOIZ,O,X,O,X,O,O,X,X,O,X,X,X
TLSJOZI,O,O,O,X,O,O,X,X,O,X,X,X
TLSZIJO,X,O,O,X,X,X,O,X,O,X,X,X
TLSZIOJ,O,O,O,X,X,X,O,X,O,X,X,O
TLSZJIO,O,O,X,X,O,X,O,X,O,X,X,X
TLSZJOI,O,O,X,X,O,X,O,X,O,X,X,X
TLSZOIJ,O,O,X,X,X,X,O,X,O,X,X,O
TLSZOJI,O,O,X,X,O,X,O,X,O,X,X,X
TLSOIJZ,O,O,O,O,O,X,X,X,O,O,X,X
TLSOIZJ,O,O,O,X,X,X,O,X,O,X,X,X
TLSOJIZ,O,O,O,X,O,O,X,X,O,X,X,X
TLSOJZI,O,O,O,X,O,O,O,X,O,X,X,X
TLSOZIJ,O,O,O,X,X,X,O,X,O,X,X,X
TLSOZJI,O,O,O,X,O,X,O,X,O,X,X,X
TLZIJSO,O,O,O,X,X,X,O,X,X,X,X,X
TLZIJOS,O,X,O,X,X,X,X,X,X,O,X,X
TLZISJO,X,O,O,X,X,X,O,X,O,X,X,X
TLZISOJ,X,O,O,X,X,X,O,X,O,X,X,O
TLZIOJS,O,X,O,X,X,X,O,X,X,O,X,X
TLZIOSJ,X,O,O,X,X,X,O,X,X,X,X,O
TLZJISO,O,O,O,X,X,X,O,O,O,X,X,X
TLZJIOS,O,X,O,X,X,X,X,O,X,X,X,X
TLZJSIO,O,O,O,X,X,X,O,O,O,X,X,X
TLZJSOI,O,O,O,X,X,X,O,O,O,X,X,X
TLZJOIS,O,X,O,X,X,X,X,O,X,X,X,X
TLZJOSI,O,X,O,X,O,X,X,O,X,X,X,X
TLZSIJO,X,O,O,X,X,X,O,X,O,X,O,X
TLZSIOJ,O,O,O,X,X,X,O,X,O,X,O,O
TLZSJIO,O,O,X,X,X,X,O,X,O,X,O,X
TLZSJOI,O,O,X,X,X,X,O,X,O,X,O,X
TLZSOIJ,O,O,X,X,X,X,O,X,O,X,O,O
TLZSOJI,O,O,X,X,X,X,O,X,O,X,O,X
TLZOIJS,O,O,O,X,X,X,O,X,X,O,X,X
TLZOISJ,X,O,O,X,X,X,O,X,X,X,X,O
TLZOJIS,O,O,O,X,X,X,O,O,X,X,X,X
TLZOJSI,O,O,O,X,O,X,O,O,X,X,X,X
TLZOSIJ,X,O,O,X,X,X,O,X,X,X,O,O
TLZOSJI,O,O,O,X,X,X,O,X,X,X,O,X
TLOIJSZ,O,O,O,X,O,X,X,X,X,O,X,X
TLOIJZS,O,O,O,X,X,X,X,X,X,O,X,X
TLOISJZ,O,O,O,O,X,X,X,X,X,O,X,X
TLOISZJ,X,O,O,X,X,X,O,X,X,X,X,X
TLOIZJS,O,O,O,X,X,X,O,X,X,O,X,X
TLOIZSJ,X,O,O,X,X,X,O,X,X,X,X,X
TLOJISZ,O,O,O,X,O,X,X,X,O,O,X,X
TLOJIZS,O,O,O,X,X,X,X,X,X,O,X,X
TLOJSIZ,O,O,O,X,O,O,X,X,O,X,X,X
TLOJSZI,O,O,O,X,O,O,O,X,O,X,X,X
TLOJZIS,O,O,O,X,X,X,O,O,O,X,X,X
TLOJZSI,O,O,O,X,O,X,O,O,O,X,X,X
TLOSIJZ,O,O,O,X,O,X,X,X,O,O,X,X
TLOSIZJ,O,O,O,X,X,X,O,X,O,X,X,X
TLOSJIZ,O,O,O,X,O,O,X,X,O,X,X,X
TLOSJZI,O,O,O,X,O,O,O,X,O,X,X,X
TLOSZIJ,O,O,O,X,X,X,O,X,O,X,X,X
TLOSZJI,O,O,O,X,O,X,O,X,O,X,X,X
TLOZIJS,O,O,O,X,X,X,O,X,X,O,X,X
TLOZISJ,X,O,O,X,X,X,O,X,O,X,X,X
TLOZJIS,O,O,O,X,X,X,O,O,O,X,X,X
TLOZJSI,O,O,O,X,O,X,O,O,O,X,X,X
TLOZSIJ,X,O,O,X,X,X,O,X,O,X,O,X
TLOZSJI,O,O,O,X,X,X,O,X,O,X,O,X
TJILSZO,O,O,O,X,O,X,X,X,O,X,X,X
TJILSOZ,O,O,O,X,O,X,X,X,O,O,X,X
TJILZSO,O,O,O,X,X,X,X,O,O,X,X,X
TJILZOS,O,X,O,X,X,X,X,X,X,O,X,X
TJILOSZ,O,X,O,X,O,X,X,X,O,O,X,X
TJILOZS,O,X,O,X,X,X,X,X,X,O,X,X
TJISLZO,O,O,O,X,O,O,X,X,O,X,X,X
TJISLOZ,O,O,O,X,O,O,X,X,O,X,X,X
TJISZLO,O,O,O,X,X,O,X,O,O,X,X,X
TJISZOL,O,O,O,X,X,O,X,O,O,X,X,X
TJISOLZ,O,O,O,O,X,O,X,X,O,X,X,X
TJISOZL,X,O,O,O,X,O,X,X,O,X,X,X
TJIZLSO,O,O,O,X,X,X,X,O,O,X,X,X
TJIZLOS,O,X,O,X,X,X,X,O,X,X,X,X
TJIZSLO,O,O,O,X,X,X,X,O,O,X,X,X
TJIZSOL,O,O,O,X,X,X,X,O,O,X,X,X
TJIZOLS,O,X,O,X,X,X,X,O,X,X,X,X
TJIZOSL,O,X,X,X,X,X,X,O,X,X,X,X
TJIOLSZ,O,X,O,X,O,X,X,X,X,O,X,X
TJIOLZS,O,X,O,X,X,X,X,X,X,O,X,X
TJIOSLZ,O,X,O,O,X,O,X,X,X,X,X,X
TJIOSZL,X,X,O,O,X,O,X,X,X,X,X,X
TJIOZLS,O,X,O,X,X,X,X,O,X,X,X,X
TJIOZSL,O,X,O,X,X,X,X,O,X,X,X,X
TJLISZO,O,O,O,X,O,X,X,X,O,X,X,X
TJLISOZ,O,O,O,X,O,X,X,X,O,O,X,X
TJLIZSO,O,O,O,X,X,X,X,O,O,X,X,X
TJLIZOS,O,X,O,X,X,X,X,X,X,O,X,X
TJLIOSZ,O,X,O,X,O,X,X,X,O,O,X,X
TJLIOZS,O,X,O,X,X,X,X,X,X,O,X,X
TJLSIZO,O,O,O,X,O,O,X,X,O,X,X,X
TJLSIOZ,O,O,O,X,O,O,X,X,O,X,X,X
TJLSZIO,O,O,O,X,O,O,X,X,O,X,X,X
TJLSZOI,O,O,O,X,O,O,X,X,O,X,X,X
TJLSOIZ,O,X,O,X,O,O,X,X,O,X,X,X
TJLSOZI,O,O,O,X,O,O,X,X,O,X,X,X
TJLZISO,O,O,O,X,X,X,X,O,O,X,X,X
TJLZIOS,O,X,O,X,X,X,X,O,X,X,X,X
TJLZSIO,O,O,O,X,X,X,X,O,O,X,X,X
TJLZSOI,O,O,O,X,X,X,X,O,O,X,X,X
TJLZOIS,O,X,O,X,X,X,X,O,X,X,X,X
TJLZOSI,O,X,O,X,O,X,X,O,X,X,X,X
TJLOISZ,O,X,O,X,O,X,X,X,O,O,X,X
TJLOIZS,O,X,O,X,X,X,X,X,X,O,X,X
TJLOSIZ,O,X,O,X,O,O,X,X,O,X,X,X
TJLOSZI,O,X,O,X,O,O,X,X,O,X,X,X
TJLOZIS,O,X,O,X,X,X,X,O,O,X,X,X
TJLOZSI,O,X,O,X,O,X,X,O,O,X,X,X
TJSILZO,O,O,O,X,O,O,X,X,O,X,X,X
TJSILOZ,O,O,O,X,O,O,X,X,O,X,X,X
TJSIZLO,O,O,O,X,X,O,X,O,O,X,X,X
TJSIZOL,O,O,O,X,X,O,X,O,O,X,X,X
TJSIOLZ,O,O,O,O,X,O,X,X,O,X,X,X
TJSIOZL,X,O,O,O,X,O,X,X,O,X,X,X
TJSLIZO,O,O,O,X,O,O,X,X,O,X,X,X
TJSLIOZ,O,O,O,X,O,O,X,X,O,X,X,X
TJSLZIO,O,O,O,X,O,O,X,X,O,X,X,X
TJSLZOI,O,O,O,X,O,O,X,X,O,X,X,X
TJSLOIZ,O,X,O,X,O,O,X,X,O,X,X,X
TJSLOZI,O,O,O,X,O,O,X,X,O,X,X,X
TJSZILO,O,O,O,X,X,O,X,O,O,X,X,X
TJSZIOL,O,O,O,X,X,O,X,O,O,X,X,X
TJSZLIO,O,O,O,X,X,O,X,O,O,X,X,X
TJSZLOI,O,O,O,X,X,O,X,O,O,X,X,X
TJSZOIL,O,X,O,X,X,O,X,O,O,X,X,X
TJSZOLI,O,O,O,X,X,O,X,O,X,X,X,X
TJSOILZ,O,X,O,O,X,O,X,X,O,X,X,X
TJSOIZL,X,X,O,O,X,O,X,X,O,X,X,X
TJSOLIZ,O,X,O,X,X,O,X,X,X,X,X,X
TJSOLZI,O,O,O,X,X,O,X,X,X,X,X,X
TJSOZIL,O,X,O,X,X,O,X,X,O,X,X,X
TJSOZLI,O,O,O,X,X,O,X,O,X,X,X,X
TJZILSO,O,O,O,X,X,X,X,O,O,X,X,X
TJZILOS,O,X,O,X,X,X,X,O,X,X,X,X
TJZISLO,O,O,O,X,X,X,X,O,O,X,X,X
TJZISOL,O,O,O,X,X,X,X,O,O,X,X,X
TJZIOLS,O,X,O,X,X,X,X,O,X,X,X,X
TJZIOSL,O,X,X,X,X,X,X,O,X,X,X,X
TJZLISO,O,O,O,X,X,X,X,O,O,X,X,X
TJZLIOS,O,X,O,X,X,X,X,O,X,X,X,X
TJZLSIO,O,O,O,X,X,X,X,O,O,X,X,X
TJZLSOI,O,O,O,X,X,X,X,O,O,X,X,X
TJZLOIS,O,X,O,X,X,X,X,O,X,X,X,X
TJZLOSI,O,X,O,X,X,X,X,O,X,X,X,X
TJZSILO,O,O,O,X,X,O,X,O,O,X,X,X
TJZSIOL,O,O,O,X,X,O,X,O,O,X,X,X
TJZSLIO,O,O,O,X,X,O,X,O,O,X,X,X
TJZSLOI,O,O,O,X,X,O,X,O,O,X,X,X
TJZSOIL,O,X,O,X,X,O,X,O,O,X,X,X
TJZSOLI,O,O,O,X,X,O,X,O,X,X,X,X
TJZOILS,O,X,O,X,X,X,X,O,X,X,X,X
TJZOISL,O,X,O,X,X,X,X,O,X,X,X,X
TJZOLIS,O,X,O,X,X,X,X,O,X,X,X,X
TJZOLSI,O,X,O,X,X,X,X,O,X,X,X,X
TJZOSIL,O,X,O,X,X,O,X,O,X,X,X,X
TJZOSLI,O,X,O,X,X,O,X,O,X,X,X,X
TJOILSZ,O,X,O,X,O,X,X,X,X,O,X,X
TJOILZS,O,X,O,X,X,X,X,X,X,O,X,X
TJOISLZ,O,X,O,O,X,O,X,X,X,X,X,X
TJOISZL,X,X,O,O,X,O,X,X,X,X,X,X
TJOIZLS,O,X,O,X,X,X,X,O,X,X,X,X
TJOIZSL,O,X,O,X,X,X,X,O,X,X,X,X
TJOLISZ,O,X,O,X,O,X,X,X,X,O,X,X
TJOLIZS,O,X,O,X,X,X,X,X,X,O,X,X
TJOLSIZ,O,X,O,X,O,O,X,X,X,X,X,X
TJOLSZI,O,X,O,X,O,O,X,X,X,X,X,X
TJOLZIS,O,X,O,X,X,X,X,O,X,X,X,X
TJOLZSI,O,X,O,X,O,X,X,O,X,X,X,X
TJOSILZ,O,X,O,X,X,O,X,X,X,X,X,X
TJOSIZL,X,X,O,X,X,O,X,X,X,X,X,X
TJOSLIZ,O,X,O,X,X,O,X,X,X,X,X,X
TJOSLZI,O,X,O,X,X,O,X,X,X,X,X,X
TJOSZIL,O,X,O,X,X,O,X,X,X,X,X,X
TJOSZLI,O,X,O,X,X,O,X,O,X,X,X,X
TJOZILS,O,X,O,X,X,X,X,O,X,X,X,X
TJOZISL,O,X,O,X,X,X,X,O,X,X,X,X
TJOZLIS,O,X,O,X,X,X,X,O,X,X,X,X
TJOZLSI,O,X,O,X,X,X,X,O,X,X,X,X
TJOZSIL,O,X,O,X,X,O,X,O,X,X,X,X
TJOZSLI,O,X,O,X,X,O,X,O,X,X,X,X
TSILJZO,O,O,O,X,X,X,X,X,O,X,X,X
TSILJOZ,O,O,X,X,X,X,X,X,O,O,X,X
TSILZJO,X,O,O,X,X,X,O,X,O,X,X,X
TSILZOJ,X,O,O,X,X,X,O,X,O,X,X,X
TSILOJZ,O,O,O,O,X,X,X,X,X,O,X,X
TSILOZJ,O,O,O,X,X,X,X,X,X,X,X,X
TSIJLZO,O,O,O,X,X,O,X,X,O,X,X,X
TSIJLOZ,O,O,X,X,X,O,X,X,O,X,X,X
TSIJZLO,O,O,O,X,X,O,X,X,O,X,X,X
TSIJZOL,O,O,X,X,X,O,X,X,O,X,X,X
TSIJOLZ,O,O,X,O,X,O,X,X,O,X,X,X
TSIJOZL,X,O,X,O,X,O,X,X,O,X,X,X
TSIZLJO,X,O,O,X,X,X,O,X,O,X,X,X
TSIZLOJ,X,O,O,X,X,X,O,X,X,X,X,X
TSIZJLO,X,O,X,X,X,X,O,X,O,X,X,X
TSIZJOL,X,O,X,X,X,X,X,X,O,X,X,X
TSIZOLJ,X,O,X,X,X,X,O,X,X,X,X,X
TSIZOJL,X,O,X,O,X,X,X,X,O,X,X,X
TSIOLJZ,O,O,O,O,X,X,X,X,X,O,X,X
TSIOLZJ,O,O,O,X,X,X,X,X,X,X,X,X
TSIOJLZ,X,O,O,O,X,O,X,X,X,X,X,X
TSIOJZL,X,O,O,O,X,O,X,X,X,X,X,X
TSIOZLJ,X,O,O,O,X,X,X,X,X,X,X,X
TSIOZJL,X,O,O,O,X,X,X,X,X,X,X,X
TSLIJZO,O,O,O,X,O,X,X,X,O,X,X,X
TSLIJOZ,O,O,X,X,O,X,X,X,O,O,X,X
TSLIZJO,X,O,O,X,X,X,O,X,O,X,X,X
TSLIZOJ,X,O,O,X,X,X,O,X,O,X,X,X
TSLIOJZ,O,O,O,O,O,X,X,X,X,O,X,X
TSLIOZJ,O,O,O,X,X,X,X,X,X,X,X,X
TSLJIZO,O,O,O,X,O,O,X,X,O,X,X,X
TSLJIOZ,O,O,O,X,O,O,X,X,O,X,X,X
TSLJZIO,O,O,O,X,O,O,O,X,O,X,X,X
TSLJZOI,O,O,O,X,O,O,O,X,O,X,X,X
TSLJOIZ,O,X,O,X,O,O,X,X,O,X,X,X
