sequence,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8JeZ/IvhFufBcgB?icBzdBFnB3rB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8JeZ/IvhFCbBmdB?XgBlhBcnBTrB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8JeZ/IvhFCbBzdB?XgBFnBOrB8rB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8Jei7IvhFzdBOkB?RhB0fBFnB3rB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8JeT6IvhF2gBRdB?fnBliBikBUrB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8Jei7IvhFzdB0fB?RhBOkBFnB3rB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8Jex6IvhFOkBXgB?0hBliBinBTrB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8JeZ/IvhFGbBFdB?8iBzfBfnBKrB,v115@8gA8IeA8CeB8CeB8AeE8AeG8BeD8JeT6IvhF2gBRiB?fnBliBikBUrB
TZISOLJ,O,O,O,X,X,O,X,O,X
TZISOJL,O,O,O,X,X,X,X,O,X
TZIOLJS,O,X,X,O,X,O,X,X,X
TZIOLSJ,O,X,X,X,X,O,X,X,X
TZIOJLS,O,X,X,O,X,O,X,X,X
TZIOJSL,O,O,X,X,X,X,X,X,X
TZIOSLJ,O,O,O,X,X,O,X,O,X
TZIOSJL,O,O,O,X,X,X,X,O,X
TZLIJSO,O,O,X,X,X,X,X,X,X
TZLIJOS,O,X,X,X,X,O,X,X,X
TZLISJO,O,O,X,X,X,X,X,X,X
TZLISOJ,O,O,X,X,X,O,X,X,X
TZLIOJS,O,X,X,X,X,O,X,X,X
TZLIOSJ,O,X,X,X,X,O,X,X,X
TZLJISO,O,O,X,X,X,X,X,X,X
TZLJIOS,O,X,X,X,X,O,X,X,X
TZLJSIO,O,O,X,X,X,X,O,X,X
TZLJSOI,O,O,X,X,X,X,O,X,X
TZLJOIS,O,X,X,X,X,X,X,X,X
TZLJOSI,O,X,X,X,X,X,X,X,X
TZLSIJO,O,O,X,X,X,X,X,X,X
TZLSIOJ,O,O,X,X,X,O,X,X,X
TZLSJIO,O,O,X,X,X,X,O,X,X
TZLSJOI,O,O,X,X,X,X,O,X,X
TZLSOIJ,O,O,X,X,X,X,X,X,X
TZLSOJI,O,O,X,X,X,X,X,X,X
TZLOIJS,O,X,X,X,X,O,X,X,X
TZLOISJ,O,X,X,X,X,O,X,X,X
TZLOJIS,O,X,X,X,X,X,X,X,X
TZLOJSI,O,X,X,X,X,X,X,X,X
TZLOSIJ,O,X,X,X,X,X,X,X,X
TZLOSJI,O,X,X,X,X,X,X,X,X
TZJILSO,O,O,X,X,X,X,X,X,X
TZJILOS,O,X,X,O,X,O,X,X,X
TZJISLO,O,O,X,X,X,X,O,X,X
TZJISOL,O,O,X,X,X,X,O,X,X
TZJIOLS,O,X,X,O,X,O,X,X,X
TZJIOSL,O,O,X,X,X,X,X,X,X
TZJLISO,O,O,X,X,X,X,X,X,X
TZJLIOS,O,X,X,X,X,O,X,X,X
TZJLSIO,O,O,X,X,X,X,O,X,X
TZJLSOI,O,O,X,X,X,X,O,X,X
TZJLOIS,O,X,X,X,X,X,X,X,X
TZJLOSI,O,X,X,X,X,X,X,X,X
TZJSILO,O,O,X,X,X,X,O,X,X
TZJSIOL,O,O,X,X,X,X,O,X,X
TZJSLIO,O,O,X,X,X,X,O,X,X
TZJSLOI,O,O,X,X,X,X,O,X,X
TZJSOIL,O,O,X,X,X,X,O,X,X
TZJSOLI,O,O,X,X,X,X,O,X,X
TZJOILS,O,X,X,O,X,O,X,X,X
TZJOISL,O,O,X,X,X,X,X,X,X
TZJOLIS,O,X,X,X,X,X,X,X,X
TZJOLSI,O,X,X,X,X,X,X,X,X
TZJOSIL,O,O,X,X,X,X,O,X,X
TZJOSLI,O,O,X,X,X,X,O,X,X
TZSILJO,O,O,O,X,X,X,X,X,X
TZSILOJ,O,O,O,X,X,O,X,O,X
TZSIJLO,O,O,O,X,X,X,O,X,X
TZSIJOL,O,O,O,X,X,X,O,O,X
TZSIOLJ,O,O,O,X,X,O,X,O,X
TZSIOJL,O,O,O,X,X,X,X,O,X
TZSLIJO,O,O,O,X,X,X,X,X,X
TZSLIOJ,O,O,O,X,X,O,X,O,X
TZSLJIO,O,O,X,X,X,X,O,X,X
TZSLJOI,O,O,X,X,X,X,O,X,X
TZSLOIJ,O,O,O,X,X,X,X,O,X
TZSLOJI,O,O,X,X,X,X,X,X,X
TZSJILO,O,O,X,X,X,X,O,X,X
TZSJIOL,O,O,X,X,X,X,O,O,X
TZSJLIO,O,O,X,X,X,X,O,X,X
TZSJLOI,O,O,X,X,X,X,O,X,X
TZSJOIL,O,O,X,X,X,X,O,O,X
TZSJOLI,O,O,X,X,X,X,O,X,X
TZSOILJ,O,O,O,X,X,O,X,O,X
TZSOIJL,O,O,O,X,X,X,X,O,X
TZSOLIJ,O,O,O,X,X,X,X,O,X
TZSOLJI,O,O,X,X,X,X,X,X,X
TZSOJIL,O,O,X,X,X,X,O,O,X
TZSOJLI,O,O,X,X,X,X,O,X,X
TZOILJS,O,X,X,O,X,O,X,X,X
TZOILSJ,O,X,X,X,X,O,X,X,X
TZOIJLS,O,X,X,O,X,O,X,X,X
TZOIJSL,O,O,X,X,X,X,X,X,X
TZOISLJ,O,O,O,X,X,O,X,O,X
TZOISJL,O,O,O,X,X,X,X,O,X
TZOLIJS,O,X,X,X,X,O,X,X,X
TZOLISJ,O,X,X,X,X,O,X,X,X
TZOLJIS,O,X,X,X,X,X,X,X,X
TZOLJSI,O,X,X,X,X,X,X,X,X
TZOLSIJ,O,X,X,X,X,X,X,X,X
TZOLSJI,O,X,X,X,X,X,X,X,X
TZOJILS,O,X,X,O,X,O,X,X,X
TZOJISL,O,O,X,X,X,X,X,X,X
TZOJLIS,O,X,X,X,X,X,X,X,X
TZOJLSI,O,X,X,X,X,X,X,X,X
TZOJSIL,O,O,X,X,X,X,O,X,X
TZOJSLI,O,O,X,X,X,X,O,X,X
TZOSILJ,O,O,O,X,X,O,X,O,X
TZOSIJL,O,O,O,X,X,X,X,O,X
TZOSLIJ,O,O,O,X,X,X,X,O,X
TZOSLJI,O,O,X,X,X,X,X,X,X
TZOSJIL,O,O,X,X,X,X,O,O,X
TZOSJLI,O,O,X,X,X,X,O,X,X
TOILJSZ,X,X,X,O,X,X,X,X,X
TOILJZS,O,X,X,O,X,O,X,X,X
TOILSJZ,X,X,O,O,X,X,X,X,X
TOILSZJ,O,X,O,X,X,O,X,X,X
TOILZJS,O,X,X,O,X,O,X,X,X
TOILZSJ,O,X,X,X,X,O,X,X,X
TOIJLSZ,X,X,X,O,X,X,X,X,X
TOIJLZS,O,X,X,O,X,O,X,X,X
TOIJSLZ,X,X,O,O,X,X,X,X,X
TOIJSZL,X,X,O,X,X,X,X,X,X
TOIJZLS,O,X,X,O,X,O,X,X,X
TOIJZSL,O,X,X,X,X,X,X,X,X
TOISLJZ,X,X,O,O,X,X,X,X,X
TOISLZJ,O,X,O,X,X,O,X,X,X
TOISJLZ,X,X,O,O,X,X,X,X,X
TOISJZL,X,X,O,X,X,X,X,X,X
TOISZLJ,O,X,O,X,X,O,X,O,X
TOISZJL,O,X,O,X,X,X,X,O,X
TOIZLJS,O,X,X,O,X,O,X,X,X
TOIZLSJ,O,X,X,X,X,O,X,X,X
TOIZJLS,O,X,X,O,X,O,X,X,X
TOIZJSL,O,X,X,X,X,X,X,X,X
TOIZSLJ,O,X,O,X,X,O,X,O,X
TOIZSJL,O,X,O,X,X,X,X,O,X
TOLIJSZ,X,X,X,O,X,X,X,X,X
TOLIJZS,O,X,X,O,X,O,X,X,X
TOLISJZ,X,X,O,O,X,X,X,X,X
TOLISZJ,O,X,O,X,X,O,X,X,X
TOLIZJS,O,X,X,O,X,O,X,X,X
TOLIZSJ,O,X,X,X,X,O,X,X,X
TOLJISZ,X,X,X,O,X,X,X,X,X
TOLJIZS,O,X,X,O,X,X,X,X,X
TOLJSIZ,X,X,X,X,X,X,X,X,X
TOLJSZI,X,X,X,X,X,X,X,X,X
TOLJZIS,O,X,X,X,X,X,X,X,X
TOLJZSI,O,X,X,X,X,X,X,X,X
TOLSIJZ,X,X,O,X,X,X,X,X,X
TOLSIZJ,O,X,O,X,X,X,X,X,X
TOLSJIZ,X,X,O,X,X,X,X,X,X
TOLSJZI,X,X,X,X,X,X,X,X,X
TOLSZIJ,O,X,O,X,X,X,X,X,X
TOLSZJI,O,X,X,X,X,X,X,X,X
TOLZIJS,O,X,X,X,X,O,X,X,X
TOLZISJ,O,X,X,X,X,O,X,X,X
TOLZJIS,O,X,X,X,X,X,X,X,X
TOLZJSI,O,X,X,X,X,X,X,X,X
TOLZSIJ,O,X,X,X,X,X,X,X,X
TOLZSJI,O,X,X,X,X,X,X,X,X
TOJILSZ,X,X,X,O,X,X,X,X,X
TOJILZS,O,X,X,O,X,O,X,X,X
TOJISLZ,X,X,O,O,X,X,X,X,X
TOJISZL,X,X,O,X,X,X,X,X,X
TOJIZLS,O,X,X,O,X,O,X,X,X
TOJIZSL,O,X,X,X,X,X,X,X,X
TOJLISZ,X,X,X,O,X,X,X,X,X
TOJLIZS,O,X,X,O,X,X,X,X,X
TOJLSIZ,X,X,X,X,X,X,X,X,X
TOJLSZI,X,X,X,X,X,X,X,X,X
TOJLZIS,O,X,X,X,X,X,X,X,X
TOJLZSI,O,X,X,X,X,X,X,X,X
TOJSILZ,X,X,O,O,X,X,X,X,X
TOJSIZL,X,X,O,X,X,X,O,X,X
TOJSLIZ,X,X,O,X,X,X,X,X,X
TOJSLZI,X,X,X,X,X,X,X,X,X
TOJSZIL,X,X,X,X,X,X,O,X,X
TOJSZLI,X,X,X,X,X,X,O,X,X
TOJZILS,O,X,X,O,X,O,X,X,X
TOJZISL,O,X,X,X,X,X,X,X,X
TOJZLIS,O,X,X,X,X,X,X,X,X
TOJZLSI,O,X,X,X,X,X,X,X,X
TOJZSIL,O,X,X,X,X,X,O,X,X
TOJZSLI,O,X,X,X,X,X,O,X,X
TOSILJZ,X,X,O,O,X,X,X,X,X
TOSILZJ,O,X,O,X,X,O,X,X,X
TOSIJLZ,X,X,O,O,X,X,X,X,X
TOSIJZL,X,X,O,X,X,X,X,X,X
TOSIZLJ,O,X,O,X,X,O,X,O,X
TOSIZJL,O,X,O,X,X,X,X,O,X
TOSLIJZ,X,X,O,X,X,X,X,X,X
TOSLIZJ,O,X,O,X,X,X,X,X,X
TOSLJIZ,X,X,O,X,X,X,X,X,X
TOSLJZI,X,X,X,X,X,X,X,X,X
TOSLZIJ,O,X,O,X,X,X,X,X,X
TOSLZJI,O,X,X,X,X,X,X,X,X
TOSJILZ,X,X,O,O,X,X,X,X,X
TOSJIZL,X,X,O,X,X,X,O,X,X
TOSJLIZ,X,X,O,X,X,X,X,X,X
TOSJLZI,X,X,X,X,X,X,X,X,X
TOSJZIL,X,X,X,X,X,X,O,X,X
TOSJZLI,X,X,X,X,X,X,O,X,X
TOSZILJ,O,X,O,X,X,O,X,O,X
TOSZIJL,O,X,O,X,X,X,X,O,X
TOSZLIJ,O,X,O,X,X,X,X,O,X
TOSZLJI,O,X,X,X,X,X,X,X,X
TOSZJIL,O,X,X,X,X,X,O,O,X
TOSZJLI,O,X,X,X,X,X,O,X,X
TOZILJS,O,X,X,O,X,O,X,X,X
TOZILSJ,O,X,X,X,X,O,X,X,X
TOZIJLS,O,X,X,O,X,O,X,X,X
TOZIJSL,O,X,X,X,X,X,X,X,X
TOZISLJ,O,X,O,X,X,O,X,O,X
TOZISJL,O,X,O,X,X,X,X,O,X
TOZLIJS,O,X,X,X,X,O,X,X,X
TOZLISJ,O,X,X,X,X,O,X,X,X
TOZLJIS,O,X,X,X,X,X,X,X,X
TOZLJSI,O,X,X,X,X,X,X,X,X
TOZLSIJ,O,X,X,X,X,X,X,X,X
TOZLSJI,O,X,X,X,X,X,X,X,X
TOZJILS,O,X,X,O,X,O,X,X,X
TOZJISL,O,X,X,X,X,X,X,X,X
TOZJLIS,O,X,X,X,X,X,X,X,X
TOZJLSI,O,X,X,X,X,X,X,X,X
TOZJSIL,O,X,X,X,X,X,O,X,X
TOZJSLI,O,X,X,X,X,X,O,X,X
TOZSILJ,O,X,O,X,X,O,X,O,X
TOZSIJL,O,X,O,X,X,X,X,O,X
TOZSLIJ,O,X,O,X,X,X,X,O,X
TOZSLJI,O,X,X,X,X,X,X,X,X
TOZSJIL,O,X,X,X,X,X,O,O,X
TOZSJLI,O,X,X,X,X,X,O,X,X
ITLJSZO,X,X,X,X,X,X,X,X,X
ITLJSOZ,X,X,X,O,X,X,X,X,X
ITLJZSO,O,X,X,X,X,X,X,X,X
ITLJZOS,O,X,X,O,X,O,X,X,X
ITLJOSZ,X,X,X,O,X,X,X,X,O
ITLJOZS,O,X,X,O,X,O,X,X,X
ITLSJZO,X,X,O,X,X,X,X,X,X
ITLSJOZ,X,X,O,O,X,X,X,X,X
ITLSZJO,O,X,O,X,X,X,X,X,X
ITLSZOJ,O,X,O,X,X,O,X,X,X
ITLSOJZ,X,X,O,O,X,X,X,X,X
ITLSOZJ,O,X,O,X,X,O,X,X,X
ITLZJSO,O,X,X,X,X,X,X,X,X
ITLZJOS,O,X,X,O,X,O,X,X,X
ITLZSJO,O,X,X,X,X,X,X,X,X
ITLZSOJ,O,X,X,X,X,O,X,X,X
ITLZOJS,O,X,X,O,X,O,X,X,X
ITLZOSJ,O,X,X,X,X,O,X,X,X
ITLOJSZ,X,X,X,O,X,X,X,X,O
ITLOJZS,O,X,X,O,X,O,X,X,X
ITLOSJZ,X,X,O,O,X,X,X,X,X
ITLOSZJ,O,X,O,X,X,O,X,X,X
ITLOZJS,O,X,X,O,X,O,X,X,X
ITLOZSJ,O,X,X,X,X,O,X,X,X
ITJLSZO,X,X,X,X,X,X,X,X,X
ITJLSOZ,X,X,X,O,X,X,X,X,X
ITJLZSO,O,X,X,X,X,X,X,X,X
ITJLZOS,O,X,X,O,X,O,X,X,X
ITJLOSZ,X,X,X,O,X,X,X,X,O
ITJLOZS,O,X,X,O,X,O,X,X,X
ITJSLZO,X,O,O,X,X,X,O,X,X
ITJSLOZ,X,X,O,O,X,X,X,X,X
ITJSZLO,X,O,O,X,X,X,O,X,X
ITJSZOL,X,O,O,X,X,X,O,X,X
ITJSOLZ,X,X,O,O,X,X,X,X,X
ITJSOZL,X,X,O,X,X,X,O,X,X
ITJZLSO,O,O,X,X,X,X,X,X,X
ITJZLOS,O,X,X,O,X,O,X,X,X
ITJZSLO,O,O,X,X,X,X,O,X,X
ITJZSOL,O,O,X,X,X,X,O,X,X
ITJZOLS,O,X,X,O,X,O,X,X,X
ITJZOSL,O,O,X,X,X,X,X,X,X
ITJOLSZ,X,X,X,O,X,X,X,X,X
ITJOLZS,O,X,X,O,X,O,X,X,X
ITJOSLZ,X,X,O,O,X,X,X,X,X
ITJOSZL,X,X,O,X,X,X,X,X,X
ITJOZLS,O,X,X,O,X,O,X,X,X
ITJOZSL,O,X,X,X,X,X,X,X,X
ITSLJZO,X,O,O,X,X,X,X,X,X
ITSLJOZ,X,X,O,O,X,X,X,X,X
ITSLZJO,O,O,O,X,X,X,X,X,X
ITSLZOJ,O,O,O,X,X,O,X,X,X
ITSLOJZ,X,X,O,O,X,X,X,X,X
ITSLOZJ,O,X,O,X,X,O,X,X,X
ITSJLZO,X,O,O,X,X,X,O,X,X
ITSJLOZ,X,X,O,O,X,X,X,X,X
ITSJZLO,X,O,O,X,X,X,O,X,X
ITSJZOL,X,O,O,X,X,X,O,X,X
ITSJOLZ,X,X,O,O,X,X,X,X,X
ITSJOZL,X,X,O,X,X,X,O,X,X
ITSZLJO,O,O,O,X,X,X,X,X,X
ITSZLOJ,O,O,O,X,X,O,X,O,X
ITSZJLO,O,O,O,X,X,X,O,X,X
ITSZJOL,O,O,O,X,X,X,O,O,X
ITSZOLJ,O,O,O,X,X,O,X,O,X
ITSZOJL,O,O,O,X,X,X,X,O,X
ITSOLJZ,X,X,O,O,X,X,X,X,X
ITSOLZJ,O,X,O,X,X,O,X,X,X
ITSOJLZ,X,X,O,O,X,X,X,X,X
ITSOJZL,X,X,O,X,X,X,X,X,X
ITSOZLJ,O,X,O,X,X,O,X,O,X
ITSOZJL,O,X,O,X,X,X,X,O,X
ITZLJSO,O,O,X,X,X,X,X,X,X
ITZLJOS,O,X,X,O,X,O,X,X,X
ITZLSJO,O,O,X,X,X,X,X,X,X
ITZLSOJ,O,O,X,X,X,O,X,X,X
ITZLOJS,O,X,X,O,X,O,X,X,X
ITZLOSJ,O,X,X,X,X,O,X,X,X
ITZJLSO,O,O,X,X,X,X,X,X,X
ITZJLOS,O,X,X,O,X,O,X,X,X
ITZJSLO,O,O,X,X,X,X,O,X,X
ITZJSOL,O,O,X,X,X,X,O,X,X
ITZJOLS,O,X,X,O,X,O,X,X,X
ITZJOSL,O,O,X,X,X,X,X,X,X
ITZSLJO,O,O,O,X,X,X,X,X,X
ITZSLOJ,O,O,O,X,X,O,X,O,X
ITZSJLO,O,O,O,X,X,X,O,X,X
ITZSJOL,O,O,O,X,X,X,O,O,X
ITZSOLJ,O,O,O,X,X,O,X,O,X
ITZSOJL,O,O,O,X,X,X,X,O,X
ITZOLJS,O,X,X,O,X,O,X,X,X
ITZOLSJ,O,X,X,X,X,O,X,X,X
ITZOJLS,O,X,X,O,X,O,X,X,X
ITZOJSL,O,O,X,X,X,X,X,X,X
ITZOSLJ,O,O,O,X,X,O,X,O,X
ITZOSJL,O,O,O,X,X,X,X,O,X
ITOLJSZ,X,X,X,O,X,X,X,X,X
ITOLJZS,O,X,X,O,X,O,X,X,X
ITOLSJZ,X,X,O,O,X,X,X,X,X
ITOLSZJ,O,X,O,X,X,O,X,X,X
ITOLZJS,O,X,X,O,X,O,X,X,X
ITOLZSJ,O,X,X,X,X,O,X,X,X
ITOJLSZ,X,X,X,O,X,X,X,X,X
ITOJLZS,O,X,X,O,X,O,X,X,X
ITOJSLZ,X,X,O,O,X,X,X,X,X
ITOJSZL,X,X,O,X,X,X,X,X,X
ITOJZLS,O,X,X,O,X,O,X,X,X
ITOJZSL,O,X,X,X,X,X,X,X,X
ITOSLJZ,X,X,O,O,X,X,X,X,X
ITOSLZJ,O,X,O,X,X,O,X,X,X
ITOSJLZ,X,X,O,O,X,X,X,X,X
ITOSJZL,X,X,O,X,X,X,X,X,X
ITOSZLJ,O,X,O,X,X,O,X,O,X
ITOSZJL,O,X,O,X,X,X,X,O,X
ITOZLJS,O,X,X,O,X,O,X,X,X
ITOZLSJ,O,X,X,X,X,O,X,X,X
ITOZJLS,O,X,X,O,X,O,X,X,X
ITOZJSL,O,X,X,X,X,X,X,X,X
ITOZSLJ,O,X,O,X,X,O,X,O,X
ITOZSJL,O,X,O,X,X,X,X,O,X
ILTJSZO,X,X,X,X,X,X,X,X,X
ILTJSOZ,X,X,X,X,X,X,X,X,X
ILTJZSO,O,X,X,X,X,X,X,X,X
ILTJZOS,O,X,X,X,X,X,X,X,X
ILTJOSZ,X,X,X,O,X,X,X,X,O
ILTJOZS,O,X,X,O,X,X,X,X,X
ILTSJZO,X,X,O,X,X,X,X,X,X
ILTSJOZ,X,X,O,X,X,X,X,X,X
ILTSZJO,O,X,O,X,X,X,X,X,X
ILTSZOJ,O,X,O,X,X,X,X,X,X
ILTSOJZ,X,X,O,X,X,X,X,X,X
ILTSOZJ,O,X,O,X,X,X,X,X,X
ILTZJSO,O,X,X,X,X,X,X,X,X
ILTZJOS,O,X,X,X,X,X,X,X,X
ILTZSJO,O,X,X,X,X,X,X,X,X
ILTZSOJ,O,X,X,X,X,X,X,X,X
ILTZOJS,O,X,X,X,X,O,X,X,X
ILTZOSJ,O,X,X,X,X,O,X,X,X
ILTOJSZ,X,X,X,O,X,X,X,X,O
ILTOJZS,O,X,X,O,X,X,X,X,X
ILTOSJZ,X,X,O,X,X,X,X,X,X
ILTOSZJ,O,X,O,X,X,X,X,X,X
ILTOZJS,O,X,X,X,X,O,X,X,X
ILTOZSJ,O,X,X,X,X,O,X,X,X
ILJTSZO,X,X,X,X,X,X,X,X,X
ILJTSOZ,X,X,X,X,X,X,X,X,X
ILJTZSO,O,X,X,X,X,X,X,X,X
ILJTZOS,O,X,X,X,X,X,X,X,X
ILJTOSZ,X,X,X,O,X,X,X,X,O
ILJTOZS,O,X,X,O,X,X,X,X,X
ILJSTZO,X,O,X,X,O,X,X,X,X
ILJSTOZ,X,X,X,X,O,X,X,X,X
ILJSZTO,X,O,X,X,X,X,X,X,X
ILJSZOT,X,O,X,X,X,X,X,X,X
ILJSOTZ,X,X,X,O,O,X,X,X,O
ILJSOZT,X,O,X,O,X,X,X,X,O
ILJZTSO,O,O,X,X,X,X,X,X,X
ILJZTOS,O,X,X,X,X,X,X,X,X
ILJZSTO,O,O,X,X,X,X,X,X,X
ILJZSOT,O,O,X,X,X,X,X,X,X
ILJZOTS,O,X,X,O,X,O,X,X,X
ILJZOST,O,X,X,O,X,O,X,X,O
ILJOTSZ,X,X,X,O,X,X,X,X,O
ILJOTZS,X,X,X,O,X,X,X,X,X
ILJOSTZ,X,X,X,O,O,X,X,X,O
ILJOSZT,X,X,X,O,X,X,X,X,O
ILJOZTS,O,X,X,O,X,O,X,X,X
ILJOZST,O,X,X,O,X,O,X,X,O
ILSTJZO,X,O,O,X,O,X,X,X,X
ILSTJOZ,X,X,O,X,O,X,X,X,X
ILSTZJO,O,O,O,X,O,X,X,X,X
ILSTZOJ,O,O,O,X,O,X,X,X,X
ILSTOJZ,X,X,O,X,O,X,X,X,X
ILSTOZJ,O,X,O,X,O,X,X,X,X
ILSJTZO,X,O,O,X,O,X,X,X,X
ILSJTOZ,X,X,O,X,O,X,X,X,X
ILSJZTO,X,O,X,X,X,X,X,X,X
ILSJZOT,X,O,X,X,X,X,X,X,X
ILSJOTZ,X,X,O,O,O,X,X,X,O
ILSJOZT,X,O,X,O,X,X,X,X,O
ILSZTJO,O,O,O,X,X,X,X,X,X
ILSZTOJ,O,O,O,X,X,X,X,O,X
ILSZJTO,O,O,X,X,X,X,X,X,X
ILSZJOT,O,O,X,X,X,X,X,X,X
ILSZOTJ,X,O,O,X,X,O,X,O,X
ILSZOJT,O,O,X,X,X,O,X,O,X
ILSOTJZ,X,X,O,X,O,X,X,X,X
ILSOTZJ,X,X,O,X,O,X,X,X,X
ILSOJTZ,X,X,O,O,O,X,X,X,O
ILSOJZT,X,O,X,O,X,X,X,X,O
ILSOZTJ,X,O,O,X,X,O,X,O,X
ILSOZJT,O,O,X,X,X,O,X,O,X
ILZTJSO,O,O,X,X,X,X,X,X,X
ILZTJOS,O,X,X,X,X,X,X,X,X
ILZTSJO,O,O,X,X,X,X,X,X,X
ILZTSOJ,O,O,X,X,X,X,X,X,X
ILZTOJS,O,X,X,X,X,O,X,X,X
ILZTOSJ,O,X,X,X,X,O,X,X,X
ILZJTSO,O,O,X,X,X,X,X,X,X
ILZJTOS,O,X,X,X,X,X,X,X,X
ILZJSTO,O,O,X,X,X,X,X,X,X
ILZJSOT,O,O,X,X,X,X,X,X,X
ILZJOTS,O,X,X,O,X,O,X,X,X
ILZJOST,O,X,X,O,X,O,X,X,O
ILZSTJO,O,O,X,X,X,X,X,X,X
ILZSTOJ,O,O,X,X,X,X,X,O,X
ILZSJTO,O,O,X,X,X,X,X,X,X
ILZSJOT,O,O,X,X,X,X,X,X,X
ILZSOTJ,X,O,X,X,X,O,X,O,X
ILZSOJT,O,O,X,X,X,O,X,O,X
ILZOTJS,O,X,X,X,X,O,X,X,X
ILZOTSJ,O,X,X,X,X,O,X,X,X
ILZOJTS,O,X,X,O,X,O,X,X,X
ILZOJST,O,X,X,O,X,O,X,X,O
ILZOSTJ,X,X,X,X,X,O,X,O,X
ILZOSJT,O,X,X,X,X,O,X,O,X
ILOTJSZ,X,X,X,O,X,X,X,X,O
ILOTJZS,O,X,X,O,X,X,X,X,X
ILOTSJZ,X,X,O,X,X,X,X,X,X
ILOTSZJ,O,X,O,X,X,X,X,X,X
ILOTZJS,O,X,X,X,X,O,X,X,X
ILOTZSJ,O,X,X,X,X,O,X,X,X
ILOJTSZ,X,X,X,O,X,X,X,X,O
ILOJTZS,X,X,X,O,X,X,X,X,X
ILOJSTZ,X,X,X,O,O,X,X,X,O
ILOJSZT,X,X,X,O,X,X,X,X,O
ILOJZTS,O,X,X,O,X,O,X,X,X
ILOJZST,O,X,X,O,X,O,X,X,O
ILOSTJZ,X,X,O,X,O,X,X,X,X
ILOSTZJ,X,X,O,X,O,X,X,X,X
ILOSJTZ,X,X,O,O,O,X,X,X,O
ILOSJZT,X,X,X,O,X,X,X,X,O
ILOSZTJ,X,X,O,X,X,O,X,O,X
ILOSZJT,O,X,X,X,X,O,X,O,X
ILOZTJS,O,X,X,X,X,O,X,X,X
ILOZTSJ,O,X,X,X,X,O,X,X,X
ILOZJTS,O,X,X,O,X,O,X,X,X
ILOZJST,O,X,X,O,X,O,X,X,O
ILOZSTJ,X,X,X,X,X,O,X,O,X
ILOZSJT,O,X,X,X,X,O,X,O,X
IJTLSZO,X,X,X,X,X,X,X,X,X
IJTLSOZ,X,X,X,O,X,X,X,X,X
IJTLZSO,O,X,X,X,X,X,X,X,X
IJTLZOS,O,X,X,O,X,X,X,X,X
IJTLOSZ,X,X,X,O,X,X,X,X,O
IJTLOZS,O,X,X,O,X,X,X,X,X
IJTSLZO,X,O,O,X,X,X,O,X,X
IJTSLOZ,X,X,O,O,X,X,X,X,X
IJTSZLO,X,O,O,X,X,X,O,X,X
IJTSZOL,X,O,O,X,X,X,O,X,X
IJTSOLZ,X,X,O,O,X,X,X,X,X
IJTSOZL,X,X,O,X,X,X,O,X,X
IJTZLSO,O,O,X,X,X,X,X,X,X
IJTZLOS,O,X,X,O,X,X,X,X,X
IJTZSLO,O,O,X,X,X,X,O,X,X
IJTZSOL,O,O,X,X,X,X,O,X,X
IJTZOLS,O,X,X,O,X,X,X,X,X
IJTZOSL,O,O,X,X,X,X,X,X,X
IJTOLSZ,X,X,X,O,X,X,X,X,X
IJTOLZS,O,X,X,O,X,X,X,X,X
IJTOSLZ,X,X,O,O,X,X,X,X,X
IJTOSZL,X,X,O,X,X,X,X,X,X
IJTOZLS,O,X,X,O,X,X,X,X,X
IJTOZSL,O,X,X,X,X,X,X,X,X
IJLTSZO,X,X,X,X,X,X,X,X,X
IJLTSOZ,X,X,X,X,X,X,X,X,X
IJLTZSO,O,X,X,X,X,X,X,X,X
IJLTZOS,O,X,X,X,X,X,X,X,X
IJLTOSZ,X,X,X,O,X,X,X,X,O
IJLTOZS,O,X,X,O,X,X,X,X,X
IJLSTZO,X,O,X,X,O,X,X,X,X
IJLSTOZ,X,X,X,X,O,X,X,X,X
IJLSZTO,X,O,X,X,X,X,X,X,X
IJLSZOT,X,O,X,X,X,X,X,X,X
IJLSOTZ,X,X,X,O,O,X,X,X,O
IJLSOZT,X,O,X,O,X,X,X,X,O
IJLZTSO,O,O,X,X,X,X,X,X,X
IJLZTOS,O,X,X,X,X,X,X,X,X
IJLZSTO,O,O,X,X,X,X,X,X,X
IJLZSOT,O,O,X,X,X,X,X,X,X
IJLZOTS,O,X,X,O,X,O,X,X,X
IJLZOST,O,X,X,O,X,O,X,X,O
IJLOTSZ,X,X,X,O,X,X,X,X,O
IJLOTZS,X,X,X,O,X,X,X,X,X
IJLOSTZ,X,X,X,O,O,X,X,X,O
IJLOSZT,X,X,X,O,X,X,X,X,O
IJLOZTS,O,X,X,O,X,O,X,X,X
IJLOZST,O,X,X,O,X,O,X,X,O
IJSTLZO,X,O,O,X,O,X,O,X,X
