sequence,v115@zgC8GeB8HeB8FeF8CeG8DeB8Je37IvhFGeBylBRiBF?nBTrBUsB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JeR8IvhFGeBTgBlhB3?iBKrBUsB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JeR8IvhFGeBTgBihB3?iBcrBVxB,v115@zgC8GeB8HeB8FeF8CeG8DeB8Je37IvhFTeBlhBcnBm?lBCnBxwB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhFehBSiBTeBF?nB3mBxwB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhF6iBTeBmhBX?hB1rBxwB,v115@zgC8GeB8HeB8FeF8CeG8DeB8Je38IvhFGeBTgBliBU?hByrBxwB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JeX9IvhFTeBigBcnBG?mBFmBxwB,v115@zgC8GeB8HeB8FeF8CeG8DeB8Je37IvhFTeBxlBirBc?sBlrBGsB,v115@zgC8GeB8HeB8FeF8CeG8DeB8Jez7IvhFfiBxdB2lBC?jBcrBVxB,v115@zgC8GeB8HeB8FeF8CeG8DeB8Je1AJvhF0cBTeBxlBX?nB2wB6sB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhFicBGeBRiBF?mB3rBTsB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhFxdBFmBXnBO?rBzrBCtB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhFxiBFmBXnBT?rBmrBCtB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhF2hBRdBSjBF?mB3rBTsB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhFXhBxiBFnBT?rBmrBCtB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhF2hBTeBFmB3?rB5nBasB
JLISOZT,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JLIZTSO,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
JLIZTOS,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JLIZSTO,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JLIZSOT,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
JLIZOTS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JLIZOST,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
JLIOTSZ,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
JLIOTZS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JLIOSTZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLIOSZT,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JLIOZTS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JLIOZST,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JLSTIZO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTIOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTZIO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTZOI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTOIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTOZI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSITZO,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLSITOZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLSIZTO,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JLSIZOT,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JLSIOTZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLSIOZT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLSZTIO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JLSZTOI,X,O,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X
JLSZITO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JLSZIOT,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JLSZOTI,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JLSZOIT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLSOTIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSOTZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSOITZ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLSOIZT,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLSOZTI,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JLSOZIT,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLZTISO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZTIOS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZTSIO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZTSOI,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JLZTOIS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZTOSI,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JLZITSO,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
JLZITOS,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JLZISTO,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JLZISOT,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
JLZIOTS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JLZIOST,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
JLZSTIO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JLZSTOI,X,O,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X
JLZSITO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JLZSIOT,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JLZSOTI,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JLZSOIT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLZOTIS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZOTSI,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JLZOITS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JLZOIST,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JLZOSTI,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JLZOSIT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLOTISZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLOTIZS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLOTSIZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLOTSZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOTZIS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOTZSI,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLOITSZ,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
JLOITZS,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JLOISTZ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLOISZT,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JLOIZTS,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JLOIZST,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JLOSTIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOSTZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOSITZ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLOSIZT,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLOSZTI,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JLOSZIT,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLOZTIS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZTSI,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JLOZITS,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JLOZIST,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JLOZSTI,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JLOZSIT,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSTILZO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSTILOZ,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JSTIZLO,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JSTIZOL,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSTIOLZ,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JSTIOZL,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JSTLIZO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLIOZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLZIO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLZOI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLOIZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLOZI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZILO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSTZIOL,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JSTZLIO,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSTZLOI,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JSTZOIL,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JSTZOLI,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JSTOILZ,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JSTOIZL,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JSTOLIZ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSTOLZI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTOZIL,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSTOZLI,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITLZO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSITLOZ,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JSITZLO,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JSITZOL,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSITOLZ,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JSITOZL,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JSILTZO,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSILTOZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSILZTO,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JSILZOT,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JSILOTZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSILOZT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSIZTLO,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JSIZTOL,X,X,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X
JSIZLTO,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JSIZLOT,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JSIZOTL,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSIZOLT,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JSIOTLZ,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JSIOTZL,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JSIOLTZ,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSIOLZT,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSIOZTL,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSIOZLT,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JSLTIZO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTIOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTZIO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTZOI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTOIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTOZI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLITZO,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSLITOZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSLIZTO,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JSLIZOT,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JSLIOTZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSLIOZT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSLZTIO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JSLZTOI,X,O,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X
JSLZITO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSLZIOT,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JSLZOTI,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLZOIT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLOTIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOTZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOITZ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSLOIZT,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSLOZTI,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLOZIT,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZTILO,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,O
JSZTIOL,X,O,O,O,X,X,X,X,X,X,X,O,O,O,O,X,O
JSZTLIO,X,O,O,X,X,X,X,X,X,X,X,O,O,X,O,X,O
JSZTLOI,X,O,O,O,X,X,X,X,X,X,X,O,O,X,O,X,O
JSZTOIL,X,X,O,O,X,X,X,X,X,X,X,O,O,O,O,X,O
JSZTOLI,X,X,O,O,X,X,X,X,X,X,X,O,O,X,O,X,O
JSZITLO,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JSZITOL,X,X,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X
JSZILTO,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JSZILOT,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JSZIOTL,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSZIOLT,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JSZLTIO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JSZLTOI,X,O,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X
JSZLITO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSZLIOT,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JSZLOTI,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZLOIT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZOTIL,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O
JSZOTLI,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O
JSZOITL,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSZOILT,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JSZOLTI,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZOLIT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSOTILZ,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JSOTIZL,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JSOTLIZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOTLZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTZIL,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOTZLI,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOITLZ,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JSOITZL,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JSOILTZ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOILZT,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOIZTL,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOIZLT,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JSOLTIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLTZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLITZ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOLIZT,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOLZTI,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSOLZIT,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSOZTIL,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O
JSOZTLI,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O
JSOZITL,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOZILT,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JSOZLTI,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSOZLIT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZTILSO,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZTILOS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTISLO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTISOL,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
JZTIOLS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTIOSL,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTLISO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTLIOS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTLSIO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLSOI,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZTLOIS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTLOSI,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZTSILO,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZTSIOL,X,X,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X
JZTSLIO,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZTSLOI,X,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X
JZTSOIL,X,X,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X
JZTSOLI,X,X,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X
JZTOILS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTOISL,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTOLIS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTOLSI,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZTOSIL,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTOSLI,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZITLSO,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JZITLOS,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JZITSLO,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JZITSOL,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O,X
JZITOLS,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JZITOSL,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X
JZILTSO,X,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JZILTOS,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JZILSTO,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
JZILSOT,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
JZILOTS,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JZILOST,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
JZISTLO,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
JZISTOL,X,X,X,O,O,X,X,X,X,X,O,O,X,O,X,O,X
JZISLTO,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JZISLOT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JZISOTL,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
JZISOLT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JZIOTLS,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JZIOTSL,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X
JZIOLTS,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JZIOLST,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
JZIOSTL,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
JZIOSLT,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JZLTISO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTIOS,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLTSIO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTSOI,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZLTOIS,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLTOSI,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZLITSO,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZLITOS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLISTO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZLISOT,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JZLIOTS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLIOST,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JZLSTIO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JZLSTOI,X,O,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X
JZLSITO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZLSIOT,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JZLSOTI,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLSOIT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLOTIS,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLOTSI,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZLOITS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLOIST,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLOSTI,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLOSIT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSTILO,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,O
JZSTIOL,X,O,O,O,X,X,X,X,X,X,X,O,O,O,O,O,O
JZSTLIO,X,O,O,X,X,X,X,X,X,X,X,O,O,X,O,X,O
JZSTLOI,X,O,O,O,O,X,X,X,X,X,X,O,O,X,O,X,O
JZSTOIL,X,X,O,O,X,X,X,X,X,X,X,O,O,O,O,X,O
JZSTOLI,X,X,O,O,O,X,X,X,X,X,X,O,O,X,O,X,O
JZSITLO,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JZSITOL,X,X,X,O,X,X,X,X,X,X,O,O,X,O,X,O,X
JZSILTO,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JZSILOT,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
JZSIOTL,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X
JZSIOLT,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
JZSLTIO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JZSLTOI,X,O,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X
JZSLITO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZSLIOT,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JZSLOTI,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSLOIT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSOTIL,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O
JZSOTLI,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,O
JZSOITL,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSOILT,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
JZSOLTI,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSOLIT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOTILS,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZOTISL,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZOTLIS,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOTLSI,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZOTSIL,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOTSLI,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOITLS,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JZOITSL,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
JZOILTS,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JZOILST,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
JZOISTL,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
JZOISLT,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
