sequence,v115@zgC8GeB8HeB8FeF8CeG8DeB8Je37IvhFGeBylBRiBF?nBTrBUsB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JeR8IvhFGeBTgBlhB3?iBKrBUsB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JeR8IvhFGeBTgBihB3?iBcrBVxB,v115@zgC8GeB8HeB8FeF8CeG8DeB8Je37IvhFTeBlhBcnBm?lBCnBxwB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhFehBSiBTeBF?nB3mBxwB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhF6iBTeBmhBX?hB1rBxwB,v115@zgC8GeB8HeB8FeF8CeG8DeB8Je38IvhFGeBTgBliBU?hByrBxwB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JeX9IvhFTeBigBcnBG?mBFmBxwB,v115@zgC8GeB8HeB8FeF8CeG8DeB8Je37IvhFTeBxlBirBc?sBlrBGsB,v115@zgC8GeB8HeB8FeF8CeG8DeB8Jez7IvhFfiBxdB2lBC?jBcrBVxB,v115@zgC8GeB8HeB8FeF8CeG8DeB8Je1AJvhF0cBTeBxlBX?nB2wB6sB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhFicBGeBRiBF?mB3rBTsB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhFxdBFmBXnBO?rBzrBCtB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhFxiBFmBXnBT?rBmrBCtB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhF2hBRdBSjBF?mB3rBTsB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhFXhBxiBFnBT?rBmrBCtB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhF2hBTeBFmB3?rB5nBasB
TLZSOIJ,X,O,O,X,O,X,X,O,X,O,X,X,X,X,O,X,X
TLZSOJI,X,O,O,X,O,X,X,O,X,O,X,X,X,X,O,X,X
TLZOIJS,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLZOISJ,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLZOJIS,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLZOJSI,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TLZOSIJ,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TLZOSJI,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TLOIJSZ,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLOIJZS,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOISJZ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLOISZJ,O,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X
TLOIZJS,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TLOIZSJ,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TLOJISZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOJIZS,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOJSZI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJZIS,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOJZSI,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLOSIJZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLOSJIZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOSJZI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSZIJ,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLOSZJI,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLOZIJS,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLOZISJ,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLOZJIS,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLOZJSI,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TLOZSIJ,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TLOZSJI,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJILSOZ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TJILZSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJILZOS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJILOSZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TJILOZS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJISLZO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJISLOZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TJISZLO,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TJISZOL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJISOLZ,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TJISOZL,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TJIZLSO,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJIZLOS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJIZSLO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TJIZSOL,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X
TJIZOLS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJIZOSL,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TJIOLSZ,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
