sequence,v115@EhB8FeF8CeG8BeG8JeT6IvhFxbByhBGeB0gBlkBXqB,v115@EhB8FeF8CeG8BeG8JeT6IvhFxbByhBGeB0kBllBXqB,v115@EhB8FeF8CeG8BeG8Jex6IvhFygBzcBGeBlkB3lB0pB,v115@EhB8FeF8CeG8BeG8JeU7IvhFahBzcBGeBxkBFqB/pB,v115@EhB8FeF8CeG8BeG8Jel7IvhFzcBGeB/kBZlB8lB6pB
TJOLZIS,O,O,X,O,X
TJOLZSI,O,O,X,X,X
TJOSILZ,X,X,O,O,X
TJOSIZL,X,X,O,X,O
TJOSLIZ,O,X,O,O,X
TJOSLZI,O,X,O,X,X
TJOSZIL,O,X,O,X,O
TJOSZLI,O,X,O,X,X
TJOZILS,O,O,X,O,O
TJOZISL,O,X,X,X,O
TJOZLIS,O,O,X,O,O
TJOZLSI,O,O,X,X,X
TJOZSIL,O,O,O,X,O
TJOZSLI,O,O,O,X,X
TSILJZO,O,X,O,O,X
TSILJOZ,O,X,O,O,X
TSILZJO,O,X,O,O,X
TSILZOJ,O,X,O,O,X
TSILOJZ,O,X,O,O,X
TSILOZJ,O,X,O,O,X
TSIJLZO,O,X,O,O,X
TSIJLOZ,O,X,O,O,X
TSIJZLO,O,X,O,X,O
TSIJZOL,O,X,O,X,O
TSIJOLZ,O,X,O,O,X
TSIJOZL,O,X,O,X,O
TSIZLJO,O,X,O,X,O
TSIZLOJ,O,X,O,X,O
TSIZJLO,O,X,O,X,O
TSIZJOL,O,X,O,X,O
TSIZOLJ,O,X,O,X,O
TSIZOJL,O,X,O,X,O
TSIOLJZ,O,X,O,O,X
TSIOLZJ,O,X,O,O,X
TSIOJLZ,O,X,O,O,X
TSIOJZL,O,X,O,X,O
TSIOZLJ,O,X,O,X,O
TSIOZJL,O,X,O,X,O
TSLIJZO,O,O,O,O,X
TSLIJOZ,O,X,O,O,X
TSLIZJO,O,O,O,O,X
TSLIZOJ,O,O,O,O,X
TSLIOJZ,O,X,O,O,X
TSLIOZJ,O,X,O,O,X
TSLJIZO,O,O,O,O,X
TSLJIOZ,O,X,O,O,X
TSLJZIO,O,O,O,X,X
TSLJZOI,O,O,O,X,X
TSLJOIZ,O,X,O,O,X
TSLJOZI,O,X,O,X,X
TSLZIJO,O,O,O,X,X
TSLZIOJ,O,O,O,X,X
TSLZJIO,O,O,O,X,X
TSLZJOI,O,O,O,X,X
TSLZOIJ,O,O,O,X,X
TSLZOJI,O,O,O,X,X
TSLOIJZ,O,X,O,O,X
TSLOIZJ,O,X,O,O,X
TSLOJIZ,O,X,O,O,X
TSLOJZI,O,X,O,X,X
TSLOZIJ,O,X,O,X,X
TSLOZJI,O,X,O,X,X
TSJILZO,O,X,O,O,X
TSJILOZ,O,X,O,O,X
