sequence,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeT6Iv?hFOgBfiB6iBZjB0kBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeO/Iv?hFXbBSiBZjBUiBzkBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeO/Iv?hFXbBRdBUiBaoBzkBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeOAJv?hFfiB6iBZjBTfB0kBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeT6Iv?hFGdBZjBykBUiBXlBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8Jex6Iv?hFzcBmfBaoB3iB0kBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeWCJv?hFZjBifBXgBTiB0kBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeWCJv?hFZjBifB0fBTiBXlBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8Je06Iv?hFCdBZjB/kBTiBOlBFsB
TIZJLOS,O,X,O,X,O,O,O,O,X
TIZJSLO,O,O,O,O,O,O,X,X,X
TIZJSOL,O,X,O,O,X,O,X,X,X
TIZJOLS,O,X,O,X,O,O,X,X,X
TIZJOSL,O,X,O,O,X,O,X,X,X
TIZSLJO,O,O,O,O,O,X,X,X,X
TIZSLOJ,O,X,O,O,O,X,X,X,O
TIZSJLO,O,O,O,O,O,X,X,X,X
TIZSJOL,O,X,O,O,X,X,X,X,O
TIZSOLJ,O,X,O,O,X,X,X,X,O
TIZSOJL,O,X,O,O,X,X,X,X,O
TIZOLJS,O,O,O,X,O,O,X,X,X
TIZOLSJ,O,O,O,X,O,X,X,X,O
TIZOJLS,O,O,O,X,O,O,X,X,X
TIZOJSL,O,O,O,O,X,O,X,X,X
TIZOSLJ,O,O,O,O,X,X,X,X,O
TIZOSJL,O,O,O,O,X,X,X,X,O
TIOLJSZ,X,O,O,O,X,X,O,O,O
TIOLJZS,X,O,O,X,O,X,O,O,X
TIOLSJZ,X,O,O,O,X,X,X,X,O
TIOLSZJ,X,O,O,O,O,X,X,X,O
TIOLZJS,X,O,O,X,O,O,X,X,X
TIOLZSJ,X,O,O,X,O,X,X,X,O
TIOJLSZ,X,O,O,O,X,X,O,O,O
TIOJLZS,X,O,O,X,X,X,O,O,X
TIOJSLZ,O,O,O,O,X,X,X,X,O
TIOJSZL,O,O,O,O,X,X,X,X,O
TIOJZLS,O,O,O,X,X,X,X,X,X
TIOJZSL,O,O,O,O,X,X,X,X,X
TIOSLJZ,O,O,O,O,X,X,X,X,O
TIOSLZJ,O,O,O,O,X,X,X,X,O
TIOSJLZ,O,O,O,O,X,X,X,X,O
TIOSJZL,O,O,O,O,X,X,X,X,O
TIOSZLJ,O,O,O,O,X,X,X,X,O
TIOSZJL,O,O,O,O,X,X,X,X,O
TIOZLJS,O,O,O,X,O,O,X,X,X
TIOZLSJ,O,O,O,X,O,X,X,X,O
TIOZJLS,O,O,O,X,O,O,X,X,X
TIOZJSL,O,O,O,O,X,O,X,X,X
TIOZSLJ,O,O,O,O,X,X,X,X,O
TIOZSJL,O,O,O,O,X,X,X,X,O
TLIJSZO,O,O,O,O,X,X,O,O,X
TLIJSOZ,O,O,O,O,X,X,O,O,X
TLIJZSO,O,O,O,X,O,X,O,O,X
TLIJZOS,O,X,O,X,O,X,O,O,X
TLIJOSZ,X,O,O,O,X,X,O,O,X
TLIJOZS,X,O,O,X,O,X,O,O,X
TLISJZO,O,O,O,O,X,X,O,O,X
TLISJOZ,O,O,O,O,X,X,O,O,X
TLISZJO,O,O,O,O,O,X,X,X,X
TLISZOJ,O,X,O,O,O,X,X,X,O
TLISOJZ,O,O,O,O,X,X,X,X,O
TLISOZJ,O,O,O,O,O,X,X,X,O
TLIZJSO,O,O,O,X,O,O,O,O,X
TLIZJOS,O,X,O,X,O,O,O,O,X
TLIZSJO,O,O,O,X,O,X,X,X,X
TLIZSOJ,O,X,O,X,O,X,X,X,X
TLIZOJS,O,O,O,X,O,O,X,X,X
TLIZOSJ,O,O,O,X,O,X,X,X,X
TLIOJSZ,X,O,O,O,X,X,O,O,O
TLIOJZS,X,O,O,X,O,X,O,O,X
TLIOSJZ,X,O,O,O,X,X,X,X,O
TLIOSZJ,X,O,O,O,O,X,X,X,O
TLIOZJS,X,O,O,X,O,O,X,X,X
TLIOZSJ,X,O,O,X,O,X,X,X,O
TLJISZO,O,O,O,O,X,X,O,O,X
TLJISOZ,O,O,O,O,X,X,O,O,X
TLJIZSO,O,O,O,X,O,X,O,O,X
TLJIZOS,O,X,O,X,O,X,O,O,X
TLJIOSZ,X,O,O,O,X,X,O,O,X
TLJIOZS,X,O,O,X,O,X,O,O,X
TLJSIZO,O,O,O,O,X,X,O,O,X
TLJSIOZ,O,O,O,O,X,X,O,O,X
TLJSZIO,O,O,O,O,X,X,X,X,X
TLJSZOI,O,X,O,O,X,X,X,X,X
TLJSOIZ,O,O,O,O,X,X,X,X,X
TLJSOZI,O,X,O,O,X,X,X,X,X
TLJZISO,O,O,O,X,O,O,O,O,X
TLJZIOS,O,X,O,X,O,O,O,O,X
TLJZSIO,O,O,O,X,O,O,X,X,X
TLJZSOI,O,X,O,X,O,O,X,X,X
TLJZOIS,O,X,O,X,O,O,X,X,X
TLJZOSI,O,X,O,X,O,O,X,X,X
TLJOISZ,X,O,O,O,X,X,O,O,X
TLJOIZS,X,O,O,X,O,X,O,O,X
TLJOSIZ,X,O,O,O,X,X,X,X,X
TLJOSZI,X,O,O,O,X,X,X,X,X
TLJOZIS,X,O,O,X,O,O,X,X,X
TLJOZSI,X,O,O,X,O,O,X,X,X
TLSIJZO,O,O,O,O,X,X,O,O,X
TLSIJOZ,O,O,O,O,X,X,O,O,X
TLSIZJO,O,O,O,O,O,X,X,X,X
TLSIZOJ,O,X,O,O,O,X,X,X,O
TLSIOJZ,O,O,O,O,X,X,X,X,O
TLSIOZJ,O,O,O,O,O,X,X,X,O
TLSJIZO,O,O,O,O,X,X,O,O,X
TLSJIOZ,O,O,O,O,X,X,O,O,X
TLSJZIO,O,O,O,O,X,X,X,X,X
TLSJZOI,O,X,O,O,X,X,X,X,X
TLSJOIZ,O,O,O,O,X,X,X,X,X
TLSJOZI,O,X,O,O,X,X,X,X,X
TLSZIJO,O,O,O,O,O,X,X,X,X
TLSZIOJ,O,X,O,O,O,X,X,X,O
TLSZJIO,O,O,O,O,O,O,X,X,X
TLSZJOI,O,X,O,O,O,O,X,X,X
TLSZOIJ,O,X,O,O,O,X,X,X,O
TLSZOJI,O,X,O,O,O,O,X,X,O
TLSOIJZ,O,O,O,O,X,X,X,X,O
TLSOIZJ,O,O,O,O,O,X,X,X,O
TLSOJIZ,O,O,O,O,X,X,X,X,O
TLSOJZI,O,O,O,O,X,X,X,X,O
TLSOZIJ,O,O,O,O,O,X,X,X,O
TLSOZJI,O,O,O,O,O,O,X,X,O
TLZIJSO,O,O,O,X,O,O,O,O,X
TLZIJOS,O,X,O,X,O,O,O,O,X
TLZISJO,O,O,O,X,O,X,X,X,X
TLZISOJ,O,X,O,X,O,X,X,X,X
TLZIOJS,O,O,O,X,O,O,X,X,X
TLZIOSJ,O,O,O,X,O,X,X,X,X
TLZJISO,O,O,O,X,O,O,O,O,X
TLZJIOS,O,X,O,X,O,O,O,O,X
TLZJSIO,O,O,O,X,O,O,X,X,X
TLZJSOI,O,X,O,X,O,O,X,X,X
TLZJOIS,O,X,O,X,O,O,X,X,X
TLZJOSI,O,X,O,X,O,O,X,X,X
TLZSIJO,O,O,O,X,O,X,X,X,X
TLZSIOJ,O,X,O,X,O,X,X,X,X
TLZSJIO,O,O,O,X,O,O,X,X,X
TLZSJOI,O,X,O,X,O,O,X,X,X
TLZSOIJ,O,X,O,X,O,X,X,X,X
TLZSOJI,O,X,O,X,O,O,X,X,X
TLZOIJS,O,O,O,X,O,O,X,X,X
TLZOISJ,O,O,O,X,O,X,X,X,X
TLZOJIS,O,O,O,X,O,O,X,X,X
TLZOJSI,O,O,O,X,O,O,X,X,X
TLZOSIJ,O,O,O,X,O,X,X,X,X
TLZOSJI,O,O,O,X,O,O,X,X,X
TLOIJSZ,X,O,O,O,X,X,O,O,O
TLOIJZS,X,O,O,X,O,X,O,O,X
TLOISJZ,X,O,O,O,X,X,X,X,O
TLOISZJ,X,O,O,O,O,X,X,X,O
TLOIZJS,X,O,O,X,O,O,X,X,X
TLOIZSJ,X,O,O,X,O,X,X,X,O
TLOJISZ,X,O,O,O,X,X,O,O,O
TLOJIZS,X,O,O,X,O,X,O,O,X
TLOJSIZ,X,O,O,O,X,X,X,X,O
TLOJSZI,X,O,O,O,X,X,X,X,O
TLOJZIS,X,O,O,X,O,O,X,X,X
TLOJZSI,X,O,O,X,O,O,X,X,X
TLOSIJZ,X,O,O,O,X,X,X,X,O
TLOSIZJ,X,O,O,O,O,X,X,X,O
TLOSJIZ,X,O,O,O,X,X,X,X,O
TLOSJZI,X,O,O,O,X,X,X,X,O
TLOSZIJ,X,O,O,O,O,X,X,X,O
TLOSZJI,X,O,O,O,O,O,X,X,O
TLOZIJS,X,O,O,X,O,O,X,X,X
TLOZISJ,X,O,O,X,O,X,X,X,O
TLOZJIS,X,O,O,X,O,O,X,X,X
TLOZJSI,X,O,O,X,O,O,X,X,X
TLOZSIJ,X,O,O,X,O,X,X,X,O
TLOZSJI,X,O,O,X,O,O,X,X,O
TJILSZO,O,O,O,O,X,X,O,O,X
TJILSOZ,O,O,O,O,X,X,O,O,X
TJILZSO,O,O,O,X,O,X,O,O,X
TJILZOS,O,X,O,X,O,X,O,O,X
TJILOSZ,X,O,O,O,X,X,O,O,X
TJILOZS,X,O,X,X,O,X,O,O,X
TJISLZO,O,O,O,O,X,X,O,O,X
TJISLOZ,O,O,O,O,X,X,O,O,X
TJISZLO,O,O,O,O,X,X,X,X,X
TJISZOL,O,X,O,O,X,X,X,X,O
TJISOLZ,O,O,X,O,X,X,X,X,O
TJISOZL,O,X,X,O,X,X,X,X,O
TJIZLSO,O,O,O,X,O,X,O,O,X
TJIZLOS,O,X,O,X,O,X,O,O,X
TJIZSLO,O,O,O,O,O,X,X,X,X
TJIZSOL,O,X,O,O,X,X,X,X,X
TJIZOLS,O,X,X,X,O,X,X,X,X
TJIZOSL,O,X,O,O,X,X,X,X,X
TJIOLSZ,X,O,X,O,X,X,O,O,O
TJIOLZS,X,O,X,X,X,X,O,O,X
TJIOSLZ,O,O,X,O,X,X,X,X,O
TJIOSZL,O,O,X,O,X,X,X,X,O
TJIOZLS,O,O,X,X,X,X,X,X,X
TJIOZSL,O,O,X,O,X,X,X,X,X
TJLISZO,O,O,O,O,X,X,O,O,X
TJLISOZ,O,O,O,O,X,X,O,O,X
TJLIZSO,O,O,O,X,O,X,O,O,X
TJLIZOS,O,X,O,X,O,X,O,O,X
TJLIOSZ,X,O,O,O,X,X,O,O,X
TJLIOZS,X,O,O,X,O,X,O,O,X
TJLSIZO,O,O,O,O,X,X,O,O,X
TJLSIOZ,O,O,O,O,X,X,O,O,X
TJLSZIO,O,O,O,O,X,X,X,X,X
TJLSZOI,O,X,O,O,X,X,X,X,X
TJLSOIZ,O,O,O,O,X,X,X,X,X
TJLSOZI,O,X,O,O,X,X,X,X,X
TJLZISO,O,O,O,X,O,O,O,O,X
TJLZIOS,O,X,O,X,O,O,O,O,X
TJLZSIO,O,O,O,X,O,O,X,X,X
TJLZSOI,O,X,O,X,O,O,X,X,X
TJLZOIS,O,X,O,X,O,O,X,X,X
TJLZOSI,O,X,O,X,O,O,X,X,X
TJLOISZ,X,O,O,O,X,X,O,O,X
TJLOIZS,X,O,O,X,O,X,O,O,X
TJLOSIZ,X,O,O,O,X,X,X,X,X
TJLOSZI,X,O,O,O,X,X,X,X,X
TJLOZIS,X,O,O,X,O,O,X,X,X
TJLOZSI,X,O,O,X,O,O,X,X,X
TJSILZO,O,O,O,O,X,X,O,O,X
TJSILOZ,O,O,O,O,X,X,O,O,X
TJSIZLO,O,O,O,O,X,X,X,X,X
TJSIZOL,O,X,O,O,X,X,X,X,O
TJSIOLZ,O,O,X,O,X,X,X,X,O
TJSIOZL,O,X,X,O,X,X,X,X,O
TJSLIZO,O,O,O,O,X,X,O,O,X
TJSLIOZ,O,O,O,O,X,X,O,O,X
TJSLZIO,O,O,O,O,X,X,X,X,X
TJSLZOI,O,X,O,O,X,X,X,X,X
TJSLOIZ,O,O,O,O,X,X,X,X,X
TJSLOZI,O,X,O,O,X,X,X,X,X
TJSZILO,O,O,O,O,X,X,X,X,X
TJSZIOL,O,X,O,O,X,X,X,X,O
TJSZLIO,O,O,O,O,X,X,X,X,X
TJSZLOI,O,X,O,O,X,X,X,X,X
TJSZOIL,O,X,O,O,X,X,X,X,O
TJSZOLI,O,X,O,O,X,X,X,X,O
TJSOILZ,O,O,X,O,X,X,X,X,O
TJSOIZL,O,X,X,O,X,X,X,X,O
TJSOLIZ,O,O,O,O,X,X,X,X,O
TJSOLZI,O,X,O,O,X,X,X,X,O
TJSOZIL,O,X,O,O,X,X,X,X,O
TJSOZLI,O,X,O,O,X,X,X,X,O
TJZILSO,O,O,O,X,O,O,O,O,X
TJZILOS,O,X,O,X,O,O,O,O,X
TJZISLO,O,O,O,O,O,O,X,X,X
TJZISOL,O,X,O,O,X,O,X,X,X
TJZIOLS,O,X,O,X,O,O,X,X,X
TJZIOSL,O,X,O,O,X,O,X,X,X
TJZLISO,O,O,O,X,O,O,O,O,X
TJZLIOS,O,X,O,X,O,O,O,O,X
TJZLSIO,O,O,O,X,O,O,X,X,X
TJZLSOI,O,X,O,X,O,O,X,X,X
TJZLOIS,O,X,O,X,O,O,X,X,X
TJZLOSI,O,X,O,X,O,O,X,X,X
TJZSILO,O,O,O,O,O,O,X,X,X
TJZSIOL,O,X,O,O,X,O,X,X,X
TJZSLIO,O,O,O,O,O,O,X,X,X
TJZSLOI,O,X,O,O,O,O,X,X,X
TJZSOIL,O,X,O,O,X,O,X,X,X
TJZSOLI,O,X,O,O,X,O,X,X,X
TJZOILS,O,X,O,X,O,O,X,X,X
TJZOISL,O,X,O,O,X,O,X,X,X
TJZOLIS,O,X,O,X,O,O,X,X,X
TJZOLSI,O,X,O,X,O,O,X,X,X
TJZOSIL,O,X,O,O,X,O,X,X,X
TJZOSLI,O,X,O,O,X,O,X,X,X
TJOILSZ,X,O,O,O,X,X,O,O,O
TJOILZS,X,O,O,X,X,X,O,O,X
TJOISLZ,O,O,O,O,X,X,X,X,O
TJOISZL,O,O,O,O,X,X,X,X,O
TJOIZLS,O,O,O,X,X,X,X,X,X
TJOIZSL,O,O,O,O,X,X,X,X,X
TJOLISZ,X,O,O,O,X,X,O,O,O
TJOLIZS,X,O,O,X,X,X,O,O,X
TJOLSIZ,X,O,O,O,X,X,X,X,O
TJOLSZI,X,O,O,O,X,X,X,X,O
TJOLZIS,X,O,O,X,X,O,X,X,X
TJOLZSI,X,O,O,X,X,O,X,X,X
TJOSILZ,O,O,O,O,X,X,X,X,O
TJOSIZL,O,O,O,O,X,X,X,X,O
TJOSLIZ,O,O,O,O,X,X,X,X,O
TJOSLZI,O,O,O,O,X,X,X,X,O
TJOSZIL,O,O,O,O,X,X,X,X,O
TJOSZLI,O,O,O,O,X,X,X,X,O
TJOZILS,O,O,O,X,X,O,X,X,X
TJOZISL,O,O,O,O,X,O,X,X,X
TJOZLIS,O,O,O,X,X,O,X,X,X
TJOZLSI,O,O,O,X,X,O,X,X,X
TJOZSIL,O,O,O,O,X,O,X,X,X
TJOZSLI,O,O,O,O,X,O,X,X,X
TSILJZO,O,O,O,O,X,X,O,O,X
TSILJOZ,O,O,O,O,X,X,O,O,X
TSILZJO,O,O,O,O,O,X,X,X,X
TSILZOJ,O,X,O,O,O,X,X,X,O
TSILOJZ,O,O,O,O,X,X,X,X,O
TSILOZJ,O,O,X,O,O,X,X,X,O
TSIJLZO,O,O,O,O,X,X,O,O,X
TSIJLOZ,O,O,O,O,X,X,O,O,X
TSIJZLO,O,O,O,O,X,X,X,X,X
TSIJZOL,O,X,O,O,X,X,X,X,O
TSIJOLZ,O,O,X,O,X,X,X,X,O
TSIJOZL,O,X,X,O,X,X,X,X,O
TSIZLJO,O,O,O,O,O,X,X,X,X
TSIZLOJ,O,X,O,O,O,X,X,X,O
TSIZJLO,O,O,O,O,O,X,X,X,X
TSIZJOL,O,X,O,O,X,X,X,X,O
TSIZOLJ,O,X,X,O,X,X,X,X,O
TSIZOJL,O,X,O,O,X,X,X,X,O
TSIOLJZ,O,O,X,O,X,X,X,X,O
TSIOLZJ,O,O,X,O,X,X,X,X,O
TSIOJLZ,O,O,X,O,X,X,X,X,O
TSIOJZL,O,O,X,O,X,X,X,X,O
TSIOZLJ,O,O,X,O,X,X,X,X,O
TSIOZJL,O,O,X,O,X,X,X,X,O
TSLIJZO,O,O,O,O,X,X,O,O,X
TSLIJOZ,O,O,O,O,X,X,O,O,X
TSLIZJO,O,O,O,O,O,X,X,X,X
TSLIZOJ,O,X,O,O,O,X,X,X,O
TSLIOJZ,O,O,O,O,X,X,X,X,O
TSLIOZJ,O,O,O,O,O,X,X,X,O
TSLJIZO,O,O,O,O,X,X,O,O,X
TSLJIOZ,O,O,O,O,X,X,O,O,X
TSLJZIO,O,O,O,O,X,X,X,X,X
TSLJZOI,O,X,O,O,X,X,X,X,X
TSLJOIZ,O,O,O,O,X,X,X,X,X
TSLJOZI,O,X,O,O,X,X,X,X,X
TSLZIJO,O,O,O,O,O,X,X,X,X
TSLZIOJ,O,X,O,O,O,X,X,X,O
TSLZJIO,O,O,O,O,O,O,X,X,X
TSLZJOI,O,X,O,O,O,O,X,X,X
TSLZOIJ,O,X,O,O,O,X,X,X,O
TSLZOJI,O,X,O,O,O,O,X,X,O
TSLOIJZ,O,O,O,O,X,X,X,X,O
TSLOIZJ,O,O,O,O,O,X,X,X,O
TSLOJIZ,O,O,O,O,X,X,X,X,O
TSLOJZI,O,O,O,O,X,X,X,X,O
TSLOZIJ,O,O,O,O,O,X,X,X,O
TSLOZJI,O,O,O,O,O,O,X,X,O
TSJILZO,O,O,O,O,X,X,O,O,X
TSJILOZ,O,O,O,O,X,X,O,O,X
TSJIZLO,O,O,O,O,X,X,X,X,X
TSJIZOL,O,X,O,O,X,X,X,X,O
TSJIOLZ,O,O,X,O,X,X,X,X,O
TSJIOZL,O,X,X,O,X,X,X,X,O
TSJLIZO,O,O,O,O,X,X,O,O,X
TSJLIOZ,O,O,O,O,X,X,O,O,X
TSJLZIO,O,O,O,O,X,X,X,X,X
TSJLZOI,O,X,O,O,X,X,X,X,X
TSJLOIZ,O,O,O,O,X,X,X,X,X
TSJLOZI,O,X,O,O,X,X,X,X,X
TSJZILO,O,O,O,O,X,X,X,X,X
TSJZIOL,O,X,O,O,X,X,X,X,O
TSJZLIO,O,O,O,O,X,X,X,X,X
TSJZLOI,O,X,O,O,X,X,X,X,X
TSJZOIL,O,X,O,O,X,X,X,X,O
TSJZOLI,O,X,O,O,X,X,X,X,O
TSJOILZ,O,O,X,O,X,X,X,X,O
TSJOIZL,O,X,X,O,X,X,X,X,O
TSJOLIZ,O,O,O,O,X,X,X,X,O
TSJOLZI,O,X,O,O,X,X,X,X,O
TSJOZIL,O,X,O,O,X,X,X,X,O
TSJOZLI,O,X,O,O,X,X,X,X,O
TSZILJO,O,O,O,O,O,X,X,X,X
TSZILOJ,O,X,O,O,O,X,X,X,O
TSZIJLO,O,O,O,O,O,X,X,X,X
TSZIJOL,O,X,O,O,X,X,X,X,O
TSZIOLJ,O,X,O,O,X,X,X,X,O
TSZIOJL,O,X,O,O,X,X,X,X,O
TSZLIJO,O,O,O,O,O,X,X,X,X
TSZLIOJ,O,X,O,O,O,X,X,X,O
TSZLJIO,O,O,O,O,O,O,X,X,X
TSZLJOI,O,X,O,O,O,O,X,X,X
TSZLOIJ,O,X,O,O,O,X,X,X,O
TSZLOJI,O,X,O,O,O,O,X,X,O
TSZJILO,O,O,O,O,O,O,X,X,X
TSZJIOL,O,X,O,O,X,O,X,X,O
TSZJLIO,O,O,O,O,O,O,X,X,X
TSZJLOI,O,X,O,O,O,O,X,X,X
TSZJOIL,O,X,O,O,X,O,X,X,O
TSZJOLI,O,X,O,O,X,O,X,X,O
TSZOILJ,O,X,O,O,X,X,X,X,O
TSZOIJL,O,X,O,O,X,X,X,X,O
TSZOLIJ,O,X,O,O,X,X,X,X,O
TSZOLJI,O,X,O,O,X,O,X,X,O
TSZOJIL,O,X,O,O,X,O,X,X,O
TSZOJLI,O,X,O,O,X,O,X,X,O
TSOILJZ,O,O,O,O,X,X,X,X,O
TSOILZJ,O,O,O,O,X,X,X,X,O
TSOIJLZ,O,O,O,O,X,X,X,X,O
TSOIJZL,O,O,O,O,X,X,X,X,O
TSOIZLJ,O,O,O,O,X,X,X,X,O
TSOIZJL,O,O,O,O,X,X,X,X,O
TSOLIJZ,O,O,O,O,X,X,X,X,O
TSOLIZJ,O,O,O,O,X,X,X,X,O
TSOLJIZ,O,O,O,O,X,X,X,X,O
TSOLJZI,O,O,O,O,X,X,X,X,O
TSOLZIJ,O,O,O,O,X,X,X,X,O
TSOLZJI,O,O,O,O,X,O,X,X,O
TSOJILZ,O,O,O,O,X,X,X,X,O
TSOJIZL,O,O,O,O,X,X,X,X,O
TSOJLIZ,O,O,O,O,X,X,X,X,O
TSOJLZI,O,O,O,O,X,X,X,X,O
TSOJZIL,O,O,O,O,X,X,X,X,O
TSOJZLI,O,O,O,O,X,X,X,X,O
TSOZILJ,O,O,O,O,X,X,X,X,O
TSOZIJL,O,O,O,O,X,X,X,X,O
TSOZLIJ,O,O,O,O,X,X,X,X,O
TSOZLJI,O,O,O,O,X,O,X,X,O
TSOZJIL,O,O,O,O,X,O,X,X,O
TSOZJLI,O,O,O,O,X,O,X,X,O
TZILJSO,O,O,O,X,O,O,O,O,X
TZILJOS,O,X,O,X,O,O,O,O,X
TZILSJO,O,O,O,X,O,X,X,X,X
TZILSOJ,O,X,O,X,O,X,X,X,X
TZILOJS,O,O,O,X,O,O,X,X,X
TZILOSJ,O,O,O,X,O,X,X,X,X
TZIJLSO,O,O,O,X,O,O,O,O,X
TZIJLOS,O,X,O,X,O,O,O,O,X
TZIJSLO,O,O,O,O,O,O,X,X,X
