sequence,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFahBRdBumBz?iBNsBUrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Jex7IvhFTdBejB6lB0?hBNrBXsB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFNhBRdBXiB8?nBWrBywB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFahB5hBTdBe?jBNsBUrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFxcBdjBihBW?rBcsB3rB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFxcBdjBmhBf?rBSsB0rB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Jex7IvhF8hBajBmgB9?nBfrBzrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Jex7IvhFXdBdjB6lB2?mBcsBTrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFUdBajBWrBx?mBXsBNrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFzdBihBRnBG?mBNsBUrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFahBzdBRnBu?mBNsBUrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFmdB0iBRmB6?mBdrBXsB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Jex7IvhFdiBzdB0gBS?rB3nB2wB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFRdB2nBCmB3?nB0rBNrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFNhBmiB5mBi?iBfrBcsB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFXhBRnB8nBe?sBdrBCsB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je2AJvhFzdB9mB3nBU?rBZnBCrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFRcBThBynBu?nBdsBUrB
TLJOIZS,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJOSZI,O,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X
TLJOZIS,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLJOZSI,O,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X
TLSIJZO,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSIJOZ,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TLSIZJO,X,O,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
TLSIZOJ,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLSIOJZ,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLSIOZJ,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLSJIZO,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TLSJZIO,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TLSJZOI,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TLSJOIZ,O,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
TLSJOZI,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TLSZIJO,O,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLSZIOJ,O,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLSZJIO,O,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLSZJOI,O,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLSZOIJ,O,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,O
TLSZOJI,O,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,O
TLSOIJZ,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TLSOIZJ,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLSOJIZ,O,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
TLSOJZI,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TLSOZIJ,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLSOZJI,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZIJSO,X,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TLZIJOS,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZISJO,X,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TLZISOJ,X,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZIOJS,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZJISO,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TLZJIOS,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZJSIO,O,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X
TLZJSOI,O,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X
TLZJOIS,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZJOSI,O,O,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
TLZSIJO,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZSIOJ,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZSJIO,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZSJOI,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZSOIJ,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,O
TLZSOJI,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,O
TLZOIJS,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZOISJ,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZOJIS,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZOJSI,O,O,O,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X
TLZOSIJ,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O
TLZOSJI,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O
TLOIJSZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJZS,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOISJZ,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TLOISZJ,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLOIZJS,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOJISZ,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLOJIZS,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLOJSZI,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X
TLOJZIS,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOJZSI,O,O,O,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X
TLOSIJZ,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TLOSIZJ,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLOSJIZ,O,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
TLOSJZI,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TLOSZIJ,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLOSZJI,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLOZIJS,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOZISJ,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLOZJIS,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOZJSI,O,O,O,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X
TLOZSIJ,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLOZSJI,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TJILSZO,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJILSOZ,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TJILZSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJILZOS,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJILOSZ,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TJILOZS,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJISLZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISLOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISZLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISZOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISOLZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJISOZL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZLSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZLOS,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZSLO,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZSOL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZOLS,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZOSL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOLSZ,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TJIOLZS,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJIOSLZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJIOSZL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOZLS,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOZSL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLISZO,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJLISOZ,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TJLIZSO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLIZOS,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLIOSZ,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TJLIOZS,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLSIZO,O,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TJLSIOZ,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
