sequence,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFXcBFiB6rB0nBzq?B2xB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFXcBFiB8qB+rBTn?ByxB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFciBFhBfsBimBWw?BzsB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFTdBFhBUnBGrByx?BXrB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFFhBXiB6rB0nBzq?B2xB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFFhBXiB0nBCrB2x?BTrB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFXcBFiBTmBWwBis?B0sB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFUhBFiBXmBOsBSw?BzsB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFXcBTdBcmBVsBWw?ByxB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFFhBXiB8qB+rBTn?ByxB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFlcBciBamBfsBWw?BzsB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFVhBXiB8qB+rBTn?ByxB
TIJSLOZ,X,X,X,X,O,O,X,X,X,X,X,X
TIJSZLO,X,X,O,X,O,O,X,X,O,O,O,X
TIJSZOL,X,X,O,X,O,O,X,X,O,O,O,X
TIJSOLZ,X,X,X,X,O,O,X,X,X,X,X,X
TIJSOZL,X,X,O,X,O,O,X,X,O,X,X,X
TIJZLSO,X,X,O,X,X,X,X,O,O,X,X,X
TIJZLOS,X,X,X,X,X,X,X,O,O,X,X,X
TIJZSLO,X,X,O,X,O,O,X,O,O,X,X,O
TIJZSOL,X,X,O,X,O,O,X,X,O,X,X,O
TIJZOLS,X,X,X,X,X,X,X,O,O,X,X,X
TIJZOSL,X,X,O,X,X,X,X,O,O,X,X,X
TIJOLSZ,O,X,X,X,O,X,O,X,O,X,X,X
TIJOLZS,O,X,X,O,X,X,O,X,O,X,X,X
TIJOSLZ,X,X,X,X,O,O,O,X,X,X,X,X
TIJOSZL,X,X,X,X,O,O,O,X,O,X,X,X
TIJOZLS,X,X,X,X,X,X,X,X,O,X,X,X
TIJOZSL,X,X,O,X,O,X,O,X,O,X,X,X
TISLJZO,O,X,X,X,O,O,X,X,X,O,X,X
TISLJOZ,O,X,X,X,O,O,X,X,X,O,X,X
TISLZJO,O,O,O,X,O,O,X,X,X,O,O,O
TISLZOJ,X,X,O,X,X,X,X,X,X,O,O,O
TISLOJZ,O,X,X,X,O,O,X,X,X,O,X,X
TISLOZJ,X,X,X,X,O,X,X,X,X,O,X,X
TISJLZO,X,X,X,X,O,O,X,X,X,O,X,X
TISJLOZ,X,X,X,X,O,O,X,X,X,O,X,X
TISJZLO,X,X,O,X,O,O,X,X,X,O,X,X
TISJZOL,X,X,O,X,O,O,X,X,X,O,X,X
TISJOLZ,X,X,X,X,O,O,X,X,X,X,X,X
TISJOZL,X,X,X,X,O,O,X,X,X,X,X,X
TISZLJO,X,O,O,X,O,O,X,O,X,O,O,O
TISZLOJ,X,X,O,X,X,X,X,O,X,O,O,O
TISZJLO,X,O,O,X,O,O,X,O,X,O,O,O
TISZJOL,X,O,O,X,O,O,X,X,X,O,X,O
TISZOLJ,X,X,O,X,O,X,X,O,X,O,O,O
TISZOJL,X,X,X,X,O,X,X,O,X,O,X,O
TISOLJZ,X,X,X,X,O,O,X,X,X,X,X,X
TISOLZJ,X,X,X,O,O,X,X,X,X,O,X,X
TISOJLZ,X,X,X,X,O,O,X,X,X,X,X,X
TISOJZL,X,X,X,X,O,O,X,X,X,X,X,X
TISOZLJ,X,X,O,X,O,X,X,X,X,O,X,X
TISOZJL,X,X,X,X,O,X,X,X,X,O,X,X
TIZLJSO,X,O,O,X,X,X,X,O,X,X,X,O
TIZLJOS,X,O,X,X,X,X,X,O,X,X,X,X
TIZLSJO,X,O,O,X,X,X,X,O,X,X,O,O
TIZLSOJ,X,X,O,X,X,X,X,O,X,X,O,O
TIZLOJS,X,X,X,X,X,X,X,O,X,X,X,X
TIZLOSJ,X,X,X,X,X,X,X,O,X,X,X,O
TIZJLSO,X,O,O,X,X,X,X,O,X,X,X,X
TIZJLOS,X,O,X,X,X,X,X,O,X,X,X,X
TIZJSLO,X,O,O,X,O,O,X,O,X,X,O,O
TIZJSOL,X,O,O,X,O,O,X,X,X,X,X,O
TIZJOLS,X,X,X,X,X,X,X,O,X,X,X,X
TIZJOSL,X,O,O,X,X,X,X,O,X,X,X,X
TIZSLJO,X,O,O,X,O,O,X,O,X,O,O,O
TIZSLOJ,X,X,O,X,X,X,X,O,X,O,O,O
TIZSJLO,X,O,O,X,O,O,X,O,X,O,O,O
TIZSJOL,X,O,O,X,O,O,X,X,X,O,X,O
TIZSOLJ,X,X,O,X,O,X,X,O,X,O,O,O
TIZSOJL,X,X,X,X,O,X,X,O,X,O,X,O
TIZOLJS,X,X,O,O,X,X,X,O,X,X,X,X
TIZOLSJ,X,X,O,O,X,X,X,O,X,X,O,X
TIZOJLS,X,X,O,X,X,X,X,O,X,X,X,X
TIZOJSL,X,X,O,X,X,X,X,O,X,X,O,X
TIZOSLJ,X,X,O,X,X,X,X,O,X,X,O,O
TIZOSJL,X,X,O,X,X,X,X,O,X,X,O,O
TIOLJSZ,O,X,X,X,O,X,X,X,O,X,O,X
TIOLJZS,O,X,O,O,X,X,X,O,O,X,X,X
TIOLSJZ,O,X,X,X,O,X,X,X,X,X,X,X
TIOLSZJ,O,X,X,O,O,X,X,O,O,X,O,X
TIOLZJS,X,X,O,O,X,X,X,O,O,X,X,X
TIOLZSJ,O,X,O,O,X,X,X,O,O,X,X,O
TIOJLSZ,O,X,X,X,O,X,X,X,O,X,O,X
TIOJLZS,O,X,O,O,X,X,X,X,O,X,X,X
TIOJSLZ,X,X,O,X,O,O,X,X,X,X,X,X
TIOJSZL,X,X,O,X,O,O,X,X,O,X,O,X
TIOJZLS,X,X,O,X,X,X,X,O,O,X,X,X
TIOJZSL,X,X,O,X,O,X,X,O,O,X,X,X
TIOSLJZ,O,X,X,X,O,O,X,X,X,X,X,X
TIOSLZJ,O,X,O,O,O,X,X,X,X,O,O,X
TIOSJLZ,X,X,X,X,O,O,X,X,X,X,X,X
TIOSJZL,X,X,O,X,O,O,X,X,X,X,X,X
TIOSZLJ,X,X,O,X,O,X,X,O,X,O,O,X
TIOSZJL,X,X,O,X,O,X,X,O,X,O,O,X
TIOZLJS,X,X,O,O,X,X,X,O,X,X,X,X
TIOZLSJ,X,X,O,O,X,X,X,O,X,X,O,X
TIOZJLS,X,X,O,X,X,X,X,O,X,X,X,X
TIOZJSL,X,X,O,X,O,X,X,O,X,X,O,X
TIOZSLJ,X,X,O,X,O,X,X,O,X,X,O,O
TIOZSJL,X,X,O,X,O,X,X,O,X,X,O,O
TLIJSZO,O,X,X,O,O,O,X,X,O,O,O,X
TLIJSOZ,O,X,X,X,O,O,X,X,O,X,X,X
TLIJZSO,O,X,O,O,X,O,X,O,O,X,X,O
TLIJZOS,X,X,X,O,X,X,X,O,O,X,X,X
TLIJOSZ,O,X,X,X,X,O,O,X,O,X,X,X
TLIJOZS,X,X,X,O,X,X,O,X,O,X,X,X
TLISJZO,O,X,X,X,O,O,X,X,X,O,X,X
TLISJOZ,O,X,X,X,O,O,X,X,X,O,X,X
TLISZJO,O,O,X,X,O,O,X,O,O,O,O,O
TLISZOJ,X,X,X,O,X,X,X,O,O,O,O,O
TLISOJZ,O,X,X,X,O,O,X,X,X,O,X,X
TLISOZJ,X,X,X,O,O,X,X,X,O,O,X,X
TLIZJSO,X,O,O,O,X,O,X,O,O,X,X,O
TLIZJOS,X,O,X,O,X,X,X,O,O,X,X,X
TLIZSJO,O,O,O,X,X,O,X,O,O,O,X,O
TLIZSOJ,X,X,O,O,X,X,X,O,O,O,X,O
TLIZOJS,X,X,X,O,X,X,X,O,O,X,X,X
TLIZOSJ,X,X,X,O,X,X,X,O,O,X,X,O
TLIOJSZ,O,X,X,X,X,O,X,X,O,X,O,X
TLIOJZS,X,X,X,O,X,X,X,X,O,X,X,X
TLIOSJZ,O,X,X,X,X,O,X,X,X,X,X,X
TLIOSZJ,O,X,X,O,X,X,X,X,O,O,O,X
TLIOZJS,X,X,X,O,X,X,X,O,O,X,X,X
TLIOZSJ,O,X,X,O,X,X,X,O,O,X,X,O
TLJISZO,O,X,X,O,O,O,X,X,O,O,O,X
TLJISOZ,O,X,X,X,O,O,X,X,O,X,X,X
TLJIZSO,O,O,O,O,X,O,X,O,O,X,X,O
TLJIZOS,X,O,X,O,X,X,X,O,O,X,X,X
TLJIOSZ,O,X,X,X,X,O,O,X,O,X,X,X
TLJIOZS,O,X,X,O,X,X,O,X,O,X,X,X
TLJSIZO,O,X,X,O,O,O,X,X,O,O,O,X
TLJSIOZ,O,X,X,X,O,O,X,X,O,O,X,X
TLJSZIO,O,O,X,O,O,O,X,X,O,O,O,X
TLJSZOI,O,O,X,O,O,O,X,X,O,O,O,X
TLJSOIZ,O,X,X,X,O,O,X,X,O,O,X,X
TLJSOZI,O,X,X,X,O,O,X,X,O,O,X,X
TLJZISO,O,O,O,O,X,O,X,O,O,X,X,O
TLJZIOS,X,O,X,O,X,X,X,O,O,X,X,X
TLJZSIO,O,O,O,O,X,O,X,O,O,X,X,O
TLJZSOI,O,O,O,O,X,O,X,O,O,X,X,O
TLJZOIS,O,O,X,O,X,X,X,O,O,X,X,X
TLJZOSI,O,O,X,O,X,X,X,O,O,X,X,X
TLJOISZ,O,X,X,X,X,O,O,X,O,X,X,X
TLJOIZS,O,X,X,O,X,X,O,X,O,X,X,X
TLJOSIZ,O,X,X,X,X,O,O,X,O,X,X,X
TLJOSZI,O,X,X,X,X,O,O,X,O,X,X,X
TLJOZIS,O,O,X,O,X,X,O,X,O,X,X,X
TLJOZSI,O,O,X,O,X,X,O,X,O,X,X,X
TLSIJZO,O,X,X,X,O,O,X,X,X,O,X,X
TLSIJOZ,O,X,X,X,O,O,X,X,X,O,X,X
TLSIZJO,O,O,X,X,O,O,X,O,O,O,O,O
TLSIZOJ,X,X,X,O,X,X,X,O,O,O,O,O
TLSIOJZ,O,X,X,X,O,O,X,X,X,O,X,X
TLSIOZJ,X,X,X,O,O,X,X,X,O,O,X,X
TLSJIZO,O,X,X,X,O,O,X,X,X,O,X,X
TLSJIOZ,O,X,X,X,O,O,X,X,X,O,X,X
TLSJZIO,O,X,X,X,O,O,X,X,X,O,X,X
TLSJZOI,O,X,X,X,O,O,X,X,X,O,X,X
TLSJOIZ,O,X,X,X,O,O,X,X,X,O,X,X
TLSJOZI,O,X,X,X,O,O,X,X,X,O,X,X
TLSZIJO,O,O,X,X,O,O,X,O,O,O,O,O
TLSZIOJ,X,X,X,O,X,X,X,O,O,O,O,O
TLSZJIO,O,O,X,X,O,O,X,O,O,O,O,O
TLSZJOI,O,O,X,X,O,O,X,O,O,O,X,O
TLSZOIJ,X,X,X,O,X,X,X,O,O,O,O,O
TLSZOJI,X,X,X,O,X,X,X,O,O,O,X,O
TLSOIJZ,O,X,X,X,O,O,X,X,X,O,X,X
TLSOIZJ,O,X,X,O,O,X,X,X,O,O,X,X
TLSOJIZ,O,X,X,X,O,O,X,X,X,O,X,X
TLSOJZI,O,X,X,X,O,O,X,X,X,O,X,X
TLSOZIJ,O,X,X,X,O,X,X,X,O,O,X,X
TLSOZJI,O,X,X,X,O,X,X,X,O,O,X,X
TLZIJSO,X,O,O,O,X,O,X,O,O,X,X,O
TLZIJOS,X,O,X,O,X,X,X,O,O,X,X,X
TLZISJO,O,O,O,X,X,O,X,O,O,O,X,O
TLZISOJ,X,X,O,O,X,X,X,O,O,O,X,O
TLZIOJS,X,X,X,O,X,X,X,O,O,X,X,X
TLZIOSJ,X,X,X,O,X,X,X,O,O,X,X,O
TLZJISO,X,O,O,O,X,O,X,O,O,X,X,O
TLZJIOS,X,O,X,O,X,X,X,O,O,X,X,X
TLZJSIO,X,O,O,O,X,O,X,O,O,X,X,O
TLZJSOI,X,O,O,O,X,O,X,O,O,X,X,O
TLZJOIS,X,O,X,O,X,X,X,O,O,X,X,X
TLZJOSI,X,O,X,O,X,X,X,O,O,X,X,X
TLZSIJO,O,O,O,X,X,O,X,O,O,O,X,O
TLZSIOJ,X,X,O,O,X,X,X,O,O,O,X,O
TLZSJIO,O,O,O,X,X,O,X,O,O,O,X,O
TLZSJOI,O,O,O,X,X,O,X,O,O,O,X,O
TLZSOIJ,X,X,O,O,X,X,X,O,O,O,X,O
TLZSOJI,X,X,X,O,X,X,X,O,O,O,X,O
TLZOIJS,X,X,X,O,X,X,X,O,O,X,X,X
TLZOISJ,O,X,X,O,X,X,X,O,O,X,X,O
TLZOJIS,X,X,X,O,X,X,X,O,O,X,X,X
TLZOJSI,X,X,X,O,X,X,X,O,O,X,X,X
TLZOSIJ,O,X,X,O,X,X,X,O,O,X,X,O
TLZOSJI,O,X,X,O,X,X,X,O,O,X,X,O
TLOIJSZ,O,X,X,X,X,O,X,X,O,X,O,X
TLOIJZS,X,X,X,O,X,X,X,X,O,X,X,X
TLOISJZ,O,X,X,X,X,O,X,X,X,X,X,X
TLOISZJ,O,X,X,O,X,X,X,X,O,O,O,X
TLOIZJS,X,X,X,O,X,X,X,O,O,X,X,X
TLOIZSJ,O,X,X,O,X,X,X,O,O,X,X,O
TLOJISZ,O,X,X,X,X,O,X,X,O,X,O,X
TLOJIZS,X,X,X,O,X,X,X,X,O,X,X,X
TLOJSIZ,O,X,X,X,X,O,X,X,O,X,O,X
TLOJSZI,O,X,X,X,X,O,X,X,O,X,O,X
TLOJZIS,X,X,X,X,X,X,X,X,O,X,X,X
TLOJZSI,X,X,X,X,X,X,X,X,O,X,X,X
TLOSIJZ,O,X,X,X,X,O,X,X,X,O,X,X
TLOSIZJ,O,X,X,O,X,X,X,X,O,O,O,X
TLOSJIZ,O,X,X,X,X,O,X,X,X,O,X,X
TLOSJZI,O,X,X,X,X,O,X,X,X,O,X,X
TLOSZIJ,O,X,X,X,X,X,X,X,O,O,O,X
TLOSZJI,O,X,X,X,X,X,X,X,O,O,O,X
TLOZIJS,X,X,X,O,X,X,X,O,O,X,X,X
TLOZISJ,O,X,X,O,X,X,X,O,O,X,X,O
TLOZJIS,X,X,X,O,X,X,X,O,O,X,X,X
TLOZJSI,X,X,X,O,X,X,X,O,O,X,X,X
TLOZSIJ,O,X,X,O,X,X,X,O,O,X,X,O
TLOZSJI,O,X,X,O,X,X,X,O,O,X,X,O
TJILSZO,O,X,X,O,O,O,X,X,O,X,O,X
TJILSOZ,O,X,X,X,O,O,X,X,O,X,X,X
TJILZSO,O,X,O,O,X,O,X,X,O,X,X,O
TJILZOS,X,X,X,O,X,X,X,X,O,X,X,X
TJILOSZ,O,X,X,X,X,O,O,X,O,X,X,X
TJILOZS,O,X,X,O,X,X,O,X,O,X,X,X
TJISLZO,X,X,O,X,O,O,X,X,X,O,X,X
TJISLOZ,X,X,X,X,O,O,X,X,X,X,X,X
TJISZLO,X,X,O,X,O,O,X,X,O,O,O,X
TJISZOL,X,X,O,X,O,O,X,X,O,O,O,X
TJISOLZ,X,X,X,X,O,O,X,X,X,X,X,X
TJISOZL,X,X,O,X,O,O,X,X,O,X,X,X
TJIZLSO,X,O,O,X,X,X,X,O,O,X,X,X
TJIZLOS,X,X,X,X,X,X,X,O,O,X,X,X
TJIZSLO,X,O,O,X,O,O,X,O,O,X,X,O
TJIZSOL,X,O,O,X,O,O,X,X,O,X,X,O
TJIZOLS,X,X,X,X,X,X,X,O,O,X,X,X
TJIZOSL,X,O,O,X,X,X,X,O,O,X,X,X
TJIOLSZ,O,X,X,X,O,X,O,X,O,X,X,X
TJIOLZS,O,X,X,O,X,X,O,X,O,X,X,X
TJIOSLZ,X,X,X,X,O,O,O,X,X,X,X,X
TJIOSZL,X,X,X,X,O,O,O,X,O,X,X,X
TJIOZLS,X,X,X,X,X,X,X,X,O,X,X,X
TJIOZSL,X,X,O,X,O,X,O,X,O,X,X,X
TJLISZO,O,X,X,O,O,O,X,X,O,X,O,X
TJLISOZ,O,X,X,X,O,O,X,X,O,X,X,X
TJLIZSO,O,O,O,O,X,O,X,O,O,X,X,O
TJLIZOS,X,O,X,O,X,X,X,O,O,X,X,X
TJLIOSZ,O,X,X,X,X,O,O,X,O,X,X,X
TJLIOZS,O,X,X,O,X,X,O,X,O,X,X,X
TJLSIZO,O,X,X,O,O,O,X,X,O,X,O,X
TJLSIOZ,O,X,X,X,O,O,X,X,O,X,X,X
TJLSZIO,O,O,X,O,O,O,X,X,O,X,O,X
TJLSZOI,O,O,X,O,O,O,X,X,O,X,O,X
TJLSOIZ,O,X,X,X,O,O,X,X,O,X,X,X
TJLSOZI,O,X,X,X,O,O,X,X,O,X,X,X
TJLZISO,O,O,O,O,X,O,X,O,O,X,X,O
TJLZIOS,X,O,X,O,X,X,X,O,O,X,X,X
TJLZSIO,O,O,O,O,X,O,X,O,O,X,X,O
TJLZSOI,O,O,O,O,X,O,X,O,O,X,X,O
TJLZOIS,O,O,X,O,X,X,X,O,O,X,X,X
TJLZOSI,O,O,X,O,X,X,X,O,O,X,X,X
TJLOISZ,O,X,X,X,X,O,O,X,O,X,X,X
TJLOIZS,O,X,X,O,X,X,O,X,O,X,X,X
TJLOSIZ,O,X,X,X,X,O,O,X,O,X,X,X
TJLOSZI,O,X,X,X,X,O,O,X,O,X,X,X
TJLOZIS,O,O,X,O,X,X,O,X,O,X,X,X
TJLOZSI,O,O,X,O,X,X,O,X,O,X,X,X
TJSILZO,X,X,O,X,O,O,X,X,X,O,X,X
TJSILOZ,X,X,X,X,O,O,X,X,X,O,X,X
TJSIZLO,X,X,O,X,O,O,X,X,O,O,O,X
TJSIZOL,X,X,O,X,O,O,X,X,O,O,O,X
TJSIOLZ,X,X,X,X,O,O,X,X,X,X,X,X
TJSIOZL,X,X,O,X,O,O,X,X,O,X,X,X
TJSLIZO,O,X,O,X,O,O,X,X,X,O,O,X
TJSLIOZ,O,X,X,X,O,O,X,X,X,O,X,X
TJSLZIO,O,X,O,X,O,O,X,X,X,O,O,X
TJSLZOI,O,X,O,X,O,O,X,X,X,O,O,X
TJSLOIZ,O,X,X,X,O,O,X,X,X,O,X,X
TJSLOZI,O,X,X,X,O,O,X,X,X,O,X,X
TJSZILO,X,O,O,X,O,O,X,X,O,O,O,X
TJSZIOL,X,O,O,X,O,O,X,X,O,O,O,X
TJSZLIO,X,O,O,X,O,O,X,X,O,O,O,X
TJSZLOI,X,O,O,X,O,O,X,X,O,O,O,X
TJSZOIL,X,O,O,X,O,O,X,X,O,O,O,X
TJSZOLI,X,O,O,X,O,O,X,X,O,O,X,X
TJSOILZ,X,X,X,X,O,O,X,X,X,X,X,X
TJSOIZL,X,X,O,X,O,O,X,X,O,X,X,X
TJSOLIZ,X,X,X,X,O,O,X,X,X,O,X,X
TJSOLZI,X,X,X,X,O,O,X,X,X,O,X,X
TJSOZIL,X,X,O,X,O,O,X,X,O,O,X,X
TJSOZLI,X,X,O,X,O,O,X,X,O,O,X,X
TJZILSO,X,O,O,X,X,X,X,O,O,X,X,X
TJZILOS,X,O,X,X,X,X,X,O,O,X,X,X
TJZISLO,X,O,O,X,O,O,X,O,O,X,X,O
TJZISOL,X,O,O,X,O,O,X,X,O,X,X,O
TJZIOLS,X,X,X,X,X,X,X,O,O,X,X,X
TJZIOSL,X,O,O,X,X,X,X,O,O,X,X,X
TJZLISO,O,O,O,X,X,X,X,O,O,X,X,X
TJZLIOS,X,O,X,X,X,X,X,O,O,X,X,X
TJZLSIO,O,O,O,X,X,X,X,O,O,X,X,X
TJZLSOI,O,O,O,X,X,X,X,O,O,X,X,X
TJZLOIS,O,O,X,X,X,X,X,O,O,X,X,X
TJZLOSI,O,O,X,X,X,X,X,O,O,X,X,X
TJZSILO,X,O,O,X,O,O,X,O,O,X,X,O
TJZSIOL,X,O,O,X,O,O,X,X,O,X,X,O
TJZSLIO,X,O,O,X,O,O,X,O,O,X,X,O
TJZSLOI,X,O,O,X,O,O,X,O,O,X,X,O
TJZSOIL,X,O,O,X,O,O,X,X,O,X,X,O
TJZSOLI,X,O,O,X,O,O,X,X,O,X,X,O
TJZOILS,X,X,X,X,X,X,X,O,O,X,X,X
TJZOISL,X,O,O,X,X,X,X,O,O,X,X,X
TJZOLIS,X,X,X,X,X,X,X,O,O,X,X,X
TJZOLSI,X,X,X,X,X,X,X,O,O,X,X,X
TJZOSIL,X,O,O,X,X,X,X,O,O,X,X,X
TJZOSLI,X,O,O,X,X,X,X,O,O,X,X,X
TJOILSZ,O,X,X,X,O,X,O,X,O,X,X,X
TJOILZS,O,X,X,O,X,X,O,X,O,X,X,X
TJOISLZ,X,X,X,X,O,O,O,X,X,X,X,X
TJOISZL,X,X,X,X,O,O,O,X,O,X,X,X
TJOIZLS,X,X,X,X,X,X,X,X,O,X,X,X
TJOIZSL,X,X,O,X,O,X,O,X,O,X,X,X
TJOLISZ,O,X,X,X,O,X,O,X,O,X,X,X
TJOLIZS,O,X,X,O,X,X,O,X,O,X,X,X
TJOLSIZ,O,X,X,X,O,X,O,X,O,X,X,X
TJOLSZI,O,X,X,X,O,X,O,X,O,X,X,X
TJOLZIS,O,X,X,X,X,X,O,X,O,X,X,X
TJOLZSI,O,X,X,X,X,X,O,X,O,X,X,X
TJOSILZ,X,X,X,X,O,O,O,X,X,X,X,X
TJOSIZL,X,X,X,X,O,O,O,X,O,X,X,X
TJOSLIZ,X,X,X,X,O,O,O,X,X,X,X,X
TJOSLZI,X,X,X,X,O,O,O,X,X,X,X,X
TJOSZIL,X,X,X,X,O,O,O,X,O,X,X,X
TJOSZLI,X,X,X,X,O,O,O,X,O,X,X,X
TJOZILS,X,X,X,X,X,X,X,X,O,X,X,X
TJOZISL,X,O,O,X,O,X,O,X,O,X,X,X
TJOZLIS,X,X,X,X,X,X,X,X,O,X,X,X
TJOZLSI,X,X,X,X,X,X,X,X,O,X,X,X
TJOZSIL,X,O,O,X,O,X,O,X,O,X,X,X
TJOZSLI,X,O,O,X,O,X,O,X,O,X,X,X
TSILJZO,O,X,X,X,O,O,X,X,X,O,X,X
TSILJOZ,O,X,X,X,O,O,X,X,X,O,X,X
TSILZJO,O,O,O,X,O,O,X,X,X,O,O,O
TSILZOJ,X,X,O,X,X,X,X,X,X,O,O,O
TSILOJZ,O,X,X,X,O,O,X,X,X,O,X,X
TSILOZJ,X,X,X,X,O,X,X,X,X,O,X,X
TSIJLZO,X,X,X,X,O,O,X,X,X,O,X,X
TSIJLOZ,X,X,X,X,O,O,X,X,X,O,X,X
TSIJZLO,X,X,O,X,O,O,X,X,X,O,X,X
TSIJZOL,X,X,O,X,O,O,X,X,X,O,X,X
TSIJOLZ,X,X,X,X,O,O,X,X,X,X,X,X
TSIJOZL,X,X,X,X,O,O,X,X,X,X,X,X
TSIZLJO,X,O,O,X,O,O,X,O,X,O,O,O
TSIZLOJ,X,X,O,X,X,X,X,O,X,O,O,O
TSIZJLO,X,O,O,X,O,O,X,O,X,O,O,O
TSIZJOL,X,O,O,X,O,O,X,X,X,O,X,O
TSIZOLJ,X,X,O,X,O,X,X,O,X,O,O,O
TSIZOJL,X,X,X,X,O,X,X,O,X,O,X,O
TSIOLJZ,X,X,X,X,O,O,X,X,X,X,X,X
TSIOLZJ,X,X,X,O,O,X,X,X,X,O,X,X
TSIOJLZ,X,X,X,X,O,O,X,X,X,X,X,X
TSIOJZL,X,X,X,X,O,O,X,X,X,X,X,X
TSIOZLJ,X,X,O,X,O,X,X,X,X,O,X,X
TSIOZJL,X,X,X,X,O,X,X,X,X,O,X,X
TSLIJZO,O,X,X,X,O,O,X,X,X,O,X,X
TSLIJOZ,O,X,X,X,O,O,X,X,X,O,X,X
TSLIZJO,O,O,O,X,O,O,X,O,X,O,O,O
TSLIZOJ,X,X,O,X,X,X,X,O,X,O,O,O
TSLIOJZ,O,X,X,X,O,O,X,X,X,O,X,X
TSLIOZJ,X,X,X,X,O,X,X,X,X,O,X,X
TSLJIZO,O,X,X,X,O,O,X,X,X,O,X,X
TSLJIOZ,O,X,X,X,O,O,X,X,X,O,X,X
TSLJZIO,O,X,X,X,O,O,X,X,X,O,X,X
TSLJZOI,O,X,X,X,O,O,X,X,X,O,X,X
TSLJOIZ,O,X,X,X,O,O,X,X,X,O,X,X
TSLJOZI,O,X,X,X,O,O,X,X,X,O,X,X
TSLZIJO,O,O,O,X,O,O,X,O,X,O,O,O
TSLZIOJ,X,X,O,X,X,X,X,O,X,O,O,O
