sequence,v115@zgD8FeC8GeD8FeC8EeE8DeC8JeX8IvhFxdBcmB6nBT?jBdsBWwB,v115@zgD8FeC8GeD8FeC8EeE8DeC8Jex8IvhF6jB3hBziBN?sBUmBWwB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhFeiBfjB6jBc?sB5mBzqB,v115@zgD8FeC8GeD8FeC8EeE8DeC8Je08IvhFxdBamB9nBT?jBfsBWwB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhFWiBxdBTjBc?sBCrB3rB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhF5hB0dB6jB2?nBzqBXsB,v115@zgD8FeC8GeD8FeC8EeE8DeC8Jez8IvhFGeBUjBxmBC?rBXsBdrB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhFRdB+jB3iBq?rBUnBzqB,v115@zgD8FeC8GeD8FeC8EeE8DeC8Je08IvhFxdB9nBTjBK?rBfsBuqB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhFXeBSoBUnB5?mBzqBOsB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhFfiB8iB+jBS?rBTnBRwB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhFXdBTeBWoBU?nBSrBRwB,v115@zgD8FeC8GeD8FeC8EeE8DeC8Jex8IvhFXeBUhBSoBN?sBurBzqB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhF6jBXiB8nB5?mBOsBzqB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JeX8IvhFTeBcmBxnB6?nBdsBWwB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhFTeBCiBxnB3?mBcsBWwB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhFRdB+jBUiBq?rB3nBzqB,v115@zgD8FeC8GeD8FeC8EeE8DeC8Jez8IvhFGeB8qBqrBx?nB3nBdrB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JeC9IvhFTeB8qBWsBx?sBdrBXsB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JeWCJvhFxdBTjB8qBC?nBXsBdrB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhFCdBxiBTjB3?mBcsBWwB,v115@zgD8FeC8GeD8FeC8EeE8DeC8Jez9IvhF+jBRhBUiBC?rBXsBNrB
TILOZSJ,O,X,X,X,O,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X
TIJLSZO,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIJLZSO,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TIJLZOS,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X
TIJLOSZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TIJLOZS,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIJSLZO,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIJSZLO,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJSZOL,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJSOZL,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJZLSO,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,O,X
TIJZLOS,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,X
TIJZSLO,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X
TIJZSOL,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TIJZOLS,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,X
TIJZOSL,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TIJOLSZ,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TIJOLZS,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X
TIJOSLZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJOSZL,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJOZLS,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X
TIJOZSL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TISLJZO,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TISLZJO,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISLZOJ,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLOJZ,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TISLOZJ,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TISJLZO,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJLOZ,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TISJZLO,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TISJZOL,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISJOLZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISJOZL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISZLJO,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TISZLOJ,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZJLO,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISZJOL,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISZOLJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZOJL,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISOLJZ,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TISOLZJ,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TISOJLZ,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TISOJZL,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOZJL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJSO,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
TIZLJOS,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TIZLSJO,O,X,X,O,X,X,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X
TIZLSOJ,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X
TIZLOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TIZLOSJ,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X
TIZJLSO,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,O,X,O,X
TIZJLOS,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,O,X
TIZJSLO,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X
TIZJSOL,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TIZJOLS,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,O,X
TIZJOSL,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TIZSLJO,O,X,O,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
TIZSLOJ,O,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X
TIZSJLO,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZSJOL,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOJL,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZOLJS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TIZOLSJ,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X
TIZOJLS,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X
TIZOJSL,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TIZOSLJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZOSJL,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOLJZS,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X
TIOLSJZ,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TIOLSZJ,O,O,O,O,X,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
TIOLZJS,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X
TIOLZSJ,O,O,X,O,O,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X
TIOJLSZ,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOJLZS,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X
TIOJSLZ,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOJSZL,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOJZLS,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X
TIOJZSL,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TIOSLJZ,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOSLZJ,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOSJLZ,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOSJZL,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZJL,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLJS,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TIOZLSJ,O,O,X,O,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X
TIOZJLS,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X
TIOZJSL,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TIOZSLJ,O,X,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TIOZSJL,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIJSZO,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLIJZSO,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TLIJZOS,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X
TLIJOSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TLIJOZS,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TLISJZO,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLISJOZ,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLISZJO,O,X,O,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLISZOJ,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLISOJZ,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TLISOZJ,X,O,O,O,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
TLIZJSO,O,X,X,X,O,X,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TLIZJOS,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TLIZSJO,O,X,X,O,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X
TLIZSOJ,O,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLIZOJS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIZOSJ,O,X,X,O,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLIOJZS,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLIOSJZ,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TLIOSZJ,O,X,O,O,X,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
TLIOZJS,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TLIOZSJ,O,X,X,X,O,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X
TLJISZO,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJIZSO,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TLJIZOS,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X
TLJIOSZ,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TLJIOZS,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TLJSIZO,O,O,X,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJSIOZ,X,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TLJSZIO,O,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TLJSZOI,O,X,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TLJSOIZ,O,O,X,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TLJSOZI,O,O,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLJZISO,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X
TLJZIOS,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X
TLJZSIO,O,O,X,O,O,O,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X
TLJZSOI,O,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLJZOIS,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLJZOSI,O,X,X,O,O,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
TLJOISZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLJOIZS,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TLJOSIZ,O,O,X,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TLJOSZI,O,O,O,O,X,O,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TLJOZIS,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TLJOZSI,O,O,X,O,O,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X
TLSIJZO,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSIJOZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TLSIZJO,O,X,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSIZOJ,O,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSIOJZ,X,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSIOZJ,X,O,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLSJIZO,X,O,X,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSJIOZ,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TLSJZIO,X,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TLSJZOI,X,X,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TLSJOIZ,X,O,X,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TLSJOZI,X,X,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLSZIJO,O,X,O,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLSZIOJ,O,O,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLSZJIO,O,X,O,O,O,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X
TLSZJOI,O,X,O,O,O,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TLSZOIJ,O,X,O,O,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLSZOJI,O,X,O,O,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLSOIJZ,X,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,O,O,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLSOJIZ,X,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSOJZI,X,O,O,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,O,O,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLSOZJI,O,O,O,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLZIJSO,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLZIJOS,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
TLZISJO,O,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZISOJ,O,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TLZIOJS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLZIOSJ,O,X,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TLZJISO,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
TLZJIOS,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
TLZJSIO,O,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X
TLZJSOI,O,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLZJOIS,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLZJOSI,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
TLZSIJO,O,X,O,O,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZSIOJ,O,O,X,O,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZSJIO,O,X,O,O,O,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X
TLZSJOI,O,X,O,O,O,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TLZSOIJ,O,X,O,O,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLZSOJI,O,X,O,O,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLZOIJS,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLZOISJ,O,X,X,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLZOJIS,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TLZOJSI,O,X,X,X,O,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X
TLZOSIJ,O,X,O,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLZOSJI,O,X,O,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLOIJSZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOISJZ,X,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOISZJ,O,O,O,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLOIZJS,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TLOIZSJ,O,O,X,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
