sequence,v115@7gB8HeB8FeF8EeF8AeF8Jem6IvhFRcBSiBTfB3gB0m?BlqB,v115@7gB8HeB8FeF8EeF8AeF8JeK/IvhFzaBGdBRhB3gB0m?BlqB,v115@7gB8HeB8FeF8EeF8AeF8JeO/IvhFxbBTdBflBlgBqm?B8qB,v115@7gB8HeB8FeF8EeF8AeF8JeO/IvhFibBchBTdBflB5l?B1wB,v115@7gB8HeB8FeF8EeF8AeF8JeO/IvhFTbBSiBflBRrB8q?BlrB,v115@7gB8HeB8FeF8EeF8AeF8JeK/IvhFfgBxbBTdBWmB0m?BlqB,v115@7gB8HeB8FeF8EeF8AeF8JeO/IvhF0bBxcBzfBSmBXn?BlqB,v115@7gB8HeB8FeF8EeF8AeF8JeT6IvhFibBWiBUhBxkBXn?BlqB,v115@7gB8HeB8FeF8EeF8AeF8Je06IvhFxbB2kBzgBCiBXn?BlqB,v115@7gB8HeB8FeF8EeF8AeF8JeT6IvhFlbBGdBxkB0mB/q?BirB,v115@7gB8HeB8FeF8EeF8AeF8Je36IvhFTdBxgB2kBChB0m?BlqB,v115@7gB8HeB8FeF8EeF8AeF8Je06IvhF6gB2kBxhBThBXn?BlqB,v115@7gB8HeB8FeF8EeF8AeF8JeK/IvhFGbBUgBxhBThBXn?BlqB
TOZLJSI,O,O,O,O,X,O,O,X,O,X,X,X,X
TOZLSIJ,O,O,O,O,X,O,O,X,X,X,X,X,X
TOZLSJI,O,O,O,O,X,O,O,X,X,X,X,X,X
TOZJILS,O,O,X,X,X,X,O,O,O,X,X,X,X
TOZJISL,X,X,X,O,X,X,O,O,O,X,O,X,X
TOZJLIS,O,O,O,X,X,X,O,O,O,X,X,X,X
TOZJLSI,O,O,O,O,X,O,O,X,O,X,X,X,X
TOZJSIL,O,X,X,O,X,X,O,X,O,X,X,X,X
TOZJSLI,O,X,O,O,X,X,O,X,O,X,X,X,X
TOZSILJ,O,X,X,O,X,X,X,X,X,X,O,X,X
TOZSIJL,O,X,X,O,X,X,O,X,X,X,O,X,X
TOZSLIJ,O,X,O,O,X,X,O,X,X,X,X,X,X
TOZSLJI,O,X,O,O,X,X,O,X,X,X,X,X,X
TOZSJIL,O,X,X,O,X,X,O,X,X,X,X,X,X
TOZSJLI,O,X,O,O,X,X,O,X,X,X,X,X,X
ITLJSZO,O,X,X,X,O,O,O,X,X,X,X,O,X
ITLJSOZ,O,O,X,X,X,O,X,X,X,X,X,X,X
ITLJZSO,X,X,X,X,X,X,O,O,X,X,X,O,O
ITLJZOS,X,O,X,X,X,X,O,O,O,X,X,O,O
ITLJOSZ,O,O,X,X,X,O,O,X,O,X,X,X,X
ITLJOZS,O,O,X,X,X,X,O,O,O,X,X,O,X
ITLSJZO,O,X,X,O,O,O,O,X,X,X,X,O,X
ITLSJOZ,O,O,X,O,X,O,X,X,X,X,X,X,X
ITLSZJO,O,X,X,O,O,X,O,O,X,X,X,X,O
ITLSZOJ,O,X,X,O,O,O,O,O,X,X,X,X,X
ITLSOJZ,O,O,X,O,X,O,O,X,O,X,X,X,X
ITLSOZJ,O,X,X,O,X,O,O,O,X,X,X,X,X
ITLZJSO,X,O,X,X,X,X,O,O,X,X,X,O,O
ITLZJOS,X,O,X,X,X,X,O,O,X,X,X,O,O
ITLZSJO,O,O,X,O,X,X,O,O,X,X,X,X,O
ITLZSOJ,O,O,X,O,X,X,O,O,X,X,X,X,X
ITLZOJS,O,O,X,X,X,X,O,O,O,X,X,X,O
ITLZOSJ,X,O,X,O,X,X,O,O,X,X,X,X,X
ITLOJSZ,O,O,X,X,X,O,O,X,O,X,X,X,X
ITLOJZS,O,O,X,X,X,X,O,O,O,X,X,O,X
ITLOSJZ,O,O,X,O,X,O,O,X,O,X,X,X,X
ITLOSZJ,O,X,X,O,X,O,O,O,X,X,X,X,X
ITLOZJS,O,O,X,X,X,X,O,O,O,X,X,X,O
ITLOZSJ,X,O,X,O,X,X,O,O,X,X,X,X,X
ITJLSZO,X,X,X,X,O,O,O,X,X,X,X,O,X
ITJLSOZ,X,O,X,X,X,O,X,X,X,X,X,X,X
ITJLZSO,X,X,X,X,X,X,O,O,X,X,X,O,O
ITJLZOS,X,O,X,X,X,X,O,O,O,X,X,O,O
ITJLOSZ,X,O,X,X,X,O,X,X,O,X,X,X,X
ITJLOZS,X,O,X,X,X,X,O,O,O,X,X,O,X
ITJSLZO,X,X,X,O,O,X,X,X,X,X,X,O,X
ITJSLOZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ITJSZLO,X,X,X,O,O,X,X,X,X,X,X,O,X
ITJSZOL,X,X,X,O,O,X,X,X,X,X,X,X,X
ITJSOLZ,X,X,X,O,X,X,X,X,X,X,X,X,X
ITJSOZL,X,X,X,O,X,X,X,X,X,X,X,X,X
ITJZLSO,X,X,X,X,X,X,X,O,X,O,X,O,X
ITJZLOS,X,O,X,X,X,X,X,O,O,O,X,O,X
ITJZSLO,X,X,X,O,X,X,X,O,X,O,X,O,X
ITJZSOL,X,X,X,O,X,X,X,O,X,O,X,X,X
ITJZOLS,X,X,X,X,X,X,X,O,O,O,X,O,X
ITJZOSL,X,X,X,O,X,X,X,O,O,O,X,X,X
ITJOLSZ,X,O,X,X,X,O,O,X,O,X,X,X,X
ITJOLZS,X,O,X,X,X,X,O,O,O,X,X,O,X
ITJOSLZ,X,X,X,O,X,X,X,X,O,X,X,X,X
ITJOSZL,X,X,X,O,X,X,X,X,O,X,X,X,X
ITJOZLS,X,X,X,X,X,X,O,O,O,O,X,O,X
ITJOZSL,X,X,X,O,X,X,O,O,O,O,X,X,X
ITSLJZO,O,X,X,O,O,X,X,X,X,X,X,O,X
ITSLJOZ,O,O,X,O,X,X,X,X,X,X,X,X,X
ITSLZJO,O,X,X,O,O,X,X,O,X,X,X,X,O
ITSLZOJ,O,X,X,O,O,X,X,O,X,X,X,X,X
ITSLOJZ,O,O,X,O,X,X,X,X,X,X,X,X,X
ITSLOZJ,O,X,X,O,X,X,X,O,X,X,X,X,X
ITSJLZO,O,X,X,O,O,X,X,X,X,X,X,O,X
ITSJLOZ,O,O,X,O,X,X,X,X,X,X,X,X,X
ITSJZLO,O,X,X,O,O,X,X,X,X,X,X,O,X
ITSJZOL,O,X,X,O,O,X,X,X,X,X,X,X,X
ITSJOLZ,O,X,X,O,X,X,X,X,X,X,X,X,X
ITSJOZL,O,X,X,O,X,X,X,X,X,X,X,X,X
ITSZLJO,O,X,X,O,O,X,X,O,X,X,X,X,X
ITSZLOJ,O,X,X,O,O,X,X,O,X,X,X,X,X
ITSZJLO,O,X,X,O,O,X,X,O,X,X,X,X,X
ITSZJOL,O,X,X,O,O,X,X,O,X,X,X,X,X
ITSZOLJ,O,X,X,O,O,X,X,O,X,X,X,X,X
ITSZOJL,O,X,X,O,O,X,X,O,X,X,X,X,X
ITSOLJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
ITSOLZJ,O,X,X,O,X,X,X,O,X,X,X,X,X
ITSOJLZ,O,X,X,O,X,X,X,X,X,X,X,X,X
ITSOJZL,O,X,X,O,X,X,X,X,X,X,X,X,X
ITSOZLJ,O,X,X,O,X,X,X,O,X,X,X,X,X
ITSOZJL,O,X,X,O,X,X,X,O,X,X,X,X,X
ITZLJSO,O,O,X,X,X,X,X,O,X,O,X,O,O
ITZLJOS,O,O,X,X,X,X,X,O,X,O,X,O,O
ITZLSJO,O,O,X,O,X,X,X,O,X,O,X,X,O
ITZLSOJ,O,O,X,O,X,X,X,O,X,O,O,X,X
ITZLOJS,O,O,X,X,X,X,X,O,X,O,X,X,O
ITZLOSJ,O,O,X,O,X,X,X,O,X,O,O,X,X
ITZJLSO,X,O,X,X,X,X,X,O,X,O,X,O,X
ITZJLOS,X,O,X,X,X,X,X,O,X,O,X,O,X
ITZJSLO,X,O,X,O,X,X,X,O,X,O,X,O,X
ITZJSOL,X,X,X,O,X,X,X,O,X,O,O,X,X
ITZJOLS,X,O,X,X,X,X,X,O,X,O,X,O,X
ITZJOSL,X,X,X,O,X,X,X,O,X,O,O,X,X
ITZSLJO,O,O,X,O,X,X,X,O,X,O,X,X,X
ITZSLOJ,O,O,X,O,X,X,X,O,X,O,O,X,X
ITZSJLO,O,O,X,O,X,X,X,O,X,O,X,X,X
ITZSJOL,O,X,X,O,X,X,X,O,X,O,O,X,X
ITZSOLJ,O,X,X,O,X,X,X,O,X,O,O,X,X
ITZSOJL,O,X,X,O,X,X,X,O,X,O,O,X,X
ITZOLJS,O,O,X,X,X,X,X,O,X,O,X,X,X
ITZOLSJ,O,O,X,O,X,X,X,O,X,O,O,X,X
ITZOJLS,O,O,X,X,X,X,X,O,X,O,X,X,X
ITZOJSL,X,X,X,O,X,X,X,O,X,O,O,X,X
ITZOSLJ,O,X,X,O,X,X,X,O,X,O,O,X,X
ITZOSJL,O,X,X,O,X,X,X,O,X,O,O,X,X
ITOLJSZ,O,O,X,X,X,O,O,X,O,X,X,X,X
ITOLJZS,O,O,X,X,X,X,O,O,O,X,X,O,X
ITOLSJZ,O,O,X,O,X,O,O,X,O,X,X,X,X
ITOLSZJ,O,X,X,O,X,O,O,O,X,X,X,X,X
ITOLZJS,O,O,X,X,X,X,O,O,O,X,X,X,O
ITOLZSJ,X,X,X,O,X,X,O,O,X,X,X,X,X
ITOJLSZ,O,O,X,X,X,O,O,X,O,X,X,X,X
ITOJLZS,O,O,X,X,X,X,O,O,O,X,X,O,X
ITOJSLZ,O,X,X,O,X,X,X,X,O,X,X,X,X
ITOJSZL,O,X,X,O,X,X,X,X,O,X,X,X,X
ITOJZLS,O,X,X,X,X,X,O,O,O,O,X,O,X
ITOJZSL,X,X,X,O,X,X,O,O,O,O,X,X,X
ITOSLJZ,O,X,X,O,X,X,X,X,O,X,X,X,X
ITOSLZJ,O,X,X,O,X,X,X,O,X,X,X,X,X
ITOSJLZ,O,X,X,O,X,X,X,X,O,X,X,X,X
ITOSJZL,O,X,X,O,X,X,X,X,O,X,X,X,X
ITOSZLJ,O,X,X,O,X,X,X,O,X,X,X,X,X
ITOSZJL,O,X,X,O,X,X,X,O,X,X,X,X,X
ITOZLJS,O,X,X,X,X,X,O,O,O,O,X,X,X
ITOZLSJ,O,X,X,O,X,X,O,O,X,O,X,X,X
ITOZJLS,O,X,X,X,X,X,O,O,O,O,X,X,X
ITOZJSL,X,X,X,O,X,X,O,O,O,O,X,X,X
ITOZSLJ,O,X,X,O,X,X,X,O,X,O,X,X,X
ITOZSJL,O,X,X,O,X,X,O,O,X,O,X,X,X
ILTJSZO,O,X,X,X,O,O,X,X,X,X,X,O,X
ILTJSOZ,O,O,X,X,X,O,X,X,X,X,X,X,X
ILTJZSO,X,X,X,X,X,X,X,O,X,X,X,O,O
ILTJZOS,X,O,X,X,X,X,X,O,O,X,X,O,O
ILTJOSZ,O,O,O,X,X,O,X,X,O,X,X,X,X
ILTJOZS,O,O,O,X,X,X,X,O,O,X,X,O,X
ILTSJZO,O,X,X,O,O,O,X,X,X,X,X,O,X
ILTSJOZ,O,O,O,O,X,O,X,X,X,X,X,X,X
ILTSZJO,O,X,X,O,O,X,X,O,X,X,X,X,O
ILTSZOJ,O,X,X,O,O,O,X,O,X,X,X,X,X
ILTSOJZ,O,O,O,O,X,O,X,X,O,X,X,X,X
ILTSOZJ,O,X,X,O,X,O,X,O,X,X,X,X,X
ILTZJSO,O,O,X,X,X,X,X,O,X,X,X,O,O
ILTZJOS,O,O,O,X,X,X,X,O,X,X,X,O,O
ILTZSJO,O,O,O,O,X,X,X,O,X,X,X,X,O
ILTZSOJ,O,O,O,O,X,X,X,O,X,X,X,X,X
ILTZOJS,O,O,O,X,X,X,X,O,O,X,X,X,O
ILTZOSJ,O,O,O,O,X,X,X,O,X,X,X,X,X
ILTOJSZ,O,O,O,X,X,O,X,X,O,X,X,X,X
ILTOJZS,O,O,O,X,X,X,X,O,O,X,X,O,X
ILTOSJZ,O,O,O,O,X,O,X,X,O,X,X,X,X
ILTOSZJ,O,X,X,O,X,O,X,O,X,X,X,X,X
ILTOZJS,O,O,O,X,X,X,X,O,O,X,X,X,O
ILTOZSJ,X,O,O,O,X,X,X,O,X,X,X,X,X
ILJTSZO,O,X,X,X,O,X,X,X,X,X,X,X,X
ILJTSOZ,O,O,X,X,X,X,X,X,X,X,X,X,X
ILJTZSO,X,X,X,X,X,X,X,O,X,X,X,X,O
ILJTZOS,X,O,X,X,X,X,X,O,O,X,X,X,O
ILJTOSZ,O,O,O,X,X,X,X,X,O,X,X,X,X
ILJTOZS,O,O,O,X,X,X,X,O,O,X,X,X,X
ILJSTZO,X,X,X,X,O,X,X,X,X,X,X,X,X
ILJSTOZ,X,X,O,X,X,X,X,X,X,X,X,X,X
ILJSZTO,X,X,O,X,O,X,X,X,X,X,X,X,X
ILJSZOT,X,X,O,X,O,X,X,X,X,X,X,X,X
ILJSOTZ,X,O,O,X,X,X,X,X,X,X,X,X,X
ILJSOZT,X,O,O,X,O,X,X,X,X,X,X,X,X
ILJZTSO,O,O,X,X,X,X,X,X,X,O,X,O,O
ILJZTOS,O,O,O,X,X,X,X,O,O,O,X,O,O
ILJZSTO,O,X,O,X,O,X,X,X,X,O,X,O,O
ILJZSOT,O,O,O,X,O,X,X,O,X,O,X,X,X
ILJZOTS,O,O,O,X,X,X,X,O,X,O,X,O,O
ILJZOST,O,O,O,X,X,X,X,O,X,O,X,X,X
ILJOTSZ,O,O,O,X,X,X,X,X,X,X,X,X,X
ILJOTZS,O,O,O,X,X,X,X,O,X,X,X,X,X
ILJOSTZ,O,O,O,X,X,X,X,X,X,X,X,X,X
ILJOSZT,O,O,O,X,O,X,X,X,X,X,X,X,X
ILJOZTS,O,O,O,X,X,X,X,O,X,O,X,X,X
ILJOZST,O,O,O,X,X,X,X,O,X,O,X,X,X
ILSTJZO,O,X,X,O,O,O,X,X,X,X,X,X,X
ILSTJOZ,O,X,O,O,X,O,X,X,X,X,X,X,X
ILSTZJO,O,X,X,O,O,X,X,O,X,X,X,X,O
ILSTZOJ,O,X,X,O,O,O,X,O,X,X,X,X,X
ILSTOJZ,O,X,O,O,X,O,X,X,O,X,X,X,X
ILSTOZJ,O,X,X,O,X,O,X,O,X,X,X,X,X
ILSJTZO,X,X,X,O,O,X,X,X,X,X,X,X,X
ILSJTOZ,X,X,O,O,X,O,X,X,X,X,X,X,X
ILSJZTO,X,X,O,X,O,X,X,X,X,X,X,X,X
ILSJZOT,X,X,O,X,O,X,X,X,X,X,X,X,X
ILSJOTZ,X,O,O,O,X,O,X,X,X,X,X,X,X
ILSJOZT,X,O,O,X,O,X,X,X,X,X,X,X,X
ILSZTJO,O,X,O,X,O,X,X,X,X,X,X,X,X
ILSZTOJ,O,X,O,X,O,O,X,X,X,X,X,X,X
ILSZJTO,O,X,O,X,O,X,X,X,X,X,X,X,O
ILSZJOT,O,X,O,X,O,X,X,O,X,X,X,X,X
ILSZOTJ,O,X,O,X,O,O,X,X,X,X,X,X,X
ILSZOJT,O,X,O,X,O,X,X,O,X,X,X,X,X
ILSOTJZ,X,X,O,O,X,O,X,X,X,X,X,X,X
ILSOTZJ,X,X,X,O,X,O,X,O,X,X,X,X,X
ILSOJTZ,O,O,O,O,X,O,X,X,X,X,X,X,X
ILSOJZT,O,O,O,X,O,X,X,X,X,X,X,X,X
ILSOZTJ,X,X,O,X,O,O,X,X,X,X,X,X,X
ILSOZJT,X,X,O,X,O,X,X,O,X,X,X,X,X
ILZTJSO,O,O,X,X,X,X,X,O,X,O,X,X,O
ILZTJOS,O,O,O,X,X,X,X,O,X,O,X,X,O
ILZTSJO,O,O,O,X,X,X,X,O,X,O,X,X,O
ILZTSOJ,O,O,O,X,X,X,X,O,X,O,X,X,X
ILZTOJS,O,O,O,X,X,X,X,O,O,O,X,X,O
ILZTOSJ,O,O,O,X,X,X,X,O,X,O,X,X,X
ILZJTSO,O,O,X,X,X,X,X,X,X,O,X,X,O
ILZJTOS,O,O,O,X,X,X,X,O,X,O,X,X,O
ILZJSTO,O,X,O,X,O,X,X,X,X,O,X,X,O
ILZJSOT,O,O,O,X,O,X,X,O,X,O,X,X,X
ILZJOTS,O,O,O,X,X,X,X,O,X,O,X,X,O
ILZJOST,O,O,O,X,X,X,X,O,X,O,X,X,X
ILZSTJO,O,X,O,X,O,X,X,X,X,O,X,X,X
ILZSTOJ,O,X,O,X,O,X,X,X,X,O,X,X,X
ILZSJTO,O,X,O,X,O,X,X,X,X,O,X,X,O
ILZSJOT,O,O,O,X,O,X,X,O,X,O,X,X,X
ILZSOTJ,O,X,O,X,O,X,X,X,X,O,X,X,X
ILZSOJT,O,O,O,X,O,X,X,O,X,O,X,X,X
ILZOTJS,O,O,O,X,X,X,X,O,X,O,X,X,X
ILZOTSJ,O,X,O,X,X,X,X,O,X,O,X,X,X
ILZOJTS,O,O,O,X,X,X,X,O,X,O,X,X,O
ILZOJST,O,O,O,X,X,X,X,O,X,O,X,X,X
ILZOSTJ,O,X,O,X,X,X,X,X,X,O,X,X,X
ILZOSJT,O,O,O,X,X,X,X,O,X,O,X,X,X
ILOTJSZ,O,O,O,X,X,O,X,X,O,X,X,X,X
ILOTJZS,O,O,O,X,X,X,X,O,O,X,X,X,X
ILOTSJZ,O,O,O,O,X,O,X,X,O,X,X,X,X
ILOTSZJ,O,X,X,O,X,O,X,O,X,X,X,X,X
ILOTZJS,O,O,O,X,X,X,X,O,O,X,X,X,O
ILOTZSJ,X,O,O,O,X,X,X,O,X,X,X,X,X
ILOJTSZ,O,O,O,X,X,X,X,X,X,X,X,X,X
ILOJTZS,O,O,O,X,X,X,X,O,X,X,X,X,X
ILOJSTZ,O,O,O,X,X,X,X,X,X,X,X,X,X
ILOJSZT,O,O,O,X,O,X,X,X,X,X,X,X,X
ILOJZTS,O,O,O,X,X,X,X,O,X,O,X,X,X
ILOJZST,O,O,O,X,X,X,X,O,X,O,X,X,X
ILOSTJZ,X,X,O,O,X,O,X,X,X,X,X,X,X
ILOSTZJ,X,X,X,O,X,O,X,O,X,X,X,X,X
ILOSJTZ,O,O,O,O,X,O,X,X,X,X,X,X,X
ILOSJZT,O,O,O,X,O,X,X,X,X,X,X,X,X
ILOSZTJ,X,X,O,X,O,O,X,X,X,X,X,X,X
ILOSZJT,X,X,O,X,O,X,X,O,X,X,X,X,X
ILOZTJS,O,O,O,X,X,X,X,O,X,O,X,X,X
ILOZTSJ,O,X,O,X,X,X,X,O,X,O,X,X,X
ILOZJTS,O,O,O,X,X,X,X,O,X,O,X,X,O
ILOZJST,O,O,O,X,X,X,X,O,X,O,X,X,X
ILOZSTJ,O,X,O,X,X,X,X,X,X,O,X,X,X
ILOZSJT,O,O,O,X,X,X,X,O,X,O,X,X,X
IJTLSZO,X,X,X,X,O,X,O,X,X,X,X,O,X
IJTLSOZ,X,O,X,X,X,X,X,X,X,X,X,X,X
IJTLZSO,X,X,X,X,X,X,O,O,X,X,X,O,O
IJTLZOS,X,O,X,X,X,X,O,O,O,X,X,O,O
IJTLOSZ,X,O,X,X,X,X,X,X,O,X,X,X,X
IJTLOZS,X,O,X,X,X,X,O,O,O,X,X,O,X
IJTSLZO,X,X,X,O,O,X,X,X,X,X,X,O,X
IJTSLOZ,X,O,X,O,X,X,X,X,X,X,X,X,X
IJTSZLO,X,X,X,O,O,X,X,X,X,X,X,O,X
IJTSZOL,X,X,X,O,O,X,X,X,X,X,X,X,X
IJTSOLZ,X,X,X,O,X,X,X,X,X,X,X,X,X
IJTSOZL,X,X,X,O,X,X,X,X,X,X,X,X,X
IJTZLSO,X,X,X,X,X,X,X,O,X,O,X,O,X
IJTZLOS,X,O,X,X,X,X,X,O,O,O,X,O,X
IJTZSLO,X,X,X,O,X,X,X,O,X,O,X,O,X
IJTZSOL,X,X,X,O,X,X,X,O,X,O,X,X,X
IJTZOLS,X,X,X,X,X,X,X,O,O,O,X,O,X
IJTZOSL,X,X,X,O,X,X,X,O,O,O,X,X,X
IJTOLSZ,X,O,X,X,X,X,O,X,O,X,X,X,X
IJTOLZS,X,O,X,X,X,X,O,O,O,X,X,O,X
IJTOSLZ,X,X,X,O,X,X,X,X,O,X,X,X,X
IJTOSZL,X,X,X,O,X,X,X,X,O,X,X,X,X
IJTOZLS,X,X,X,X,X,X,O,O,O,O,X,O,X
IJTOZSL,X,X,X,O,X,X,O,O,O,O,X,X,X
IJLTSZO,X,X,X,X,O,X,X,X,X,X,X,X,X
IJLTSOZ,X,O,X,X,X,X,X,X,X,X,X,X,X
IJLTZSO,X,X,X,X,X,X,X,O,X,X,X,X,O
IJLTZOS,X,O,X,X,X,X,X,O,O,X,X,X,O
IJLTOSZ,X,O,O,X,X,X,X,X,O,X,X,X,X
IJLTOZS,X,O,O,X,X,X,X,O,O,X,X,X,X
IJLSTZO,X,X,X,X,O,X,X,X,X,X,X,X,X
IJLSTOZ,X,X,O,X,X,X,X,X,X,X,X,X,X
IJLSZTO,X,X,O,X,O,X,X,X,X,X,X,X,X
IJLSZOT,X,X,O,X,O,X,X,X,X,X,X,X,X
IJLSOTZ,X,O,O,X,X,X,X,X,X,X,X,X,X
IJLSOZT,X,O,O,X,O,X,X,X,X,X,X,X,X
IJLZTSO,X,O,X,X,X,X,X,X,X,O,X,O,O
IJLZTOS,X,O,O,X,X,X,X,O,O,O,X,O,O
IJLZSTO,X,X,O,X,O,X,X,X,X,O,X,O,O
IJLZSOT,X,O,O,X,O,X,X,O,X,O,X,X,X
IJLZOTS,X,O,O,X,X,X,X,O,X,O,X,O,O
IJLZOST,X,O,O,X,X,X,X,O,X,O,X,X,X
IJLOTSZ,X,O,O,X,X,X,X,X,X,X,X,X,X
IJLOTZS,X,O,O,X,X,X,X,O,X,X,X,X,X
IJLOSTZ,X,O,O,X,X,X,X,X,X,X,X,X,X
IJLOSZT,X,O,O,X,O,X,X,X,X,X,X,X,X
IJLOZTS,X,O,O,X,X,X,X,O,X,O,X,X,X
IJLOZST,X,O,O,X,X,X,X,O,X,O,X,X,X
IJSTLZO,X,X,X,O,O,X,X,X,X,X,X,X,X
IJSTLOZ,X,O,X,O,X,X,X,X,X,X,X,X,X
IJSTZLO,X,X,X,O,O,X,X,X,X,X,X,X,X
IJSTZOL,X,X,X,O,O,X,X,X,X,X,X,X,X
IJSTOLZ,X,X,X,O,X,X,X,X,X,X,X,X,X
IJSTOZL,X,X,X,O,X,X,X,X,X,X,X,X,X
IJSLTZO,X,X,X,O,O,X,X,X,X,X,X,X,X
IJSLTOZ,X,X,O,O,X,X,X,X,X,X,X,X,X
IJSLZTO,X,X,O,X,O,X,X,X,X,X,X,X,X
IJSLZOT,X,X,O,X,O,X,X,X,X,X,X,X,X
IJSLOTZ,X,O,O,O,X,X,X,X,X,X,X,X,X
IJSLOZT,X,O,O,X,O,X,X,X,X,X,X,X,X
IJSZTLO,X,X,X,O,O,X,X,X,X,O,X,X,X
IJSZTOL,X,X,X,O,O,X,X,X,X,O,X,X,X
IJSZLTO,X,X,O,X,O,X,X,X,X,O,X,O,X
IJSZLOT,X,O,O,X,O,X,X,X,X,O,X,X,X
IJSZOTL,X,X,X,O,O,X,X,X,X,O,X,X,X
IJSZOLT,X,X,O,X,O,X,X,X,X,O,X,X,X
IJSOTLZ,X,X,X,O,X,X,X,X,X,X,X,X,X
IJSOTZL,X,X,X,O,X,X,X,X,X,X,X,X,X
IJSOLTZ,X,X,O,O,X,X,X,X,X,X,X,X,X
IJSOLZT,X,X,O,X,O,X,X,X,X,X,X,X,X
IJSOZTL,X,X,X,O,O,X,X,X,X,O,X,X,X
IJSOZLT,X,X,O,X,O,X,X,X,X,O,X,X,X
IJZTLSO,X,O,X,X,X,X,X,X,X,O,X,O,X
IJZTLOS,X,O,X,X,X,X,X,O,O,O,X,O,X
IJZTSLO,X,O,X,X,X,X,X,X,X,O,X,O,X
IJZTSOL,X,X,X,X,X,X,X,X,X,O,X,X,X
IJZTOLS,X,O,X,X,X,X,X,O,O,O,X,O,X
IJZTOSL,X,X,X,X,X,X,X,X,O,O,X,X,X
IJZLTSO,X,O,X,X,X,X,X,X,X,O,X,O,X
IJZLTOS,X,O,O,X,X,X,X,O,O,O,X,O,X
IJZLSTO,X,X,O,X,O,X,X,X,X,O,X,O,X
IJZLSOT,X,O,O,X,O,X,X,O,X,O,X,X,X
IJZLOTS,X,O,O,X,X,X,X,O,X,O,X,O,X
IJZLOST,X,O,O,X,X,X,X,O,X,O,X,X,X
IJZSTLO,X,X,X,X,O,X,X,X,X,O,X,X,X
IJZSTOL,X,X,X,X,O,X,X,X,X,O,X,X,X
IJZSLTO,X,X,O,X,O,X,X,X,X,O,X,O,X
IJZSLOT,X,O,O,X,O,X,X,O,X,O,X,X,X
IJZSOTL,X,X,X,X,O,X,X,X,X,O,X,X,X
IJZSOLT,X,X,O,X,O,X,X,O,X,O,X,X,X
IJZOTLS,X,X,X,X,X,X,X,O,X,O,X,X,X
IJZOTSL,X,X,X,X,X,X,X,X,X,O,X,X,X
IJZOLTS,X,O,O,X,X,X,X,O,X,O,X,O,X
IJZOLST,X,O,O,X,X,X,X,O,X,O,X,X,X
IJZOSTL,X,X,X,X,X,X,X,X,X,O,X,X,X
IJZOSLT,X,X,O,X,X,X,X,O,X,O,X,X,X
IJOTLSZ,X,O,X,X,X,X,O,X,X,X,X,X,X
IJOTLZS,X,O,X,X,X,X,O,O,X,X,X,X,X
IJOTSLZ,X,X,X,O,X,X,X,X,X,X,X,X,X
IJOTSZL,X,X,X,O,X,X,X,X,X,X,X,X,X
IJOTZLS,X,X,X,X,X,X,O,O,X,O,X,X,X
IJOTZSL,X,X,X,O,X,X,O,O,X,O,X,X,X
IJOLTSZ,X,O,O,X,X,X,X,X,X,X,X,X,X
IJOLTZS,X,O,O,X,X,X,X,O,X,X,X,X,X
IJOLSTZ,X,O,O,X,X,X,X,X,X,X,X,X,X
IJOLSZT,X,O,O,X,O,X,X,X,X,X,X,X,X
IJOLZTS,X,O,O,X,X,X,X,O,X,O,X,X,X
IJOLZST,X,O,O,X,X,X,X,O,X,O,X,X,X
IJOSTLZ,X,X,X,O,X,X,X,X,X,X,X,X,X
IJOSTZL,X,X,X,O,X,X,X,X,X,X,X,X,X
IJOSLTZ,X,X,O,O,X,X,X,X,X,X,X,X,X
IJOSLZT,X,X,O,X,O,X,X,X,X,X,X,X,X
IJOSZTL,X,X,X,O,O,X,X,X,X,O,X,X,X
IJOSZLT,X,X,O,X,O,X,X,X,X,O,X,X,X
IJOZTLS,X,X,X,X,X,X,X,O,X,O,X,X,X
IJOZTSL,X,X,X,X,X,X,X,X,X,O,X,X,X
IJOZLTS,X,O,O,X,X,X,X,O,X,O,X,O,X
IJOZLST,X,O,O,X,X,X,X,O,X,O,X,X,X
IJOZSTL,X,X,X,X,X,X,X,X,X,O,X,X,X
IJOZSLT,X,X,O,X,X,X,X,O,X,O,X,X,X
ISTLJZO,X,X,X,O,O,X,X,X,X,X,X,O,X
ISTLJOZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ISTLZJO,X,X,X,O,O,X,X,O,X,X,X,X,O
ISTLZOJ,X,X,X,O,O,X,X,O,X,X,X,X,X
ISTLOJZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ISTLOZJ,X,X,X,O,X,X,X,O,X,X,X,X,X
ISTJLZO,X,X,X,O,O,X,X,X,X,X,X,O,X
ISTJLOZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ISTJZLO,X,X,X,O,O,X,X,X,X,X,X,O,X
ISTJZOL,X,X,X,O,O,X,X,X,X,X,X,X,X
ISTJOLZ,X,X,X,O,X,X,X,X,X,X,X,X,X
ISTJOZL,X,X,X,O,X,X,X,X,X,X,X,X,X
ISTZLJO,X,X,X,O,O,X,X,O,X,X,X,X,X
ISTZLOJ,X,X,X,O,O,X,X,O,X,X,X,X,X
