sequence,v115@6gC8IeB8GeC8DeH8AeF8JeT6IvhFxbByhB8kBWmB3i?BlqB,v115@6gC8IeB8GeC8DeH8AeF8Je2/IvhFRbBzcBUhB3iBCl?BlqB,v115@6gC8IeB8GeC8DeH8AeF8Jex6IvhFOhB8hB6kBTgB3i?BlqB,v115@6gC8IeB8GeC8DeH8AeF8JeT6IvhFxbB8hBmgB3iBCl?BlqB,v115@6gC8IeB8GeC8DeH8AeF8Jex6IvhFygBzcB0fB3iBFm?BGqB,v115@6gC8IeB8GeC8DeH8AeF8Jex6IvhFmcB6kBcmB3iBTl?BlqB,v115@6gC8IeB8GeC8DeH8AeF8JeT6IvhFlbB2iBClBxmBcm?B/qB,v115@6gC8IeB8GeC8DeH8AeF8JeT6IvhFygBRiBXgBUiBFm?BGqB,v115@6gC8IeB8GeC8DeH8AeF8Je//IvhFagBzbBRiBUiBFm?BGqB,v115@6gC8IeB8GeC8DeH8AeF8Jem6IvhFzbB6kBRiBUiB/q?BFrB,v115@6gC8IeB8GeC8DeH8AeF8Jei6IvhFzbBukBRiBUiB/q?BFrB,v115@6gC8IeB8GeC8DeH8AeF8Jex7IvhF8hBmfBzgB3iB6k?BlqB,v115@6gC8IeB8GeC8DeH8AeF8JeT6IvhFxbB8hBVlBamB3i?BGqB,v115@6gC8IeB8GeC8DeH8AeF8JeOBJvhF8hBxfB3iB6kBTg?BlqB
TIJOSLZ,X,O,X,X,X,X,X,O,O,X,X,X,X,X
TIJOSZL,X,O,X,O,X,X,X,X,O,X,X,O,X,X
TIJOZLS,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TIJOZSL,O,O,X,O,O,X,X,X,O,X,X,X,X,X
TISLJZO,O,O,O,O,X,X,X,X,O,O,O,X,X,X
TISLJOZ,O,O,O,O,O,X,X,X,O,O,O,X,X,X
TISLZJO,O,O,O,O,O,X,X,X,X,O,X,X,X,O
TISLZOJ,O,O,O,O,O,X,X,X,O,O,X,X,X,X
TISLOJZ,O,O,O,O,O,X,X,O,O,O,O,X,X,X
TISLOZJ,O,X,O,O,O,X,X,O,O,O,X,X,X,X
TISJLZO,O,O,X,O,O,X,X,X,O,O,O,X,X,X
TISJLOZ,O,O,X,O,O,X,X,O,O,O,O,X,X,X
TISJZLO,O,O,X,O,O,X,X,X,O,X,O,X,X,O
TISJZOL,O,O,X,O,O,X,X,X,O,X,O,O,X,O
TISJOLZ,O,O,X,X,O,X,X,O,O,O,O,X,X,X
TISJOZL,O,O,X,O,O,X,X,X,O,X,O,O,X,X
TISZLJO,O,O,O,O,O,X,X,X,X,O,X,X,X,O
TISZLOJ,O,O,O,O,O,X,X,X,O,O,X,X,X,X
TISZJLO,O,O,O,O,O,X,X,X,X,X,O,X,X,O
TISZJOL,O,O,O,O,O,X,X,X,X,X,O,O,X,O
TISZOLJ,O,O,O,O,O,X,X,X,O,O,X,O,X,X
TISZOJL,O,O,O,O,O,X,X,X,X,X,O,O,X,O
TISOLJZ,X,O,O,O,O,X,X,O,O,O,O,X,X,X
TISOLZJ,X,X,O,O,O,X,X,O,O,O,X,X,X,X
TISOJLZ,X,O,X,X,O,X,X,X,O,O,O,X,X,X
TISOJZL,X,O,O,O,O,X,X,X,O,X,O,O,X,X
TISOZLJ,X,O,O,O,O,X,X,X,O,O,X,O,X,X
TISOZJL,X,O,O,O,O,X,X,X,X,X,O,O,X,O
TIZLJSO,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TIZLJOS,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TIZLSJO,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TIZLSOJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TIZLOJS,O,O,O,O,O,X,X,O,X,X,X,X,X,X
TIZLOSJ,X,O,O,O,O,X,X,O,X,X,X,X,X,X
TIZJLSO,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TIZJLOS,O,O,O,O,O,X,X,O,X,X,X,X,X,X
TIZJSLO,O,O,X,O,O,X,X,X,O,X,X,X,X,X
TIZJSOL,O,O,X,O,O,X,X,X,O,X,X,X,X,X
TIZJOLS,O,O,O,O,O,X,X,O,X,X,X,X,X,X
TIZJOSL,O,O,O,O,X,X,X,X,O,X,X,X,X,X
TIZSLJO,O,O,X,O,O,X,X,X,X,X,X,X,X,O
TIZSLOJ,O,O,X,O,O,X,X,X,O,X,X,X,X,X
TIZSJLO,O,O,X,O,O,X,X,X,X,X,X,X,X,O
TIZSJOL,O,O,X,O,O,X,X,X,X,X,X,X,X,O
TIZSOLJ,O,O,X,O,O,X,X,X,O,X,X,X,X,X
TIZSOJL,O,O,X,O,O,X,X,X,X,X,X,X,X,O
TIZOLJS,O,O,O,O,O,X,X,O,X,X,X,X,X,X
TIZOLSJ,X,O,O,O,O,X,X,O,X,X,X,X,X,X
TIZOJLS,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TIZOJSL,O,O,O,O,X,X,X,X,O,X,X,X,X,X
TIZOSLJ,O,O,X,O,O,X,X,X,O,X,X,X,X,X
TIZOSJL,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TIOLJSZ,X,X,O,O,O,X,O,O,O,X,X,X,X,X
TIOLJZS,X,X,O,O,O,X,O,O,X,X,X,X,X,X
TIOLSJZ,X,X,O,O,O,X,O,O,O,X,X,X,X,X
TIOLSZJ,X,X,O,O,O,X,O,O,O,X,X,X,X,X
TIOLZJS,X,X,O,O,O,X,O,O,X,X,X,X,X,X
TIOLZSJ,X,X,O,O,O,X,O,O,X,X,X,X,X,X
TIOJLSZ,X,X,X,X,O,X,O,O,O,X,X,X,X,X
TIOJLZS,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TIOJSLZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TIOJSZL,X,X,O,O,X,X,X,X,O,X,X,O,X,X
TIOJZLS,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TIOJZSL,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TIOSLJZ,X,X,O,O,X,X,X,O,O,X,X,X,X,X
TIOSLZJ,X,X,O,O,X,X,X,O,O,X,X,X,X,X
TIOSJLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOSJZL,X,X,O,O,X,X,X,X,O,X,X,O,X,X
TIOSZLJ,X,X,O,O,X,X,X,X,O,X,X,O,X,X
TIOSZJL,X,X,O,O,X,X,X,X,X,X,X,O,X,O
TIOZLJS,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TIOZLSJ,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TIOZJLS,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TIOZJSL,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TIOZSLJ,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TIOZSJL,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLIJSZO,X,O,O,O,X,X,O,X,O,O,O,X,X,X
TLIJSOZ,X,O,O,O,O,X,O,O,O,O,O,X,X,X
TLIJZSO,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TLIJZOS,X,O,O,O,X,X,O,O,X,X,X,X,X,X
TLIJOSZ,X,O,O,O,O,X,O,O,O,X,X,X,X,X
TLIJOZS,X,O,O,O,O,X,O,O,X,X,X,X,X,X
TLISJZO,X,O,O,O,X,O,O,X,X,O,X,X,X,X
TLISJOZ,X,O,O,O,O,O,O,X,O,O,X,X,X,X
TLISZJO,X,O,O,O,O,O,O,X,X,O,X,X,X,O
TLISZOJ,X,O,O,O,O,X,O,X,O,O,X,X,X,X
TLISOJZ,X,O,O,O,O,O,O,O,O,O,X,X,X,X
TLISOZJ,X,X,O,O,O,O,O,O,O,O,X,X,X,X
TLIZJSO,X,O,O,O,O,O,O,X,X,X,X,X,X,X
TLIZJOS,X,O,O,O,O,O,O,X,X,X,X,X,X,X
TLIZSJO,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TLIZSOJ,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TLIZOJS,X,O,O,O,O,X,O,O,X,X,X,X,X,X
TLIZOSJ,X,O,O,O,O,X,O,O,X,X,X,X,X,X
TLIOJSZ,X,X,O,O,O,X,O,O,O,X,X,X,X,X
TLIOJZS,X,X,O,O,O,X,O,O,X,X,X,X,X,X
TLIOSJZ,X,X,O,O,O,O,O,O,O,X,X,X,X,X
TLIOSZJ,X,X,O,O,O,O,O,O,O,X,X,X,X,X
TLIOZJS,X,X,O,O,O,O,O,O,X,X,X,X,X,X
TLIOZSJ,X,X,O,O,O,X,O,O,X,X,X,X,X,X
TLJISZO,O,O,O,O,O,X,O,X,O,O,O,X,X,X
TLJISOZ,X,O,O,O,O,X,O,O,O,O,O,X,X,X
TLJIZSO,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TLJIZOS,O,O,O,O,O,X,O,O,X,X,X,X,X,X
TLJIOSZ,X,O,O,O,O,X,O,O,O,X,X,X,X,X
TLJIOZS,O,O,O,O,O,X,O,O,X,X,X,X,X,X
TLJSIZO,O,O,O,O,O,X,X,X,O,O,O,X,X,X
TLJSIOZ,O,O,O,O,O,X,X,O,O,O,O,X,X,X
TLJSZIO,O,O,O,O,O,X,X,X,O,O,O,X,X,X
TLJSZOI,O,O,O,O,O,X,X,X,O,O,O,O,X,X
TLJSOIZ,O,O,O,O,O,X,X,O,O,O,O,X,X,X
TLJSOZI,O,O,O,O,O,X,X,X,O,O,O,O,X,X
TLJZISO,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TLJZIOS,O,O,O,O,O,X,X,O,X,X,X,X,X,X
TLJZSIO,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TLJZSOI,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TLJZOIS,O,O,O,O,O,X,X,O,X,X,X,X,X,X
TLJZOSI,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TLJOISZ,X,O,O,O,O,X,O,O,O,X,X,X,X,X
TLJOIZS,O,O,O,O,O,X,O,O,X,X,X,X,X,X
TLJOSIZ,X,O,O,O,O,X,X,O,O,X,X,X,X,X
TLJOSZI,X,O,O,O,O,X,X,X,O,X,X,O,X,X
TLJOZIS,O,O,O,O,O,X,X,O,X,X,X,X,X,X
TLJOZSI,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TLSIJZO,O,O,O,O,X,O,X,X,X,O,X,X,X,X
TLSIJOZ,O,O,O,O,O,O,X,X,O,O,X,X,X,X
TLSIZJO,O,O,O,O,O,O,X,X,X,O,X,X,X,O
TLSIZOJ,O,O,O,O,O,X,X,X,O,O,X,X,X,X
TLSIOJZ,O,O,O,O,O,O,X,O,O,O,X,X,X,X
TLSIOZJ,O,X,O,O,O,O,X,O,O,O,X,X,X,X
TLSJIZO,O,O,O,O,O,O,X,X,X,O,X,X,X,X
TLSJIOZ,O,O,O,O,O,O,X,X,O,O,X,X,X,X
TLSJZIO,O,O,O,O,O,O,X,X,X,O,X,X,X,X
TLSJZOI,O,O,O,O,O,O,X,X,X,O,X,O,X,X
TLSJOIZ,O,O,O,O,O,O,X,X,O,O,X,X,X,X
TLSJOZI,O,O,O,O,O,X,X,X,X,O,X,O,X,X
TLSZIJO,O,O,O,O,O,O,X,X,X,O,X,X,X,O
TLSZIOJ,O,O,O,O,O,X,X,X,O,O,X,X,X,X
TLSZJIO,O,O,O,O,O,O,X,X,X,O,X,X,X,O
TLSZJOI,O,O,O,O,O,O,X,X,X,O,X,O,X,X
TLSZOIJ,O,O,O,O,O,O,X,X,O,O,X,O,X,X
TLSZOJI,O,O,O,O,O,O,X,X,X,O,X,O,X,X
TLSOIJZ,O,O,O,O,O,O,X,O,O,O,X,X,X,X
TLSOIZJ,O,X,O,O,O,O,X,O,O,O,X,X,X,X
TLSOJIZ,O,O,O,O,O,O,X,X,O,O,X,X,X,X
TLSOJZI,O,O,O,O,O,X,X,X,X,O,X,O,X,X
TLSOZIJ,O,O,O,O,O,O,X,X,O,O,X,O,X,X
TLSOZJI,O,O,O,O,O,O,X,X,X,O,X,O,X,X
TLZIJSO,O,O,O,O,O,O,X,X,X,X,X,X,X,X
TLZIJOS,O,O,O,O,O,O,X,X,X,X,X,X,X,X
TLZISJO,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZISOJ,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZIOJS,O,O,O,O,O,X,X,O,X,X,X,X,X,X
TLZIOSJ,X,O,O,O,O,X,X,O,X,X,X,X,X,X
TLZJISO,O,O,O,O,O,O,X,X,X,X,X,X,X,X
TLZJIOS,O,O,O,O,O,O,X,X,X,X,X,X,X,X
TLZJSIO,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZJSOI,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZJOIS,O,O,O,O,O,O,X,X,X,X,X,X,X,X
TLZJOSI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZSIJO,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZSIOJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZSJIO,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZSJOI,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZSOIJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZSOJI,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZOIJS,O,O,O,O,O,O,X,O,X,X,X,X,X,X
TLZOISJ,X,O,O,O,O,X,X,O,X,X,X,X,X,X
TLZOJIS,O,O,O,O,O,O,X,X,X,X,X,X,X,X
TLZOJSI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZOSJI,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,O,O,O,X,O,O,O,X,X,X,X,X
TLOIJZS,X,X,O,O,O,X,O,O,X,X,X,X,X,X
TLOISJZ,X,X,O,O,O,O,O,O,O,X,X,X,X,X
TLOISZJ,X,X,O,O,O,O,O,O,O,X,X,X,X,X
TLOIZJS,X,X,O,O,O,O,O,O,X,X,X,X,X,X
TLOIZSJ,X,X,O,O,O,X,O,O,X,X,X,X,X,X
TLOJISZ,X,O,O,O,O,X,O,O,O,X,X,X,X,X
TLOJIZS,X,O,O,O,O,X,O,O,X,X,X,X,X,X
TLOJSIZ,X,O,O,O,O,X,X,X,O,X,X,X,X,X
TLOJSZI,X,O,O,O,O,X,X,X,O,X,X,O,X,X
TLOJZIS,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLOJZSI,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLOSIJZ,X,O,O,O,O,O,X,O,O,X,X,X,X,X
TLOSIZJ,X,X,O,O,O,O,X,O,O,X,X,X,X,X
TLOSJIZ,X,O,O,O,O,O,X,X,O,X,X,X,X,X
TLOSJZI,X,O,O,O,O,X,X,X,X,X,X,O,X,X
TLOSZIJ,X,O,O,O,O,O,X,X,O,X,X,O,X,X
TLOSZJI,X,O,O,O,O,O,X,X,X,X,X,O,X,X
TLOZIJS,X,O,O,O,O,O,X,O,X,X,X,X,X,X
TLOZISJ,X,O,O,O,O,X,X,O,X,X,X,X,X,X
TLOZJIS,X,O,O,O,O,O,X,X,X,X,X,X,X,X
TLOZJSI,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLOZSJI,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TJILSZO,O,O,X,O,O,X,O,X,O,X,O,X,O,X
TJILSOZ,X,O,X,O,O,X,O,O,O,X,O,X,O,X
TJILZSO,O,O,X,O,O,X,O,X,X,X,X,X,O,X
TJILZOS,O,O,X,O,O,X,O,O,X,X,X,X,O,X
TJILOSZ,X,O,X,O,O,X,O,O,O,X,X,X,O,X
TJILOZS,O,O,X,O,O,X,O,O,X,X,X,X,O,X
TJISLZO,O,O,X,O,O,X,X,X,O,X,O,X,O,X
TJISLOZ,O,O,X,O,O,X,X,O,O,X,O,X,O,X
TJISZLO,O,O,X,O,O,X,X,X,O,X,O,X,O,O
TJISZOL,O,O,X,O,O,X,X,X,O,X,O,O,O,O
TJISOLZ,O,O,X,X,O,X,X,O,O,X,O,X,O,X
TJISOZL,O,O,X,O,O,X,X,X,O,X,O,O,O,X
TJIZLSO,O,O,X,O,O,X,X,X,X,X,X,X,O,X
TJIZLOS,O,O,X,O,O,X,X,O,X,X,X,X,O,X
TJIZSLO,O,O,X,O,O,X,X,X,O,X,X,X,X,X
TJIZSOL,O,O,X,O,O,X,X,X,O,X,X,X,O,X
TJIZOLS,O,O,X,O,O,X,X,O,X,X,X,X,O,X
TJIZOSL,O,O,X,O,O,X,X,X,O,X,X,X,O,X
TJIOLSZ,X,O,X,X,O,X,O,O,O,X,X,X,O,X
TJIOLZS,O,O,X,X,O,X,O,O,X,X,X,X,O,X
TJIOSLZ,X,O,X,X,X,X,X,O,O,X,X,X,O,X
TJIOSZL,X,O,X,O,X,X,X,X,O,X,X,O,O,X
TJIOZLS,O,O,X,O,O,X,X,O,X,X,X,X,O,X
TJIOZSL,O,O,X,O,O,X,X,X,O,X,X,X,O,X
TJLISZO,O,O,O,O,O,X,O,X,O,X,O,X,O,X
TJLISOZ,X,O,O,O,O,X,O,O,O,X,O,X,O,X
TJLIZSO,O,O,O,O,O,X,O,X,X,X,X,X,O,X
TJLIZOS,O,O,O,O,O,X,O,O,X,X,X,X,O,X
TJLIOSZ,X,O,O,O,O,X,O,O,O,X,X,X,O,X
TJLIOZS,O,O,O,O,O,X,O,O,X,X,X,X,O,X
TJLSIZO,O,O,O,O,O,X,X,X,O,X,O,X,O,X
TJLSIOZ,O,O,O,O,O,X,X,O,O,X,O,X,O,X
TJLSZIO,O,O,O,O,O,X,X,X,O,X,O,X,O,X
TJLSZOI,O,O,O,O,O,X,X,X,O,X,O,O,O,X
TJLSOIZ,O,O,O,O,O,X,X,O,O,X,O,X,O,X
TJLSOZI,O,O,O,O,O,X,X,X,O,X,O,O,O,X
TJLZISO,O,O,O,O,O,X,X,X,X,X,X,X,O,X
TJLZIOS,O,O,O,O,O,X,X,O,X,X,X,X,O,X
TJLZSIO,O,O,O,O,O,X,X,X,X,X,X,X,O,X
TJLZSOI,O,O,O,O,O,X,X,X,X,X,X,X,O,X
TJLZOIS,O,O,O,O,O,X,X,O,X,X,X,X,O,X
TJLZOSI,O,O,O,O,O,X,X,X,X,X,X,X,O,X
TJLOISZ,X,O,O,O,O,X,O,O,O,X,X,X,O,X
TJLOIZS,O,O,O,O,O,X,O,O,X,X,X,X,O,X
TJLOSIZ,X,O,O,O,O,X,X,O,O,X,X,X,O,X
TJLOSZI,X,O,O,O,O,X,X,X,O,X,X,O,O,X
TJLOZIS,O,O,O,O,O,X,X,O,X,X,X,X,O,X
TJLOZSI,O,O,O,O,O,X,X,X,X,X,X,X,O,X
TJSILZO,O,O,X,O,O,X,X,X,O,X,O,X,O,X
TJSILOZ,O,O,X,O,O,X,X,O,O,X,O,X,O,X
TJSIZLO,O,O,X,O,O,X,X,X,O,X,O,X,O,O
TJSIZOL,O,O,X,O,O,X,X,X,O,X,O,O,O,O
TJSIOLZ,O,O,X,X,O,X,X,O,O,X,O,X,O,X
TJSIOZL,O,O,X,O,O,X,X,X,O,X,O,O,O,X
TJSLIZO,O,O,O,O,O,X,X,X,O,X,O,X,O,X
TJSLIOZ,O,O,O,O,O,X,X,O,O,X,O,X,O,X
TJSLZIO,O,O,O,O,O,X,X,X,O,X,O,X,O,X
TJSLZOI,O,O,O,O,O,X,X,X,O,X,O,O,O,X
TJSLOIZ,O,O,O,O,O,X,X,O,O,X,O,X,O,X
TJSLOZI,O,O,O,O,O,X,X,X,O,X,O,O,O,X
TJSZILO,O,O,O,O,O,X,X,X,O,X,O,X,O,O
TJSZIOL,O,O,O,O,O,X,X,X,O,X,O,O,O,O
TJSZLIO,O,O,O,O,O,X,X,X,O,X,O,X,O,O
TJSZLOI,O,O,O,O,O,X,X,X,O,X,O,O,O,X
TJSZOIL,O,O,O,O,O,X,X,X,O,X,O,O,O,O
TJSZOLI,O,O,O,O,O,X,X,X,O,X,O,O,O,X
TJSOILZ,O,O,X,X,O,X,X,O,O,X,O,X,O,X
TJSOIZL,O,O,O,O,O,X,X,X,O,X,O,O,O,X
TJSOLIZ,O,O,O,O,O,X,X,O,O,X,O,X,O,X
TJSOLZI,O,O,O,O,O,X,X,X,O,X,O,O,O,X
TJSOZIL,O,O,O,O,O,X,X,X,O,X,O,O,O,X
TJSOZLI,O,O,O,O,O,X,X,X,O,X,O,O,O,X
TJZILSO,O,O,O,O,O,X,X,X,X,X,X,X,O,X
TJZILOS,O,O,O,O,O,X,X,O,X,X,X,X,O,X
TJZISLO,O,O,X,O,O,X,X,X,O,X,X,X,X,X
TJZISOL,O,O,X,O,O,X,X,X,O,X,X,X,O,X
TJZIOLS,O,O,O,O,O,X,X,O,X,X,X,X,O,X
TJZIOSL,O,O,O,O,O,X,X,X,O,X,X,X,O,X
TJZLISO,O,O,O,O,O,X,X,X,X,X,X,X,O,X
TJZLIOS,O,O,O,O,O,X,X,O,X,X,X,X,O,X
TJZLSIO,O,O,O,O,O,X,X,X,X,X,X,X,O,X
TJZLSOI,O,O,O,O,O,X,X,X,X,X,X,X,O,X
TJZLOIS,O,O,O,O,O,X,X,O,X,X,X,X,O,X
TJZLOSI,O,O,O,O,O,X,X,X,X,X,X,X,O,X
TJZSILO,O,O,X,O,O,X,X,X,O,X,X,X,O,X
TJZSIOL,O,O,X,O,O,X,X,X,O,X,X,O,O,X
TJZSLIO,O,O,O,O,O,X,X,X,O,X,X,X,O,X
TJZSLOI,O,O,O,O,O,X,X,X,O,X,X,O,O,X
TJZSOIL,O,O,O,O,O,X,X,X,O,X,X,O,O,X
TJZSOLI,O,O,O,O,O,X,X,X,O,X,X,O,O,X
TJZOILS,O,O,O,O,O,X,X,O,X,X,X,X,O,X
TJZOISL,O,O,O,O,O,X,X,X,O,X,X,X,O,X
TJZOLIS,O,O,O,O,O,X,X,O,X,X,X,X,O,X
TJZOLSI,O,O,O,O,O,X,X,X,X,X,X,X,O,X
TJZOSIL,O,O,O,O,O,X,X,X,O,X,X,O,O,X
TJZOSLI,O,O,O,O,O,X,X,X,O,X,X,O,O,X
TJOILSZ,X,O,X,X,O,X,O,O,O,X,X,X,O,X
TJOILZS,O,O,X,X,O,X,O,O,X,X,X,X,O,X
TJOISLZ,X,O,X,X,X,X,X,O,O,X,X,X,O,X
TJOISZL,X,O,O,O,X,X,X,X,O,X,X,O,O,X
TJOIZLS,O,O,O,O,O,X,X,O,X,X,X,X,O,X
TJOIZSL,O,O,O,O,O,X,X,X,O,X,X,X,O,X
TJOLISZ,X,O,O,O,O,X,O,O,O,X,X,X,O,X
TJOLIZS,O,O,O,O,O,X,O,O,X,X,X,X,O,X
TJOLSIZ,X,O,O,O,O,X,X,O,O,X,X,X,O,X
TJOLSZI,X,O,O,O,O,X,X,X,O,X,X,O,O,X
TJOLZIS,O,O,O,O,O,X,X,O,X,X,X,X,O,X
TJOLZSI,O,O,O,O,O,X,X,X,X,X,X,X,O,X
