sequence,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFCe?BUgBFhBXjBTmBWwB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFGe?BUgBFhBziBXmBSwB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFqi?BTeBUgBFhBGrBXrB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Je06IvhFxb?BqiBTeBllBXrBGrB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFTc?BCeBFgBXjBUmBWwB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFTc?BWjBFgBXjBCrBUrB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Je06IvhFxb?BGeB1lBziBXmBSwB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFWj?BUgBFhBXjBCrBTrB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFWj?BUgBFhBXjB6rBzqB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFTc?BuiBcjBFgBqqB/rB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Je06IvhFGe?BylBziB5mBfrBlqB
ITSLZJO,O,X,X,X,O,X,X,X,X,O,X
ITSLZOJ,O,X,X,X,O,X,X,X,X,O,X
ITSLOJZ,X,X,X,X,O,X,X,X,X,X,X
ITSLOZJ,X,X,X,X,O,X,X,X,X,O,X
ITSJLZO,O,X,X,X,O,X,X,X,X,X,X
ITSJLOZ,X,X,X,X,O,X,X,X,X,X,X
ITSJZLO,O,X,X,X,O,X,X,X,X,X,X
ITSJZOL,O,X,X,X,O,X,O,X,X,X,X
ITSJOLZ,X,X,X,X,O,O,X,X,X,X,X
ITSJOZL,X,X,X,X,O,O,X,X,X,X,X
ITSZLJO,O,X,X,X,O,X,X,X,X,O,X
ITSZLOJ,O,X,X,X,O,X,X,X,X,O,X
ITSZJLO,O,X,X,X,O,X,X,X,X,O,X
ITSZJOL,O,X,X,X,O,X,O,X,X,O,X
ITSZOLJ,O,X,X,X,O,X,X,X,X,X,X
ITSZOJL,X,X,X,X,X,X,O,X,X,O,X
ITSOLJZ,X,X,X,X,O,X,X,X,X,X,X
ITSOLZJ,X,X,X,X,O,X,X,X,X,X,X
ITSOJLZ,X,X,X,X,O,O,X,X,X,X,X
ITSOJZL,X,X,X,X,O,O,O,X,X,X,X
ITSOZLJ,X,X,X,X,O,X,X,X,X,X,X
ITSOZJL,X,X,X,X,X,X,O,X,X,O,X
ITZLJSO,X,X,O,X,X,X,X,O,O,O,X
ITZLJOS,X,O,O,O,X,X,O,O,X,X,X
ITZLSJO,O,X,X,O,X,X,X,O,X,O,X
ITZLSOJ,O,O,O,O,X,X,X,X,X,O,X
ITZLOJS,X,O,O,O,X,X,O,O,X,X,X
ITZLOSJ,X,O,O,O,X,X,X,X,X,X,X
ITZJLSO,O,X,O,X,O,X,X,O,O,O,X
ITZJLOS,X,X,O,O,O,X,O,O,X,X,X
ITZJSLO,O,X,O,X,O,X,X,O,O,O,X
ITZJSOL,O,X,X,X,O,X,O,O,O,O,X
ITZJOLS,X,O,O,X,O,X,O,X,X,X,X
ITZJOSL,O,O,X,X,O,O,O,O,O,O,X
ITZSLJO,O,X,X,X,O,X,X,X,X,O,X
ITZSLOJ,O,X,O,O,O,X,X,X,X,O,X
ITZSJLO,O,X,X,X,O,X,X,O,O,O,X
ITZSJOL,O,X,X,X,O,X,O,O,O,O,X
ITZSOLJ,O,X,X,X,O,X,X,X,X,X,X
ITZSOJL,X,O,X,X,X,X,O,X,X,O,X
ITZOLJS,X,O,O,O,X,X,O,X,X,X,X
ITZOLSJ,X,O,O,O,X,X,O,X,X,X,X
ITZOJLS,X,O,X,X,X,X,O,X,X,X,X
ITZOJSL,X,O,X,X,X,O,O,O,O,O,X
ITZOSLJ,O,X,X,X,O,X,X,X,X,X,X
ITZOSJL,X,O,X,X,X,X,O,X,X,X,X
ITOLJSZ,X,X,X,X,X,O,O,X,X,X,X
ITOLJZS,X,O,X,X,X,X,O,X,X,X,X
ITOLSJZ,X,X,X,X,O,X,O,X,X,X,X
ITOLSZJ,X,X,X,X,O,X,O,X,X,X,X
ITOLZJS,X,O,X,X,X,X,O,X,X,X,X
ITOLZSJ,X,O,X,X,X,X,O,X,X,X,X
ITOJLSZ,X,X,X,X,O,O,O,X,X,X,X
ITOJLZS,X,O,X,X,X,O,O,X,X,X,X
ITOJSLZ,X,X,X,X,O,O,X,X,X,X,X
ITOJSZL,X,X,X,X,O,O,O,X,X,X,X
ITOJZLS,X,O,X,X,O,X,O,X,X,X,X
ITOJZSL,X,O,X,X,O,O,O,X,X,X,X
ITOSLJZ,X,X,X,X,O,X,X,X,X,X,X
ITOSLZJ,X,X,X,X,O,X,X,X,X,X,X
ITOSJLZ,X,X,X,X,O,O,X,X,X,X,X
ITOSJZL,X,X,X,X,O,O,O,X,X,X,X
ITOSZLJ,X,X,X,X,O,X,X,X,X,X,X
ITOSZJL,X,X,X,X,X,X,O,X,X,X,X
ITOZLJS,X,O,X,X,X,X,O,X,X,X,X
ITOZLSJ,X,O,X,X,X,X,O,X,X,X,X
ITOZJLS,X,O,X,X,X,X,O,X,X,X,X
ITOZJSL,X,O,X,X,X,O,O,X,X,O,X
ITOZSLJ,X,X,X,X,O,X,X,X,X,X,X
ITOZSJL,X,O,X,X,X,X,O,X,X,X,X
ILTJSZO,X,X,X,X,O,O,O,X,X,X,X
ILTJSOZ,X,X,X,X,O,O,X,X,X,X,X
ILTJZSO,X,X,O,X,O,O,O,O,X,X,X
ILTJZOS,X,X,O,X,O,O,O,O,X,X,X
ILTJOSZ,X,X,X,X,O,O,O,X,X,X,X
ILTJOZS,X,X,O,X,X,O,O,X,X,X,X
ILTSJZO,X,X,X,O,O,O,O,X,X,X,X
ILTSJOZ,X,X,X,O,O,O,X,X,X,X,X
ILTSZJO,X,X,X,O,O,O,O,X,X,O,X
ILTSZOJ,X,X,X,O,O,O,O,X,X,O,X
ILTSOJZ,X,X,X,O,O,O,O,X,X,X,X
ILTSOZJ,X,X,X,O,O,X,O,X,X,O,X
ILTZJSO,X,X,O,X,X,O,O,O,X,O,X
ILTZJOS,X,O,O,O,X,O,O,O,X,X,X
ILTZSJO,X,X,X,O,X,O,O,O,X,O,X
ILTZSOJ,X,O,O,O,X,O,O,X,X,O,X
ILTZOJS,X,O,O,O,X,O,O,O,X,X,X
ILTZOSJ,X,O,O,O,X,O,O,X,X,X,X
ILTOJSZ,X,X,X,X,X,O,O,X,X,X,X
ILTOJZS,X,O,O,X,X,O,O,X,X,X,X
ILTOSJZ,X,X,X,O,O,O,O,X,X,X,X
ILTOSZJ,X,X,X,O,O,X,O,X,X,X,X
ILTOZJS,X,O,O,O,X,O,O,X,X,X,X
ILTOZSJ,X,O,O,O,X,O,O,X,X,X,X
ILJTSZO,X,X,X,X,O,O,O,X,X,X,X
ILJTSOZ,X,X,X,X,O,O,X,X,X,X,X
ILJTZSO,X,X,O,X,O,O,O,O,X,X,X
ILJTZOS,X,X,O,X,O,O,O,O,X,X,X
ILJTOSZ,X,X,X,X,O,O,X,X,X,X,X
ILJTOZS,X,X,O,X,X,O,O,X,X,X,X
ILJSTZO,O,X,X,X,O,O,X,X,X,X,X
ILJSTOZ,X,X,X,X,O,O,X,X,X,X,X
ILJSZTO,O,X,O,X,O,X,X,O,X,O,X
ILJSZOT,O,X,O,X,O,X,X,X,X,O,X
ILJSOTZ,X,X,X,X,O,X,X,X,X,X,X
ILJSOZT,O,X,O,X,O,X,X,X,X,O,X
ILJZTSO,O,X,O,X,X,O,O,O,O,O,X
ILJZTOS,X,O,O,X,X,O,O,O,X,X,X
ILJZSTO,O,X,O,X,O,X,O,O,X,O,X
ILJZSOT,O,X,O,X,O,X,O,X,X,O,X
ILJZOTS,X,O,O,X,X,O,O,O,X,X,X
ILJZOST,X,O,O,X,O,X,O,X,X,O,X
ILJOTSZ,X,X,X,X,X,O,X,X,X,X,X
ILJOTZS,X,O,O,X,X,O,X,X,X,X,X
ILJOSTZ,X,X,X,X,O,X,X,X,X,X,X
ILJOSZT,X,O,O,X,O,X,X,X,X,X,X
ILJOZTS,X,O,O,X,X,X,X,O,X,X,X
ILJOZST,X,O,O,X,X,X,X,X,X,X,X
ILSTJZO,O,X,X,O,O,O,X,X,X,X,X
ILSTJOZ,X,X,X,O,O,O,X,X,X,X,X
ILSTZJO,O,X,X,O,O,O,X,X,X,O,X
ILSTZOJ,O,X,X,O,O,O,X,X,X,O,X
ILSTOJZ,X,X,X,O,O,O,X,X,X,X,X
ILSTOZJ,X,X,X,O,O,X,X,X,X,O,X
ILSJTZO,O,X,X,X,O,O,X,X,X,X,X
ILSJTOZ,X,X,X,X,O,O,X,X,X,X,X
ILSJZTO,O,X,O,X,O,X,X,O,X,O,X
ILSJZOT,O,X,O,X,O,X,X,X,X,O,X
ILSJOTZ,X,X,X,X,O,X,X,X,X,X,X
ILSJOZT,O,X,O,X,O,X,X,X,X,O,X
ILSZTJO,O,X,X,O,O,X,X,O,X,O,X
ILSZTOJ,O,O,O,O,O,X,X,X,X,O,X
ILSZJTO,O,X,O,X,O,X,X,O,X,O,X
ILSZJOT,O,X,O,O,O,X,X,X,X,O,X
ILSZOTJ,O,O,O,O,O,X,X,X,X,O,X
ILSZOJT,O,O,O,O,X,X,X,X,X,O,X
ILSOTJZ,X,X,X,O,O,X,X,X,X,X,X
ILSOTZJ,X,X,X,O,O,X,X,X,X,O,X
ILSOJTZ,X,X,X,X,O,X,X,X,X,X,X
ILSOJZT,O,O,O,X,O,X,X,X,X,O,X
ILSOZTJ,O,O,O,O,O,X,X,X,X,O,X
ILSOZJT,O,O,O,O,X,X,X,X,X,O,X
ILZTJSO,X,X,O,X,X,O,O,O,O,O,X
ILZTJOS,X,O,O,O,X,O,O,O,X,X,X
ILZTSJO,O,X,X,O,X,O,O,O,X,O,X
ILZTSOJ,O,O,O,O,X,O,O,X,X,O,X
ILZTOJS,X,O,O,O,X,O,O,O,X,X,X
ILZTOSJ,X,O,O,O,X,O,O,X,X,X,X
ILZJTSO,O,X,O,X,X,O,O,O,O,O,X
ILZJTOS,X,O,O,X,X,O,O,O,X,X,X
ILZJSTO,O,X,O,X,X,X,O,O,X,O,X
ILZJSOT,O,X,O,X,X,X,O,X,X,O,X
ILZJOTS,X,O,O,O,X,O,O,O,X,X,X
ILZJOST,X,O,O,O,X,X,O,X,X,O,X
ILZSTJO,O,X,X,O,X,X,X,O,X,O,X
ILZSTOJ,O,O,O,O,X,X,X,X,X,O,X
ILZSJTO,O,X,O,X,X,X,O,O,X,O,X
ILZSJOT,O,X,O,O,X,X,O,X,X,O,X
ILZSOTJ,O,O,O,O,X,X,X,X,X,O,X
ILZSOJT,O,O,O,O,X,X,O,X,X,O,X
ILZOTJS,X,O,O,O,X,O,O,O,X,X,O
ILZOTSJ,X,O,O,O,X,O,O,X,X,X,O
ILZOJTS,X,O,O,O,X,O,O,O,X,X,O
ILZOJST,X,O,O,O,X,X,O,X,X,O,O
ILZOSTJ,X,O,O,O,X,X,X,X,X,O,O
ILZOSJT,X,O,O,O,X,X,O,X,X,O,O
ILOTJSZ,X,X,X,X,X,O,O,X,X,X,O
ILOTJZS,X,O,O,X,X,O,O,X,X,X,O
ILOTSJZ,X,X,X,O,X,O,O,X,X,X,O
ILOTSZJ,X,X,X,O,X,X,O,X,X,X,O
ILOTZJS,X,O,O,O,X,O,O,X,X,X,O
ILOTZSJ,X,O,O,O,X,O,O,X,X,X,O
ILOJTSZ,X,X,X,X,X,O,O,X,X,X,O
ILOJTZS,X,O,O,X,X,O,O,X,X,X,O
ILOJSTZ,X,X,X,X,X,X,X,X,X,X,O
ILOJSZT,X,O,O,X,X,X,X,X,X,X,O
ILOJZTS,X,O,O,X,X,X,O,O,X,X,O
ILOJZST,X,O,O,X,X,X,O,X,X,X,O
ILOSTJZ,X,X,X,O,O,X,X,X,X,X,O
ILOSTZJ,X,X,X,O,O,X,X,X,X,O,O
ILOSJTZ,X,X,X,X,O,X,X,X,X,X,O
ILOSJZT,X,O,O,X,X,X,X,X,X,O,O
ILOSZTJ,X,O,O,O,O,X,X,X,X,O,O
ILOSZJT,X,O,O,O,X,X,X,X,X,O,O
ILOZTJS,X,O,O,O,X,X,O,O,X,X,O
ILOZTSJ,X,O,O,O,X,X,O,X,X,X,O
ILOZJTS,X,O,O,O,X,X,O,O,X,X,O
ILOZJST,X,O,O,O,X,X,O,X,X,O,O
ILOZSTJ,X,O,O,O,X,X,X,X,X,O,O
ILOZSJT,X,O,O,O,X,X,O,X,X,O,O
IJTLSZO,X,X,X,X,O,O,X,X,X,X,X
IJTLSOZ,X,X,X,X,O,O,X,X,X,X,X
IJTLZSO,X,X,O,X,O,O,X,O,X,X,X
IJTLZOS,X,X,O,X,O,O,O,O,X,X,X
IJTLOSZ,X,X,X,X,O,O,X,X,X,X,X
IJTLOZS,X,X,O,X,X,O,X,X,X,X,X
IJTSLZO,O,X,X,X,O,X,X,X,X,X,X
IJTSLOZ,X,X,X,X,O,X,X,X,X,X,X
IJTSZLO,O,X,X,X,O,X,X,X,X,X,X
IJTSZOL,O,X,X,X,O,X,O,X,X,X,X
IJTSOLZ,X,X,X,X,O,O,X,X,X,X,X
IJTSOZL,X,X,X,X,O,O,X,X,X,X,X
IJTZLSO,O,X,O,X,O,X,X,O,O,X,X
IJTZLOS,X,X,O,X,O,X,O,O,X,X,X
IJTZSLO,O,X,O,X,O,X,X,O,O,X,X
IJTZSOL,O,X,X,X,O,X,O,O,O,X,X
IJTZOLS,X,X,O,X,O,X,O,X,X,X,X
IJTZOSL,O,X,X,X,O,O,O,O,O,X,X
IJTOLSZ,X,X,X,X,O,O,X,X,X,X,X
IJTOLZS,X,X,X,X,X,O,X,X,X,X,X
IJTOSLZ,X,X,X,X,O,O,X,X,X,X,X
IJTOSZL,X,X,X,X,O,O,X,X,X,X,X
IJTOZLS,X,X,X,X,O,X,O,X,X,X,X
IJTOZSL,X,X,X,X,O,O,O,X,X,X,X
IJLTSZO,X,X,X,X,O,O,O,X,X,X,X
IJLTSOZ,X,X,X,X,O,O,X,X,X,X,X
IJLTZSO,X,X,O,X,O,O,O,O,X,X,X
IJLTZOS,X,X,O,X,O,O,O,O,X,X,X
IJLTOSZ,X,X,X,X,O,O,X,X,X,X,X
IJLTOZS,X,X,O,X,X,O,O,X,X,X,X
IJLSTZO,O,X,X,X,O,O,X,X,X,X,X
IJLSTOZ,X,X,X,X,O,O,X,X,X,X,X
IJLSZTO,O,X,O,X,O,X,X,O,X,O,X
IJLSZOT,O,X,O,X,O,X,X,X,X,O,X
IJLSOTZ,X,X,X,X,O,X,X,X,X,X,X
IJLSOZT,O,X,O,X,O,X,X,X,X,O,X
IJLZTSO,O,X,O,X,X,O,O,O,O,O,X
IJLZTOS,X,O,O,X,X,O,O,O,X,X,X
IJLZSTO,O,X,O,X,O,X,O,O,X,O,X
IJLZSOT,O,X,O,X,O,X,O,X,X,O,X
IJLZOTS,X,O,O,X,X,O,O,O,X,X,X
IJLZOST,X,O,O,X,O,X,O,X,X,O,X
IJLOTSZ,X,X,X,X,X,O,X,X,X,X,X
IJLOTZS,X,O,O,X,X,O,X,X,X,X,X
IJLOSTZ,X,X,X,X,O,X,X,X,X,X,X
IJLOSZT,X,O,O,X,O,X,X,X,X,X,X
IJLOZTS,X,O,O,X,X,X,X,O,X,X,X
IJLOZST,X,O,O,X,X,X,X,X,X,X,X
IJSTLZO,O,X,X,X,O,X,X,X,X,X,X
IJSTLOZ,X,X,X,X,O,X,X,X,X,X,X
IJSTZLO,O,X,X,X,O,X,X,X,X,X,X
IJSTZOL,O,X,X,X,O,X,X,X,X,X,X
IJSTOLZ,X,X,X,X,O,O,X,X,X,X,X
IJSTOZL,X,X,X,X,O,O,X,X,X,X,X
IJSLTZO,O,X,X,X,O,O,X,X,X,X,X
IJSLTOZ,X,X,X,X,O,O,X,X,X,X,X
IJSLZTO,O,X,O,X,O,X,X,O,X,O,X
IJSLZOT,O,X,O,X,O,X,X,X,X,O,X
IJSLOTZ,X,X,X,X,O,X,X,X,X,X,X
IJSLOZT,O,X,O,X,O,X,X,X,X,O,X
IJSZTLO,O,X,O,X,O,X,X,O,O,O,X
IJSZTOL,O,X,X,X,O,X,X,O,O,O,X
IJSZLTO,O,X,O,X,O,X,X,O,X,O,X
IJSZLOT,O,X,O,X,O,X,X,X,X,O,X
IJSZOTL,O,X,X,X,O,X,X,X,X,O,X
IJSZOLT,O,X,X,X,O,X,X,X,X,O,X
IJSOTLZ,X,X,X,X,O,X,X,X,X,X,X
IJSOTZL,X,X,X,X,O,X,X,X,X,X,X
IJSOLTZ,X,X,X,X,O,X,X,X,X,X,X
IJSOLZT,O,X,X,X,O,X,X,X,X,X,X
IJSOZTL,O,X,X,X,O,X,X,X,X,O,X
IJSOZLT,O,X,X,X,O,X,X,X,X,O,X
IJZTLSO,O,X,O,X,O,X,O,O,O,O,X
IJZTLOS,X,X,O,X,O,X,O,O,X,X,X
IJZTSLO,O,X,O,X,O,X,X,O,O,O,X
IJZTSOL,O,X,X,X,O,X,O,O,O,O,X
IJZTOLS,X,O,O,X,O,X,O,X,X,X,X
IJZTOSL,O,O,X,X,O,O,O,O,O,O,X
IJZLTSO,O,X,O,X,X,O,O,O,O,O,X
IJZLTOS,X,O,O,X,X,O,O,O,X,X,X
IJZLSTO,O,X,O,X,O,X,O,O,X,O,X
IJZLSOT,O,X,O,X,O,X,O,X,X,O,X
IJZLOTS,X,O,O,X,X,X,O,O,X,X,X
IJZLOST,X,O,O,X,O,X,O,X,X,O,X
IJZSTLO,O,X,O,X,O,X,X,O,O,O,X
IJZSTOL,O,X,X,X,O,X,O,O,O,O,X
IJZSLTO,O,X,O,X,O,X,O,O,X,O,X
IJZSLOT,O,X,O,X,O,X,O,X,X,O,X
IJZSOTL,O,X,X,X,O,X,O,X,X,O,X
IJZSOLT,O,X,X,X,O,X,O,X,X,O,X
IJZOTLS,X,O,O,X,O,X,O,X,X,X,X
IJZOTSL,O,O,X,X,O,X,O,O,O,O,X
IJZOLTS,X,O,O,X,X,X,O,O,X,X,X
IJZOLST,X,O,O,X,O,X,O,X,X,O,X
IJZOSTL,O,O,X,X,O,X,O,X,X,O,X
IJZOSLT,O,O,X,X,O,X,O,X,X,O,X
IJOTLSZ,X,X,X,X,O,O,X,X,X,X,X
IJOTLZS,X,O,X,X,X,O,X,X,X,X,X
IJOTSLZ,X,X,X,X,O,O,X,X,X,X,X
IJOTSZL,X,X,X,X,O,O,X,X,X,X,X
IJOTZLS,X,O,X,X,O,X,X,X,O,X,X
IJOTZSL,X,O,X,X,O,O,X,X,O,X,X
IJOLTSZ,X,X,X,X,X,O,X,X,X,X,X
IJOLTZS,X,O,O,X,X,O,X,X,X,X,X
IJOLSTZ,X,X,X,X,O,X,X,X,X,X,X
IJOLSZT,X,O,O,X,O,X,X,X,X,X,X
IJOLZTS,X,O,O,X,X,X,X,O,O,X,X
IJOLZST,X,O,O,X,X,X,X,X,X,X,X
IJOSTLZ,X,X,X,X,O,X,X,X,X,X,X
IJOSTZL,X,X,X,X,O,X,X,X,X,X,X
IJOSLTZ,X,X,X,X,O,X,X,X,X,X,X
IJOSLZT,O,O,X,X,O,X,X,X,X,X,X
IJOSZTL,O,O,X,X,O,X,X,X,O,X,X
IJOSZLT,O,O,X,X,O,X,X,X,X,X,X
IJOZTLS,X,O,O,X,X,X,X,X,O,X,X
IJOZTSL,O,O,X,X,O,X,X,O,O,O,X
IJOZLTS,X,O,O,X,X,X,X,O,O,X,X
IJOZLST,X,O,O,X,O,X,X,X,X,O,X
IJOZSTL,O,O,X,X,O,X,X,X,O,O,X
IJOZSLT,O,O,X,X,O,X,X,X,X,O,X
ISTLJZO,O,X,X,O,O,X,X,X,X,X,X
ISTLJOZ,X,X,X,O,O,X,X,X,X,X,X
ISTLZJO,O,X,X,O,O,X,X,X,X,O,X
ISTLZOJ,O,X,X,O,O,X,X,X,X,O,X
ISTLOJZ,X,X,X,O,O,X,X,X,X,X,X
ISTLOZJ,X,X,X,O,O,X,X,X,X,O,X
ISTJLZO,O,X,X,X,O,X,X,X,X,X,X
ISTJLOZ,X,X,X,X,O,X,X,X,X,X,X
ISTJZLO,O,X,X,X,O,X,X,X,X,X,X
ISTJZOL,O,X,X,X,O,X,X,X,X,X,X
ISTJOLZ,X,X,X,X,O,O,X,X,X,X,X
ISTJOZL,X,X,X,X,O,O,X,X,X,X,X
ISTZLJO,O,X,X,O,O,X,X,X,X,O,X
ISTZLOJ,O,X,X,O,O,X,X,X,X,O,X
ISTZJLO,O,X,X,O,O,X,X,X,X,O,X
ISTZJOL,O,X,X,X,O,X,X,X,X,O,X
ISTZOLJ,O,X,X,O,O,X,X,X,X,X,X
ISTZOJL,X,X,X,X,X,X,X,X,X,O,X
ISTOLJZ,X,X,X,X,O,X,X,X,X,X,X
ISTOLZJ,X,X,X,X,O,X,X,X,X,X,X
ISTOJLZ,X,X,X,X,O,O,X,X,X,X,X
ISTOJZL,X,X,X,X,O,O,X,X,X,X,X
ISTOZLJ,X,X,X,X,O,X,X,X,X,X,X
ISTOZJL,X,X,X,X,X,X,X,X,X,O,X
ISLTJZO,O,X,X,O,O,O,X,X,X,O,X
ISLTJOZ,X,X,X,O,O,O,X,X,X,O,X
ISLTZJO,O,X,X,O,O,O,X,X,X,O,X
ISLTZOJ,O,X,X,O,O,O,X,X,X,O,X
ISLTOJZ,X,X,X,O,O,O,X,X,X,O,X
ISLTOZJ,X,X,X,O,O,X,X,X,X,O,X
ISLJTZO,O,X,X,X,O,O,X,X,X,X,X
ISLJTOZ,X,X,X,X,O,O,X,X,X,X,X
ISLJZTO,O,X,O,X,O,X,X,O,X,O,X
ISLJZOT,O,X,O,X,O,X,X,X,X,O,X
ISLJOTZ,X,X,X,X,O,X,X,X,X,X,X
ISLJOZT,O,X,O,X,O,X,X,X,X,O,X
ISLZTJO,O,X,X,O,O,X,X,O,X,O,X
ISLZTOJ,O,O,O,O,O,X,X,X,X,O,X
ISLZJTO,O,X,O,X,O,X,X,O,X,O,X
ISLZJOT,O,X,O,O,O,X,X,X,X,O,X
ISLZOTJ,O,O,O,O,O,X,X,X,X,O,X
ISLZOJT,O,O,O,O,X,X,X,X,X,O,X
ISLOTJZ,X,X,X,O,O,X,X,X,X,O,X
ISLOTZJ,X,X,X,O,O,X,X,X,X,O,X
ISLOJTZ,X,X,X,X,O,X,X,X,X,X,X
ISLOJZT,O,O,O,X,O,X,X,X,X,O,X
ISLOZTJ,O,O,O,O,O,X,X,X,X,O,X
ISLOZJT,O,O,O,O,X,X,X,X,X,O,X
ISJTLZO,O,X,X,X,O,X,X,X,X,X,X
ISJTLOZ,X,X,X,X,O,X,X,X,X,X,X
ISJTZLO,O,X,X,X,O,X,X,X,X,X,X
ISJTZOL,O,X,X,X,O,X,X,X,X,X,X
ISJTOLZ,X,X,X,X,O,O,X,X,X,X,X
ISJTOZL,X,X,X,X,O,O,X,X,X,X,X
ISJLTZO,O,X,X,X,O,O,X,X,X,X,X
ISJLTOZ,X,X,X,X,O,O,X,X,X,X,X
ISJLZTO,O,X,O,X,O,X,X,O,X,O,X
ISJLZOT,O,X,O,X,O,X,X,X,X,O,X
ISJLOTZ,X,X,X,X,O,X,X,X,X,X,X
ISJLOZT,O,X,O,X,O,X,X,X,X,O,X
ISJZTLO,O,X,O,X,O,X,X,O,O,O,X
ISJZTOL,O,X,X,X,O,X,X,O,O,O,X
ISJZLTO,O,X,O,X,O,X,X,O,X,O,X
ISJZLOT,O,X,O,X,O,X,X,X,X,O,X
ISJZOTL,O,X,X,X,O,X,X,X,X,O,X
ISJZOLT,O,X,X,X,O,X,X,X,X,O,X
ISJOTLZ,X,X,X,X,O,X,X,X,X,X,X
ISJOTZL,X,X,X,X,O,X,X,X,X,X,X
ISJOLTZ,X,X,X,X,O,X,X,X,X,X,X
ISJOLZT,O,X,X,X,O,X,X,X,X,X,X
ISJOZTL,O,X,X,X,O,X,X,X,X,O,X
ISJOZLT,O,X,X,X,O,X,X,X,X,O,X
ISZTLJO,O,X,X,O,O,X,X,X,X,O,X
ISZTLOJ,O,X,O,O,O,X,X,X,X,O,X
ISZTJLO,O,X,X,O,O,X,X,O,O,O,X
ISZTJOL,O,X,X,X,O,X,X,O,O,O,X
ISZTOLJ,O,X,X,O,O,X,X,X,X,X,X
ISZTOJL,X,O,X,X,X,X,X,X,X,O,X
ISZLTJO,O,X,X,O,O,X,X,O,X,O,X
ISZLTOJ,O,O,O,O,O,X,X,X,X,O,X
ISZLJTO,O,X,O,X,O,X,X,O,X,O,X
ISZLJOT,O,X,O,O,O,X,X,X,X,O,X
ISZLOTJ,O,O,O,O,O,X,X,X,X,O,X
ISZLOJT,O,O,O,O,X,X,X,X,X,O,X
ISZJTLO,O,X,O,X,O,X,X,O,O,O,X
ISZJTOL,O,X,X,X,O,X,X,O,O,O,X
ISZJLTO,O,X,O,X,O,X,X,O,X,O,X
ISZJLOT,O,X,O,O,O,X,X,X,X,O,X
ISZJOTL,O,X,X,X,O,X,X,X,X,O,X
ISZJOLT,O,X,X,X,O,X,X,X,X,O,X
ISZOTLJ,O,X,X,X,X,X,X,X,X,X,X
ISZOTJL,X,O,X,X,X,X,X,X,X,O,X
ISZOLTJ,O,O,X,O,O,X,X,X,X,O,X
ISZOLJT,O,O,X,O,X,X,X,X,X,O,X
ISZOJTL,O,O,X,X,X,X,X,X,X,O,X
ISZOJLT,O,O,X,X,X,X,X,X,X,O,X
ISOTLJZ,X,X,X,X,O,X,X,X,X,X,X
ISOTLZJ,X,X,X,X,O,X,X,X,X,X,X
ISOTJLZ,X,X,X,X,O,X,X,X,X,X,X
ISOTJZL,X,X,X,X,O,X,X,X,X,X,X
ISOTZLJ,X,X,X,X,O,X,X,X,X,X,X
ISOTZJL,X,X,X,X,X,X,X,X,X,O,X
ISOLTJZ,X,X,X,X,O,X,X,X,X,O,X
ISOLTZJ,X,X,X,X,O,X,X,X,X,O,X
ISOLJTZ,X,X,X,X,O,X,X,X,X,X,X
ISOLJZT,O,O,X,X,O,X,X,X,X,O,X
ISOLZTJ,O,O,X,X,O,X,X,X,X,O,X
ISOLZJT,O,O,X,X,X,X,X,X,X,O,X
ISOJTLZ,X,X,X,X,O,X,X,X,X,X,X
ISOJTZL,X,X,X,X,O,X,X,X,X,X,X
ISOJLTZ,X,X,X,X,O,X,X,X,X,X,X
ISOJLZT,O,O,X,X,O,X,X,X,X,X,X
ISOJZTL,O,O,X,X,O,X,X,X,X,O,X
ISOJZLT,O,O,X,X,O,X,X,X,X,O,X
ISOZTLJ,O,X,X,X,X,X,X,X,X,X,X
ISOZTJL,X,O,X,X,X,X,X,X,X,O,X
ISOZLTJ,O,O,X,X,O,X,X,X,X,O,X
ISOZLJT,O,O,X,X,X,X,X,X,X,O,X
ISOZJTL,O,O,X,X,X,X,X,X,X,O,X
ISOZJLT,O,O,X,X,X,X,X,X,X,O,X
IZTLJSO,X,X,O,X,X,X,X,O,O,O,X
IZTLJOS,X,O,O,O,X,X,O,O,X,X,X
IZTLSJO,O,X,X,O,X,X,X,O,X,O,X
IZTLSOJ,O,O,O,O,X,X,X,X,X,O,X
IZTLOJS,X,O,O,O,X,X,O,O,X,X,X
IZTLOSJ,X,O,O,O,X,X,X,X,X,X,X
IZTJLSO,O,X,O,X,O,X,O,O,O,O,X
IZTJLOS,X,X,O,O,O,X,O,O,X,X,X
IZTJSLO,O,X,O,X,O,X,X,O,O,O,X
