sequence,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFCe?BUgBFhBXjBTmBWwB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFGe?BUgBFhBziBXmBSwB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFqi?BTeBUgBFhBGrBXrB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Je06IvhFxb?BqiBTeBllBXrBGrB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFTc?BCeBFgBXjBUmBWwB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFTc?BWjBFgBXjBCrBUrB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Je06IvhFxb?BGeB1lBziBXmBSwB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFWj?BUgBFhBXjBCrBTrB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFWj?BUgBFhBXjB6rBzqB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFTc?BuiBcjBFgBqqB/rB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Je06IvhFGe?BylBziB5mBfrBlqB
TIOJZLS,X,O,X,X,O,X,O,X,X,X,X
TIOJZSL,X,O,X,X,O,O,O,X,X,X,X
TIOSLJZ,X,X,X,X,O,X,X,X,X,X,X
TIOSLZJ,X,X,X,X,O,X,X,X,X,X,X
TIOSJLZ,X,X,X,X,O,O,X,X,X,X,X
TIOSJZL,X,X,X,X,O,O,O,X,X,X,X
TIOSZLJ,X,X,X,X,O,X,X,X,X,X,X
TIOSZJL,X,X,X,X,X,X,O,X,X,X,X
TIOZLJS,X,O,X,X,X,X,O,X,X,X,X
TIOZLSJ,X,O,X,X,X,X,O,X,X,X,X
TIOZJLS,X,O,X,X,X,X,O,X,X,X,X
TIOZJSL,X,O,X,X,X,O,O,X,X,O,X
TIOZSLJ,X,X,X,X,O,X,X,X,X,X,X
TIOZSJL,X,O,X,X,X,X,O,X,X,X,X
TLIJSZO,X,X,X,X,O,O,O,X,X,X,X
TLIJSOZ,X,X,X,X,O,O,X,X,X,X,X
TLIJZSO,X,X,O,X,O,O,O,O,X,X,X
TLIJZOS,X,X,O,X,O,O,O,O,X,X,X
TLIJOSZ,X,X,X,X,O,O,O,X,X,X,X
TLIJOZS,X,X,O,X,X,O,O,X,X,X,X
TLISJZO,X,X,X,O,O,O,O,X,X,X,X
TLISJOZ,X,X,X,O,O,O,X,X,X,X,X
TLISZJO,X,X,X,O,O,O,O,X,X,O,X
TLISZOJ,X,X,X,O,O,O,O,X,X,O,X
TLISOJZ,X,X,X,O,O,O,O,X,X,X,X
TLISOZJ,X,X,X,O,O,X,O,X,X,O,X
TLIZJSO,X,X,O,X,X,O,O,O,X,O,X
TLIZJOS,X,O,O,O,X,O,O,O,X,X,X
TLIZSJO,X,X,X,O,X,O,O,O,X,O,X
TLIZSOJ,X,O,O,O,X,O,O,X,X,O,X
TLIZOJS,X,O,O,O,X,O,O,O,X,X,X
TLIZOSJ,X,O,O,O,X,O,O,X,X,X,X
TLIOJSZ,X,X,X,X,X,O,O,X,X,X,X
TLIOJZS,X,O,O,X,X,O,O,X,X,X,X
TLIOSJZ,X,X,X,O,O,O,O,X,X,X,X
TLIOSZJ,X,X,X,O,O,X,O,X,X,X,X
TLIOZJS,X,O,O,O,X,O,O,X,X,X,X
TLIOZSJ,X,O,O,O,X,O,O,X,X,X,X
TLJISZO,X,X,X,X,O,O,O,X,X,X,X
TLJISOZ,X,X,X,X,O,O,X,X,X,X,X
TLJIZSO,X,X,O,X,O,O,O,O,X,X,X
TLJIZOS,X,X,O,X,O,O,O,O,X,X,X
TLJIOSZ,X,X,X,X,O,O,O,X,X,X,X
TLJIOZS,X,X,O,X,X,O,O,X,X,X,X
TLJSIZO,X,X,X,O,O,O,O,X,X,X,X
TLJSIOZ,X,X,X,O,O,O,X,X,X,X,X
TLJSZIO,X,X,O,O,O,O,O,O,X,X,X
TLJSZOI,X,X,O,O,O,O,X,O,X,X,X
TLJSOIZ,X,X,X,O,O,O,X,X,X,X,X
TLJSOZI,X,X,O,O,O,O,X,X,X,X,X
TLJZISO,X,X,O,X,O,O,O,O,O,X,X
TLJZIOS,X,O,O,O,O,O,O,O,X,X,X
TLJZSIO,X,X,O,O,O,O,O,O,O,X,X
TLJZSOI,X,X,O,O,O,O,X,O,O,X,X
