sequence,v115@HhA8GeA8AeA8FeF8DeC8Jex/IvhF/mBUiBGjBzkBtq?BywB,v115@HhA8GeA8AeA8FeF8DeC8Je6EJvhFxgBNnBGjBTlB0r?BXrB,v115@HhA8GeA8AeA8FeF8DeC8Je6EJvhFxgBNnBGjBTlBXr?B0rB,v115@HhA8GeA8AeA8FeF8DeC8Je0/IvhFThBGjBRqB3rB6q?BNsB,v115@HhA8GeA8AeA8FeF8DeC8Jex/IvhFNnBGjBzkBCmB0r?BXrB,v115@HhA8GeA8AeA8FeF8DeC8Je6EJvhFTgBNnBGjBxqBXr?B0rB,v115@HhA8GeA8AeA8FeF8DeC8Jex/IvhFNnBGjBzkBCmBXr?B0rB,v115@HhA8GeA8AeA8FeF8DeC8Jex/IvhFNmBGjBClBXnB0q?BzrB,v115@HhA8GeA8AeA8FeF8DeC8Je6EJvhFNnBGjBxlBTlB0r?BXrB,v115@HhA8GeA8AeA8FeF8DeC8Je6EJvhFNnBGjBxlBTlBXr?B0rB
TISJLOZ,O,X,O,O,X,O,O,X,X,O
TISJZLO,O,X,X,O,X,X,X,O,X,O
TISJZOL,O,X,X,O,X,X,X,X,X,X
TISJOLZ,O,X,O,O,X,O,O,X,X,O
TISJOZL,O,X,O,O,O,X,O,X,X,X
TISZLJO,O,X,X,O,X,X,X,O,X,O
TISZLOJ,X,X,X,O,X,X,X,O,X,X
TISZJLO,O,X,X,O,X,X,X,O,X,O
TISZJOL,O,X,X,O,X,X,X,X,X,X
TISZOLJ,O,X,X,O,X,X,X,X,X,X
TISZOJL,O,X,X,O,X,X,X,X,X,X
TISOLJZ,O,X,O,O,X,O,O,X,X,O
TISOLZJ,O,X,O,O,X,O,O,X,X,X
TISOJLZ,O,X,O,O,X,O,O,X,X,O
TISOJZL,O,X,O,O,O,X,O,X,X,X
TISOZLJ,O,X,O,O,O,X,O,X,X,X
TISOZJL,O,X,O,O,O,X,O,X,X,X
TIZLJSO,O,X,X,X,X,O,X,O,O,X
TIZLJOS,X,O,X,X,O,O,X,O,O,X
TIZLSJO,O,X,X,X,X,O,X,O,O,X
TIZLSOJ,O,X,X,X,X,O,X,O,X,X
TIZLOJS,X,O,X,X,O,O,X,O,O,X
TIZLOSJ,X,O,X,X,O,O,X,O,X,X
TIZJLSO,O,X,X,X,X,O,X,O,O,X
TIZJLOS,X,O,X,X,O,O,X,O,O,X
TIZJSLO,O,X,X,O,X,X,X,O,O,X
TIZJSOL,O,X,X,O,X,X,X,X,X,X
TIZJOLS,X,O,X,X,O,O,X,X,O,X
TIZJOSL,X,O,X,X,O,X,O,X,X,X
TIZSLJO,O,X,X,O,X,X,X,O,O,X
TIZSLOJ,X,X,X,O,X,X,X,O,X,X
TIZSJLO,O,X,X,O,X,X,X,O,O,X
TIZSJOL,O,X,X,O,X,X,X,X,X,X
TIZSOLJ,X,X,X,O,X,X,X,X,X,X
TIZSOJL,O,X,X,O,X,X,X,X,X,X
TIZOLJS,X,O,X,X,O,O,X,X,O,X
TIZOLSJ,X,O,X,X,O,O,X,X,X,X
TIZOJLS,X,O,X,X,O,O,X,X,O,X
TIZOJSL,X,O,X,X,O,X,O,X,X,X
TIZOSLJ,X,O,X,X,O,X,O,X,X,X
TIZOSJL,X,O,X,X,O,X,O,X,X,X
TIOLJSZ,O,O,O,X,X,O,O,X,X,X
TIOLJZS,O,O,O,X,O,O,X,X,X,X
TIOLSJZ,O,O,O,X,X,O,O,X,X,X
TIOLSZJ,O,X,O,X,X,O,O,X,X,X
TIOLZJS,O,O,O,X,O,O,X,X,X,X
TIOLZSJ,O,O,X,X,O,O,X,X,X,X
TIOJLSZ,O,O,O,X,X,O,O,X,X,X
TIOJLZS,O,O,O,X,O,O,X,X,X,X
TIOJSLZ,O,O,O,X,X,O,O,X,X,X
TIOJSZL,O,X,O,X,O,X,O,X,X,X
TIOJZLS,O,O,O,X,O,O,X,X,X,X
TIOJZSL,O,O,X,X,O,X,O,X,X,X
TIOSLJZ,O,O,O,X,X,O,O,X,X,X
TIOSLZJ,O,X,O,X,X,O,O,X,X,X
TIOSJLZ,O,O,O,X,X,O,O,X,X,X
TIOSJZL,O,X,O,X,O,X,O,X,X,X
TIOSZLJ,O,X,O,X,O,X,O,X,X,X
TIOSZJL,O,X,O,X,O,X,O,X,X,X
TIOZLJS,O,O,O,X,O,O,X,X,X,X
TIOZLSJ,O,O,X,X,O,O,X,X,X,X
TIOZJLS,O,O,O,X,O,O,X,X,X,X
TIOZJSL,O,O,X,X,O,X,O,X,X,X
TIOZSLJ,O,O,X,X,O,X,O,X,X,X
TIOZSJL,O,O,X,X,O,X,O,X,X,X
TLIJSZO,O,X,X,X,X,O,X,O,X,O
TLIJSOZ,O,X,O,X,X,O,X,X,X,O
TLIJZSO,O,X,X,X,X,O,X,O,O,X
TLIJZOS,X,O,X,X,X,O,X,O,O,X
TLIJOSZ,O,O,O,X,X,O,O,X,X,X
TLIJOZS,O,O,O,X,O,O,X,X,X,X
TLISJZO,O,X,X,X,X,O,X,O,X,O
TLISJOZ,O,X,O,X,X,O,X,X,X,O
TLISZJO,O,X,X,X,X,O,X,O,X,O
TLISZOJ,O,X,X,X,X,O,X,O,X,X
TLISOJZ,O,X,O,X,X,O,X,X,X,O
TLISOZJ,O,X,O,X,X,O,X,X,X,X
TLIZJSO,O,X,X,X,X,O,X,O,O,X
TLIZJOS,X,O,X,X,X,O,X,O,O,X
TLIZSJO,O,X,X,X,X,O,X,O,O,X
TLIZSOJ,O,X,X,X,X,O,X,O,X,X
TLIZOJS,X,O,X,X,X,O,X,O,O,X
TLIZOSJ,X,O,X,X,X,O,X,O,X,X
TLIOJSZ,O,O,O,X,X,O,O,X,X,X
TLIOJZS,O,O,O,X,O,O,X,X,X,X
TLIOSJZ,O,O,O,X,X,O,O,X,X,X
TLIOSZJ,O,X,O,X,X,O,O,X,X,X
TLIOZJS,O,O,O,X,O,O,X,X,X,X
TLIOZSJ,O,O,X,X,O,O,X,X,X,X
TLJISZO,O,X,X,X,X,O,X,O,X,O
TLJISOZ,O,X,O,X,X,O,X,X,X,O
TLJIZSO,O,X,X,X,X,O,X,O,O,X
TLJIZOS,X,O,X,X,X,O,X,O,O,X
TLJIOSZ,O,O,O,X,X,O,O,X,X,X
TLJIOZS,O,O,O,X,O,O,X,X,X,X
TLJSIZO,O,X,X,X,X,O,X,O,X,O
TLJSIOZ,O,X,O,X,X,O,O,X,X,O
TLJSZIO,O,X,X,X,X,X,X,O,O,O
TLJSZOI,O,O,O,X,X,X,O,O,X,X
TLJSOIZ,O,O,O,X,X,X,O,X,X,O
TLJSOZI,O,O,O,X,X,X,O,X,X,X
TLJZISO,O,X,X,X,X,O,X,O,O,X
TLJZIOS,X,O,X,X,O,O,X,O,O,X
TLJZSIO,O,X,X,X,X,X,X,O,O,O
TLJZSOI,O,O,O,X,O,X,X,O,X,X
TLJZOIS,O,O,O,X,O,X,X,O,O,X
TLJZOSI,O,O,O,X,O,X,X,O,X,X
TLJOISZ,O,O,O,X,X,O,O,X,X,X
TLJOIZS,O,O,O,X,O,O,X,X,X,X
TLJOSIZ,O,O,O,X,X,X,O,X,X,O
TLJOSZI,O,O,O,X,X,X,O,X,X,X
TLJOZIS,O,O,O,X,O,X,X,X,O,X
TLJOZSI,O,O,O,X,O,X,X,X,X,X
TLSIJZO,O,X,X,X,X,O,X,O,X,O
TLSIJOZ,O,X,O,X,X,O,O,X,X,O
TLSIZJO,O,X,X,X,X,O,X,O,X,O
TLSIZOJ,O,X,X,X,X,O,X,O,X,X
TLSIOJZ,O,X,O,X,X,O,O,X,X,O
TLSIOZJ,O,X,O,X,X,O,O,X,X,X
TLSJIZO,O,X,X,X,X,O,X,O,X,O
TLSJIOZ,O,X,O,X,X,O,O,X,X,O
TLSJZIO,O,X,X,X,X,X,X,O,O,O
TLSJZOI,O,O,O,X,X,X,O,O,X,X
TLSJOIZ,O,O,O,X,X,X,O,X,X,O
TLSJOZI,O,O,O,X,X,X,O,X,X,X
TLSZIJO,O,X,X,X,X,X,X,O,O,O
TLSZIOJ,O,X,X,X,X,X,X,O,X,X
TLSZJIO,O,X,X,X,X,X,X,O,O,O
TLSZJOI,O,O,O,X,X,X,O,O,X,X
TLSZOIJ,O,O,O,X,X,X,O,O,X,X
TLSZOJI,O,O,O,X,X,X,O,O,X,X
TLSOIJZ,O,O,O,X,X,X,O,X,X,O
TLSOIZJ,O,X,O,X,X,X,O,X,X,X
TLSOJIZ,O,O,O,X,X,X,O,X,X,O
TLSOJZI,O,O,O,X,X,X,O,X,X,X
TLSOZIJ,O,O,O,X,X,X,O,X,X,X
TLSOZJI,O,O,O,X,X,X,O,X,X,X
TLZIJSO,O,X,X,X,X,O,X,O,O,X
TLZIJOS,X,O,X,X,O,O,X,O,O,X
TLZISJO,O,X,X,X,X,O,X,O,O,X
TLZISOJ,O,X,X,X,X,O,X,O,X,X
TLZIOJS,X,O,X,X,O,O,X,O,O,X
TLZIOSJ,X,O,X,X,O,O,X,O,X,X
TLZJISO,O,X,X,X,X,O,X,O,O,X
TLZJIOS,X,O,X,X,O,O,X,O,O,X
TLZJSIO,O,X,X,X,X,X,X,O,O,O
TLZJSOI,O,O,O,X,O,X,X,O,X,X
TLZJOIS,O,O,O,X,O,X,X,O,O,X
TLZJOSI,O,O,O,X,O,X,X,O,X,X
TLZSIJO,O,X,X,X,X,X,X,O,O,O
TLZSIOJ,O,X,X,X,X,X,X,O,X,X
TLZSJIO,O,X,X,X,X,X,X,O,O,O
TLZSJOI,O,O,O,X,O,X,X,O,X,X
TLZSOIJ,O,O,O,X,O,X,X,O,X,X
TLZSOJI,O,O,O,X,O,X,X,O,X,X
TLZOIJS,O,O,O,X,O,X,X,O,O,X
TLZOISJ,O,O,X,X,O,X,X,O,X,X
TLZOJIS,O,O,O,X,O,X,X,O,O,X
TLZOJSI,O,O,O,X,O,X,X,O,X,X
TLZOSIJ,O,O,O,X,O,X,X,O,X,X
TLZOSJI,O,O,O,X,O,X,X,O,X,X
TLOIJSZ,O,O,O,X,X,O,O,X,X,X
TLOIJZS,O,O,O,X,O,O,X,X,X,X
TLOISJZ,O,O,O,X,X,O,O,X,X,X
TLOISZJ,O,X,O,X,X,O,O,X,X,X
TLOIZJS,O,O,O,X,O,O,X,X,X,X
TLOIZSJ,O,O,X,X,O,O,X,X,X,X
TLOJISZ,O,O,O,X,X,O,O,X,X,X
TLOJIZS,O,O,O,X,O,O,X,X,X,X
TLOJSIZ,O,O,O,X,X,X,O,X,X,O
TLOJSZI,O,O,O,X,X,X,O,X,X,X
TLOJZIS,O,O,O,X,O,X,X,X,O,X
TLOJZSI,O,O,O,X,O,X,X,X,X,X
TLOSIJZ,O,O,O,X,X,X,O,X,X,O
TLOSIZJ,O,X,O,X,X,X,O,X,X,X
TLOSJIZ,O,O,O,X,X,X,O,X,X,O
TLOSJZI,O,O,O,X,X,X,O,X,X,X
TLOSZIJ,O,O,O,X,X,X,O,X,X,X
TLOSZJI,O,O,O,X,X,X,O,X,X,X
TLOZIJS,O,O,O,X,O,X,X,X,O,X
TLOZISJ,O,O,X,X,O,X,X,X,X,X
TLOZJIS,O,O,O,X,O,X,X,X,O,X
TLOZJSI,O,O,O,X,O,X,X,X,X,X
TLOZSIJ,O,O,O,X,O,X,X,X,X,X
TLOZSJI,O,O,O,X,O,X,X,X,X,X
TJILSZO,O,X,X,X,X,O,X,O,X,O
TJILSOZ,O,X,O,X,X,O,X,X,X,O
TJILZSO,O,X,X,X,X,O,X,O,O,X
TJILZOS,X,O,X,X,X,O,X,O,O,X
TJILOSZ,O,O,O,X,X,O,O,X,X,X
TJILOZS,O,O,O,X,O,O,X,X,X,X
TJISLZO,O,X,X,O,X,O,X,O,X,O
TJISLOZ,O,X,O,O,X,O,O,X,X,O
TJISZLO,O,X,X,O,X,X,X,O,X,O
TJISZOL,O,X,X,O,X,X,X,X,X,X
TJISOLZ,O,X,O,O,X,O,O,X,X,O
TJISOZL,O,X,O,O,O,X,O,X,X,X
TJIZLSO,O,X,X,X,X,O,X,O,O,X
TJIZLOS,X,O,X,X,O,O,X,O,O,X
TJIZSLO,O,X,X,O,X,X,X,O,O,X
TJIZSOL,O,X,X,O,X,X,X,X,X,X
TJIZOLS,X,O,X,X,O,O,X,X,O,X
TJIZOSL,X,O,X,X,O,X,O,X,X,X
TJIOLSZ,O,O,O,X,X,O,O,X,X,X
TJIOLZS,O,O,O,X,O,O,X,X,X,X
TJIOSLZ,O,O,O,X,X,O,O,X,X,X
TJIOSZL,O,X,O,X,O,X,O,X,X,X
TJIOZLS,O,O,O,X,O,O,X,X,X,X
TJIOZSL,O,O,X,X,O,X,O,X,X,X
TJLISZO,O,X,X,X,X,O,X,O,X,O
TJLISOZ,O,X,O,X,X,O,X,X,X,O
TJLIZSO,O,X,X,X,X,O,X,O,O,X
TJLIZOS,X,O,X,X,X,O,X,O,O,X
TJLIOSZ,O,O,O,X,X,O,O,X,X,X
TJLIOZS,O,O,O,X,O,O,X,X,X,X
TJLSIZO,O,X,X,X,X,O,X,O,X,O
TJLSIOZ,O,X,O,X,X,O,O,X,X,O
TJLSZIO,O,X,X,X,X,X,X,O,O,O
TJLSZOI,O,O,O,X,X,X,O,O,X,X
TJLSOIZ,O,O,O,X,X,X,O,X,X,O
TJLSOZI,O,O,O,X,X,X,O,X,X,X
TJLZISO,O,X,X,X,X,O,X,O,O,X
TJLZIOS,X,O,X,X,O,O,X,O,O,X
TJLZSIO,O,X,X,X,X,X,X,O,O,O
TJLZSOI,O,O,O,X,O,X,X,O,X,X
TJLZOIS,O,O,O,X,O,X,X,O,O,X
TJLZOSI,O,O,O,X,O,X,X,O,X,X
TJLOISZ,O,O,O,X,X,O,O,X,X,X
TJLOIZS,O,O,O,X,O,O,X,X,X,X
TJLOSIZ,O,O,O,X,X,X,O,X,X,O
TJLOSZI,O,O,O,X,X,X,O,X,X,X
TJLOZIS,O,O,O,X,O,X,X,X,O,X
TJLOZSI,O,O,O,X,O,X,X,X,X,X
TJSILZO,O,X,X,O,X,O,X,O,X,O
TJSILOZ,O,X,O,O,X,O,O,X,X,O
TJSIZLO,O,X,X,O,X,X,X,O,X,O
TJSIZOL,O,X,X,O,X,X,X,X,X,X
TJSIOLZ,O,X,O,O,X,O,O,X,X,O
TJSIOZL,O,X,O,O,O,X,O,X,X,X
TJSLIZO,O,X,X,X,X,O,X,O,X,O
TJSLIOZ,O,X,O,X,X,O,O,X,X,O
TJSLZIO,O,X,X,X,X,X,X,O,O,O
TJSLZOI,O,O,O,X,X,X,O,O,X,X
TJSLOIZ,O,O,O,X,X,X,O,X,X,O
TJSLOZI,O,O,O,X,X,X,O,X,X,X
TJSZILO,O,X,X,O,X,X,X,O,O,O
TJSZIOL,O,X,X,O,X,X,X,X,X,X
TJSZLIO,O,X,X,X,X,X,X,O,O,O
TJSZLOI,O,O,O,X,O,X,O,O,X,X
TJSZOIL,O,O,O,X,O,X,O,X,X,X
TJSZOLI,O,O,O,X,O,X,O,O,X,X
TJSOILZ,O,O,O,X,X,X,O,X,X,O
TJSOIZL,O,X,O,X,O,X,O,X,X,X
TJSOLIZ,O,O,O,X,X,X,O,X,X,O
TJSOLZI,O,O,O,X,X,X,O,X,X,X
TJSOZIL,O,O,O,X,O,X,O,X,X,X
TJSOZLI,O,O,O,X,O,X,O,X,X,X
TJZILSO,O,X,X,X,X,O,X,O,O,X
TJZILOS,X,O,X,X,O,O,X,O,O,X
TJZISLO,O,X,X,O,X,X,X,O,O,X
TJZISOL,O,X,X,O,X,X,X,X,X,X
TJZIOLS,X,O,X,X,O,O,X,X,O,X
TJZIOSL,X,O,X,X,O,X,O,X,X,X
TJZLISO,O,X,X,X,X,O,X,O,O,X
TJZLIOS,X,O,X,X,O,O,X,O,O,X
TJZLSIO,O,X,X,X,X,X,X,O,O,O
TJZLSOI,O,O,O,X,O,X,X,O,X,X
TJZLOIS,O,O,O,X,O,X,X,O,O,X
TJZLOSI,O,O,O,X,O,X,X,O,X,X
TJZSILO,O,X,X,O,X,X,X,O,O,O
TJZSIOL,O,X,X,O,X,X,X,X,X,X
TJZSLIO,O,X,X,X,X,X,X,O,O,O
TJZSLOI,O,O,O,X,O,X,O,O,X,X
TJZSOIL,O,O,O,X,O,X,O,X,X,X
TJZSOLI,O,O,O,X,O,X,O,O,X,X
TJZOILS,O,O,O,X,O,X,X,X,O,X
TJZOISL,O,O,X,X,O,X,O,X,X,X
TJZOLIS,O,O,O,X,O,X,X,O,O,X
TJZOLSI,O,O,O,X,O,X,X,O,X,X
TJZOSIL,O,O,O,X,O,X,O,X,X,X
TJZOSLI,O,O,O,X,O,X,O,O,X,X
TJOILSZ,O,O,O,X,X,O,O,X,X,X
TJOILZS,O,O,O,X,O,O,X,X,X,X
TJOISLZ,O,O,O,X,X,O,O,X,X,X
TJOISZL,O,X,O,X,O,X,O,X,X,X
TJOIZLS,O,O,O,X,O,O,X,X,X,X
TJOIZSL,O,O,X,X,O,X,O,X,X,X
TJOLISZ,O,O,O,X,X,O,O,X,X,X
TJOLIZS,O,O,O,X,O,O,X,X,X,X
TJOLSIZ,O,O,O,X,X,X,O,X,X,O
TJOLSZI,O,O,O,X,X,X,O,X,X,X
TJOLZIS,O,O,O,X,O,X,X,X,O,X
TJOLZSI,O,O,O,X,O,X,X,X,X,X
TJOSILZ,O,O,O,X,X,X,O,X,X,O
TJOSIZL,O,X,O,X,O,X,O,X,X,X
TJOSLIZ,O,O,O,X,X,X,O,X,X,O
TJOSLZI,O,O,O,X,X,X,O,X,X,X
TJOSZIL,O,O,O,X,O,X,O,X,X,X
TJOSZLI,O,O,O,X,O,X,O,X,X,X
TJOZILS,O,O,O,X,O,X,X,X,O,X
TJOZISL,O,O,X,X,O,X,O,X,X,X
TJOZLIS,O,O,O,X,O,X,X,X,O,X
TJOZLSI,O,O,O,X,O,X,X,X,X,X
TJOZSIL,O,O,O,X,O,X,O,X,X,X
TJOZSLI,O,O,O,X,O,X,O,X,X,X
TSILJZO,O,X,X,O,X,O,X,O,X,O
TSILJOZ,O,X,O,O,X,O,O,X,X,O
TSILZJO,O,X,X,O,X,O,X,O,X,O
TSILZOJ,O,X,X,O,X,O,X,O,X,X
TSILOJZ,O,X,O,O,X,O,O,X,X,O
TSILOZJ,O,X,O,O,X,O,O,X,X,X
TSIJLZO,O,X,X,O,X,O,X,O,X,O
TSIJLOZ,O,X,O,O,X,O,O,X,X,O
TSIJZLO,O,X,X,O,X,X,X,O,X,O
TSIJZOL,O,X,X,O,X,X,X,X,X,X
TSIJOLZ,O,X,O,O,X,O,O,X,X,O
TSIJOZL,O,X,O,O,O,X,O,X,X,X
TSIZLJO,O,X,X,O,X,X,X,O,X,O
TSIZLOJ,X,X,X,O,X,X,X,O,X,X
TSIZJLO,O,X,X,O,X,X,X,O,X,O
TSIZJOL,O,X,X,O,X,X,X,X,X,X
TSIZOLJ,O,X,X,O,X,X,X,X,X,X
TSIZOJL,O,X,X,O,X,X,X,X,X,X
TSIOLJZ,O,X,O,O,X,O,O,X,X,O
TSIOLZJ,O,X,O,O,X,O,O,X,X,X
TSIOJLZ,O,X,O,O,X,O,O,X,X,O
TSIOJZL,O,X,O,O,O,X,O,X,X,X
TSIOZLJ,O,X,O,O,O,X,O,X,X,X
TSIOZJL,O,X,O,O,O,X,O,X,X,X
TSLIJZO,O,X,X,X,X,O,X,O,X,O
TSLIJOZ,O,X,O,X,X,O,O,X,X,O
TSLIZJO,O,X,X,X,X,O,X,O,X,O
TSLIZOJ,O,X,X,X,X,O,X,O,X,X
TSLIOJZ,O,X,O,X,X,O,O,X,X,O
TSLIOZJ,O,X,O,X,X,O,O,X,X,X
TSLJIZO,O,X,X,X,X,O,X,O,X,O
TSLJIOZ,O,X,O,X,X,O,O,X,X,O
TSLJZIO,O,X,X,X,X,X,X,O,O,O
TSLJZOI,O,O,O,X,X,X,O,O,X,X
TSLJOIZ,O,O,O,X,X,X,O,X,X,O
TSLJOZI,O,O,O,X,X,X,O,X,X,X
TSLZIJO,O,X,X,X,X,X,X,O,O,O
TSLZIOJ,O,X,X,X,X,X,X,O,X,X
TSLZJIO,O,X,X,X,X,X,X,O,O,O
TSLZJOI,O,O,O,X,X,X,O,O,X,X
TSLZOIJ,O,O,O,X,X,X,O,O,X,X
TSLZOJI,O,O,O,X,X,X,O,O,X,X
TSLOIJZ,O,O,O,X,X,X,O,X,X,O
TSLOIZJ,O,X,O,X,X,X,O,X,X,X
TSLOJIZ,O,O,O,X,X,X,O,X,X,O
TSLOJZI,O,O,O,X,X,X,O,X,X,X
TSLOZIJ,O,O,O,X,X,X,O,X,X,X
TSLOZJI,O,O,O,X,X,X,O,X,X,X
TSJILZO,O,X,X,O,X,O,X,O,X,O
TSJILOZ,O,X,O,O,X,O,O,X,X,O
TSJIZLO,O,X,X,O,X,X,X,O,X,O
TSJIZOL,O,X,X,O,X,X,X,X,X,X
TSJIOLZ,O,X,O,O,X,O,O,X,X,O
TSJIOZL,O,X,O,O,O,X,O,X,X,X
TSJLIZO,O,X,X,X,X,O,X,O,X,O
TSJLIOZ,O,X,O,X,X,O,O,X,X,O
TSJLZIO,O,X,X,X,X,X,X,O,O,O
TSJLZOI,O,O,O,X,X,X,O,O,X,X
TSJLOIZ,O,O,O,X,X,X,O,X,X,O
TSJLOZI,O,O,O,X,X,X,O,X,X,X
TSJZILO,O,X,X,O,X,X,X,O,O,O
TSJZIOL,O,X,X,O,X,X,X,X,X,X
TSJZLIO,O,X,X,X,X,X,X,O,O,O
TSJZLOI,O,O,O,X,O,X,O,O,X,X
TSJZOIL,O,O,O,X,O,X,O,X,X,X
TSJZOLI,O,O,O,X,O,X,O,O,X,X
TSJOILZ,O,O,O,X,X,X,O,X,X,O
TSJOIZL,O,X,O,X,O,X,O,X,X,X
TSJOLIZ,O,O,O,X,X,X,O,X,X,O
TSJOLZI,O,O,O,X,X,X,O,X,X,X
TSJOZIL,O,O,O,X,O,X,O,X,X,X
TSJOZLI,O,O,O,X,O,X,O,X,X,X
TSZILJO,O,X,X,O,X,X,X,O,O,O
TSZILOJ,X,X,X,O,X,X,X,O,X,X
TSZIJLO,O,X,X,O,X,X,X,O,O,O
TSZIJOL,O,X,X,O,X,X,X,X,X,X
TSZIOLJ,O,X,X,O,X,X,X,X,X,X
TSZIOJL,O,X,X,O,X,X,X,X,X,X
TSZLIJO,O,X,X,X,X,X,X,O,O,O
TSZLIOJ,X,X,X,X,X,X,X,O,X,X
TSZLJIO,O,X,X,X,X,X,X,O,O,O
TSZLJOI,O,O,O,X,O,X,O,O,X,X
TSZLOIJ,O,O,O,X,O,X,O,O,X,X
TSZLOJI,O,O,O,X,O,X,O,O,X,X
TSZJILO,O,X,X,O,X,X,X,O,O,O
TSZJIOL,O,X,X,O,X,X,X,X,X,X
TSZJLIO,O,X,X,X,X,X,X,O,O,O
TSZJLOI,O,O,O,X,O,X,O,O,X,X
TSZJOIL,O,O,O,X,O,X,O,X,X,X
TSZJOLI,O,O,O,X,O,X,O,O,X,X
TSZOILJ,O,O,O,O,O,X,O,X,X,X
TSZOIJL,O,O,O,O,O,X,O,X,X,X
TSZOLIJ,O,O,O,X,O,X,O,O,X,X
TSZOLJI,O,O,O,X,O,X,O,O,X,X
TSZOJIL,O,O,O,X,O,X,O,X,X,X
TSZOJLI,O,O,O,X,O,X,O,O,X,X
TSOILJZ,O,O,O,O,X,X,O,X,X,O
TSOILZJ,O,X,O,O,X,X,O,X,X,X
TSOIJLZ,O,O,O,O,X,X,O,X,X,O
TSOIJZL,O,X,O,O,O,X,O,X,X,X
TSOIZLJ,O,X,O,O,O,X,O,X,X,X
TSOIZJL,O,X,O,O,O,X,O,X,X,X
