sequence,v115@EhB8IeA8IeA8AeC8AeE8Kei/IvhFzgBUiB5oB3kBWs?BlqB,v115@EhB8IeA8IeA8AeC8AeE8KeOEJvhF8kBzgBqmB/nB5o?BlqB,v115@EhB8IeA8IeA8AeC8AeE8Kei/IvhF3gBumB5oB1pB8q?BTsB,v115@EhB8IeA8IeA8AeC8AeE8Kel/IvhF3gBzhB5oB2pB8q?BSxB,v115@EhB8IeA8IeA8AeC8AeE8Kem/IvhFChB/nB5oBTkB0m?BlqB,v115@EhB8IeA8IeA8AeC8AeE8Ke0/IvhFlgB3hB5oB2pBTn?BCrB,v115@EhB8IeA8IeA8AeC8AeE8KeKEJvhFzfBWmB/nB5oB0m?BlqB,v115@EhB8IeA8IeA8AeC8AeE8KeKEJvhFflBlgBumB5oB8q?BTsB
TSZIJOL,X,X,X,X,X,X,X,X
TSZIOLJ,X,X,X,X,X,X,X,X
TSZIOJL,X,X,X,X,X,X,X,X
TSZLIJO,X,O,X,X,X,X,X,X
TSZLIOJ,X,O,X,X,X,X,X,X
TSZLJIO,X,O,X,X,X,X,X,X
TSZLJOI,X,O,X,X,X,X,X,X
TSZLOIJ,X,O,X,X,X,X,X,X
TSZLOJI,X,O,X,X,X,X,X,X
TSZJILO,X,O,X,X,X,X,X,X
TSZJIOL,X,X,X,X,X,X,X,X
TSZJLIO,X,O,X,X,X,X,X,X
TSZJLOI,X,O,X,X,X,X,X,X
TSZJOIL,X,X,X,X,X,X,X,X
TSZJOLI,X,X,X,X,X,X,X,X
TSZOILJ,X,X,X,X,X,X,X,X
TSZOIJL,X,X,X,X,X,X,X,X
TSZOLIJ,X,X,X,X,X,X,X,X
TSZOLJI,X,X,X,X,X,X,X,X
TSZOJIL,X,X,X,X,X,X,X,X
TSZOJLI,X,X,X,X,X,X,X,X
TSOILJZ,O,X,X,X,O,X,X,X
TSOILZJ,X,X,X,X,X,X,X,X
TSOIJLZ,O,X,X,X,O,X,X,X
TSOIJZL,O,X,X,X,X,X,X,X
TSOIZLJ,X,X,X,X,X,X,X,X
TSOIZJL,X,X,X,X,X,X,X,X
TSOLIJZ,O,X,X,X,O,X,X,X
TSOLIZJ,X,X,X,X,X,X,X,X
TSOLJIZ,O,X,X,X,O,X,X,X
TSOLJZI,O,X,X,X,X,X,X,X
TSOLZIJ,X,X,X,X,X,X,X,X
TSOLZJI,X,X,X,X,X,X,X,X
TSOJILZ,O,X,X,X,O,X,X,X
TSOJIZL,O,X,X,X,X,X,X,X
TSOJLIZ,O,X,X,X,O,X,X,X
TSOJLZI,O,X,X,X,X,X,X,X
TSOJZIL,O,X,X,X,X,X,X,X
TSOJZLI,O,X,X,X,X,X,X,X
TSOZILJ,X,X,X,X,X,X,X,X
TSOZIJL,X,X,X,X,X,X,X,X
TSOZLIJ,X,X,X,X,X,X,X,X
TSOZLJI,X,X,X,X,X,X,X,X
TSOZJIL,X,X,X,X,X,X,X,X
TSOZJLI,X,X,X,X,X,X,X,X
TZILJSO,X,X,O,X,X,X,X,X
TZILJOS,X,X,X,X,X,X,X,X
TZILSJO,X,X,O,X,X,X,X,X
TZILSOJ,X,X,O,X,X,X,X,X
TZILOJS,X,X,O,X,X,X,X,X
TZILOSJ,X,X,O,X,X,X,X,X
TZIJLSO,X,X,O,X,X,X,X,X
TZIJLOS,X,X,X,X,X,X,X,X
TZIJSLO,X,O,O,X,X,X,X,X
TZIJSOL,X,X,X,X,X,X,X,X
TZIJOLS,X,X,X,X,X,X,X,X
TZIJOSL,X,X,X,X,X,X,X,X
TZISLJO,X,O,O,X,X,X,X,X
TZISLOJ,X,O,O,X,X,X,X,X
TZISJLO,X,O,O,X,X,X,X,X
TZISJOL,X,X,X,X,X,X,X,X
TZISOLJ,X,X,O,X,X,X,X,X
TZISOJL,X,X,O,X,X,X,X,X
TZIOLJS,X,X,O,X,X,X,X,X
