sequence,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFxcByiB?WnBllBXrBTsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhF6hBZiB?zdBllB+sBXrB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Jex7IvhFmdB3gB?1mB6nBzqBUsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFRiB3iB?6qBOrBlmBTsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Jex7IvhFmdB3gB?0mB6sBzqBFsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFzdB+mB?llB6sBZnBXrB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFzdBWnB?llBxrBKsBXrB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Jel7IvhF3cBiiB?unBxlBzqBUsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je2BJvhFRdB3iB?llBcrBTsB6qB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFyiBWnB?llBxrBXrBTsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8JeX8IvhFyiBWnB?llBxrB0qBTsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFmdBCiB?llBxrBTsBXrB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Jex7IvhF8hBunB?llByrBzqB3sB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Jel7IvhFylBRiB?UiBfsBusBzqB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8JeX8IvhFmdBCiB?llBxrBTsB0qB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8JeX8IvhFzhBllB?xrBusB0qBisB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8JeT8IvhF1lB3iB?SrBZnBusB0qB
TIZSLOJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZSJLO,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TIZSJOL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,X,X
TIZSOJL,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X
TIZOLJS,O,X,O,O,X,O,O,X,X,O,X,O,X,X,O,X,X
TIZOLSJ,O,X,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X
TIZOJLS,O,O,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X
TIZOJSL,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X
TIZOSLJ,O,X,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X
TIZOSJL,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X
TIOLJSZ,O,X,O,X,O,O,X,O,X,X,O,O,X,O,O,O,X
TIOLJZS,O,X,O,X,O,O,X,X,X,O,X,O,X,X,O,X,X
TIOLSJZ,X,X,O,X,O,X,X,O,X,X,X,O,X,O,O,O,O
TIOLSZJ,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,O
TIOLZJS,O,X,O,O,X,O,O,O,X,O,X,O,X,X,O,X,X
TIOLZSJ,O,X,X,O,X,X,X,O,X,X,X,O,X,O,O,X,X
TIOJLSZ,O,X,O,X,O,O,O,O,X,X,O,O,X,X,O,O,X
TIOJLZS,O,O,O,X,O,O,O,X,X,O,X,O,X,X,O,X,X
TIOJSLZ,O,X,O,X,O,X,O,O,X,X,O,O,X,X,O,O,X
TIOJSZL,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X
TIOJZLS,O,O,O,X,O,O,O,O,X,O,X,O,X,X,O,X,X
TIOJZSL,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X
TIOSLJZ,X,X,O,X,O,X,X,O,X,X,X,O,X,X,O,O,X
TIOSLZJ,X,X,O,X,X,X,X,O,O,X,X,O,X,X,O,X,X
TIOSJLZ,X,X,O,X,O,X,X,O,X,X,O,O,X,X,O,O,X
TIOSJZL,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,O,X
TIOSZLJ,X,X,O,X,O,X,X,O,O,X,X,O,X,X,O,X,X
TIOSZJL,X,X,O,X,O,X,O,O,O,X,X,O,X,X,X,O,X
TIOZLJS,O,X,O,O,O,O,O,O,X,O,X,O,X,X,O,X,X
TIOZLSJ,O,X,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X
TIOZJLS,O,O,O,X,O,O,O,O,X,O,X,O,X,X,O,X,X
TIOZJSL,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X
TIOZSLJ,O,X,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X
TIOZSJL,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,O,X
TLIJSZO,X,X,X,X,X,O,O,O,X,O,O,X,X,O,X,X,X
TLIJSOZ,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TLIJZSO,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X
TLIJZOS,X,X,X,O,X,O,O,X,X,O,X,X,O,X,X,X,X
TLIJOSZ,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X
TLIJOZS,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TLISJZO,O,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X
TLISJOZ,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O
TLISZJO,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
TLISZOJ,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O
TLISOJZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O
TLISOZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O
TLIZJSO,X,X,X,O,X,O,O,O,X,O,O,X,X,X,X,X,X
TLIZJOS,X,X,X,O,X,O,O,X,X,O,X,X,O,X,X,X,X
TLIZSJO,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X
TLIZSOJ,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TLIZOJS,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X
TLIZOSJ,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TLIOJSZ,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,O,X
TLIOJZS,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X
TLIOSJZ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O,O
TLIOSZJ,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,O
TLIOZJS,X,X,X,X,X,O,O,X,X,O,X,O,X,X,O,X,X
TLIOZSJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TLJISZO,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TLJISOZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJIZSO,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TLJIOSZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJIOZS,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJSIZO,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TLJSIOZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
TLJSZIO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJSZOI,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLJSOIZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
TLJSOZI,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJZISO,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZIOS,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TLJZSIO,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLJZOIS,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TLJZOSI,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLJOISZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJOIZS,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O
TLJOSZI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TLJOZSI,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLSIJZO,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
TLSIJOZ,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O
TLSIZJO,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TLSIZOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
TLSIOJZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O
TLSIOZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O
TLSJIZO,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TLSJIOZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
TLSJZIO,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSJZOI,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLSJOIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
TLSJOZI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSZIJO,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLSZIOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
TLSZJIO,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSZJOI,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLSZOIJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSZOJI,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSOIZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
TLSOJIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
TLSOJZI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSOZJI,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZIJSO,X,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X
TLZIJOS,X,O,X,O,X,O,O,X,X,O,X,X,O,X,X,X,X
TLZISJO,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X
TLZISOJ,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TLZIOJS,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X
TLZIOSJ,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TLZJISO,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZJIOS,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TLZJSIO,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLZJSOI,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLZJOIS,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TLZJOSI,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLZSIJO,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TLZSIOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
TLZSJIO,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLZSJOI,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLZSOIJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLZSOJI,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLZOIJS,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLZOISJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOJIS,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLZOJSI,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLZOSIJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLZOSJI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOIJSZ,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
TLOIJZS,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOISJZ,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,O
TLOISZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O
TLOIZJS,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TLOJISZ,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
TLOJIZS,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,O
TLOJSZI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOJZIS,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TLOJZSI,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLOSIJZ,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,O
TLOSIZJ,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,O
TLOSJIZ,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,O
TLOSJZI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOSZIJ,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O
TLOSZJI,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLOZIJS,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TLOZISJ,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TLOZJIS,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
TLOZJSI,O,O,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X
TLOZSIJ,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,O
TLOZSJI,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X
TJILSOZ,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TJILZSO,X,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X
TJILZOS,X,O,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X
TJILOSZ,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X
TJILOZS,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TJISLZO,X,O,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TJISLOZ,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TJISZLO,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TJISZOL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJISOLZ,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X
TJISOZL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TJIZLSO,X,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X
TJIZLOS,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TJIZSLO,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TJIZSOL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJIZOLS,X,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X
TJIZOSL,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X
TJIOLSZ,X,X,O,X,O,O,O,X,X,X,O,O,X,X,O,O,X
TJIOLZS,X,O,O,X,O,O,O,X,X,O,X,O,X,X,O,X,X
TJIOSLZ,X,O,O,X,O,X,O,X,X,X,O,O,X,X,O,O,X
TJIOSZL,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,O,X
TJIOZLS,X,O,O,X,O,O,O,X,X,O,X,O,X,X,O,X,X
TJIOZSL,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,O,X
TJLISZO,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TJLISOZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLIZSO,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLIZOS,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJLIOSZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLIOZS,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLSIZO,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TJLSIOZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
TJLSZIO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLSZOI,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TJLSOIZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
TJLSOZI,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLZISO,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLZIOS,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJLZSIO,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLZSOI,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJLZOIS,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJLZOSI,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJLOISZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLOIZS,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLOSIZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O
TJLOSZI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
