sequence,v115@FhA8IeA8HeB8AeC8AeE8KeOEJvhF8kBzgBCiB5oBXn?BlqB,v115@FhA8IeA8HeB8AeC8AeE8Kei/IvhFzgBumBcnB5oB3k?BlqB,v115@FhA8IeA8HeB8AeC8AeE8Kei/IvhF3gBGiB5oB1pB8q?BzrB,v115@FhA8IeA8HeB8AeC8AeE8Kel/IvhF3gBqmBTiB5oB2p?B8qB,v115@FhA8IeA8HeB8AeC8AeE8KeOEJvhFlgB3hBcnB5oBzk?BCrB,v115@FhA8IeA8HeB8AeC8AeE8Kei/IvhFWmBTiB5oB3kB0m?BlqB,v115@FhA8IeA8HeB8AeC8AeE8KeKEJvhFflBlgBGiB5oB8q?BzrB,v115@FhA8IeA8HeB8AeC8AeE8Ke2EJvhFChBTiB5oB0mB3k?BlqB
TLJISOZ,X,X,O,O,X,O,O,X
TLJIZSO,X,X,O,O,O,X,O,O
TLJIZOS,X,X,O,O,O,X,X,O
TLJIOSZ,X,X,O,O,O,O,O,X
TLJIOZS,X,X,O,O,O,X,O,O
TLJSIZO,X,X,O,O,O,O,O,O
TLJSIOZ,X,X,O,O,X,O,O,X
TLJSZIO,X,X,O,O,O,O,O,O
TLJSZOI,X,X,O,O,O,O,O,O
TLJSOIZ,X,X,O,O,X,O,O,X
TLJSOZI,X,X,O,O,X,O,O,X
TLJZISO,X,X,O,O,O,X,O,O
TLJZIOS,X,X,O,O,O,X,X,O
TLJZSIO,X,X,O,O,O,X,O,O
TLJZSOI,X,X,O,O,O,X,O,O
TLJZOIS,X,X,O,O,O,X,X,O
TLJZOSI,X,X,O,O,O,X,X,O
TLJOISZ,X,X,O,O,O,O,O,X
TLJOIZS,X,X,O,O,O,X,O,O
TLJOSIZ,X,X,O,O,O,O,O,X
TLJOSZI,X,X,O,O,O,O,O,X
TLJOZIS,X,X,O,O,O,X,O,O
TLJOZSI,X,X,O,O,O,X,O,O
TLSIJZO,O,O,O,X,O,O,O,O
TLSIJOZ,O,O,O,X,X,O,O,X
TLSIZJO,O,O,O,X,O,O,O,O
TLSIZOJ,O,O,O,X,O,O,O,O
TLSIOJZ,O,O,O,X,O,O,O,X
TLSIOZJ,O,O,O,X,O,O,O,X
TLSJIZO,O,O,O,X,O,O,O,O
TLSJIOZ,O,O,O,X,X,O,O,X
TLSJZIO,O,O,O,X,O,O,O,O
TLSJZOI,O,O,O,X,O,O,O,O
TLSJOIZ,O,O,O,X,X,O,O,X
TLSJOZI,O,O,O,X,X,O,O,X
TLSZIJO,O,O,O,X,O,O,O,O
TLSZIOJ,O,O,O,X,O,O,O,O
TLSZJIO,O,O,O,X,O,O,O,O
TLSZJOI,O,O,O,X,O,O,O,O
TLSZOIJ,O,O,O,X,O,O,O,O
TLSZOJI,O,O,O,X,O,O,O,O
TLSOIJZ,O,O,O,X,O,O,O,X
TLSOIZJ,O,O,O,X,O,O,O,X
TLSOJIZ,O,O,O,X,O,O,O,X
TLSOJZI,O,O,O,X,O,O,O,X
TLSOZIJ,O,O,O,X,O,O,O,X
TLSOZJI,O,O,O,X,O,O,O,X
TLZIJSO,O,O,O,O,O,X,O,O
TLZIJOS,O,O,O,O,O,X,X,O
TLZISJO,O,O,O,O,O,X,O,O
TLZISOJ,O,O,O,O,O,X,O,O
TLZIOJS,O,O,O,O,O,X,O,O
TLZIOSJ,O,O,O,O,O,X,O,O
TLZJISO,O,O,O,O,O,X,O,O
TLZJIOS,O,O,O,O,O,X,X,O
TLZJSIO,O,O,O,O,O,X,O,O
TLZJSOI,O,O,O,O,O,X,O,O
TLZJOIS,O,O,O,O,O,X,X,O
TLZJOSI,O,O,O,O,O,X,X,O
TLZSIJO,O,O,O,O,O,X,O,O
TLZSIOJ,O,O,O,O,O,X,O,O
TLZSJIO,O,O,O,O,O,X,O,O
TLZSJOI,O,O,O,O,O,X,O,O
TLZSOIJ,O,O,O,O,O,X,O,O
TLZSOJI,O,O,O,O,O,X,O,O
TLZOIJS,O,O,O,O,O,X,O,O
TLZOISJ,O,O,O,O,O,X,O,O
TLZOJIS,O,O,O,O,O,X,O,O
TLZOJSI,O,O,O,O,O,X,O,O
TLZOSIJ,O,O,O,O,O,X,O,O
TLZOSJI,O,O,O,O,O,X,O,O
TLOIJSZ,X,X,O,O,O,O,O,X
TLOIJZS,X,X,O,O,O,X,O,O
TLOISJZ,O,O,O,X,O,O,O,X
TLOISZJ,O,O,O,X,O,O,O,X
TLOIZJS,O,O,O,O,O,X,O,O
TLOIZSJ,O,O,O,O,O,X,O,O
TLOJISZ,X,X,O,O,O,O,O,X
TLOJIZS,X,X,O,O,O,X,O,O
TLOJSIZ,X,X,O,O,O,O,O,X
TLOJSZI,X,X,O,O,O,O,O,X
TLOJZIS,X,X,O,O,O,X,O,O
TLOJZSI,X,X,O,O,O,X,O,O
TLOSIJZ,O,O,O,X,O,O,O,X
TLOSIZJ,O,O,O,X,O,O,O,X
TLOSJIZ,O,O,O,X,O,O,O,X
TLOSJZI,O,O,O,X,O,O,O,X
TLOSZIJ,O,O,O,X,O,O,O,X
TLOSZJI,O,O,O,X,O,O,O,X
TLOZIJS,O,O,O,O,O,X,O,O
TLOZISJ,O,O,O,O,O,X,O,O
TLOZJIS,O,O,O,O,O,X,O,O
TLOZJSI,O,O,O,O,O,X,O,O
TLOZSIJ,O,O,O,O,O,X,O,O
TLOZSJI,O,O,O,O,O,X,O,O
TJILSZO,X,X,O,O,O,O,O,O
TJILSOZ,X,X,O,O,X,O,O,X
TJILZSO,X,X,O,O,O,X,O,O
TJILZOS,X,X,O,O,O,X,X,O
TJILOSZ,X,X,O,O,X,O,O,X
TJILOZS,X,X,O,O,O,X,O,O
TJISLZO,O,O,O,O,X,O,X,O
TJISLOZ,O,O,O,O,X,O,X,X
TJISZLO,O,O,O,O,X,O,X,O
TJISZOL,O,O,O,O,X,O,X,O
TJISOLZ,O,O,O,O,X,O,X,X
TJISOZL,O,O,O,O,X,O,X,X
TJIZLSO,O,O,O,O,O,X,O,O
TJIZLOS,O,O,O,O,O,X,X,O
TJIZSLO,O,O,O,O,O,O,X,O
TJIZSOL,O,O,O,O,O,O,X,O
TJIZOLS,O,O,O,O,O,X,X,O
TJIZOSL,O,O,O,O,O,O,X,O
TJIOLSZ,X,X,O,O,O,O,O,X
TJIOLZS,X,X,O,O,O,X,O,O
TJIOSLZ,O,O,O,O,O,O,X,X
TJIOSZL,O,O,O,O,O,O,X,X
TJIOZLS,O,O,O,O,O,X,O,O
TJIOZSL,O,O,O,O,O,O,X,O
TJLISZO,X,X,O,O,O,O,O,O
TJLISOZ,X,X,O,O,X,O,O,X
TJLIZSO,X,X,O,O,O,X,O,O
TJLIZOS,X,X,O,O,O,X,X,O
TJLIOSZ,X,X,O,O,X,O,O,X
TJLIOZS,X,X,O,O,O,X,O,O
TJLSIZO,X,X,O,O,O,O,O,O
TJLSIOZ,X,X,O,O,X,O,O,X
TJLSZIO,X,X,O,O,O,O,O,O
TJLSZOI,X,X,O,O,O,O,O,O
TJLSOIZ,X,X,O,O,X,O,O,X
TJLSOZI,X,X,O,O,X,O,O,X
TJLZISO,X,X,O,O,O,X,O,O
TJLZIOS,X,X,O,O,O,X,X,O
TJLZSIO,X,X,O,O,O,X,O,O
TJLZSOI,X,X,O,O,O,X,O,O
TJLZOIS,X,X,O,O,O,X,X,O
TJLZOSI,X,X,O,O,O,X,X,O
TJLOISZ,X,X,O,O,X,O,O,X
TJLOIZS,X,X,O,O,O,X,O,O
TJLOSIZ,X,X,O,O,X,O,O,X
TJLOSZI,X,X,O,O,X,O,O,X
TJLOZIS,X,X,O,O,O,X,O,O
TJLOZSI,X,X,O,O,O,X,O,O
TJSILZO,O,O,O,O,X,O,X,O
TJSILOZ,O,O,O,O,X,O,X,X
TJSIZLO,O,O,O,O,X,O,X,O
TJSIZOL,O,O,O,O,X,O,X,O
TJSIOLZ,O,O,O,O,X,O,X,X
TJSIOZL,O,O,O,O,X,O,X,X
TJSLIZO,O,O,O,O,X,O,X,O
TJSLIOZ,O,O,O,O,X,O,X,X
TJSLZIO,O,O,O,O,X,O,X,O
TJSLZOI,O,O,O,O,X,O,X,O
TJSLOIZ,O,O,O,O,X,O,X,X
TJSLOZI,O,O,O,O,X,O,X,X
TJSZILO,O,O,O,O,X,O,X,O
TJSZIOL,O,O,O,O,X,O,X,O
TJSZLIO,O,O,O,O,X,O,X,O
TJSZLOI,O,O,O,O,X,O,X,O
TJSZOIL,O,O,O,O,X,O,X,O
TJSZOLI,O,O,O,O,X,O,X,O
TJSOILZ,O,O,O,O,X,O,X,X
TJSOIZL,O,O,O,O,X,O,X,X
TJSOLIZ,O,O,O,O,X,O,X,X
TJSOLZI,O,O,O,O,X,O,X,X
TJSOZIL,O,O,O,O,X,O,X,X
TJSOZLI,O,O,O,O,X,O,X,X
TJZILSO,O,O,O,O,O,X,O,O
TJZILOS,O,O,O,O,O,X,X,O
TJZISLO,O,O,O,O,O,O,X,O
TJZISOL,O,O,O,O,O,O,X,O
TJZIOLS,O,O,O,O,O,X,X,O
TJZIOSL,O,O,O,O,O,O,X,O
TJZLISO,O,O,O,O,O,X,O,O
TJZLIOS,O,O,O,O,O,X,X,O
TJZLSIO,O,O,O,O,O,X,O,O
TJZLSOI,O,O,O,O,O,X,O,O
TJZLOIS,O,O,O,O,O,X,X,O
TJZLOSI,O,O,O,O,O,X,X,O
TJZSILO,O,O,O,O,O,O,X,O
TJZSIOL,O,O,O,O,O,O,X,O
TJZSLIO,O,O,O,O,O,O,X,O
TJZSLOI,O,O,O,O,O,O,X,O
TJZSOIL,O,O,O,O,O,O,X,O
TJZSOLI,O,O,O,O,O,O,X,O
TJZOILS,O,O,O,O,O,X,X,O
TJZOISL,O,O,O,O,O,O,X,O
TJZOLIS,O,O,O,O,O,X,X,O
TJZOLSI,O,O,O,O,O,X,X,O
TJZOSIL,O,O,O,O,O,O,X,O
TJZOSLI,O,O,O,O,O,O,X,O
TJOILSZ,X,X,O,O,O,O,O,X
TJOILZS,X,X,O,O,O,X,O,O
TJOISLZ,O,O,O,O,O,O,X,X
TJOISZL,O,O,O,O,O,O,X,X
TJOIZLS,O,O,O,O,O,X,O,O
TJOIZSL,O,O,O,O,O,O,X,O
TJOLISZ,X,X,O,O,O,O,O,X
TJOLIZS,X,X,O,O,O,X,O,O
TJOLSIZ,X,X,O,O,O,O,O,X
TJOLSZI,X,X,O,O,O,O,O,X
TJOLZIS,X,X,O,O,O,X,O,O
TJOLZSI,X,X,O,O,O,X,O,O
TJOSILZ,O,O,O,O,O,O,X,X
TJOSIZL,O,O,O,O,O,O,X,X
TJOSLIZ,O,O,O,O,O,O,X,X
TJOSLZI,O,O,O,O,O,O,X,X
TJOSZIL,O,O,O,O,O,O,X,X
TJOSZLI,O,O,O,O,O,O,X,X
TJOZILS,O,O,O,O,O,X,O,O
TJOZISL,O,O,O,O,O,O,X,O
TJOZLIS,O,O,O,O,O,X,O,O
TJOZLSI,O,O,O,O,O,X,O,O
TJOZSIL,O,O,O,O,O,O,X,O
TJOZSLI,O,O,O,O,O,O,X,O
TSILJZO,O,O,O,X,X,O,X,O
TSILJOZ,O,O,O,X,X,O,X,X
TSILZJO,O,O,O,X,X,O,X,O
TSILZOJ,O,O,O,X,X,O,X,O
TSILOJZ,O,O,O,X,X,O,X,X
TSILOZJ,O,O,O,X,X,O,X,X
TSIJLZO,O,O,O,X,X,O,X,O
TSIJLOZ,O,O,O,X,X,O,X,X
TSIJZLO,O,O,O,X,X,O,X,O
TSIJZOL,O,O,O,X,X,O,X,O
TSIJOLZ,O,O,O,X,X,O,X,X
TSIJOZL,O,O,O,X,X,O,X,X
TSIZLJO,O,O,O,X,X,O,X,O
TSIZLOJ,O,O,O,X,X,O,X,O
TSIZJLO,O,O,O,X,X,O,X,O
TSIZJOL,O,O,O,X,X,O,X,O
TSIZOLJ,O,O,O,X,X,O,X,O
TSIZOJL,O,O,O,X,X,O,X,O
TSIOLJZ,O,O,O,X,X,O,X,X
TSIOLZJ,O,O,O,X,X,O,X,X
TSIOJLZ,O,O,O,X,X,O,X,X
TSIOJZL,O,O,O,X,X,O,X,X
TSIOZLJ,O,O,O,X,X,O,X,X
TSIOZJL,O,O,O,X,X,O,X,X
TSLIJZO,O,O,O,X,X,O,X,O
TSLIJOZ,O,O,O,X,X,O,X,X
TSLIZJO,O,O,O,X,X,O,X,O
TSLIZOJ,O,O,O,X,X,O,X,O
TSLIOJZ,O,O,O,X,X,O,X,X
TSLIOZJ,O,O,O,X,X,O,X,X
TSLJIZO,O,O,O,X,X,O,X,O
TSLJIOZ,O,O,O,X,X,O,X,X
TSLJZIO,O,O,O,X,X,O,X,O
TSLJZOI,O,O,O,X,X,O,X,O
TSLJOIZ,O,O,O,X,X,O,X,X
TSLJOZI,O,O,O,X,X,O,X,X
TSLZIJO,O,O,O,X,X,O,X,O
TSLZIOJ,O,O,O,X,X,O,X,O
TSLZJIO,O,O,O,X,X,O,X,O
TSLZJOI,O,O,O,X,X,O,X,O
TSLZOIJ,O,O,O,X,X,O,X,O
TSLZOJI,O,O,O,X,X,O,X,O
TSLOIJZ,O,O,O,X,X,O,X,X
TSLOIZJ,O,O,O,X,X,O,X,X
TSLOJIZ,O,O,O,X,X,O,X,X
TSLOJZI,O,O,O,X,X,O,X,X
TSLOZIJ,O,O,O,X,X,O,X,X
TSLOZJI,O,O,O,X,X,O,X,X
TSJILZO,O,O,O,X,X,O,X,O
TSJILOZ,O,O,O,X,X,O,X,X
TSJIZLO,O,O,O,X,X,O,X,O
TSJIZOL,O,O,O,X,X,O,X,O
TSJIOLZ,O,O,O,X,X,O,X,X
TSJIOZL,O,O,O,X,X,O,X,X
TSJLIZO,O,O,O,X,X,O,X,O
TSJLIOZ,O,O,O,X,X,O,X,X
TSJLZIO,O,O,O,X,X,O,X,O
TSJLZOI,O,O,O,X,X,O,X,O
TSJLOIZ,O,O,O,X,X,O,X,X
TSJLOZI,O,O,O,X,X,O,X,X
TSJZILO,O,O,O,X,X,O,X,O
TSJZIOL,O,O,O,X,X,O,X,O
TSJZLIO,O,O,O,X,X,O,X,O
TSJZLOI,O,O,O,X,X,O,X,O
TSJZOIL,O,O,O,X,X,O,X,O
TSJZOLI,O,O,O,X,X,O,X,O
TSJOILZ,O,O,O,X,X,O,X,X
TSJOIZL,O,O,O,X,X,O,X,X
TSJOLIZ,O,O,O,X,X,O,X,X
TSJOLZI,O,O,O,X,X,O,X,X
TSJOZIL,O,O,O,X,X,O,X,X
TSJOZLI,O,O,O,X,X,O,X,X
TSZILJO,O,O,O,X,X,O,X,O
TSZILOJ,O,O,O,X,X,O,X,O
TSZIJLO,O,O,O,X,X,O,X,O
TSZIJOL,O,O,O,X,X,O,X,O
TSZIOLJ,O,O,O,X,X,O,X,O
TSZIOJL,O,O,O,X,X,O,X,O
TSZLIJO,O,O,O,X,X,O,X,O
TSZLIOJ,O,O,O,X,X,O,X,O
TSZLJIO,O,O,O,X,X,O,X,O
TSZLJOI,O,O,O,X,X,O,X,O
TSZLOIJ,O,O,O,X,X,O,X,O
TSZLOJI,O,O,O,X,X,O,X,O
TSZJILO,O,O,O,X,X,O,X,O
TSZJIOL,O,O,O,X,X,O,X,O
TSZJLIO,O,O,O,X,X,O,X,O
TSZJLOI,O,O,O,X,X,O,X,O
TSZJOIL,O,O,O,X,X,O,X,O
TSZJOLI,O,O,O,X,X,O,X,O
TSZOILJ,O,O,O,X,X,O,X,O
TSZOIJL,O,O,O,X,X,O,X,O
TSZOLIJ,O,O,O,X,X,O,X,O
TSZOLJI,O,O,O,X,X,O,X,O
TSZOJIL,O,O,O,X,X,O,X,O
TSZOJLI,O,O,O,X,X,O,X,O
TSOILJZ,O,O,O,X,X,O,X,X
TSOILZJ,O,O,O,X,X,O,X,X
TSOIJLZ,O,O,O,X,X,O,X,X
TSOIJZL,O,O,O,X,X,O,X,X
TSOIZLJ,O,O,O,X,X,O,X,X
TSOIZJL,O,O,O,X,X,O,X,X
TSOLIJZ,O,O,O,X,X,O,X,X
TSOLIZJ,O,O,O,X,X,O,X,X
TSOLJIZ,O,O,O,X,X,O,X,X
TSOLJZI,O,O,O,X,X,O,X,X
TSOLZIJ,O,O,O,X,X,O,X,X
TSOLZJI,O,O,O,X,X,O,X,X
TSOJILZ,O,O,O,X,X,O,X,X
TSOJIZL,O,O,O,X,X,O,X,X
TSOJLIZ,O,O,O,X,X,O,X,X
TSOJLZI,O,O,O,X,X,O,X,X
TSOJZIL,O,O,O,X,X,O,X,X
TSOJZLI,O,O,O,X,X,O,X,X
TSOZILJ,O,O,O,X,X,O,X,X
TSOZIJL,O,O,O,X,X,O,X,X
TSOZLIJ,O,O,O,X,X,O,X,X
TSOZLJI,O,O,O,X,X,O,X,X
TSOZJIL,O,O,O,X,X,O,X,X
TSOZJLI,O,O,O,X,X,O,X,X
TZILJSO,O,O,O,O,O,X,O,O
TZILJOS,O,O,O,O,O,X,X,O
TZILSJO,O,O,O,O,O,X,O,O
TZILSOJ,O,O,O,O,O,X,O,O
TZILOJS,O,O,O,O,O,X,O,O
TZILOSJ,O,O,O,O,O,X,O,O
TZIJLSO,O,O,O,O,O,X,O,O
TZIJLOS,O,O,O,O,O,X,X,O
TZIJSLO,O,O,O,O,O,O,X,O
TZIJSOL,O,O,O,O,O,O,X,O
TZIJOLS,O,O,O,O,O,X,X,O
TZIJOSL,O,O,O,O,O,O,X,O
TZISLJO,O,O,O,O,O,O,X,O
TZISLOJ,O,O,O,O,O,O,X,O
TZISJLO,O,O,O,O,O,O,X,O
TZISJOL,O,O,O,O,O,O,X,O
TZISOLJ,O,O,O,O,O,O,X,O
TZISOJL,O,O,O,X,O,O,X,O
TZIOLJS,O,O,O,O,O,X,O,O
TZIOLSJ,O,O,O,O,O,X,O,O
TZIOJLS,O,O,O,O,O,X,O,O
TZIOJSL,O,O,O,O,O,O,X,O
TZIOSLJ,O,O,O,X,O,O,X,O
TZIOSJL,O,O,O,X,O,O,X,O
TZLIJSO,O,O,O,O,O,X,O,O
TZLIJOS,O,O,O,O,O,X,X,O
TZLISJO,O,O,O,O,O,X,O,O
TZLISOJ,O,O,O,O,O,X,O,O
TZLIOJS,O,O,O,O,O,X,O,O
TZLIOSJ,O,O,O,O,O,X,O,O
TZLJISO,O,O,O,O,O,X,O,O
TZLJIOS,O,O,O,O,O,X,X,O
TZLJSIO,O,O,O,O,O,X,O,O
TZLJSOI,O,O,O,O,O,X,O,O
TZLJOIS,O,O,O,O,O,X,X,O
TZLJOSI,O,O,O,O,O,X,X,O
TZLSIJO,O,O,O,O,O,X,O,O
TZLSIOJ,O,O,O,O,O,X,O,O
TZLSJIO,O,O,O,O,O,X,O,O
TZLSJOI,O,O,O,O,O,X,O,O
TZLSOIJ,O,O,O,O,O,X,O,O
TZLSOJI,O,O,O,O,O,X,O,O
TZLOIJS,O,O,O,O,O,X,O,O
TZLOISJ,O,O,O,O,O,X,O,O
TZLOJIS,O,O,O,O,O,X,O,O
TZLOJSI,O,O,O,O,O,X,O,O
TZLOSIJ,O,O,O,O,O,X,O,O
TZLOSJI,O,O,O,O,O,X,O,O
TZJILSO,O,O,O,O,O,X,O,O
TZJILOS,O,O,O,O,O,X,X,O
TZJISLO,O,O,O,O,O,O,X,O
TZJISOL,O,O,O,O,O,O,X,O
TZJIOLS,O,O,O,O,O,X,X,O
TZJIOSL,O,O,O,O,O,O,X,O
TZJLISO,O,O,O,O,O,X,O,O
TZJLIOS,O,O,O,O,O,X,X,O
TZJLSIO,O,O,O,O,O,X,O,O
TZJLSOI,O,O,O,O,O,X,O,O
TZJLOIS,O,O,O,O,O,X,X,O
TZJLOSI,O,O,O,O,O,X,X,O
TZJSILO,O,O,O,O,O,O,X,O
TZJSIOL,O,O,O,O,O,O,X,O
TZJSLIO,O,O,O,O,O,O,X,O
TZJSLOI,O,O,O,O,O,O,X,O
TZJSOIL,O,O,O,O,O,O,X,O
TZJSOLI,O,O,O,O,O,O,X,O
TZJOILS,O,O,O,O,O,X,X,O
