sequence,v115@zgB8HeC8GeB8GeD8DeF8BeE8Je07IvhF6hBZiBGeBz?iBllBXrB,v115@zgB8HeC8GeB8GeD8DeF8BeE8JeX8IvhFZiBqiBTeB+?mBllB0qB,v115@zgB8HeC8GeB8GeD8DeF8BeE8Je07IvhFZiBqiBTeB+?mBllBXrB,v115@zgB8HeC8GeB8GeD8DeF8BeE8Je07IvhFSiBTeBllBR?nBmmBXrB,v115@zgB8HeC8GeB8GeD8DeF8BeE8Jem7IvhFRdBcjB1lBC?iBXnBzqB,v115@zgB8HeC8GeB8GeD8DeF8BeE8JeT8IvhFxdBOnBXjBl?lBcrB6qB,v115@zgB8HeC8GeB8GeD8DeF8BeE8Jel7IvhFqiBTeBmhB3?hBRrB0qB,v115@zgB8HeC8GeB8GeD8DeF8BeE8JeqCJvhFTeBRhBllB3?mBmmB0qB,v115@zgB8HeC8GeB8GeD8DeF8BeE8JeX8IvhFZiBSjB+mBz?iBllB0qB
TLJZOIS,O,O,O,X,X,X,X,X,X
TLJZOSI,O,O,O,X,X,X,X,X,X
TLJOISZ,X,O,O,X,X,X,O,O,O
TLJOIZS,O,O,O,X,X,X,O,X,X
TLJOSIZ,X,O,O,X,X,X,X,O,O
TLJOSZI,X,O,O,X,X,X,X,X,X
TLJOZIS,O,O,O,X,X,X,X,X,X
TLJOZSI,O,O,O,X,X,X,X,X,X
TLSIJZO,X,O,X,X,O,X,X,X,O
TLSIJOZ,X,O,X,X,X,X,O,O,O
TLSIZJO,X,X,X,X,O,X,O,X,X
TLSIZOJ,X,X,X,X,O,X,O,O,X
TLSIOJZ,X,O,X,X,X,X,O,O,X
TLSIOZJ,X,X,X,X,X,X,O,O,X
TLSJIZO,X,O,O,X,O,X,X,X,O
TLSJIOZ,X,O,O,X,X,X,X,O,O
TLSJZIO,X,O,O,X,O,X,X,X,O
TLSJZOI,X,O,O,X,O,X,X,X,X
TLSJOIZ,X,O,O,X,X,X,X,O,O
TLSJOZI,X,O,O,X,O,X,X,X,X
TLSZIJO,X,X,X,X,O,X,X,X,X
TLSZIOJ,X,X,X,X,O,X,X,O,X
TLSZJIO,X,O,O,X,O,X,X,X,O
TLSZJOI,X,O,O,X,O,X,X,X,X
TLSZOIJ,X,X,X,X,O,X,X,O,X
TLSZOJI,X,O,O,X,O,X,X,X,X
TLSOIJZ,X,O,X,X,X,X,O,O,X
TLSOIZJ,X,X,X,X,X,X,O,O,X
TLSOJIZ,X,O,O,X,X,X,X,O,O
TLSOJZI,X,O,O,X,O,X,X,X,X
TLSOZIJ,X,X,X,X,O,X,X,O,X
TLSOZJI,X,O,O,X,O,X,X,X,X
TLZIJSO,O,X,O,X,O,X,O,X,X
TLZIJOS,O,X,O,O,X,X,O,X,X
TLZISJO,O,X,X,X,X,X,O,X,X
TLZISOJ,O,X,X,O,X,X,O,X,X
TLZIOJS,O,X,O,O,X,X,O,X,X
TLZIOSJ,O,X,X,O,X,X,O,O,X
TLZJISO,O,O,O,X,O,X,X,X,O
TLZJIOS,O,O,O,X,X,X,X,X,X
TLZJSIO,O,O,O,X,O,X,X,X,O
TLZJSOI,X,O,O,X,O,X,X,X,X
TLZJOIS,O,O,O,X,X,X,X,X,X
TLZJOSI,O,O,O,X,X,X,X,X,X
TLZSIJO,O,X,X,X,O,X,X,X,X
TLZSIOJ,O,X,X,X,O,X,X,O,X
TLZSJIO,O,O,O,X,O,X,X,X,O
TLZSJOI,X,O,O,X,O,X,X,X,X
TLZSOIJ,O,X,X,X,O,X,X,O,X
TLZSOJI,O,O,O,X,O,X,X,X,X
TLZOIJS,O,X,O,O,X,X,O,X,X
TLZOISJ,O,X,X,O,X,X,O,O,X
TLZOJIS,O,O,O,X,X,X,X,X,X
TLZOJSI,O,O,O,X,X,X,X,X,X
TLZOSIJ,O,X,X,X,X,X,X,O,X
TLZOSJI,O,O,O,X,X,X,X,X,X
TLOIJSZ,X,O,O,O,X,X,O,O,X
TLOIJZS,O,O,O,O,X,X,O,X,X
TLOISJZ,X,O,X,O,X,X,O,O,X
TLOISZJ,X,X,X,O,X,X,O,O,X
TLOIZJS,O,X,O,O,X,X,O,X,X
TLOIZSJ,O,X,X,O,X,X,O,O,X
TLOJISZ,X,O,O,X,X,X,O,O,O
TLOJIZS,O,O,O,X,X,X,O,X,X
TLOJSIZ,X,O,O,X,X,X,X,O,O
TLOJSZI,X,O,O,X,X,X,X,X,X
TLOJZIS,O,O,O,X,X,X,X,X,X
TLOJZSI,O,O,O,X,X,X,X,X,X
TLOSIJZ,X,O,X,X,X,X,O,O,X
TLOSIZJ,X,X,X,X,X,X,O,O,X
TLOSJIZ,X,O,O,X,X,X,X,O,O
TLOSJZI,X,O,O,X,X,X,X,X,X
TLOSZIJ,X,X,X,X,X,X,X,O,X
TLOSZJI,X,O,O,X,X,X,X,X,X
TLOZIJS,O,X,O,O,X,X,O,X,X
TLOZISJ,O,X,X,O,X,X,O,O,X
TLOZJIS,O,O,O,X,X,X,X,X,X
TLOZJSI,O,O,O,X,X,X,X,X,X
TLOZSIJ,O,X,X,X,X,X,X,O,X
TLOZSJI,O,O,O,X,X,X,X,X,X
TJILSZO,X,O,O,O,X,X,X,X,O
TJILSOZ,X,O,O,O,X,X,O,X,O
TJILZSO,O,O,O,X,X,X,O,X,O
TJILZOS,O,O,O,O,X,X,O,X,X
TJILOSZ,X,O,O,O,X,X,O,O,O
TJILOZS,X,O,O,O,X,X,O,X,X
TJISLZO,O,O,O,O,O,X,X,X,O
TJISLOZ,O,O,O,O,X,X,O,X,O
TJISZLO,O,O,O,O,O,X,X,X,O
TJISZOL,O,X,X,O,O,X,X,X,X
TJISOLZ,O,O,X,O,X,X,O,X,O
TJISOZL,O,X,X,O,X,X,X,X,X
TJIZLSO,O,O,O,X,O,X,O,X,O
TJIZLOS,O,O,O,O,X,X,O,X,X
TJIZSLO,O,O,O,X,O,X,O,X,O
TJIZSOL,X,X,X,X,O,X,O,X,X
TJIZOLS,O,X,O,O,X,X,O,X,X
TJIZOSL,O,X,X,X,O,X,O,X,X
TJIOLSZ,X,O,O,O,X,X,O,O,O
TJIOLZS,O,O,O,O,X,X,O,X,X
TJIOSLZ,X,O,X,O,X,X,O,X,O
TJIOSZL,O,X,X,O,X,X,X,X,X
TJIOZLS,O,X,O,O,X,X,O,X,X
TJIOZSL,O,X,X,X,X,X,O,X,X
TJLISZO,X,O,O,X,X,X,X,X,O
TJLISOZ,X,O,O,X,X,X,O,X,O
TJLIZSO,O,O,O,X,X,X,O,X,O
TJLIZOS,O,O,O,X,X,X,O,X,X
TJLIOSZ,X,O,O,X,X,X,O,O,O
TJLIOZS,X,O,O,X,X,X,O,X,X
TJLSIZO,X,O,O,X,O,X,X,X,O
TJLSIOZ,X,O,O,X,X,X,X,O,O
TJLSZIO,X,O,O,X,O,X,X,X,O
TJLSZOI,X,O,O,X,O,X,X,X,X
TJLSOIZ,X,O,O,X,X,X,X,O,O
TJLSOZI,X,O,O,X,O,X,X,X,X
TJLZISO,O,O,O,X,O,X,X,X,O
TJLZIOS,O,O,O,X,X,X,X,X,X
TJLZSIO,O,O,O,X,O,X,X,X,O
TJLZSOI,X,O,O,X,O,X,X,X,X
TJLZOIS,O,O,O,X,X,X,X,X,X
TJLZOSI,O,O,O,X,X,X,X,X,X
TJLOISZ,X,O,O,X,X,X,O,O,O
TJLOIZS,O,O,O,X,X,X,O,X,X
TJLOSIZ,X,O,O,X,X,X,X,O,O
TJLOSZI,X,O,O,X,X,X,X,X,X
TJLOZIS,O,O,O,X,X,X,X,X,X
TJLOZSI,O,O,O,X,X,X,X,X,X
TJSILZO,O,O,O,X,O,X,X,X,O
TJSILOZ,O,O,O,X,X,X,X,O,O
TJSIZLO,O,O,O,X,O,O,X,X,O
TJSIZOL,O,X,X,X,O,O,X,X,X
TJSIOLZ,O,O,X,X,X,X,X,O,O
TJSIOZL,O,X,X,X,X,X,X,X,X
TJSLIZO,O,O,O,X,O,X,X,X,O
TJSLIOZ,O,O,O,X,X,X,X,O,O
TJSLZIO,O,O,O,X,O,X,X,X,O
TJSLZOI,O,O,O,X,O,X,X,X,X
TJSLOIZ,O,O,O,X,X,X,X,O,O
TJSLOZI,O,O,O,X,O,X,X,X,X
TJSZILO,O,O,O,X,O,O,X,X,O
TJSZIOL,O,X,X,X,O,O,X,X,X
TJSZLIO,O,O,O,X,O,O,X,X,O
TJSZLOI,O,O,O,X,O,O,X,X,X
TJSZOIL,O,X,X,X,O,O,X,X,X
TJSZOLI,O,O,O,X,O,O,X,X,X
TJSOILZ,O,O,X,X,X,X,X,O,O
TJSOIZL,O,X,X,X,X,X,X,X,X
TJSOLIZ,O,O,O,X,X,X,X,O,O
TJSOLZI,O,O,O,X,O,X,X,X,X
TJSOZIL,O,X,X,X,O,X,X,X,X
TJSOZLI,O,O,O,X,O,X,X,X,X
TJZILSO,O,O,O,X,O,X,X,X,O
TJZILOS,O,O,O,O,X,X,X,X,X
TJZISLO,O,O,O,X,O,O,X,X,O
TJZISOL,X,X,X,X,O,O,X,X,X
TJZIOLS,O,X,O,O,X,X,X,X,X
TJZIOSL,O,X,X,X,O,O,X,X,X
TJZLISO,O,O,O,X,O,X,X,X,O
TJZLIOS,O,O,O,X,X,X,X,X,X
TJZLSIO,O,O,O,X,O,O,X,X,O
TJZLSOI,X,O,O,X,O,O,X,X,X
TJZLOIS,O,O,O,X,X,X,X,X,X
TJZLOSI,O,O,O,X,X,O,X,X,X
TJZSILO,O,O,O,X,O,O,X,X,O
TJZSIOL,X,X,X,X,O,O,X,X,X
TJZSLIO,O,O,O,X,O,O,X,X,O
TJZSLOI,X,O,O,X,O,O,X,X,X
TJZSOIL,O,X,X,X,O,O,X,X,X
TJZSOLI,O,O,O,X,O,O,X,X,X
TJZOILS,O,X,O,O,X,X,X,X,X
TJZOISL,O,X,X,X,O,O,X,X,X
TJZOLIS,O,O,O,X,X,X,X,X,X
TJZOLSI,O,O,O,X,X,O,X,X,X
TJZOSIL,O,X,X,X,O,O,X,X,X
TJZOSLI,O,O,O,X,O,O,X,X,X
TJOILSZ,X,O,O,O,X,X,O,O,O
TJOILZS,O,O,O,O,X,X,O,X,X
TJOISLZ,O,O,X,O,X,X,O,X,O
TJOISZL,O,X,X,O,X,X,X,X,X
TJOIZLS,O,X,O,O,X,X,O,X,X
TJOIZSL,O,X,X,X,X,X,O,X,X
TJOLISZ,X,O,O,X,X,X,O,O,O
TJOLIZS,O,O,O,X,X,X,O,X,X
TJOLSIZ,X,O,O,X,X,X,X,O,O
TJOLSZI,X,O,O,X,X,X,X,X,X
TJOLZIS,O,O,O,X,X,X,X,X,X
TJOLZSI,O,O,O,X,X,X,X,X,X
TJOSILZ,O,O,X,X,X,X,X,O,O
TJOSIZL,O,X,X,X,X,X,X,X,X
TJOSLIZ,O,O,O,X,X,X,X,O,O
TJOSLZI,O,O,O,X,O,X,X,X,X
TJOSZIL,O,X,X,X,O,X,X,X,X
TJOSZLI,O,O,O,X,O,X,X,X,X
TJOZILS,O,X,O,O,X,X,X,X,X
TJOZISL,O,X,X,X,O,X,X,X,X
TJOZLIS,O,O,O,X,X,X,X,X,X
TJOZLSI,O,O,O,X,X,X,X,X,X
TJOZSIL,O,X,X,X,O,X,X,X,X
TJOZSLI,O,O,O,X,O,X,X,X,X
TSILJZO,O,O,X,O,O,X,X,X,O
TSILJOZ,O,O,X,O,X,X,O,O,O
TSILZJO,O,X,X,O,O,X,O,X,X
TSILZOJ,O,X,X,O,O,X,O,O,X
TSILOJZ,O,O,X,O,X,X,O,O,X
TSILOZJ,O,X,X,O,X,X,O,O,X
TSIJLZO,O,O,X,O,O,X,X,X,O
TSIJLOZ,O,O,X,O,X,X,O,O,O
TSIJZLO,O,O,X,O,O,O,X,X,O
TSIJZOL,O,X,X,O,O,O,X,X,X
TSIJOLZ,O,O,X,O,X,X,O,O,O
TSIJOZL,O,X,X,O,X,X,X,X,X
TSIZLJO,O,X,X,O,O,X,O,X,X
TSIZLOJ,O,X,X,O,O,X,O,O,X
TSIZJLO,O,X,X,O,O,X,O,X,X
TSIZJOL,O,X,X,O,O,X,O,X,X
TSIZOLJ,O,X,X,O,X,X,O,O,X
TSIZOJL,O,X,X,O,O,X,O,X,X
TSIOLJZ,O,O,X,O,X,X,O,O,X
TSIOLZJ,O,X,X,O,X,X,O,O,X
TSIOJLZ,O,O,X,O,X,X,O,O,X
TSIOJZL,O,X,X,O,X,X,X,X,X
TSIOZLJ,O,X,X,O,X,X,O,O,X
TSIOZJL,O,X,X,O,X,X,O,X,X
TSLIJZO,O,O,X,O,O,X,X,X,O
TSLIJOZ,O,O,X,O,X,X,O,O,O
TSLIZJO,O,X,X,O,O,X,O,X,X
TSLIZOJ,O,X,X,O,O,X,O,O,X
TSLIOJZ,O,O,X,O,X,X,O,O,X
TSLIOZJ,O,X,X,O,X,X,O,O,X
TSLJIZO,O,O,O,X,O,X,X,X,O
TSLJIOZ,O,O,O,X,X,X,X,O,O
TSLJZIO,O,O,O,X,O,X,X,X,O
TSLJZOI,O,O,O,X,O,X,X,X,X
TSLJOIZ,O,O,O,X,X,X,X,O,O
TSLJOZI,O,O,O,X,O,X,X,X,X
TSLZIJO,O,X,X,O,O,X,X,X,X
TSLZIOJ,O,X,X,O,O,X,X,O,X
TSLZJIO,O,O,O,X,O,X,X,X,O
TSLZJOI,O,O,O,X,O,X,X,X,X
TSLZOIJ,O,X,X,O,O,X,X,O,X
TSLZOJI,O,O,O,X,O,X,X,X,X
TSLOIJZ,O,O,X,O,O,X,O,O,X
TSLOIZJ,O,X,X,O,O,X,O,O,X
TSLOJIZ,O,O,O,X,O,X,X,O,O
TSLOJZI,O,O,O,X,O,X,X,X,X
TSLOZIJ,O,X,X,O,O,X,X,O,X
TSLOZJI,O,O,O,X,O,X,X,X,X
TSJILZO,O,O,O,O,O,X,X,X,O
TSJILOZ,O,O,O,O,X,X,X,O,O
TSJIZLO,O,O,O,O,O,O,X,X,O
TSJIZOL,O,X,X,O,O,O,X,X,X
TSJIOLZ,O,O,X,O,X,X,X,O,O
TSJIOZL,O,X,X,O,X,X,X,X,X
TSJLIZO,O,O,O,X,O,X,X,X,O
TSJLIOZ,O,O,O,X,X,X,X,O,O
TSJLZIO,O,O,O,X,O,X,X,X,O
TSJLZOI,O,O,O,X,O,X,X,X,X
TSJLOIZ,O,O,O,X,X,X,X,O,O
TSJLOZI,O,O,O,X,O,X,X,X,X
TSJZILO,O,O,O,O,O,O,X,X,O
TSJZIOL,O,X,X,O,O,O,X,X,X
TSJZLIO,O,O,O,X,O,O,X,X,O
TSJZLOI,O,O,O,X,O,O,X,X,X
TSJZOIL,O,X,X,O,O,O,X,X,X
TSJZOLI,O,O,O,X,O,O,X,X,X
TSJOILZ,O,O,X,O,X,X,X,O,O
TSJOIZL,O,X,X,O,X,X,X,X,X
TSJOLIZ,O,O,O,X,X,X,X,O,O
TSJOLZI,O,O,O,X,O,X,X,X,X
TSJOZIL,O,X,X,O,O,X,X,X,X
TSJOZLI,O,O,O,X,O,X,X,X,X
TSZILJO,O,X,X,O,O,X,X,X,X
TSZILOJ,O,X,X,O,O,X,X,O,X
TSZIJLO,O,X,X,O,O,O,X,X,X
TSZIJOL,O,X,X,O,O,O,X,X,X
TSZIOLJ,O,X,X,O,O,X,X,O,X
TSZIOJL,O,X,X,O,O,O,X,X,X
TSZLIJO,O,X,X,O,O,X,X,X,X
TSZLIOJ,O,X,X,O,O,X,X,O,X
TSZLJIO,O,O,O,X,O,O,X,X,O
TSZLJOI,O,O,O,X,O,O,X,X,X
TSZLOIJ,O,X,X,O,O,X,X,O,X
TSZLOJI,O,O,O,X,O,O,X,X,X
TSZJILO,O,O,O,O,O,O,X,X,O
TSZJIOL,O,X,X,O,O,O,X,X,X
TSZJLIO,O,O,O,X,O,O,X,X,O
TSZJLOI,O,O,O,X,O,O,X,X,X
TSZJOIL,O,X,X,O,O,O,X,X,X
TSZJOLI,O,O,O,X,O,O,X,X,X
TSZOILJ,O,X,X,O,O,X,X,O,X
TSZOIJL,O,X,X,O,O,O,X,X,X
TSZOLIJ,O,X,X,O,O,X,X,O,X
TSZOLJI,O,O,O,X,O,O,X,X,X
TSZOJIL,O,X,X,O,O,O,X,X,X
TSZOJLI,O,O,O,X,O,O,X,X,X
TSOILJZ,O,O,X,O,O,X,O,O,X
TSOILZJ,O,X,X,O,O,X,O,O,X
TSOIJLZ,O,O,X,O,O,X,O,O,X
TSOIJZL,O,X,X,O,O,X,X,X,X
TSOIZLJ,O,X,X,O,O,X,O,O,X
TSOIZJL,O,X,X,O,O,X,O,X,X
TSOLIJZ,O,O,X,O,O,X,O,O,X
TSOLIZJ,O,X,X,O,O,X,O,O,X
TSOLJIZ,O,O,O,X,O,X,X,O,O
TSOLJZI,O,O,O,X,O,X,X,X,X
TSOLZIJ,O,X,X,O,O,X,X,O,X
TSOLZJI,O,O,O,X,O,X,X,X,X
TSOJILZ,O,O,X,O,O,X,X,O,O
TSOJIZL,O,X,X,O,O,X,X,X,X
TSOJLIZ,O,O,O,X,O,X,X,O,O
TSOJLZI,O,O,O,X,O,X,X,X,X
TSOJZIL,O,X,X,O,O,X,X,X,X
TSOJZLI,O,O,O,X,O,X,X,X,X
TSOZILJ,O,X,X,O,O,X,X,O,X
TSOZIJL,O,X,X,O,O,X,X,X,X
TSOZLIJ,O,X,X,O,O,X,X,O,X
TSOZLJI,O,O,O,X,O,X,X,X,X
TSOZJIL,O,X,X,O,O,X,X,X,X
TSOZJLI,O,O,O,X,O,X,X,X,X
TZILJSO,O,X,O,X,O,X,O,X,X
TZILJOS,O,X,O,O,X,X,O,X,X
TZILSJO,O,X,X,O,X,X,O,X,X
TZILSOJ,O,X,X,O,X,X,O,X,X
TZILOJS,O,X,O,O,X,X,O,X,X
TZILOSJ,O,X,X,O,X,X,O,O,X
TZIJLSO,O,X,O,X,O,X,O,X,X
TZIJLOS,O,X,O,O,X,X,O,X,X
TZIJSLO,O,X,O,X,O,O,O,X,X
TZIJSOL,X,X,X,X,O,O,O,X,X
TZIJOLS,O,X,O,O,X,X,O,X,X
TZIJOSL,O,X,X,X,O,O,O,X,X
TZISLJO,O,X,X,O,O,X,O,X,X
TZISLOJ,O,X,X,O,O,X,O,X,X
TZISJLO,O,X,X,O,O,O,O,X,X
TZISJOL,X,X,X,O,O,O,O,X,X
TZISOLJ,O,X,X,O,O,X,O,X,X
TZISOJL,O,X,X,O,O,O,O,X,X
TZIOLJS,O,X,O,O,O,X,O,X,X
