sequence,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jex6IvhFygBGdBTfBl?mB3nBUsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jei6IvhFWhBxcB3fB0?mBlnBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jem6IvhFfhBxcBTfBC?iBlnBUsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8JeO/IvhF8fBfhBxcBq?mBlnBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jex6IvhFygBGdBTfB3?hBlnBUsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jex6IvhF0cBTfBmgBf?sBlnB6sB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jei6IvhFWhBxcB3fB0?iBlmBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Je2/IvhFCcBxhB3fB0?mBlnBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jem6IvhFRcBSiBTfBU?hBVsB3sB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jem7IvhFSiBxfBTfBl?mB3nBUsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8JeK/IvhFzaBRcBciBF?hBfsBusB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jem7IvhFSiBxfBTfB3?hBlnBUsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Je2/IvhFqiBRhB3fBF?hB8mBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Je2/IvhFRhB1nB3fBU?hBCnBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8JeK/IvhFzaBfhBViBR?nB0mB+sB,v115@7gB8HeB8BeB8EeF8CeH8BeB8JeO/IvhF8fBfhBSiBR?nBlmBTsB
TIJLOSZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X
TIJLOZS,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
TIJSLZO,X,X,O,X,O,X,O,X,O,O,X,O,X,O,X,X
TIJSLOZ,X,X,O,X,O,X,O,X,O,O,X,O,X,X,O,X
TIJSZLO,X,X,O,X,X,X,O,X,O,O,X,X,X,O,X,X
TIJSZOL,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X
TIJSOLZ,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TIJSOZL,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
TIJZLSO,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X
TIJZLOS,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X
TIJZSLO,X,X,X,X,X,X,O,O,O,O,X,O,X,O,X,X
TIJZSOL,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
TIJZOLS,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TIJZOSL,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TIJOLSZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TIJOLZS,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TIJOSLZ,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TIJOSZL,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TIJOZLS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJOZSL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TISLJZO,O,X,O,X,O,X,O,X,O,O,X,O,X,X,X,X
TISLJOZ,O,X,O,X,O,X,O,X,O,O,X,O,X,X,O,X
TISLZJO,O,O,O,X,O,X,X,X,O,O,O,X,X,X,X,O
TISLZOJ,X,O,O,X,X,X,X,X,O,X,O,X,X,X,O,X
TISLOJZ,O,X,O,X,O,X,X,X,O,O,X,X,X,X,O,X
TISLOZJ,O,X,O,X,O,X,X,X,O,X,O,X,X,X,O,X
TISJLZO,O,X,O,X,O,X,O,X,O,O,X,O,X,O,X,X
TISJLOZ,O,X,O,X,O,X,O,X,O,O,X,O,X,X,O,X
TISJZLO,X,X,O,X,X,X,O,X,O,O,X,X,X,O,X,X
TISJZOL,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X
TISJOLZ,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TISJOZL,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
TISZLJO,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O
TISZLOJ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X
TISZJLO,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X
TISZJOL,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TISZOLJ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TISZOJL,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TISOLJZ,O,X,O,X,O,X,X,X,O,O,X,X,X,X,O,X
TISOLZJ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X
TISOJLZ,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TISOJZL,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TISOZLJ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TISOZJL,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TIZLJSO,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,O
TIZLJOS,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TIZLSJO,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,O
TIZLSOJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
TIZLOJS,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TIZLOSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TIZJLSO,X,O,X,O,X,X,X,O,O,X,X,O,X,O,X,O
TIZJLOS,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TIZJSLO,X,O,X,X,X,X,X,O,O,O,X,O,X,O,X,X
TIZJSOL,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O
TIZJOLS,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TIZJOSL,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X
TIZSLJO,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X,O
TIZSLOJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TIZSJLO,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X
TIZSJOL,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O
TIZSOLJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZSOJL,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZOLJS,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TIZOLSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZOJLS,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TIZOJSL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZOSLJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZOSJL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOLJSZ,O,X,O,X,O,X,X,X,O,X,X,O,X,X,O,X
TIOLJZS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
TIOLSJZ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X
TIOLSZJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TIOLZJS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOLZSJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TIOJLSZ,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X
TIOJLZS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
TIOJSLZ,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TIOJSZL,O,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X
TIOJZLS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOJZSL,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
TIOSLJZ,O,X,O,X,O,X,X,X,O,O,X,X,X,X,O,X
TIOSLZJ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X
TIOSJLZ,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TIOSJZL,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOSZLJ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOSZJL,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOZLJS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOZLSJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOZJLS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOZJSL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOZSLJ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOZSJL,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLIJSZO,O,X,O,X,O,X,X,X,O,O,X,O,O,O,X,X
TLIJSOZ,O,X,O,X,O,X,X,X,O,O,X,O,X,X,O,X
TLIJZSO,X,X,X,X,O,X,X,X,O,X,X,O,O,O,X,X
TLIJZOS,X,X,X,X,O,X,X,X,O,X,O,O,O,X,X,X
TLIJOSZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X
TLIJOZS,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
TLISJZO,O,X,O,O,O,X,X,X,O,O,X,O,X,X,X,X
TLISJOZ,O,X,O,X,O,X,X,X,O,O,X,O,X,X,O,X
TLISZJO,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
TLISZOJ,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X
TLISOJZ,O,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X
TLISOZJ,O,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X
TLIZJSO,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X
TLIZJOS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
TLIZSJO,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TLIZSOJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
TLIZOJS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLIZOSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TLIOJSZ,O,X,O,X,O,X,X,X,O,X,X,O,X,X,O,X
TLIOJZS,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
TLIOSJZ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X
TLIOSZJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TLIOZJS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLIOZSJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TLJISZO,O,X,O,X,O,X,O,X,O,O,X,O,O,O,X,X
TLJISOZ,O,X,O,X,O,X,O,X,O,O,X,O,X,X,X,X
TLJIZSO,X,X,X,X,O,X,X,X,O,X,X,O,O,O,X,X
TLJIZOS,X,X,X,X,O,X,X,X,O,X,O,O,O,X,X,X
TLJIOSZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
TLJIOZS,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
TLJSIZO,O,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TLJSIOZ,O,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X
TLJSZIO,O,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TLJSZOI,O,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X
TLJSOIZ,O,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X
TLJSOZI,O,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X
TLJZISO,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X
TLJZIOS,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
TLJZSIO,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X
TLJZSOI,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
TLJZOIS,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
TLJZOSI,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TLJOISZ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TLJOIZS,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TLJOSIZ,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X
TLJOSZI,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X
TLJOZIS,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TLJOZSI,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TLSIJZO,O,X,O,O,O,X,O,X,O,O,X,O,X,X,X,X
TLSIJOZ,O,X,O,X,O,X,O,X,O,O,X,O,X,X,X,X
TLSIZJO,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X
TLSIZOJ,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X
TLSIOJZ,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TLSIOZJ,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TLSJIZO,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X
TLSJIOZ,O,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X
TLSJZIO,O,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TLSJZOI,O,O,X,O,O,X,O,X,O,X,O,X,X,X,X,X
TLSJOIZ,O,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X
TLSJOZI,O,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X
TLSZIJO,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X
TLSZIOJ,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X
TLSZJIO,O,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TLSZJOI,O,O,X,O,O,X,O,X,O,X,O,X,X,X,X,X
TLSZOIJ,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TLSZOJI,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TLSOIJZ,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TLSOIZJ,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TLSOJIZ,O,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X
TLSOJZI,O,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X
TLSOZIJ,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TLSOZJI,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TLZIJSO,X,X,X,O,O,X,X,O,O,X,X,O,X,X,X,X
TLZIJOS,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X
TLZISJO,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TLZISOJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLZIOJS,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
TLZIOSJ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLZJISO,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TLZJIOS,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
TLZJSIO,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X
TLZJSOI,X,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X
TLZJOIS,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
TLZJOSI,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X
TLZSIJO,O,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X
TLZSIOJ,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X
TLZSJIO,O,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X
TLZSJOI,O,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X
TLZSOIJ,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TLZSOJI,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TLZOIJS,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
TLZOISJ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLZOJIS,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
TLZOJSI,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TLZOSIJ,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TLZOSJI,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TLOIJSZ,O,X,O,X,O,X,X,X,O,X,X,O,X,X,O,X
TLOIJZS,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
TLOISJZ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X
TLOISZJ,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X
TLOIZJS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLOIZSJ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X
TLOJISZ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TLOJIZS,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TLOJSIZ,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X
TLOJSZI,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X
TLOJZIS,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TLOJZSI,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TLOSIJZ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TLOSIZJ,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TLOSJIZ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TLOSJZI,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X
TLOSZIJ,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TLOSZJI,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TLOZIJS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLOZISJ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLOZJIS,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TLOZJSI,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TLOZSIJ,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TLOZSJI,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TJILSZO,X,X,O,X,O,X,O,X,O,O,X,O,O,O,X,X
TJILSOZ,X,X,O,X,O,X,O,X,O,O,X,O,X,X,X,X
TJILZSO,X,X,X,X,O,X,X,X,O,X,X,O,O,O,X,X
TJILZOS,X,X,X,X,O,X,X,X,O,X,O,O,O,X,X,X
TJILOSZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
TJILOZS,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
TJISLZO,X,O,O,X,O,X,O,X,O,O,X,O,X,O,X,X
TJISLOZ,X,X,O,X,O,X,O,X,O,O,X,O,X,X,X,X
TJISZLO,X,X,O,X,X,X,O,X,O,O,X,X,X,O,X,X
TJISZOL,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X
TJISOLZ,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TJISOZL,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
TJIZLSO,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X
TJIZLOS,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X
TJIZSLO,X,X,X,X,X,X,O,O,O,O,X,X,X,O,X,X
TJIZSOL,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
TJIZOLS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJIZOSL,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TJIOLSZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJIOLZS,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJIOSLZ,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TJIOSZL,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TJIOZLS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJIOZSL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TJLISZO,O,X,O,X,O,X,O,X,O,O,X,O,O,O,X,X
TJLISOZ,O,X,O,X,O,X,O,X,O,O,X,O,X,X,X,X
TJLIZSO,X,X,X,X,O,X,X,X,O,X,X,O,O,O,X,X
TJLIZOS,X,X,X,X,O,X,X,X,O,X,O,O,O,X,X,X
TJLIOSZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
TJLIOZS,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
TJLSIZO,O,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TJLSIOZ,O,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X
TJLSZIO,O,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TJLSZOI,O,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X
TJLSOIZ,O,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X
TJLSOZI,O,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X
TJLZISO,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X
TJLZIOS,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
TJLZSIO,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X
TJLZSOI,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
TJLZOIS,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
TJLZOSI,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TJLOISZ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TJLOIZS,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TJLOSIZ,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X
TJLOSZI,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X
TJLOZIS,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TJLOZSI,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TJSILZO,O,O,O,X,O,X,O,X,O,O,O,X,X,O,X,X
TJSILOZ,O,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X
TJSIZLO,X,X,O,X,X,X,O,X,O,O,O,X,X,O,X,X
TJSIZOL,X,X,O,X,X,O,O,X,O,X,O,X,X,O,X,X
TJSIOLZ,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X
TJSIOZL,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X
TJSLIZO,O,O,O,X,O,X,O,X,O,O,O,X,X,X,X,X
TJSLIOZ,O,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X
TJSLZIO,O,O,O,X,O,X,O,X,O,O,O,X,X,X,X,X
TJSLZOI,O,O,X,X,O,O,O,X,O,X,O,X,X,X,X,X
TJSLOIZ,O,X,O,X,O,O,O,X,O,O,O,X,X,X,X,X
TJSLOZI,O,X,O,X,O,O,O,X,O,X,O,X,X,X,X,X
TJSZILO,X,O,O,X,X,X,O,O,O,O,O,X,X,X,X,X
TJSZIOL,X,O,O,X,X,O,O,X,O,X,O,X,X,X,X,X
TJSZLIO,O,O,O,X,O,X,O,O,O,O,O,X,X,X,X,X
TJSZLOI,O,O,O,X,O,O,O,X,O,X,O,X,X,X,X,X
TJSZOIL,O,O,O,X,O,O,O,X,O,X,O,X,X,X,X,X
