sequence,v115@6gC8HeB8HeC8CeH8BeF8Jei6IvhFRcB3fBGhBTiBll?BUqB,v115@6gC8HeB8HeC8CeH8BeF8Jex6IvhFmcB/kBUgBFhBSn?BTqB,v115@6gC8HeB8HeC8CeH8BeF8JeO/IvhFXbBVhBUdBClBxm?BTqB,v115@6gC8HeB8HeC8CeH8BeF8Jel6IvhFcgBicB/kBGiBRm?BTqB,v115@6gC8HeB8HeC8CeH8BeF8Jex6IvhFmcBTfB/lBFhBSn?BUqB,v115@6gC8HeB8HeC8CeH8BeF8Je2/IvhFRbBzcBSnB0kBll?B3qB,v115@6gC8HeB8HeC8CeH8BeF8Jei6IvhFuhBRgBTiB0kBll?B3qB,v115@6gC8HeB8HeC8CeH8BeF8JeO/IvhFxbB/iBqkB0hBll?BTqB,v115@6gC8HeB8HeC8CeH8BeF8Jex6IvhFuhBifBTiBfqBll?B8qB,v115@6gC8HeB8HeC8CeH8BeF8Jei6IvhFRgBGiBzhB0kBll?B3qB
TISLJOZ,O,O,O,X,X,X,X,X,X,X
TISLZJO,X,X,O,O,X,X,X,X,X,X
TISLZOJ,X,X,O,O,X,X,X,X,X,X
TISLOJZ,O,X,O,X,X,X,X,X,X,X
TISLOZJ,O,X,O,X,X,X,X,X,X,X
TISJLZO,O,O,O,O,X,X,X,X,X,X
TISJLOZ,O,O,X,X,X,X,X,X,X,X
TISJZLO,O,O,O,O,X,X,X,X,X,X
TISJZOL,X,O,O,O,X,X,X,X,X,X
TISJOLZ,O,O,X,X,X,X,X,X,X,X
TISJOZL,X,O,O,X,X,X,X,X,X,X
TISZLJO,X,O,O,O,X,X,X,X,X,X
TISZLOJ,X,X,O,O,X,X,X,X,X,X
TISZJLO,X,O,O,O,X,X,X,X,X,X
TISZJOL,X,O,O,O,X,X,X,X,X,X
TISZOLJ,X,X,O,O,X,X,X,X,X,X
TISZOJL,X,O,O,O,X,X,X,X,X,X
TISOLJZ,O,X,O,X,X,X,X,X,X,X
TISOLZJ,O,X,O,X,X,X,X,X,X,X
TISOJLZ,O,O,O,X,X,X,X,X,X,X
TISOJZL,O,O,O,X,X,X,X,X,X,X
TISOZLJ,O,X,O,X,X,X,X,X,X,X
TISOZJL,X,X,O,X,X,X,X,X,X,X
TIZLJSO,X,X,O,X,X,O,X,X,X,O
TIZLJOS,X,X,O,X,X,O,O,X,X,O
TIZLSJO,X,X,O,O,X,O,X,X,X,O
TIZLSOJ,X,X,O,O,X,O,O,X,X,X
TIZLOJS,X,X,O,X,X,O,O,X,X,O
TIZLOSJ,X,X,O,X,X,O,O,X,X,X
TIZJLSO,X,O,O,O,X,O,X,X,X,O
TIZJLOS,X,O,O,X,X,O,O,X,X,O
TIZJSLO,X,O,O,O,O,O,X,X,X,O
TIZJSOL,X,O,O,O,O,X,X,X,X,X
TIZJOLS,X,O,O,X,X,O,O,X,X,O
TIZJOSL,X,O,O,X,O,X,O,X,X,X
TIZSLJO,X,X,O,O,X,X,X,X,X,O
TIZSLOJ,X,X,O,O,X,X,O,X,X,X
TIZSJLO,X,X,O,O,X,X,X,X,X,O
TIZSJOL,X,X,O,O,X,X,X,X,X,X
TIZSOLJ,X,X,O,O,X,X,O,X,X,X
TIZSOJL,X,X,O,O,X,X,O,X,X,X
TIZOLJS,X,X,O,X,X,X,O,X,X,O
TIZOLSJ,X,X,O,X,X,X,O,X,X,X
TIZOJLS,X,X,O,X,X,X,O,X,X,O
TIZOJSL,X,X,O,X,O,X,O,X,X,X
TIZOSLJ,X,X,O,X,X,X,O,X,X,X
TIZOSJL,X,X,O,X,X,X,O,X,X,X
TIOLJSZ,O,O,O,X,X,X,X,X,X,X
TIOLJZS,X,O,O,X,X,X,X,X,X,X
TIOLSJZ,O,X,O,X,X,X,X,X,X,X
TIOLSZJ,O,X,O,X,X,X,X,X,X,X
TIOLZJS,X,X,O,X,X,X,X,X,X,X
TIOLZSJ,X,X,O,X,X,X,X,X,X,X
TIOJLSZ,O,O,O,X,X,X,X,X,X,X
TIOJLZS,X,O,O,X,X,X,X,X,X,X
TIOJSLZ,O,O,O,X,X,X,X,X,X,X
TIOJSZL,O,O,O,X,X,X,X,X,X,X
TIOJZLS,X,O,O,X,X,X,O,X,X,X
TIOJZSL,O,O,O,X,X,X,O,X,X,X
TIOSLJZ,O,O,O,X,X,X,X,X,X,X
TIOSLZJ,O,X,O,X,X,X,X,X,X,X
TIOSJLZ,O,O,O,X,X,X,X,X,X,X
TIOSJZL,O,O,O,X,X,X,X,X,X,X
TIOSZLJ,O,O,O,X,X,X,X,X,X,X
TIOSZJL,X,O,O,X,X,X,X,X,X,X
TIOZLJS,X,X,O,X,X,X,O,X,X,X
TIOZLSJ,X,X,O,X,X,X,O,X,X,X
TIOZJLS,X,O,O,X,X,X,O,X,X,X
TIOZJSL,O,O,O,X,X,X,O,X,X,X
TIOZSLJ,O,X,O,X,X,X,O,X,X,X
TIOZSJL,X,X,O,X,X,X,O,X,X,X
TLIJSZO,X,O,O,X,X,X,X,X,X,X
TLIJSOZ,X,O,O,X,X,X,X,X,X,X
TLIJZSO,X,O,O,X,O,X,X,X,X,X
TLIJZOS,X,O,O,X,O,X,X,X,X,X
TLIJOSZ,X,O,O,X,X,X,X,X,X,X
TLIJOZS,X,O,O,X,X,X,X,X,X,X
TLISJZO,X,O,O,X,X,X,X,X,X,X
TLISJOZ,X,O,O,X,X,X,X,X,X,X
TLISZJO,X,O,O,X,X,X,X,X,X,X
TLISZOJ,X,O,O,X,X,X,X,X,X,X
TLISOJZ,X,O,O,X,X,X,X,X,X,X
TLISOZJ,X,X,O,X,X,X,X,X,X,X
TLIZJSO,X,O,O,X,O,O,X,X,X,X
TLIZJOS,X,O,O,X,O,O,X,X,X,X
TLIZSJO,X,X,O,X,X,O,X,X,X,X
TLIZSOJ,X,X,O,X,X,O,X,X,X,X
TLIZOJS,X,X,O,X,O,O,X,X,X,X
TLIZOSJ,X,X,O,X,X,O,X,X,X,X
TLIOJSZ,X,O,O,X,X,X,X,X,X,X
TLIOJZS,X,O,O,X,X,X,X,X,X,X
TLIOSJZ,X,O,O,X,X,X,X,X,X,X
TLIOSZJ,X,O,O,X,X,X,X,X,X,X
TLIOZJS,X,O,O,X,X,O,X,X,X,X
TLIOZSJ,X,X,O,X,X,O,X,X,X,X
TLJISZO,O,O,O,X,X,X,X,X,X,X
TLJISOZ,O,O,O,X,X,X,X,X,X,X
TLJIZSO,X,O,O,X,O,X,X,X,X,X
TLJIZOS,X,O,O,X,O,X,X,X,X,X
TLJIOSZ,X,O,O,X,X,X,X,X,X,X
TLJIOZS,X,O,O,X,X,X,X,X,X,X
TLJSIZO,O,O,O,X,X,X,X,X,X,X
TLJSIOZ,O,O,O,X,X,X,X,X,X,X
TLJSZIO,O,O,O,X,O,X,X,O,X,X
TLJSZOI,X,O,O,X,O,X,X,O,X,X
TLJSOIZ,O,O,X,X,X,X,X,X,X,X
TLJSOZI,X,O,O,X,X,X,X,X,X,X
TLJZISO,X,O,O,X,O,O,X,X,X,O
TLJZIOS,X,O,X,X,O,O,X,X,X,O
TLJZSIO,X,O,O,X,O,O,X,X,X,X
TLJZSOI,X,O,O,X,O,O,X,X,X,X
TLJZOIS,X,O,X,X,O,O,X,X,X,X
TLJZOSI,X,O,O,X,O,O,X,X,X,X
TLJOISZ,X,O,X,X,X,X,X,X,X,X
TLJOIZS,X,O,X,X,O,X,X,X,X,X
TLJOSIZ,X,O,X,X,X,X,X,X,X,X
TLJOSZI,X,O,O,X,X,X,X,X,X,X
TLJOZIS,X,O,X,X,O,O,X,X,X,X
TLJOZSI,X,O,O,X,O,O,X,X,X,X
TLSIJZO,O,O,O,X,X,X,X,X,X,X
TLSIJOZ,O,O,O,X,X,X,X,X,X,X
TLSIZJO,X,O,O,X,X,X,X,X,X,X
TLSIZOJ,X,O,O,X,X,X,X,X,X,X
TLSIOJZ,O,O,O,X,X,X,X,X,O,X
TLSIOZJ,O,X,O,X,X,X,X,X,X,X
TLSJIZO,O,O,O,X,X,X,X,X,X,X
TLSJIOZ,O,O,O,X,X,X,X,X,X,X
TLSJZIO,O,O,O,X,O,X,X,O,X,X
TLSJZOI,X,O,O,X,O,X,X,O,X,X
TLSJOIZ,O,O,X,X,X,X,X,X,O,X
TLSJOZI,O,O,O,X,X,X,X,X,O,X
TLSZIJO,X,O,O,X,X,O,X,O,X,X
TLSZIOJ,X,O,X,X,X,O,X,O,X,X
TLSZJIO,O,O,O,X,O,O,X,O,X,X
TLSZJOI,X,O,O,X,O,O,X,O,X,X
TLSZOIJ,O,O,X,X,X,O,X,O,X,X
TLSZOJI,O,O,O,X,O,O,X,O,O,X
TLSOIJZ,O,O,X,X,X,X,X,X,O,X
TLSOIZJ,O,O,X,X,X,X,X,X,X,X
TLSOJIZ,O,O,X,X,X,X,X,X,O,X
TLSOJZI,O,O,O,X,X,X,X,X,O,X
TLSOZIJ,O,O,X,X,X,O,X,X,X,X
TLSOZJI,O,O,O,X,X,O,X,X,O,X
TLZIJSO,X,O,O,X,O,O,X,X,X,O
TLZIJOS,X,O,X,X,O,O,O,X,X,O
TLZISJO,X,X,O,X,X,O,X,X,X,O
TLZISOJ,X,X,X,X,X,O,O,X,X,X
TLZIOJS,X,X,X,X,O,O,O,X,X,O
TLZIOSJ,X,X,X,X,X,O,O,X,X,X
TLZJISO,X,O,O,X,O,O,X,X,X,O
TLZJIOS,X,O,X,X,O,O,O,X,X,O
TLZJSIO,X,O,O,X,O,O,X,X,X,X
TLZJSOI,X,O,O,X,O,O,X,X,X,X
TLZJOIS,X,O,X,X,O,O,O,X,X,X
TLZJOSI,X,O,O,X,O,O,O,X,X,X
TLZSIJO,X,O,O,X,O,O,X,X,X,O
TLZSIOJ,X,O,X,X,O,O,O,X,X,X
TLZSJIO,X,O,O,X,O,O,X,X,X,X
TLZSJOI,X,O,O,X,O,O,X,X,X,X
TLZSOIJ,X,O,X,X,O,O,O,X,X,X
TLZSOJI,X,O,O,X,O,O,O,X,X,X
TLZOIJS,X,O,X,X,O,O,O,X,X,O
TLZOISJ,X,X,X,X,O,O,O,X,X,X
TLZOJIS,X,O,X,X,O,O,O,X,X,X
TLZOJSI,X,O,O,X,O,O,O,X,X,X
TLZOSIJ,X,O,X,X,O,O,O,X,X,X
TLZOSJI,X,O,O,X,O,O,O,X,X,X
TLOIJSZ,O,O,X,X,X,X,X,X,X,X
TLOIJZS,X,O,X,X,O,X,X,X,X,X
TLOISJZ,O,O,X,X,X,X,X,X,X,X
TLOISZJ,O,O,X,X,X,X,X,X,X,X
TLOIZJS,X,O,X,X,O,O,X,X,X,X
TLOIZSJ,X,X,X,X,O,O,X,X,X,X
TLOJISZ,O,O,X,X,X,X,X,X,X,X
TLOJIZS,X,O,X,X,O,X,X,X,X,X
TLOJSIZ,O,O,X,X,X,X,X,X,O,X
TLOJSZI,O,O,O,X,X,X,X,X,O,X
TLOJZIS,X,O,X,X,O,O,O,X,X,X
TLOJZSI,X,O,O,X,O,O,O,X,X,X
TLOSIJZ,O,O,X,X,X,X,X,X,O,X
TLOSIZJ,O,O,X,X,X,X,X,X,X,X
TLOSJIZ,O,O,X,X,X,X,X,X,O,X
TLOSJZI,O,O,O,X,X,X,X,X,O,X
TLOSZIJ,O,O,X,X,X,O,X,X,X,X
TLOSZJI,O,O,O,X,X,O,X,X,O,X
TLOZIJS,X,O,X,X,O,O,O,X,X,X
TLOZISJ,X,X,X,X,O,O,O,X,X,X
TLOZJIS,X,O,X,X,O,O,O,X,X,X
TLOZJSI,X,O,O,X,O,O,O,X,X,X
TLOZSIJ,X,O,X,X,O,O,O,X,X,X
TLOZSJI,X,O,O,X,O,O,O,X,X,X
TJILSZO,O,O,O,O,X,X,X,X,X,X
TJILSOZ,O,O,O,X,X,X,X,X,X,X
TJILZSO,X,O,O,O,X,X,X,X,X,X
TJILZOS,X,O,O,X,X,X,X,X,X,X
TJILOSZ,X,O,O,X,X,X,X,X,X,X
TJILOZS,X,O,O,X,X,X,X,X,X,X
TJISLZO,O,O,O,O,X,X,X,X,X,X
TJISLOZ,O,O,X,X,X,X,X,X,X,X
TJISZLO,O,O,O,O,X,X,X,X,X,X
TJISZOL,X,O,O,O,X,X,X,X,X,X
TJISOLZ,O,O,X,X,X,X,X,X,X,X
TJISOZL,X,O,O,X,X,X,X,X,X,X
TJIZLSO,X,O,O,O,X,X,X,X,X,O
TJIZLOS,X,O,O,X,X,X,X,X,X,O
TJIZSLO,O,O,O,O,O,X,X,X,X,O
TJIZSOL,X,O,O,O,O,X,X,X,X,X
TJIZOLS,X,O,O,X,X,X,X,X,X,O
TJIZOSL,X,O,O,X,O,X,X,X,X,X
TJIOLSZ,X,O,O,X,X,X,X,X,X,X
TJIOLZS,X,O,O,X,X,X,X,X,X,X
TJIOSLZ,O,O,O,X,X,X,X,X,X,X
TJIOSZL,X,O,O,X,X,X,X,X,X,X
TJIOZLS,X,O,O,X,X,X,X,X,X,X
TJIOZSL,X,O,O,X,X,X,X,X,X,X
TJLISZO,O,O,O,O,X,X,X,X,X,X
TJLISOZ,O,O,O,X,X,X,X,X,X,X
TJLIZSO,X,O,O,O,X,X,X,X,X,X
TJLIZOS,X,O,O,X,X,X,X,X,X,X
TJLIOSZ,X,O,O,X,X,X,X,X,X,X
TJLIOZS,X,O,O,X,X,X,X,X,X,X
TJLSIZO,O,O,O,O,X,X,X,X,X,X
TJLSIOZ,O,O,O,X,X,X,X,X,X,X
TJLSZIO,O,O,O,X,X,X,X,O,X,X
TJLSZOI,X,X,O,X,X,X,X,O,X,X
TJLSOIZ,O,X,X,O,X,X,X,X,X,X
TJLSOZI,X,X,O,O,X,X,X,X,X,X
TJLZISO,X,X,O,X,X,O,X,X,X,O
TJLZIOS,X,X,X,X,X,O,X,X,X,O
TJLZSIO,X,X,O,X,O,O,X,X,X,X
TJLZSOI,X,X,O,X,O,O,X,X,X,X
TJLZOIS,X,X,X,X,X,O,X,X,X,X
TJLZOSI,X,X,O,X,O,O,X,X,X,X
TJLOISZ,X,O,X,O,X,X,X,X,X,X
TJLOIZS,X,O,X,O,X,X,X,X,X,X
TJLOSIZ,X,O,X,O,X,X,X,X,X,X
TJLOSZI,X,O,O,O,X,X,X,X,X,X
TJLOZIS,X,X,X,X,X,O,X,X,X,X
TJLOZSI,X,X,O,O,X,O,X,X,X,X
TJSILZO,O,O,X,O,X,X,X,X,X,X
TJSILOZ,O,O,X,X,X,X,X,X,X,X
TJSIZLO,O,O,X,O,X,X,X,X,X,X
TJSIZOL,X,O,X,O,X,X,X,X,X,X
TJSIOLZ,O,O,X,X,X,X,X,X,X,X
TJSIOZL,X,O,X,O,X,X,X,X,X,X
TJSLIZO,O,O,X,O,X,X,X,X,X,X
TJSLIOZ,O,O,X,X,X,X,X,X,X,X
TJSLZIO,O,O,X,X,X,X,X,O,X,X
TJSLZOI,X,X,X,X,X,X,X,O,X,X
TJSLOIZ,O,X,X,O,X,X,X,X,X,X
TJSLOZI,O,X,X,O,X,X,X,X,X,X
TJSZILO,O,O,X,X,O,X,X,O,X,O
TJSZIOL,X,O,X,X,O,X,X,X,X,X
TJSZLIO,O,O,X,X,O,X,X,O,X,X
TJSZLOI,X,X,X,X,O,X,X,O,X,X
TJSZOIL,X,O,X,O,O,X,X,X,X,X
TJSZOLI,X,X,X,O,O,X,X,X,X,X
TJSOILZ,O,O,X,O,X,X,X,X,X,X
TJSOIZL,O,O,X,O,X,X,X,X,X,X
TJSOLIZ,O,O,X,O,X,X,X,X,X,X
TJSOLZI,O,O,X,O,X,X,X,X,X,X
TJSOZIL,O,O,X,O,X,X,X,X,X,X
TJSOZLI,O,O,X,O,X,X,X,X,X,X
TJZILSO,X,O,X,X,X,O,X,X,X,O
TJZILOS,X,O,X,X,X,O,O,X,X,O
TJZISLO,O,O,X,X,O,O,X,X,X,O
TJZISOL,X,O,X,X,O,X,X,X,X,X
TJZIOLS,X,O,X,X,X,O,O,X,X,O
TJZIOSL,X,O,X,X,O,X,O,X,X,X
TJZLISO,X,X,X,X,X,O,X,X,X,O
TJZLIOS,X,X,X,X,X,O,O,X,X,O
TJZLSIO,X,X,X,X,O,O,X,X,X,X
TJZLSOI,X,X,X,X,O,O,X,X,X,X
TJZLOIS,X,X,X,X,X,O,O,X,X,X
TJZLOSI,X,X,X,X,O,O,O,X,X,X
TJZSILO,O,O,X,X,O,O,X,X,X,O
TJZSIOL,X,O,X,X,O,X,X,X,X,X
TJZSLIO,O,O,X,X,O,O,X,X,X,X
TJZSLOI,X,X,X,X,O,O,X,X,X,X
TJZSOIL,X,O,X,X,O,X,X,X,X,X
TJZSOLI,X,X,X,X,O,X,X,X,X,X
TJZOILS,X,O,X,X,X,O,O,X,X,O
TJZOISL,X,O,X,X,O,X,O,X,X,X
TJZOLIS,X,X,X,X,X,O,O,X,X,X
TJZOLSI,X,X,X,X,O,O,O,X,X,X
TJZOSIL,X,O,X,X,O,X,O,X,X,X
TJZOSLI,X,O,X,X,O,X,O,X,X,X
TJOILSZ,O,O,O,O,X,X,X,X,X,X
TJOILZS,X,O,O,O,X,X,X,X,X,X
TJOISLZ,O,O,O,O,X,X,X,X,X,X
TJOISZL,O,O,O,O,X,X,X,X,X,X
TJOIZLS,X,O,O,O,X,X,O,X,X,X
TJOIZSL,O,O,O,O,X,X,O,X,X,X
TJOLISZ,O,O,O,O,X,X,X,X,X,X
TJOLIZS,X,O,O,O,X,X,X,X,X,X
TJOLSIZ,O,O,O,O,X,X,X,X,X,X
TJOLSZI,O,O,O,O,X,X,X,X,X,X
TJOLZIS,X,X,O,X,X,X,O,X,X,X
TJOLZSI,X,X,O,O,X,X,O,X,X,X
TJOSILZ,O,O,X,O,X,X,X,X,X,X
TJOSIZL,O,O,X,O,X,X,X,X,X,X
TJOSLIZ,O,O,X,O,X,X,X,X,X,X
TJOSLZI,O,O,X,O,X,X,X,X,X,X
TJOSZIL,O,O,X,O,X,X,O,X,X,X
TJOSZLI,O,O,X,O,X,X,O,X,X,X
TJOZILS,X,O,X,X,X,X,O,X,X,O
TJOZISL,O,O,X,X,O,X,O,X,X,X
TJOZLIS,X,X,X,X,X,X,O,X,X,X
TJOZLSI,X,X,X,O,O,X,O,X,X,X
TJOZSIL,O,O,X,O,O,X,O,X,X,X
TJOZSLI,O,O,X,O,O,X,O,X,X,X
TSILJZO,O,O,X,X,X,X,X,X,X,X
TSILJOZ,O,O,X,X,X,X,X,X,X,X
TSILZJO,X,O,X,O,X,X,X,X,X,X
TSILZOJ,X,O,X,O,X,X,X,X,X,X
TSILOJZ,O,O,X,X,X,X,X,X,O,X
TSILOZJ,O,X,X,X,X,X,X,X,X,X
TSIJLZO,O,O,X,O,X,X,X,X,X,X
TSIJLOZ,O,O,X,X,X,X,X,X,X,X
TSIJZLO,O,O,X,O,X,X,X,X,X,X
TSIJZOL,X,O,X,O,X,X,X,X,X,X
TSIJOLZ,O,O,X,X,X,X,X,X,X,X
TSIJOZL,X,O,X,O,X,X,X,X,X,X
TSIZLJO,X,O,X,O,X,X,X,X,X,X
TSIZLOJ,X,O,X,O,X,X,X,X,X,X
TSIZJLO,X,O,X,O,X,X,X,X,X,X
TSIZJOL,X,O,X,O,X,X,X,X,X,X
TSIZOLJ,X,X,X,O,X,X,X,X,X,X
TSIZOJL,X,O,X,O,X,X,X,X,X,X
TSIOLJZ,O,O,X,X,X,X,X,X,O,X
TSIOLZJ,O,O,X,X,X,X,X,X,X,X
TSIOJLZ,O,O,X,X,X,X,X,X,O,X
TSIOJZL,O,O,X,O,X,X,X,X,X,X
TSIOZLJ,O,O,X,O,X,X,X,X,X,X
TSIOZJL,X,O,X,O,X,X,X,X,X,X
TSLIJZO,O,O,X,X,X,X,X,X,X,X
TSLIJOZ,O,O,X,X,X,X,X,X,X,X
TSLIZJO,X,O,X,X,X,X,X,X,X,X
TSLIZOJ,X,O,X,X,X,X,X,X,X,X
TSLIOJZ,O,O,X,X,X,X,X,X,O,X
TSLIOZJ,O,X,X,X,X,X,X,X,X,X
TSLJIZO,O,O,X,X,X,X,X,X,X,X
TSLJIOZ,O,O,X,X,X,X,X,X,X,X
TSLJZIO,O,O,X,X,X,X,X,O,X,X
TSLJZOI,X,O,X,X,X,X,X,O,X,X
TSLJOIZ,O,O,X,X,X,X,X,X,O,X
TSLJOZI,O,O,X,O,X,X,X,X,O,X
TSLZIJO,O,O,X,X,X,O,X,O,X,X
TSLZIOJ,O,O,X,X,X,O,X,O,X,X
TSLZJIO,O,O,X,X,X,O,X,O,X,X
TSLZJOI,O,O,X,X,X,O,X,O,X,X
TSLZOIJ,O,O,X,X,X,O,X,O,X,X
TSLZOJI,O,O,X,X,X,O,X,O,O,X
TSLOIJZ,O,O,X,X,X,X,X,X,O,X
TSLOIZJ,O,O,X,X,X,X,X,X,X,X
TSLOJIZ,O,O,X,X,X,X,X,X,O,X
TSLOJZI,O,O,X,O,X,X,X,X,O,X
TSLOZIJ,O,O,X,O,X,O,X,X,X,X
TSLOZJI,O,O,X,O,X,O,X,X,O,X
TSJILZO,O,O,X,O,X,X,X,X,X,X
TSJILOZ,O,O,X,X,X,X,X,X,X,X
TSJIZLO,O,O,X,O,X,X,X,X,X,X
TSJIZOL,X,O,X,O,X,X,X,X,X,X
TSJIOLZ,O,O,X,X,X,X,X,X,X,X
TSJIOZL,X,O,X,O,X,X,X,X,X,X
TSJLIZO,O,O,X,O,X,X,X,X,X,X
TSJLIOZ,O,O,X,X,X,X,X,X,X,X
TSJLZIO,O,O,X,X,X,X,X,O,X,X
TSJLZOI,X,X,X,X,X,X,X,O,X,X
TSJLOIZ,O,X,X,O,X,X,X,X,O,X
TSJLOZI,O,X,X,O,X,X,X,X,O,X
TSJZILO,O,O,X,X,O,X,X,O,X,O
TSJZIOL,X,O,X,X,O,X,X,X,X,X
TSJZLIO,O,O,X,X,O,X,X,O,X,X
TSJZLOI,X,X,X,X,O,X,X,O,X,X
TSJZOIL,X,O,X,O,O,X,X,X,X,X
TSJZOLI,X,X,X,O,O,X,X,X,X,X
TSJOILZ,O,O,X,O,X,X,X,X,O,X
TSJOIZL,O,O,X,O,X,X,X,X,X,X
TSJOLIZ,O,O,X,O,X,X,X,X,O,X
TSJOLZI,O,O,X,O,X,X,X,X,O,X
TSJOZIL,O,O,X,O,X,X,X,X,X,X
TSJOZLI,O,O,X,O,X,X,X,X,O,X
TSZILJO,O,O,X,X,X,X,X,O,X,O
TSZILOJ,O,O,X,X,X,X,O,O,X,X
TSZIJLO,O,O,X,X,X,X,X,O,X,O
TSZIJOL,O,O,X,X,X,X,X,X,X,X
TSZIOLJ,O,X,X,X,X,X,O,O,X,X
TSZIOJL,O,O,X,X,X,X,O,X,X,X
TSZLIJO,O,O,X,X,X,O,X,O,X,O
TSZLIOJ,O,O,X,X,X,O,O,O,X,X
TSZLJIO,O,O,X,X,X,O,X,O,X,X
TSZLJOI,O,O,X,X,X,O,X,O,X,X
TSZLOIJ,O,O,X,X,X,O,O,O,X,X
TSZLOJI,O,O,X,X,X,O,O,O,O,X
TSZJILO,O,O,X,X,O,O,X,O,X,O
TSZJIOL,O,O,X,X,O,X,X,X,X,X
TSZJLIO,O,O,X,X,O,O,X,O,X,X
TSZJLOI,O,X,X,X,O,O,X,O,X,X
TSZJOIL,O,O,X,O,O,X,X,X,X,X
TSZJOLI,O,X,X,O,O,X,X,X,X,X
TSZOILJ,O,X,X,O,X,X,O,O,X,X
TSZOIJL,O,O,X,O,X,X,O,X,X,X
TSZOLIJ,O,X,X,O,X,X,O,O,X,X
TSZOLJI,O,X,X,O,X,X,O,O,O,X
TSZOJIL,O,O,X,O,O,X,O,X,X,X
TSZOJLI,O,X,X,O,O,X,O,X,O,X
TSOILJZ,O,O,X,X,X,X,X,X,O,X
TSOILZJ,O,O,X,O,X,X,X,X,X,X
TSOIJLZ,O,O,X,O,X,X,X,X,O,X
TSOIJZL,O,O,X,O,X,X,X,X,X,X
TSOIZLJ,O,O,X,O,X,X,X,X,X,X
TSOIZJL,X,O,X,O,X,X,X,X,X,X
