sequence,v115@8gA8HeB8HeG8AeF8BeF8Jex6IvhFlcBuiBTfBigB8m?B3qB,v115@8gA8HeB8HeG8AeF8BeF8JeO/IvhF8fBRcB3dBFhBCn?BTqB,v115@8gA8HeB8HeG8AeF8BeF8Je06IvhFlbBRdB2kB6mBTn?B3qB,v115@8gA8HeB8HeG8AeF8BeF8JeO/IvhFxbBldBCgB/mBUn?BTqB,v115@8gA8HeB8HeG8AeF8BeF8JeK/IvhFRbBzcBuiB3gBlm?BUqB,v115@8gA8HeB8HeG8AeF8BeF8JeT6IvhFxbBldBykBUiBGm?B3qB,v115@8gA8HeB8HeG8AeF8BeF8Jex6IvhF0cBldBTfB2lBCn?B3qB,v115@8gA8HeB8HeG8AeF8BeF8Jex6IvhFlcB3dB2kBzgBCn?BUqB,v115@8gA8HeB8HeG8AeF8BeF8Jel6IvhFRdB2kB0gB6mBTn?B3qB,v115@8gA8HeB8HeG8AeF8BeF8JeK/IvhFfgB8gBRdBGiBlm?BTqB,v115@8gA8HeB8HeG8AeF8BeF8JeO/IvhF8fBRdB1lB6mBTn?B3qB,v115@8gA8HeB8HeG8AeF8BeF8JeK/IvhFzcBuiBRgB3gBlm?BUqB
TIOSJLZ,X,X,X,X,O,X,O,X,X,X,X,X
TIOSJZL,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZJL,X,O,X,X,X,X,X,X,X,X,X,X
TIOZLJS,X,X,X,X,X,X,X,X,X,X,O,X
TIOZLSJ,X,X,X,X,X,X,X,X,X,X,O,X
TIOZJLS,X,X,X,X,X,X,O,X,X,X,O,X
TIOZJSL,X,O,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSJL,X,O,X,X,X,X,X,X,X,X,X,X
TLIJSZO,X,O,O,O,O,X,O,O,X,O,X,X
TLIJSOZ,X,X,O,O,O,O,X,O,X,O,X,O
TLIJZSO,O,O,O,O,X,O,O,O,X,O,X,X
TLIJZOS,O,O,O,X,X,O,O,X,X,O,X,O
TLIJOSZ,X,X,O,O,O,O,O,O,X,O,X,O
TLIJOZS,X,X,O,X,X,O,O,X,X,O,X,O
TLISJZO,X,O,O,O,O,X,X,O,X,O,X,X
TLISJOZ,X,X,O,O,O,X,X,O,X,O,X,O
TLISZJO,X,O,O,O,O,X,X,X,X,O,X,X
TLISZOJ,X,O,X,O,O,X,X,X,X,X,X,X
TLISOJZ,X,X,O,O,O,O,X,O,X,O,X,O
TLISOZJ,X,O,O,X,O,O,X,O,X,X,X,X
TLIZJSO,O,O,O,O,X,O,O,X,X,O,X,X
TLIZJOS,O,O,O,X,X,O,O,X,X,O,O,O
TLIZSJO,O,O,O,O,X,X,X,X,X,O,X,X
TLIZSOJ,X,O,X,O,X,O,X,X,X,X,X,X
TLIZOJS,O,O,X,X,X,O,O,X,X,X,O,O
TLIZOSJ,X,O,X,X,X,O,O,X,X,X,O,X
TLIOJSZ,X,X,O,O,O,O,O,O,X,O,X,O
TLIOJZS,X,X,O,X,X,O,O,O,X,O,O,O
TLIOSJZ,X,X,O,X,O,O,O,O,X,O,X,O
TLIOSZJ,X,O,O,X,O,O,O,O,X,X,O,X
TLIOZJS,X,O,O,X,X,O,O,X,X,X,O,O
TLIOZSJ,X,O,O,X,X,O,O,O,X,X,O,X
TLJISZO,X,O,O,O,O,X,O,O,X,O,X,X
TLJISOZ,X,X,O,O,O,O,X,O,X,O,X,O
TLJIZSO,O,O,O,O,X,O,O,O,X,O,X,X
TLJIZOS,O,O,O,X,X,O,O,X,O,O,X,O
TLJIOSZ,X,X,O,O,O,O,O,O,O,O,X,O
TLJIOZS,X,X,O,X,X,O,O,X,O,O,X,O
TLJSIZO,X,O,O,O,O,X,O,O,X,O,X,X
TLJSIOZ,X,X,O,O,O,O,X,O,X,O,X,O
TLJSZIO,X,O,O,O,O,X,O,O,X,O,X,X
TLJSZOI,X,O,O,O,O,X,O,X,O,O,X,X
TLJSOIZ,X,X,O,O,O,O,O,O,O,O,X,O
TLJSOZI,X,O,O,X,O,X,O,O,O,O,X,X
TLJZISO,O,O,O,O,X,O,O,O,X,O,X,X
TLJZIOS,O,O,O,X,X,O,O,X,O,O,O,O
TLJZSIO,O,O,O,O,O,O,O,O,X,O,X,X
TLJZSOI,O,O,O,O,O,O,O,X,O,O,O,X
TLJZOIS,O,O,O,X,X,O,O,X,O,O,O,O
TLJZOSI,O,O,O,O,O,O,O,X,O,O,O,X
TLJOISZ,X,X,O,O,O,O,O,O,O,O,X,O
TLJOIZS,O,X,O,X,X,O,O,O,O,O,O,O
TLJOSIZ,X,X,O,O,O,O,O,O,O,O,X,O
TLJOSZI,X,O,O,X,O,X,O,O,O,O,X,X
TLJOZIS,O,O,O,X,X,O,O,O,O,O,O,O
TLJOZSI,O,O,O,O,O,O,O,O,O,O,O,X
TLSIJZO,X,O,O,O,O,X,X,O,X,O,X,X
TLSIJOZ,X,X,O,O,O,X,X,O,X,O,X,O
TLSIZJO,X,O,O,O,O,X,X,X,X,O,X,X
TLSIZOJ,X,O,X,O,O,X,X,X,X,X,X,X
TLSIOJZ,X,X,O,O,O,O,X,O,X,O,X,O
TLSIOZJ,X,O,O,O,O,O,X,O,X,X,X,X
TLSJIZO,X,O,O,O,O,X,O,O,X,O,X,X
TLSJIOZ,X,X,O,O,O,O,X,O,X,O,X,O
TLSJZIO,X,O,O,O,O,X,O,O,X,O,X,X
TLSJZOI,X,O,O,O,O,X,O,X,X,O,X,X
TLSJOIZ,X,X,O,O,O,O,O,O,X,O,X,O
TLSJOZI,X,O,O,X,O,X,O,O,X,O,X,X
TLSZIJO,X,O,O,O,O,X,X,X,X,O,X,X
TLSZIOJ,X,O,X,O,O,O,X,X,X,X,X,X
TLSZJIO,X,O,O,O,O,O,O,O,X,O,X,X
TLSZJOI,X,O,O,O,O,O,O,X,X,O,O,X
TLSZOIJ,X,O,O,O,O,O,O,O,X,X,O,X
TLSZOJI,X,O,O,O,O,O,O,O,X,O,O,X
TLSOIJZ,X,O,O,O,O,O,O,O,X,O,X,O
TLSOIZJ,X,O,O,O,O,O,O,O,X,X,O,X
TLSOJIZ,X,O,O,O,O,O,O,O,X,O,X,O
TLSOJZI,X,O,O,O,O,X,O,O,X,O,X,X
TLSOZIJ,X,O,O,O,O,O,O,O,X,X,O,X
TLSOZJI,X,O,O,O,O,O,O,O,X,O,O,X
TLZIJSO,O,O,O,O,X,O,O,X,X,O,X,X
TLZIJOS,O,O,O,X,X,O,O,X,X,O,O,O
TLZISJO,O,O,O,O,X,X,X,X,X,O,X,X
TLZISOJ,X,O,X,O,X,O,X,X,X,X,X,X
TLZIOJS,O,O,X,X,X,O,O,X,X,X,O,O
TLZIOSJ,O,O,X,X,X,O,O,X,X,X,O,X
TLZJISO,O,O,O,O,X,O,O,O,X,O,X,X
TLZJIOS,O,O,O,X,X,O,O,X,O,O,O,O
TLZJSIO,O,O,O,O,O,O,O,O,X,O,X,X
TLZJSOI,O,O,O,O,O,O,O,X,O,O,O,X
TLZJOIS,O,O,O,X,X,O,O,X,O,O,O,O
TLZJOSI,O,O,O,O,O,O,O,X,O,O,O,X
TLZSIJO,O,O,O,O,O,X,X,X,X,O,X,X
TLZSIOJ,X,O,X,O,O,O,X,X,X,X,X,X
TLZSJIO,O,O,O,O,O,O,O,O,X,O,X,X
TLZSJOI,O,O,O,O,O,O,O,X,X,O,O,X
TLZSOIJ,O,O,O,O,O,O,O,O,X,X,O,X
TLZSOJI,O,O,O,O,O,O,O,O,X,O,O,X
TLZOIJS,O,O,O,X,X,O,O,X,O,X,O,O
TLZOISJ,O,O,O,X,X,O,O,O,X,X,O,X
TLZOJIS,O,O,O,X,X,O,O,O,O,O,O,O
TLZOJSI,O,O,O,O,O,O,O,O,O,O,O,X
TLZOSIJ,O,O,O,O,O,O,O,O,X,X,O,X
TLZOSJI,O,O,O,O,O,O,O,O,X,O,O,X
TLOIJSZ,X,O,O,O,O,O,O,O,O,O,X,O
TLOIJZS,O,O,O,X,X,O,O,O,O,O,O,O
TLOISJZ,X,O,O,X,O,O,O,O,X,O,X,O
TLOISZJ,X,O,O,X,O,O,O,O,X,X,O,X
TLOIZJS,O,O,O,X,X,O,O,X,O,X,O,O
TLOIZSJ,O,O,O,X,X,O,O,O,X,X,O,X
TLOJISZ,X,O,O,O,O,O,O,O,O,O,X,O
TLOJIZS,O,O,O,X,X,O,O,O,O,O,O,O
TLOJSIZ,X,O,O,O,O,O,O,O,O,O,X,O
TLOJSZI,X,O,O,X,O,X,O,O,O,O,X,X
TLOJZIS,O,O,O,X,X,O,O,O,O,O,O,O
TLOJZSI,O,O,O,O,O,O,O,O,O,O,O,X
TLOSIJZ,X,O,O,O,O,O,O,O,X,O,X,O
TLOSIZJ,X,O,O,X,O,O,O,O,X,X,O,X
TLOSJIZ,X,O,O,O,O,O,O,O,X,O,X,O
TLOSJZI,X,O,O,X,O,X,O,O,X,O,X,X
TLOSZIJ,X,O,O,X,O,O,O,O,X,X,O,X
TLOSZJI,X,O,O,X,O,O,O,O,X,O,O,X
TLOZIJS,O,O,O,X,X,O,O,X,O,X,O,O
TLOZISJ,O,O,O,X,X,O,O,O,X,X,O,X
TLOZJIS,O,O,O,X,X,O,O,O,O,O,O,O
TLOZJSI,O,O,O,O,O,O,O,O,O,O,O,X
TLOZSIJ,O,O,O,O,O,O,O,O,X,X,O,X
TLOZSJI,O,O,O,O,O,O,O,O,X,O,O,X
TJILSZO,X,O,O,O,O,X,O,O,X,O,X,X
TJILSOZ,X,X,O,O,O,O,X,O,X,O,X,O
TJILZSO,X,O,O,O,X,X,O,O,X,O,X,X
TJILZOS,X,O,O,X,X,O,O,X,O,O,X,O
TJILOSZ,X,X,X,O,O,O,O,O,O,O,X,O
TJILOZS,X,X,O,X,X,O,O,X,O,O,X,O
TJISLZO,X,X,X,O,O,X,O,O,X,O,X,X
TJISLOZ,X,X,X,O,O,X,X,O,X,O,X,X
TJISZLO,X,O,X,O,X,X,X,X,X,O,X,X
TJISZOL,X,O,X,O,X,X,X,X,X,X,X,X
TJISOLZ,X,X,X,O,O,X,X,O,O,X,X,X
TJISOZL,X,X,X,O,X,X,X,X,X,X,X,X
TJIZLSO,X,O,O,O,X,X,O,X,X,O,X,X
TJIZLOS,X,O,O,X,X,X,O,X,O,O,X,X
TJIZSLO,X,O,O,O,X,X,X,X,X,O,X,X
TJIZSOL,X,O,O,O,X,X,X,X,X,X,X,X
TJIZOLS,X,X,O,X,X,X,X,X,O,O,X,X
TJIZOSL,X,O,O,X,X,X,X,X,X,X,X,X
TJIOLSZ,X,X,O,X,O,X,O,O,O,O,X,O
TJIOLZS,X,X,O,X,X,X,O,O,O,O,X,O
TJIOSLZ,X,X,X,X,O,X,O,O,O,X,X,X
TJIOSZL,X,X,X,X,X,X,X,X,X,X,X,X
TJIOZLS,X,X,O,X,X,X,O,X,O,O,X,X
TJIOZSL,X,X,O,X,X,X,X,X,X,X,X,X
TJLISZO,X,O,O,O,O,X,O,O,X,O,X,X
TJLISOZ,X,X,O,O,O,O,X,O,X,O,X,O
TJLIZSO,O,O,O,O,X,O,O,O,X,O,X,X
TJLIZOS,O,O,O,X,X,O,O,X,O,O,X,O
TJLIOSZ,X,X,O,O,O,O,O,O,O,O,X,O
TJLIOZS,X,X,O,X,X,O,O,X,O,O,X,O
TJLSIZO,X,O,O,O,O,X,O,O,X,O,X,X
TJLSIOZ,X,X,O,O,O,O,X,O,X,O,X,O
TJLSZIO,X,O,O,O,O,X,O,O,X,O,X,X
TJLSZOI,X,O,O,O,O,X,O,X,O,O,X,X
TJLSOIZ,X,X,O,O,O,O,O,O,O,O,X,O
TJLSOZI,X,O,O,X,O,X,O,O,O,O,X,X
TJLZISO,O,O,O,O,X,O,O,O,X,O,X,X
TJLZIOS,O,O,O,X,X,O,O,X,O,O,O,O
TJLZSIO,O,O,O,O,O,O,O,O,X,O,X,X
TJLZSOI,O,O,O,O,O,O,O,X,O,O,O,X
TJLZOIS,O,O,O,X,X,O,O,X,O,O,O,O
TJLZOSI,O,O,O,O,O,O,O,X,O,O,O,X
TJLOISZ,X,X,O,O,O,O,O,O,O,O,X,O
TJLOIZS,O,X,O,X,X,O,O,O,O,O,O,O
TJLOSIZ,X,X,O,O,O,O,O,O,O,O,X,O
TJLOSZI,X,O,O,X,O,X,O,O,O,O,X,X
TJLOZIS,O,O,O,X,X,O,O,O,O,O,O,O
TJLOZSI,O,O,O,O,O,O,O,O,O,O,O,X
TJSILZO,X,X,X,O,O,X,O,O,X,O,X,X
TJSILOZ,X,X,X,O,O,X,X,O,X,O,X,X
TJSIZLO,X,O,X,O,X,X,X,X,X,O,X,X
TJSIZOL,X,O,X,O,X,X,X,X,X,X,X,X
TJSIOLZ,X,X,X,O,O,X,X,O,O,X,X,X
TJSIOZL,X,X,X,O,X,X,X,X,X,X,X,X
TJSLIZO,X,O,X,O,O,X,O,O,X,O,X,X
TJSLIOZ,X,X,X,O,O,O,X,O,X,O,X,O
TJSLZIO,X,O,X,O,O,X,O,O,X,O,X,X
TJSLZOI,X,O,X,O,O,X,O,X,O,O,X,X
TJSLOIZ,X,X,X,O,O,O,O,O,O,O,X,O
TJSLOZI,X,O,X,X,O,X,O,O,O,O,X,X
TJSZILO,X,O,X,O,X,X,X,X,X,O,X,X
TJSZIOL,X,O,X,O,X,X,X,X,X,X,X,X
TJSZLIO,X,O,X,O,O,X,X,X,X,O,X,X
TJSZLOI,X,O,X,O,O,X,X,X,O,O,X,X
TJSZOIL,X,O,X,O,X,X,X,X,X,X,X,X
TJSZOLI,X,O,X,O,O,X,X,X,O,X,X,X
TJSOILZ,X,X,X,O,O,X,O,O,O,X,X,X
TJSOIZL,X,X,X,O,X,X,X,X,X,X,X,X
TJSOLIZ,X,X,X,O,O,X,O,O,O,X,X,O
TJSOLZI,X,X,X,O,O,X,O,O,O,X,X,X
TJSOZIL,X,O,X,O,X,X,X,X,X,X,X,X
TJSOZLI,X,O,X,O,O,X,X,X,O,X,X,X
TJZILSO,X,O,O,O,X,O,O,X,X,O,X,X
TJZILOS,X,O,O,X,X,O,O,X,O,O,O,X
TJZISLO,O,O,O,O,X,O,X,X,X,O,X,X
TJZISOL,O,O,O,O,X,X,X,X,X,X,X,X
TJZIOLS,O,X,O,X,X,O,X,X,O,O,O,X
TJZIOSL,O,O,O,X,X,X,X,X,X,X,X,X
TJZLISO,X,O,O,O,X,O,O,X,X,O,X,X
TJZLIOS,X,O,O,X,X,O,O,X,O,O,O,O
TJZLSIO,O,O,O,O,O,O,O,X,X,O,X,X
TJZLSOI,O,O,O,O,O,O,O,X,O,O,O,X
TJZLOIS,O,O,O,X,X,O,O,X,O,O,O,O
TJZLOSI,O,O,O,O,O,O,O,X,O,O,O,X
TJZSILO,O,O,O,O,X,O,X,X,X,O,X,X
TJZSIOL,O,O,O,O,X,X,X,X,X,X,X,X
TJZSLIO,O,O,O,O,O,O,X,X,X,O,X,X
TJZSLOI,O,O,O,O,O,O,X,X,O,O,O,X
TJZSOIL,O,O,O,O,X,X,X,X,X,X,X,X
TJZSOLI,O,O,X,O,O,X,X,X,O,X,O,X
TJZOILS,O,X,O,X,X,O,O,X,O,O,O,X
TJZOISL,O,O,O,X,X,X,X,X,X,X,X,X
TJZOLIS,O,O,O,X,X,O,O,X,O,O,O,O
TJZOLSI,O,O,O,O,O,O,O,X,O,O,O,X
TJZOSIL,O,O,O,O,X,X,X,X,X,X,X,X
TJZOSLI,O,O,X,O,O,X,X,X,O,X,O,X
TJOILSZ,X,X,O,X,O,X,O,O,O,O,X,O
TJOILZS,O,X,O,X,X,X,O,O,O,O,X,O
TJOISLZ,X,X,X,X,O,X,O,O,O,X,X,X
TJOISZL,X,X,X,X,X,X,X,X,X,X,X,X
TJOIZLS,O,X,O,X,X,X,O,X,O,O,X,X
TJOIZSL,O,X,O,X,X,X,X,X,X,X,X,X
TJOLISZ,X,X,O,O,O,O,O,O,O,O,X,O
TJOLIZS,O,X,O,X,X,O,O,O,O,O,O,O
TJOLSIZ,X,X,O,O,O,O,O,O,O,O,X,O
TJOLSZI,X,O,O,X,O,X,O,O,O,O,X,X
TJOLZIS,O,O,O,X,X,O,O,O,O,O,O,O
TJOLZSI,O,O,O,O,O,X,O,O,O,O,O,X
TJOSILZ,X,X,X,O,O,X,O,O,O,X,X,X
TJOSIZL,X,X,X,O,X,X,X,X,X,X,X,X
TJOSLIZ,X,X,X,O,O,X,O,O,O,X,X,O
TJOSLZI,X,X,X,X,O,X,O,O,O,X,X,X
TJOSZIL,X,O,X,O,X,X,X,X,X,X,X,X
TJOSZLI,X,O,X,X,O,X,X,X,O,X,X,X
TJOZILS,O,X,O,X,X,X,O,X,O,O,O,X
TJOZISL,O,O,O,X,X,X,X,X,X,X,X,X
TJOZLIS,O,O,O,X,X,X,O,X,O,O,O,O
TJOZLSI,O,O,O,O,O,X,O,X,O,O,O,X
TJOZSIL,O,O,O,O,X,X,X,X,X,X,X,X
TJOZSLI,O,O,X,O,O,X,X,X,O,X,O,X
TSILJZO,X,X,X,O,O,X,X,X,X,O,X,X
TSILJOZ,X,X,X,O,O,X,X,X,X,O,X,X
TSILZJO,X,O,X,O,O,X,X,X,X,O,X,X
TSILZOJ,X,X,X,O,O,X,X,X,X,X,X,X
TSILOJZ,X,X,X,O,O,X,X,X,X,O,X,X
TSILOZJ,X,X,X,O,O,X,X,X,X,X,X,X
TSIJLZO,X,X,X,O,O,X,X,X,X,O,X,X
TSIJLOZ,X,X,X,O,O,X,X,X,X,O,X,X
TSIJZLO,X,O,X,O,X,X,X,X,X,O,X,X
TSIJZOL,X,O,X,O,X,X,X,X,X,X,X,X
TSIJOLZ,X,X,X,O,O,X,X,X,X,X,X,X
TSIJOZL,X,X,X,O,X,X,X,X,X,X,X,X
TSIZLJO,X,O,X,O,X,X,X,X,X,X,X,X
TSIZLOJ,X,X,X,O,X,X,X,X,X,X,X,X
TSIZJLO,X,O,X,O,X,X,X,X,X,X,X,X
TSIZJOL,X,O,X,O,X,X,X,X,X,X,X,X
TSIZOLJ,X,X,X,O,X,X,X,X,X,X,X,X
TSIZOJL,X,O,X,O,X,X,X,X,X,X,X,X
TSIOLJZ,X,X,X,O,O,X,X,X,X,X,X,X
TSIOLZJ,X,X,X,O,O,X,X,X,X,X,X,X
TSIOJLZ,X,X,X,O,O,X,X,X,X,X,X,X
TSIOJZL,X,X,X,O,X,X,X,X,X,X,X,X
TSIOZLJ,X,X,X,O,X,X,X,X,X,X,X,X
TSIOZJL,X,O,X,O,X,X,X,X,X,X,X,X
TSLIJZO,X,O,X,O,O,X,X,O,X,O,X,X
TSLIJOZ,X,X,X,O,O,X,X,O,X,O,X,O
TSLIZJO,X,O,X,O,O,X,X,X,X,O,X,X
TSLIZOJ,X,O,X,O,O,X,X,X,X,X,X,X
TSLIOJZ,X,X,X,O,O,O,X,O,X,O,X,O
TSLIOZJ,X,O,X,O,O,O,X,O,X,X,X,X
TSLJIZO,X,O,X,O,O,X,X,O,X,O,X,X
TSLJIOZ,X,X,X,O,O,O,X,O,X,O,X,O
TSLJZIO,X,O,X,O,O,X,X,O,X,O,X,X
TSLJZOI,X,O,X,O,O,X,X,X,X,O,X,X
TSLJOIZ,X,X,X,O,O,O,X,O,X,O,X,O
TSLJOZI,X,O,X,X,O,X,X,O,X,O,X,X
TSLZIJO,X,O,X,O,O,X,X,X,X,O,X,X
TSLZIOJ,X,O,X,O,O,O,X,X,X,X,X,X
