sequence,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBxdBl?nBctBCtB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFxbBXeBigB+?oBlnB0sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8Jex6IvhFXcBTeBmfBl?nBctB6sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFxbB0dBigB+?oBlnBXtB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBxdBF?jBStB0sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcB5jB0?nBatBlsB,v115@ChB8CeB8AeC8DeG8CeG8BeA8Jex6IvhFXcBTeBmfB1?nBStB0sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBldBx?nBCtBctB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeF8IvhFXeBxfBCtBc?tBmpBTsB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBVjBx?nBStB0sB
TIZOSJL,X,X,X,X,X,O,X,X,X,O
TIOLJSZ,X,X,X,X,X,X,X,X,X,O
TIOLJZS,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,X,X,X,X,X,X,X,X,X,O
TIOLSZJ,X,X,X,X,X,X,X,X,X,X
TIOLZJS,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,X,X,X,X,X,X,O,X
TIOJLSZ,X,X,X,X,X,X,X,O,X,O
TIOJLZS,X,X,X,X,X,X,X,O,X,X
TIOJSLZ,X,X,X,X,O,X,X,O,X,O
TIOJSZL,O,X,X,X,X,O,X,X,X,O
TIOJZLS,X,X,X,X,X,O,X,X,X,X
TIOJZSL,X,X,X,X,X,O,X,X,X,O
TIOSLJZ,X,X,X,X,X,X,X,X,X,O
TIOSLZJ,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,X,X,X,X,O,X,X,O,X,O
TIOSJZL,O,X,X,X,X,O,X,X,X,O
TIOSZLJ,X,X,X,X,X,O,X,X,X,X
TIOSZJL,X,X,X,X,X,O,X,X,X,O
TIOZLJS,X,X,X,X,X,O,X,X,X,X
TIOZLSJ,X,X,X,X,X,O,X,X,X,X
TIOZJLS,X,X,X,X,X,O,X,X,X,X
TIOZJSL,X,X,X,X,X,O,X,X,X,O
TIOZSLJ,X,X,X,X,X,O,X,X,X,X
TIOZSJL,X,X,X,X,X,O,X,X,X,O
TLIJSZO,X,O,X,O,O,X,O,O,X,X
TLIJSOZ,X,O,X,O,O,X,O,O,X,X
TLIJZSO,X,O,X,O,O,X,O,O,O,X
TLIJZOS,X,O,X,O,O,X,O,O,X,X
TLIJOSZ,X,O,X,O,O,X,O,O,X,X
TLIJOZS,X,O,X,O,O,X,O,O,X,X
TLISJZO,X,X,X,X,O,X,O,O,X,X
TLISJOZ,X,X,X,X,O,X,O,O,X,X
TLISZJO,X,X,X,X,O,X,X,X,O,X
TLISZOJ,X,X,X,X,O,X,X,X,O,X
TLISOJZ,X,X,X,X,O,X,O,O,X,X
TLISOZJ,X,X,X,X,O,X,X,X,X,X
TLIZJSO,X,X,X,X,O,X,X,X,O,X
TLIZJOS,X,X,X,X,O,X,X,X,X,X
TLIZSJO,X,X,X,X,O,X,X,X,O,X
TLIZSOJ,X,X,X,X,O,X,X,X,O,X
TLIZOJS,X,X,X,X,O,X,X,X,X,X
TLIZOSJ,X,X,X,X,O,X,X,X,O,X
TLIOJSZ,X,O,X,O,O,X,O,O,X,X
TLIOJZS,X,O,X,O,O,X,O,O,X,X
TLIOSJZ,X,X,X,X,O,X,O,O,X,X
TLIOSZJ,X,X,X,X,O,X,X,X,X,X
TLIOZJS,X,X,X,X,O,X,X,X,X,X
TLIOZSJ,X,X,X,X,O,X,X,X,O,X
TLJISZO,X,O,X,O,O,X,O,O,X,X
TLJISOZ,X,O,X,O,O,X,O,O,X,X
TLJIZSO,X,O,X,O,O,X,O,O,O,X
TLJIZOS,X,O,X,O,O,X,O,O,X,X
TLJIOSZ,X,O,X,O,O,X,O,O,X,X
TLJIOZS,X,O,X,O,O,X,O,O,X,X
TLJSIZO,X,O,X,O,O,X,O,O,X,X
TLJSIOZ,X,O,X,O,O,X,O,O,X,X
TLJSZIO,X,O,X,O,O,X,O,X,X,X
TLJSZOI,X,O,X,O,O,X,O,X,X,X
TLJSOIZ,X,O,X,O,O,X,O,O,X,X
TLJSOZI,X,O,X,O,O,X,O,X,X,X
TLJZISO,X,O,X,O,O,X,O,X,O,X
TLJZIOS,X,O,X,O,O,X,O,X,X,X
TLJZSIO,X,O,X,O,O,X,O,X,O,X
TLJZSOI,X,O,X,O,O,X,O,X,X,X
TLJZOIS,X,O,X,O,O,X,O,X,X,X
TLJZOSI,X,O,X,O,O,X,O,X,X,X
TLJOISZ,X,O,X,O,O,X,O,O,X,X
TLJOIZS,X,O,X,O,O,X,O,O,X,X
TLJOSIZ,X,O,X,O,O,X,O,O,X,X
TLJOSZI,X,O,X,O,O,X,O,X,X,X
TLJOZIS,X,O,X,O,O,X,O,X,X,X
TLJOZSI,X,O,X,O,O,X,O,X,X,X
TLSIJZO,X,X,X,X,O,X,O,O,X,X
TLSIJOZ,X,X,X,X,O,X,O,O,X,X
TLSIZJO,X,X,X,X,O,X,X,X,O,X
TLSIZOJ,X,X,X,X,O,X,X,X,O,X
TLSIOJZ,X,X,X,X,O,X,O,O,X,X
TLSIOZJ,X,X,X,X,O,X,X,X,X,X
TLSJIZO,X,X,X,X,O,X,O,O,X,X
