sequence,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBxdBl?nBctBCtB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFxbBXeBigB+?oBlnB0sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8Jex6IvhFXcBTeBmfBl?nBctB6sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFxbB0dBigB+?oBlnBXtB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBxdBF?jBStB0sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcB5jB0?nBatBlsB,v115@ChB8CeB8AeC8DeG8CeG8BeA8Jex6IvhFXcBTeBmfB1?nBStB0sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBldBx?nBCtBctB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeF8IvhFXeBxfBCtBc?tBmpBTsB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBVjBx?nBStB0sB
ILTJSZO,X,O,X,O,O,X,O,O,X,X
ILTJSOZ,X,O,X,O,O,X,O,O,X,O
ILTJZSO,X,O,X,O,O,X,O,O,O,X
ILTJZOS,X,O,X,O,O,X,O,O,X,X
ILTJOSZ,X,O,X,O,O,X,O,O,X,O
ILTJOZS,X,O,X,O,O,X,O,O,X,X
ILTSJZO,X,X,X,X,O,X,O,O,X,X
ILTSJOZ,X,X,X,X,O,X,O,O,X,O
ILTSZJO,X,X,X,X,O,X,X,X,O,X
ILTSZOJ,X,X,X,X,O,X,X,X,O,X
ILTSOJZ,X,X,X,X,O,X,O,O,X,O
ILTSOZJ,X,X,X,X,O,X,X,X,X,X
ILTZJSO,X,X,X,X,O,X,X,X,O,X
ILTZJOS,X,X,X,X,O,X,X,X,X,X
ILTZSJO,X,X,X,X,O,X,X,X,O,X
ILTZSOJ,X,X,X,X,O,X,X,X,O,X
ILTZOJS,X,X,X,X,O,X,X,X,X,X
ILTZOSJ,X,X,X,X,O,X,X,X,O,X
ILTOJSZ,X,O,X,O,O,X,O,O,X,O
ILTOJZS,X,O,X,O,O,X,O,O,X,X
ILTOSJZ,X,X,X,X,O,X,O,O,X,O
ILTOSZJ,X,X,X,X,O,X,X,X,X,X
ILTOZJS,X,X,X,X,O,X,X,X,X,X
ILTOZSJ,X,X,X,X,O,X,X,X,O,X
ILJTSZO,X,O,X,O,O,X,O,O,X,X
ILJTSOZ,X,O,X,O,O,X,O,O,X,X
ILJTZSO,X,O,X,O,O,X,O,O,O,X
ILJTZOS,X,O,X,O,O,X,O,O,X,X
ILJTOSZ,X,O,X,O,O,X,O,O,X,X
ILJTOZS,X,O,X,O,O,X,O,O,X,X
ILJSTZO,X,O,X,O,O,X,O,O,X,X
ILJSTOZ,X,O,X,O,O,X,O,O,X,X
ILJSZTO,X,X,X,X,O,O,O,O,X,X
ILJSZOT,X,O,X,X,O,O,X,O,X,X
ILJSOTZ,X,O,X,O,O,X,O,O,X,X
ILJSOZT,O,O,X,X,O,O,X,O,X,X
ILJZTSO,X,O,X,O,O,O,O,O,O,X
ILJZTOS,X,O,X,O,O,O,O,O,X,X
ILJZSTO,X,X,X,X,O,O,O,O,O,X
ILJZSOT,X,O,X,X,O,O,X,O,X,X
ILJZOTS,X,O,X,O,O,O,X,O,X,X
ILJZOST,X,O,X,X,O,O,X,O,X,X
ILJOTSZ,X,O,X,O,O,X,O,O,X,X
ILJOTZS,X,O,X,O,O,X,O,O,X,X
ILJOSTZ,X,O,X,O,O,X,O,O,X,X
ILJOSZT,O,O,X,X,O,O,X,O,X,X
ILJOZTS,X,O,X,O,O,O,X,O,X,X
ILJOZST,X,O,X,X,O,O,X,O,X,X
ILSTJZO,X,X,X,X,O,X,O,O,X,X
ILSTJOZ,X,X,X,X,O,X,O,O,X,O
ILSTZJO,X,X,X,X,O,X,X,X,O,X
ILSTZOJ,X,X,X,X,O,X,X,X,O,X
ILSTOJZ,X,X,X,X,O,X,O,O,X,O
ILSTOZJ,X,X,X,X,O,X,X,X,X,X
ILSJTZO,X,O,X,O,O,X,O,O,X,X
ILSJTOZ,X,O,X,O,O,X,O,O,X,X
ILSJZTO,X,X,X,X,O,O,O,O,X,X
ILSJZOT,X,O,X,X,O,O,X,O,X,X
ILSJOTZ,X,O,X,O,O,X,O,O,X,X
ILSJOZT,O,O,X,X,O,O,X,O,X,X
ILSZTJO,X,X,X,X,O,O,X,X,O,X
ILSZTOJ,X,X,X,X,O,O,X,X,O,X
ILSZJTO,X,X,X,X,O,O,X,O,O,X
ILSZJOT,X,X,X,X,O,O,X,O,X,X
ILSZOTJ,X,X,X,X,O,O,X,X,O,X
ILSZOJT,X,X,X,X,O,O,X,O,X,X
ILSOTJZ,X,X,X,X,O,X,X,O,X,O
ILSOTZJ,X,X,X,X,O,X,X,X,X,X
ILSOJTZ,X,O,X,O,O,X,X,O,X,X
ILSOJZT,O,O,X,X,O,O,X,O,X,X
ILSOZTJ,X,X,X,X,O,O,X,X,X,X
ILSOZJT,X,X,X,X,O,O,X,O,X,X
ILZTJSO,X,X,X,X,O,O,X,X,O,X
ILZTJOS,X,X,X,X,O,O,X,X,X,X
ILZTSJO,X,X,X,X,O,O,X,X,O,X
ILZTSOJ,X,X,X,X,O,O,X,X,O,X
ILZTOJS,X,X,X,X,O,O,X,X,X,X
ILZTOSJ,X,X,X,X,O,O,X,X,O,X
ILZJTSO,X,O,X,O,O,O,X,O,O,X
ILZJTOS,X,O,X,O,O,O,X,O,X,X
ILZJSTO,X,X,X,X,O,O,X,O,O,X
ILZJSOT,X,O,X,X,O,O,X,O,X,X
ILZJOTS,X,O,X,O,O,O,X,O,X,X
ILZJOST,X,O,X,X,O,O,X,O,X,X
ILZSTJO,X,X,X,X,O,O,X,X,O,X
ILZSTOJ,X,X,X,X,O,O,X,X,O,X
ILZSJTO,X,X,X,X,O,O,X,O,O,X
ILZSJOT,X,X,X,X,O,O,X,O,X,X
ILZSOTJ,X,X,X,X,O,O,X,X,O,X
ILZSOJT,X,X,X,X,O,O,X,O,X,X
ILZOTJS,X,X,X,X,O,O,X,X,X,X
ILZOTSJ,X,X,X,X,O,O,X,X,O,X
ILZOJTS,X,O,X,O,O,O,X,O,X,X
ILZOJST,X,O,X,X,O,O,X,O,X,X
ILZOSTJ,X,X,X,X,O,O,X,X,O,X
ILZOSJT,X,X,X,X,O,O,X,O,X,X
ILOTJSZ,X,O,X,O,O,X,X,O,X,O
ILOTJZS,X,O,X,O,O,X,X,O,X,X
ILOTSJZ,X,X,X,X,O,X,X,O,X,O
ILOTSZJ,X,X,X,X,O,X,X,X,X,X
ILOTZJS,X,X,X,X,O,X,X,X,X,X
ILOTZSJ,X,X,X,X,O,X,X,X,O,X
ILOJTSZ,X,O,X,O,O,X,X,O,X,X
ILOJTZS,X,O,X,O,O,X,X,O,X,X
ILOJSTZ,X,O,X,O,O,X,X,O,X,X
ILOJSZT,O,O,X,X,O,O,X,O,X,X
ILOJZTS,X,O,X,O,O,O,X,O,X,X
ILOJZST,X,O,X,X,O,O,X,O,X,X
ILOSTJZ,X,X,X,X,O,X,X,O,X,O
ILOSTZJ,X,X,X,X,O,X,X,X,X,X
ILOSJTZ,X,O,X,O,O,X,X,O,X,X
ILOSJZT,O,O,X,X,O,O,X,O,X,X
ILOSZTJ,X,X,X,X,O,O,X,X,X,X
ILOSZJT,X,X,X,X,O,O,X,O,X,X
ILOZTJS,X,X,X,X,O,O,X,X,X,X
ILOZTSJ,X,X,X,X,O,O,X,X,O,X
ILOZJTS,X,O,X,O,O,O,X,O,X,X
ILOZJST,X,O,X,X,O,O,X,O,X,X
ILOZSTJ,X,X,X,X,O,O,X,X,O,X
ILOZSJT,X,X,X,X,O,O,X,O,X,X
IJTLSZO,X,O,X,O,X,X,O,O,X,X
IJTLSOZ,X,O,X,O,X,X,O,O,X,O
IJTLZSO,X,O,X,O,X,X,O,O,O,X
IJTLZOS,X,O,X,O,X,X,O,O,X,X
IJTLOSZ,X,O,X,O,X,X,O,O,X,O
IJTLOZS,X,O,X,O,X,X,O,O,X,X
IJTSLZO,X,O,X,X,X,X,O,O,X,X
IJTSLOZ,X,O,X,X,X,X,O,O,X,O
IJTSZLO,X,X,O,X,X,O,O,X,X,X
IJTSZOL,X,X,O,X,X,O,X,X,X,O
IJTSOLZ,X,O,X,X,O,X,O,O,X,O
IJTSOZL,O,X,X,X,X,O,X,X,X,O
IJTZLSO,X,X,O,O,X,O,O,X,X,X
IJTZLOS,X,X,O,O,X,O,O,X,X,X
IJTZSLO,X,X,O,X,X,O,O,X,X,X
IJTZSOL,X,X,O,X,X,O,X,X,X,O
IJTZOLS,X,X,O,O,X,O,X,X,X,X
IJTZOSL,X,X,O,X,X,O,X,X,X,O
IJTOLSZ,X,O,X,O,X,X,O,O,X,O
IJTOLZS,X,O,X,O,X,X,O,O,X,X
IJTOSLZ,X,O,X,X,O,X,O,O,X,O
IJTOSZL,O,X,X,X,X,O,X,X,X,O
IJTOZLS,X,X,X,O,X,O,X,X,X,X
IJTOZSL,X,X,X,X,X,O,X,X,X,O
IJLTSZO,X,O,X,O,O,X,O,O,X,X
IJLTSOZ,X,O,X,O,O,X,O,O,X,X
IJLTZSO,X,O,X,O,O,X,O,O,O,X
IJLTZOS,X,O,X,O,O,X,O,O,X,X
IJLTOSZ,X,O,X,O,O,X,O,O,X,X
IJLTOZS,X,O,X,O,O,X,O,O,X,X
IJLSTZO,X,O,X,O,O,X,O,O,X,X
IJLSTOZ,X,O,X,O,O,X,O,O,X,X
IJLSZTO,X,X,O,X,O,O,O,O,X,X
IJLSZOT,X,O,X,X,O,O,X,O,X,X
IJLSOTZ,X,O,X,O,O,X,O,O,X,X
IJLSOZT,O,O,X,X,O,O,X,O,X,X
IJLZTSO,X,O,O,O,O,O,O,O,O,X
IJLZTOS,X,O,O,O,O,O,O,O,X,X
IJLZSTO,X,X,O,X,O,O,O,O,O,X
IJLZSOT,X,O,X,X,O,O,X,O,X,X
IJLZOTS,X,O,X,O,O,O,X,O,X,X
IJLZOST,X,O,X,X,O,O,X,O,X,X
IJLOTSZ,X,O,X,O,O,X,O,O,X,X
IJLOTZS,X,O,X,O,O,X,O,O,X,X
IJLOSTZ,X,O,X,O,O,X,O,O,X,X
IJLOSZT,O,O,X,X,O,O,X,O,X,X
IJLOZTS,X,O,X,O,O,O,X,O,X,X
IJLOZST,X,O,X,X,O,O,X,O,X,X
IJSTLZO,X,X,X,X,X,X,O,O,X,X
IJSTLOZ,X,X,X,X,X,X,O,O,X,O
IJSTZLO,X,X,O,X,X,O,O,X,X,X
IJSTZOL,X,X,O,X,X,O,X,X,X,O
IJSTOLZ,X,X,X,X,O,X,O,O,X,O
IJSTOZL,O,X,X,X,X,O,X,X,X,O
IJSLTZO,X,X,X,X,O,X,O,O,X,X
IJSLTOZ,X,O,X,X,O,X,O,O,X,X
IJSLZTO,X,X,O,X,O,O,O,O,X,X
IJSLZOT,X,O,X,X,O,O,X,O,X,X
IJSLOTZ,X,O,X,X,O,X,O,O,X,X
IJSLOZT,O,O,X,X,O,O,X,O,X,X
IJSZTLO,O,X,O,X,X,O,O,X,X,X
IJSZTOL,O,X,O,X,X,O,X,X,X,X
IJSZLTO,X,X,O,X,X,O,O,O,X,X
IJSZLOT,O,X,X,X,X,O,X,O,X,X
IJSZOTL,O,X,O,X,X,O,X,X,X,X
IJSZOLT,O,X,X,X,O,O,X,O,X,X
IJSOTLZ,X,X,X,X,O,X,O,O,X,O
IJSOTZL,O,X,X,X,X,O,X,X,X,O
IJSOLTZ,X,O,X,X,O,X,O,O,X,X
IJSOLZT,O,O,X,X,O,O,X,O,X,X
IJSOZTL,O,X,O,X,X,O,X,X,X,X
IJSOZLT,O,X,X,X,O,O,X,O,X,X
IJZTLSO,O,X,O,X,X,O,O,X,X,X
IJZTLOS,O,X,O,X,X,O,O,X,X,X
IJZTSLO,O,X,O,X,X,O,O,X,X,X
IJZTSOL,O,X,O,X,X,O,X,X,X,X
IJZTOLS,O,X,O,X,X,O,X,X,X,X
IJZTOSL,O,X,O,X,X,O,X,X,X,X
IJZLTSO,X,X,O,X,X,O,O,O,X,X
IJZLTOS,X,X,O,X,X,O,O,O,X,X
IJZLSTO,X,X,O,X,X,O,O,O,X,X
IJZLSOT,O,X,X,X,X,O,X,O,X,X
IJZLOTS,X,X,X,X,X,O,X,O,X,X
IJZLOST,O,X,X,X,X,O,X,O,X,X
IJZSTLO,O,X,O,X,X,O,O,X,X,X
IJZSTOL,O,X,O,X,X,O,X,X,X,X
IJZSLTO,X,X,O,X,X,O,O,O,X,X
IJZSLOT,O,X,X,X,X,O,X,O,X,X
IJZSOTL,O,X,O,X,X,O,X,X,X,X
IJZSOLT,O,X,X,X,O,O,X,O,X,X
IJZOTLS,O,X,O,X,X,O,X,X,X,X
IJZOTSL,O,X,O,X,X,O,X,X,X,X
IJZOLTS,X,X,X,X,X,O,X,O,X,X
IJZOLST,O,X,X,X,X,O,X,O,X,X
IJZOSTL,O,X,O,X,X,O,X,X,X,X
IJZOSLT,O,X,X,X,O,O,X,O,X,X
IJOTLSZ,X,O,X,O,X,X,O,O,X,O
IJOTLZS,X,O,X,O,X,X,O,O,X,X
IJOTSLZ,X,O,X,X,O,X,O,O,X,O
IJOTSZL,O,X,X,X,X,O,X,X,X,O
IJOTZLS,X,X,X,O,X,O,X,X,X,X
IJOTZSL,X,X,X,X,X,O,X,X,X,O
IJOLTSZ,X,O,X,O,O,X,O,O,X,X
IJOLTZS,X,O,X,O,O,X,O,O,X,X
IJOLSTZ,X,O,X,O,O,X,O,O,X,X
IJOLSZT,O,O,X,X,O,O,X,O,X,X
IJOLZTS,X,O,X,O,O,O,X,O,X,X
IJOLZST,X,O,X,X,O,O,X,O,X,X
IJOSTLZ,X,X,X,X,O,X,O,O,X,O
IJOSTZL,O,X,X,X,X,O,X,X,X,O
IJOSLTZ,X,O,X,X,O,X,O,O,X,X
IJOSLZT,O,O,X,X,O,O,X,O,X,X
IJOSZTL,O,X,O,X,X,O,X,X,X,X
IJOSZLT,O,X,X,X,O,O,X,O,X,X
IJOZTLS,O,X,O,X,X,O,X,X,X,X
IJOZTSL,O,X,O,X,X,O,X,X,X,X
IJOZLTS,X,X,X,X,X,O,X,O,X,X
IJOZLST,O,X,X,X,X,O,X,O,X,X
IJOZSTL,O,X,O,X,X,O,X,X,X,X
IJOZSLT,O,X,X,X,O,O,X,O,X,X
ISTLJZO,X,X,X,X,X,X,O,X,X,X
ISTLJOZ,X,X,X,X,X,X,O,X,X,O
ISTLZJO,X,X,X,X,X,X,X,X,O,X
ISTLZOJ,X,X,X,X,X,X,X,X,O,X
ISTLOJZ,X,X,X,X,X,X,O,X,X,O
ISTLOZJ,X,X,X,X,X,X,X,X,X,X
ISTJLZO,X,X,X,X,X,X,O,O,X,X
ISTJLOZ,X,X,X,X,X,X,O,O,X,O
ISTJZLO,X,X,X,X,X,O,O,X,X,X
ISTJZOL,X,X,X,X,X,O,X,X,X,O
ISTJOLZ,X,X,X,X,O,X,O,O,X,O
ISTJOZL,O,X,X,X,X,O,X,X,X,O
ISTZLJO,X,X,X,X,X,O,X,X,X,X
ISTZLOJ,X,X,X,X,X,O,X,X,X,X
ISTZJLO,X,X,X,X,X,O,X,X,X,X
ISTZJOL,X,X,X,X,X,O,X,X,X,O
ISTZOLJ,X,X,X,X,X,O,X,X,X,X
ISTZOJL,X,X,X,X,X,O,X,X,X,O
ISTOLJZ,X,X,X,X,X,X,X,X,X,O
ISTOLZJ,X,X,X,X,X,X,X,X,X,X
ISTOJLZ,X,X,X,X,O,X,X,O,X,O
ISTOJZL,O,X,X,X,X,O,X,X,X,O
ISTOZLJ,X,X,X,X,X,O,X,X,X,X
ISTOZJL,X,X,X,X,X,O,X,X,X,O
ISLTJZO,X,X,X,X,O,X,O,O,X,X
ISLTJOZ,X,X,X,X,O,X,O,O,X,O
ISLTZJO,X,X,X,X,O,X,X,X,O,X
ISLTZOJ,X,X,X,X,O,X,X,X,O,X
ISLTOJZ,X,X,X,X,O,X,O,O,X,O
ISLTOZJ,X,X,X,X,O,X,X,X,X,X
ISLJTZO,X,X,X,X,O,X,O,O,X,X
ISLJTOZ,X,X,X,X,O,X,O,O,X,X
ISLJZTO,X,X,X,X,O,O,O,O,X,X
ISLJZOT,X,X,X,X,O,O,X,O,X,X
ISLJOTZ,X,X,X,X,O,X,O,O,X,X
ISLJOZT,O,X,X,X,O,O,X,O,X,X
ISLZTJO,X,X,X,X,O,O,X,X,O,X
ISLZTOJ,X,X,X,X,O,O,X,X,O,X
ISLZJTO,X,X,X,X,O,O,X,O,O,X
ISLZJOT,X,X,X,X,O,O,X,O,X,X
ISLZOTJ,X,X,X,X,O,O,X,X,O,X
ISLZOJT,X,X,X,X,O,O,X,O,X,X
ISLOTJZ,X,X,X,X,O,X,X,O,X,O
ISLOTZJ,X,X,X,X,O,X,X,X,X,X
ISLOJTZ,X,X,X,X,O,X,X,O,X,X
ISLOJZT,O,X,X,X,O,O,X,O,X,X
ISLOZTJ,X,X,X,X,O,O,X,X,X,X
ISLOZJT,X,X,X,X,O,O,X,O,X,X
ISJTLZO,X,X,X,X,X,X,O,O,X,X
ISJTLOZ,X,X,X,X,X,X,O,O,X,O
ISJTZLO,X,X,O,X,X,O,O,X,X,X
ISJTZOL,X,X,O,X,X,O,X,X,X,O
ISJTOLZ,X,X,X,X,O,X,O,O,X,O
ISJTOZL,O,X,X,X,X,O,X,X,X,O
ISJLTZO,X,X,X,X,O,X,O,O,X,X
ISJLTOZ,X,X,X,X,O,X,O,O,X,X
ISJLZTO,X,X,O,X,O,O,O,O,X,X
ISJLZOT,X,X,X,X,O,O,X,O,X,X
ISJLOTZ,X,X,X,X,O,X,O,O,X,X
ISJLOZT,O,X,X,X,O,O,X,O,X,X
ISJZTLO,O,X,O,X,X,O,O,X,X,X
ISJZTOL,O,X,O,X,X,O,X,X,X,X
ISJZLTO,X,X,O,X,X,O,O,O,X,X
ISJZLOT,O,X,X,X,X,O,X,O,X,X
ISJZOTL,O,X,O,X,X,O,X,X,X,X
ISJZOLT,O,X,X,X,O,O,X,O,X,X
ISJOTLZ,X,X,X,X,O,X,O,O,X,O
ISJOTZL,O,X,X,X,X,O,X,X,X,O
ISJOLTZ,X,X,X,X,O,X,O,O,X,X
ISJOLZT,O,X,X,X,O,O,X,O,X,X
ISJOZTL,O,X,O,X,X,O,X,X,X,X
ISJOZLT,O,X,X,X,O,O,X,O,X,X
ISZTLJO,O,X,X,X,X,O,X,X,X,X
ISZTLOJ,O,X,X,X,X,O,X,X,X,X
ISZTJLO,O,X,O,X,X,O,X,X,X,X
ISZTJOL,O,X,O,X,X,O,X,X,X,O
ISZTOLJ,O,X,X,X,X,O,X,X,X,X
ISZTOJL,O,X,O,X,X,O,X,X,X,O
ISZLTJO,X,X,X,X,X,O,X,X,X,X
ISZLTOJ,X,X,X,X,X,O,X,X,X,X
ISZLJTO,X,X,X,X,X,O,X,X,X,X
ISZLJOT,O,X,X,X,X,O,X,X,X,X
ISZLOTJ,X,X,X,X,X,O,X,X,X,X
ISZLOJT,O,X,X,X,X,O,X,X,X,X
ISZJTLO,O,X,O,X,X,O,X,X,X,X
ISZJTOL,O,X,O,X,X,O,X,X,X,X
ISZJLTO,X,X,O,X,X,O,X,O,X,X
ISZJLOT,O,X,X,X,X,O,X,O,X,X
ISZJOTL,O,X,O,X,X,O,X,X,X,X
ISZJOLT,O,X,X,X,O,O,X,O,X,X
ISZOTLJ,O,X,X,X,X,O,X,X,X,X
ISZOTJL,O,X,X,X,X,O,X,X,X,O
ISZOLTJ,X,X,X,X,X,O,X,X,X,X
ISZOLJT,O,X,X,X,X,O,X,X,X,X
ISZOJTL,O,X,X,X,X,O,X,X,X,X
ISZOJLT,O,X,X,X,O,O,X,O,X,X
ISOTLJZ,X,X,X,X,X,X,X,X,X,O
ISOTLZJ,X,X,X,X,X,X,X,X,X,X
ISOTJLZ,X,X,X,X,O,X,X,O,X,O
ISOTJZL,O,X,X,X,X,O,X,X,X,O
ISOTZLJ,X,X,X,X,X,O,X,X,X,X
ISOTZJL,X,X,X,X,X,O,X,X,X,O
ISOLTJZ,X,X,X,X,O,X,X,O,X,O
ISOLTZJ,X,X,X,X,O,X,X,X,X,X
ISOLJTZ,X,X,X,X,O,X,X,O,X,X
ISOLJZT,O,X,X,X,O,O,X,O,X,X
ISOLZTJ,X,X,X,X,O,O,X,X,X,X
ISOLZJT,X,X,X,X,O,O,X,O,X,X
ISOJTLZ,X,X,X,X,O,X,X,O,X,O
ISOJTZL,O,X,X,X,X,O,X,X,X,O
ISOJLTZ,X,X,X,X,O,X,X,O,X,X
ISOJLZT,O,X,X,X,O,O,X,O,X,X
ISOJZTL,O,X,X,X,X,O,X,X,X,X
ISOJZLT,O,X,X,X,O,O,X,O,X,X
ISOZTLJ,O,X,X,X,X,O,X,X,X,X
ISOZTJL,O,X,X,X,X,O,X,X,X,O
ISOZLTJ,X,X,X,X,X,O,X,X,X,X
ISOZLJT,O,X,X,X,X,O,X,X,X,X
ISOZJTL,O,X,X,X,X,O,X,X,X,X
ISOZJLT,O,X,X,X,O,O,X,O,X,X
IZTLJSO,O,X,X,X,X,O,X,X,O,X
IZTLJOS,O,X,X,X,X,O,X,X,X,X
IZTLSJO,O,X,X,X,X,O,X,X,O,X
IZTLSOJ,O,X,X,X,X,O,X,X,O,X
IZTLOJS,O,X,X,X,X,O,X,X,X,X
IZTLOSJ,O,X,X,X,X,O,X,X,O,X
IZTJLSO,O,X,O,X,X,O,X,X,X,X
IZTJLOS,O,X,O,X,X,O,X,X,X,X
IZTJSLO,O,X,O,X,X,O,X,X,X,X
IZTJSOL,O,X,O,X,X,O,X,X,X,O
IZTJOLS,O,X,O,X,X,O,X,X,X,X
IZTJOSL,O,X,O,X,X,O,X,X,X,O
IZTSLJO,O,X,X,X,X,O,X,X,X,X
IZTSLOJ,O,X,X,X,X,O,X,X,X,X
IZTSJLO,O,X,O,X,X,O,X,X,X,X
IZTSJOL,O,X,O,X,X,O,X,X,X,O
IZTSOLJ,O,X,X,X,X,O,X,X,X,X
IZTSOJL,O,X,O,X,X,O,X,X,X,O
IZTOLJS,O,X,X,X,X,O,X,X,X,X
IZTOLSJ,O,X,X,X,X,O,X,X,X,X
IZTOJLS,O,X,O,X,X,O,X,X,X,X
IZTOJSL,O,X,O,X,X,O,X,X,X,O
IZTOSLJ,O,X,X,X,X,O,X,X,X,X
IZTOSJL,O,X,O,X,X,O,X,X,X,O
IZLTJSO,X,X,X,X,X,O,X,X,O,X
IZLTJOS,X,X,X,X,X,O,X,X,X,X
IZLTSJO,X,X,X,X,X,O,X,X,O,X
IZLTSOJ,X,X,X,X,X,O,X,X,O,X
IZLTOJS,X,X,X,X,X,O,X,X,X,X
IZLTOSJ,X,X,X,X,X,O,X,X,O,X
IZLJTSO,X,X,X,X,X,O,X,X,O,X
IZLJTOS,X,X,X,X,X,O,X,X,X,X
IZLJSTO,X,X,X,X,X,O,X,X,O,X
IZLJSOT,O,X,X,X,X,O,X,X,X,X
IZLJOTS,X,X,X,X,X,O,X,X,X,X
IZLJOST,O,X,X,X,X,O,X,X,X,X
IZLSTJO,X,X,X,X,X,O,X,X,O,X
IZLSTOJ,X,X,X,X,X,O,X,X,O,X
IZLSJTO,X,X,X,X,X,O,X,X,O,X
IZLSJOT,O,X,X,X,X,O,X,X,X,X
IZLSOTJ,X,X,X,X,X,O,X,X,O,X
IZLSOJT,O,X,X,X,X,O,X,X,X,X
IZLOTJS,X,X,X,X,X,O,X,X,X,X
IZLOTSJ,X,X,X,X,X,O,X,X,O,X
IZLOJTS,X,X,X,X,X,O,X,X,X,X
IZLOJST,O,X,X,X,X,O,X,X,X,X
IZLOSTJ,X,X,X,X,X,O,X,X,O,X
IZLOSJT,O,X,X,X,X,O,X,X,X,X
IZJTLSO,O,X,O,X,X,O,X,X,X,X
IZJTLOS,O,X,O,X,X,O,X,X,X,X
IZJTSLO,O,X,O,X,X,O,X,X,X,X
IZJTSOL,O,X,O,X,X,O,X,X,X,X
IZJTOLS,O,X,O,X,X,O,X,X,X,X
IZJTOSL,O,X,O,X,X,O,X,X,X,X
IZJLTSO,X,X,O,X,X,O,X,O,X,X
IZJLTOS,X,X,O,X,X,O,X,O,X,X
IZJLSTO,X,X,O,X,X,O,X,O,X,X
IZJLSOT,O,X,X,X,X,O,X,O,X,X
IZJLOTS,X,X,X,X,X,O,X,O,X,X
IZJLOST,O,X,X,X,X,O,X,O,X,X
IZJSTLO,O,X,O,X,X,O,X,X,X,X
IZJSTOL,O,X,O,X,X,O,X,X,X,X
IZJSLTO,X,X,O,X,X,O,X,O,X,X
IZJSLOT,O,X,X,X,X,O,X,O,X,X
IZJSOTL,O,X,O,X,X,O,X,X,X,X
IZJSOLT,O,X,X,X,O,O,X,O,X,X
IZJOTLS,O,X,O,X,X,O,X,X,X,X
IZJOTSL,O,X,O,X,X,O,X,X,X,X
IZJOLTS,X,X,X,X,X,O,X,O,X,X
IZJOLST,O,X,X,X,X,O,X,O,X,X
IZJOSTL,O,X,O,X,X,O,X,X,X,X
IZJOSLT,O,X,X,X,O,O,X,O,X,X
IZSTLJO,O,X,X,X,X,O,X,X,X,X
IZSTLOJ,O,X,X,X,X,O,X,X,X,X
IZSTJLO,O,X,O,X,X,O,X,X,X,X
IZSTJOL,O,X,O,X,X,O,X,X,X,O
IZSTOLJ,O,X,X,X,X,O,X,X,X,X
IZSTOJL,O,X,O,X,X,O,X,X,X,O
IZSLTJO,X,X,X,X,X,O,X,X,X,X
IZSLTOJ,X,X,X,X,X,O,X,X,X,X
IZSLJTO,X,X,X,X,X,O,X,X,X,X
IZSLJOT,O,X,X,X,X,O,X,X,X,X
IZSLOTJ,X,X,X,X,X,O,X,X,X,X
IZSLOJT,O,X,X,X,X,O,X,X,X,X
IZSJTLO,O,X,O,X,X,O,X,X,X,X
IZSJTOL,O,X,O,X,X,O,X,X,X,X
IZSJLTO,X,X,O,X,X,O,X,O,X,X
IZSJLOT,O,X,X,X,X,O,X,O,X,X
IZSJOTL,O,X,O,X,X,O,X,X,X,X
IZSJOLT,O,X,X,X,O,O,X,O,X,X
IZSOTLJ,O,X,X,X,X,O,X,X,X,X
IZSOTJL,O,X,X,X,X,O,X,X,X,O
IZSOLTJ,X,X,X,X,X,O,X,X,X,X
IZSOLJT,O,X,X,X,X,O,X,X,X,X
IZSOJTL,O,X,X,X,X,O,X,X,X,X
IZSOJLT,O,X,X,X,O,O,X,O,X,X
IZOTLJS,O,X,X,X,X,O,X,X,X,X
IZOTLSJ,O,X,X,X,X,O,X,X,X,X
IZOTJLS,O,X,X,X,X,O,X,X,X,X
IZOTJSL,O,X,X,X,X,O,X,X,X,O
IZOTSLJ,O,X,X,X,X,O,X,X,X,X
IZOTSJL,O,X,X,X,X,O,X,X,X,O
IZOLTJS,X,X,X,X,X,O,X,X,X,X
IZOLTSJ,X,X,X,X,X,O,X,X,X,X
IZOLJTS,X,X,X,X,X,O,X,X,X,X
IZOLJST,O,X,X,X,X,O,X,X,X,X
IZOLSTJ,X,X,X,X,X,O,X,X,X,X
IZOLSJT,O,X,X,X,X,O,X,X,X,X
IZOJTLS,O,X,X,X,X,O,X,X,X,X
IZOJTSL,O,X,X,X,X,O,X,X,X,X
IZOJLTS,X,X,X,X,X,O,X,O,X,X
IZOJLST,O,X,X,X,X,O,X,O,X,X
IZOJSTL,O,X,X,X,X,O,X,X,X,X
IZOJSLT,O,X,X,X,O,O,X,O,X,X
IZOSTLJ,O,X,X,X,X,O,X,X,X,X
IZOSTJL,O,X,X,X,X,O,X,X,X,O
