sequence,v115@8gA8HeD8FeD8BeA8AeE8BeG8Jei6IvhFUcBRdBFgBT?iBGmBXqB,v115@8gA8HeD8FeD8BeA8AeE8BeG8Jei6IvhFzbBRdBUgBG?iBlmBXqB,v115@8gA8HeD8FeD8BeA8AeE8BeG8JeT6IvhFxbBldB6lB/?mBUiBeqB,v115@8gA8HeD8FeD8BeA8AeE8BeG8JeT6IvhF8gBRdBKlBG?iBlmBXqB,v115@8gA8HeD8FeD8BeA8AeE8BeG8JeT6IvhFxbBldBigBU?iBGmBXqB,v115@8gA8HeD8FeD8BeA8AeE8BeG8Jel7IvhFRdBmfB6mBT?iB3lB0pB,v115@8gA8HeD8FeD8BeA8AeE8BeG8Jey/IvhFWhB3dBTlBx?mBlmB0pB,v115@8gA8HeD8FeD8BeA8AeE8BeG8JeR7IvhFzcBuiBigBc?qBlmB/pB,v115@8gA8HeD8FeD8BeA8AeE8BeG8Je39IvhFxfBylBWnBT?lBlmB0pB
IJTZSOL,X,O,O,X,X,X,X,X,X
IJTZOLS,O,O,O,O,X,X,X,O,X
IJTZOSL,O,O,O,X,X,X,X,X,X
IJTOLSZ,O,O,O,O,O,X,X,X,X
IJTOLZS,O,O,O,O,O,X,X,X,X
IJTOSLZ,O,O,O,O,X,X,X,X,X
IJTOSZL,O,O,O,X,X,X,X,X,X
IJTOZLS,O,O,O,O,X,X,X,O,X
IJTOZSL,O,O,O,X,X,X,X,X,X
IJLTSZO,O,O,O,O,X,X,X,X,O
IJLTSOZ,X,O,O,O,O,X,X,X,O
IJLTZSO,O,O,O,O,O,X,X,X,X
IJLTZOS,O,O,O,O,O,X,X,X,X
IJLTOSZ,O,O,O,O,O,X,X,X,X
IJLTOZS,O,O,O,O,O,X,X,X,X
IJLSTZO,O,X,O,O,X,X,X,X,O
IJLSTOZ,X,X,O,O,O,X,X,X,O
IJLSZTO,O,X,O,X,O,X,X,X,O
IJLSZOT,O,O,O,X,O,X,X,X,O
IJLSOTZ,X,X,O,O,O,X,X,X,O
IJLSOZT,X,X,O,X,O,X,X,X,O
IJLZTSO,O,O,O,O,O,X,X,X,X
IJLZTOS,O,O,O,O,O,X,X,X,X
IJLZSTO,O,X,O,X,O,X,X,X,O
IJLZSOT,O,O,O,X,O,X,X,X,O
IJLZOTS,O,O,O,O,O,X,X,X,X
IJLZOST,O,O,O,X,O,X,X,X,X
IJLOTSZ,O,X,O,O,O,X,X,X,X
IJLOTZS,O,X,O,O,O,X,X,X,X
IJLOSTZ,O,X,O,O,O,X,X,X,O
IJLOSZT,O,X,O,X,O,X,X,X,O
IJLOZTS,O,O,O,O,O,X,X,X,X
IJLOZST,O,O,O,X,O,X,X,X,X
IJSTLZO,O,X,O,X,X,X,X,X,O
IJSTLOZ,X,X,O,X,X,X,X,X,O
IJSTZLO,O,X,O,X,X,X,X,X,X
IJSTZOL,X,X,O,X,X,X,X,X,X
IJSTOLZ,X,X,O,X,X,X,X,X,X
IJSTOZL,X,X,O,X,X,X,X,X,X
IJSLTZO,O,X,O,O,X,X,X,X,O
IJSLTOZ,X,X,O,O,X,X,X,X,O
IJSLZTO,O,X,O,X,X,X,X,X,O
IJSLZOT,O,O,O,X,X,X,X,X,O
IJSLOTZ,X,X,O,O,X,X,X,X,O
IJSLOZT,X,X,O,X,X,X,X,X,O
IJSZTLO,O,X,O,X,X,X,X,X,X
IJSZTOL,X,X,O,X,X,X,X,X,X
IJSZLTO,O,X,O,X,X,X,X,X,O
IJSZLOT,O,O,O,X,X,X,X,X,O
IJSZOTL,X,X,O,X,X,X,X,X,X
IJSZOLT,X,O,O,X,X,X,X,X,X
IJSOTLZ,X,X,O,X,X,X,O,X,X
IJSOTZL,X,X,O,X,X,X,X,X,X
IJSOLTZ,X,X,O,O,X,X,O,X,O
IJSOLZT,X,X,O,X,X,X,O,X,O
IJSOZTL,X,X,O,X,X,X,X,X,X
IJSOZLT,X,X,O,X,X,X,O,X,X
IJZTLSO,O,O,O,X,O,X,X,O,X
IJZTLOS,O,O,O,X,O,X,X,O,X
IJZTSLO,O,O,O,X,X,X,X,X,X
IJZTSOL,X,O,O,X,O,X,X,X,X
IJZTOLS,O,O,O,X,O,X,X,O,X
IJZTOSL,O,O,O,X,O,X,X,X,X
IJZLTSO,O,O,O,O,O,X,X,O,X
IJZLTOS,O,O,O,O,O,X,X,O,X
IJZLSTO,O,X,X,X,O,X,X,X,O
IJZLSOT,O,O,X,X,O,X,X,X,O
IJZLOTS,O,O,O,O,O,X,X,X,X
IJZLOST,O,O,X,X,O,X,X,X,X
IJZSTLO,O,X,X,X,X,X,X,X,X
IJZSTOL,X,X,X,X,O,X,X,X,X
IJZSLTO,O,X,X,X,X,X,X,X,O
IJZSLOT,O,O,X,X,X,X,X,X,O
IJZSOTL,X,X,X,X,O,X,X,X,X
IJZSOLT,X,O,X,X,X,X,X,X,X
IJZOTLS,O,O,O,X,O,X,X,X,X
IJZOTSL,O,X,O,X,O,X,X,X,X
IJZOLTS,O,O,O,O,O,X,X,X,X
IJZOLST,O,O,X,X,O,X,X,X,X
IJZOSTL,O,X,X,X,O,X,X,X,X
IJZOSLT,O,O,X,X,X,X,X,X,X
IJOTLSZ,O,X,O,O,O,X,O,X,X
IJOTLZS,O,X,O,O,O,X,X,X,X
IJOTSLZ,O,X,O,O,X,X,O,X,X
IJOTSZL,O,X,O,X,X,X,X,X,X
IJOTZLS,O,X,O,O,X,X,X,X,X
IJOTZSL,O,X,O,X,X,X,X,X,X
IJOLTSZ,O,X,O,O,O,X,O,X,X
IJOLTZS,O,X,O,O,O,X,X,X,X
IJOLSTZ,O,X,O,O,O,O,O,X,O
IJOLSZT,O,X,O,X,O,O,O,X,O
IJOLZTS,O,O,O,O,O,X,X,X,X
IJOLZST,O,O,O,X,O,X,O,X,X
IJOSTLZ,O,X,O,X,X,X,O,X,X
IJOSTZL,O,X,O,X,X,X,X,X,X
IJOSLTZ,O,X,O,O,X,X,O,X,O
IJOSLZT,O,X,O,X,X,X,O,X,O
IJOSZTL,O,X,O,X,X,X,X,X,X
IJOSZLT,O,X,O,X,X,X,O,X,X
IJOZTLS,O,O,O,X,O,X,X,X,X
IJOZTSL,O,X,O,X,O,X,X,X,X
IJOZLTS,O,O,O,O,O,X,X,X,X
IJOZLST,O,O,X,X,O,X,O,X,X
IJOZSTL,O,X,X,X,O,X,X,X,X
IJOZSLT,O,O,X,X,X,X,O,X,X
ISTLJZO,X,O,X,O,X,X,X,X,O
ISTLJOZ,X,O,O,O,X,X,X,X,O
ISTLZJO,X,O,X,X,X,X,X,X,X
ISTLZOJ,O,O,X,X,X,X,X,X,X
ISTLOJZ,X,O,O,O,X,X,X,X,X
ISTLOZJ,X,O,O,X,X,X,X,X,X
ISTJLZO,X,O,O,O,X,X,X,X,O
ISTJLOZ,X,O,O,O,X,X,X,X,O
ISTJZLO,X,O,O,O,X,X,X,X,X
ISTJZOL,X,O,O,X,X,X,X,X,X
ISTJOLZ,X,O,O,O,X,X,X,X,X
ISTJOZL,X,O,O,X,X,X,X,X,X
ISTZLJO,X,O,O,X,X,X,X,X,X
ISTZLOJ,O,O,O,X,X,X,X,X,X
ISTZJLO,X,O,O,X,X,X,X,X,X
ISTZJOL,X,O,O,X,X,X,X,X,X
ISTZOLJ,X,O,O,X,X,X,X,X,X
ISTZOJL,X,O,O,X,X,X,X,X,X
ISTOLJZ,X,O,O,O,X,X,O,X,X
ISTOLZJ,X,O,O,X,X,X,X,X,X
ISTOJLZ,X,O,O,O,X,X,O,X,X
ISTOJZL,X,O,O,X,X,X,X,X,X
ISTOZLJ,X,O,O,X,X,X,X,X,X
ISTOZJL,X,O,O,X,X,X,X,X,X
ISLTJZO,X,O,X,O,X,X,X,X,O
ISLTJOZ,X,O,O,O,X,O,X,X,O
ISLTZJO,X,O,X,X,X,X,X,X,X
ISLTZOJ,O,O,X,X,X,X,X,X,X
ISLTOJZ,X,O,O,O,X,O,X,X,X
ISLTOZJ,X,O,O,X,X,O,X,X,X
ISLJTZO,O,X,X,O,X,X,X,X,O
ISLJTOZ,X,X,O,O,X,O,X,X,O
ISLJZTO,O,X,O,X,X,X,X,X,O
ISLJZOT,O,O,O,X,X,X,X,X,O
ISLJOTZ,X,X,O,O,X,O,X,X,O
ISLJOZT,X,X,O,X,X,O,X,X,O
ISLZTJO,X,O,O,X,X,X,X,X,X
ISLZTOJ,X,O,O,X,X,X,X,X,X
ISLZJTO,X,X,O,X,X,X,X,X,O
ISLZJOT,X,O,O,X,X,X,X,X,O
ISLZOTJ,X,O,O,X,X,X,X,X,X
ISLZOJT,X,O,X,X,X,X,X,X,X
ISLOTJZ,X,X,O,O,X,O,O,X,X
ISLOTZJ,O,X,O,X,X,O,X,X,X
ISLOJTZ,O,X,X,O,X,O,O,X,O
ISLOJZT,O,X,X,X,X,O,O,X,O
ISLOZTJ,X,X,O,X,X,O,X,X,X
ISLOZJT,X,X,X,X,X,O,O,X,X
ISJTLZO,O,X,O,X,X,X,X,X,O
ISJTLOZ,X,X,O,X,X,X,X,X,O
ISJTZLO,O,X,O,X,X,X,X,X,X
ISJTZOL,X,X,O,X,X,X,X,X,X
ISJTOLZ,X,X,O,X,X,X,X,X,X
ISJTOZL,X,X,O,X,X,X,X,X,X
ISJLTZO,O,X,O,O,X,X,X,X,O
ISJLTOZ,X,X,O,O,X,O,X,X,O
ISJLZTO,O,X,O,X,X,X,X,X,O
ISJLZOT,O,O,O,X,X,X,X,X,O
ISJLOTZ,X,X,O,O,X,O,X,X,O
ISJLOZT,X,X,O,X,X,O,X,X,O
ISJZTLO,O,X,O,X,X,X,X,X,X
ISJZTOL,X,X,O,X,X,X,X,X,X
ISJZLTO,O,X,O,X,X,X,X,X,O
ISJZLOT,O,O,O,X,X,X,X,X,O
ISJZOTL,X,X,O,X,X,X,X,X,X
ISJZOLT,X,O,O,X,X,X,X,X,X
ISJOTLZ,X,X,O,X,X,X,O,X,X
ISJOTZL,X,X,O,X,X,X,X,X,X
ISJOLTZ,X,X,O,O,X,O,O,X,O
ISJOLZT,X,X,O,X,X,O,O,X,O
ISJOZTL,X,X,O,X,X,X,X,X,X
ISJOZLT,X,X,O,X,X,X,O,X,X
ISZTLJO,X,O,O,X,X,X,X,X,X
ISZTLOJ,X,O,O,X,X,X,X,X,X
ISZTJLO,X,O,O,X,X,X,X,X,X
ISZTJOL,X,O,O,X,X,X,X,X,X
ISZTOLJ,X,O,O,X,X,X,X,X,X
ISZTOJL,X,X,O,X,X,X,X,X,X
ISZLTJO,X,O,O,X,X,X,X,X,X
ISZLTOJ,X,O,O,X,X,X,X,X,X
ISZLJTO,X,X,O,X,X,X,X,X,O
ISZLJOT,X,O,O,X,X,X,X,X,O
ISZLOTJ,X,O,O,X,X,X,X,X,X
ISZLOJT,X,O,X,X,X,X,X,X,X
ISZJTLO,X,X,O,X,X,X,X,X,X
ISZJTOL,X,X,O,X,X,X,X,X,X
ISZJLTO,X,X,O,X,X,X,X,X,O
ISZJLOT,X,O,O,X,X,X,X,X,O
ISZJOTL,X,X,O,X,X,X,X,X,X
ISZJOLT,X,O,O,X,X,X,X,X,X
ISZOTLJ,X,X,O,X,X,X,X,X,X
ISZOTJL,X,X,O,X,X,X,X,X,X
ISZOLTJ,X,O,O,X,X,X,X,X,X
ISZOLJT,X,O,X,X,X,X,O,X,X
ISZOJTL,X,X,O,X,X,X,X,X,X
ISZOJLT,X,X,O,X,X,X,O,X,X
ISOTLJZ,X,X,O,O,X,X,O,X,X
ISOTLZJ,O,X,O,X,X,X,X,X,X
ISOTJLZ,X,X,O,O,X,X,O,X,X
ISOTJZL,X,X,O,X,X,X,X,X,X
ISOTZLJ,O,X,O,X,X,X,X,X,X
ISOTZJL,X,X,O,X,X,X,X,X,X
ISOLTJZ,X,X,O,O,X,O,O,X,X
ISOLTZJ,O,X,O,X,X,O,X,X,X
ISOLJTZ,O,X,X,O,X,O,O,X,O
ISOLJZT,O,X,X,X,X,O,O,X,O
ISOLZTJ,X,X,O,X,X,O,X,X,X
ISOLZJT,X,X,X,X,X,O,O,X,X
ISOJTLZ,O,X,O,X,X,X,O,X,X
ISOJTZL,O,X,O,X,X,X,X,X,X
ISOJLTZ,O,X,O,O,X,O,O,X,O
ISOJLZT,O,X,O,X,X,O,O,X,O
ISOJZTL,O,X,O,X,X,X,X,X,X
ISOJZLT,O,X,O,X,X,X,O,X,X
ISOZTLJ,X,X,O,X,X,X,X,X,X
ISOZTJL,X,X,O,X,X,X,X,X,X
ISOZLTJ,X,X,O,X,X,X,X,X,X
ISOZLJT,X,X,X,X,X,X,O,X,X
ISOZJTL,X,X,O,X,X,X,X,X,X
ISOZJLT,X,X,O,X,X,X,O,X,X
IZTLJSO,X,O,X,O,X,X,X,O,X
IZTLJOS,O,O,X,O,O,X,X,O,X
IZTLSJO,X,O,X,X,X,X,X,X,X
IZTLSOJ,O,O,X,X,X,X,X,X,X
IZTLOJS,O,O,X,O,O,X,X,O,X
IZTLOSJ,O,O,X,X,X,X,X,X,X
IZTJLSO,X,O,O,O,O,X,X,O,X
IZTJLOS,O,O,O,O,O,X,X,O,X
IZTJSLO,X,O,O,O,X,X,X,X,X
IZTJSOL,X,O,O,X,O,X,X,X,X
IZTJOLS,X,O,O,O,O,X,X,O,X
IZTJOSL,X,O,O,X,O,X,X,X,X
IZTSLJO,X,O,O,X,X,X,X,X,X
IZTSLOJ,O,O,O,X,X,X,X,X,X
IZTSJLO,X,O,O,X,X,X,X,X,X
IZTSJOL,X,O,O,X,O,X,X,X,X
IZTSOLJ,X,O,O,X,X,X,X,X,X
IZTSOJL,X,O,O,X,O,X,X,X,X
IZTOLJS,O,O,X,O,O,X,X,O,X
IZTOLSJ,O,O,X,X,X,X,X,X,X
IZTOJLS,X,O,O,O,O,X,X,O,X
IZTOJSL,X,O,O,X,O,X,X,X,X
IZTOSLJ,X,O,O,X,X,X,X,X,X
IZTOSJL,X,X,O,X,O,X,X,X,X
IZLTJSO,X,O,X,O,X,X,X,O,X
IZLTJOS,O,O,X,O,O,X,X,O,X
IZLTSJO,X,O,X,X,X,X,X,X,X
IZLTSOJ,O,O,X,X,X,X,X,X,X
IZLTOJS,O,O,X,O,O,X,X,O,X
IZLTOSJ,O,O,X,X,X,X,X,X,X
IZLJTSO,O,O,X,O,X,X,X,O,X
IZLJTOS,O,O,X,O,O,X,X,O,X
IZLJSTO,O,X,X,X,X,X,X,X,O
IZLJSOT,O,O,X,X,X,X,X,X,O
IZLJOTS,O,O,X,O,O,X,X,X,X
IZLJOST,O,O,X,X,X,X,X,X,X
IZLSTJO,X,O,X,X,X,X,X,X,X
IZLSTOJ,X,O,X,X,X,X,X,X,X
IZLSJTO,X,X,X,X,X,X,X,X,O
IZLSJOT,X,O,X,X,X,X,X,X,O
IZLSOTJ,X,O,X,X,X,X,X,X,X
IZLSOJT,X,O,X,X,X,X,X,X,X
IZLOTJS,O,O,X,O,O,X,X,X,X
IZLOTSJ,O,O,X,X,X,X,X,X,X
IZLOJTS,O,O,X,O,X,X,X,X,X
IZLOJST,O,O,X,X,X,X,X,X,X
IZLOSTJ,X,O,X,X,X,X,X,X,X
IZLOSJT,X,O,X,X,X,X,X,X,X
IZJTLSO,O,O,O,X,O,X,X,O,X
IZJTLOS,O,O,O,X,O,X,X,O,X
IZJTSLO,O,O,O,X,X,X,X,X,X
IZJTSOL,X,O,O,X,O,X,X,X,X
IZJTOLS,O,O,O,X,O,X,X,O,X
IZJTOSL,X,O,O,X,O,X,X,X,X
IZJLTSO,O,O,O,O,O,X,X,O,X
IZJLTOS,O,O,O,O,O,X,X,O,X
IZJLSTO,O,X,X,X,O,X,X,X,O
IZJLSOT,O,O,X,X,O,X,X,X,O
IZJLOTS,O,O,O,O,O,X,X,X,X
IZJLOST,O,O,X,X,O,X,X,X,X
IZJSTLO,O,X,X,X,X,X,X,X,X
IZJSTOL,X,X,X,X,O,X,X,X,X
IZJSLTO,O,X,X,X,X,X,X,X,O
IZJSLOT,O,O,X,X,X,X,X,X,O
IZJSOTL,X,X,X,X,O,X,X,X,X
IZJSOLT,X,O,X,X,X,X,X,X,X
IZJOTLS,O,O,O,X,O,X,X,X,X
IZJOTSL,X,X,O,X,O,X,X,X,X
IZJOLTS,O,O,O,O,O,X,X,X,X
IZJOLST,O,O,X,X,O,X,X,X,X
IZJOSTL,X,X,X,X,O,X,X,X,X
IZJOSLT,X,O,X,X,X,X,X,X,X
IZSTLJO,X,O,X,X,X,X,X,X,X
IZSTLOJ,X,O,X,X,X,X,X,X,X
IZSTJLO,X,O,X,X,X,X,X,X,X
IZSTJOL,X,O,X,X,O,X,X,X,X
IZSTOLJ,X,O,X,X,X,X,X,X,X
IZSTOJL,X,X,X,X,O,X,X,X,X
IZSLTJO,X,O,X,X,X,X,X,X,X
IZSLTOJ,X,O,X,X,X,X,X,X,X
IZSLJTO,X,X,X,X,X,X,X,X,O
IZSLJOT,X,O,X,X,X,X,X,X,O
IZSLOTJ,X,O,X,X,X,X,X,X,X
IZSLOJT,X,O,X,X,X,X,X,X,X
IZSJTLO,X,X,X,X,X,X,X,X,X
IZSJTOL,X,X,X,X,O,X,X,X,X
IZSJLTO,X,X,X,X,X,X,X,X,O
IZSJLOT,X,O,X,X,X,X,X,X,O
IZSJOTL,X,X,X,X,O,X,X,X,X
IZSJOLT,X,O,X,X,X,X,X,X,X
IZSOTLJ,X,X,X,X,X,X,X,X,X
IZSOTJL,X,X,X,X,O,X,X,X,X
IZSOLTJ,X,O,X,X,X,X,X,X,X
IZSOLJT,X,O,X,X,X,X,O,X,X
IZSOJTL,X,X,X,X,X,X,X,X,X
IZSOJLT,X,X,X,X,X,X,O,X,X
IZOTLJS,O,O,X,O,O,X,X,X,X
IZOTLSJ,O,O,X,X,X,X,X,X,X
IZOTJLS,O,O,O,O,O,X,X,X,X
IZOTJSL,X,O,O,X,O,X,X,X,X
IZOTSLJ,O,O,O,X,X,X,X,X,X
IZOTSJL,X,X,O,X,O,X,X,X,X
IZOLTJS,O,O,X,O,O,X,X,X,X
IZOLTSJ,O,O,X,X,X,X,X,X,X
IZOLJTS,O,O,X,O,X,X,X,X,X
IZOLJST,O,O,X,X,X,X,O,X,X
IZOLSTJ,X,O,X,X,X,O,X,X,X
IZOLSJT,X,O,X,X,X,O,O,X,X
IZOJTLS,O,O,O,X,O,X,X,X,X
IZOJTSL,O,X,O,X,O,X,X,X,X
IZOJLTS,O,O,O,O,O,X,X,X,X
IZOJLST,O,O,X,X,O,X,O,X,X
IZOJSTL,O,X,X,X,O,X,X,X,X
IZOJSLT,O,O,X,X,X,X,O,X,X
IZOSTLJ,X,X,X,X,X,X,X,X,X
IZOSTJL,X,X,X,X,O,X,X,X,X
IZOSLTJ,X,O,X,X,X,X,X,X,X
IZOSLJT,X,O,X,X,X,X,O,X,X
IZOSJTL,X,X,X,X,X,X,X,X,X
IZOSJLT,X,X,X,X,X,X,O,X,X
IOTLJSZ,O,O,X,O,X,X,O,X,X
IOTLJZS,O,O,X,O,X,X,X,X,X
IOTLSJZ,X,O,X,O,X,O,O,X,X
IOTLSZJ,O,O,X,X,X,O,X,X,X
IOTLZJS,O,O,X,O,X,X,X,X,X
IOTLZSJ,O,O,X,X,X,X,X,X,X
IOTJLSZ,O,O,O,O,O,X,O,X,X
IOTJLZS,O,O,O,O,O,X,X,X,X
IOTJSLZ,O,O,O,O,X,X,O,X,X
IOTJSZL,O,O,O,X,X,X,X,X,X
IOTJZLS,O,O,O,O,X,X,X,X,X
IOTJZSL,O,O,O,X,X,X,X,X,X
IOTSLJZ,X,O,O,O,X,X,O,X,X
IOTSLZJ,O,O,O,X,X,X,X,X,X
IOTSJLZ,X,O,O,O,X,X,O,X,X
IOTSJZL,X,O,O,X,X,X,X,X,X
IOTSZLJ,O,O,O,X,X,X,X,X,X
IOTSZJL,X,O,O,X,X,X,X,X,X
IOTZLJS,O,O,X,O,O,X,X,X,X
IOTZLSJ,O,O,X,X,X,X,X,X,X
IOTZJLS,O,O,O,O,O,X,X,X,X
IOTZJSL,X,O,O,X,O,X,X,X,X
IOTZSLJ,O,O,O,X,X,X,X,X,X
IOTZSJL,X,X,O,X,O,X,X,X,X
IOLTJSZ,O,O,X,O,X,X,O,X,X
IOLTJZS,O,O,X,O,X,X,X,X,X
IOLTSJZ,X,O,X,O,X,O,O,X,X
IOLTSZJ,O,O,X,X,X,O,X,X,X
IOLTZJS,O,O,X,O,X,X,X,X,X
IOLTZSJ,O,O,X,X,X,X,X,X,X
IOLJTSZ,O,X,X,O,X,X,O,X,X
IOLJTZS,O,X,X,O,X,X,X,X,X
IOLJSTZ,O,X,X,O,X,O,O,X,O
IOLJSZT,O,X,X,X,X,O,O,X,O
IOLJZTS,O,O,X,O,X,X,X,X,X
IOLJZST,O,O,X,X,X,X,O,X,X
IOLSTJZ,X,X,X,O,X,O,O,X,X
IOLSTZJ,O,X,X,X,X,O,X,X,X
IOLSJTZ,O,X,X,O,X,O,O,X,O
IOLSJZT,O,X,X,X,X,O,O,X,O
IOLSZTJ,X,X,X,X,X,O,X,X,X
IOLSZJT,X,X,X,X,X,O,O,X,X
IOLZTJS,O,O,X,O,X,X,X,X,X
IOLZTSJ,O,O,X,X,X,X,X,X,X
IOLZJTS,O,O,X,O,X,X,X,X,X
IOLZJST,O,O,X,X,X,X,O,X,X
IOLZSTJ,X,O,X,X,X,O,X,X,X
IOLZSJT,X,O,X,X,X,O,O,X,X
IOJTLSZ,O,X,O,O,O,X,O,X,X
IOJTLZS,O,X,O,O,O,X,X,X,X
IOJTSLZ,O,X,O,O,X,X,O,X,X
IOJTSZL,O,X,O,X,X,X,X,X,X
IOJTZLS,O,X,O,O,X,X,X,X,X
IOJTZSL,O,X,O,X,X,X,X,X,X
IOJLTSZ,O,X,O,O,O,X,O,X,X
IOJLTZS,O,X,O,O,O,X,X,X,X
IOJLSTZ,O,X,O,O,O,O,O,X,O
IOJLSZT,O,X,O,X,O,O,O,X,O
IOJLZTS,O,O,O,O,O,X,X,X,X
IOJLZST,O,O,O,X,O,X,O,X,X
IOJSTLZ,O,X,O,X,X,X,O,X,X
IOJSTZL,O,X,O,X,X,X,X,X,X
IOJSLTZ,O,X,O,O,X,X,O,X,O
IOJSLZT,O,X,O,X,X,X,O,X,O
IOJSZTL,O,X,O,X,X,X,X,X,X
IOJSZLT,O,X,O,X,X,X,O,X,X
IOJZTLS,O,O,O,X,O,X,X,X,X
IOJZTSL,O,X,O,X,O,X,X,X,X
IOJZLTS,O,O,O,O,O,X,X,X,X
IOJZLST,O,O,X,X,O,X,O,X,X
IOJZSTL,O,X,X,X,O,X,X,X,X
IOJZSLT,O,O,X,X,X,X,O,X,X
IOSTLJZ,X,X,O,O,X,X,O,X,X
IOSTLZJ,O,X,O,X,X,X,X,X,X
IOSTJLZ,X,X,O,O,X,X,O,X,X
IOSTJZL,X,X,O,X,X,X,X,X,X
IOSTZLJ,O,X,O,X,X,X,X,X,X
IOSTZJL,X,X,O,X,X,X,X,X,X
IOSLTJZ,X,X,O,O,X,O,O,X,X
IOSLTZJ,O,X,O,X,X,O,X,X,X
IOSLJTZ,O,X,X,O,X,O,O,X,O
IOSLJZT,O,X,X,X,X,O,O,X,O
IOSLZTJ,X,X,O,X,X,O,X,X,X
IOSLZJT,X,X,X,X,X,O,O,X,X
IOSJTLZ,O,X,O,X,X,X,O,X,X
IOSJTZL,O,X,O,X,X,X,X,X,X
IOSJLTZ,O,X,O,O,X,O,O,X,O
IOSJLZT,O,X,O,X,X,O,O,X,O
IOSJZTL,O,X,O,X,X,X,X,X,X
IOSJZLT,O,X,O,X,X,X,O,X,X
IOSZTLJ,X,X,O,X,X,X,X,X,X
IOSZTJL,X,X,O,X,X,X,X,X,X
IOSZLTJ,X,X,O,X,X,X,X,X,X
IOSZLJT,X,X,X,X,X,X,O,X,X
IOSZJTL,X,X,O,X,X,X,X,X,X
IOSZJLT,X,X,O,X,X,X,O,X,X
IOZTLJS,O,O,X,O,O,X,X,X,X
IOZTLSJ,O,O,X,X,X,X,X,X,X
IOZTJLS,O,O,O,O,O,X,X,X,X
IOZTJSL,X,O,O,X,O,X,X,X,X
IOZTSLJ,O,O,O,X,X,X,X,X,X
IOZTSJL,X,X,O,X,O,X,X,X,X
IOZLTJS,O,O,X,O,O,X,X,X,X
IOZLTSJ,O,O,X,X,X,X,X,X,X
IOZLJTS,O,O,X,O,X,X,X,X,X
IOZLJST,O,O,X,X,X,X,O,X,X
IOZLSTJ,X,O,X,X,X,O,X,X,X
IOZLSJT,X,O,X,X,X,O,O,X,X
IOZJTLS,O,O,O,X,O,X,X,X,X
IOZJTSL,O,X,O,X,O,X,X,X,X
IOZJLTS,O,O,O,O,O,X,X,X,X
IOZJLST,O,O,X,X,O,X,O,X,X
IOZJSTL,O,X,X,X,O,X,X,X,X
IOZJSLT,O,O,X,X,X,X,O,X,X
IOZSTLJ,X,X,X,X,X,X,X,X,X
IOZSTJL,X,X,X,X,O,X,X,X,X
IOZSLTJ,X,O,X,X,X,X,X,X,X
IOZSLJT,X,O,X,X,X,X,O,X,X
IOZSJTL,X,X,X,X,X,X,X,X,X
IOZSJLT,X,X,X,X,X,X,O,X,X
LTIJSZO,O,O,X,O,X,X,X,X,O
LTIJSOZ,X,O,X,O,X,X,X,X,O
LTIJZSO,O,O,X,O,X,X,X,X,X
LTIJZOS,O,O,X,O,X,X,X,X,X
LTIJOSZ,X,O,X,O,X,X,X,X,X
LTIJOZS,O,O,X,O,X,X,X,X,X
LTISJZO,X,O,X,O,X,X,X,X,O
LTISJOZ,X,O,X,O,X,X,X,X,O
LTISZJO,X,O,X,X,X,X,X,X,X
LTISZOJ,O,O,X,X,X,X,X,X,X
LTISOJZ,X,O,X,O,X,X,X,X,X
LTISOZJ,X,O,X,X,X,X,X,X,X
LTIZJSO,X,O,X,O,X,X,X,X,X
LTIZJOS,O,O,X,O,X,X,X,X,X
LTIZSJO,X,O,X,X,X,X,X,X,X
LTIZSOJ,O,O,X,X,X,X,X,X,X
LTIZOJS,O,O,X,O,X,X,X,X,X
LTIZOSJ,O,O,X,X,X,X,X,X,X
LTIOJSZ,O,O,X,O,X,X,X,X,X
LTIOJZS,O,O,X,O,X,X,X,X,X
LTIOSJZ,X,O,X,O,X,X,X,X,X
LTIOSZJ,O,O,X,X,X,X,X,X,X
LTIOZJS,O,O,X,O,X,X,X,X,X
LTIOZSJ,O,O,X,X,X,X,X,X,X
LTJISZO,O,O,O,O,X,X,X,X,O
LTJISOZ,X,O,O,O,O,X,X,X,O
LTJIZSO,O,O,O,O,X,X,X,X,X
LTJIZOS,O,O,O,O,O,X,X,X,X
LTJIOSZ,O,O,O,O,O,X,X,X,X
LTJIOZS,O,O,O,O,O,X,X,X,X
LTJSIZO,O,O,O,O,X,X,X,X,O
LTJSIOZ,X,O,O,O,O,X,X,X,O
LTJSZIO,O,O,O,O,X,X,X,X,X
LTJSZOI,O,O,O,O,X,X,X,X,X
LTJSOIZ,O,O,O,O,O,X,X,X,X
LTJSOZI,O,O,O,O,X,X,X,X,X
LTJZISO,O,O,O,O,X,X,X,O,X
LTJZIOS,O,O,O,O,O,X,X,O,X
LTJZSIO,O,O,O,O,X,X,X,O,X
LTJZSOI,O,O,O,O,X,X,X,O,X
LTJZOIS,O,O,O,O,O,X,X,O,X
LTJZOSI,O,O,O,O,X,X,X,O,X
LTJOISZ,O,O,O,O,O,X,X,X,X
LTJOIZS,O,O,O,O,O,X,X,X,X
LTJOSIZ,O,O,O,O,O,X,X,X,X
LTJOSZI,O,O,O,O,X,X,X,X,X
LTJOZIS,O,O,O,O,O,X,X,O,X
LTJOZSI,O,O,O,O,X,X,X,O,X
LTSIJZO,X,O,X,O,X,X,X,X,O
