sequence,v115@8gA8HeD8FeD8BeA8AeE8BeG8Jei6IvhFUcBRdBFgBT?iBGmBXqB,v115@8gA8HeD8FeD8BeA8AeE8BeG8Jei6IvhFzbBRdBUgBG?iBlmBXqB,v115@8gA8HeD8FeD8BeA8AeE8BeG8JeT6IvhFxbBldB6lB/?mBUiBeqB,v115@8gA8HeD8FeD8BeA8AeE8BeG8JeT6IvhF8gBRdBKlBG?iBlmBXqB,v115@8gA8HeD8FeD8BeA8AeE8BeG8JeT6IvhFxbBldBigBU?iBGmBXqB,v115@8gA8HeD8FeD8BeA8AeE8BeG8Jel7IvhFRdBmfB6mBT?iB3lB0pB,v115@8gA8HeD8FeD8BeA8AeE8BeG8Jey/IvhFWhB3dBTlBx?mBlmB0pB,v115@8gA8HeD8FeD8BeA8AeE8BeG8JeR7IvhFzcBuiBigBc?qBlmB/pB,v115@8gA8HeD8FeD8BeA8AeE8BeG8Je39IvhFxfBylBWnBT?lBlmB0pB
TIOSZLJ,O,O,O,X,X,X,X,X,X
TIOSZJL,X,O,O,X,X,X,X,X,X
TIOZLJS,O,O,X,O,O,X,X,O,X
TIOZLSJ,O,O,X,X,X,X,X,X,X
TIOZJLS,O,O,O,O,O,X,X,O,X
TIOZJSL,X,O,O,X,O,X,X,X,X
TIOZSLJ,O,O,O,X,X,X,X,X,X
TIOZSJL,X,X,O,X,O,X,X,X,X
TLIJSZO,O,O,X,O,X,X,X,X,O
TLIJSOZ,X,O,X,O,X,X,X,X,O
TLIJZSO,O,O,X,O,X,X,X,X,X
TLIJZOS,O,O,X,O,X,X,X,X,X
TLIJOSZ,X,O,X,O,X,X,X,X,X
TLIJOZS,O,O,X,O,X,X,X,X,X
TLISJZO,X,O,X,O,X,X,X,X,O
TLISJOZ,X,O,X,O,X,X,X,X,O
TLISZJO,X,O,X,X,X,X,X,X,X
TLISZOJ,O,O,X,X,X,X,X,X,X
TLISOJZ,X,O,X,O,X,X,X,X,X
TLISOZJ,X,O,X,X,X,X,X,X,X
TLIZJSO,X,O,X,O,X,X,X,X,X
TLIZJOS,O,O,X,O,X,X,X,X,X
TLIZSJO,X,O,X,X,X,X,X,X,X
TLIZSOJ,O,O,X,X,X,X,X,X,X
TLIZOJS,O,O,X,O,X,X,X,X,X
TLIZOSJ,O,O,X,X,X,X,X,X,X
TLIOJSZ,O,O,X,O,X,X,X,X,X
TLIOJZS,O,O,X,O,X,X,X,X,X
TLIOSJZ,X,O,X,O,X,X,X,X,X
TLIOSZJ,O,O,X,X,X,X,X,X,X
TLIOZJS,O,O,X,O,X,X,X,X,X
TLIOZSJ,O,O,X,X,X,X,X,X,X
TLJISZO,O,O,O,O,X,X,X,X,O
TLJISOZ,X,O,O,O,O,X,X,X,O
TLJIZSO,O,O,O,O,X,X,X,X,X
TLJIZOS,O,O,O,O,O,X,X,X,X
TLJIOSZ,O,O,O,O,O,X,X,X,X
TLJIOZS,O,O,O,O,O,X,X,X,X
TLJSIZO,O,O,O,O,X,X,X,X,O
TLJSIOZ,X,O,O,O,O,X,X,X,O
TLJSZIO,O,O,O,O,X,X,X,X,X
TLJSZOI,O,O,O,O,X,X,X,X,X
TLJSOIZ,O,O,O,O,O,X,X,X,X
TLJSOZI,O,O,O,O,X,X,X,X,X
TLJZISO,O,O,O,O,X,X,X,O,X
TLJZIOS,O,O,O,O,O,X,X,O,X
TLJZSIO,O,O,O,O,X,X,X,O,X
TLJZSOI,O,O,O,O,X,X,X,O,X
TLJZOIS,O,O,O,O,O,X,X,O,X
TLJZOSI,O,O,O,O,X,X,X,O,X
TLJOISZ,O,O,O,O,O,X,X,X,X
TLJOIZS,O,O,O,O,O,X,X,X,X
TLJOSIZ,O,O,O,O,O,X,X,X,X
TLJOSZI,O,O,O,O,X,X,X,X,X
TLJOZIS,O,O,O,O,O,X,X,O,X
TLJOZSI,O,O,O,O,X,X,X,O,X
TLSIJZO,X,O,X,O,X,X,X,X,O
TLSIJOZ,X,O,O,O,X,O,X,X,O
TLSIZJO,X,O,X,X,X,X,X,X,X
TLSIZOJ,O,O,X,X,X,X,X,X,X
TLSIOJZ,X,O,O,O,X,O,X,X,X
TLSIOZJ,X,O,O,X,X,O,X,X,X
TLSJIZO,X,O,O,O,X,X,X,X,O
TLSJIOZ,X,O,O,O,X,O,X,X,O
TLSJZIO,X,O,O,O,X,X,X,X,X
TLSJZOI,X,O,O,O,X,O,X,X,X
TLSJOIZ,X,O,O,O,X,O,X,X,X
TLSJOZI,X,O,O,O,X,O,X,X,X
TLSZIJO,X,O,X,X,X,X,X,X,X
TLSZIOJ,O,O,X,X,X,X,X,X,X
TLSZJIO,X,O,X,O,X,X,X,X,X
TLSZJOI,X,O,X,O,X,O,X,X,X
TLSZOIJ,O,O,X,X,X,O,X,X,X
TLSZOJI,O,O,X,O,X,O,X,X,X
TLSOIJZ,X,O,O,O,X,O,X,X,X
TLSOIZJ,O,O,O,X,X,O,X,X,X
TLSOJIZ,O,O,O,O,X,O,X,X,X
