sequence,v115@7gB8HeB8DeB8BeB8EeH8AeF8Jex6IvhF8gBfiB6iBm?fBTkBlqB,v115@7gB8HeB8DeB8BeB8EeH8AeF8JeZ/IvhFzbBfiB6iBu?kBUgBlqB,v115@7gB8HeB8DeB8BeB8EeH8AeF8JeZ/IvhFzbBfiB6iBU?gBukBlqB,v115@7gB8HeB8DeB8BeB8EeH8AeF8Jex6IvhF8gBzcB+iBi?fB3kBlqB,v115@7gB8HeB8DeB8BeB8EeH8AeF8Jei6IvhFGdBRgBUiB3?gBTkBlqB,v115@7gB8HeB8DeB8BeB8EeH8AeF8Je2/IvhFRbBSiB3gBU?iBTkBlqB,v115@7gB8HeB8DeB8BeB8EeH8AeF8Jei6IvhFzbBGdBUiBx?kB3kBlqB,v115@7gB8HeB8DeB8BeB8EeH8AeF8Jex6IvhF8gBCdB2kBT?iB3kBlqB,v115@7gB8HeB8DeB8BeB8EeH8AeF8JeWBJvhFxcB/kBUgBT?iBikBlqB,v115@7gB8HeB8DeB8BeB8EeH8AeF8JeZ/IvhFlbBzcB+iBC?lBflB8qB,v115@7gB8HeB8DeB8BeB8EeH8AeF8JeX7IvhFxcBTiB0kB6?qBOpBFrB,v115@7gB8HeB8DeB8BeB8EeH8AeF8Je//IvhFRbBCdBTiB2?pB0lBlqB,v115@7gB8HeB8DeB8BeB8EeH8AeF8Jei6IvhFzbBckBGiBR?qB/qBFsB,v115@7gB8HeB8DeB8BeB8EeH8AeF8Je2/IvhFzbBSiBUiBx?kB3kBlqB,v115@7gB8HeB8DeB8BeB8EeH8AeF8JeZ/IvhFGdBUiBClBf?lBzlBlqB,v115@7gB8HeB8DeB8BeB8EeH8AeF8JeZ/IvhF3bBCdBTiBF?lBukB8qB,v115@7gB8HeB8DeB8BeB8EeH8AeF8JeO/IvhFXbBxcBTiB1?pB0lBCrB
ISJLOTZ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJLOZT,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
ISJZTLO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJZTOL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJZLTO,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ISJZLOT,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ISJZOTL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJZOLT,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJOTLZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOTZL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOLTZ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJOLZT,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
ISJOZTL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOZLT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZTLJO,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISZTLOJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISZTJLO,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISZTJOL,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ISZTOLJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISZTOJL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISZLTJO,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
ISZLTOJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ISZLJTO,X,X,X,O,O,O,X,X,X,X,X,X,O,X,O,X,X
ISZLJOT,O,O,X,O,O,O,X,X,X,X,X,X,O,X,O,X,X
ISZLOTJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ISZLOJT,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
ISZJTLO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISZJTOL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ISZJLTO,X,X,X,O,O,O,X,X,X,X,X,X,O,X,O,X,X
ISZJLOT,O,O,X,O,O,O,X,X,X,X,X,X,O,X,O,X,X
ISZJOTL,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
ISZJOLT,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
ISZOTLJ,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ISZOTJL,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ISZOLTJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISZOLJT,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ISZOJTL,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
ISZOJLT,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
ISOTLJZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
ISOTLZJ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ISOTJLZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
ISOTJZL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ISOTZLJ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ISOTZJL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ISOLTJZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
ISOLTZJ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ISOLJTZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOLJZT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOLZTJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLZJT,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ISOJTLZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOJTZL,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOJLTZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOJLZT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOJZTL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOJZLT,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ISOZTLJ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOZTJL,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOZLTJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZLJT,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ISOZJTL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOZJLT,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZTLJSO,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X
IZTLJOS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
IZTLSJO,X,X,O,X,O,X,O,X,X,X,X,X,O,X,O,X,X
IZTLSOJ,X,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X
IZTLOJS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
IZTLOSJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZTJLSO,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X
IZTJLOS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
IZTJSLO,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
IZTJSOL,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
IZTJOLS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
IZTJOSL,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O
IZTSLJO,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
IZTSLOJ,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZTSJLO,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
IZTSJOL,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
IZTSOLJ,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
IZTSOJL,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
IZTOLJS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O
IZTOLSJ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,O
IZTOJLS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O
IZTOJSL,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,O
IZTOSLJ,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,O
IZTOSJL,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,O
IZLTJSO,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X
IZLTJOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLTSJO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IZLTSOJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IZLTOJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLTOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLJTSO,X,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X
IZLJTOS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IZLJSTO,X,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X
IZLJSOT,X,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X
IZLJOTS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IZLJOST,X,X,X,O,O,X,X,X,X,O,X,X,O,X,O,X,X
IZLSTJO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IZLSTOJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IZLSJTO,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X
IZLSJOT,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X
IZLSOTJ,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
IZLSOJT,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
IZLOTJS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
IZLOTSJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
IZLOJTS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
IZLOJST,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X
IZLOSTJ,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
IZLOSJT,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
IZJTLSO,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X
IZJTLOS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
IZJTSLO,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
IZJTSOL,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZJTOLS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJTOSL,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJLTSO,X,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X
IZJLTOS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IZJLSTO,X,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X
IZJLSOT,X,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X
IZJLOTS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IZJLOST,X,X,X,O,O,X,X,X,X,O,X,X,O,X,O,X,X
IZJSTLO,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IZJSTOL,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
IZJSLTO,X,X,X,O,O,X,X,X,X,X,X,O,O,X,O,X,X
IZJSLOT,O,O,X,O,O,X,X,X,X,X,X,O,O,X,O,X,X
IZJSOTL,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
IZJSOLT,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
IZJOTLS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJOTSL,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJOLTS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X
IZJOLST,X,X,X,O,O,X,X,X,X,O,X,O,O,X,O,X,X
IZJOSTL,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
IZJOSLT,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X
IZSTLJO,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSTLOJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSTJLO,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSTJOL,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSTOLJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSTOJL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSLTJO,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IZSLTOJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IZSLJTO,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X
IZSLJOT,O,O,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X
IZSLOTJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IZSLOJT,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IZSJTLO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSJTOL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSJLTO,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X
IZSJLOT,O,O,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X
IZSJOTL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSJOLT,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSOTLJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSOTJL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSOLTJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSOLJT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSOJTL,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSOJLT,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOTLJS,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,O
IZOTLSJ,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,O,O
IZOTJLS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O
IZOTJSL,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,O
IZOTSLJ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,O
IZOTSJL,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,O
IZOLTJS,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,O
IZOLTSJ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,O
IZOLJTS,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
IZOLJST,X,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,X
IZOLSTJ,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
IZOLSJT,O,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X
IZOJTLS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
IZOJTSL,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O
IZOJLTS,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
IZOJLST,O,X,X,O,O,X,X,X,X,X,O,O,O,X,O,X,X
IZOJSTL,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
IZOJSLT,O,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X
IZOSTLJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IZOSTJL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IZOSLTJ,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IZOSLJT,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
IZOSJTL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOSJLT,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IOTLJSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O
IOTLJZS,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,X
IOTLSJZ,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
IOTLSZJ,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X
IOTLZJS,X,X,X,X,O,X,O,O,X,X,O,X,X,O,X,O,X
IOTLZSJ,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,O,X
IOTJLSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O
IOTJLZS,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,X
IOTJSLZ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
IOTJSZL,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,O,O
IOTJZLS,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,O
IOTJZSL,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O,O
IOTSLJZ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
IOTSLZJ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X
IOTSJLZ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
IOTSJZL,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,O,O
IOTSZLJ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X
IOTSZJL,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O,O
IOTZLJS,X,X,X,X,O,X,O,O,X,X,O,X,X,O,X,O,O
IOTZLSJ,O,X,O,X,O,X,O,O,X,X,O,X,X,X,X,O,O
IOTZJLS,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,O
IOTZJSL,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O,O
IOTZSLJ,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,O,O
IOTZSJL,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O,O
IOLTJSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O
IOLTJZS,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X
IOLTSJZ,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
IOLTSZJ,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X
IOLTZJS,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,O,X
IOLTZSJ,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X
IOLJTSZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOLJTZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOLJSTZ,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
IOLJSZT,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
IOLJZTS,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
IOLJZST,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X
IOLSTJZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOLSTZJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IOLSJTZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLSJZT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLSZJT,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
IOLZTJS,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,O
IOLZTSJ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,O
IOLZJTS,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
IOLZJST,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X
IOLZSTJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
IOLZSJT,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
IOJTLSZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O
IOJTLZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOJTSLZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IOJTSZL,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O
IOJTZLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJTZSL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IOJLTSZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOJLTZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOJLSTZ,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
IOJLSZT,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
IOJLZTS,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
IOJLZST,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X
IOJSTLZ,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOJSTZL,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJSLTZ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X
IOJSLZT,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
IOJSZTL,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOJSZLT,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOJZTLS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
IOJZTSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOJZLTS,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
IOJZLST,O,X,X,X,O,X,X,X,X,O,O,O,O,X,X,X,X
IOJZSTL,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOJZSLT,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
IOSTLJZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IOSTLZJ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IOSTJLZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IOSTJZL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O
IOSTZLJ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IOSTZJL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O
IOSLTJZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOSLTZJ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IOSLJTZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSLJZT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSLZJT,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
IOSJTLZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSJTZL,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSJLTZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSJLZT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSJZTL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSJZLT,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOSZTLJ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOSZTJL,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOSZLTJ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSZLJT,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
IOSZJTL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSZJLT,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IOZTLJS,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,O
IOZTLSJ,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,O,O
IOZTJLS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O
IOZTJSL,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,O
IOZTSLJ,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O,O
IOZTSJL,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O,O
IOZLTJS,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,O
IOZLTSJ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,O
IOZLJTS,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
IOZLJST,X,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,X
IOZLSTJ,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
IOZLSJT,O,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X
IOZJTLS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
IOZJTSL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
IOZJLTS,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
IOZJLST,O,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,X
IOZJSTL,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOZJSLT,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
IOZSTLJ,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O
IOZSTJL,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O
IOZSLTJ,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IOZSLJT,O,O,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X
IOZSJTL,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IOZSJLT,O,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
LTIJSZO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTIJSOZ,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LTIJZSO,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X
LTIJZOS,X,X,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X
LTIJOSZ,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LTIJOZS,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X
LTISJZO,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
