sequence,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jex7IvhFTeB/mBFiBG?oBisB0sB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jex7IvhF0dB6jBThB2?nBFsBXtB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFzcBfjB6jBx?mBUsBFtB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFCdBxiBlmBc?sBToBXtB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFCdBxiBTjBl?mBcsBXtB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFzdB5jB3hBV?sBatBUsB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFCdBxiBXjBl?mBctBTsB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFxdBCjBlmBT?oB0sBfsB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFfiB5jBziB0?mBlnByxB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFzcB5jB1nB0?mB3sBatB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhF6jBziBlmBx?sBfsB0sB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFzcBCjBlmBx?sBctB3sB
TILOSJZ,X,O,O,X,X,O,O,X,X,X,O,O
TILOSZJ,X,O,O,X,X,O,X,X,X,X,O,X
TILOZJS,X,X,X,X,X,O,O,X,O,X,O,O
TILOZSJ,X,X,X,X,X,O,O,X,O,X,O,X
TIJLSZO,O,X,O,O,O,O,O,X,X,X,X,X
TIJLSOZ,O,X,O,X,X,O,O,X,X,X,X,O
TIJLZSO,X,O,X,O,O,X,O,X,O,X,X,X
TIJLZOS,X,O,X,O,O,O,O,X,O,X,X,O
TIJLOSZ,O,X,O,X,X,O,O,X,X,X,O,O
TIJLOZS,X,X,X,O,O,O,O,X,O,X,O,O
TIJSLZO,O,O,O,O,O,O,O,X,X,O,X,X
TIJSLOZ,O,O,O,X,X,O,O,X,X,X,X,X
TIJSZLO,O,O,O,X,X,O,X,X,X,O,X,X
TIJSZOL,O,O,O,X,X,X,X,X,X,O,X,X
TIJSOLZ,O,O,O,X,X,O,X,X,X,X,X,X
TIJSOZL,O,O,O,X,X,X,X,X,X,O,X,X
TIJZLSO,X,O,O,O,O,X,O,X,O,X,X,X
TIJZLOS,X,O,O,O,O,O,O,X,O,X,X,X
TIJZSLO,X,O,O,O,O,X,O,X,O,O,X,X
TIJZSOL,X,X,O,X,O,X,X,X,X,O,X,X
TIJZOLS,X,O,O,O,O,X,O,O,X,X,X,X
TIJZOSL,X,O,O,O,X,X,X,X,X,O,X,X
TIJOLSZ,O,X,O,X,X,O,O,X,X,X,O,X
TIJOLZS,X,O,X,O,O,O,O,X,X,X,O,X
TIJOSLZ,O,O,O,X,X,X,O,X,X,X,O,X
TIJOSZL,O,O,O,X,X,X,X,X,X,X,X,X
TIJOZLS,X,O,O,X,X,X,O,X,X,X,O,X
TIJOZSL,X,O,O,X,X,X,O,X,X,X,X,X
TISLJZO,O,O,O,O,O,O,O,X,X,O,X,X
TISLJOZ,O,O,O,X,X,O,O,X,X,X,X,X
TISLZJO,O,O,O,X,X,O,X,X,X,O,X,X
TISLZOJ,X,O,O,X,X,O,X,X,X,O,X,X
TISLOJZ,O,O,O,X,X,O,X,X,X,X,X,X
TISLOZJ,X,O,O,X,X,O,X,X,X,X,X,X
TISJLZO,O,O,O,O,O,O,O,X,X,O,X,X
TISJLOZ,O,O,O,X,X,O,O,X,X,X,X,X
TISJZLO,O,O,O,X,X,O,X,X,X,O,X,X
TISJZOL,O,O,O,X,X,X,X,X,X,O,X,X
TISJOLZ,O,O,O,X,X,O,X,X,X,X,X,X
TISJOZL,O,O,O,X,X,X,X,X,X,O,X,X
TISZLJO,O,O,O,X,X,O,X,X,X,O,X,X
TISZLOJ,X,O,X,X,X,O,X,X,X,O,X,X
TISZJLO,O,O,O,X,X,O,X,X,X,O,X,X
TISZJOL,O,O,O,X,X,X,X,X,X,O,X,X
TISZOLJ,X,O,O,X,X,X,X,X,X,O,X,X
TISZOJL,X,O,O,X,X,X,X,X,X,O,X,X
TISOLJZ,O,O,O,X,X,O,X,X,X,X,X,X
TISOLZJ,X,O,O,X,X,O,X,X,X,X,X,X
TISOJLZ,O,O,O,X,X,O,X,X,X,X,X,X
TISOJZL,O,O,O,X,X,X,X,X,X,O,X,X
TISOZLJ,X,O,O,X,X,X,X,X,X,O,X,X
TISOZJL,X,O,O,X,X,X,X,X,X,O,X,X
TIZLJSO,X,X,O,O,O,X,O,X,O,X,X,X
TIZLJOS,X,X,O,O,O,O,O,X,O,X,X,X
TIZLSJO,X,X,O,O,O,O,O,X,O,X,X,X
TIZLSOJ,X,X,O,X,O,O,X,X,O,X,X,X
TIZLOJS,X,X,O,O,O,O,O,X,O,X,X,X
TIZLOSJ,X,X,O,O,X,O,X,X,O,X,X,X
TIZJLSO,X,O,O,O,O,X,O,X,O,X,X,X
TIZJLOS,X,O,O,O,O,O,O,X,O,X,X,X
TIZJSLO,X,O,O,O,O,X,O,X,O,O,X,X
TIZJSOL,X,X,O,X,O,X,X,X,X,O,X,X
TIZJOLS,X,O,O,O,O,X,O,O,X,X,X,X
TIZJOSL,X,X,O,O,X,X,X,X,X,O,X,X
TIZSLJO,X,O,O,O,O,O,O,X,O,O,X,X
TIZSLOJ,X,O,O,X,O,O,X,X,O,O,X,X
TIZSJLO,X,O,O,O,O,O,O,X,O,O,X,X
TIZSJOL,X,O,O,X,O,X,X,X,X,O,X,X
TIZSOLJ,X,O,O,X,O,X,X,X,X,O,X,X
TIZSOJL,X,O,O,X,O,X,X,X,X,O,X,X
TIZOLJS,X,X,O,O,O,X,O,O,X,X,X,X
TIZOLSJ,X,X,O,O,X,X,X,O,X,X,X,X
TIZOJLS,X,O,O,O,O,X,O,O,X,X,X,X
TIZOJSL,X,O,O,O,X,X,X,X,X,O,X,X
TIZOSLJ,X,O,O,O,X,X,X,X,X,O,X,X
TIZOSJL,X,O,O,O,X,X,X,X,X,O,X,X
TIOLJSZ,X,X,O,X,X,O,O,X,X,X,O,X
TIOLJZS,X,O,X,O,O,O,O,X,X,X,O,X
TIOLSJZ,X,O,O,X,X,O,O,X,X,X,O,X
TIOLSZJ,X,O,O,X,X,O,X,X,X,X,O,X
TIOLZJS,X,X,X,X,X,O,O,X,X,X,O,X
TIOLZSJ,X,X,X,X,X,O,O,X,X,X,O,X
TIOJLSZ,X,X,O,X,X,O,O,X,X,X,O,X
TIOJLZS,X,O,X,O,O,O,O,X,X,X,O,X
TIOJSLZ,X,O,O,X,X,X,O,X,X,X,O,X
TIOJSZL,X,O,O,X,X,X,X,X,X,X,X,X
TIOJZLS,X,O,O,X,X,X,O,X,X,X,O,X
TIOJZSL,X,O,O,X,X,X,O,X,X,X,X,X
TIOSLJZ,X,O,O,X,X,O,O,X,X,X,O,X
TIOSLZJ,X,O,O,X,X,O,X,X,X,X,O,X
TIOSJLZ,X,O,O,X,X,O,O,X,X,X,O,X
TIOSJZL,X,O,O,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,O,O,X,X,X,X,X,X,X,X,X
TIOSZJL,X,O,O,X,X,X,X,X,X,X,X,X
TIOZLJS,X,X,O,X,X,X,O,X,X,X,O,X
TIOZLSJ,X,X,O,X,X,X,O,X,X,X,O,X
TIOZJLS,X,O,O,X,X,X,O,X,X,X,O,X
TIOZJSL,X,O,O,X,X,X,O,X,X,X,X,X
TIOZSLJ,X,O,O,X,X,X,O,X,X,X,X,X
TIOZSJL,X,O,O,X,X,X,O,X,X,X,X,X
TLIJSZO,O,X,O,O,O,O,O,X,X,X,X,X
TLIJSOZ,O,X,O,X,X,O,O,X,X,X,X,X
TLIJZSO,X,O,X,O,O,X,O,X,O,X,X,X
TLIJZOS,X,O,X,O,O,O,O,X,O,X,X,X
TLIJOSZ,O,X,O,X,X,O,O,X,X,X,X,X
TLIJOZS,X,X,X,O,O,O,O,X,O,X,X,X
TLISJZO,O,O,O,O,O,O,O,X,X,X,X,X
TLISJOZ,O,O,O,X,X,O,O,X,X,X,X,X
TLISZJO,O,O,O,X,X,O,X,X,X,X,X,X
TLISZOJ,X,O,X,X,X,O,X,X,X,X,X,X
TLISOJZ,O,O,O,X,X,O,X,X,X,X,X,X
TLISOZJ,X,O,O,X,X,O,X,X,X,X,X,X
TLIZJSO,X,X,X,O,O,X,O,X,O,X,X,X
TLIZJOS,X,X,X,O,O,O,O,X,O,X,X,X
TLIZSJO,X,X,X,O,O,O,O,X,O,X,X,X
TLIZSOJ,X,X,X,X,O,O,X,X,O,X,X,X
TLIZOJS,X,X,X,O,O,O,O,X,O,X,X,X
TLIZOSJ,X,X,X,O,X,O,X,X,O,X,X,X
TLIOJSZ,X,X,O,X,X,O,O,X,X,X,X,X
TLIOJZS,X,O,X,O,O,O,O,X,O,X,X,X
TLIOSJZ,X,O,O,X,X,O,O,X,X,X,X,X
TLIOSZJ,X,O,O,X,X,O,X,X,X,X,X,X
TLIOZJS,X,X,X,X,X,O,O,X,O,X,X,X
TLIOZSJ,X,X,X,X,X,O,O,X,O,X,X,X
TLJISZO,O,X,O,O,O,O,O,X,X,X,X,X
TLJISOZ,O,X,O,X,X,O,O,X,X,X,X,X
TLJIZSO,X,O,X,O,O,X,O,X,O,X,X,X
TLJIZOS,X,O,X,O,O,O,O,X,O,X,X,X
TLJIOSZ,O,X,O,X,X,O,O,X,X,X,X,X
TLJIOZS,X,X,X,O,O,O,O,X,O,X,X,X
TLJSIZO,O,X,O,O,O,O,O,X,X,X,X,X
TLJSIOZ,O,X,O,X,X,O,O,X,X,X,X,X
TLJSZIO,O,X,O,O,O,O,O,X,X,X,X,X
TLJSZOI,O,X,X,O,O,O,X,X,X,X,X,X
TLJSOIZ,O,X,O,X,X,O,O,X,X,X,X,X
TLJSOZI,O,X,X,X,X,O,O,X,X,X,X,X
TLJZISO,X,O,O,O,O,X,O,X,O,X,X,X
TLJZIOS,X,O,O,O,O,O,O,X,O,X,X,X
TLJZSIO,X,O,O,O,O,X,O,X,O,X,X,X
TLJZSOI,X,O,X,O,O,X,X,X,O,X,X,X
TLJZOIS,X,O,X,O,O,O,O,O,O,X,X,X
TLJZOSI,X,O,X,O,O,O,O,O,O,X,X,X
TLJOISZ,O,X,X,X,X,O,O,X,X,X,X,X
TLJOIZS,X,O,X,O,O,O,O,X,O,X,X,X
TLJOSIZ,O,X,O,X,X,O,O,X,X,X,X,X
TLJOSZI,O,X,X,X,X,O,O,X,X,X,X,X
TLJOZIS,X,O,X,O,O,O,O,X,O,X,X,X
TLJOZSI,X,O,X,O,O,O,O,X,O,X,X,X
TLSIJZO,O,O,O,O,O,O,O,X,X,X,X,X
TLSIJOZ,O,O,O,X,X,O,O,X,X,X,X,X
TLSIZJO,O,O,O,X,X,O,X,X,X,X,X,X
TLSIZOJ,X,O,X,X,X,O,X,X,X,X,X,X
TLSIOJZ,O,O,O,X,X,O,X,X,X,X,X,X
TLSIOZJ,X,O,O,X,X,O,X,X,X,X,X,X
TLSJIZO,O,O,O,O,O,O,O,X,X,X,X,X
TLSJIOZ,O,O,O,X,X,O,O,X,X,X,X,X
TLSJZIO,O,O,O,O,O,O,O,X,X,X,X,X
TLSJZOI,O,O,X,O,O,O,X,X,X,X,X,X
TLSJOIZ,O,O,O,X,X,O,O,X,X,X,X,X
TLSJOZI,O,O,X,X,X,O,O,X,X,X,X,X
TLSZIJO,O,O,O,O,O,O,O,X,X,X,X,X
TLSZIOJ,X,O,X,X,O,O,X,X,X,X,X,X
TLSZJIO,O,O,O,O,O,O,O,X,X,X,X,X
TLSZJOI,O,O,X,O,O,O,X,X,X,X,X,X
TLSZOIJ,X,O,X,O,O,O,X,X,X,X,X,X
TLSZOJI,X,O,X,O,O,O,X,X,X,X,X,X
TLSOIJZ,O,O,O,X,X,O,O,X,X,X,X,X
TLSOIZJ,X,O,X,X,X,O,X,X,X,X,X,X
TLSOJIZ,O,O,O,X,X,O,O,X,X,X,X,X
TLSOJZI,O,O,X,X,X,O,O,X,X,X,X,X
TLSOZIJ,X,O,X,X,X,O,O,X,X,X,X,X
TLSOZJI,X,O,X,X,X,O,O,X,X,X,X,X
TLZIJSO,X,X,O,O,O,X,O,X,O,X,X,X
TLZIJOS,X,X,O,O,O,O,O,X,O,X,X,X
TLZISJO,X,X,O,O,O,O,O,X,O,X,X,X
TLZISOJ,X,X,O,X,O,O,X,X,O,X,X,X
TLZIOJS,X,X,O,O,O,O,O,X,O,X,X,X
TLZIOSJ,X,X,O,O,X,O,X,X,O,X,X,X
TLZJISO,X,X,O,O,O,X,O,X,O,X,X,X
TLZJIOS,X,X,O,O,O,O,O,X,O,X,X,X
TLZJSIO,X,X,O,O,O,X,O,X,O,X,X,X
TLZJSOI,X,X,X,O,O,X,X,X,O,X,X,X
TLZJOIS,X,X,X,O,O,O,O,O,O,X,X,X
TLZJOSI,X,X,X,O,O,O,O,O,O,X,X,X
TLZSIJO,X,X,O,O,O,O,O,X,O,X,X,X
TLZSIOJ,X,X,X,X,O,O,X,X,O,X,X,X
TLZSJIO,X,X,O,O,O,O,O,X,O,X,X,X
TLZSJOI,X,X,X,O,O,O,X,X,O,X,X,X
TLZSOIJ,X,X,X,O,O,O,X,X,O,X,X,X
TLZSOJI,X,X,X,O,O,O,X,X,O,X,X,X
TLZOIJS,X,X,X,O,O,O,O,O,O,X,X,X
TLZOISJ,X,X,X,O,X,O,O,O,O,X,X,X
TLZOJIS,X,X,X,O,O,O,O,O,O,X,X,X
TLZOJSI,X,X,X,O,O,O,O,O,O,X,X,X
TLZOSIJ,X,X,X,O,O,O,O,O,O,X,X,X
TLZOSJI,X,X,X,O,O,O,O,O,O,X,X,X
TLOIJSZ,X,X,X,X,X,O,O,X,X,X,X,X
TLOIJZS,X,O,X,O,O,O,O,X,O,X,X,X
TLOISJZ,X,O,X,X,X,O,O,X,X,X,X,X
TLOISZJ,X,O,X,X,X,O,X,X,X,X,X,X
TLOIZJS,X,X,X,X,X,O,O,X,O,X,X,X
TLOIZSJ,X,X,X,X,X,O,O,X,O,X,X,X
TLOJISZ,X,X,X,X,X,O,O,X,X,X,X,X
TLOJIZS,X,O,X,O,O,O,O,X,O,X,X,X
TLOJSIZ,X,X,O,X,X,O,O,X,X,X,X,X
TLOJSZI,X,X,X,X,X,O,O,X,X,X,X,X
TLOJZIS,X,O,X,O,O,O,O,X,O,X,X,X
TLOJZSI,X,O,X,O,O,O,O,X,O,X,X,X
TLOSIJZ,X,O,O,X,X,O,O,X,X,X,X,X
TLOSIZJ,X,O,X,X,X,O,X,X,X,X,X,X
TLOSJIZ,X,O,O,X,X,O,O,X,X,X,X,X
TLOSJZI,X,O,X,X,X,O,O,X,X,X,X,X
TLOSZIJ,X,O,X,X,X,O,O,X,X,X,X,X
TLOSZJI,X,O,X,X,X,O,O,X,X,X,X,X
TLOZIJS,X,X,X,O,O,O,O,X,O,X,X,X
TLOZISJ,X,X,X,O,X,O,O,X,O,X,X,X
TLOZJIS,X,X,X,O,O,O,O,X,O,X,X,X
TLOZJSI,X,X,X,O,O,O,O,X,O,X,X,X
TLOZSIJ,X,X,X,O,O,O,O,X,O,X,X,X
TLOZSJI,X,X,X,O,O,O,O,X,O,X,X,X
TJILSZO,O,X,O,O,O,O,O,X,X,X,X,X
TJILSOZ,O,X,O,X,X,O,O,X,X,X,X,O
TJILZSO,X,O,X,O,O,X,O,X,O,X,X,X
TJILZOS,X,O,X,O,O,O,O,X,O,X,X,O
TJILOSZ,O,X,O,X,X,O,O,X,X,X,O,O
TJILOZS,X,X,X,O,O,O,O,X,O,X,O,O
TJISLZO,O,O,O,O,O,O,O,X,X,O,X,X
TJISLOZ,O,O,O,X,X,O,O,X,X,X,X,X
TJISZLO,O,O,O,X,X,O,X,X,X,O,X,X
TJISZOL,O,O,O,X,X,X,X,X,X,O,X,X
TJISOLZ,O,O,O,X,X,O,X,X,X,X,X,X
TJISOZL,O,O,O,X,X,X,X,X,X,O,X,X
TJIZLSO,X,O,O,O,O,X,O,X,O,X,X,X
TJIZLOS,X,O,O,O,O,O,O,X,O,X,X,X
TJIZSLO,X,O,O,O,O,X,O,X,O,O,X,X
TJIZSOL,X,X,O,X,O,X,X,X,X,O,X,X
TJIZOLS,X,O,O,O,O,X,O,O,X,X,X,X
TJIZOSL,X,O,O,O,X,X,X,X,X,O,X,X
TJIOLSZ,O,X,O,X,X,O,O,X,X,X,O,X
TJIOLZS,X,O,X,O,O,O,O,X,X,X,O,X
TJIOSLZ,O,O,O,X,X,X,O,X,X,X,O,X
TJIOSZL,O,O,O,X,X,X,X,X,X,X,X,X
TJIOZLS,X,O,O,X,X,X,O,X,X,X,O,X
TJIOZSL,X,O,O,X,X,X,O,X,X,X,X,X
TJLISZO,O,X,O,O,O,O,O,X,X,X,X,X
TJLISOZ,O,X,O,X,X,O,O,X,X,X,X,X
TJLIZSO,X,O,X,O,O,X,O,X,O,X,X,X
TJLIZOS,X,O,X,O,O,O,O,X,O,X,X,X
TJLIOSZ,O,X,O,X,X,O,O,X,X,X,X,X
TJLIOZS,X,X,X,O,O,O,O,X,O,X,X,X
TJLSIZO,O,X,O,O,O,O,O,X,X,X,X,X
TJLSIOZ,O,X,O,X,X,O,O,X,X,X,X,X
TJLSZIO,O,X,O,O,O,O,O,X,X,X,X,X
TJLSZOI,O,X,X,O,O,O,X,X,X,X,X,X
TJLSOIZ,O,X,O,X,X,O,O,X,X,X,X,X
TJLSOZI,O,X,X,X,X,O,O,X,X,X,X,X
TJLZISO,X,O,O,O,O,X,O,X,O,X,X,X
TJLZIOS,X,O,O,O,O,O,O,X,O,X,X,X
TJLZSIO,X,O,O,O,O,X,O,X,O,X,X,X
TJLZSOI,X,O,X,O,O,X,X,X,O,X,X,X
TJLZOIS,X,O,X,O,O,O,O,O,O,X,X,X
TJLZOSI,X,O,X,O,O,O,O,O,O,X,X,X
TJLOISZ,O,X,X,X,X,O,O,X,X,X,X,X
TJLOIZS,X,O,X,O,O,O,O,X,O,X,X,X
TJLOSIZ,O,X,O,X,X,O,O,X,X,X,X,X
TJLOSZI,O,X,X,X,X,O,O,X,X,X,X,X
TJLOZIS,X,O,X,O,O,O,O,X,O,X,X,X
TJLOZSI,X,O,X,O,O,O,O,X,O,X,X,X
TJSILZO,O,O,O,O,O,O,O,X,X,O,X,X
TJSILOZ,O,O,O,X,X,O,O,X,X,X,X,X
TJSIZLO,O,O,O,X,X,O,X,X,X,O,X,X
TJSIZOL,O,O,O,X,X,X,X,X,X,O,X,X
TJSIOLZ,O,O,O,X,X,O,X,X,X,X,X,X
TJSIOZL,O,O,O,X,X,X,X,X,X,O,X,X
TJSLIZO,O,O,O,O,O,O,O,X,X,O,X,X
TJSLIOZ,O,O,O,X,X,O,O,X,X,X,X,X
TJSLZIO,O,O,O,O,O,O,O,X,X,O,X,X
TJSLZOI,O,O,X,O,O,O,X,X,X,O,X,X
TJSLOIZ,O,O,O,X,X,O,O,X,X,X,X,X
TJSLOZI,O,O,X,X,X,O,O,X,X,X,X,X
TJSZILO,O,O,O,O,O,O,O,X,X,O,X,X
TJSZIOL,O,O,O,X,O,X,X,X,X,O,X,X
TJSZLIO,O,O,O,O,O,O,O,X,X,O,X,X
TJSZLOI,O,O,X,O,O,O,X,X,X,O,X,X
TJSZOIL,O,O,X,O,O,X,X,X,X,O,X,X
TJSZOLI,O,O,X,O,O,X,X,O,X,O,X,X
TJSOILZ,O,O,O,X,X,O,O,X,X,X,X,X
TJSOIZL,O,O,O,X,X,X,X,X,X,O,X,X
TJSOLIZ,O,O,O,X,X,O,O,X,X,X,X,X
TJSOLZI,O,O,X,X,X,O,O,X,X,X,X,X
TJSOZIL,O,O,X,X,X,X,O,X,X,O,X,X
TJSOZLI,O,O,X,X,X,X,O,X,X,O,X,X
TJZILSO,X,O,O,O,O,X,O,X,O,X,X,X
TJZILOS,X,O,O,O,O,O,O,X,O,X,X,X
TJZISLO,X,O,O,O,O,X,O,X,O,O,X,X
TJZISOL,X,X,O,X,O,X,X,X,X,O,X,X
TJZIOLS,X,O,O,O,O,X,O,O,X,X,X,X
TJZIOSL,X,O,O,O,X,X,X,X,X,O,X,X
TJZLISO,X,O,O,O,O,X,O,X,X,X,X,X
TJZLIOS,X,O,O,O,O,O,O,X,X,X,X,X
TJZLSIO,X,O,O,O,O,X,O,X,X,X,X,X
TJZLSOI,X,O,X,O,O,X,X,X,X,X,X,X
TJZLOIS,X,O,X,O,O,O,O,O,X,X,X,X
TJZLOSI,X,O,X,O,O,O,O,O,X,X,X,X
TJZSILO,X,O,O,O,O,X,O,X,O,O,X,X
TJZSIOL,X,X,O,X,O,X,X,X,X,O,X,X
TJZSLIO,X,O,O,O,O,X,O,X,X,O,X,X
TJZSLOI,X,O,X,O,O,X,X,X,X,O,X,X
TJZSOIL,X,O,X,O,O,X,X,X,X,O,X,X
TJZSOLI,X,O,X,O,O,X,X,O,X,O,X,X
TJZOILS,X,O,O,O,O,X,O,O,X,X,X,X
TJZOISL,X,O,O,O,X,X,O,X,X,O,X,X
TJZOLIS,X,O,X,O,O,X,O,O,X,X,X,X
TJZOLSI,X,O,X,O,O,X,O,O,X,X,X,X
TJZOSIL,X,O,X,O,O,X,O,X,X,O,X,X
TJZOSLI,X,O,X,O,O,X,O,O,X,O,X,X
TJOILSZ,O,X,O,X,X,O,O,X,X,X,X,X
TJOILZS,X,O,X,O,O,O,O,X,X,X,X,X
TJOISLZ,O,O,O,X,X,X,O,X,X,X,X,X
TJOISZL,O,O,O,X,X,X,X,X,X,X,X,X
TJOIZLS,X,O,X,X,X,X,O,X,X,X,X,X
TJOIZSL,X,O,O,X,X,X,O,X,X,X,X,X
TJOLISZ,O,X,X,X,X,O,O,X,X,X,X,X
TJOLIZS,X,O,X,O,O,O,O,X,X,X,X,X
TJOLSIZ,O,X,O,X,X,O,O,X,X,X,X,X
TJOLSZI,O,X,X,X,X,O,O,X,X,X,X,X
TJOLZIS,X,O,X,O,O,O,O,O,X,X,X,X
TJOLZSI,X,O,X,O,O,O,O,O,X,X,X,X
TJOSILZ,O,O,O,X,X,X,O,X,X,X,X,X
TJOSIZL,O,O,O,X,X,X,X,X,X,X,X,X
TJOSLIZ,O,O,O,X,X,X,O,X,X,X,X,X
TJOSLZI,O,O,X,X,X,X,O,X,X,X,X,X
TJOSZIL,O,O,X,X,X,X,O,X,X,X,X,X
TJOSZLI,O,O,X,X,X,X,O,X,X,X,X,X
TJOZILS,X,O,O,O,O,X,O,O,X,X,X,X
TJOZISL,X,O,O,O,X,X,O,X,X,X,X,X
TJOZLIS,X,O,X,O,O,X,O,O,X,X,X,X
TJOZLSI,X,O,X,O,O,X,O,O,X,X,X,X
TJOZSIL,X,O,X,O,O,X,O,X,X,X,X,X
TJOZSLI,X,O,X,O,O,X,O,O,X,X,X,X
TSILJZO,O,O,O,O,O,O,O,X,X,O,X,X
TSILJOZ,O,O,O,X,X,O,O,X,X,X,X,X
TSILZJO,O,O,O,X,X,O,X,X,X,O,X,X
TSILZOJ,X,O,X,X,X,O,X,X,X,O,X,X
TSILOJZ,O,O,O,X,X,O,X,X,X,X,X,X
TSILOZJ,X,O,O,X,X,O,X,X,X,X,X,X
TSIJLZO,O,O,O,O,O,O,O,X,X,O,X,X
TSIJLOZ,O,O,O,X,X,O,O,X,X,X,X,X
TSIJZLO,O,O,O,X,X,O,X,X,X,O,X,X
TSIJZOL,O,O,O,X,X,X,X,X,X,O,X,X
TSIJOLZ,O,O,O,X,X,O,X,X,X,X,X,X
TSIJOZL,O,O,O,X,X,X,X,X,X,O,X,X
TSIZLJO,O,O,O,X,X,O,X,X,X,O,X,X
TSIZLOJ,X,O,X,X,X,O,X,X,X,O,X,X
TSIZJLO,O,O,O,X,X,O,X,X,X,O,X,X
TSIZJOL,O,O,O,X,X,X,X,X,X,O,X,X
TSIZOLJ,X,O,O,X,X,X,X,X,X,O,X,X
TSIZOJL,X,O,O,X,X,X,X,X,X,O,X,X
TSIOLJZ,O,O,O,X,X,O,X,X,X,X,X,X
TSIOLZJ,X,O,O,X,X,O,X,X,X,X,X,X
TSIOJLZ,O,O,O,X,X,O,X,X,X,X,X,X
TSIOJZL,O,O,O,X,X,X,X,X,X,O,X,X
TSIOZLJ,X,O,O,X,X,X,X,X,X,O,X,X
TSIOZJL,X,O,O,X,X,X,X,X,X,O,X,X
TSLIJZO,O,O,O,O,O,O,O,X,X,O,X,X
TSLIJOZ,O,O,O,X,X,O,O,X,X,X,X,X
TSLIZJO,O,O,O,X,X,O,X,X,X,O,X,X
TSLIZOJ,X,O,X,X,X,O,X,X,X,O,X,X
TSLIOJZ,O,O,O,X,X,O,X,X,X,X,X,X
TSLIOZJ,X,O,O,X,X,O,X,X,X,X,X,X
TSLJIZO,O,O,O,O,O,O,O,X,X,O,X,X
TSLJIOZ,O,O,O,X,X,O,O,X,X,X,X,X
TSLJZIO,O,O,O,O,O,O,O,X,X,O,X,X
TSLJZOI,O,O,X,O,O,O,X,X,X,O,X,X
TSLJOIZ,O,O,O,X,X,O,O,X,X,X,X,X
