sequence,v115@zgC8GeA8IeB8GeF8DeG8AeC8JeWBJvhFxcBTeBUgBy?mBfoBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez7IvhFRdBSjBUgB3?hBmnBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhF6hBxdBUgBT?iBOoBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhFxcBTeBUgBC?iBmnBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez7IvhFWiBxdBUgBX?jBlmBisB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JeC8IvhFxdBUgB/mBO?oBTnBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JeSAJvhFFdBTeBxlBm?nB/mBcsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JeWCJvhFTeBRgB3gB0?iBlmBisB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez8IvhFuiBcjBRgB3?gBlmBisB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez8IvhFCeBRgBOoB3?gBlmBcsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez8IvhFGeBRgBaoB3?gBlmBcsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhFxcBUgBzhBC?jBOoBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhFxcBTeBUgBu?mB1nBisB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhF6hBUgBxiBT?iBOoBFsB
TLISJOZ,O,O,X,O,O,X,X,O,X,X,X,X,O,X
TLISZJO,O,O,X,O,O,X,X,X,O,X,X,X,X,X
TLISZOJ,O,O,X,O,O,X,X,X,O,X,X,X,O,X
TLISOJZ,O,O,X,O,O,X,X,O,X,X,X,X,O,X
TLISOZJ,O,O,X,O,O,X,X,X,O,X,X,X,O,X
TLIZJSO,O,O,X,O,O,X,X,X,O,X,O,X,O,X
TLIZJOS,O,O,X,O,O,X,X,O,O,X,O,X,O,X
TLIZSJO,O,O,X,O,O,X,X,X,O,X,O,X,O,O
TLIZSOJ,O,O,X,O,O,X,X,X,O,X,O,O,O,O
TLIZOJS,O,O,X,X,O,X,X,O,O,X,O,X,O,X
TLIZOSJ,O,O,X,O,O,X,X,X,O,X,O,O,O,X
TLIOJSZ,O,O,X,X,O,X,O,O,X,X,X,X,O,X
TLIOJZS,X,O,X,X,O,X,O,O,O,X,X,X,O,X
TLIOSJZ,O,O,X,O,O,X,X,O,X,X,X,X,O,X
TLIOSZJ,O,O,X,O,O,X,X,X,O,X,X,X,O,X
TLIOZJS,X,O,X,X,X,X,X,O,O,X,X,X,O,X
TLIOZSJ,X,O,X,O,X,X,X,X,O,X,X,O,O,X
TLJISZO,O,O,O,O,O,X,O,X,X,X,X,X,O,X
TLJISOZ,O,O,O,O,O,X,O,O,X,X,X,X,O,X
TLJIZSO,O,O,O,O,O,X,O,X,O,X,O,X,O,X
TLJIZOS,X,O,O,O,O,X,O,O,O,X,O,X,O,X
TLJIOSZ,O,O,O,O,O,X,O,O,X,X,X,X,O,X
TLJIOZS,X,O,O,O,O,X,O,O,O,X,X,X,O,X
TLJSIZO,O,O,O,O,O,X,X,X,X,X,X,X,O,X
TLJSIOZ,O,O,O,O,O,X,X,O,X,X,X,X,O,X
TLJSZIO,O,O,O,O,O,X,X,X,X,X,X,X,O,X
TLJSZOI,O,O,O,O,O,X,X,X,X,X,X,X,O,X
TLJSOIZ,O,O,O,O,O,X,X,O,X,X,X,X,O,X
TLJSOZI,O,O,O,O,O,X,X,X,X,X,X,X,O,X
TLJZISO,O,O,O,O,O,X,X,X,O,X,O,X,O,X
TLJZIOS,O,O,O,O,O,X,X,O,O,X,O,X,O,X
TLJZSIO,O,O,O,O,O,X,X,X,O,X,O,X,O,X
TLJZSOI,O,O,O,O,O,X,X,X,O,X,O,O,O,X
TLJZOIS,O,O,O,O,O,X,X,O,O,X,O,X,O,X
TLJZOSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X
TLJOISZ,O,O,O,O,O,X,O,O,X,X,X,X,O,X
