sequence,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8Je6AJvhFTc?BOiB8iB5jBXmBFsB,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8Je07IvhFlc?BzdB5jB/nBCmBmrB,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8Je07IvhF6h?B2iB5jB3iBzlBFsB,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8Je6AJvhFTc?BmdB5jBXiBVrBcsB,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8Je6AJvhFOi?B8iB5jBThBXmBFsB,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8JeX8IvhFmd?B5jBcmBTiB6lBFsB
TJSIOLZ,O,O,O,O,X,X
TJSIOZL,O,O,O,X,X,O
TJSLIZO,O,O,O,O,X,X
TJSLIOZ,O,O,X,O,X,X
TJSLZIO,O,O,O,O,X,X
TJSLZOI,O,O,X,O,X,X
TJSLOIZ,O,O,X,O,X,X
TJSLOZI,O,O,X,X,X,X
TJSZILO,O,O,O,O,X,X
TJSZIOL,O,O,X,O,X,X
TJSZLIO,O,O,O,O,X,X
TJSZLOI,O,O,X,O,X,X
TJSZOIL,O,O,X,O,X,X
TJSZOLI,O,O,X,O,X,X
TJSOILZ,O,O,O,O,X,X
TJSOIZL,O,O,O,X,X,O
TJSOLIZ,O,O,O,O,X,X
TJSOLZI,O,O,O,X,X,X
TJSOZIL,O,O,O,X,X,O
TJSOZLI,O,O,O,X,X,O
TJZILSO,O,O,O,O,O,X
TJZILOS,O,O,O,O,O,X
TJZISLO,O,O,O,O,O,X
TJZISOL,O,O,X,O,O,O
TJZIOLS,O,X,O,O,O,O
TJZIOSL,O,O,O,O,O,O
TJZLISO,O,O,O,O,O,X
TJZLIOS,O,O,O,O,O,X
TJZLSIO,O,O,O,O,O,X
TJZLSOI,O,O,X,O,O,X
TJZLOIS,O,O,O,O,O,X
TJZLOSI,O,O,X,O,O,X
TJZSILO,O,O,O,O,O,X
TJZSIOL,O,O,X,O,O,O
TJZSLIO,O,O,O,O,O,X
TJZSLOI,O,O,X,O,O,X
TJZSOIL,O,O,X,O,O,O
TJZSOLI,O,O,X,O,O,O
TJZOILS,O,X,O,O,O,O
TJZOISL,O,O,O,O,O,O
TJZOLIS,O,X,O,O,O,O
TJZOLSI,O,X,O,O,O,O
TJZOSIL,O,O,O,O,O,O
TJZOSLI,O,O,O,O,O,O
TJOILSZ,X,X,O,O,X,X
TJOILZS,X,X,O,O,O,O
TJOISLZ,X,X,O,O,X,X
TJOISZL,X,X,O,X,X,O
TJOIZLS,X,X,O,O,O,O
TJOIZSL,X,X,O,O,O,O
TJOLISZ,X,X,O,O,X,X
TJOLIZS,X,X,O,O,O,O
TJOLSIZ,X,X,O,O,X,X
TJOLSZI,X,X,O,X,X,X
TJOLZIS,X,X,O,O,O,O
TJOLZSI,X,X,O,O,O,O
TJOSILZ,X,X,O,O,X,X
TJOSIZL,X,X,O,X,X,O
TJOSLIZ,X,X,O,O,X,X
TJOSLZI,X,X,O,X,X,X
TJOSZIL,X,X,O,X,X,O
TJOSZLI,X,X,O,X,X,O
TJOZILS,X,X,O,O,O,O
TJOZISL,X,X,O,O,O,O
TJOZLIS,X,X,O,O,O,O
TJOZLSI,X,X,O,O,O,O
TJOZSIL,X,X,O,O,O,O
TJOZSLI,X,X,O,O,O,O
TSILJZO,O,O,O,O,X,X
TSILJOZ,O,O,X,O,X,X
TSILZJO,O,O,O,O,O,X
TSILZOJ,O,O,X,O,O,X
TSILOJZ,O,O,X,O,X,X
TSILOZJ,O,O,X,O,O,X
TSIJLZO,O,O,O,O,X,X
TSIJLOZ,O,O,X,O,X,X
TSIJZLO,O,O,O,O,X,X
TSIJZOL,O,O,X,O,X,X
TSIJOLZ,O,O,O,O,X,X
TSIJOZL,O,O,O,X,X,O
TSIZLJO,O,O,O,O,O,X
TSIZLOJ,O,O,X,O,O,O
TSIZJLO,O,O,O,O,O,X
TSIZJOL,O,O,X,O,O,O
TSIZOLJ,O,O,X,O,O,O
TSIZOJL,O,O,X,O,O,O
TSIOLJZ,O,O,O,O,X,X
TSIOLZJ,O,O,O,O,O,X
TSIOJLZ,O,O,O,O,X,X
TSIOJZL,O,O,O,X,X,O
TSIOZLJ,O,O,O,O,O,O
TSIOZJL,O,O,O,O,O,O
TSLIJZO,O,O,O,O,X,X
TSLIJOZ,O,O,X,O,X,X
TSLIZJO,O,O,O,O,O,X
TSLIZOJ,O,O,X,O,O,X
TSLIOJZ,O,O,X,O,X,X
TSLIOZJ,O,O,X,O,O,X
TSLJIZO,O,O,O,O,X,X
TSLJIOZ,O,O,X,O,X,X
TSLJZIO,O,O,O,O,X,X
TSLJZOI,O,O,X,O,X,X
TSLJOIZ,O,O,X,O,X,X
TSLJOZI,O,O,X,X,X,X
TSLZIJO,O,O,O,O,O,X
TSLZIOJ,O,O,X,O,O,X
TSLZJIO,O,O,O,O,O,X
TSLZJOI,O,O,X,O,O,X
TSLZOIJ,O,O,X,O,O,X
TSLZOJI,O,O,X,O,O,X
TSLOIJZ,O,O,X,O,X,X
TSLOIZJ,O,O,X,O,O,X
TSLOJIZ,O,O,X,O,X,X
TSLOJZI,O,O,X,X,X,X
TSLOZIJ,O,O,X,O,O,X
TSLOZJI,O,O,X,O,O,X
TSJILZO,O,O,O,O,X,X
TSJILOZ,O,O,X,O,X,X
TSJIZLO,O,O,O,O,X,X
TSJIZOL,O,O,X,O,X,X
TSJIOLZ,O,O,O,O,X,X
TSJIOZL,O,O,O,X,X,O
TSJLIZO,O,O,O,O,X,X
TSJLIOZ,O,O,X,O,X,X
TSJLZIO,O,O,O,O,X,X
TSJLZOI,O,O,X,O,X,X
TSJLOIZ,O,O,X,O,X,X
TSJLOZI,O,O,X,X,X,X
TSJZILO,O,O,O,O,X,X
TSJZIOL,O,O,X,O,X,X
TSJZLIO,O,O,O,O,X,X
TSJZLOI,O,O,X,O,X,X
TSJZOIL,O,O,X,O,X,X
TSJZOLI,O,O,X,O,X,X
TSJOILZ,O,O,O,O,X,X
TSJOIZL,O,O,O,X,X,O
TSJOLIZ,O,O,O,O,X,X
TSJOLZI,O,O,O,X,X,X
TSJOZIL,O,O,O,X,X,O
TSJOZLI,O,O,O,X,X,O
TSZILJO,O,O,O,O,O,X
TSZILOJ,O,O,X,O,O,O
TSZIJLO,O,O,O,O,O,X
TSZIJOL,O,O,X,O,O,O
TSZIOLJ,O,O,X,O,O,O
TSZIOJL,O,O,X,O,O,O
TSZLIJO,O,O,O,O,O,X
TSZLIOJ,O,O,X,O,O,O
TSZLJIO,O,O,O,O,O,X
TSZLJOI,O,O,X,O,O,X
TSZLOIJ,O,O,X,O,O,O
TSZLOJI,O,O,X,O,O,O
TSZJILO,O,O,O,O,O,X
TSZJIOL,O,O,X,O,O,O
TSZJLIO,O,O,O,O,O,X
TSZJLOI,O,O,X,O,O,X
TSZJOIL,O,O,X,O,O,O
TSZJOLI,O,O,X,O,O,O
TSZOILJ,O,O,X,O,O,O
TSZOIJL,O,O,X,O,O,O
TSZOLIJ,O,O,X,O,O,O
TSZOLJI,O,O,X,O,O,O
TSZOJIL,O,O,X,O,O,O
TSZOJLI,O,O,X,O,O,O
TSOILJZ,O,O,O,O,X,X
TSOILZJ,O,O,O,O,O,X
TSOIJLZ,O,O,O,O,X,X
TSOIJZL,O,O,O,X,X,O
TSOIZLJ,O,O,O,O,O,O
TSOIZJL,O,O,O,O,O,O
TSOLIJZ,O,O,O,O,X,X
TSOLIZJ,O,O,O,O,O,X
TSOLJIZ,O,O,O,O,X,X
TSOLJZI,O,O,O,X,X,X
TSOLZIJ,O,O,O,O,O,X
TSOLZJI,O,O,O,O,O,X
TSOJILZ,O,O,O,O,X,X
TSOJIZL,O,O,O,X,X,O
TSOJLIZ,O,O,O,O,X,X
TSOJLZI,O,O,O,X,X,X
TSOJZIL,O,O,O,X,X,O
TSOJZLI,O,O,O,X,X,O
TSOZILJ,O,O,O,O,O,O
TSOZIJL,O,O,O,O,O,O
TSOZLIJ,O,O,O,O,O,O
TSOZLJI,O,O,O,O,O,O
TSOZJIL,O,O,O,O,O,O
TSOZJLI,O,O,O,O,O,O
TZILJSO,O,O,O,O,O,X
TZILJOS,O,O,O,O,O,X
TZILSJO,O,O,O,O,O,X
TZILSOJ,O,O,X,O,O,O
TZILOJS,O,O,O,O,O,O
TZILOSJ,X,O,X,O,O,O
TZIJLSO,O,O,O,O,O,X
TZIJLOS,O,O,O,O,O,X
TZIJSLO,O,O,O,O,O,X
TZIJSOL,O,O,X,O,O,O
TZIJOLS,O,X,O,O,O,O
TZIJOSL,O,O,O,O,O,O
TZISLJO,O,O,O,O,O,X
TZISLOJ,O,O,X,O,O,O
TZISJLO,O,O,O,O,O,X
TZISJOL,O,O,X,O,O,O
TZISOLJ,O,O,X,O,O,O
TZISOJL,O,O,X,O,O,O
TZIOLJS,O,X,O,O,O,O
TZIOLSJ,X,O,O,O,O,O
TZIOJLS,O,X,O,O,O,O
TZIOJSL,O,O,O,O,O,O
TZIOSLJ,O,O,O,O,O,O
TZIOSJL,O,O,O,O,O,O
TZLIJSO,O,O,O,O,O,X
TZLIJOS,O,O,O,O,O,X
TZLISJO,O,O,O,O,O,X
TZLISOJ,O,O,X,O,O,O
TZLIOJS,O,O,O,O,O,O
TZLIOSJ,X,O,X,O,O,O
TZLJISO,O,O,O,O,O,X
TZLJIOS,O,O,O,O,O,X
TZLJSIO,O,O,O,O,O,X
TZLJSOI,O,O,X,O,O,X
TZLJOIS,O,O,O,O,O,X
TZLJOSI,O,O,X,O,O,X
TZLSIJO,O,O,O,O,O,X
TZLSIOJ,O,O,X,O,O,O
TZLSJIO,O,O,O,O,O,X
TZLSJOI,O,O,X,O,O,X
TZLSOIJ,O,O,X,O,O,O
TZLSOJI,O,O,X,O,O,O
TZLOIJS,O,O,O,O,O,O
TZLOISJ,X,O,X,O,O,O
TZLOJIS,O,O,O,O,O,O
TZLOJSI,O,O,X,O,O,O
TZLOSIJ,X,O,X,O,O,O
TZLOSJI,X,O,X,O,O,O
TZJILSO,O,O,O,O,O,X
TZJILOS,O,O,O,O,O,X
TZJISLO,O,O,O,O,O,X
TZJISOL,O,O,X,O,O,O
TZJIOLS,O,X,O,O,O,O
TZJIOSL,O,O,O,O,O,O
TZJLISO,O,O,O,O,O,X
TZJLIOS,O,O,O,O,O,X
TZJLSIO,O,O,O,O,O,X
TZJLSOI,O,O,X,O,O,X
TZJLOIS,O,O,O,O,O,X
TZJLOSI,O,O,X,O,O,X
TZJSILO,O,O,O,O,O,X
TZJSIOL,O,O,X,O,O,O
TZJSLIO,O,O,O,O,O,X
TZJSLOI,O,O,X,O,O,X
TZJSOIL,O,O,X,O,O,O
TZJSOLI,O,O,X,O,O,O
TZJOILS,O,X,O,O,O,O
TZJOISL,O,O,O,O,O,O
TZJOLIS,O,X,O,O,O,O
TZJOLSI,O,X,O,O,O,O
TZJOSIL,O,O,O,O,O,O
TZJOSLI,O,O,O,O,O,O
TZSILJO,O,O,O,O,O,X
TZSILOJ,O,O,X,O,O,O
TZSIJLO,O,O,O,O,O,X
TZSIJOL,O,O,X,O,O,O
TZSIOLJ,O,O,X,O,O,O
TZSIOJL,O,O,X,O,O,O
TZSLIJO,O,O,O,O,O,X
TZSLIOJ,O,O,X,O,O,O
TZSLJIO,O,O,O,O,O,X
TZSLJOI,O,O,X,O,O,X
TZSLOIJ,O,O,X,O,O,O
TZSLOJI,O,O,X,O,O,O
TZSJILO,O,O,O,O,O,X
TZSJIOL,O,O,X,O,O,O
TZSJLIO,O,O,O,O,O,X
TZSJLOI,O,O,X,O,O,X
TZSJOIL,O,O,X,O,O,O
TZSJOLI,O,O,X,O,O,O
TZSOILJ,O,O,X,O,O,O
TZSOIJL,O,O,X,O,O,O
TZSOLIJ,O,O,X,O,O,O
TZSOLJI,O,O,X,O,O,O
TZSOJIL,O,O,X,O,O,O
TZSOJLI,O,O,X,O,O,O
TZOILJS,O,X,O,O,O,O
TZOILSJ,X,O,O,O,O,O
TZOIJLS,O,X,O,O,O,O
TZOIJSL,O,O,O,O,O,O
TZOISLJ,O,O,O,O,O,O
TZOISJL,O,O,O,O,O,O
TZOLIJS,O,X,O,O,O,O
TZOLISJ,X,O,O,O,O,O
TZOLJIS,O,X,O,O,O,O
TZOLJSI,O,X,O,O,O,O
TZOLSIJ,X,O,O,O,O,O
TZOLSJI,X,O,O,O,O,O
TZOJILS,O,X,O,O,O,O
TZOJISL,O,O,O,O,O,O
TZOJLIS,O,X,O,O,O,O
TZOJLSI,O,X,O,O,O,O
TZOJSIL,O,O,O,O,O,O
TZOJSLI,O,O,O,O,O,O
TZOSILJ,O,O,O,O,O,O
TZOSIJL,O,O,O,O,O,O
TZOSLIJ,O,O,O,O,O,O
TZOSLJI,O,O,O,O,O,O
TZOSJIL,O,O,O,O,O,O
TZOSJLI,O,O,O,O,O,O
TOILJSZ,X,X,O,O,X,X
TOILJZS,X,X,O,O,O,O
TOILSJZ,X,O,O,O,X,X
TOILSZJ,X,O,O,O,O,X
TOILZJS,O,X,O,O,O,O
TOILZSJ,X,O,O,O,O,O
TOIJLSZ,X,X,O,O,X,X
TOIJLZS,X,X,O,O,O,O
TOIJSLZ,X,X,O,O,X,X
TOIJSZL,X,X,O,X,X,O
TOIJZLS,X,X,O,O,O,O
TOIJZSL,X,X,O,O,O,O
TOISLJZ,O,O,O,O,X,X
TOISLZJ,O,O,O,O,O,X
TOISJLZ,O,O,O,O,X,X
TOISJZL,O,O,O,X,X,O
TOISZLJ,O,O,O,O,O,O
TOISZJL,O,O,O,O,O,O
TOIZLJS,O,X,O,O,O,O
TOIZLSJ,X,O,O,O,O,O
TOIZJLS,O,X,O,O,O,O
TOIZJSL,O,X,O,O,O,O
TOIZSLJ,O,O,O,O,O,O
TOIZSJL,O,O,O,O,O,O
TOLIJSZ,X,X,O,O,X,X
TOLIJZS,X,X,O,O,O,O
TOLISJZ,X,O,O,O,X,X
TOLISZJ,X,O,O,O,O,X
TOLIZJS,O,X,O,O,O,O
TOLIZSJ,X,O,O,O,O,O
TOLJISZ,X,X,O,O,X,X
TOLJIZS,X,X,O,O,O,O
TOLJSIZ,X,X,O,O,X,X
TOLJSZI,X,X,O,X,X,X
TOLJZIS,X,X,O,O,O,O
TOLJZSI,X,X,O,O,O,O
TOLSIJZ,X,O,O,O,X,X
TOLSIZJ,X,O,O,O,O,X
TOLSJIZ,X,O,O,O,X,X
TOLSJZI,X,O,O,X,X,X
TOLSZIJ,X,O,O,O,O,X
TOLSZJI,X,O,O,O,O,X
TOLZIJS,O,X,O,O,O,O
TOLZISJ,X,O,O,O,O,O
TOLZJIS,O,X,O,O,O,O
TOLZJSI,O,X,O,O,O,O
TOLZSIJ,X,O,O,O,O,O
TOLZSJI,X,O,O,O,O,O
TOJILSZ,X,X,O,O,X,X
TOJILZS,X,X,O,O,O,O
TOJISLZ,X,X,O,O,X,X
TOJISZL,X,X,O,X,X,O
TOJIZLS,X,X,O,O,O,O
TOJIZSL,X,X,O,O,O,O
TOJLISZ,X,X,O,O,X,X
TOJLIZS,X,X,O,O,O,O
TOJLSIZ,X,X,O,O,X,X
TOJLSZI,X,X,O,X,X,X
TOJLZIS,X,X,O,O,O,O
