sequence,v115@zgB8HeB8HeD8FeD8CeH8CeB8JeT7IvhFZhBuhB1iB6?jB8rB3sB,v115@zgB8HeB8HeD8FeD8CeH8CeB8JeT7IvhFZhBfjB6jBV?nBUsBurB,v115@zgB8HeB8HeD8FeD8CeH8CeB8Jex7IvhFXdB6jBmgBz?iBlrBUsB,v115@zgB8HeB8HeD8FeD8CeH8CeB8Jei7IvhFzdB+jBRhB/?rBFnBUsB,v115@zgB8HeB8HeD8FeD8CeH8CeB8JeT7IvhFZhBfjB6jBu?mBUiBVxB,v115@zgB8HeB8HeD8FeD8CeH8CeB8Je2AJvhFRcBCeBTjB/?rBFnBUsB,v115@zgB8HeB8HeD8FeD8CeH8CeB8JeT7IvhFxdBihBGjB0?hBlrB3sB
TLJIZSO,X,X,O,X,X,X,X
TLJIZOS,X,X,O,X,X,X,O
TLJIOSZ,X,X,O,O,X,X,O
TLJIOZS,X,X,O,X,X,X,O
TLJSIZO,X,X,O,O,X,X,O
TLJSIOZ,X,X,O,O,X,X,O
TLJSZIO,X,X,O,O,X,X,O
TLJSZOI,X,X,O,O,X,X,O
TLJSOIZ,X,X,O,O,X,X,O
TLJSOZI,X,X,O,O,X,X,O
TLJZISO,X,X,O,X,X,X,X
TLJZIOS,X,X,O,X,X,X,O
TLJZSIO,X,X,O,O,X,X,X
TLJZSOI,X,X,O,O,X,X,X
TLJZOIS,X,X,O,X,X,X,O
TLJZOSI,X,X,O,O,X,X,O
TLJOISZ,X,X,O,O,X,X,O
TLJOIZS,X,X,O,X,X,X,O
TLJOSIZ,X,X,O,O,X,X,O
TLJOSZI,X,X,O,O,X,X,O
TLJOZIS,X,X,O,X,X,X,O
TLJOZSI,X,X,O,O,X,X,O
TLSIJZO,X,X,X,O,O,X,O
TLSIJOZ,X,X,X,O,O,X,O
TLSIZJO,X,O,X,O,O,X,X
TLSIZOJ,X,O,X,X,O,X,X
TLSIOJZ,X,X,X,O,O,X,O
TLSIOZJ,X,O,X,X,O,X,X
TLSJIZO,X,X,O,O,X,X,O
TLSJIOZ,X,X,O,O,X,X,O
TLSJZIO,X,X,O,O,X,X,O
TLSJZOI,X,X,O,O,X,X,O
TLSJOIZ,X,X,O,O,X,X,O
TLSJOZI,X,X,O,O,X,X,O
TLSZIJO,X,O,O,O,X,X,X
TLSZIOJ,X,O,O,X,X,X,X
TLSZJIO,X,O,O,O,X,X,O
TLSZJOI,X,O,O,O,X,X,O
TLSZOIJ,X,O,O,X,X,X,X
TLSZOJI,X,O,O,X,X,X,O
TLSOIJZ,X,X,O,O,O,X,O
TLSOIZJ,X,O,O,X,O,X,X
TLSOJIZ,X,X,O,O,X,X,O
TLSOJZI,X,X,O,O,X,X,O
TLSOZIJ,X,O,O,X,X,X,X
TLSOZJI,X,O,O,X,X,X,O
TLZIJSO,O,X,O,X,X,X,X
TLZIJOS,O,X,O,X,X,X,X
TLZISJO,O,O,O,X,X,X,X
TLZISOJ,O,O,O,X,X,X,X
TLZIOJS,O,X,X,X,X,X,X
TLZIOSJ,O,O,X,X,X,X,X
TLZJISO,O,X,O,X,X,X,X
TLZJIOS,O,X,O,X,X,X,O
TLZJSIO,O,X,O,O,X,X,X
TLZJSOI,O,X,O,O,X,X,X
TLZJOIS,O,X,O,X,X,X,O
TLZJOSI,O,X,O,O,X,X,O
TLZSIJO,O,O,O,O,X,X,X
TLZSIOJ,O,O,O,X,X,X,X
TLZSJIO,O,O,O,O,X,X,O
TLZSJOI,O,O,O,O,X,X,O
TLZSOIJ,O,O,O,X,X,X,X
TLZSOJI,O,O,O,X,X,X,O
TLZOIJS,O,X,O,X,X,X,X
TLZOISJ,O,O,O,X,X,X,X
TLZOJIS,O,X,O,X,X,X,O
TLZOJSI,O,X,O,X,X,X,O
TLZOSIJ,O,O,O,X,X,X,X
TLZOSJI,O,O,O,X,X,X,O
TLOIJSZ,X,X,O,X,O,X,O
TLOIJZS,X,X,O,X,O,X,O
TLOISJZ,X,X,O,X,O,X,O
TLOISZJ,X,O,O,X,O,X,X
TLOIZJS,O,X,X,X,O,X,X
TLOIZSJ,O,O,X,X,O,X,X
TLOJISZ,X,X,O,O,X,X,O
TLOJIZS,X,X,O,X,X,X,O
TLOJSIZ,X,X,O,O,X,X,O
TLOJSZI,X,X,O,O,X,X,O
TLOJZIS,X,X,O,X,X,X,O
TLOJZSI,X,X,O,O,X,X,O
TLOSIJZ,X,X,O,O,O,X,O
TLOSIZJ,X,O,O,X,O,X,X
TLOSJIZ,X,X,O,O,X,X,O
TLOSJZI,X,X,O,O,X,X,O
TLOSZIJ,X,O,O,X,X,X,X
TLOSZJI,X,O,O,X,X,X,O
TLOZIJS,O,X,X,X,X,X,X
TLOZISJ,O,O,X,X,X,X,X
TLOZJIS,O,X,O,X,X,X,O
TLOZJSI,O,X,O,X,X,X,O
TLOZSIJ,O,O,O,X,X,X,X
TLOZSJI,O,O,O,X,X,X,O
TJILSZO,X,X,O,O,X,X,O
TJILSOZ,X,X,O,O,X,X,O
TJILZSO,X,X,O,X,X,X,X
TJILZOS,X,X,O,X,X,X,O
TJILOSZ,X,X,O,O,X,X,O
TJILOZS,X,X,O,X,X,X,O
TJISLZO,X,X,O,X,X,O,O
TJISLOZ,X,X,O,X,X,O,O
TJISZLO,X,X,O,X,X,O,O
TJISZOL,X,X,O,X,X,O,O
TJISOLZ,X,X,O,X,X,O,O
TJISOZL,X,X,O,X,X,O,O
TJIZLSO,X,X,O,X,X,X,X
TJIZLOS,X,X,O,X,X,X,O
TJIZSLO,X,X,O,X,X,X,O
TJIZSOL,X,X,O,X,X,X,O
TJIZOLS,X,X,O,X,X,X,O
TJIZOSL,X,X,O,X,X,X,O
TJIOLSZ,X,X,O,O,X,O,O
TJIOLZS,X,X,O,X,X,X,O
TJIOSLZ,X,X,O,X,X,X,O
TJIOSZL,X,X,O,X,X,X,O
TJIOZLS,X,X,O,X,X,X,O
TJIOZSL,X,X,O,X,X,X,O
TJLISZO,X,X,O,O,X,X,O
TJLISOZ,X,X,O,O,X,X,O
TJLIZSO,X,X,O,X,X,X,X
TJLIZOS,X,X,O,X,X,X,O
TJLIOSZ,X,X,O,O,X,X,O
TJLIOZS,X,X,O,X,X,X,O
TJLSIZO,X,X,O,O,X,X,O
TJLSIOZ,X,X,O,O,X,X,O
TJLSZIO,X,X,O,O,X,X,O
TJLSZOI,X,X,O,O,X,X,O
TJLSOIZ,X,X,O,O,X,X,O
TJLSOZI,X,X,O,O,X,X,O
TJLZISO,X,X,O,X,X,X,X
TJLZIOS,X,X,O,X,X,X,O
TJLZSIO,X,X,O,O,X,X,X
TJLZSOI,X,X,O,O,X,X,X
TJLZOIS,X,X,O,X,X,X,O
TJLZOSI,X,X,O,O,X,X,O
TJLOISZ,X,X,O,O,X,X,O
TJLOIZS,X,X,O,X,X,X,O
TJLOSIZ,X,X,O,O,X,X,O
TJLOSZI,X,X,O,O,X,X,O
TJLOZIS,X,X,O,X,X,X,O
TJLOZSI,X,X,O,O,X,X,O
TJSILZO,X,X,O,O,X,O,O
TJSILOZ,X,X,O,O,X,O,O
TJSIZLO,X,X,O,O,X,O,O
TJSIZOL,X,X,O,O,X,O,O
TJSIOLZ,X,X,O,O,X,O,O
TJSIOZL,X,X,O,O,X,O,O
TJSLIZO,X,X,O,O,X,O,O
TJSLIOZ,X,X,O,O,X,O,O
TJSLZIO,X,X,O,O,X,O,O
TJSLZOI,X,X,O,O,X,X,O
TJSLOIZ,X,X,O,O,X,O,O
TJSLOZI,X,X,O,O,X,O,O
TJSZILO,X,X,O,O,X,O,O
TJSZIOL,X,X,O,O,X,O,O
TJSZLIO,X,X,O,O,X,O,O
TJSZLOI,X,X,O,O,X,X,O
TJSZOIL,X,X,O,O,X,O,O
TJSZOLI,X,X,O,O,X,O,O
TJSOILZ,X,X,O,O,X,O,O
TJSOIZL,X,X,O,O,X,O,O
TJSOLIZ,X,X,O,O,X,O,O
TJSOLZI,X,X,O,O,X,O,O
TJSOZIL,X,X,O,O,X,O,O
TJSOZLI,X,X,O,O,X,O,O
TJZILSO,X,X,O,X,X,X,X
TJZILOS,X,X,O,X,X,X,O
TJZISLO,X,X,O,X,X,X,O
TJZISOL,X,X,O,X,X,X,O
TJZIOLS,X,X,O,X,X,X,O
TJZIOSL,X,X,O,X,X,X,O
TJZLISO,X,X,O,X,X,X,X
TJZLIOS,X,X,O,X,X,X,O
TJZLSIO,X,X,O,O,X,X,X
TJZLSOI,X,X,O,O,X,X,X
TJZLOIS,X,X,O,X,X,X,O
TJZLOSI,X,X,O,O,X,X,O
TJZSILO,X,X,O,X,X,X,O
TJZSIOL,X,X,O,X,X,X,O
TJZSLIO,X,X,O,X,X,X,O
TJZSLOI,X,X,O,X,X,X,O
TJZSOIL,X,X,O,X,X,X,O
TJZSOLI,X,X,O,X,X,X,O
TJZOILS,X,X,O,X,X,X,O
TJZOISL,X,X,O,X,X,X,O
TJZOLIS,X,X,O,X,X,X,O
TJZOLSI,X,X,O,O,X,X,O
TJZOSIL,X,X,O,X,X,X,O
TJZOSLI,X,X,O,X,X,X,O
TJOILSZ,X,X,O,O,X,O,O
TJOILZS,X,X,O,X,X,X,O
TJOISLZ,X,X,O,X,X,X,O
TJOISZL,X,X,O,X,X,X,O
TJOIZLS,X,X,O,X,X,X,O
TJOIZSL,X,X,O,X,X,X,O
TJOLISZ,X,X,O,O,X,O,O
TJOLIZS,X,X,O,X,X,X,O
TJOLSIZ,X,X,O,O,X,O,O
TJOLSZI,X,X,O,O,X,O,O
TJOLZIS,X,X,O,X,X,X,O
TJOLZSI,X,X,O,O,X,X,O
TJOSILZ,X,X,O,O,X,O,O
TJOSIZL,X,X,O,O,X,O,O
TJOSLIZ,X,X,O,O,X,O,O
TJOSLZI,X,X,O,O,X,O,O
TJOSZIL,X,X,O,O,X,O,O
TJOSZLI,X,X,O,O,X,O,O
TJOZILS,X,X,O,X,X,X,O
TJOZISL,X,X,O,X,X,X,O
TJOZLIS,X,X,O,X,X,X,O
TJOZLSI,X,X,O,O,X,X,O
TJOZSIL,X,X,O,X,X,X,O
TJOZSLI,X,X,O,X,X,X,O
TSILJZO,X,X,X,O,O,O,O
TSILJOZ,X,X,X,O,O,O,O
TSILZJO,X,O,X,O,O,X,X
TSILZOJ,X,O,X,X,O,X,X
TSILOJZ,X,X,X,O,O,X,O
TSILOZJ,X,O,X,X,O,X,X
TSIJLZO,X,X,X,O,O,O,O
TSIJLOZ,X,X,X,O,O,O,O
TSIJZLO,X,X,X,O,O,O,O
TSIJZOL,X,X,X,O,O,O,O
TSIJOLZ,X,X,X,O,O,O,O
TSIJOZL,X,X,X,O,O,O,O
TSIZLJO,X,O,X,O,O,X,X
TSIZLOJ,X,O,X,X,O,X,X
TSIZJLO,X,O,X,O,O,X,X
TSIZJOL,X,O,X,O,O,X,X
TSIZOLJ,X,O,X,X,O,X,X
TSIZOJL,X,O,X,X,O,X,X
TSIOLJZ,X,X,X,O,O,O,O
TSIOLZJ,X,O,X,X,O,X,X
TSIOJLZ,X,X,X,O,O,O,O
TSIOJZL,X,X,X,O,O,O,O
TSIOZLJ,X,O,X,X,O,O,X
TSIOZJL,X,O,X,X,O,O,X
TSLIJZO,X,X,X,O,O,O,O
TSLIJOZ,X,X,X,O,O,O,O
TSLIZJO,X,O,X,O,O,X,X
TSLIZOJ,X,O,X,X,O,X,X
TSLIOJZ,X,X,X,O,O,X,O
TSLIOZJ,X,O,X,X,O,X,X
TSLJIZO,X,X,O,O,X,O,O
TSLJIOZ,X,X,O,O,X,O,O
TSLJZIO,X,X,O,O,X,O,O
TSLJZOI,X,X,O,O,X,X,O
TSLJOIZ,X,X,O,O,X,O,O
TSLJOZI,X,X,O,O,X,O,O
TSLZIJO,X,O,O,O,X,X,X
TSLZIOJ,X,O,O,X,X,X,X
TSLZJIO,X,O,O,O,X,O,O
TSLZJOI,X,O,O,O,X,X,O
TSLZOIJ,X,O,O,X,X,X,X
TSLZOJI,X,O,O,X,X,X,O
TSLOIJZ,X,X,O,O,O,O,O
TSLOIZJ,X,O,O,X,O,X,X
TSLOJIZ,X,X,O,O,X,O,O
TSLOJZI,X,X,O,O,X,O,O
TSLOZIJ,X,O,O,X,X,O,X
TSLOZJI,X,O,O,X,X,O,O
TSJILZO,X,X,O,O,X,O,O
TSJILOZ,X,X,O,O,X,O,O
TSJIZLO,X,X,O,O,X,O,O
TSJIZOL,X,X,O,O,X,O,O
TSJIOLZ,X,X,O,O,X,O,O
TSJIOZL,X,X,O,O,X,O,O
TSJLIZO,X,X,O,O,X,O,O
TSJLIOZ,X,X,O,O,X,O,O
TSJLZIO,X,X,O,O,X,O,O
TSJLZOI,X,X,O,O,X,X,O
TSJLOIZ,X,X,O,O,X,O,O
TSJLOZI,X,X,O,O,X,O,O
TSJZILO,X,X,O,O,X,O,O
TSJZIOL,X,X,O,O,X,O,O
TSJZLIO,X,X,O,O,X,O,O
TSJZLOI,X,X,O,O,X,X,O
TSJZOIL,X,X,O,O,X,O,O
TSJZOLI,X,X,O,O,X,O,O
TSJOILZ,X,X,O,O,X,O,O
TSJOIZL,X,X,O,O,X,O,O
TSJOLIZ,X,X,O,O,X,O,O
TSJOLZI,X,X,O,O,X,O,O
TSJOZIL,X,X,O,O,X,O,O
TSJOZLI,X,X,O,O,X,O,O
TSZILJO,X,O,O,O,X,X,X
TSZILOJ,X,O,O,X,X,X,X
TSZIJLO,X,O,O,O,X,X,X
TSZIJOL,X,O,O,O,X,X,X
TSZIOLJ,X,O,O,X,X,X,X
TSZIOJL,X,O,O,X,X,X,X
TSZLIJO,X,O,O,O,X,X,X
TSZLIOJ,X,O,O,X,X,X,X
TSZLJIO,X,O,O,O,X,O,O
TSZLJOI,X,O,O,O,X,X,O
TSZLOIJ,X,O,O,X,X,X,X
TSZLOJI,X,O,O,X,X,X,O
TSZJILO,X,O,O,O,X,O,O
TSZJIOL,X,O,O,O,X,O,O
TSZJLIO,X,O,O,O,X,O,O
TSZJLOI,X,O,O,O,X,X,O
TSZJOIL,X,O,O,O,X,O,O
TSZJOLI,X,O,O,O,X,O,O
TSZOILJ,X,O,O,X,X,O,X
TSZOIJL,X,O,O,X,X,O,X
TSZOLIJ,X,O,O,X,X,O,X
TSZOLJI,X,O,O,X,X,O,O
TSZOJIL,X,O,O,X,X,O,O
TSZOJLI,X,O,O,X,X,O,O
TSOILJZ,X,X,O,O,O,O,O
TSOILZJ,X,O,O,X,O,X,X
TSOIJLZ,X,X,O,O,O,O,O
TSOIJZL,X,X,O,O,O,O,O
TSOIZLJ,X,O,O,X,O,O,X
TSOIZJL,X,O,X,X,O,O,X
TSOLIJZ,X,X,O,O,O,O,O
TSOLIZJ,X,O,O,X,O,X,X
TSOLJIZ,X,X,O,O,X,O,O
TSOLJZI,X,X,O,O,X,O,O
TSOLZIJ,X,O,O,X,X,O,X
TSOLZJI,X,O,O,X,X,O,O
TSOJILZ,X,X,O,O,X,O,O
TSOJIZL,X,X,O,O,X,O,O
TSOJLIZ,X,X,O,O,X,O,O
TSOJLZI,X,X,O,O,X,O,O
TSOJZIL,X,X,O,O,X,O,O
TSOJZLI,X,X,O,O,X,O,O
TSOZILJ,X,O,O,X,X,O,X
TSOZIJL,X,O,X,X,X,O,X
TSOZLIJ,X,O,O,X,X,O,X
TSOZLJI,X,O,O,X,X,O,O
TSOZJIL,X,O,O,X,X,O,O
TSOZJLI,X,O,O,X,X,O,O
TZILJSO,O,X,O,X,X,X,X
TZILJOS,O,X,O,X,X,X,X
TZILSJO,O,O,O,X,X,X,X
TZILSOJ,O,O,O,X,X,X,X
TZILOJS,O,X,X,X,X,X,X
TZILOSJ,O,O,X,X,X,X,X
TZIJLSO,O,X,O,X,X,X,X
TZIJLOS,O,X,O,X,X,X,X
TZIJSLO,O,O,O,X,X,X,X
TZIJSOL,O,O,O,X,X,X,X
TZIJOLS,O,X,O,X,X,X,X
TZIJOSL,O,O,O,X,X,X,X
TZISLJO,O,O,O,X,X,X,X
TZISLOJ,O,O,O,X,X,X,X
TZISJLO,O,O,O,X,X,X,X
TZISJOL,O,O,O,X,X,X,X
TZISOLJ,O,O,O,X,X,X,X
TZISOJL,O,O,O,X,X,X,X
TZIOLJS,O,X,O,X,X,X,X
TZIOLSJ,O,O,O,X,X,X,X
TZIOJLS,O,X,O,X,X,X,X
TZIOJSL,O,O,O,X,X,X,X
TZIOSLJ,O,O,O,X,X,X,X
TZIOSJL,O,O,O,X,X,X,X
TZLIJSO,O,X,O,X,X,X,X
TZLIJOS,O,X,O,X,X,X,X
TZLISJO,O,O,O,X,X,X,X
TZLISOJ,O,O,O,X,X,X,X
TZLIOJS,O,X,X,X,X,X,X
TZLIOSJ,O,O,X,X,X,X,X
TZLJISO,O,X,O,X,X,X,X
TZLJIOS,O,X,O,X,X,X,O
TZLJSIO,O,X,O,O,X,X,X
TZLJSOI,O,X,O,O,X,X,X
TZLJOIS,O,X,O,X,X,X,O
TZLJOSI,O,X,O,O,X,X,O
TZLSIJO,O,O,O,O,X,X,X
TZLSIOJ,O,O,O,X,X,X,X
TZLSJIO,O,O,O,O,X,X,O
TZLSJOI,O,O,O,O,X,X,O
TZLSOIJ,O,O,O,X,X,X,X
TZLSOJI,O,O,O,X,X,X,O
TZLOIJS,O,X,O,X,X,X,X
TZLOISJ,O,O,O,X,X,X,X
TZLOJIS,O,X,O,X,X,X,O
TZLOJSI,O,X,O,X,X,X,O
TZLOSIJ,O,O,O,X,X,X,X
TZLOSJI,O,O,O,X,X,X,O
TZJILSO,O,X,O,X,X,X,X
TZJILOS,O,X,O,X,X,X,O
TZJISLO,O,O,O,X,X,X,O
TZJISOL,O,O,O,X,X,X,O
TZJIOLS,O,X,O,X,X,X,O
TZJIOSL,O,O,O,X,X,X,O
TZJLISO,O,X,O,X,X,X,X
TZJLIOS,O,X,O,X,X,X,O
TZJLSIO,O,X,O,O,X,X,X
TZJLSOI,O,X,O,O,X,X,X
TZJLOIS,O,X,O,X,X,X,O
TZJLOSI,O,X,O,O,X,X,O
TZJSILO,O,O,O,X,X,X,O
TZJSIOL,O,O,O,X,X,X,O
TZJSLIO,O,O,O,X,X,X,O
TZJSLOI,O,O,O,X,X,X,O
TZJSOIL,O,O,O,X,X,X,O
TZJSOLI,O,O,O,X,X,X,O
TZJOILS,O,X,O,X,X,X,O
TZJOISL,O,O,O,X,X,X,O
TZJOLIS,O,X,O,X,X,X,O
TZJOLSI,O,X,O,O,X,X,O
TZJOSIL,O,O,O,X,X,X,O
TZJOSLI,O,O,O,X,X,X,O
TZSILJO,O,O,O,X,X,X,X
TZSILOJ,O,O,O,X,X,X,X
TZSIJLO,O,O,O,X,X,X,X
TZSIJOL,O,O,O,X,X,X,X
TZSIOLJ,O,O,O,X,X,X,X
TZSIOJL,O,O,O,X,X,X,X
TZSLIJO,O,O,O,X,X,X,X
TZSLIOJ,O,O,O,X,X,X,X
TZSLJIO,O,O,O,X,X,X,O
TZSLJOI,O,O,O,X,X,X,O
TZSLOIJ,O,O,O,X,X,X,X
TZSLOJI,O,O,O,X,X,X,O
TZSJILO,O,O,O,X,X,X,O
TZSJIOL,O,O,O,X,X,X,O
TZSJLIO,O,O,O,X,X,X,O
TZSJLOI,O,O,O,X,X,X,O
TZSJOIL,O,O,O,X,X,X,O
TZSJOLI,O,O,O,X,X,X,O
TZSOILJ,O,O,O,X,X,X,X
TZSOIJL,O,O,O,X,X,X,X
TZSOLIJ,O,O,O,X,X,X,X
TZSOLJI,O,O,O,X,X,X,O
TZSOJIL,O,O,O,X,X,X,O
TZSOJLI,O,O,O,X,X,X,O
TZOILJS,O,X,O,X,X,X,X
TZOILSJ,O,O,O,X,X,X,X
TZOIJLS,O,X,O,X,X,X,X
TZOIJSL,O,O,O,X,X,X,X
TZOISLJ,O,O,O,X,X,X,X
TZOISJL,O,O,O,X,X,X,X
TZOLIJS,O,X,O,X,X,X,X
TZOLISJ,O,O,O,X,X,X,X
TZOLJIS,O,X,O,X,X,X,O
TZOLJSI,O,X,O,X,X,X,O
TZOLSIJ,O,O,O,X,X,X,X
TZOLSJI,O,O,O,X,X,X,O
TZOJILS,O,X,O,X,X,X,O
TZOJISL,O,O,O,X,X,X,O
TZOJLIS,O,X,O,X,X,X,O
TZOJLSI,O,X,O,X,X,X,O
TZOJSIL,O,O,O,X,X,X,O
TZOJSLI,O,O,O,X,X,X,O
TZOSILJ,O,O,O,X,X,X,X
TZOSIJL,O,O,O,X,X,X,X
TZOSLIJ,O,O,O,X,X,X,X
TZOSLJI,O,O,O,X,X,X,O
TZOSJIL,O,O,O,X,X,X,O
