sequence,v115@8gA8IeA8EeC8AeB8CeI8AeF8Jem6IvhFNhBUdBajBT?fBXlB5lB,v115@8gA8IeA8EeC8AeB8CeI8AeF8JeO/IvhFXbBNhBUdBa?jB5lBzpB,v115@8gA8IeA8EeC8AeB8CeI8AeF8JeT6IvhFxbBXdBdjBm?gB0kB6qB,v115@8gA8IeA8EeC8AeB8CeI8AeF8Jex6IvhFNhBUdBajB/?kBTlBGqB,v115@8gA8IeA8EeC8AeB8CeI8AeF8Je06IvhFNhBRdB/kBm?iBTlB6qB,v115@8gA8IeA8EeC8AeB8CeI8AeF8JeT6IvhFKgBOhBXdBd?jB0kB5lB,v115@8gA8IeA8EeC8AeB8CeI8AeF8JeT6IvhFNhBRdB/lBm?iB0kB6qB,v115@8gA8IeA8EeC8AeB8CeI8AeF8JeNBJvhFUdBajBxkB/?kBTlBGqB,v115@8gA8IeA8EeC8AeB8CeI8AeF8JeN/IvhFUdBajBxgBu?kBzgB/qB
TIZOLSJ,O,O,O,O,X,O,X,O,O
TIZOJLS,X,O,O,X,X,O,O,X,X
TIZOJSL,X,O,O,X,X,O,O,X,X
TIZOSLJ,O,O,O,O,X,O,X,X,X
TIZOSJL,O,O,O,O,X,O,O,X,X
TIOLJSZ,X,O,X,X,X,X,X,O,X
TIOLJZS,X,O,X,X,X,X,X,O,X
TIOLSJZ,O,O,X,O,X,X,X,O,X
TIOLSZJ,O,O,X,O,X,X,X,O,X
TIOLZJS,X,O,X,X,X,X,X,O,O
TIOLZSJ,O,O,X,O,X,X,X,O,O
TIOJLSZ,X,O,X,X,O,X,X,X,X
TIOJLZS,X,O,X,X,X,X,X,X,X
TIOJSLZ,X,O,X,X,O,X,X,X,X
TIOJSZL,X,O,X,X,O,X,X,X,X
TIOJZLS,X,O,X,X,X,X,X,X,X
TIOJZSL,X,O,X,X,O,X,X,X,X
TIOSLJZ,O,O,X,O,X,X,X,X,X
TIOSLZJ,O,O,X,O,X,X,X,X,X
TIOSJLZ,O,O,X,O,O,X,X,X,X
TIOSJZL,O,O,X,O,O,X,X,X,X
TIOSZLJ,O,O,X,O,X,X,X,X,X
TIOSZJL,O,O,X,O,O,X,X,X,X
TIOZLJS,X,O,X,X,X,X,X,O,O
TIOZLSJ,O,O,X,O,X,X,X,O,O
TIOZJLS,X,O,X,X,X,X,X,X,X
TIOZJSL,X,O,X,X,X,X,X,X,X
TIOZSLJ,O,O,X,O,X,X,X,X,X
TIOZSJL,O,O,X,O,X,X,X,X,X
TLIJSZO,X,O,O,X,X,X,X,O,X
TLIJSOZ,X,O,O,X,X,X,X,O,X
TLIJZSO,X,O,O,X,X,X,X,O,O
TLIJZOS,X,O,O,X,X,X,X,O,O
TLIJOSZ,X,O,O,X,X,X,X,O,X
TLIJOZS,X,O,O,X,X,X,X,O,X
TLISJZO,X,O,O,O,X,X,X,O,O
TLISJOZ,X,O,O,X,X,X,X,O,X
TLISZJO,X,O,O,O,X,X,X,O,O
TLISZOJ,O,O,O,O,X,X,X,O,O
TLISOJZ,O,O,O,O,X,X,X,O,X
TLISOZJ,O,O,O,O,X,X,X,O,O
TLIZJSO,X,O,O,X,X,X,X,O,O
TLIZJOS,X,O,O,X,X,X,X,O,O
TLIZSJO,X,O,O,O,X,X,X,O,O
TLIZSOJ,O,O,O,O,X,X,X,O,O
TLIZOJS,X,O,O,X,X,X,X,O,O
TLIZOSJ,O,O,O,O,X,X,X,O,O
TLIOJSZ,X,O,X,X,X,X,X,O,X
TLIOJZS,X,O,X,X,X,X,X,O,X
TLIOSJZ,O,O,X,O,X,X,X,O,X
TLIOSZJ,O,O,X,O,X,X,X,O,X
TLIOZJS,X,O,X,X,X,X,X,O,O
TLIOZSJ,O,O,X,O,X,X,X,O,O
TLJISZO,X,O,O,X,X,X,X,O,X
TLJISOZ,X,O,O,X,O,X,X,O,X
TLJIZSO,X,O,O,X,X,X,O,O,O
TLJIZOS,X,O,O,X,X,X,O,O,O
TLJIOSZ,X,O,O,X,O,X,X,O,X
TLJIOZS,X,O,O,X,X,X,X,O,X
TLJSIZO,X,O,O,O,X,X,X,X,O
TLJSIOZ,X,O,O,X,O,X,X,X,X
TLJSZIO,X,O,O,O,X,O,X,X,O
TLJSZOI,O,O,O,O,X,O,X,X,X
TLJSOIZ,O,O,O,O,O,X,X,X,X
TLJSOZI,O,O,O,O,O,X,X,X,X
TLJZISO,X,O,O,X,X,O,O,O,O
TLJZIOS,X,O,O,X,X,O,O,O,O
TLJZSIO,X,O,O,O,X,O,O,X,O
TLJZSOI,O,O,O,O,X,O,O,X,X
TLJZOIS,X,O,O,X,X,O,O,X,X
TLJZOSI,O,O,O,O,X,O,O,X,X
TLJOISZ,X,O,O,X,O,X,X,X,X
TLJOIZS,X,O,O,X,X,X,X,X,X
TLJOSIZ,O,O,O,O,O,X,X,X,X
TLJOSZI,O,O,O,O,O,X,X,X,X
TLJOZIS,X,O,O,X,X,X,X,X,X
TLJOZSI,O,O,O,O,X,X,X,X,X
TLSIJZO,X,O,O,O,X,X,X,O,O
TLSIJOZ,X,O,O,X,X,X,X,O,X
TLSIZJO,X,O,O,O,X,X,X,O,O
TLSIZOJ,O,O,O,O,X,X,X,O,O
TLSIOJZ,O,O,O,O,X,X,X,O,X
TLSIOZJ,O,O,O,O,X,X,X,O,O
TLSJIZO,X,O,O,O,X,X,X,X,O
TLSJIOZ,X,O,O,X,O,X,X,X,X
TLSJZIO,X,O,O,O,X,O,X,X,O
TLSJZOI,O,O,O,O,X,O,X,X,X
TLSJOIZ,O,O,O,O,O,X,X,X,X
TLSJOZI,O,O,O,O,O,X,X,X,X
TLSZIJO,X,O,O,O,X,O,X,O,O
TLSZIOJ,O,O,O,O,X,O,X,O,O
TLSZJIO,X,O,O,O,X,O,X,X,O
TLSZJOI,O,O,O,O,X,O,X,X,X
TLSZOIJ,O,O,O,O,X,O,X,X,O
TLSZOJI,O,O,O,O,X,O,X,X,X
TLSOIJZ,O,O,O,O,X,X,X,X,X
TLSOIZJ,O,O,O,O,X,X,X,X,O
TLSOJIZ,O,O,O,O,O,X,X,X,X
TLSOJZI,O,O,O,O,O,X,X,X,X
TLSOZIJ,O,O,O,O,X,X,X,X,O
TLSOZJI,O,O,O,O,O,X,X,X,X
TLZIJSO,X,O,O,X,X,O,X,O,O
TLZIJOS,X,O,O,X,X,O,X,O,O
TLZISJO,X,O,O,O,X,O,X,O,O
TLZISOJ,O,O,O,O,X,O,X,O,O
TLZIOJS,X,O,O,X,X,O,X,O,O
TLZIOSJ,O,O,O,O,X,O,X,O,O
TLZJISO,X,O,O,X,X,O,O,O,O
TLZJIOS,X,O,O,X,X,O,O,O,O
TLZJSIO,X,O,O,O,X,O,O,X,O
TLZJSOI,O,O,O,O,X,O,O,X,X
TLZJOIS,X,O,O,X,X,O,O,X,X
TLZJOSI,O,O,O,O,X,O,O,X,X
TLZSIJO,X,O,O,O,X,O,X,O,O
TLZSIOJ,O,O,O,O,X,O,X,O,O
TLZSJIO,X,O,O,O,X,O,O,X,O
TLZSJOI,O,O,O,O,X,O,O,X,X
TLZSOIJ,O,O,O,O,X,O,X,X,O
TLZSOJI,O,O,O,O,X,O,O,X,X
TLZOIJS,X,O,O,X,X,O,X,O,O
TLZOISJ,O,O,O,O,X,O,X,O,O
TLZOJIS,X,O,O,X,X,O,O,X,X
TLZOJSI,O,O,O,O,X,O,O,X,X
TLZOSIJ,O,O,O,O,X,O,X,X,O
TLZOSJI,O,O,O,O,X,O,O,X,X
TLOIJSZ,X,O,X,X,X,X,X,O,X
TLOIJZS,X,O,X,X,X,X,X,O,X
TLOISJZ,O,O,X,O,X,X,X,O,X
TLOISZJ,O,O,X,O,X,X,X,O,X
TLOIZJS,X,O,X,X,X,X,X,O,O
TLOIZSJ,O,O,X,O,X,X,X,O,O
TLOJISZ,X,O,O,X,O,X,X,X,X
TLOJIZS,X,O,O,X,X,X,X,X,X
TLOJSIZ,O,O,O,O,O,X,X,X,X
TLOJSZI,O,O,O,O,O,X,X,X,X
TLOJZIS,X,O,O,X,X,X,X,X,X
TLOJZSI,O,O,O,O,X,X,X,X,X
TLOSIJZ,O,O,O,O,X,X,X,X,X
TLOSIZJ,O,O,O,O,X,X,X,X,O
TLOSJIZ,O,O,O,O,O,X,X,X,X
TLOSJZI,O,O,O,O,O,X,X,X,X
TLOSZIJ,O,O,O,O,X,X,X,X,O
TLOSZJI,O,O,O,O,O,X,X,X,X
TLOZIJS,X,O,O,X,X,X,X,O,O
TLOZISJ,O,O,O,O,X,X,X,O,O
TLOZJIS,X,O,O,X,X,X,X,X,X
TLOZJSI,O,O,O,O,X,X,X,X,X
TLOZSIJ,O,O,O,O,X,X,X,X,O
TLOZSJI,O,O,O,O,X,X,X,X,X
TJILSZO,X,O,O,X,X,X,X,O,X
TJILSOZ,X,O,O,X,O,X,X,O,X
TJILZSO,X,O,O,X,X,X,O,O,O
TJILZOS,X,O,O,X,X,X,O,O,O
TJILOSZ,X,O,O,X,O,X,X,O,X
TJILOZS,X,O,O,X,X,X,X,O,X
TJISLZO,X,O,O,X,X,X,X,X,X
TJISLOZ,X,O,O,X,O,X,X,X,X
TJISZLO,X,O,O,X,X,O,O,X,X
TJISZOL,X,O,O,X,O,O,O,X,X
TJISOLZ,X,O,O,X,O,X,X,X,X
TJISOZL,X,O,O,X,O,X,X,X,X
TJIZLSO,X,O,O,X,X,O,O,O,O
TJIZLOS,X,O,O,X,X,O,O,O,O
TJIZSLO,X,O,O,X,X,O,O,X,X
TJIZSOL,X,O,O,X,O,O,O,X,X
TJIZOLS,X,O,O,X,X,O,O,X,X
TJIZOSL,X,O,O,X,O,O,O,X,X
TJIOLSZ,X,O,O,X,O,X,X,X,X
TJIOLZS,X,O,O,X,X,X,X,X,X
TJIOSLZ,X,O,O,X,O,X,X,X,X
TJIOSZL,X,O,O,X,O,X,X,X,X
TJIOZLS,X,O,O,X,X,X,O,X,X
TJIOZSL,X,O,O,X,O,X,O,X,X
TJLISZO,X,O,O,X,X,X,X,O,X
TJLISOZ,X,O,O,X,O,X,X,O,X
TJLIZSO,X,O,O,X,X,X,O,O,O
TJLIZOS,X,O,O,X,X,X,O,O,O
TJLIOSZ,X,O,O,X,O,X,X,O,X
TJLIOZS,X,O,O,X,X,X,X,O,X
TJLSIZO,X,O,O,O,X,X,X,X,O
TJLSIOZ,X,O,O,X,O,X,X,X,X
TJLSZIO,X,O,O,O,X,O,X,X,O
TJLSZOI,O,O,O,O,X,O,X,X,X
TJLSOIZ,O,O,O,O,O,X,X,X,X
TJLSOZI,O,O,O,O,O,X,X,X,X
TJLZISO,X,O,O,X,X,O,O,O,O
TJLZIOS,X,O,O,X,X,O,O,O,O
TJLZSIO,X,O,O,O,X,O,O,X,O
TJLZSOI,O,O,O,O,X,O,O,X,X
TJLZOIS,X,O,O,X,X,O,O,X,X
TJLZOSI,O,O,O,O,X,O,O,X,X
TJLOISZ,X,O,O,X,O,X,X,X,X
TJLOIZS,X,O,O,X,X,X,X,X,X
TJLOSIZ,O,O,O,O,O,X,X,X,X
TJLOSZI,O,O,O,O,O,X,X,X,X
TJLOZIS,X,O,O,X,X,X,X,X,X
TJLOZSI,O,O,O,O,X,X,X,X,X
TJSILZO,X,O,O,O,X,X,X,X,O
TJSILOZ,X,O,O,X,O,X,X,X,X
TJSIZLO,X,O,O,O,X,O,O,X,O
TJSIZOL,X,O,O,X,O,O,O,X,X
TJSIOLZ,X,O,O,X,O,X,X,X,X
TJSIOZL,X,O,O,X,O,X,X,X,X
TJSLIZO,X,O,O,O,X,X,X,X,O
TJSLIOZ,X,O,O,X,O,X,X,X,X
TJSLZIO,X,O,O,O,X,O,X,X,O
TJSLZOI,O,O,O,O,X,O,X,X,X
TJSLOIZ,O,O,O,O,O,X,X,X,X
TJSLOZI,O,O,O,O,O,X,X,X,X
TJSZILO,X,O,O,O,X,O,O,X,O
TJSZIOL,X,O,O,X,O,O,O,X,X
TJSZLIO,X,O,O,O,X,O,O,X,O
TJSZLOI,O,O,O,O,X,O,O,X,X
TJSZOIL,O,O,O,O,O,O,O,X,X
TJSZOLI,O,O,O,O,O,O,O,X,X
TJSOILZ,O,O,O,O,O,X,X,X,X
TJSOIZL,O,O,O,O,O,X,X,X,X
TJSOLIZ,O,O,O,O,O,X,X,X,X
TJSOLZI,O,O,O,O,O,X,X,X,X
TJSOZIL,O,O,O,O,O,O,X,X,X
TJSOZLI,O,O,O,O,O,O,X,X,X
TJZILSO,X,O,O,X,X,O,O,O,O
TJZILOS,X,O,O,X,X,O,O,O,O
TJZISLO,X,O,O,X,X,O,O,X,X
TJZISOL,X,O,O,X,O,O,O,X,X
TJZIOLS,X,O,O,X,X,O,O,X,X
TJZIOSL,X,O,O,X,O,O,O,X,X
TJZLISO,X,O,O,X,X,O,O,O,O
TJZLIOS,X,O,O,X,X,O,O,O,O
TJZLSIO,X,O,O,O,X,O,O,X,O
TJZLSOI,O,O,O,O,X,O,O,X,X
TJZLOIS,X,O,O,X,X,O,O,X,X
TJZLOSI,O,O,O,O,X,O,O,X,X
TJZSILO,X,O,O,O,X,O,O,X,O
TJZSIOL,X,O,O,X,O,O,O,X,X
TJZSLIO,X,O,O,O,X,O,O,X,O
TJZSLOI,O,O,O,O,X,O,O,X,X
TJZSOIL,O,O,O,O,O,O,O,X,X
TJZSOLI,O,O,O,O,O,O,O,X,X
TJZOILS,X,O,O,X,X,O,O,X,X
TJZOISL,X,O,O,X,O,O,O,X,X
TJZOLIS,X,O,O,X,X,O,O,X,X
TJZOLSI,O,O,O,O,X,O,O,X,X
TJZOSIL,O,O,O,O,O,O,O,X,X
TJZOSLI,O,O,O,O,O,O,O,X,X
TJOILSZ,X,O,O,X,O,X,X,X,X
TJOILZS,X,O,O,X,X,X,X,X,X
TJOISLZ,X,O,O,X,O,X,X,X,X
TJOISZL,X,O,O,X,O,X,X,X,X
TJOIZLS,X,O,O,X,X,X,O,X,X
TJOIZSL,X,O,O,X,O,X,O,X,X
TJOLISZ,X,O,O,X,O,X,X,X,X
TJOLIZS,X,O,O,X,X,X,X,X,X
TJOLSIZ,O,O,O,O,O,X,X,X,X
TJOLSZI,O,O,O,O,O,X,X,X,X
TJOLZIS,X,O,O,X,X,X,X,X,X
TJOLZSI,O,O,O,O,X,X,X,X,X
TJOSILZ,O,O,O,O,O,X,X,X,X
TJOSIZL,O,O,O,O,O,X,X,X,X
TJOSLIZ,O,O,O,O,O,X,X,X,X
TJOSLZI,O,O,O,O,O,X,X,X,X
TJOSZIL,O,O,O,O,O,O,X,X,X
TJOSZLI,O,O,O,O,O,O,X,X,X
TJOZILS,X,O,O,X,X,O,O,X,X
TJOZISL,X,O,O,X,O,O,O,X,X
TJOZLIS,X,O,O,X,X,O,O,X,X
TJOZLSI,O,O,O,O,X,O,O,X,X
TJOZSIL,O,O,O,O,O,O,O,X,X
TJOZSLI,O,O,O,O,O,O,O,X,X
TSILJZO,X,O,O,O,X,X,X,O,O
TSILJOZ,X,O,O,X,X,X,X,O,X
TSILZJO,X,O,O,O,X,X,X,O,O
TSILZOJ,O,O,O,O,X,X,X,O,O
TSILOJZ,O,O,O,O,X,X,X,O,X
TSILOZJ,O,O,O,O,X,X,X,O,O
TSIJLZO,X,O,O,O,X,X,X,X,O
TSIJLOZ,X,O,O,X,O,X,X,X,X
TSIJZLO,X,O,O,O,X,O,X,X,O
TSIJZOL,X,O,O,X,O,O,X,X,X
TSIJOLZ,X,O,O,X,O,X,X,X,X
TSIJOZL,X,O,O,X,O,X,X,X,X
TSIZLJO,X,O,O,O,X,O,X,O,O
TSIZLOJ,O,O,O,O,X,O,X,O,O
TSIZJLO,X,O,O,O,X,O,X,X,O
TSIZJOL,X,O,O,X,X,O,X,X,X
TSIZOLJ,O,O,O,O,X,O,X,X,O
TSIZOJL,O,O,O,O,X,O,X,X,X
TSIOLJZ,O,O,O,O,X,X,X,X,X
TSIOLZJ,O,O,O,O,X,X,X,X,O
TSIOJLZ,O,O,O,O,O,X,X,X,X
TSIOJZL,O,O,O,O,O,X,X,X,X
TSIOZLJ,O,O,O,O,X,X,X,X,O
TSIOZJL,O,O,O,O,O,X,X,X,X
TSLIJZO,X,O,O,O,X,X,X,O,O
TSLIJOZ,X,O,O,X,X,X,X,O,X
TSLIZJO,X,O,O,O,X,X,X,O,O
TSLIZOJ,O,O,O,O,X,X,X,O,O
TSLIOJZ,O,O,O,O,X,X,X,O,X
TSLIOZJ,O,O,O,O,X,X,X,O,O
TSLJIZO,X,O,O,O,X,X,X,X,O
TSLJIOZ,X,O,O,X,O,X,X,X,X
TSLJZIO,X,O,O,O,X,O,X,X,O
TSLJZOI,O,O,O,O,X,O,X,X,X
TSLJOIZ,O,O,O,O,O,X,X,X,X
TSLJOZI,O,O,O,O,O,X,X,X,X
TSLZIJO,X,O,O,O,X,O,X,O,O
TSLZIOJ,O,O,O,O,X,O,X,O,O
TSLZJIO,X,O,O,O,X,O,X,X,O
TSLZJOI,O,O,O,O,X,O,X,X,X
TSLZOIJ,O,O,O,O,X,O,X,X,O
TSLZOJI,O,O,O,O,X,O,X,X,X
TSLOIJZ,O,O,O,O,X,X,X,X,X
TSLOIZJ,O,O,O,O,X,X,X,X,O
TSLOJIZ,O,O,O,O,O,X,X,X,X
TSLOJZI,O,O,O,O,O,X,X,X,X
TSLOZIJ,O,O,O,O,X,X,X,X,O
TSLOZJI,O,O,O,O,O,X,X,X,X
TSJILZO,X,O,O,O,X,X,X,X,O
TSJILOZ,X,O,O,X,O,X,X,X,X
TSJIZLO,X,O,O,O,X,O,O,X,O
TSJIZOL,X,O,O,X,O,O,O,X,X
TSJIOLZ,X,O,O,X,O,X,X,X,X
TSJIOZL,X,O,O,X,O,X,X,X,X
TSJLIZO,X,O,O,O,X,X,X,X,O
TSJLIOZ,X,O,O,X,O,X,X,X,X
TSJLZIO,X,O,O,O,X,O,X,X,O
TSJLZOI,O,O,O,O,X,O,X,X,X
TSJLOIZ,O,O,O,O,O,X,X,X,X
TSJLOZI,O,O,O,O,O,X,X,X,X
TSJZILO,X,O,O,O,X,O,O,X,O
TSJZIOL,X,O,O,X,O,O,O,X,X
TSJZLIO,X,O,O,O,X,O,O,X,O
TSJZLOI,O,O,O,O,X,O,O,X,X
TSJZOIL,O,O,O,O,O,O,O,X,X
TSJZOLI,O,O,O,O,O,O,O,X,X
TSJOILZ,O,O,O,O,O,X,X,X,X
TSJOIZL,O,O,O,O,O,X,X,X,X
TSJOLIZ,O,O,O,O,O,X,X,X,X
TSJOLZI,O,O,O,O,O,X,X,X,X
TSJOZIL,O,O,O,O,O,O,X,X,X
TSJOZLI,O,O,O,O,O,O,X,X,X
TSZILJO,X,O,O,O,X,O,X,O,O
TSZILOJ,O,O,O,O,X,O,X,O,O
TSZIJLO,X,O,O,O,X,O,O,X,O
TSZIJOL,X,O,O,X,X,O,O,X,X
TSZIOLJ,O,O,O,O,X,O,X,X,O
TSZIOJL,O,O,O,O,X,O,O,X,X
TSZLIJO,X,O,O,O,X,O,X,O,O
TSZLIOJ,O,O,O,O,X,O,X,O,O
TSZLJIO,X,O,O,O,X,O,O,X,O
TSZLJOI,O,O,O,O,X,O,O,X,X
TSZLOIJ,O,O,O,O,X,O,X,X,O
TSZLOJI,O,O,O,O,X,O,O,X,X
TSZJILO,X,O,O,O,X,O,O,X,O
TSZJIOL,X,O,O,X,O,O,O,X,X
TSZJLIO,X,O,O,O,X,O,O,X,O
TSZJLOI,O,O,O,O,X,O,O,X,X
TSZJOIL,O,O,O,O,O,O,O,X,X
TSZJOLI,O,O,O,O,O,O,O,X,X
TSZOILJ,O,O,O,O,X,O,X,X,O
TSZOIJL,O,O,O,O,O,O,O,X,X
TSZOLIJ,O,O,O,O,X,O,X,X,O
TSZOLJI,O,O,O,O,O,O,O,X,X
TSZOJIL,O,O,O,O,O,O,O,X,X
TSZOJLI,O,O,O,O,O,O,O,X,X
TSOILJZ,O,O,O,O,X,X,X,X,X
TSOILZJ,O,O,O,O,X,X,X,X,O
TSOIJLZ,O,O,O,O,O,X,X,X,X
TSOIJZL,O,O,O,O,O,X,X,X,X
TSOIZLJ,O,O,O,O,X,X,X,X,O
TSOIZJL,O,O,O,O,O,X,X,X,X
TSOLIJZ,O,O,O,O,X,X,X,X,X
TSOLIZJ,O,O,O,O,X,X,X,X,O
TSOLJIZ,O,O,O,O,O,X,X,X,X
TSOLJZI,O,O,O,O,O,X,X,X,X
TSOLZIJ,O,O,O,O,X,X,X,X,O
TSOLZJI,O,O,O,O,O,X,X,X,X
TSOJILZ,O,O,O,O,O,X,X,X,X
TSOJIZL,O,O,O,O,O,X,X,X,X
TSOJLIZ,O,O,O,O,O,X,X,X,X
TSOJLZI,O,O,O,O,O,X,X,X,X
TSOJZIL,O,O,O,O,O,O,X,X,X
TSOJZLI,O,O,O,O,O,O,X,X,X
TSOZILJ,O,O,O,O,X,O,X,X,O
TSOZIJL,O,O,O,O,O,O,X,X,X
TSOZLIJ,O,O,O,O,X,O,X,X,O
TSOZLJI,O,O,O,O,O,O,X,X,X
TSOZJIL,O,O,O,O,O,O,X,X,X
TSOZJLI,O,O,O,O,O,O,X,X,X
TZILJSO,X,O,O,X,X,O,X,O,O
TZILJOS,X,O,O,X,X,O,X,O,O
TZILSJO,X,O,O,O,X,O,X,O,O
TZILSOJ,O,O,O,O,X,O,X,O,O
TZILOJS,X,O,O,X,X,O,X,O,O
TZILOSJ,O,O,O,O,X,O,X,O,O
TZIJLSO,X,O,O,X,X,O,O,O,O
TZIJLOS,X,O,O,X,X,O,O,O,O
TZIJSLO,X,O,O,X,X,O,O,X,X
TZIJSOL,X,O,O,X,X,O,O,X,X
TZIJOLS,X,O,O,X,X,O,O,X,X
TZIJOSL,X,O,O,X,X,O,O,X,X
TZISLJO,X,O,O,O,X,O,X,O,O
TZISLOJ,O,O,O,O,X,O,X,O,O
TZISJLO,X,O,O,O,X,O,O,X,O
TZISJOL,X,O,O,X,X,O,O,X,X
TZISOLJ,O,O,O,O,X,O,X,X,O
TZISOJL,O,O,O,O,X,O,O,X,X
