sequence,v115@zgB8HeC8GeD8EeF8DeF8DeA8Jex7IvhFTeBUhBFiBa?tBGsBXsB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Je07IvhFxcBTeBlmBa?tBXsBGsB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Je07IvhFxcB3hBFjB6?sBOtBzrB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Jex7IvhFXdBUhBFjB6?sBOtBzrB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Jel7IvhFUdBGeBThBZ?oBXnBSxB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Je07IvhFxcBTeBlmBm?sB3sBCsB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Je07IvhFxdBXjBlmBm?sB6rBTsB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Jex7IvhFTeBUhBFiBS?sBetBXsB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Jex7IvhFUhBFiBXjBO?tBCsBTsB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Jex7IvhFUhBFiBXjB6?sBOtBzrB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Je07IvhF/iBGeBZoBl?mBTsB6rB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Je07IvhFXdBFjBxmB6?rBOtBTsB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Jex7IvhF/iBcjBlmBi?sBGrBzsB
TISOLJZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TISOLZJ,X,X,X,X,O,X,X,X,X,X,X,O,X
TISOJLZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TISOJZL,X,X,X,X,O,X,X,X,X,X,X,O,X
TISOZLJ,X,X,X,X,X,X,X,X,X,X,X,O,X
TISOZJL,X,X,X,X,O,X,X,X,X,X,X,O,X
TIZLJSO,O,X,X,O,O,X,X,X,O,X,X,X,X
TIZLJOS,O,O,X,X,O,O,X,O,X,X,X,X,X
TIZLSJO,X,O,O,O,O,X,X,X,O,O,X,O,O
TIZLSOJ,O,O,O,O,O,X,X,X,O,O,X,O,X
TIZLOJS,O,O,X,O,O,X,X,X,X,X,X,X,X
TIZLOSJ,O,O,X,O,O,X,X,X,O,X,X,O,X
TIZJLSO,O,X,X,X,O,X,X,O,X,X,X,X,X
TIZJLOS,O,O,X,X,O,O,X,O,X,X,X,X,X
TIZJSLO,X,X,X,X,X,O,O,X,O,O,X,O,X
TIZJSOL,X,X,X,X,X,O,O,O,O,O,X,O,X
TIZJOLS,O,O,X,X,O,O,X,O,X,X,X,X,X
TIZJOSL,X,X,X,X,O,O,X,O,X,X,X,O,X
TIZSLJO,X,O,O,O,X,X,X,X,O,O,X,O,X
TIZSLOJ,X,O,O,O,X,X,X,X,O,O,X,O,X
TIZSJLO,X,X,X,X,X,X,O,X,O,O,X,O,X
TIZSJOL,X,X,X,X,X,O,O,O,O,O,X,O,X
TIZSOLJ,O,O,O,X,X,X,X,X,O,O,X,O,X
TIZSOJL,X,X,X,X,X,X,X,X,O,O,X,O,X
TIZOLJS,O,O,X,O,O,X,X,X,X,X,X,X,X
TIZOLSJ,O,O,X,O,O,X,X,X,X,O,O,O,X
TIZOJLS,O,O,X,X,O,O,X,O,X,X,X,X,X
TIZOJSL,X,X,X,X,O,O,X,O,X,O,O,O,X
TIZOSLJ,O,O,O,O,X,X,X,X,O,O,O,O,X
TIZOSJL,X,X,X,X,O,X,X,X,O,O,O,O,X
TIOLJSZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOLJZS,O,X,X,X,O,X,X,X,X,X,X,X,X
TIOLSJZ,X,O,X,X,O,X,X,X,X,X,O,X,X
TIOLSZJ,X,O,X,X,O,X,X,X,X,X,O,O,X
TIOLZJS,O,O,X,X,O,X,X,X,X,X,X,X,X
TIOLZSJ,O,O,X,X,O,X,X,X,X,X,O,O,X
TIOJLSZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOJLZS,X,X,X,X,O,X,X,O,X,X,X,X,X
TIOJSLZ,X,X,X,X,O,X,X,X,X,X,O,X,X
TIOJSZL,X,X,X,X,O,X,X,X,X,X,O,O,X
TIOJZLS,X,X,X,X,O,X,X,O,X,X,X,X,X
TIOJZSL,X,X,X,X,O,X,X,O,X,X,O,O,X
TIOSLJZ,X,X,X,X,O,X,X,X,X,X,O,X,X
TIOSLZJ,X,X,X,X,O,X,X,X,X,X,O,O,X
TIOSJLZ,X,X,X,X,O,X,X,X,X,X,O,X,X
TIOSJZL,X,X,X,X,O,X,X,X,X,X,O,O,X
TIOSZLJ,X,X,O,X,X,X,X,X,X,O,O,O,X
TIOSZJL,X,X,X,X,O,X,X,X,X,O,O,O,X
TIOZLJS,O,O,X,O,O,X,X,X,X,X,X,X,X
TIOZLSJ,O,O,X,O,O,X,X,X,X,O,O,O,X
TIOZJLS,O,O,X,X,O,X,X,O,X,X,X,X,X
TIOZJSL,X,X,X,X,O,X,X,O,X,O,O,O,X
TIOZSLJ,O,O,O,O,X,X,X,X,X,O,O,O,X
TIOZSJL,X,X,X,X,O,X,X,X,X,O,O,O,X
TLIJSZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIJZSO,O,X,X,X,O,X,X,X,X,X,X,X,X
TLIJZOS,O,X,X,X,O,X,X,X,X,X,X,X,X
TLIJOSZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIJOZS,O,X,X,X,O,X,X,X,X,X,X,X,X
TLISJZO,X,O,O,X,O,X,X,X,X,X,X,X,X
TLISJOZ,X,O,X,X,O,X,X,X,X,X,X,X,X
TLISZJO,X,O,O,O,O,X,X,X,O,X,X,O,O
TLISZOJ,X,O,O,O,O,X,X,X,O,X,X,O,X
TLISOJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
TLISOZJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TLIZJSO,O,X,X,O,O,X,X,X,O,X,X,X,X
TLIZJOS,O,O,X,X,O,X,X,X,X,X,X,X,X
TLIZSJO,X,O,O,O,O,X,X,X,O,X,X,O,O
TLIZSOJ,O,O,O,O,O,X,X,X,O,X,X,O,X
TLIZOJS,O,O,X,O,O,X,X,X,X,X,X,X,X
TLIZOSJ,O,O,X,O,O,X,X,X,O,X,X,O,X
TLIOJSZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIOJZS,O,X,X,X,O,X,X,X,X,X,X,X,X
TLIOSJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIOSZJ,X,O,X,X,O,X,X,X,X,X,X,O,X
TLIOZJS,O,O,X,X,O,X,X,X,X,X,X,X,X
TLIOZSJ,O,O,X,X,O,X,X,X,X,X,X,O,X
TLJISZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJISOZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJIZSO,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJIZOS,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJIOSZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJIOZS,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJSIZO,X,O,O,X,O,O,O,X,X,X,X,X,X
TLJSIOZ,X,O,X,X,O,O,O,X,X,X,X,X,X
TLJSZIO,O,O,O,O,O,O,O,X,O,X,X,X,O
TLJSZOI,O,O,O,O,O,O,O,X,O,X,X,X,O
TLJSOIZ,X,O,X,X,O,O,O,X,X,X,X,X,X
TLJSOZI,O,O,X,X,O,O,O,X,X,X,X,X,X
TLJZISO,O,X,X,O,O,X,X,X,O,X,X,X,X
TLJZIOS,O,O,X,X,O,O,X,X,X,X,X,X,X
TLJZSIO,O,O,O,O,O,O,O,X,O,X,X,X,O
TLJZSOI,O,O,O,O,O,O,O,X,O,X,X,X,O
TLJZOIS,O,O,X,O,O,O,X,X,X,X,X,X,X
TLJZOSI,O,O,X,O,O,O,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJOIZS,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJOSIZ,X,O,X,X,O,O,X,X,X,X,X,X,X
TLJOSZI,O,O,X,X,O,O,X,X,X,X,X,X,X
TLJOZIS,O,O,X,X,O,O,X,X,X,X,X,X,X
TLJOZSI,O,O,X,X,O,O,X,X,X,X,X,X,X
TLSIJZO,X,O,O,X,O,X,X,X,X,X,X,X,X
TLSIJOZ,X,O,X,X,O,X,X,X,X,X,X,X,X
TLSIZJO,X,O,O,O,O,X,X,X,O,X,X,O,O
TLSIZOJ,X,O,O,O,O,X,X,X,O,X,X,O,X
TLSIOJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
TLSIOZJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TLSJIZO,X,O,O,X,O,X,O,X,X,X,X,X,X
TLSJIOZ,X,O,X,X,O,X,O,X,X,X,X,X,X
TLSJZIO,X,O,O,O,O,X,O,X,O,X,X,X,O
TLSJZOI,X,O,O,O,O,X,O,X,O,X,X,X,O
TLSJOIZ,X,O,X,X,O,X,O,X,X,X,X,X,X
TLSJOZI,X,O,X,X,O,X,O,X,X,X,X,X,X
TLSZIJO,X,O,O,O,O,X,X,X,O,X,X,O,O
TLSZIOJ,O,O,O,O,O,X,X,X,O,X,X,O,X
TLSZJIO,X,O,O,O,O,X,O,X,O,X,X,X,O
TLSZJOI,X,O,O,O,O,X,O,X,O,X,X,X,O
TLSZOIJ,O,O,O,O,O,X,X,X,O,X,X,X,X
TLSZOJI,O,O,O,O,O,X,X,X,O,X,X,X,O
TLSOIJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
TLSOIZJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TLSOJIZ,X,O,X,X,O,X,X,X,X,X,X,X,X
TLSOJZI,X,O,X,X,O,X,X,X,X,X,X,X,X
TLSOZIJ,O,O,O,O,O,X,X,X,O,X,X,X,X
TLSOZJI,O,O,O,O,O,X,X,X,O,X,X,X,O
TLZIJSO,O,X,X,O,O,X,X,X,O,X,X,X,X
TLZIJOS,O,O,X,X,O,O,X,X,X,X,X,X,X
TLZISJO,X,O,O,O,O,X,X,X,O,X,X,O,O
TLZISOJ,O,O,O,O,O,X,X,X,O,X,X,O,X
TLZIOJS,O,O,X,O,O,X,X,X,X,X,X,X,X
TLZIOSJ,O,O,X,O,O,X,X,X,O,X,X,O,X
TLZJISO,O,X,X,O,O,X,X,X,O,X,X,X,X
TLZJIOS,O,O,X,X,O,O,X,X,X,X,X,X,X
TLZJSIO,O,O,O,O,O,O,O,X,O,X,X,X,O
TLZJSOI,O,O,O,O,O,O,O,X,O,X,X,X,O
TLZJOIS,O,O,X,O,O,O,X,X,X,X,X,X,X
TLZJOSI,O,O,X,O,O,O,X,X,X,X,X,X,X
TLZSIJO,X,O,O,O,O,X,X,X,O,X,X,O,O
TLZSIOJ,O,O,O,O,O,X,X,X,O,X,X,O,X
TLZSJIO,X,O,O,O,O,X,O,X,O,X,X,X,O
TLZSJOI,X,O,O,O,O,X,O,X,O,X,X,X,O
TLZSOIJ,O,O,O,O,O,X,X,X,O,X,X,X,X
TLZSOJI,O,O,O,O,O,X,X,X,O,X,X,X,O
TLZOIJS,O,O,X,O,O,X,X,X,X,X,X,X,X
TLZOISJ,O,O,X,O,O,X,X,X,O,X,O,O,X
TLZOJIS,O,O,X,O,O,X,X,X,X,X,X,X,X
TLZOJSI,O,O,X,O,O,X,X,X,X,X,X,X,X
TLZOSIJ,O,O,O,O,O,X,X,X,O,X,O,O,X
TLZOSJI,O,O,O,O,O,X,X,X,O,X,X,X,O
TLOIJSZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOIJZS,O,X,X,X,O,X,X,X,X,X,X,X,X
TLOISJZ,X,O,X,X,O,X,X,X,X,X,O,X,X
TLOISZJ,X,O,X,X,O,X,X,X,X,X,O,O,X
TLOIZJS,O,O,X,X,O,X,X,X,X,X,X,X,X
TLOIZSJ,O,O,X,X,O,X,X,X,X,X,O,O,X
TLOJISZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOJIZS,O,X,X,X,O,X,X,X,X,X,X,X,X
TLOJSIZ,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOJSZI,O,O,X,X,O,X,X,X,X,X,X,X,X
TLOJZIS,O,O,X,X,O,X,X,X,X,X,X,X,X
TLOJZSI,O,O,X,X,O,X,X,X,X,X,X,X,X
TLOSIJZ,X,O,X,X,O,X,X,X,X,X,O,X,X
TLOSIZJ,X,O,O,X,O,X,X,X,X,X,O,O,X
TLOSJIZ,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOSJZI,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOSZIJ,O,O,O,O,O,X,X,X,O,X,O,O,X
TLOSZJI,O,O,O,O,O,X,X,X,O,X,X,X,O
TLOZIJS,O,O,X,O,O,X,X,X,X,X,X,X,X
TLOZISJ,O,O,X,O,O,X,X,X,O,X,O,O,X
TLOZJIS,O,O,X,O,O,X,X,X,X,X,X,X,X
TLOZJSI,O,O,X,O,O,X,X,X,X,X,X,X,X
TLOZSIJ,O,O,O,O,O,X,X,X,O,X,O,O,X
TLOZSJI,O,O,O,O,O,X,X,X,O,X,X,X,O
TJILSZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TJILSOZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TJILZSO,O,X,X,X,O,X,X,O,X,X,X,X,X
TJILZOS,O,X,X,X,O,X,X,O,X,X,X,X,X
TJILOSZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TJILOZS,O,X,X,X,O,X,X,O,X,X,X,X,X
TJISLZO,X,X,X,X,O,O,O,X,X,X,X,X,X
TJISLOZ,X,X,X,X,O,O,O,X,X,X,X,X,X
TJISZLO,X,X,X,X,X,O,O,X,X,X,X,O,X
TJISZOL,X,X,X,X,X,O,O,X,X,X,X,O,X
TJISOLZ,X,X,X,X,O,O,O,X,X,X,X,X,X
TJISOZL,X,X,X,X,O,O,O,X,X,X,X,X,X
TJIZLSO,O,X,X,X,O,X,X,O,X,X,X,X,X
TJIZLOS,O,X,X,X,O,O,X,O,X,X,X,X,X
TJIZSLO,X,X,X,X,X,O,O,X,X,X,X,O,X
TJIZSOL,X,X,X,X,X,O,O,O,X,X,X,O,X
TJIZOLS,X,X,X,X,O,O,X,O,X,X,X,X,X
TJIZOSL,X,X,X,X,O,O,X,O,X,X,X,O,X
TJIOLSZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TJIOLZS,X,X,X,X,O,X,X,O,X,X,X,X,X
TJIOSLZ,X,X,X,X,O,O,X,X,X,X,O,X,X
TJIOSZL,X,X,X,X,O,O,X,X,X,X,O,O,X
TJIOZLS,X,X,X,X,O,O,X,O,X,X,X,X,X
TJIOZSL,X,X,X,X,O,O,X,O,X,X,X,O,X
TJLISZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLISOZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLIZSO,O,X,X,X,O,X,X,O,X,X,X,X,X
TJLIZOS,O,X,X,X,O,X,X,O,X,X,X,X,X
TJLIOSZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLIOZS,O,X,X,X,O,X,X,O,X,X,X,X,X
TJLSIZO,X,O,O,X,O,O,O,X,X,X,X,X,X
TJLSIOZ,X,O,X,X,O,O,O,X,X,X,X,X,X
TJLSZIO,O,O,O,O,O,O,O,O,X,X,X,X,O
TJLSZOI,O,O,O,O,O,O,O,O,X,X,X,X,O
TJLSOIZ,X,O,X,X,O,O,O,X,X,X,X,X,X
TJLSOZI,O,O,X,X,O,O,O,O,X,X,X,X,X
TJLZISO,O,X,X,O,O,X,X,O,X,X,X,X,X
TJLZIOS,O,O,X,X,O,O,X,O,X,X,X,X,X
TJLZSIO,O,O,O,O,O,O,O,O,X,X,X,X,O
TJLZSOI,O,O,O,O,O,O,O,O,X,X,X,X,O
TJLZOIS,O,O,X,O,O,O,X,O,X,X,X,X,X
TJLZOSI,O,O,X,O,O,O,X,O,X,X,X,X,X
TJLOISZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLOIZS,O,X,X,X,O,X,X,O,X,X,X,X,X
TJLOSIZ,X,O,X,X,O,O,X,X,X,X,X,X,X
TJLOSZI,O,O,X,X,O,O,X,O,X,X,X,X,X
TJLOZIS,O,O,X,X,O,O,X,O,X,X,X,X,X
TJLOZSI,O,O,X,X,O,O,X,O,X,X,X,X,X
TJSILZO,X,X,X,X,O,O,O,X,X,X,X,X,X
TJSILOZ,X,X,X,X,O,O,O,X,X,X,X,X,X
TJSIZLO,X,X,X,X,X,O,O,X,X,X,X,O,X
TJSIZOL,X,X,X,X,X,O,O,X,X,X,X,O,X
TJSIOLZ,X,X,X,X,O,O,O,X,X,X,X,X,X
TJSIOZL,X,X,X,X,O,O,O,X,X,X,X,X,X
TJSLIZO,X,O,X,X,O,O,O,X,X,X,X,X,X
TJSLIOZ,X,O,X,X,O,O,O,X,X,X,X,X,X
TJSLZIO,X,O,X,X,O,O,O,X,X,X,X,X,X
TJSLZOI,X,O,X,X,O,O,O,X,X,X,X,X,X
TJSLOIZ,X,O,X,X,O,O,O,X,X,X,X,X,X
TJSLOZI,X,O,X,X,O,O,O,X,X,X,X,X,X
TJSZILO,X,X,X,X,X,O,O,X,X,X,X,O,X
TJSZIOL,X,X,X,X,X,O,O,X,X,X,X,O,X
TJSZLIO,X,O,O,X,X,O,O,X,X,X,X,X,X
TJSZLOI,X,O,O,X,X,O,O,X,X,X,X,X,X
TJSZOIL,X,X,X,X,X,O,O,X,X,X,X,X,X
TJSZOLI,X,X,O,X,X,O,O,X,X,X,X,X,X
TJSOILZ,X,X,X,X,O,O,O,X,X,X,X,X,X
TJSOIZL,X,X,X,X,O,O,O,X,X,X,X,X,X
TJSOLIZ,X,X,X,X,X,O,O,X,X,X,X,X,X
TJSOLZI,X,X,X,X,O,O,O,X,X,X,X,X,X
TJSOZIL,X,X,X,X,O,O,O,X,X,X,X,X,X
TJSOZLI,X,X,X,X,O,O,O,X,X,X,X,X,X
TJZILSO,O,X,X,X,O,X,X,O,X,X,X,X,X
TJZILOS,O,O,X,X,O,O,X,O,X,X,X,X,X
TJZISLO,X,X,X,X,X,O,O,X,X,X,X,O,X
TJZISOL,X,X,X,X,X,O,O,O,X,X,X,O,X
TJZIOLS,X,O,X,X,O,O,X,O,X,X,X,X,X
TJZIOSL,X,X,X,X,O,O,X,O,X,X,X,O,X
TJZLISO,O,X,X,O,O,X,X,O,X,X,X,X,X
TJZLIOS,O,O,X,X,O,O,X,O,X,X,X,X,X
TJZLSIO,O,O,O,O,O,O,O,O,X,X,X,X,O
TJZLSOI,O,O,O,O,O,O,O,O,X,X,X,X,O
TJZLOIS,O,O,X,O,O,O,X,O,X,X,X,X,X
TJZLOSI,O,O,X,O,O,O,X,O,X,X,X,X,X
TJZSILO,X,X,X,X,X,O,O,X,X,X,X,O,X
TJZSIOL,X,X,X,X,X,O,O,O,X,X,X,O,X
TJZSLIO,X,O,O,X,X,O,O,X,X,X,X,X,X
TJZSLOI,X,O,O,X,X,O,O,X,X,X,X,X,X
TJZSOIL,X,X,X,X,X,O,O,O,X,X,X,X,X
TJZSOLI,X,X,O,X,X,O,O,O,X,X,X,X,X
TJZOILS,X,O,X,X,O,O,X,O,X,X,X,X,X
TJZOISL,X,X,X,X,O,O,X,O,X,X,O,O,X
TJZOLIS,X,O,X,X,O,O,X,O,X,X,X,X,X
TJZOLSI,X,O,X,X,O,O,X,O,X,X,X,X,X
TJZOSIL,X,X,X,X,O,O,O,O,X,X,O,O,X
TJZOSLI,X,X,O,X,O,O,O,O,X,X,X,X,X
TJOILSZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TJOILZS,X,X,X,X,O,X,X,O,X,X,X,X,X
TJOISLZ,X,X,X,X,O,O,X,X,X,X,O,X,X
TJOISZL,X,X,X,X,O,O,X,X,X,X,O,O,X
TJOIZLS,X,X,X,X,O,O,X,O,X,X,X,X,X
TJOIZSL,X,X,X,X,O,O,X,O,X,X,O,O,X
TJOLISZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TJOLIZS,X,X,X,X,O,X,X,O,X,X,X,X,X
TJOLSIZ,X,O,X,X,O,O,X,X,X,X,X,X,X
TJOLSZI,X,O,X,X,O,O,X,O,X,X,X,X,X
TJOLZIS,X,O,X,X,O,O,X,O,X,X,X,X,X
TJOLZSI,X,O,X,X,O,O,X,O,X,X,X,X,X
TJOSILZ,X,X,X,X,O,O,O,X,X,X,O,X,X
TJOSIZL,X,X,X,X,O,O,O,X,X,X,O,O,X
TJOSLIZ,X,X,X,X,X,O,O,X,X,X,X,X,X
TJOSLZI,X,X,X,X,O,O,O,X,X,X,X,X,X
TJOSZIL,X,X,X,X,O,O,O,X,X,X,O,O,X
TJOSZLI,X,X,O,X,O,O,O,X,X,X,X,X,X
TJOZILS,X,O,X,X,O,O,X,O,X,X,X,X,X
TJOZISL,X,X,X,X,O,O,X,O,X,X,O,O,X
TJOZLIS,X,O,X,X,O,O,X,O,X,X,X,X,X
TJOZLSI,X,O,X,X,O,O,X,O,X,X,X,X,X
TJOZSIL,X,X,X,X,O,O,O,O,X,X,O,O,X
TJOZSLI,X,X,O,X,O,O,O,O,X,X,X,X,X
TSILJZO,X,O,O,X,O,X,X,X,X,X,X,X,X
TSILJOZ,X,O,X,X,O,X,X,X,X,X,X,X,X
TSILZJO,X,O,O,X,O,X,X,X,O,X,X,O,X
TSILZOJ,X,O,O,X,O,X,X,X,O,X,X,O,X
TSILOJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
TSILOZJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TSIJLZO,X,X,X,X,O,X,O,X,X,X,X,X,X
TSIJLOZ,X,X,X,X,O,X,O,X,X,X,X,X,X
TSIJZLO,X,X,X,X,X,X,O,X,X,X,X,O,X
