sequence,v115@FhB8FeF8CeH8AeF8Jex6IvhFmcBCeBTfBlgBcmB/qB,v115@FhB8FeF8CeH8AeF8JeO/IvhF0bBxdBzfBCiBXhBlqB,v115@FhB8FeF8CeH8AeF8JeK/IvhFzaBWiBxdBUhB3gBlqB,v115@FhB8FeF8CeH8AeF8JeO/IvhF8fBxdBzgBCiB/qBFrB,v115@FhB8FeF8CeH8AeF8Jex6IvhFXcB8hBCeBTfB2lBlqB
TJSLOZI,O,O,O,X,O
TJSZILO,O,X,O,X,O
TJSZIOL,O,X,X,X,O
TJSZLIO,O,X,O,X,O
TJSZLOI,O,X,O,X,O
TJSZOIL,O,X,X,X,O
TJSZOLI,O,X,X,X,O
TJSOILZ,O,O,X,X,O
TJSOIZL,X,O,X,X,O
TJSOLIZ,O,O,X,X,O
TJSOLZI,O,O,X,X,O
TJSOZIL,O,O,X,X,O
TJSOZLI,O,O,X,X,O
TJZILSO,X,X,O,O,O
TJZILOS,O,O,O,X,O
TJZISLO,X,X,O,O,O
TJZISOL,X,X,X,O,O
TJZIOLS,O,O,O,X,O
TJZIOSL,X,O,X,X,O
TJZLISO,X,X,O,O,O
TJZLIOS,O,O,O,X,O
TJZLSIO,O,X,O,O,O
TJZLSOI,O,X,O,O,O
TJZLOIS,O,O,O,X,O
TJZLOSI,O,O,O,X,O
TJZSILO,O,X,O,O,O
TJZSIOL,O,X,X,O,O
TJZSLIO,O,X,O,O,O
TJZSLOI,O,X,O,O,O
TJZSOIL,O,X,X,O,O
TJZSOLI,O,X,X,O,O
TJZOILS,O,O,O,X,O
TJZOISL,X,O,X,X,O
TJZOLIS,O,O,O,X,O
TJZOLSI,O,O,O,X,O
TJZOSIL,O,O,X,X,O
TJZOSLI,O,O,X,X,O
TJOILSZ,O,O,O,X,O
TJOILZS,O,O,O,X,O
TJOISLZ,X,O,X,X,O
TJOISZL,X,O,X,X,O
TJOIZLS,X,O,O,X,O
TJOIZSL,X,O,X,X,O
TJOLISZ,O,O,O,X,O
TJOLIZS,O,O,O,X,O
TJOLSIZ,O,O,O,X,O
TJOLSZI,O,O,O,X,O
TJOLZIS,O,O,O,X,O
TJOLZSI,O,O,O,X,O
TJOSILZ,O,O,X,X,O
TJOSIZL,X,O,X,X,O
TJOSLIZ,O,O,X,X,O
TJOSLZI,O,O,X,X,O
TJOSZIL,O,O,X,X,O
TJOSZLI,O,O,X,X,O
TJOZILS,O,O,O,X,O
TJOZISL,X,O,X,X,O
TJOZLIS,O,O,O,X,O
TJOZLSI,O,O,O,X,O
TJOZSIL,O,O,X,X,O
TJOZSLI,O,O,X,X,O
TSILJZO,O,X,O,X,X
TSILJOZ,X,O,O,X,X
TSILZJO,O,X,O,O,X
TSILZOJ,O,X,O,O,X
TSILOJZ,O,O,O,X,X
TSILOZJ,O,O,O,O,X
TSIJLZO,O,X,O,X,X
TSIJLOZ,X,O,O,X,X
TSIJZLO,O,X,O,X,X
TSIJZOL,O,X,X,X,X
TSIJOLZ,X,O,X,X,X
TSIJOZL,X,O,X,X,X
TSIZLJO,O,X,O,O,X
TSIZLOJ,O,X,O,O,X
TSIZJLO,O,X,O,O,X
TSIZJOL,O,X,X,O,X
TSIZOLJ,O,X,X,O,X
TSIZOJL,O,X,X,O,X
TSIOLJZ,O,O,X,X,X
TSIOLZJ,O,O,X,O,X
TSIOJLZ,O,O,X,X,X
TSIOJZL,O,O,X,X,X
TSIOZLJ,O,O,X,O,X
TSIOZJL,O,O,X,O,X
TSLIJZO,O,X,O,X,X
TSLIJOZ,X,O,O,X,X
TSLIZJO,O,X,O,O,X
TSLIZOJ,O,X,O,O,X
TSLIOJZ,O,O,O,X,X
TSLIOZJ,O,O,O,O,X
TSLJIZO,O,X,O,X,O
TSLJIOZ,X,O,O,X,X
TSLJZIO,O,X,O,X,O
TSLJZOI,O,X,O,X,O
TSLJOIZ,O,O,O,X,O
TSLJOZI,O,O,O,X,O
TSLZIJO,O,X,O,O,O
TSLZIOJ,O,X,O,O,O
TSLZJIO,O,X,O,O,O
TSLZJOI,O,X,O,O,O
TSLZOIJ,O,X,O,O,O
TSLZOJI,O,X,O,O,O
TSLOIJZ,O,O,O,X,O
TSLOIZJ,O,O,O,O,O
TSLOJIZ,O,O,O,X,O
TSLOJZI,O,O,O,X,O
TSLOZIJ,O,O,O,O,O
TSLOZJI,O,O,O,O,O
TSJILZO,O,X,O,X,O
TSJILOZ,X,O,O,X,X
TSJIZLO,O,X,O,X,O
TSJIZOL,O,X,X,X,O
TSJIOLZ,X,O,X,X,X
TSJIOZL,X,O,X,X,X
TSJLIZO,O,X,O,X,O
TSJLIOZ,X,O,O,X,X
TSJLZIO,O,X,O,X,O
TSJLZOI,O,X,O,X,O
TSJLOIZ,O,O,O,X,O
TSJLOZI,O,O,O,X,O
TSJZILO,O,X,O,X,O
TSJZIOL,O,X,X,X,O
TSJZLIO,O,X,O,X,O
TSJZLOI,O,X,O,X,O
TSJZOIL,O,X,X,X,O
TSJZOLI,O,X,X,X,O
TSJOILZ,O,O,X,X,O
TSJOIZL,O,O,X,X,O
TSJOLIZ,O,O,X,X,O
TSJOLZI,O,O,X,X,O
TSJOZIL,O,O,X,X,O
TSJOZLI,O,O,X,X,O
TSZILJO,O,X,O,O,O
TSZILOJ,O,X,O,O,O
TSZIJLO,O,X,O,O,O
TSZIJOL,O,X,X,O,O
TSZIOLJ,O,X,X,O,O
TSZIOJL,O,X,X,O,O
TSZLIJO,O,X,O,O,O
TSZLIOJ,O,X,O,O,O
TSZLJIO,O,X,O,O,O
TSZLJOI,O,X,O,O,O
TSZLOIJ,O,X,O,O,O
TSZLOJI,O,X,O,O,O
TSZJILO,O,X,O,O,O
TSZJIOL,O,X,X,O,O
TSZJLIO,O,X,O,O,O
TSZJLOI,O,X,O,O,O
TSZJOIL,O,X,X,O,O
TSZJOLI,O,X,X,O,O
TSZOILJ,O,X,X,O,O
TSZOIJL,O,X,X,O,O
TSZOLIJ,O,X,X,O,O
TSZOLJI,O,X,X,O,O
TSZOJIL,O,X,X,O,O
TSZOJLI,O,X,X,O,O
TSOILJZ,O,O,X,X,O
TSOILZJ,O,O,X,O,O
TSOIJLZ,O,O,X,X,O
TSOIJZL,O,O,X,X,O
TSOIZLJ,O,O,X,O,O
TSOIZJL,O,O,X,O,O
TSOLIJZ,O,O,X,X,O
TSOLIZJ,O,O,X,O,O
TSOLJIZ,O,O,X,X,O
TSOLJZI,O,O,X,X,O
TSOLZIJ,O,O,X,O,O
TSOLZJI,O,O,X,O,O
TSOJILZ,O,O,X,X,O
TSOJIZL,O,O,X,X,O
TSOJLIZ,O,O,X,X,O
TSOJLZI,O,O,X,X,O
TSOJZIL,O,O,X,X,O
