sequence,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeZ/IvhFufB3bBTeBy?lB0iBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeZ/IvhFCbBehBTeBX?gB0iBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8Jei6IvhFzbBckB2lBx?iBXjBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeZ/IvhFWgBTeBylB0?iBfqBlqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8Jei7IvhFOkBzgBxiB0?fBXjBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8Jex6IvhFygBTeBOkB0?iBfqBlqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeT6IvhFmbB0gBxiBX?jBikBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeT6IvhFlbBykB8lBx?iBXjBmpB,v115@4gC8GeA8IeB8BeA8DeH8AeG8Jei7IvhF0fBzgBxiBO?kBXjBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeT+IvhFRgB0iBlkB3?lBOkBiqB
TLSIZOJ,O,X,X,X,X,X,O,X,X,O
TLSIOJZ,O,X,X,X,X,X,X,X,X,X
TLSIOZJ,O,X,X,X,X,X,O,X,X,X
TLSJIZO,O,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,X,X,X,X,X,X,X,X,X
TLSJZIO,O,X,X,X,X,X,X,X,X,X
TLSJZOI,O,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,X,X,X,X,X,X,X,X,X
TLSJOZI,O,X,X,X,X,X,X,X,X,X
TLSZIJO,O,X,X,X,X,X,O,X,X,O
TLSZIOJ,O,X,X,X,X,X,O,X,X,O
TLSZJIO,O,X,X,X,X,X,O,X,X,O
TLSZJOI,O,X,X,X,X,X,O,X,X,O
TLSZOIJ,O,X,X,X,X,X,O,X,X,O
TLSZOJI,O,X,X,X,X,X,O,X,X,O
TLSOIJZ,O,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,X,X,X,X,X,O,X,X,X
TLSOJIZ,O,X,X,X,X,X,X,X,X,X
TLSOJZI,O,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,X,X,X,X,X,O,X,X,X
TLSOZJI,O,X,X,X,X,X,O,X,X,X
TLZIJSO,O,O,O,X,X,X,O,X,X,X
TLZIJOS,O,O,O,X,X,X,O,X,X,X
TLZISJO,O,X,O,X,X,X,O,X,X,X
TLZISOJ,O,X,X,X,X,X,O,X,X,X
TLZIOJS,O,O,O,X,X,X,O,X,O,X
TLZIOSJ,O,X,X,X,X,X,O,X,O,X
TLZJISO,O,O,O,X,X,X,O,X,X,X
TLZJIOS,O,O,O,X,X,X,O,X,X,X
TLZJSIO,O,O,O,X,X,X,O,X,X,X
TLZJSOI,O,O,O,X,X,X,O,X,X,X
TLZJOIS,O,O,O,X,X,X,O,X,X,X
TLZJOSI,O,O,O,X,X,X,O,X,X,X
TLZSIJO,O,X,O,X,X,X,O,X,X,O
TLZSIOJ,O,X,X,X,X,X,O,X,X,O
TLZSJIO,O,X,O,X,X,X,O,X,X,O
TLZSJOI,O,X,O,X,X,X,O,X,X,O
TLZSOIJ,O,X,X,X,X,X,O,X,X,O
TLZSOJI,O,X,X,X,X,X,O,X,X,O
TLZOIJS,O,O,O,X,X,X,O,X,O,X
TLZOISJ,O,X,X,X,X,X,O,X,O,X
TLZOJIS,O,O,O,X,X,X,O,X,O,X
TLZOJSI,O,O,O,X,X,X,O,X,X,X
TLZOSIJ,O,X,X,X,X,X,O,X,O,O
TLZOSJI,O,X,X,X,X,X,O,X,X,O
TLOIJSZ,O,O,X,X,O,X,X,X,X,X
TLOIJZS,O,X,X,X,O,X,O,X,O,X
TLOISJZ,O,X,X,X,O,X,X,X,X,X
TLOISZJ,O,X,X,X,X,X,O,X,O,X
TLOIZJS,O,X,X,X,O,X,O,X,O,X
TLOIZSJ,O,X,X,X,X,X,O,X,O,X
TLOJISZ,O,O,X,X,O,X,X,X,X,X
TLOJIZS,O,X,X,X,O,X,O,X,O,X
TLOJSIZ,O,O,X,X,O,X,X,X,X,X
TLOJSZI,O,O,X,X,X,X,X,X,X,X
TLOJZIS,O,X,X,X,O,X,O,X,O,X
TLOJZSI,O,X,X,X,X,X,O,X,X,X
TLOSIJZ,O,X,X,X,O,X,X,X,X,X
TLOSIZJ,O,X,X,X,X,X,O,X,O,X
TLOSJIZ,O,X,X,X,O,X,X,X,X,X
TLOSJZI,O,X,X,X,X,X,X,X,X,X
TLOSZIJ,O,X,X,X,X,X,O,X,O,X
TLOSZJI,O,X,X,X,X,X,O,X,X,X
TLOZIJS,O,X,X,X,O,X,O,X,O,X
TLOZISJ,O,X,X,X,X,X,O,X,O,X
TLOZJIS,O,X,X,X,O,X,O,X,O,X
TLOZJSI,O,X,X,X,X,X,O,X,X,X
TLOZSIJ,O,X,X,X,X,X,O,X,O,X
TLOZSJI,O,X,X,X,X,X,O,X,X,X
TJILSZO,O,O,X,X,X,X,X,X,X,X
TJILSOZ,O,O,X,X,X,X,X,X,X,X
TJILZSO,O,O,O,X,X,X,O,O,X,X
TJILZOS,O,O,O,X,X,X,O,O,X,X
TJILOSZ,O,O,X,X,O,X,X,X,X,X
TJILOZS,O,X,O,X,O,X,O,O,X,X
TJISLZO,O,O,X,X,X,X,X,X,X,X
TJISLOZ,O,O,X,X,X,X,X,X,X,X
TJISZLO,O,O,O,X,X,X,X,X,X,X
TJISZOL,O,O,O,X,X,X,X,X,X,X
TJISOLZ,O,O,X,X,O,X,X,X,X,X
TJISOZL,X,O,O,X,X,X,X,X,X,X
TJIZLSO,O,O,O,X,X,X,O,O,X,X
TJIZLOS,O,O,O,X,X,X,O,O,X,X
TJIZSLO,O,O,O,X,X,X,O,O,X,X
TJIZSOL,O,O,O,X,X,X,X,X,X,X
TJIZOLS,O,O,O,X,O,X,O,O,O,X
TJIZOSL,O,O,O,X,X,X,X,X,X,X
TJIOLSZ,O,O,X,X,O,X,X,X,X,X
TJIOLZS,O,X,O,X,O,X,X,X,O,X
TJIOSLZ,O,O,X,X,O,X,X,X,X,X
TJIOSZL,X,O,O,X,X,X,X,X,X,X
TJIOZLS,O,O,O,X,O,X,X,X,O,X
TJIOZSL,O,O,O,X,X,X,X,X,X,X
TJLISZO,O,O,X,X,X,X,X,X,X,X
TJLISOZ,O,O,X,X,X,X,X,X,X,X
TJLIZSO,O,O,O,X,X,X,O,O,X,X
TJLIZOS,O,O,O,X,X,X,O,O,X,X
TJLIOSZ,O,O,X,X,O,X,X,X,X,X
TJLIOZS,O,X,O,X,O,X,O,O,X,X
TJLSIZO,O,O,X,X,X,X,X,X,X,X
TJLSIOZ,O,O,X,X,X,X,X,X,X,X
TJLSZIO,O,O,X,X,X,X,X,X,X,X
TJLSZOI,O,O,X,X,X,X,X,X,X,X
TJLSOIZ,O,O,X,X,X,X,X,X,X,X
TJLSOZI,O,O,X,X,X,X,X,X,X,X
TJLZISO,O,O,O,X,X,X,O,O,X,X
TJLZIOS,O,O,O,X,X,X,O,O,X,X
TJLZSIO,O,O,O,X,X,X,O,O,X,X
TJLZSOI,O,O,O,X,X,X,O,O,X,X
TJLZOIS,O,O,O,X,X,X,O,O,X,X
TJLZOSI,O,O,O,X,X,X,O,O,X,X
TJLOISZ,O,O,X,X,O,X,X,X,X,X
TJLOIZS,O,X,O,X,O,X,O,O,X,X
TJLOSIZ,O,O,X,X,O,X,X,X,X,X
TJLOSZI,O,O,X,X,X,X,X,X,X,X
TJLOZIS,O,X,O,X,O,X,O,O,X,X
TJLOZSI,O,X,O,X,X,X,O,O,X,X
TJSILZO,O,O,X,X,X,O,X,X,X,X
TJSILOZ,O,O,X,X,X,O,X,X,X,X
TJSIZLO,O,O,O,X,X,O,X,X,X,O
TJSIZOL,O,O,O,X,X,O,X,X,X,O
TJSIOLZ,O,O,X,X,O,O,X,X,X,X
TJSIOZL,X,O,O,X,X,O,X,X,X,X
TJSLIZO,O,O,X,X,X,O,X,X,X,X
TJSLIOZ,O,O,X,X,X,O,X,X,X,X
TJSLZIO,O,O,X,X,X,O,X,X,X,X
TJSLZOI,O,O,X,X,X,O,X,X,X,X
TJSLOIZ,O,O,X,X,X,O,X,X,X,X
TJSLOZI,O,O,X,X,X,O,X,X,X,X
TJSZILO,O,O,O,X,X,O,X,X,X,O
TJSZIOL,O,O,O,X,X,O,X,X,X,O
TJSZLIO,O,O,O,X,X,O,X,X,X,O
TJSZLOI,O,O,O,X,X,O,X,X,X,O
TJSZOIL,O,O,O,X,X,O,X,X,X,O
TJSZOLI,O,O,O,X,X,O,X,X,X,O
TJSOILZ,O,O,X,X,O,O,X,X,X,X
TJSOIZL,X,O,O,X,X,O,X,X,X,X
TJSOLIZ,O,O,X,X,O,O,X,X,X,X
TJSOLZI,O,O,X,X,X,O,X,X,X,X
TJSOZIL,X,O,O,X,X,O,X,X,X,X
TJSOZLI,X,O,O,X,X,O,X,X,X,X
TJZILSO,O,O,O,X,X,X,O,O,X,X
TJZILOS,O,O,O,X,X,X,O,O,X,X
TJZISLO,O,O,O,X,X,X,O,O,X,X
TJZISOL,O,O,O,X,X,X,X,X,X,X
TJZIOLS,O,O,O,X,O,X,O,O,O,X
TJZIOSL,O,O,O,X,X,X,X,X,X,X
TJZLISO,O,O,O,X,X,X,O,O,X,X
TJZLIOS,O,O,O,X,X,X,O,O,X,X
TJZLSIO,O,O,O,X,X,X,O,O,X,X
TJZLSOI,O,O,O,X,X,X,O,O,X,X
TJZLOIS,O,O,O,X,X,X,O,O,X,X
TJZLOSI,O,O,O,X,X,X,O,O,X,X
TJZSILO,O,O,O,X,X,O,O,O,X,O
TJZSIOL,O,O,O,X,X,O,X,X,X,O
TJZSLIO,O,O,O,X,X,O,O,O,X,O
TJZSLOI,O,O,O,X,X,O,O,O,X,O
TJZSOIL,O,O,O,X,X,O,X,X,X,O
TJZSOLI,O,O,O,X,X,O,X,X,X,O
TJZOILS,O,O,O,X,O,X,O,O,O,X
TJZOISL,O,O,O,X,X,X,X,X,X,X
TJZOLIS,O,O,O,X,O,X,O,O,O,X
TJZOLSI,O,O,O,X,X,X,O,O,X,X
TJZOSIL,O,O,O,X,X,O,X,X,X,O
TJZOSLI,O,O,O,X,X,O,X,X,X,O
TJOILSZ,O,O,X,X,O,X,X,X,X,X
TJOILZS,O,X,O,X,O,X,X,X,O,X
TJOISLZ,O,O,X,X,O,X,X,X,X,X
TJOISZL,X,O,O,X,X,X,X,X,X,X
TJOIZLS,O,O,O,X,O,X,X,X,O,X
TJOIZSL,O,O,O,X,X,X,X,X,X,X
TJOLISZ,O,O,X,X,O,X,X,X,X,X
TJOLIZS,O,X,O,X,O,X,X,X,O,X
TJOLSIZ,O,O,X,X,O,X,X,X,X,X
TJOLSZI,O,O,X,X,X,X,X,X,X,X
TJOLZIS,O,X,O,X,O,X,X,X,O,X
TJOLZSI,O,X,O,X,X,X,X,X,X,X
TJOSILZ,O,O,X,X,O,O,X,X,X,X
TJOSIZL,X,O,O,X,X,O,X,X,X,X
TJOSLIZ,O,O,X,X,O,O,X,X,X,X
TJOSLZI,O,O,X,X,X,O,X,X,X,X
TJOSZIL,X,O,O,X,X,O,X,X,X,X
TJOSZLI,X,O,O,X,X,O,X,X,X,X
TJOZILS,O,O,O,X,O,X,X,X,O,X
TJOZISL,O,O,O,X,X,X,X,X,X,X
TJOZLIS,O,O,O,X,O,X,X,X,O,X
TJOZLSI,O,O,O,X,X,X,X,X,X,X
TJOZSIL,O,O,O,X,X,X,X,X,X,X
TJOZSLI,O,O,O,X,X,X,X,X,X,X
TSILJZO,O,X,X,O,X,O,X,X,X,X
TSILJOZ,O,X,X,X,X,O,X,X,X,X
TSILZJO,O,X,X,O,X,O,O,X,X,O
TSILZOJ,O,X,X,O,X,O,O,X,X,O
TSILOJZ,O,X,X,X,X,O,X,X,X,X
TSILOZJ,O,X,X,X,X,O,O,X,X,X
TSIJLZO,O,O,X,O,X,O,X,X,X,X
TSIJLOZ,O,O,X,X,X,O,X,X,X,X
TSIJZLO,O,O,O,O,X,O,X,X,X,O
TSIJZOL,O,O,O,O,X,O,X,X,X,O
TSIJOLZ,O,O,X,X,O,O,X,X,X,X
TSIJOZL,X,O,O,X,X,O,X,X,X,X
TSIZLJO,O,X,O,O,X,O,O,X,X,O
TSIZLOJ,O,X,X,O,X,O,O,X,X,O
TSIZJLO,O,O,O,O,X,O,O,X,X,O
TSIZJOL,O,O,O,O,X,O,X,X,X,O
TSIZOLJ,O,X,X,O,X,O,X,X,O,O
TSIZOJL,O,O,X,O,X,O,X,X,X,O
TSIOLJZ,O,X,X,X,O,O,X,X,X,X
TSIOLZJ,O,X,X,X,X,O,X,X,O,X
TSIOJLZ,O,O,X,X,O,O,X,X,X,X
TSIOJZL,X,O,X,X,X,O,X,X,X,X
TSIOZLJ,X,X,X,X,X,X,X,X,O,O
TSIOZJL,X,X,X,X,X,X,X,X,X,O
TSLIJZO,O,X,X,O,X,O,X,X,X,X
TSLIJOZ,O,X,X,X,X,O,X,X,X,X
TSLIZJO,O,X,X,O,X,O,O,X,X,O
TSLIZOJ,O,X,X,O,X,O,O,X,X,O
TSLIOJZ,O,X,X,X,X,O,X,X,X,X
TSLIOZJ,O,X,X,X,X,O,O,X,X,X
TSLJIZO,O,X,X,O,X,O,X,X,X,X
TSLJIOZ,O,X,X,X,X,O,X,X,X,X
TSLJZIO,O,X,X,O,X,O,X,X,X,X
TSLJZOI,O,X,X,O,X,O,X,X,X,X
TSLJOIZ,O,X,X,X,X,O,X,X,X,X
TSLJOZI,O,X,X,X,X,O,X,X,X,X
TSLZIJO,O,X,X,O,X,O,O,X,X,O
TSLZIOJ,O,X,X,O,X,O,O,X,X,O
TSLZJIO,O,X,X,O,X,O,O,X,X,O
TSLZJOI,O,X,X,O,X,O,O,X,X,O
TSLZOIJ,O,X,X,O,X,O,O,X,X,O
TSLZOJI,O,X,X,O,X,O,O,X,X,O
TSLOIJZ,O,X,X,X,X,O,X,X,X,X
TSLOIZJ,O,X,X,X,X,O,O,X,X,X
TSLOJIZ,O,X,X,X,X,O,X,X,X,X
TSLOJZI,O,X,X,X,X,O,X,X,X,X
TSLOZIJ,O,X,X,X,X,O,O,X,X,X
TSLOZJI,O,X,X,X,X,O,O,X,X,X
TSJILZO,O,O,X,O,X,O,X,X,X,X
TSJILOZ,O,O,X,X,X,O,X,X,X,X
TSJIZLO,O,O,O,O,X,O,X,X,X,O
TSJIZOL,O,O,O,O,X,O,X,X,X,O
TSJIOLZ,O,O,X,X,O,O,X,X,X,X
TSJIOZL,X,O,O,X,X,O,X,X,X,X
TSJLIZO,O,O,X,O,X,O,X,X,X,X
TSJLIOZ,O,O,X,X,X,O,X,X,X,X
TSJLZIO,O,O,X,O,X,O,X,X,X,X
TSJLZOI,O,O,X,O,X,O,X,X,X,X
TSJLOIZ,O,O,X,X,X,O,X,X,X,X
TSJLOZI,O,O,X,X,X,O,X,X,X,X
TSJZILO,O,O,O,O,X,O,X,X,X,O
TSJZIOL,O,O,O,O,X,O,X,X,X,O
TSJZLIO,O,O,O,O,X,O,X,X,X,O
TSJZLOI,O,O,O,O,X,O,X,X,X,O
TSJZOIL,O,O,O,O,X,O,X,X,X,O
TSJZOLI,O,O,O,O,X,O,X,X,X,O
TSJOILZ,O,O,X,X,O,O,X,X,X,X
TSJOIZL,X,O,O,X,X,O,X,X,X,X
TSJOLIZ,O,O,X,X,O,O,X,X,X,X
TSJOLZI,O,O,X,X,X,O,X,X,X,X
TSJOZIL,X,O,O,X,X,O,X,X,X,X
TSJOZLI,X,O,O,X,X,O,X,X,X,X
TSZILJO,O,X,O,O,X,O,O,X,X,O
TSZILOJ,O,X,X,O,X,O,O,X,X,O
TSZIJLO,O,O,O,O,X,O,O,X,X,O
TSZIJOL,O,O,O,O,X,O,X,X,X,O
TSZIOLJ,O,X,X,O,X,O,X,X,O,O
TSZIOJL,O,O,X,O,X,O,X,X,X,O
TSZLIJO,O,X,O,O,X,O,O,X,X,O
TSZLIOJ,O,X,X,O,X,O,O,X,X,O
TSZLJIO,O,X,O,O,X,O,O,X,X,O
TSZLJOI,O,X,O,O,X,O,O,X,X,O
TSZLOIJ,O,X,X,O,X,O,O,X,X,O
TSZLOJI,O,X,X,O,X,O,O,X,X,O
TSZJILO,O,O,O,O,X,O,O,X,X,O
TSZJIOL,O,O,O,O,X,O,X,X,X,O
TSZJLIO,O,O,O,O,X,O,O,X,X,O
TSZJLOI,O,O,O,O,X,O,O,X,X,O
TSZJOIL,O,O,O,O,X,O,X,X,X,O
TSZJOLI,O,O,O,O,X,O,X,X,X,O
TSZOILJ,O,X,X,O,X,O,X,X,O,O
TSZOIJL,O,O,X,O,X,O,X,X,X,O
TSZOLIJ,O,X,X,O,X,O,X,X,O,O
TSZOLJI,O,X,X,O,X,O,X,X,X,O
TSZOJIL,O,O,X,O,X,O,X,X,X,O
TSZOJLI,O,O,X,O,X,O,X,X,X,O
TSOILJZ,O,X,X,X,O,O,X,X,X,X
TSOILZJ,O,X,X,X,X,O,X,X,O,X
TSOIJLZ,O,O,X,X,O,O,X,X,X,X
