sequence,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je/AJvhFahBUdBFeB5?mBTnBmqB,v115@zgB8HeB8GeD8EeD8FeF8BeD8JeT7IvhFxdB0hBliBX?hBmqBCsB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je/AJvhFRcBFeBThB6?nB8rBmqB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Jei7IvhFFdBXeBGhBT?nBxqBUrB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je08IvhFxdBlgB3iBO?rBTlBCsB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je08IvhFxdBlgB3iBK?rBWxBTqB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Jex9IvhF0gBlhB3iBT?lBOrBCsB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Jex8IvhFXeBlgBUiBO?rBTlBCsB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je08IvhFxdBlgBunBi?mBTlB3rB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Jex8IvhFXeBlgBUiBK?rBWxBTqB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je/AJvhFRcBThBliB8?rBCoBmqB,v115@zgB8HeB8GeD8EeD8FeF8BeD8JeT7IvhFuhBliB3lB8?rBZmBCtB
TIZLJSO,O,O,X,X,X,O,X,X,X,X,X,X
TIZLJOS,X,O,X,X,X,X,X,X,X,X,X,X
TIZLSJO,O,X,X,X,X,X,O,X,X,X,X,X
TIZLSOJ,O,O,X,X,X,X,O,X,X,X,X,X
TIZLOJS,X,O,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,X,O,X,X,X,X,X,X,X,X,X,X
TIZJLSO,O,O,X,X,X,X,X,X,X,X,X,X
TIZJLOS,X,O,X,X,X,X,X,X,X,X,X,X
TIZJSLO,O,X,O,X,O,X,X,X,X,X,X,O
TIZJSOL,O,X,O,X,O,X,X,X,X,X,O,O
TIZJOLS,X,O,X,X,X,X,X,X,X,X,X,X
TIZJOSL,O,X,O,X,X,X,X,X,X,X,O,X
TIZSLJO,O,X,O,X,X,X,O,X,X,X,X,X
TIZSLOJ,O,X,O,X,X,X,O,X,X,X,X,X
TIZSJLO,O,X,O,X,X,X,O,X,X,X,X,O
TIZSJOL,O,X,O,X,X,X,O,X,X,X,O,O
TIZSOLJ,O,X,O,X,X,X,O,X,X,X,O,X
TIZSOJL,X,X,O,X,X,X,O,X,X,X,O,O
TIZOLJS,X,O,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,O,X,X,X,X,X,X,X,X,X,X
TIZOJLS,X,O,X,X,X,X,X,X,X,X,X,X
TIZOJSL,O,X,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,O,X,O,X,X,X,X,X,X,X,O,X
TIZOSJL,X,X,O,X,X,X,X,X,X,X,O,O
TIOLJSZ,O,O,X,O,X,X,X,X,X,X,X,X
TIOLJZS,O,O,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,O,X,O,X,X,X,X,X,X,X,X
TIOLSZJ,O,O,X,O,X,X,X,X,X,X,X,X
TIOLZJS,O,O,X,O,X,X,X,X,X,X,X,X
TIOLZSJ,O,O,X,O,X,X,X,X,X,X,X,X
TIOJLSZ,O,O,X,O,X,X,X,X,X,X,X,X
TIOJLZS,O,O,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,O,O,X,O,X,X,X,X,X,X,X,X
TIOJSZL,O,X,X,O,X,X,X,X,X,X,X,X
TIOJZLS,O,O,X,O,X,X,X,X,X,X,X,X
TIOJZSL,O,X,X,O,X,X,X,X,X,X,X,X
TIOSLJZ,O,O,X,O,X,X,X,X,X,X,X,X
TIOSLZJ,O,O,X,O,X,X,X,X,X,X,X,X
TIOSJLZ,O,O,X,O,X,X,X,X,X,X,X,X
TIOSJZL,O,X,X,O,X,X,X,X,X,X,X,X
TIOSZLJ,O,X,X,O,X,X,X,X,X,X,X,X
TIOSZJL,O,X,X,O,X,X,X,X,X,X,X,X
TIOZLJS,O,O,X,O,X,X,X,X,X,X,X,X
TIOZLSJ,O,O,X,O,X,X,X,X,X,X,X,X
TIOZJLS,O,O,X,O,X,X,X,X,X,X,X,X
TIOZJSL,O,X,X,O,X,X,X,X,X,X,X,X
TIOZSLJ,O,X,X,O,X,X,X,X,X,X,X,X
TIOZSJL,O,X,X,O,X,X,X,X,X,X,X,O
TLIJSZO,O,O,O,O,X,O,X,X,X,O,X,X
TLIJSOZ,O,O,O,O,X,O,X,X,X,X,X,X
TLIJZSO,O,O,O,O,X,O,X,X,X,O,X,X
TLIJZOS,X,O,O,X,X,X,X,X,X,O,X,X
TLIJOSZ,X,O,X,O,X,X,X,X,X,X,X,X
TLIJOZS,X,O,X,O,X,X,X,X,X,X,X,X
TLISJZO,O,O,O,O,O,O,O,X,X,O,X,X
TLISJOZ,X,O,O,O,O,O,X,X,X,X,X,X
TLISZJO,O,X,O,O,X,X,O,O,X,X,X,X
TLISZOJ,O,O,O,X,X,X,O,X,X,X,X,X
TLISOJZ,X,O,O,O,X,X,X,X,X,X,X,X
TLISOZJ,O,O,O,X,X,X,O,X,X,X,X,X
TLIZJSO,O,O,O,X,X,O,X,X,X,X,X,X
TLIZJOS,X,O,O,X,X,X,X,X,X,X,X,X
TLIZSJO,O,X,O,X,X,X,O,O,X,X,X,X
TLIZSOJ,O,O,O,X,X,X,O,X,X,X,X,X
TLIZOJS,X,O,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,X,O,O,X,X,X,X,X,X,X,X,X
TLIOJSZ,X,O,X,O,X,X,X,X,X,X,X,X
TLIOJZS,X,O,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,X,O,X,O,X,X,X,X,X,X,X,X
TLIOSZJ,X,O,X,O,X,X,X,X,X,X,X,X
TLIOZJS,X,O,X,O,X,X,X,X,X,X,X,X
TLIOZSJ,X,O,X,O,X,X,X,X,X,X,X,X
TLJISZO,O,O,O,X,O,O,X,O,X,O,X,X
TLJISOZ,O,O,O,X,O,O,X,X,X,X,X,X
TLJIZSO,O,O,O,X,O,O,X,O,X,O,X,X
TLJIZOS,X,O,O,X,X,X,X,O,X,O,X,X
TLJIOSZ,X,O,X,X,X,X,X,X,X,X,X,X
TLJIOZS,X,O,X,X,X,X,X,X,X,X,X,X
TLJSIZO,O,O,O,X,O,O,O,O,O,O,X,X
TLJSIOZ,O,O,O,X,O,O,X,X,O,X,X,X
TLJSZIO,O,O,O,X,O,O,O,O,O,O,X,X
TLJSZOI,O,O,O,X,O,O,O,O,O,O,O,X
TLJSOIZ,O,O,O,X,O,O,X,X,O,X,X,X
TLJSOZI,O,O,O,X,O,O,X,O,O,O,X,X
TLJZISO,X,O,O,X,O,O,X,O,X,O,X,X
TLJZIOS,X,O,O,X,X,X,X,O,X,O,X,X
TLJZSIO,X,O,O,X,O,O,O,O,X,O,X,X
TLJZSOI,X,O,O,X,O,O,O,O,X,O,O,X
TLJZOIS,X,O,O,X,X,X,X,O,X,O,X,X
TLJZOSI,X,O,O,X,O,O,X,O,X,O,O,X
TLJOISZ,O,O,X,X,X,X,X,X,X,X,X,X
TLJOIZS,O,O,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,O,O,X,O,O,X,X,X,X,X,X
TLJOSZI,O,O,O,X,O,O,X,O,X,O,X,X
TLJOZIS,O,O,O,X,X,X,X,O,X,O,X,X
TLJOZSI,O,O,O,X,O,O,X,O,X,O,X,X
TLSIJZO,O,O,O,O,O,O,O,X,O,O,X,X
TLSIJOZ,O,O,O,O,O,O,X,X,O,X,X,X
TLSIZJO,O,X,O,O,X,X,O,O,O,X,X,X
TLSIZOJ,O,O,O,X,X,X,O,X,X,X,X,X
TLSIOJZ,O,O,O,O,X,X,X,X,X,X,X,X
TLSIOZJ,O,O,O,O,X,X,O,X,X,X,X,X
TLSJIZO,O,O,O,O,O,O,O,O,O,O,X,X
TLSJIOZ,O,O,O,O,O,O,X,X,O,X,X,X
TLSJZIO,O,O,O,X,O,O,O,O,O,O,X,X
TLSJZOI,O,O,O,X,O,O,O,O,O,O,O,X
TLSJOIZ,O,O,O,O,O,O,X,X,O,X,X,X
TLSJOZI,O,O,O,X,O,O,X,O,O,O,X,X
TLSZIJO,O,X,O,O,X,X,O,O,O,X,X,X
TLSZIOJ,O,O,O,X,X,X,O,X,X,X,X,X
TLSZJIO,O,X,O,X,X,O,O,O,O,O,X,X
TLSZJOI,O,X,O,X,X,O,O,O,O,O,O,X
TLSZOIJ,O,O,O,O,X,X,O,X,X,X,O,X
TLSZOJI,O,O,O,X,X,X,O,O,O,X,O,X
TLSOIJZ,O,O,O,O,X,X,X,X,X,X,X,X
TLSOIZJ,O,O,O,O,X,X,O,X,X,X,X,X
TLSOJIZ,O,O,O,O,X,O,X,X,O,X,X,X
TLSOJZI,O,O,O,X,X,O,X,X,O,O,X,X
TLSOZIJ,O,O,O,O,X,X,O,X,X,X,X,X
TLSOZJI,O,O,O,X,X,X,O,O,O,X,X,X
TLZIJSO,X,O,O,X,X,O,X,X,X,X,X,X
TLZIJOS,X,O,O,X,X,X,X,X,X,X,X,X
TLZISJO,X,X,O,X,X,X,O,O,X,X,X,X
TLZISOJ,X,O,O,X,X,X,O,X,X,X,X,X
TLZIOJS,X,O,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,X,O,O,X,X,X,X,X,X,X,X,X
TLZJISO,X,O,O,X,X,O,X,X,X,O,X,X
TLZJIOS,X,O,O,X,X,X,X,X,X,O,X,X
TLZJSIO,X,O,O,X,O,O,O,O,X,O,X,O
TLZJSOI,X,O,O,X,O,O,O,O,X,O,O,O
TLZJOIS,X,O,O,X,X,X,X,X,X,O,X,X
TLZJOSI,X,O,O,X,X,O,X,X,X,O,O,X
TLZSIJO,X,X,O,X,X,X,O,O,X,X,X,X
TLZSIOJ,X,O,O,X,X,X,O,X,X,X,X,X
TLZSJIO,X,X,O,X,X,O,O,O,X,O,X,O
TLZSJOI,X,X,O,X,X,O,O,O,X,O,O,O
TLZSOIJ,X,O,O,X,X,X,O,X,X,X,O,X
TLZSOJI,X,O,O,X,X,X,O,O,X,X,O,O
TLZOIJS,X,O,X,X,X,X,X,X,X,X,X,X
TLZOISJ,X,O,O,X,X,X,X,X,X,X,X,X
TLZOJIS,X,O,O,X,X,X,X,X,X,X,X,X
TLZOJSI,X,O,O,X,X,O,X,X,X,X,X,X
TLZOSIJ,X,O,O,X,X,X,O,X,X,X,O,X
TLZOSJI,X,O,O,X,X,X,O,O,X,X,O,O
TLOIJSZ,O,O,X,O,X,X,X,X,X,X,X,X
TLOIJZS,O,O,X,X,X,X,X,X,X,X,X,X
TLOISJZ,O,O,X,O,X,X,X,X,X,X,X,X
TLOISZJ,O,O,X,O,X,X,X,X,X,X,X,X
TLOIZJS,O,O,X,O,X,X,X,X,X,X,X,X
TLOIZSJ,O,O,X,O,X,X,X,X,X,X,X,X
TLOJISZ,O,O,X,X,X,X,X,X,X,X,X,X
TLOJIZS,O,O,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,O,O,O,X,O,X,X,X,X,X,X
TLOJSZI,O,O,O,X,X,O,X,X,X,O,X,X
TLOJZIS,O,O,O,X,X,X,X,X,X,O,X,X
TLOJZSI,O,O,O,X,X,O,X,X,X,O,X,X
TLOSIJZ,O,O,O,O,X,X,X,X,X,X,X,X
TLOSIZJ,O,O,O,O,X,X,O,X,X,X,X,X
TLOSJIZ,O,O,O,O,X,O,X,X,X,X,X,X
TLOSJZI,O,O,O,X,X,O,X,X,X,O,X,X
TLOSZIJ,O,O,O,O,X,X,O,X,X,X,X,X
TLOSZJI,O,O,O,X,X,X,O,O,X,X,X,X
TLOZIJS,O,O,X,X,X,X,X,X,X,X,X,X
TLOZISJ,O,O,O,X,X,X,X,X,X,X,X,X
TLOZJIS,O,O,O,X,X,X,X,X,X,X,X,X
TLOZJSI,O,O,O,X,X,O,X,X,X,X,X,X
TLOZSIJ,O,O,O,O,X,X,O,X,X,X,X,X
TLOZSJI,O,O,O,X,X,X,O,O,X,X,X,O
TJILSZO,O,O,O,X,O,X,X,O,X,X,X,X
TJILSOZ,O,O,O,X,O,X,X,X,X,X,X,X
TJILZSO,O,O,O,X,O,X,X,O,X,X,X,X
TJILZOS,X,O,O,X,X,X,X,O,X,X,X,X
TJILOSZ,X,O,X,X,X,X,X,X,X,X,X,X
TJILOZS,X,O,X,X,X,X,X,X,X,X,X,X
TJISLZO,O,O,O,X,O,X,X,X,O,X,X,X
TJISLOZ,O,O,O,X,O,X,X,X,O,X,X,X
TJISZLO,O,X,O,X,O,X,X,O,O,X,X,X
TJISZOL,O,X,O,X,O,X,X,O,X,X,O,X
TJISOLZ,O,O,O,X,O,X,X,X,X,X,X,X
TJISOZL,O,X,O,X,O,X,X,X,X,X,X,X
TJIZLSO,O,O,X,X,X,X,X,O,X,X,X,X
TJIZLOS,X,O,X,X,X,X,X,O,X,X,X,X
TJIZSLO,O,X,O,X,O,X,X,O,X,X,X,X
TJIZSOL,O,X,O,X,O,X,X,O,X,X,O,X
TJIZOLS,X,O,X,X,X,X,X,X,X,X,X,X
TJIZOSL,O,X,O,X,X,X,X,O,X,X,O,X
TJIOLSZ,O,O,X,X,X,X,X,X,X,X,X,X
TJIOLZS,O,O,X,X,X,X,X,X,X,X,X,X
TJIOSLZ,O,O,X,X,X,X,X,X,X,X,X,X
TJIOSZL,O,X,O,X,X,X,X,X,X,X,X,X
TJIOZLS,O,O,X,X,X,X,X,X,X,X,X,X
TJIOZSL,O,X,O,X,X,X,X,X,X,X,X,X
TJLISZO,O,O,O,X,O,O,X,O,X,O,X,X
TJLISOZ,O,O,O,X,O,O,X,X,X,X,X,X
TJLIZSO,O,O,O,X,O,O,X,O,X,O,X,X
TJLIZOS,X,O,O,X,X,X,X,O,X,O,X,X
TJLIOSZ,X,O,X,X,X,X,X,X,X,X,X,X
TJLIOZS,X,O,X,X,X,X,X,X,X,X,X,X
TJLSIZO,O,O,O,X,O,O,X,O,O,O,X,X
TJLSIOZ,O,O,O,X,O,O,X,X,O,X,X,X
TJLSZIO,O,O,O,X,O,O,X,O,O,O,X,X
TJLSZOI,O,O,O,X,O,O,X,O,O,O,O,X
TJLSOIZ,O,O,O,X,O,O,X,X,O,X,X,X
TJLSOZI,O,O,O,X,O,O,X,O,O,O,X,X
TJLZISO,X,O,O,X,O,O,X,O,X,O,X,X
TJLZIOS,X,O,O,X,X,X,X,O,X,O,X,X
TJLZSIO,X,O,O,X,O,O,X,O,X,O,X,X
TJLZSOI,X,O,O,X,O,O,X,O,X,O,O,X
TJLZOIS,X,O,O,X,X,X,X,O,X,O,X,X
TJLZOSI,X,O,O,X,O,O,X,O,X,O,O,X
TJLOISZ,O,O,X,X,X,X,X,X,X,X,X,X
TJLOIZS,O,O,X,X,X,X,X,X,X,X,X,X
TJLOSIZ,O,O,O,X,O,O,X,X,X,X,X,X
TJLOSZI,O,O,O,X,O,O,X,O,X,O,X,X
TJLOZIS,O,O,O,X,X,X,X,O,X,O,X,X
TJLOZSI,O,O,O,X,O,O,X,O,X,O,X,X
TJSILZO,O,O,O,X,O,O,X,X,O,X,X,X
TJSILOZ,O,O,O,X,O,O,X,X,O,X,X,X
TJSIZLO,O,X,O,X,O,O,X,O,O,X,X,X
TJSIZOL,O,X,O,X,O,X,X,O,X,X,O,X
TJSIOLZ,O,O,O,X,O,X,X,X,X,X,X,X
TJSIOZL,O,X,O,X,O,X,X,X,X,X,X,X
TJSLIZO,O,O,O,X,O,O,X,O,O,O,X,X
TJSLIOZ,O,O,O,X,O,O,X,X,O,X,X,X
TJSLZIO,O,O,O,X,O,O,X,O,O,O,X,X
TJSLZOI,O,O,O,X,O,O,X,O,O,O,O,X
TJSLOIZ,O,O,O,X,O,O,X,X,O,X,X,X
TJSLOZI,O,O,O,X,O,O,X,O,O,O,X,X
TJSZILO,O,X,O,X,O,O,X,O,O,O,X,X
TJSZIOL,O,X,O,X,O,X,X,O,X,X,O,X
TJSZLIO,O,X,O,X,O,O,X,O,O,O,X,X
TJSZLOI,O,X,O,X,O,O,X,O,O,O,O,X
TJSZOIL,O,X,O,X,O,X,X,O,X,X,O,X
TJSZOLI,O,X,O,X,O,X,X,O,O,X,O,X
TJSOILZ,O,O,O,X,O,X,X,X,X,X,X,X
TJSOIZL,O,X,O,X,O,X,X,X,X,X,X,X
TJSOLIZ,O,O,O,X,O,X,X,X,O,X,X,X
TJSOLZI,O,O,O,X,O,X,X,X,O,X,X,X
TJSOZIL,O,X,O,X,O,X,X,O,X,X,O,X
TJSOZLI,O,X,O,X,O,X,X,O,O,X,O,X
TJZILSO,O,O,X,X,X,X,X,O,X,O,X,X
TJZILOS,X,O,X,X,X,X,X,O,X,O,X,X
TJZISLO,O,X,O,X,O,X,X,O,X,O,X,O
TJZISOL,O,X,O,X,O,X,X,O,X,X,O,O
TJZIOLS,X,O,X,X,X,X,X,X,X,X,X,X
TJZIOSL,O,X,O,X,X,X,X,O,X,X,O,X
TJZLISO,X,O,O,X,O,O,X,O,X,O,X,X
TJZLIOS,X,O,O,X,X,X,X,O,X,O,X,X
TJZLSIO,X,O,O,X,O,O,X,O,X,O,X,O
TJZLSOI,X,O,O,X,O,O,X,O,X,O,O,O
TJZLOIS,X,O,O,X,X,X,X,O,X,O,X,X
TJZLOSI,X,O,O,X,O,O,X,O,X,O,O,X
TJZSILO,O,X,O,X,O,O,X,O,O,O,X,O
TJZSIOL,O,X,O,X,O,X,X,O,X,X,O,O
TJZSLIO,O,X,O,X,O,O,X,O,O,O,X,O
TJZSLOI,O,X,O,X,O,O,X,O,O,O,O,O
TJZSOIL,O,X,O,X,O,X,X,O,X,X,O,O
TJZSOLI,O,X,O,X,O,X,X,O,O,X,O,O
TJZOILS,O,O,X,X,X,X,X,X,X,X,X,X
TJZOISL,O,X,O,X,X,X,X,O,X,X,O,X
TJZOLIS,O,O,O,X,X,X,X,O,X,X,X,X
TJZOLSI,O,O,O,X,X,X,X,O,X,X,O,X
TJZOSIL,O,X,O,X,O,X,X,O,X,X,O,O
TJZOSLI,O,X,O,X,O,X,X,O,X,X,O,O
TJOILSZ,O,O,X,X,X,X,X,X,X,X,X,X
TJOILZS,O,O,X,X,X,X,X,X,X,X,X,X
TJOISLZ,O,O,X,X,X,X,X,X,X,X,X,X
TJOISZL,O,X,O,X,X,X,X,X,X,X,X,X
TJOIZLS,O,O,X,X,X,X,X,X,X,X,X,X
TJOIZSL,O,X,O,X,X,X,X,X,X,X,X,X
TJOLISZ,O,O,X,X,X,X,X,X,X,X,X,X
TJOLIZS,O,O,X,X,X,X,X,X,X,X,X,X
TJOLSIZ,O,O,O,X,O,X,X,X,X,X,X,X
TJOLSZI,O,O,O,X,O,X,X,O,X,X,X,X
TJOLZIS,O,O,O,X,X,X,X,O,X,X,X,X
TJOLZSI,O,O,O,X,O,X,X,O,X,X,X,X
TJOSILZ,O,O,O,X,O,X,X,X,X,X,X,X
TJOSIZL,O,X,O,X,O,X,X,X,X,X,X,X
TJOSLIZ,O,O,O,X,O,X,X,X,O,X,X,X
TJOSLZI,O,O,O,X,O,X,X,X,O,X,X,X
TJOSZIL,O,X,O,X,O,X,X,O,X,X,O,X
TJOSZLI,O,X,O,X,O,X,X,O,O,X,O,X
TJOZILS,O,O,X,X,X,X,X,X,X,X,X,X
TJOZISL,O,X,O,X,X,X,X,O,X,X,O,X
TJOZLIS,O,O,X,X,X,X,X,O,X,X,X,X
TJOZLSI,O,O,O,X,X,X,X,O,X,X,O,X
TJOZSIL,O,X,O,X,O,X,X,O,X,X,O,O
TJOZSLI,O,X,O,X,O,X,X,O,X,X,O,O
TSILJZO,O,O,O,O,O,X,O,X,O,O,X,X
TSILJOZ,O,O,O,O,O,X,X,X,O,X,X,X
TSILZJO,O,X,O,O,X,X,O,O,O,X,X,X
TSILZOJ,O,O,O,X,X,X,O,X,X,X,X,X
TSILOJZ,O,O,O,O,X,X,X,X,X,X,X,X
TSILOZJ,O,O,O,O,X,X,O,X,X,X,X,X
TSIJLZO,O,O,O,O,O,O,X,X,O,X,X,X
TSIJLOZ,O,O,O,O,O,O,X,X,O,X,X,X
TSIJZLO,O,X,O,O,O,O,O,O,O,X,X,X
TSIJZOL,O,X,O,X,O,X,O,O,X,X,O,X
TSIJOLZ,O,O,O,O,O,X,X,X,X,X,X,X
TSIJOZL,O,X,O,X,O,X,X,X,X,X,X,X
TSIZLJO,O,X,O,O,X,X,O,X,O,X,X,X
TSIZLOJ,O,X,O,X,X,X,O,X,X,X,X,X
TSIZJLO,O,X,O,O,X,X,O,X,O,X,X,X
TSIZJOL,O,X,O,X,X,X,O,X,X,X,O,X
TSIZOLJ,O,X,O,X,X,X,O,X,X,X,O,X
TSIZOJL,X,X,O,X,X,X,O,X,X,X,O,X
TSIOLJZ,O,O,O,O,X,X,X,X,X,X,X,X
TSIOLZJ,O,O,O,O,X,X,X,X,X,X,X,X
TSIOJLZ,O,O,O,O,X,X,X,X,X,X,X,X
TSIOJZL,O,X,O,O,X,X,X,X,X,X,X,X
TSIOZLJ,O,X,O,O,X,X,O,X,X,X,X,X
TSIOZJL,O,X,O,O,X,X,O,X,X,X,X,X
TSLIJZO,O,O,O,O,O,O,O,X,O,O,X,X
TSLIJOZ,O,O,O,O,O,O,X,X,O,X,X,X
TSLIZJO,O,X,O,O,X,X,O,O,O,X,X,X
TSLIZOJ,O,O,O,X,X,X,O,X,X,X,X,X
TSLIOJZ,O,O,O,O,X,X,X,X,X,X,X,X
TSLIOZJ,O,O,O,O,X,X,O,X,X,X,X,X
TSLJIZO,O,O,O,O,O,O,O,O,O,O,X,X
TSLJIOZ,O,O,O,O,O,O,X,X,O,X,X,X
TSLJZIO,O,O,O,X,O,O,O,O,O,O,X,X
TSLJZOI,O,O,O,X,O,O,O,O,O,O,O,X
TSLJOIZ,O,O,O,O,O,O,X,X,O,X,X,X
