sequence,v115@vhHU7IvfB6tBWrBdqBKpBzsBRwB,v115@vhHMDJ3dB+tBtsByrBTkByuBRwB,v115@vhHMBJvfB6tBWrBdqBKpBzsBRwB,v115@vhHMDJvhB+tBtsByrBTkByuBRwB,v115@vhHO6I5fB0gBNqBKpBTtBSxBXrB,v115@vhH++IvfBMnB6tBdqBKpBzsBRwB,v115@vhHK6IMjBvlB+tBtsBTkByuBRwB,v115@vhH6+IUbBvfBToBdqBKpBWyBRwB,v115@vhH01IvfB6tBWrBdqBKpBzsBRwB,v115@vhHX5IMjB+tBtsByrBTkByuBRwB,v115@vhHT5IvfBMoBunBdqBKpBSyBRwB,v115@vhHT1IMjBifB+tBtsB3kByuBRwB,v115@vhH6+IsiBvfBToBdqBKpBWyBRwB,v115@vhH6+I0VBvfBToBdqBKpBWyBRwB,v115@vhHG5IKaBvjBtnBKpBTtBUsBRqB,v115@vhH++I0VBvfB6tBdqBKpBzsBRwB,v115@vhHX5IKaBMjB+tBtsBTkByuBRwB,v115@vhHK9I0hB+kBNrBTlBSyBXsBxuB,v115@vhH++IUbBvfB6tBdqBKpBzsBRwB,v115@vhHK6IMjB3dB+tBtsBTkByuBRwB,v115@vhHT5IUbBvfBGjBdqBKpBSyBRwB,v115@vhHT5I0VBvfBGjBdqBKpBSyBRwB,v115@vhH++I6tBTnB9rB3lBMpByxBRvB,v115@vhHT5IMoBunBdsBXmBKpBSyBxvB,v115@vhHe+I3hBKkBznBdsBSyBUrBxuB,v115@vhHq6I5oBUhBtqBzkByxB3rB2uB,v115@vhHX5ITVBMjBKkB+tBtsByuBRwB,v115@vhH6DJ3hBZkBznBdsBSyBUrBWvB,v115@vhHU8IXjBdnBStBuqBTrBipBxxB,v115@vhH38IWmBTfBdsBypBSyBUrBxuB,v115@vhHG5IvjBtnBZkBKrBTtBUsBCqB,v115@vhHi1IMfB5oBdlB+rBisB3qBTpB,v115@vhH01IvfBGjBznBdqBKpBSyBRwB,v115@vhHX5IMjBzfBKkB+tBtsByuBRwB,v115@vhH01IvfBCjBToBdqBKpBWyBRwB,v115@vhHU9IynBTfB+tBtrB3sBipBRvB,v115@vhH01I+jBvfB6sBdqBKpBTtBRwB,v115@vhHa+IznBdsBXmBspBOpBSyBxvB,v115@vhHT5ItiBMoBRmBKqBOpBSyBXsB,v115@vhHe9IvfBMnB6tBdqBKpBzsBRwB,v115@vhHq7IMjBvlB+tBtsBTkByuBRwB,v115@vhHqCJukBvsBUmBNqBKpBTtBRwB,v115@vhHe9IvfBMoBTnBdqBKpBSyBRwB,v115@vhHG3IzbB3hBKkBdsBSyBUrBxuB,v115@vhHT3IqbB3hBZkBdsBSyBUrBWvB,v115@vhHi3IzcB5oBUhBtqByxB3rB2uB,v115@vhHX5IMjBKfB+tBtsBiqBTpBRwB,v115@vhHK/IulBvtBUnBNrBKqBTpBRxB,v115@vhHG5IvjBiaBtnBKpBTtBUsBRqB,v115@vhH+/IThBCoBdsBXlBSyBUrBxuB,v115@vhH+/IThBCoBdsB0lBSyB3pBxvB,v115@vhHKDJukBvsBUmBNqBKpBTtBRwB,v115@vhH+DJ6kBvsBUmBNqBKpBTtBRwB,v115@vhHM/I5oBmiBdlBSsByxB3qBTpB,v115@vhHq6I6tBPtB0mBtqBzkB2uBxwB,v115@vhH++I0VBvfBToBdqBKpBSwBxxB,v115@vhH01IvfB5oBznBdqBKpB2xBSwB,v115@vhH01IvfBSoBdqBKpBTtBGsBRwB,v115@vhHT1ISmBPlBZkBdsBSyBUrBWvB,v115@vhHT4IMoBunBdsBXmBKpBSyBxvB,v115@vhH01IvfBTjBWtBdqBKpBSwBxxB,v115@vhHi6IMoB9lB3fBSyBxrB2vBTpB,v115@vhHx2IUcBtlBvsBqrB2pBTtByvB,v115@vhHM+ISoBPnBZkBNrBTtBSxBWvB,v115@vhHK6IPjB5oBNnBKpBzsB0rBGqB,v115@vhHG3I3hBKkBznBdsBSyBUrBxuB,v115@vhHi3I5oBUhBtqBzkByxB3rB2uB
SIOJZTL,X,O,X,O,X,X,O,O,X,O,X,O,O,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,O,X,O,O,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,O,O,X,O
SIOJZLT,O,O,X,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,O,O,X,X,O,O,O,X,O,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,X,O,O,O,O,X,O,O,X,O,O,X,O
SIOZTLJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,X,O,X,X,X,O,X,O,O,O,O,O,O,O,X,O,X,O,X,X,X,O,O,X,O,X,X
SIOZTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,X,O,X,X,X,O,X,O,O,O,O,O,O,O,X,O,X,O,X,X,X,O,X,X,O,X,X
SIOZLTJ,O,X,O,X,X,O,X,X,O,X,X,X,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,O,O,X,O,O,X,X,O,X,O,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O,O,O,X,X
SIOZLJT,O,X,X,X,O,O,O,X,O,X,X,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,O,O,O,O,O,X,X,O,X,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,O
SIOZJTL,X,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,O,O,O,O,O,O,X,X,X,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,O
SIOZJLT,O,X,X,X,O,O,O,O,O,X,X,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,O,O,O,O,O,X,X,O,X,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,O
SLTIJZO,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
SLTIJOZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X
SLTIZJO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
SLTIZOJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
SLTIOJZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
SLTIOZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
SLTJIZO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SLTJIOZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
SLTJZIO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
SLTJZOI,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
SLTJOIZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
SLTJOZI,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
SLTZIJO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X
SLTZIOJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
SLTZJIO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
SLTZJOI,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
SLTZOIJ,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
SLTZOJI,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
SLTOIJZ,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SLTOIZJ,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SLTOJIZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SLTOJZI,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
SLTOZIJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
SLTOZJI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
SLITJZO,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X
SLITJOZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X
SLITZJO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X
SLITZOJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
SLITOJZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
SLITOZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
SLIJTZO,X,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X
SLIJTOZ,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X
SLIJZTO,X,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,O,X,X,O,O,O,O,X,O,O,X,X,X,X,X,O,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,O,O,X,O,X,X,X,O
SLIJZOT,X,X,X,X,O,X,O,O,X,X,O,O,X,O,X,O,X,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,O,O,O,X,O,O,X,O,X,O,X,O
SLIJOTZ,X,X,X,X,X,O,O,O,X,X,X,O,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,X,X,O,O,X,X
SLIJOZT,X,X,X,X,O,O,O,O,X,X,X,O,O,O,X,O,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,O,O,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,X,O,O,O,X,X
SLIZTJO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,O
SLIZTOJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X
SLIZJTO,X,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,O,X,X,O,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,O,O,X,O,X,X,X,O
SLIZJOT,X,X,X,X,O,X,X,O,X,X,O,O,X,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,O,O,O,X,O,O,X,O,X,O,X,O
SLIZOTJ,O,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,O,X,O,O,X,X,O,X,O,O,X,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,X
SLIZOJT,O,X,X,X,O,O,X,X,O,X,O,O,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,O,O,O,O,X,X,O,X,O,O,X,O,O,O,O,X,O,O,O,X,O,O,X,O,X,O,X,O
SLIOTJZ,O,X,O,X,X,O,O,X,O,X,X,O,X,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,O,O,X,X
SLIOTZJ,O,X,O,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O,X,O,O,X,X,X,X,O,O,X,X,O,X,O,X,O,X,O,X,O,O,X,X,O,O,X,X
SLIOJTZ,O,X,O,X,X,O,O,X,O,X,X,O,X,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O,O,O,X,X,O,X,X,O,O,X,X
SLIOJZT,O,X,X,X,O,O,O,X,O,X,X,O,X,X,O,O,X,X,O,X,O,O,O,X,X,X,O,X,X,X,O,O,O,O,X,X,O,X,O,O,O,O,O,X,X,X,X,O,O,X,X,O,O,O,X,O,O,O,X,X,O,X,O,O,O,X,X
SLIOZTJ,O,X,O,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X,O,O,X,X,O,O,O,X,O,X,O,X,O,O,X,O,O,O,X,X
SLIOZJT,O,X,X,X,O,O,O,X,O,X,O,O,X,X,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,O,O,O,O,O,X,X,X,X,O,O,X,X,O,O,O,X,O,O,O,X,O,O,X,O,O,O,X,X
SLJTIZO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SLJTIOZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
SLJTZIO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
SLJTZOI,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
SLJTOIZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
SLJTOZI,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
SLJITZO,X,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
SLJITOZ,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X
SLJIZTO,X,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X,O
SLJIZOT,X,X,X,X,O,X,O,O,X,X,O,O,X,O,X,O,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,O,O,O,X,X,O,X,O,X,O,X,O
SLJIOTZ,X,X,X,X,X,O,O,O,X,X,X,O,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,X,X,O,O,X,X
SLJIOZT,X,X,X,X,O,O,O,O,X,X,X,O,O,O,X,O,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,O,O,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,X,O,O,O,X,X
SLJZTIO,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
SLJZTOI,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
SLJZITO,X,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,O
SLJZIOT,X,X,X,X,O,X,O,O,X,X,O,O,X,O,X,O,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,X,O,X,O,X,O
SLJZOTI,X,X,X,X,O,O,O,O,X,X,O,O,X,O,X,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X,O,X,X
SLJZOIT,O,X,X,X,O,O,O,O,O,X,O,O,X,O,X,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X,O,X,O
SLJOTIZ,X,X,X,X,X,O,O,O,X,X,X,O,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X
SLJOTZI,X,X,X,X,O,O,O,O,X,X,X,O,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,O,O,X,X
SLJOITZ,O,X,O,X,X,O,O,O,O,X,X,O,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X
SLJOIZT,O,X,X,X,O,O,O,O,O,X,X,O,O,O,X,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,O,O,X,X
SLJOZTI,X,X,X,X,O,O,O,O,X,X,X,O,O,O,X,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,O,O,X,X
SLJOZIT,O,X,X,X,O,O,O,O,O,X,X,O,O,O,X,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,O,O,X,X
SLZTIJO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,O
SLZTIOJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
SLZTJIO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
SLZTJOI,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
