sequence,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8JeT6IvhFxbBXeB?igB0kBFmB2uB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8JeT6IvhFxbBXeB?OpB8pBFmBiqB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Jex7IvhFXeBckB?igBFmBzpBOpB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Jex7IvhFXeBTfB?igBFmB0kB2uB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8JeX+IvhFZkBUgB?amBlfBGhBzpB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Je+/IvhFKgBXeB?UhBZkBFmBzpB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Jez6IvhFXeBamB?FlB0pBZkBGrB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Je2AJvhFXeBTfB?xlBFmBipB0pB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8JeX+IvhFTfBxlB?OmBipBcqBlpB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Jem6IvhFXeBUhB?xkBTkBFmByuB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8JeO/IvhFXeBRgB?lgBcmBaqBTpB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Jez6IvhFXeBUhB?6pBOqBZkBFrB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Je2/IvhFXeBUhB?xkBFmBipBzpB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Je2/IvhFXeBUhB?xkBaqBFmBTpB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Jei6IvhFXeBUhB?xkBzkBFmB2uB
TISLJOZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TISLZJO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TISLZOJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TISLOJZ,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TISLOZJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TISJLZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJLOZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TISJZLO,O,O,X,O,X,X,X,X,X,X,X,X,O,O,X
TISJZOL,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
TISJOLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TISJOZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZLJO,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X
TISZLOJ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TISZJLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISZJOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TISZOLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISZOJL,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TISOLJZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TISOLZJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TISOJLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TISOZJL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJSO,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
TIZLJOS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZLSJO,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X
TIZLSOJ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TIZLOJS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TIZLOSJ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TIZJLSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZJLOS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZJSLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZJSOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZJOLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZJOSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZSLJO,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X
TIZSLOJ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TIZSJLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZSJOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZSOLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOJL,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZOLJS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJLS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJSL,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZOSLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSJL,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOLJSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOLZJS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOJLZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOSZJL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLJS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOZJLS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOZSJL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSZO,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X
TLIJSOZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TLIJZSO,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
TLIJZOS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TLIJOZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLISJZO,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X
TLISJOZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TLISZJO,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X
TLISZOJ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TLISOJZ,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TLISOZJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIZJSO,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
TLIZJOS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIZSJO,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X
TLIZSOJ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TLIZOJS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLIZOSJ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLIOJSZ,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TLIOJZS,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TLIOSJZ,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TLIOSZJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIOZJS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJISZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJIOZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJSIZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJSZIO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLJSZOI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLJSOIZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJSOZI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TLJZISO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLJZIOS,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLJZSIO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLJZSOI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLJZOIS,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLJZOSI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLJOISZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJOIZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJOSZI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TLJOZIS,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TLJOZSI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TLSIJZO,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X
TLSIJOZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TLSIZJO,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X
TLSIZOJ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TLSIOJZ,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TLSIOZJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSJZIO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLSJZOI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLSJOIZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSJOZI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TLSZIJO,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X
TLSZIOJ,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TLSZJIO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLSZJOI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLSZOIJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLSZOJI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLSOIJZ,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TLSOIZJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSOJZI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLSOZIJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSOZJI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLZIJSO,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
TLZIJOS,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLZISJO,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X
TLZISOJ,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TLZIOJS,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TLZIOSJ,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TLZJISO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLZJIOS,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLZJSIO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLZJSOI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLZJOIS,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLZJOSI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLZSIJO,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X
TLZSIOJ,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TLZSJIO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLZSJOI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLZSOIJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLZSOJI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLZOIJS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLZOISJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLZOJIS,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLZOJSI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLZOSIJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLZOSJI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLOIJSZ,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TLOIJZS,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TLOISJZ,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TLOISZJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOIZJS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOJISZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOJIZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOJSZI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLOJZIS,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLOJZSI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLOSIJZ,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TLOSIZJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOSJZI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLOSZIJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOSZJI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLOZIJS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOZISJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOZJIS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLOZJSI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLOZSIJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOZSJI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TJILSZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJILSOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJILZSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJILZOS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJILOSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJILOZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJISLZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJISLOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJISZLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJISZOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TJISOLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJISOZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZLSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJIZLOS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJIZSLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJIZSOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TJIZOLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TJIZOSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TJIOLSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJIOLZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJIOSLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJIOSZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOZLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOZSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLISZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLISOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLIZSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLIZOS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLIOSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLIOZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLSIZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLSIOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLSZIO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TJLSZOI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TJLSOIZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLSOZI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TJLZISO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TJLZIOS,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TJLZSIO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TJLZSOI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TJLZOIS,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TJLZOSI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TJLOISZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLOIZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLOSIZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLOSZI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TJLOZIS,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TJLOZSI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TJSILZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSILOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSIZLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSIZOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TJSIOLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSIOZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSLIZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSLIOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSLZIO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TJSLZOI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TJSLOIZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSLOZI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TJSZILO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSZIOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TJSZLIO,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TJSZLOI,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TJSZOIL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSZOLI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSOILZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSOIZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSOLIZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSOLZI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSOZIL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSOZLI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJZILSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJZILOS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJZISLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJZISOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TJZIOLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TJZIOSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TJZLISO,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TJZLIOS,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TJZLSIO,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
