sequence,v115@9gA8GeA8AeC8EeE8CeH8BeD8Je06IvhFxbB/iBGeBq?lBlmBTrB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Je06IvhFlbBGeBxhBz?lBCnB3rB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Jel6IvhF3bBGeBxhBU?iBCmBTrB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Je06IvhFShB/iBGeBR?mBllBTrB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Je06IvhFXcBViBGeB6?lBxmBTrB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Jel6IvhFGeBxgBTiBC?mB3mBUrB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Jel6IvhFGeB0gBxhBC?nBzlB3rB
TLJSIZO,O,X,O,X,X,X,O
TLJSIOZ,O,X,O,X,X,X,X
TLJSZIO,O,X,O,X,X,X,O
TLJSZOI,O,X,X,X,X,X,X
TLJSOIZ,O,X,O,X,X,X,X
TLJSOZI,O,X,O,X,X,X,X
TLJZISO,O,X,O,X,X,X,O
TLJZIOS,X,X,X,X,X,X,O
TLJZSIO,O,X,O,X,X,X,O
TLJZSOI,O,X,X,X,X,X,X
TLJZOIS,X,O,X,X,X,X,O
TLJZOSI,X,O,X,X,X,X,X
TLJOISZ,X,O,O,X,X,O,X
TLJOIZS,X,O,O,X,X,O,O
TLJOSIZ,X,O,O,X,X,O,X
TLJOSZI,X,O,O,X,X,X,X
TLJOZIS,X,O,O,X,X,O,O
TLJOZSI,X,O,O,X,X,X,X
TLSIJZO,O,X,O,X,X,X,O
TLSIJOZ,O,X,O,X,X,X,X
TLSIZJO,O,X,O,X,X,X,O
TLSIZOJ,O,X,X,X,X,X,X
TLSIOJZ,O,X,O,X,X,O,X
TLSIOZJ,O,X,X,X,X,X,X
TLSJIZO,O,X,O,X,X,X,O
TLSJIOZ,O,X,O,X,X,X,X
TLSJZIO,O,X,O,X,X,X,O
TLSJZOI,O,X,X,X,X,X,X
TLSJOIZ,O,X,O,X,X,X,X
TLSJOZI,O,X,O,X,X,X,X
TLSZIJO,O,X,O,X,X,X,O
TLSZIOJ,O,X,X,X,X,X,X
TLSZJIO,O,X,O,X,X,X,O
TLSZJOI,O,X,X,X,X,X,X
TLSZOIJ,O,X,X,X,X,X,X
TLSZOJI,O,X,X,X,X,X,X
TLSOIJZ,O,X,O,X,X,O,X
TLSOIZJ,O,X,O,X,X,X,X
TLSOJIZ,O,X,O,X,X,O,X
TLSOJZI,O,X,O,X,X,X,X
TLSOZIJ,O,X,O,X,X,X,X
TLSOZJI,O,X,O,X,X,X,X
TLZIJSO,O,X,O,X,X,X,O
TLZIJOS,X,X,X,X,X,X,O
TLZISJO,O,X,O,X,X,X,O
TLZISOJ,O,X,X,X,X,X,X
TLZIOJS,X,X,X,X,X,O,O
TLZIOSJ,O,X,X,X,X,X,X
TLZJISO,O,X,O,X,X,X,O
TLZJIOS,X,X,X,X,X,X,O
TLZJSIO,O,X,O,X,X,X,O
TLZJSOI,O,X,X,X,X,X,X
TLZJOIS,X,O,X,X,X,X,O
TLZJOSI,X,O,X,X,X,X,X
TLZSIJO,O,X,O,X,X,X,O
TLZSIOJ,O,X,X,X,X,X,X
TLZSJIO,O,X,O,X,X,X,O
TLZSJOI,O,X,X,X,X,X,X
TLZSOIJ,O,X,X,X,X,X,X
TLZSOJI,O,X,X,X,X,X,X
TLZOIJS,X,O,X,X,X,O,O
TLZOISJ,O,O,X,X,X,X,X
TLZOJIS,X,O,X,X,X,O,O
TLZOJSI,X,O,X,X,X,X,X
TLZOSIJ,O,O,X,X,X,X,X
TLZOSJI,O,O,X,X,X,X,X
TLOIJSZ,X,O,O,X,X,O,X
TLOIJZS,X,O,O,X,X,O,O
TLOISJZ,O,O,O,X,X,O,X
TLOISZJ,O,O,O,X,X,X,X
TLOIZJS,X,O,O,X,X,O,O
TLOIZSJ,O,O,O,X,X,X,X
TLOJISZ,X,O,O,X,X,O,X
TLOJIZS,X,O,O,X,X,O,O
TLOJSIZ,X,O,O,X,X,O,X
TLOJSZI,X,O,O,X,X,X,X
TLOJZIS,X,O,O,X,X,O,O
TLOJZSI,X,O,O,X,X,X,X
TLOSIJZ,O,O,O,X,X,O,X
TLOSIZJ,O,O,O,X,X,X,X
TLOSJIZ,O,O,O,X,X,O,X
TLOSJZI,O,O,O,X,X,X,X
TLOSZIJ,O,O,O,X,X,X,X
TLOSZJI,O,O,O,X,X,X,X
TLOZIJS,X,O,O,X,X,O,O
TLOZISJ,O,O,O,X,X,X,X
TLOZJIS,X,O,O,X,X,O,O
TLOZJSI,X,O,O,X,X,X,X
TLOZSIJ,O,O,O,X,X,X,X
TLOZSJI,O,O,O,X,X,X,X
TJILSZO,X,X,O,X,O,X,O
TJILSOZ,X,X,O,X,X,X,X
TJILZSO,X,X,O,X,O,X,O
TJILZOS,X,X,X,X,X,X,O
TJILOSZ,X,X,O,X,X,O,X
TJILOZS,X,X,X,X,X,O,O
TJISLZO,X,X,O,X,O,X,X
TJISLOZ,X,X,O,X,X,X,X
TJISZLO,X,X,X,X,O,X,X
TJISZOL,X,X,X,X,O,X,X
TJISOLZ,X,X,O,X,X,X,X
TJISOZL,X,X,X,X,O,X,X
TJIZLSO,X,X,X,X,O,X,O
TJIZLOS,X,X,X,X,X,X,O
TJIZSLO,X,X,X,X,O,X,O
TJIZSOL,X,X,X,X,O,X,X
TJIZOLS,X,X,X,X,X,X,O
TJIZOSL,X,X,X,X,O,X,X
TJIOLSZ,X,X,O,X,X,O,X
TJIOLZS,X,X,O,X,X,O,X
TJIOSLZ,X,X,O,X,X,O,X
TJIOSZL,X,X,X,X,O,X,X
TJIOZLS,X,X,X,X,X,O,X
TJIOZSL,X,X,X,X,O,X,X
TJLISZO,O,X,O,X,X,X,O
TJLISOZ,O,X,O,X,X,X,X
TJLIZSO,O,X,O,X,X,X,O
TJLIZOS,X,X,X,X,X,X,O
TJLIOSZ,X,X,O,X,X,O,X
TJLIOZS,X,X,X,X,X,O,O
TJLSIZO,O,X,O,X,X,X,O
TJLSIOZ,O,X,O,X,X,X,X
TJLSZIO,O,X,O,X,X,X,O
TJLSZOI,O,X,X,X,X,X,X
TJLSOIZ,O,X,O,X,X,X,X
TJLSOZI,O,X,O,X,X,X,X
TJLZISO,O,X,O,X,X,X,O
TJLZIOS,X,X,X,X,X,X,O
TJLZSIO,O,X,O,X,X,X,O
TJLZSOI,O,X,X,X,X,X,X
TJLZOIS,X,O,X,X,X,X,O
TJLZOSI,X,O,X,X,X,X,X
TJLOISZ,X,O,O,X,X,O,X
TJLOIZS,X,O,O,X,X,O,O
TJLOSIZ,X,O,O,X,X,O,X
TJLOSZI,X,O,O,X,X,X,X
TJLOZIS,X,O,O,X,X,O,O
TJLOZSI,X,O,O,X,X,X,X
TJSILZO,O,X,O,X,X,X,X
TJSILOZ,O,X,O,X,X,X,X
TJSIZLO,X,X,X,X,X,X,X
TJSIZOL,X,X,X,O,X,X,X
TJSIOLZ,X,X,O,O,X,X,X
TJSIOZL,X,X,X,O,X,X,X
TJSLIZO,O,X,O,X,X,X,O
TJSLIOZ,O,X,O,X,X,X,X
TJSLZIO,O,X,O,X,X,X,O
TJSLZOI,O,X,X,X,X,X,X
TJSLOIZ,O,X,O,X,X,X,X
TJSLOZI,O,X,O,X,X,X,X
TJSZILO,O,X,X,X,X,X,O
TJSZIOL,X,X,X,O,X,X,X
TJSZLIO,O,X,O,X,X,X,O
TJSZLOI,O,X,X,X,X,X,X
TJSZOIL,X,X,X,O,X,X,X
TJSZOLI,X,X,O,X,X,X,X
TJSOILZ,X,X,O,O,X,O,X
TJSOIZL,X,X,X,O,X,X,X
TJSOLIZ,O,X,O,X,X,O,X
TJSOLZI,O,X,O,X,X,X,X
TJSOZIL,X,X,X,O,X,X,X
TJSOZLI,X,X,O,X,X,X,X
TJZILSO,X,X,X,X,O,X,O
TJZILOS,X,X,X,X,X,X,O
TJZISLO,X,X,X,X,O,X,O
TJZISOL,X,X,X,X,O,X,X
TJZIOLS,X,O,X,X,X,X,O
TJZIOSL,X,O,X,X,O,X,X
TJZLISO,X,X,O,X,X,X,O
TJZLIOS,X,X,X,X,X,X,O
TJZLSIO,O,X,O,X,X,X,O
TJZLSOI,O,X,X,X,X,X,X
TJZLOIS,X,O,X,X,X,X,O
TJZLOSI,X,O,X,X,X,X,X
TJZSILO,O,X,X,X,X,X,O
TJZSIOL,X,X,X,O,X,X,X
TJZSLIO,O,X,O,X,X,X,O
TJZSLOI,O,X,X,X,X,X,X
TJZSOIL,X,O,X,O,X,X,X
TJZSOLI,X,O,O,X,X,X,X
TJZOILS,X,O,X,X,O,O,O
TJZOISL,X,O,X,X,O,X,X
TJZOLIS,X,O,O,X,X,O,O
TJZOLSI,X,O,O,X,X,X,X
TJZOSIL,X,O,X,O,X,X,X
TJZOSLI,X,O,O,X,X,X,X
TJOILSZ,X,O,O,X,O,O,X
TJOILZS,X,O,O,X,O,O,X
TJOISLZ,X,X,O,X,O,O,X
TJOISZL,X,O,X,X,O,X,X
TJOIZLS,X,O,X,X,O,O,X
TJOIZSL,X,O,X,X,O,X,X
TJOLISZ,X,O,O,X,X,O,X
TJOLIZS,X,O,O,X,X,O,O
TJOLSIZ,X,O,O,X,X,O,X
TJOLSZI,X,O,O,X,X,X,X
TJOLZIS,X,O,O,X,X,O,O
TJOLZSI,X,O,O,X,X,X,X
TJOSILZ,X,X,O,O,X,O,X
TJOSIZL,X,O,X,O,X,X,X
TJOSLIZ,X,O,O,X,X,O,X
TJOSLZI,X,O,O,X,X,X,X
TJOSZIL,X,O,X,O,X,X,X
TJOSZLI,X,O,O,X,X,X,X
TJOZILS,X,O,X,X,O,O,O
TJOZISL,X,O,X,X,O,X,X
TJOZLIS,X,O,O,X,X,O,O
TJOZLSI,X,O,O,X,X,X,X
TJOZSIL,X,O,X,O,X,X,X
TJOZSLI,X,O,O,X,X,X,X
TSILJZO,O,X,O,X,X,X,X
TSILJOZ,O,X,O,X,X,X,X
TSILZJO,O,X,O,X,X,X,X
TSILZOJ,O,X,X,X,X,X,X
TSILOJZ,O,X,O,X,X,O,X
TSILOZJ,O,X,X,X,X,X,X
TSIJLZO,O,X,O,X,X,X,X
TSIJLOZ,O,X,O,X,X,X,X
TSIJZLO,X,X,X,X,X,X,X
TSIJZOL,X,X,X,O,X,X,X
TSIJOLZ,X,X,O,O,X,X,X
TSIJOZL,X,X,X,O,X,X,X
TSIZLJO,X,X,X,X,X,X,X
TSIZLOJ,X,X,X,X,X,X,X
TSIZJLO,X,X,X,X,X,X,X
TSIZJOL,X,X,X,O,X,X,X
TSIZOLJ,X,X,X,O,X,X,X
TSIZOJL,X,X,X,O,X,X,X
TSIOLJZ,X,X,O,O,X,X,X
TSIOLZJ,X,X,O,O,X,X,X
TSIOJLZ,X,X,O,O,X,O,X
TSIOJZL,X,X,X,O,X,X,X
TSIOZLJ,X,X,X,O,X,X,X
TSIOZJL,X,X,X,O,X,X,X
TSLIJZO,O,X,O,X,X,X,O
TSLIJOZ,O,X,O,X,X,X,X
TSLIZJO,O,X,O,X,X,X,O
TSLIZOJ,O,X,X,X,X,X,X
TSLIOJZ,O,X,O,X,X,O,X
TSLIOZJ,O,X,X,X,X,X,X
TSLJIZO,O,X,O,X,X,X,O
TSLJIOZ,O,X,O,X,X,X,X
TSLJZIO,O,X,O,X,X,X,O
TSLJZOI,O,X,X,X,X,X,X
TSLJOIZ,O,X,O,X,X,X,X
TSLJOZI,O,X,O,X,X,X,X
TSLZIJO,O,X,O,X,X,X,O
TSLZIOJ,O,X,X,X,X,X,X
TSLZJIO,O,X,O,X,X,X,O
TSLZJOI,O,X,X,X,X,X,X
TSLZOIJ,O,X,X,X,X,X,X
TSLZOJI,O,X,X,X,X,X,X
TSLOIJZ,O,X,O,X,X,O,X
TSLOIZJ,O,X,O,X,X,X,X
TSLOJIZ,O,X,O,X,X,O,X
TSLOJZI,O,X,O,X,X,X,X
TSLOZIJ,O,X,O,X,X,X,X
TSLOZJI,O,X,O,X,X,X,X
TSJILZO,O,X,O,X,X,X,X
TSJILOZ,O,X,O,X,X,X,X
TSJIZLO,X,X,X,X,X,X,X
TSJIZOL,X,X,X,O,X,X,X
TSJIOLZ,X,X,O,O,X,X,X
TSJIOZL,X,X,X,O,X,X,X
TSJLIZO,O,X,O,X,X,X,O
TSJLIOZ,O,X,O,X,X,X,X
TSJLZIO,O,X,O,X,X,X,O
TSJLZOI,O,X,X,X,X,X,X
TSJLOIZ,O,X,O,X,X,X,X
TSJLOZI,O,X,O,X,X,X,X
TSJZILO,O,X,X,X,X,X,O
TSJZIOL,X,X,X,O,X,X,X
TSJZLIO,O,X,O,X,X,X,O
TSJZLOI,O,X,X,X,X,X,X
TSJZOIL,X,X,X,O,X,X,X
TSJZOLI,X,X,O,X,X,X,X
TSJOILZ,X,X,O,O,X,O,X
TSJOIZL,X,X,X,O,X,X,X
TSJOLIZ,O,X,O,X,X,O,X
TSJOLZI,O,X,O,X,X,X,X
TSJOZIL,X,X,X,O,X,X,X
TSJOZLI,X,X,O,X,X,X,X
TSZILJO,X,X,X,X,X,X,X
TSZILOJ,X,X,X,X,X,X,X
TSZIJLO,O,X,X,X,X,X,O
TSZIJOL,X,X,X,O,X,X,X
TSZIOLJ,X,X,X,O,X,X,X
TSZIOJL,X,X,X,O,X,X,X
TSZLIJO,O,X,O,X,X,X,O
TSZLIOJ,O,X,X,X,X,X,X
TSZLJIO,O,X,O,X,X,X,O
TSZLJOI,O,X,X,X,X,X,X
TSZLOIJ,O,X,X,X,X,X,X
TSZLOJI,O,X,X,X,X,X,X
TSZJILO,O,X,X,X,X,X,O
TSZJIOL,X,X,X,O,X,X,X
TSZJLIO,O,X,O,X,X,X,O
TSZJLOI,O,X,X,X,X,X,X
TSZJOIL,X,X,X,O,X,X,X
TSZJOLI,X,X,O,X,X,X,X
TSZOILJ,X,X,X,O,X,X,X
TSZOIJL,X,X,X,O,X,X,X
TSZOLIJ,X,X,O,X,X,X,X
TSZOLJI,X,X,O,X,X,X,X
TSZOJIL,X,X,X,O,X,X,X
TSZOJLI,X,X,O,X,X,X,X
TSOILJZ,X,X,O,O,X,X,X
TSOILZJ,X,X,O,O,X,X,X
TSOIJLZ,X,X,O,O,X,O,X
TSOIJZL,X,X,X,O,X,X,X
TSOIZLJ,X,X,X,O,X,X,X
TSOIZJL,X,X,X,O,X,X,X
TSOLIJZ,O,X,O,X,X,O,X
TSOLIZJ,O,X,O,X,X,X,X
TSOLJIZ,O,X,O,X,X,O,X
TSOLJZI,O,X,O,X,X,X,X
TSOLZIJ,O,X,O,X,X,X,X
TSOLZJI,O,X,O,X,X,X,X
TSOJILZ,X,X,O,O,X,O,X
TSOJIZL,X,X,X,O,X,X,X
TSOJLIZ,O,X,O,X,X,O,X
TSOJLZI,O,X,O,X,X,X,X
TSOJZIL,X,X,X,O,X,X,X
TSOJZLI,X,X,O,X,X,X,X
TSOZILJ,X,X,X,O,X,X,X
TSOZIJL,X,X,X,O,X,X,X
TSOZLIJ,X,X,O,X,X,X,X
TSOZLJI,X,X,O,X,X,X,X
TSOZJIL,X,X,X,O,X,X,X
TSOZJLI,X,X,O,X,X,X,X
TZILJSO,O,X,X,X,O,X,O
TZILJOS,X,X,X,X,X,X,O
TZILSJO,O,X,X,O,O,X,O
TZILSOJ,O,X,X,X,X,X,X
TZILOJS,X,X,X,X,X,O,O
TZILOSJ,O,X,X,X,X,X,X
TZIJLSO,X,X,X,X,O,X,O
TZIJLOS,X,X,X,X,X,X,O
TZIJSLO,X,X,X,X,O,X,O
TZIJSOL,X,X,X,X,O,X,X
TZIJOLS,X,O,X,X,X,X,O
TZIJOSL,X,O,X,X,O,X,X
TZISLJO,X,X,X,X,O,X,X
TZISLOJ,X,X,X,X,X,X,X
TZISJLO,O,X,X,X,O,X,O
TZISJOL,X,X,X,O,O,X,X
TZISOLJ,X,X,X,O,X,X,X
TZISOJL,X,X,X,O,O,X,X
TZIOLJS,X,O,X,X,X,X,X
TZIOLSJ,X,O,X,X,X,X,X
TZIOJLS,X,O,X,X,X,O,O
TZIOJSL,X,O,X,X,O,X,X
TZIOSLJ,X,X,X,X,X,X,X
TZIOSJL,X,O,X,X,O,X,X
TZLIJSO,O,X,O,X,X,X,O
TZLIJOS,X,X,X,X,X,X,O
TZLISJO,O,X,O,X,X,X,O
TZLISOJ,O,X,X,X,X,X,X
TZLIOJS,X,X,X,X,X,O,O
TZLIOSJ,O,X,X,X,X,X,X
TZLJISO,O,X,O,X,X,X,O
TZLJIOS,X,X,X,X,X,X,O
TZLJSIO,O,X,O,X,X,X,O
TZLJSOI,O,X,X,X,X,X,X
TZLJOIS,X,O,X,X,X,X,O
TZLJOSI,X,O,X,X,X,X,X
TZLSIJO,O,X,O,X,X,X,O
TZLSIOJ,O,X,X,X,X,X,X
TZLSJIO,O,X,O,X,X,X,O
TZLSJOI,O,X,X,X,X,X,X
TZLSOIJ,O,X,X,X,X,X,X
TZLSOJI,O,X,X,X,X,X,X
TZLOIJS,X,O,X,X,X,O,O
TZLOISJ,O,O,X,X,X,X,X
TZLOJIS,X,O,X,X,X,O,O
TZLOJSI,X,O,X,X,X,X,X
TZLOSIJ,O,O,X,X,X,X,X
TZLOSJI,O,O,X,X,X,X,X
TZJILSO,X,X,X,X,O,X,O
TZJILOS,X,X,X,X,X,X,O
TZJISLO,X,X,X,X,O,X,O
TZJISOL,X,X,X,X,O,X,X
TZJIOLS,X,O,X,X,X,X,O
TZJIOSL,X,O,X,X,O,X,X
TZJLISO,X,X,O,X,X,X,O
TZJLIOS,X,X,X,X,X,X,O
TZJLSIO,O,X,O,X,X,X,O
TZJLSOI,O,X,X,X,X,X,X
TZJLOIS,X,O,X,X,X,X,O
TZJLOSI,X,O,X,X,X,X,X
TZJSILO,O,X,X,X,X,X,O
TZJSIOL,X,X,X,O,X,X,X
TZJSLIO,O,X,O,X,X,X,O
TZJSLOI,O,X,X,X,X,X,X
TZJSOIL,X,O,X,O,X,X,X
TZJSOLI,X,O,O,X,X,X,X
TZJOILS,X,O,X,X,O,O,O
TZJOISL,X,O,X,X,O,X,X
TZJOLIS,X,O,O,X,X,O,O
TZJOLSI,X,O,O,X,X,X,X
TZJOSIL,X,O,X,O,X,X,X
TZJOSLI,X,O,O,X,X,X,X
TZSILJO,X,X,X,X,X,X,X
TZSILOJ,X,X,X,X,X,X,X
TZSIJLO,O,X,X,X,X,X,O
TZSIJOL,X,X,X,O,X,X,X
TZSIOLJ,X,X,X,O,X,X,X
TZSIOJL,X,X,X,O,X,X,X
TZSLIJO,O,X,O,X,X,X,O
TZSLIOJ,O,X,X,X,X,X,X
TZSLJIO,O,X,O,X,X,X,O
TZSLJOI,O,X,X,X,X,X,X
TZSLOIJ,O,X,X,X,X,X,X
TZSLOJI,O,X,X,X,X,X,X
TZSJILO,O,X,X,X,X,X,O
TZSJIOL,X,X,X,O,X,X,X
TZSJLIO,O,X,O,X,X,X,O
TZSJLOI,O,X,X,X,X,X,X
TZSJOIL,X,O,X,O,X,X,X
TZSJOLI,X,O,O,X,X,X,X
TZSOILJ,X,X,X,O,X,X,X
TZSOIJL,X,O,X,O,X,X,X
TZSOLIJ,X,O,O,X,X,X,X
TZSOLJI,X,O,O,X,X,X,X
TZSOJIL,X,O,X,O,X,X,X
TZSOJLI,X,O,O,X,X,X,X
TZOILJS,X,O,X,X,O,X,X
TZOILSJ,X,O,X,O,O,X,X
TZOIJLS,X,O,X,X,O,O,O
TZOIJSL,X,O,X,X,O,X,X
TZOISLJ,X,X,X,O,O,X,X
TZOISJL,X,O,X,O,O,X,X
TZOLIJS,X,O,O,X,X,O,O
TZOLISJ,X,O,O,X,X,X,X
TZOLJIS,X,O,O,X,X,O,O
TZOLJSI,X,O,O,X,X,X,X
TZOLSIJ,X,O,O,X,X,X,X
TZOLSJI,X,O,O,X,X,X,X
TZOJILS,X,O,X,X,O,O,O
TZOJISL,X,O,X,X,O,X,X
TZOJLIS,X,O,O,X,X,O,O
TZOJLSI,X,O,O,X,X,X,X
TZOJSIL,X,O,X,O,X,X,X
TZOJSLI,X,O,O,X,X,X,X
TZOSILJ,X,X,X,O,X,X,X
TZOSIJL,X,O,X,O,X,X,X
TZOSLIJ,X,O,O,X,X,X,X
TZOSLJI,X,O,O,X,X,X,X
TZOSJIL,X,O,X,O,X,X,X
TZOSJLI,X,O,O,X,X,X,X
