sequence,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8Jez7IvhFCdBejB?5jBlmB0sBXsB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8JeR8IvhFGeBUhB?FiB/oBqsBzrB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8Jez7IvhFCdBejB?5jBlmBXsB0sB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8Jez7IvhFfiBldB?5jB8nB6rB2xB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8JefBJvhF0cB5jB?ziBurBinB1xB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8Jez7IvhFUdB5jB?lmB3nBatBWxB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8JeC8IvhF5jB/mB?FiB8nBesBzsB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8JeG9IvhFRhB6oB?UhBlnBzrBXtB
TIOJLZS,O,X,O,X,X,X,X,X
TIOJSLZ,O,X,O,X,O,O,X,X
TIOJSZL,O,X,O,O,O,O,X,X
TIOJZLS,O,X,O,X,X,X,X,X
TIOJZSL,O,X,O,O,O,X,X,X
TIOSLJZ,O,X,O,X,O,O,X,X
TIOSLZJ,X,X,X,X,X,O,X,X
TIOSJLZ,O,X,O,X,O,O,X,X
TIOSJZL,O,X,O,X,O,O,X,X
TIOSZLJ,O,X,X,X,X,O,X,X
TIOSZJL,O,X,X,X,O,O,X,X
TIOZLJS,O,X,O,X,X,X,X,X
TIOZLSJ,O,X,X,O,X,X,X,X
TIOZJLS,O,X,O,X,X,X,X,X
TIOZJSL,O,X,O,O,O,X,X,X
TIOZSLJ,O,X,X,X,X,O,X,X
TIOZSJL,O,X,X,X,O,O,X,X
TLIJSZO,X,O,O,O,O,X,X,X
TLIJSOZ,O,O,O,O,O,X,X,X
TLIJZSO,O,X,X,O,X,X,X,X
TLIJZOS,O,X,O,O,X,X,X,X
TLIJOSZ,O,X,O,O,O,X,X,X
TLIJOZS,O,X,O,O,X,X,X,X
TLISJZO,X,O,X,X,O,O,X,X
TLISJOZ,O,O,O,X,O,O,X,X
TLISZJO,X,O,X,O,X,O,O,X
TLISZOJ,X,O,X,O,X,O,O,X
TLISOJZ,O,O,O,X,O,O,X,X
TLISOZJ,X,X,X,O,X,O,X,X
TLIZJSO,O,O,X,X,X,X,X,X
TLIZJOS,O,X,O,X,X,X,X,X
TLIZSJO,O,O,X,O,X,X,O,X
TLIZSOJ,O,O,X,O,X,X,O,X
TLIZOJS,O,X,O,X,X,X,X,X
TLIZOSJ,O,O,X,O,X,X,X,X
TLIOJSZ,O,X,O,O,O,X,X,X
TLIOJZS,O,X,O,O,X,X,X,X
TLIOSJZ,O,O,O,X,O,O,X,X
TLIOSZJ,X,X,X,O,X,O,X,X
TLIOZJS,O,X,O,X,X,X,X,X
TLIOZSJ,O,X,X,O,X,X,X,X
TLJISZO,X,O,O,O,O,X,X,X
TLJISOZ,O,O,O,O,O,X,X,X
TLJIZSO,O,X,X,O,X,X,X,X
TLJIZOS,O,X,O,O,X,X,X,X
TLJIOSZ,O,X,O,O,O,X,X,X
TLJIOZS,O,X,O,O,X,X,X,X
TLJSIZO,X,O,X,O,O,X,X,X
TLJSIOZ,O,O,O,O,O,X,X,X
TLJSZIO,X,O,X,O,O,X,X,X
TLJSZOI,X,O,X,O,O,X,X,X
TLJSOIZ,O,O,O,O,O,X,X,X
TLJSOZI,X,O,X,O,O,X,X,X
TLJZISO,O,O,X,O,X,X,X,X
TLJZIOS,O,X,O,O,X,X,X,X
TLJZSIO,O,O,X,O,X,X,X,X
TLJZSOI,O,O,X,O,X,X,X,X
TLJZOIS,O,X,O,O,X,X,X,X
TLJZOSI,O,X,X,O,X,X,X,X
TLJOISZ,O,X,O,O,O,X,X,X
TLJOIZS,O,X,O,O,X,X,X,X
TLJOSIZ,O,X,O,O,O,X,X,X
TLJOSZI,X,X,X,O,O,X,X,X
TLJOZIS,O,X,O,O,X,X,X,X
TLJOZSI,O,X,X,O,X,X,X,X
TLSIJZO,X,O,X,X,O,O,X,X
TLSIJOZ,O,O,O,X,O,O,X,X
TLSIZJO,X,O,X,O,X,O,O,X
TLSIZOJ,X,O,X,O,X,O,O,X
TLSIOJZ,O,O,O,X,O,O,X,X
TLSIOZJ,X,X,X,O,X,O,X,X
TLSJIZO,X,O,X,X,O,X,X,X
TLSJIOZ,O,O,O,X,O,X,X,X
TLSJZIO,X,O,X,X,O,X,X,X
TLSJZOI,X,O,X,X,O,X,X,X
TLSJOIZ,O,O,O,X,O,X,X,X
TLSJOZI,X,O,X,X,O,X,X,X
TLSZIJO,O,O,X,O,X,O,O,X
TLSZIOJ,O,O,X,O,X,O,O,X
TLSZJIO,O,O,X,O,X,X,O,X
TLSZJOI,O,O,X,O,X,X,X,X
TLSZOIJ,O,O,X,O,X,O,O,X
TLSZOJI,O,O,X,O,X,X,X,X
TLSOIJZ,O,O,O,X,O,O,X,X
TLSOIZJ,X,O,X,O,X,O,X,X
TLSOJIZ,O,O,O,X,O,X,X,X
TLSOJZI,X,O,X,X,O,X,X,X
TLSOZIJ,O,O,X,O,X,O,X,X
TLSOZJI,O,O,X,O,X,X,X,X
TLZIJSO,O,O,X,X,X,X,X,X
TLZIJOS,O,X,O,X,X,X,X,X
TLZISJO,O,O,X,O,X,X,O,X
TLZISOJ,O,O,X,O,X,X,O,X
TLZIOJS,O,X,O,X,X,X,X,X
TLZIOSJ,O,O,X,O,X,X,X,X
TLZJISO,O,O,X,X,X,X,X,X
TLZJIOS,O,X,O,X,X,X,X,X
TLZJSIO,O,O,X,X,X,X,X,X
TLZJSOI,O,O,X,X,X,X,X,X
TLZJOIS,O,X,O,X,X,X,X,X
TLZJOSI,O,X,X,X,X,X,X,X
TLZSIJO,O,O,X,O,X,X,O,X
TLZSIOJ,O,O,X,O,X,X,O,X
TLZSJIO,O,O,X,O,X,X,O,X
TLZSJOI,O,O,X,O,X,X,X,X
TLZSOIJ,O,O,X,O,X,X,O,X
TLZSOJI,O,O,X,O,X,X,X,X
TLZOIJS,O,X,O,X,X,X,X,X
TLZOISJ,O,O,X,O,X,X,X,X
TLZOJIS,O,X,O,X,X,X,X,X
TLZOJSI,O,X,X,X,X,X,X,X
TLZOSIJ,O,O,X,O,X,X,X,X
TLZOSJI,O,O,X,O,X,X,X,X
TLOIJSZ,O,O,O,O,O,X,X,O
TLOIJZS,O,X,O,O,X,X,X,O
TLOISJZ,O,O,O,X,O,O,X,O
TLOISZJ,X,O,X,O,X,O,X,X
TLOIZJS,O,O,O,X,X,X,X,O
TLOIZSJ,O,O,X,O,X,X,X,X
TLOJISZ,O,O,O,O,O,X,X,O
TLOJIZS,O,X,O,O,X,X,X,O
TLOJSIZ,O,O,O,O,O,X,X,O
TLOJSZI,X,O,X,O,O,X,X,X
TLOJZIS,O,O,O,O,X,X,X,O
TLOJZSI,O,O,X,O,X,X,X,X
TLOSIJZ,O,O,O,X,O,O,X,O
TLOSIZJ,X,O,X,O,X,O,X,X
TLOSJIZ,O,O,O,X,O,X,X,O
TLOSJZI,X,O,X,X,O,X,X,X
TLOSZIJ,O,O,X,O,X,O,X,X
TLOSZJI,O,O,X,O,X,X,X,X
TLOZIJS,O,O,O,X,X,X,X,O
TLOZISJ,O,O,X,O,X,X,X,X
TLOZJIS,O,O,O,X,X,X,X,O
TLOZJSI,O,O,X,X,X,X,X,X
TLOZSIJ,O,O,X,O,X,X,X,X
TLOZSJI,O,O,X,O,X,X,X,X
TJILSZO,X,X,O,O,O,X,X,X
TJILSOZ,O,X,O,O,O,X,X,X
TJILZSO,O,X,X,O,X,X,X,X
TJILZOS,O,X,O,O,X,X,X,X
TJILOSZ,O,X,O,O,O,X,X,X
TJILOZS,O,X,O,O,X,X,X,X
TJISLZO,X,X,O,X,O,O,X,X
TJISLOZ,O,X,O,X,O,O,X,X
TJISZLO,O,X,O,O,O,O,X,X
TJISZOL,O,X,O,O,O,O,X,X
TJISOLZ,O,X,O,X,O,O,X,X
TJISOZL,O,X,O,O,O,O,X,X
TJIZLSO,O,X,X,O,X,X,X,X
TJIZLOS,O,X,O,O,X,X,X,X
TJIZSLO,O,X,O,O,O,X,X,X
TJIZSOL,O,X,O,O,O,X,X,X
TJIZOLS,O,X,O,X,X,X,X,X
TJIZOSL,O,X,O,O,O,X,X,X
TJIOLSZ,O,X,O,X,O,X,X,X
TJIOLZS,O,X,O,X,X,X,X,X
TJIOSLZ,O,X,O,X,O,O,X,X
TJIOSZL,O,X,O,O,O,O,X,X
TJIOZLS,O,X,O,X,X,X,X,X
TJIOZSL,O,X,O,O,O,X,X,X
TJLISZO,X,X,O,O,O,X,X,X
TJLISOZ,O,X,O,O,O,X,X,X
TJLIZSO,O,X,X,O,X,X,X,X
TJLIZOS,O,X,O,O,X,X,X,X
TJLIOSZ,O,X,O,O,O,X,X,X
TJLIOZS,O,X,O,O,X,X,X,X
TJLSIZO,X,X,X,O,O,X,X,X
TJLSIOZ,O,X,O,O,O,X,X,X
TJLSZIO,X,X,X,O,O,X,X,X
TJLSZOI,X,X,X,O,O,X,X,X
TJLSOIZ,O,X,O,O,O,X,X,X
TJLSOZI,X,X,X,O,O,X,X,X
TJLZISO,O,X,X,O,X,X,X,X
TJLZIOS,O,X,O,O,X,X,X,X
TJLZSIO,O,X,X,O,X,X,X,X
TJLZSOI,O,X,X,O,X,X,X,X
TJLZOIS,O,X,O,O,X,X,X,X
TJLZOSI,O,X,X,O,X,X,X,X
TJLOISZ,O,X,O,O,O,X,X,X
TJLOIZS,O,X,O,O,X,X,X,X
TJLOSIZ,O,X,O,O,O,X,X,X
TJLOSZI,X,X,X,O,O,X,X,X
TJLOZIS,O,X,O,O,X,X,X,X
TJLOZSI,O,X,X,O,X,X,X,X
TJSILZO,X,X,O,X,O,O,X,X
TJSILOZ,O,X,O,X,O,O,X,X
TJSIZLO,O,X,O,O,O,O,X,X
TJSIZOL,O,X,O,O,O,O,X,X
TJSIOLZ,O,X,O,X,O,O,X,X
TJSIOZL,O,X,O,O,O,O,X,X
TJSLIZO,X,X,O,X,O,X,X,X
TJSLIOZ,O,X,O,X,O,X,X,X
TJSLZIO,X,X,O,X,O,X,X,X
TJSLZOI,X,X,O,X,O,X,X,X
TJSLOIZ,O,X,O,X,O,X,X,X
TJSLOZI,X,X,O,X,O,X,X,X
TJSZILO,X,X,O,O,O,O,X,X
TJSZIOL,X,X,O,O,O,O,X,X
TJSZLIO,X,X,O,O,O,X,X,X
TJSZLOI,X,X,O,O,O,X,X,X
TJSZOIL,X,X,O,O,O,O,X,X
TJSZOLI,X,X,O,O,O,X,X,X
TJSOILZ,O,X,O,X,O,O,X,X
TJSOIZL,O,X,O,O,O,O,X,X
TJSOLIZ,O,X,O,X,O,X,X,X
TJSOLZI,X,X,O,X,O,X,X,X
TJSOZIL,X,X,O,O,O,O,X,X
TJSOZLI,X,X,O,O,O,X,X,X
TJZILSO,O,X,X,O,X,X,X,X
TJZILOS,O,X,O,O,X,X,X,X
TJZISLO,O,X,O,O,O,X,X,X
TJZISOL,O,X,O,O,O,X,X,X
TJZIOLS,O,X,O,X,X,X,X,X
TJZIOSL,O,X,O,O,O,X,X,X
TJZLISO,O,X,X,O,X,X,X,X
TJZLIOS,O,X,O,O,X,X,X,X
TJZLSIO,O,X,X,O,X,X,X,X
TJZLSOI,O,X,X,O,X,X,X,X
TJZLOIS,O,X,O,O,X,X,X,X
TJZLOSI,O,X,X,O,X,X,X,X
TJZSILO,O,X,X,O,O,X,X,X
TJZSIOL,O,X,X,O,O,X,X,X
TJZSLIO,O,X,X,O,O,X,X,X
TJZSLOI,O,X,X,O,O,X,X,X
TJZSOIL,O,X,X,O,O,X,X,X
TJZSOLI,O,X,X,O,O,X,X,X
TJZOILS,O,X,O,X,X,X,X,X
TJZOISL,O,X,O,O,O,X,X,X
TJZOLIS,O,X,O,X,X,X,X,X
TJZOLSI,O,X,X,X,X,X,X,X
TJZOSIL,O,X,X,O,O,X,X,X
TJZOSLI,O,X,X,O,O,X,X,X
TJOILSZ,O,X,O,X,O,X,X,X
TJOILZS,O,X,O,X,X,X,X,X
TJOISLZ,O,X,O,X,O,O,X,X
TJOISZL,O,X,O,O,O,O,X,X
TJOIZLS,O,X,O,X,X,X,X,X
TJOIZSL,O,X,O,O,O,X,X,X
TJOLISZ,O,X,O,X,O,X,X,X
TJOLIZS,O,X,O,X,X,X,X,X
TJOLSIZ,O,X,O,X,O,X,X,X
TJOLSZI,X,X,X,X,O,X,X,X
TJOLZIS,O,X,O,X,X,X,X,X
TJOLZSI,O,X,X,X,X,X,X,X
TJOSILZ,O,X,O,X,O,O,X,X
TJOSIZL,O,X,O,O,O,O,X,X
TJOSLIZ,O,X,O,X,O,X,X,X
TJOSLZI,X,X,O,X,O,X,X,X
TJOSZIL,X,X,O,O,O,O,X,X
TJOSZLI,X,X,O,O,O,X,X,X
TJOZILS,O,X,O,X,X,X,X,X
TJOZISL,O,X,O,O,O,X,X,X
TJOZLIS,O,X,O,X,X,X,X,X
TJOZLSI,O,X,X,X,X,X,X,X
TJOZSIL,O,X,X,O,O,X,X,X
TJOZSLI,O,X,X,O,O,X,X,X
TSILJZO,X,X,O,X,O,O,X,X
TSILJOZ,O,X,O,X,O,O,X,X
TSILZJO,X,X,X,X,X,O,O,X
TSILZOJ,X,X,X,X,X,O,O,X
TSILOJZ,O,X,O,X,O,O,X,X
TSILOZJ,X,X,X,X,X,O,X,X
TSIJLZO,X,X,O,X,O,O,X,X
TSIJLOZ,O,X,O,X,O,O,X,X
TSIJZLO,O,X,O,X,O,O,X,X
TSIJZOL,O,X,O,X,O,O,X,X
TSIJOLZ,O,X,O,X,O,O,X,X
TSIJOZL,O,X,O,X,O,O,X,X
TSIZLJO,O,X,X,X,X,O,O,X
TSIZLOJ,O,X,X,X,X,O,O,X
TSIZJLO,O,X,X,X,O,O,O,X
TSIZJOL,O,X,X,X,O,O,X,X
TSIZOLJ,O,X,X,X,X,O,O,X
TSIZOJL,O,X,X,X,O,O,X,X
TSIOLJZ,O,X,O,X,O,O,X,X
TSIOLZJ,X,X,X,X,X,O,X,X
TSIOJLZ,O,X,O,X,O,O,X,X
TSIOJZL,O,X,O,X,O,O,X,X
TSIOZLJ,O,X,X,X,X,O,X,X
TSIOZJL,O,X,X,X,O,O,X,X
TSLIJZO,X,O,O,X,O,O,X,X
TSLIJOZ,O,O,O,X,O,O,X,X
TSLIZJO,X,O,X,X,X,O,O,X
TSLIZOJ,X,O,X,X,X,O,O,X
TSLIOJZ,O,O,O,X,O,O,X,X
TSLIOZJ,X,X,X,X,X,O,X,X
TSLJIZO,X,O,O,X,O,X,X,X
TSLJIOZ,O,O,O,X,O,X,X,X
TSLJZIO,X,O,O,X,O,X,X,X
TSLJZOI,X,O,O,X,O,X,X,X
TSLJOIZ,O,O,O,X,O,X,X,X
TSLJOZI,X,O,O,X,O,X,X,X
TSLZIJO,O,O,X,X,X,O,O,X
TSLZIOJ,O,O,X,X,X,O,O,X
TSLZJIO,O,O,O,X,X,X,O,X
TSLZJOI,O,O,O,X,X,X,X,X
TSLZOIJ,O,O,X,X,X,O,O,X
TSLZOJI,O,O,O,X,X,X,X,X
TSLOIJZ,O,O,O,X,O,O,X,X
TSLOIZJ,X,O,X,X,X,O,X,X
TSLOJIZ,O,O,O,X,O,X,X,X
TSLOJZI,X,O,O,X,O,X,X,X
TSLOZIJ,O,O,X,X,X,O,X,X
TSLOZJI,O,O,O,X,X,X,X,X
TSJILZO,X,X,O,X,O,O,X,X
TSJILOZ,O,X,O,X,O,O,X,X
TSJIZLO,O,X,O,X,O,O,X,X
TSJIZOL,O,X,O,X,O,O,X,X
TSJIOLZ,O,X,O,X,O,O,X,X
TSJIOZL,O,X,O,X,O,O,X,X
TSJLIZO,X,O,O,X,O,X,X,X
TSJLIOZ,O,O,O,X,O,X,X,X
TSJLZIO,X,O,O,X,O,X,X,X
TSJLZOI,X,O,O,X,O,X,X,X
TSJLOIZ,O,O,O,X,O,X,X,X
TSJLOZI,X,O,O,X,O,X,X,X
TSJZILO,X,O,O,X,O,O,X,X
TSJZIOL,X,O,O,X,O,O,X,X
TSJZLIO,X,O,O,X,O,X,X,X
TSJZLOI,X,O,O,X,O,X,X,X
TSJZOIL,X,X,O,X,O,O,X,X
TSJZOLI,X,X,O,X,O,X,X,X
TSJOILZ,O,X,O,X,O,O,X,X
TSJOIZL,O,X,O,X,O,O,X,X
TSJOLIZ,O,O,O,X,O,X,X,X
TSJOLZI,X,O,O,X,O,X,X,X
TSJOZIL,X,O,O,X,O,O,X,X
TSJOZLI,X,X,O,X,O,X,X,X
TSZILJO,O,O,X,X,X,O,O,X
TSZILOJ,O,X,X,X,X,O,O,X
TSZIJLO,O,O,X,X,O,O,O,X
TSZIJOL,O,O,X,X,O,O,X,X
TSZIOLJ,O,X,X,X,X,O,O,X
TSZIOJL,O,X,X,X,O,O,X,X
TSZLIJO,O,O,X,X,X,O,O,X
TSZLIOJ,O,O,X,X,X,O,O,X
TSZLJIO,O,O,O,X,X,X,O,X
TSZLJOI,O,O,O,X,X,X,X,X
TSZLOIJ,O,O,X,X,X,O,O,X
TSZLOJI,O,O,O,X,X,X,X,X
TSZJILO,O,O,O,X,O,O,O,X
TSZJIOL,O,O,O,X,O,O,X,X
TSZJLIO,O,O,O,X,O,X,O,X
TSZJLOI,O,O,O,X,O,X,X,X
TSZJOIL,O,X,O,X,O,O,X,X
TSZJOLI,O,X,O,X,O,X,X,X
TSZOILJ,O,X,X,X,X,O,O,X
TSZOIJL,O,O,X,X,O,O,X,X
TSZOLIJ,O,O,X,X,X,O,O,X
TSZOLJI,O,O,O,X,X,X,X,X
TSZOJIL,O,O,O,X,O,O,X,X
TSZOJLI,O,X,O,X,O,X,X,X
TSOILJZ,O,X,O,X,O,O,X,X
TSOILZJ,X,X,X,X,X,O,X,X
TSOIJLZ,O,X,O,X,O,O,X,X
TSOIJZL,O,X,O,X,O,O,X,X
TSOIZLJ,O,X,X,X,X,O,X,X
TSOIZJL,O,X,X,X,O,O,X,X
TSOLIJZ,O,O,O,X,O,O,X,X
TSOLIZJ,X,O,X,X,X,O,X,X
TSOLJIZ,O,O,O,X,O,X,X,X
TSOLJZI,X,O,O,X,O,X,X,X
TSOLZIJ,O,O,X,X,X,O,X,X
TSOLZJI,O,O,O,X,X,X,X,X
TSOJILZ,O,X,O,X,O,O,X,X
TSOJIZL,O,X,O,X,O,O,X,X
TSOJLIZ,O,O,O,X,O,X,X,X
TSOJLZI,X,O,O,X,O,X,X,X
TSOJZIL,X,O,O,X,O,O,X,X
TSOJZLI,X,X,O,X,O,X,X,X
TSOZILJ,O,X,X,X,X,O,X,X
TSOZIJL,O,O,X,X,O,O,X,X
TSOZLIJ,O,O,X,X,X,O,X,X
TSOZLJI,O,O,O,X,X,X,X,X
TSOZJIL,O,O,O,X,O,O,X,X
TSOZJLI,O,X,O,X,O,X,X,X
TZILJSO,O,X,X,O,X,X,X,X
TZILJOS,O,X,O,X,X,X,X,X
TZILSJO,O,O,X,O,X,X,O,X
TZILSOJ,O,X,X,O,X,X,O,X
TZILOJS,O,X,O,X,X,X,X,X
TZILOSJ,O,X,X,O,X,X,X,X
TZIJLSO,O,X,X,O,X,X,X,X
TZIJLOS,O,X,O,O,X,X,X,X
TZIJSLO,O,X,O,O,O,X,X,X
TZIJSOL,O,X,O,O,O,X,X,X
TZIJOLS,O,X,O,X,X,X,X,X
TZIJOSL,O,X,O,O,O,X,X,X
TZISLJO,O,O,X,X,X,O,O,X
TZISLOJ,O,X,X,X,X,O,O,X
TZISJLO,O,O,X,O,O,O,O,X
TZISJOL,O,O,X,O,O,O,X,X
TZISOLJ,O,X,X,X,X,O,O,X
TZISOJL,O,X,X,X,O,O,X,X
TZIOLJS,O,X,O,X,X,X,X,X
TZIOLSJ,O,O,X,O,X,X,X,X
TZIOJLS,O,X,O,X,X,X,X,X
TZIOJSL,O,X,O,O,O,X,X,X
TZIOSLJ,O,X,X,X,X,O,X,X
TZIOSJL,O,O,X,X,O,O,X,X
TZLIJSO,O,O,X,O,X,X,X,X
TZLIJOS,O,X,O,X,X,X,X,X
TZLISJO,O,O,X,O,X,X,O,X
TZLISOJ,O,O,X,O,X,X,O,X
TZLIOJS,O,X,O,X,X,X,X,X
TZLIOSJ,O,O,X,O,X,X,X,X
TZLJISO,O,O,X,O,X,X,X,X
TZLJIOS,O,X,O,X,X,X,X,X
TZLJSIO,O,O,X,O,X,X,X,X
TZLJSOI,O,O,X,O,X,X,X,X
TZLJOIS,O,X,O,X,X,X,X,X
TZLJOSI,O,X,X,X,X,X,X,X
TZLSIJO,O,O,X,O,X,X,O,X
TZLSIOJ,O,O,X,O,X,X,O,X
TZLSJIO,O,O,X,O,X,X,O,X
TZLSJOI,O,O,X,O,X,X,X,X
TZLSOIJ,O,O,X,O,X,X,O,X
TZLSOJI,O,O,X,O,X,X,X,X
TZLOIJS,O,X,O,X,X,X,X,X
TZLOISJ,O,O,X,O,X,X,X,X
TZLOJIS,O,X,O,X,X,X,X,X
TZLOJSI,O,X,X,X,X,X,X,X
TZLOSIJ,O,O,X,O,X,X,X,X
TZLOSJI,O,O,X,O,X,X,X,X
TZJILSO,O,X,X,O,X,X,X,X
TZJILOS,O,X,O,O,X,X,X,X
TZJISLO,O,X,O,O,O,X,X,X
TZJISOL,O,X,O,O,O,X,X,X
TZJIOLS,O,X,O,X,X,X,X,X
TZJIOSL,O,X,O,O,O,X,X,X
TZJLISO,O,X,X,O,X,X,X,X
TZJLIOS,O,X,O,O,X,X,X,X
TZJLSIO,O,X,X,O,X,X,X,X
TZJLSOI,O,X,X,O,X,X,X,X
TZJLOIS,O,X,O,O,X,X,X,X
TZJLOSI,O,X,X,O,X,X,X,X
TZJSILO,O,X,X,O,O,X,X,X
TZJSIOL,O,X,X,O,O,X,X,X
