sequence,v115@9gA8DeA8DeB8BeB8DeE8CeH8AeC8Jex6IvhFXcBOiB?6jBUgBziBFsB,v115@9gA8DeA8DeB8BeB8DeE8CeH8AeC8Je06IvhFxbBOiB?6jB3gBziBFsB,v115@9gA8DeA8DeB8BeB8DeE8CeH8AeC8Je06IvhFxbBKiB?zdB+jB3gBFsB,v115@9gA8DeA8DeB8BeB8DeE8CeH8AeC8Jex6IvhFXcBKiB?zdB+jBUgBFsB,v115@9gA8DeA8DeB8BeB8DeE8CeH8AeC8Je06IvhFxbB6jB?3gBmiBTiBFsB,v115@9gA8DeA8DeB8BeB8DeE8CeH8AeC8Jex6IvhFXcB6jB?UgBmiBTiBFsB
TOJSLIZ,O,O,O,O,O,X
TOJSLZI,O,O,O,O,O,O
TOJSZIL,O,O,O,O,O,O
TOJSZLI,O,O,O,O,O,O
TOJZILS,O,O,O,O,X,O
TOJZISL,O,O,O,O,X,O
TOJZLIS,O,O,O,O,X,O
TOJZLSI,O,O,O,O,O,O
TOJZSIL,O,O,O,O,O,O
TOJZSLI,O,O,O,O,O,O
TOSILJZ,O,O,O,O,O,X
TOSILZJ,O,O,O,X,O,X
TOSIJLZ,O,O,O,O,O,X
TOSIJZL,O,O,O,X,O,X
TOSIZLJ,O,O,O,X,O,X
TOSIZJL,O,O,O,X,O,X
TOSLIJZ,O,O,O,O,O,X
TOSLIZJ,O,O,O,X,O,X
TOSLJIZ,O,O,O,O,O,X
TOSLJZI,O,O,O,O,O,O
TOSLZIJ,O,O,O,O,O,O
TOSLZJI,O,O,O,O,O,O
TOSJILZ,O,O,O,O,O,X
TOSJIZL,O,O,O,X,O,X
TOSJLIZ,O,O,O,O,O,X
TOSJLZI,O,O,O,O,O,O
TOSJZIL,O,O,O,O,O,O
TOSJZLI,O,O,O,O,O,O
TOSZILJ,O,O,O,O,O,O
TOSZIJL,O,O,O,O,O,O
TOSZLIJ,O,O,O,O,O,O
TOSZLJI,O,O,O,O,O,O
TOSZJIL,O,O,O,O,O,O
TOSZJLI,O,O,O,O,O,O
TOZILJS,O,O,O,O,X,O
TOZILSJ,O,O,X,O,X,O
TOZIJLS,O,O,O,O,X,O
TOZIJSL,O,O,X,O,X,O
TOZISLJ,O,O,X,O,X,O
TOZISJL,O,O,X,O,X,O
TOZLIJS,O,O,O,O,X,O
TOZLISJ,O,O,X,O,X,O
TOZLJIS,O,O,O,O,X,O
TOZLJSI,O,O,O,O,O,O
TOZLSIJ,O,O,O,O,O,O
TOZLSJI,O,O,O,O,O,O
TOZJILS,O,O,O,O,X,O
TOZJISL,O,O,O,O,X,O
TOZJLIS,O,O,O,O,X,O
TOZJLSI,O,O,O,O,O,O
TOZJSIL,O,O,O,O,O,O
TOZJSLI,O,O,O,O,O,O
TOZSILJ,O,O,O,O,O,O
TOZSIJL,O,O,O,O,O,O
TOZSLIJ,O,O,O,O,O,O
TOZSLJI,O,O,O,O,O,O
TOZSJIL,O,O,O,O,O,O
TOZSJLI,O,O,O,O,O,O
ITLJSZO,O,O,O,O,O,O
ITLJSOZ,O,O,O,O,O,X
ITLJZSO,O,O,O,O,O,O
ITLJZOS,O,O,O,O,X,O
ITLJOSZ,O,O,O,O,X,X
ITLJOZS,O,O,O,O,X,X
ITLSJZO,O,O,O,O,O,O
ITLSJOZ,O,O,O,O,O,X
ITLSZJO,O,O,O,O,O,O
ITLSZOJ,O,O,O,O,O,O
ITLSOJZ,O,O,O,O,O,X
ITLSOZJ,O,O,O,X,O,X
ITLZJSO,O,O,O,O,O,O
ITLZJOS,O,O,O,O,X,O
ITLZSJO,O,O,O,O,O,O
ITLZSOJ,O,O,O,O,O,O
ITLZOJS,O,O,O,O,X,O
ITLZOSJ,O,O,X,O,X,O
ITLOJSZ,O,O,O,O,X,X
ITLOJZS,O,O,O,O,X,X
ITLOSJZ,O,O,X,O,X,X
ITLOSZJ,O,O,X,X,X,X
ITLOZJS,O,O,O,X,X,X
ITLOZSJ,O,O,X,X,X,X
ITJLSZO,O,O,O,O,O,O
ITJLSOZ,O,O,O,O,O,X
ITJLZSO,O,O,O,O,O,O
ITJLZOS,O,O,O,O,X,O
ITJLOSZ,O,O,O,O,X,X
ITJLOZS,O,O,O,O,X,X
ITJSLZO,O,O,O,O,O,O
ITJSLOZ,O,O,O,O,O,X
ITJSZLO,O,O,O,O,O,O
ITJSZOL,O,O,O,O,O,O
ITJSOLZ,O,O,O,O,O,X
ITJSOZL,O,O,O,X,O,X
ITJZLSO,O,O,O,O,O,O
ITJZLOS,O,O,O,O,X,O
ITJZSLO,O,O,O,O,O,O
ITJZSOL,O,O,O,O,O,O
ITJZOLS,O,O,O,O,X,O
ITJZOSL,O,O,O,O,X,O
ITJOLSZ,O,O,O,O,X,X
ITJOLZS,O,O,O,O,X,X
ITJOSLZ,O,O,O,O,X,X
ITJOSZL,O,O,O,X,X,X
ITJOZLS,O,O,O,O,X,X
ITJOZSL,O,O,O,O,X,X
ITSLJZO,O,O,O,O,O,O
ITSLJOZ,O,O,O,O,O,X
ITSLZJO,O,O,O,O,O,O
ITSLZOJ,O,O,O,O,O,O
ITSLOJZ,O,O,O,O,O,X
ITSLOZJ,O,O,O,X,O,X
ITSJLZO,O,O,O,O,O,O
ITSJLOZ,O,O,O,O,O,X
ITSJZLO,O,O,O,O,O,O
ITSJZOL,O,O,O,O,O,O
ITSJOLZ,O,O,O,O,O,X
ITSJOZL,O,O,O,X,O,X
ITSZLJO,O,O,O,O,O,O
ITSZLOJ,O,O,O,O,O,O
ITSZJLO,O,O,O,O,O,O
ITSZJOL,O,O,O,O,O,O
ITSZOLJ,O,O,O,O,O,O
ITSZOJL,O,O,O,O,O,O
ITSOLJZ,O,O,O,O,O,X
ITSOLZJ,O,O,O,X,O,X
ITSOJLZ,O,O,O,O,O,X
ITSOJZL,O,O,O,X,O,X
ITSOZLJ,O,O,O,X,O,X
ITSOZJL,O,O,O,X,O,X
ITZLJSO,O,O,O,O,O,O
ITZLJOS,O,O,O,O,X,O
ITZLSJO,O,O,O,O,O,O
ITZLSOJ,O,O,O,O,O,O
ITZLOJS,O,O,O,O,X,O
ITZLOSJ,O,O,X,O,X,O
ITZJLSO,O,O,O,O,O,O
ITZJLOS,O,O,O,O,X,O
ITZJSLO,O,O,O,O,O,O
ITZJSOL,O,O,O,O,O,O
ITZJOLS,O,O,O,O,X,O
ITZJOSL,O,O,O,O,X,O
ITZSLJO,O,O,O,O,O,O
ITZSLOJ,O,O,O,O,O,O
ITZSJLO,O,O,O,O,O,O
ITZSJOL,O,O,O,O,O,O
ITZSOLJ,O,O,O,O,O,O
ITZSOJL,O,O,O,O,O,O
ITZOLJS,O,O,O,O,X,O
ITZOLSJ,O,O,X,O,X,O
ITZOJLS,O,O,O,O,X,O
ITZOJSL,O,O,X,O,X,O
ITZOSLJ,O,O,X,O,X,O
ITZOSJL,O,O,X,O,X,O
ITOLJSZ,O,O,O,O,X,X
ITOLJZS,O,O,O,O,X,X
ITOLSJZ,O,O,X,O,X,X
ITOLSZJ,O,O,X,X,X,X
ITOLZJS,O,O,O,X,X,X
ITOLZSJ,O,O,X,X,X,X
ITOJLSZ,O,O,O,O,X,X
ITOJLZS,O,O,O,O,X,X
ITOJSLZ,O,O,X,O,X,X
ITOJSZL,O,O,X,X,X,X
ITOJZLS,O,O,O,O,X,X
ITOJZSL,O,O,X,X,X,X
ITOSLJZ,O,O,X,O,X,X
ITOSLZJ,O,O,X,X,X,X
ITOSJLZ,O,O,X,O,X,X
ITOSJZL,O,O,X,X,X,X
ITOSZLJ,O,O,X,X,X,X
ITOSZJL,O,O,X,X,X,X
ITOZLJS,O,O,O,X,X,X
ITOZLSJ,O,O,X,X,X,X
ITOZJLS,O,O,O,X,X,X
ITOZJSL,O,O,X,X,X,X
ITOZSLJ,O,O,X,X,X,X
ITOZSJL,O,O,X,X,X,X
ILTJSZO,O,O,O,O,O,O
ILTJSOZ,O,O,O,O,O,X
ILTJZSO,O,O,O,O,O,O
ILTJZOS,O,O,O,O,X,O
ILTJOSZ,O,O,O,O,X,X
ILTJOZS,O,O,O,O,X,X
ILTSJZO,O,O,O,O,O,O
ILTSJOZ,O,O,O,O,O,X
ILTSZJO,O,O,O,O,O,O
ILTSZOJ,O,O,X,X,O,O
ILTSOJZ,O,O,X,O,O,X
ILTSOZJ,O,O,X,X,O,X
ILTZJSO,O,O,O,O,O,O
ILTZJOS,O,O,O,O,X,O
ILTZSJO,O,O,O,O,O,O
ILTZSOJ,O,O,X,X,O,O
ILTZOJS,O,O,O,X,X,O
ILTZOSJ,O,O,X,X,X,O
ILTOJSZ,O,O,O,O,X,X
ILTOJZS,O,O,O,O,X,X
ILTOSJZ,O,O,X,O,X,X
ILTOSZJ,O,O,X,X,X,X
ILTOZJS,O,O,O,X,X,X
ILTOZSJ,O,O,X,X,X,X
ILJTSZO,O,O,O,O,X,X
ILJTSOZ,O,X,O,O,X,X
ILJTZSO,O,O,O,O,X,X
ILJTZOS,X,O,O,O,X,X
ILJTOSZ,O,O,O,O,X,X
ILJTOZS,O,O,O,O,X,X
ILJSTZO,O,X,X,O,O,X
ILJSTOZ,O,X,X,O,X,X
ILJSZTO,X,X,X,X,O,O
ILJSZOT,X,X,X,X,O,O
ILJSOTZ,O,X,X,X,X,X
ILJSOZT,O,X,X,X,O,X
ILJZTSO,X,O,O,X,X,O
ILJZTOS,X,O,O,X,X,X
ILJZSTO,X,X,X,X,O,O
ILJZSOT,X,X,X,X,O,O
ILJZOTS,X,O,X,X,X,X
ILJZOST,X,O,X,X,X,O
ILJOTSZ,O,X,X,X,X,X
ILJOTZS,X,O,X,X,X,X
ILJOSTZ,O,X,X,X,X,X
ILJOSZT,O,O,X,X,X,X
ILJOZTS,X,O,X,X,X,X
ILJOZST,O,O,X,X,X,X
ILSTJZO,O,O,X,O,O,O
ILSTJOZ,O,O,X,O,O,X
ILSTZJO,O,O,X,O,O,O
ILSTZOJ,O,O,X,X,O,O
ILSTOJZ,O,O,X,O,O,X
ILSTOZJ,O,O,X,X,O,X
ILSJTZO,O,O,X,O,O,X
ILSJTOZ,O,O,X,O,O,X
ILSJZTO,X,O,X,X,O,O
ILSJZOT,X,O,X,X,O,O
ILSJOTZ,O,O,X,X,X,X
ILSJOZT,O,O,X,X,O,X
ILSZTJO,O,O,X,X,O,O
ILSZTOJ,O,O,X,X,O,O
ILSZJTO,O,O,X,X,O,O
ILSZJOT,O,O,X,X,O,O
ILSZOTJ,O,O,X,X,O,O
ILSZOJT,O,O,X,X,O,O
ILSOTJZ,O,O,X,X,O,X
ILSOTZJ,O,O,X,X,O,X
ILSOJTZ,O,O,X,X,X,X
ILSOJZT,O,O,X,X,O,X
ILSOZTJ,O,O,X,X,O,X
ILSOZJT,O,O,X,X,O,X
ILZTJSO,O,O,O,X,O,O
ILZTJOS,O,O,O,X,X,O
ILZTSJO,O,O,O,X,O,O
ILZTSOJ,O,O,X,X,O,O
ILZTOJS,O,O,O,X,X,O
ILZTOSJ,O,O,X,X,X,O
ILZJTSO,O,O,O,X,X,O
ILZJTOS,O,O,O,X,X,O
ILZJSTO,O,X,X,X,O,O
ILZJSOT,O,X,X,X,O,O
ILZJOTS,O,O,X,X,X,X
ILZJOST,O,O,X,X,X,O
ILZSTJO,O,O,X,X,O,O
ILZSTOJ,O,O,X,X,O,O
ILZSJTO,O,O,X,X,O,O
ILZSJOT,O,O,X,X,O,O
ILZSOTJ,O,O,X,X,O,O
ILZSOJT,O,O,X,X,O,O
ILZOTJS,O,O,X,X,X,O
ILZOTSJ,O,O,X,X,X,O
ILZOJTS,O,O,X,X,X,X
ILZOJST,O,O,X,X,X,O
ILZOSTJ,O,O,X,X,X,O
ILZOSJT,O,O,X,X,X,O
ILOTJSZ,O,O,X,X,X,X
ILOTJZS,O,O,X,X,X,X
ILOTSJZ,O,O,X,X,X,X
ILOTSZJ,O,O,X,X,X,X
ILOTZJS,O,O,X,X,X,X
ILOTZSJ,O,O,X,X,X,X
ILOJTSZ,O,X,X,X,X,X
ILOJTZS,X,O,X,X,X,X
ILOJSTZ,O,O,X,X,X,X
ILOJSZT,O,O,X,X,X,X
ILOJZTS,O,O,X,X,X,X
ILOJZST,O,O,X,X,X,X
ILOSTJZ,O,O,X,X,X,X
ILOSTZJ,O,O,X,X,X,X
ILOSJTZ,O,O,X,X,X,X
ILOSJZT,O,O,X,X,X,X
ILOSZTJ,O,O,X,X,X,X
ILOSZJT,O,O,X,X,X,X
ILOZTJS,O,O,X,X,X,X
ILOZTSJ,O,O,X,X,X,X
ILOZJTS,O,O,X,X,X,X
ILOZJST,O,O,X,X,X,X
ILOZSTJ,O,O,X,X,X,X
ILOZSJT,O,O,X,X,X,X
IJTLSZO,O,O,O,O,X,X
IJTLSOZ,O,X,O,O,X,X
IJTLZSO,O,O,O,O,X,X
IJTLZOS,X,O,O,O,X,X
IJTLOSZ,O,O,O,O,X,X
IJTLOZS,O,O,O,O,X,X
IJTSLZO,O,O,O,O,X,X
IJTSLOZ,O,X,O,O,X,X
IJTSZLO,O,O,O,O,X,X
IJTSZOL,O,O,O,O,X,X
IJTSOLZ,O,O,O,O,X,X
IJTSOZL,O,O,O,X,X,X
IJTZLSO,O,O,O,O,X,X
IJTZLOS,X,O,O,O,X,X
IJTZSLO,O,O,O,O,X,X
IJTZSOL,O,O,O,O,X,X
IJTZOLS,O,O,O,O,X,X
IJTZOSL,O,O,O,O,X,X
IJTOLSZ,O,O,O,O,X,X
IJTOLZS,O,O,O,O,X,X
IJTOSLZ,O,O,O,O,X,X
IJTOSZL,O,O,O,X,X,X
IJTOZLS,O,O,O,O,X,X
IJTOZSL,O,O,O,O,X,X
IJLTSZO,O,O,O,O,X,X
IJLTSOZ,O,X,O,O,X,X
IJLTZSO,O,O,O,O,X,X
IJLTZOS,X,O,O,O,X,X
IJLTOSZ,O,O,O,O,X,X
IJLTOZS,O,O,O,O,X,X
IJLSTZO,O,X,X,O,O,X
IJLSTOZ,O,X,X,O,X,X
IJLSZTO,X,X,X,X,O,O
IJLSZOT,X,X,X,X,O,O
IJLSOTZ,O,X,X,X,X,X
IJLSOZT,O,X,X,X,O,X
IJLZTSO,X,O,O,X,X,O
IJLZTOS,X,O,O,X,X,X
IJLZSTO,X,X,X,X,O,O
IJLZSOT,X,X,X,X,O,O
IJLZOTS,X,O,X,X,X,X
IJLZOST,X,O,X,X,X,O
IJLOTSZ,O,X,X,X,X,X
IJLOTZS,X,O,X,X,X,X
IJLOSTZ,O,X,X,X,X,X
IJLOSZT,O,O,X,X,X,X
IJLOZTS,X,O,X,X,X,X
IJLOZST,O,O,X,X,X,X
IJSTLZO,O,X,O,O,O,X
IJSTLOZ,O,X,O,O,X,X
IJSTZLO,O,X,O,O,O,X
IJSTZOL,O,X,O,O,X,X
IJSTOLZ,O,X,O,O,X,X
IJSTOZL,O,X,O,X,X,X
IJSLTZO,O,X,O,O,O,X
IJSLTOZ,O,X,O,O,X,X
IJSLZTO,X,X,O,X,O,O
IJSLZOT,X,X,X,X,O,O
IJSLOTZ,O,X,X,X,X,X
IJSLOZT,O,X,X,X,O,X
IJSZTLO,X,X,O,O,O,O
IJSZTOL,X,X,O,O,X,X
IJSZLTO,X,X,O,O,O,O
IJSZLOT,X,X,X,X,O,O
IJSZOTL,X,X,O,O,X,X
IJSZOLT,X,X,X,X,O,O
IJSOTLZ,O,X,O,O,X,X
IJSOTZL,X,X,O,X,X,X
IJSOLTZ,O,X,X,X,X,X
IJSOLZT,O,X,X,X,O,X
IJSOZTL,X,X,O,X,X,X
IJSOZLT,O,X,X,X,O,X
IJZTLSO,X,O,O,O,X,O
IJZTLOS,X,O,O,O,X,X
IJZTSLO,X,O,O,O,X,O
IJZTSOL,X,O,O,O,X,X
IJZTOLS,X,O,O,O,X,X
IJZTOSL,X,O,O,O,X,X
IJZLTSO,X,O,O,O,X,O
IJZLTOS,X,O,O,O,X,X
IJZLSTO,X,X,X,O,O,O
IJZLSOT,X,X,X,X,O,O
IJZLOTS,X,O,X,X,X,X
IJZLOST,X,O,X,X,X,O
IJZSTLO,X,X,O,O,O,O
IJZSTOL,X,X,O,O,X,X
IJZSLTO,X,X,O,O,O,O
IJZSLOT,X,X,X,X,O,O
IJZSOTL,X,X,O,O,X,X
IJZSOLT,X,X,X,X,O,O
IJZOTLS,X,O,O,O,X,X
IJZOTSL,X,X,X,O,X,X
IJZOLTS,X,O,X,X,X,X
IJZOLST,X,O,X,X,X,O
IJZOSTL,X,X,X,O,X,X
IJZOSLT,X,O,X,X,X,O
IJOTLSZ,O,X,O,O,X,X
IJOTLZS,X,O,O,O,X,X
IJOTSLZ,O,X,X,O,X,X
IJOTSZL,X,X,X,X,X,X
IJOTZLS,X,O,O,O,X,X
IJOTZSL,X,X,X,X,X,X
IJOLTSZ,O,X,X,X,X,X
IJOLTZS,X,O,X,X,X,X
IJOLSTZ,O,X,X,X,X,X
IJOLSZT,O,O,X,X,X,X
IJOLZTS,X,O,X,X,X,X
IJOLZST,O,O,X,X,X,X
IJOSTLZ,O,X,X,O,X,X
IJOSTZL,X,X,X,X,X,X
IJOSLTZ,O,X,X,X,X,X
IJOSLZT,O,O,X,X,X,X
IJOSZTL,X,X,X,X,X,X
IJOSZLT,O,O,X,X,X,X
IJOZTLS,X,O,O,X,X,X
IJOZTSL,X,X,X,X,X,X
IJOZLTS,X,O,X,X,X,X
IJOZLST,O,O,X,X,X,X
IJOZSTL,X,X,X,X,X,X
IJOZSLT,O,O,X,X,X,X
ISTLJZO,O,O,O,O,O,O
ISTLJOZ,O,O,O,O,O,X
ISTLZJO,O,O,O,O,O,O
ISTLZOJ,O,O,O,O,O,O
ISTLOJZ,O,O,O,O,O,X
ISTLOZJ,O,O,O,X,O,X
ISTJLZO,O,O,O,O,O,O
ISTJLOZ,O,O,O,O,O,X
ISTJZLO,O,O,O,O,O,O
ISTJZOL,O,O,O,O,O,O
ISTJOLZ,O,O,O,O,O,X
ISTJOZL,O,O,O,X,O,X
ISTZLJO,O,O,O,O,O,O
ISTZLOJ,O,O,O,O,O,O
ISTZJLO,O,O,O,O,O,O
ISTZJOL,O,O,O,O,O,O
ISTZOLJ,O,O,O,O,O,O
ISTZOJL,O,O,O,O,O,O
ISTOLJZ,O,O,O,O,O,X
ISTOLZJ,O,O,O,X,O,X
ISTOJLZ,O,O,O,O,O,X
ISTOJZL,O,O,O,X,O,X
ISTOZLJ,O,O,O,X,O,X
ISTOZJL,O,O,O,X,O,X
ISLTJZO,O,O,O,O,O,O
ISLTJOZ,O,O,O,O,O,X
ISLTZJO,O,O,O,O,O,O
ISLTZOJ,O,O,O,X,O,O
ISLTOJZ,O,O,O,O,O,X
ISLTOZJ,O,O,O,X,O,X
ISLJTZO,O,O,O,O,O,X
ISLJTOZ,O,O,O,O,O,X
ISLJZTO,X,O,O,X,O,O
ISLJZOT,X,O,X,X,O,O
ISLJOTZ,O,O,X,X,X,X
ISLJOZT,O,O,X,X,O,X
ISLZTJO,O,O,O,X,O,O
ISLZTOJ,O,O,O,X,O,O
ISLZJTO,O,O,O,X,O,O
ISLZJOT,O,O,X,X,O,O
ISLZOTJ,O,O,X,X,O,O
ISLZOJT,O,O,X,X,O,O
ISLOTJZ,O,O,X,X,O,X
ISLOTZJ,O,O,X,X,O,X
ISLOJTZ,O,O,X,X,X,X
ISLOJZT,O,O,X,X,O,X
ISLOZTJ,O,O,X,X,O,X
ISLOZJT,O,O,X,X,O,X
ISJTLZO,O,O,O,O,O,X
ISJTLOZ,O,O,O,O,O,X
ISJTZLO,O,O,O,O,O,X
ISJTZOL,O,O,O,O,O,X
ISJTOLZ,O,O,O,O,O,X
ISJTOZL,O,O,O,X,O,X
ISJLTZO,O,O,O,O,O,X
ISJLTOZ,O,O,O,O,O,X
ISJLZTO,X,O,O,X,O,O
ISJLZOT,X,O,X,X,O,O
ISJLOTZ,O,O,X,X,X,X
ISJLOZT,O,O,X,X,O,X
ISJZTLO,X,O,O,O,O,O
ISJZTOL,X,O,O,O,O,X
ISJZLTO,X,O,O,O,O,O
ISJZLOT,X,O,X,X,O,O
ISJZOTL,X,O,O,O,X,X
ISJZOLT,X,O,X,X,O,O
ISJOTLZ,O,O,O,O,X,X
ISJOTZL,X,O,O,X,X,X
ISJOLTZ,O,O,X,X,X,X
ISJOLZT,O,O,X,X,O,X
ISJOZTL,X,O,O,X,X,X
ISJOZLT,O,O,X,X,O,X
ISZTLJO,O,O,O,O,O,O
ISZTLOJ,O,O,O,O,O,O
ISZTJLO,O,O,O,O,O,O
ISZTJOL,O,O,O,O,O,O
ISZTOLJ,O,O,O,O,O,O
ISZTOJL,O,O,O,O,O,O
ISZLTJO,O,O,O,O,O,O
ISZLTOJ,O,O,O,O,O,O
ISZLJTO,O,O,O,O,O,O
ISZLJOT,O,O,X,X,O,O
ISZLOTJ,O,O,X,X,O,O
ISZLOJT,O,O,X,X,O,O
ISZJTLO,O,O,O,O,O,O
ISZJTOL,O,O,O,O,O,O
ISZJLTO,O,O,O,O,O,O
ISZJLOT,O,O,X,X,O,O
ISZJOTL,O,O,O,O,X,X
ISZJOLT,O,O,X,X,O,O
ISZOTLJ,O,O,O,O,O,O
ISZOTJL,O,O,O,O,O,O
ISZOLTJ,O,O,X,X,O,O
ISZOLJT,O,O,X,X,O,O
ISZOJTL,O,O,O,O,X,X
ISZOJLT,O,O,X,X,O,O
ISOTLJZ,O,O,O,O,O,X
ISOTLZJ,O,O,O,X,O,X
ISOTJLZ,O,O,O,O,O,X
ISOTJZL,O,O,O,X,O,X
ISOTZLJ,O,O,O,X,O,X
ISOTZJL,O,O,O,X,O,X
ISOLTJZ,O,O,X,X,O,X
ISOLTZJ,O,O,X,X,O,X
ISOLJTZ,O,O,X,X,X,X
ISOLJZT,O,O,X,X,O,X
ISOLZTJ,O,O,X,X,O,X
ISOLZJT,O,O,X,X,O,X
ISOJTLZ,O,O,O,O,X,X
ISOJTZL,X,O,O,X,X,X
ISOJLTZ,O,O,X,X,X,X
ISOJLZT,O,O,X,X,O,X
ISOJZTL,O,O,O,X,X,X
ISOJZLT,O,O,X,X,O,X
ISOZTLJ,O,O,O,X,O,X
ISOZTJL,O,O,O,X,O,X
ISOZLTJ,O,O,X,X,O,X
ISOZLJT,O,O,X,X,O,X
ISOZJTL,O,O,O,X,X,X
ISOZJLT,O,O,X,X,O,X
IZTLJSO,O,O,O,O,O,O
IZTLJOS,O,O,O,O,X,O
IZTLSJO,O,O,O,O,O,O
IZTLSOJ,O,O,O,O,O,O
IZTLOJS,O,O,O,O,X,O
IZTLOSJ,O,O,X,O,X,O
IZTJLSO,O,O,O,O,O,O
IZTJLOS,O,O,O,O,X,O
IZTJSLO,O,O,O,O,O,O
IZTJSOL,O,O,O,O,O,O
IZTJOLS,O,O,O,O,X,O
IZTJOSL,O,O,O,O,X,O
IZTSLJO,O,O,O,O,O,O
IZTSLOJ,O,O,O,O,O,O
IZTSJLO,O,O,O,O,O,O
IZTSJOL,O,O,O,O,O,O
IZTSOLJ,O,O,O,O,O,O
IZTSOJL,O,O,O,O,O,O
IZTOLJS,O,O,O,O,X,O
IZTOLSJ,O,O,X,O,X,O
IZTOJLS,O,O,O,O,X,O
IZTOJSL,O,O,X,O,X,O
IZTOSLJ,O,O,X,O,X,O
IZTOSJL,O,O,X,O,X,O
IZLTJSO,O,O,O,O,O,O
IZLTJOS,O,O,O,O,X,O
IZLTSJO,O,O,O,O,O,O
IZLTSOJ,O,O,X,O,O,O
IZLTOJS,O,O,O,O,X,O
IZLTOSJ,O,O,X,O,X,O
IZLJTSO,O,O,O,O,X,O
IZLJTOS,O,O,O,O,X,O
IZLJSTO,O,X,X,O,O,O
IZLJSOT,O,X,X,X,O,O
IZLJOTS,O,O,X,X,X,X
IZLJOST,O,O,X,X,X,O
IZLSTJO,O,O,X,O,O,O
IZLSTOJ,O,O,X,O,O,O
IZLSJTO,O,O,X,O,O,O
IZLSJOT,O,O,X,X,O,O
IZLSOTJ,O,O,X,X,O,O
IZLSOJT,O,O,X,X,O,O
IZLOTJS,O,O,X,X,X,O
IZLOTSJ,O,O,X,X,X,O
IZLOJTS,O,O,X,X,X,X
IZLOJST,O,O,X,X,X,O
IZLOSTJ,O,O,X,X,X,O
IZLOSJT,O,O,X,X,X,O
IZJTLSO,O,O,O,O,X,O
IZJTLOS,O,O,O,O,X,O
IZJTSLO,O,O,O,O,X,O
IZJTSOL,O,O,O,O,X,O
IZJTOLS,O,O,O,O,X,O
IZJTOSL,O,O,O,O,X,O
IZJLTSO,O,O,O,O,X,O
IZJLTOS,O,O,O,O,X,O
IZJLSTO,O,X,X,O,O,O
IZJLSOT,O,X,X,X,O,O
IZJLOTS,O,O,X,X,X,X
IZJLOST,O,O,X,X,X,O
IZJSTLO,O,X,O,O,O,O
IZJSTOL,O,X,O,O,X,O
IZJSLTO,O,X,O,O,O,O
IZJSLOT,O,X,X,X,O,O
IZJSOTL,O,X,O,O,X,X
IZJSOLT,O,X,X,X,O,O
IZJOTLS,O,O,O,O,X,X
IZJOTSL,O,X,X,O,X,X
IZJOLTS,O,O,X,X,X,X
IZJOLST,O,O,X,X,X,O
IZJOSTL,O,X,X,O,X,X
IZJOSLT,O,O,X,X,X,O
IZSTLJO,O,O,O,O,O,O
IZSTLOJ,O,O,O,O,O,O
IZSTJLO,O,O,O,O,O,O
IZSTJOL,O,O,O,O,O,O
IZSTOLJ,O,O,O,O,O,O
IZSTOJL,O,O,O,O,O,O
IZSLTJO,O,O,O,O,O,O
IZSLTOJ,O,O,O,O,O,O
IZSLJTO,O,O,O,O,O,O
IZSLJOT,O,O,X,X,O,O
IZSLOTJ,O,O,X,X,O,O
IZSLOJT,O,O,X,X,O,O
IZSJTLO,O,O,O,O,O,O
IZSJTOL,O,O,O,O,O,O
IZSJLTO,O,O,O,O,O,O
IZSJLOT,O,O,X,X,O,O
IZSJOTL,O,O,O,O,X,X
IZSJOLT,O,O,X,X,O,O
IZSOTLJ,O,O,O,O,O,O
IZSOTJL,O,O,O,O,O,O
IZSOLTJ,O,O,X,X,O,O
IZSOLJT,O,O,X,X,O,O
IZSOJTL,O,O,O,O,X,X
IZSOJLT,O,O,X,X,O,O
IZOTLJS,O,O,O,O,X,O
IZOTLSJ,O,O,X,O,X,O
IZOTJLS,O,O,O,O,X,O
IZOTJSL,O,O,X,O,X,O
IZOTSLJ,O,O,X,O,X,O
IZOTSJL,O,O,X,O,X,O
IZOLTJS,O,O,X,X,X,O
IZOLTSJ,O,O,X,X,X,O
IZOLJTS,O,O,X,X,X,X
IZOLJST,O,O,X,X,X,O
IZOLSTJ,O,O,X,X,X,O
IZOLSJT,O,O,X,X,X,O
IZOJTLS,O,O,O,O,X,X
IZOJTSL,O,X,X,O,X,X
IZOJLTS,O,O,X,X,X,X
IZOJLST,O,O,X,X,X,O
IZOJSTL,O,O,X,O,X,X
IZOJSLT,O,O,X,X,X,O
IZOSTLJ,O,O,X,O,X,O
IZOSTJL,O,O,X,O,X,O
IZOSLTJ,O,O,X,X,X,O
IZOSLJT,O,O,X,X,X,O
IZOSJTL,O,O,X,O,X,X
IZOSJLT,O,O,X,X,X,O
IOTLJSZ,O,O,O,O,X,X
IOTLJZS,O,O,O,O,X,X
IOTLSJZ,O,O,X,O,X,X
IOTLSZJ,O,O,X,X,X,X
IOTLZJS,O,O,O,X,X,X
IOTLZSJ,O,O,X,X,X,X
IOTJLSZ,O,O,O,O,X,X
IOTJLZS,O,O,O,O,X,X
IOTJSLZ,O,O,X,O,X,X
IOTJSZL,O,O,X,X,X,X
IOTJZLS,O,O,O,O,X,X
IOTJZSL,O,O,X,X,X,X
IOTSLJZ,O,O,X,O,X,X
IOTSLZJ,O,O,X,X,X,X
