sequence,v115@EhC8HeB8HeB8BeA8CeD8Jei/IvhFRhBFlB8qBGnBTp?B3rB,v115@EhC8HeB8HeB8BeA8CeD8Jei/IvhFGhB/nBRlBTpB0q?BlrB,v115@EhC8HeB8HeB8BeA8CeD8Jex/IvhFThB/nBOpB8pBqq?BlrB,v115@EhC8HeB8HeB8BeA8CeD8Je2EJvhFRgBSmB/nBTpB0q?BlrB,v115@EhC8HeB8HeB8BeA8CeD8Jel/IvhFRhBKpBXlB8qB+r?BTsB,v115@EhC8HeB8HeB8BeA8CeD8Jex/IvhF8lBumBikBTnB3p?BVwB,v115@EhC8HeB8HeB8BeA8CeD8JeZEJvhFzfBWmB/nB0mBCq?BVwB,v115@EhC8HeB8HeB8BeA8CeD8Jex/IvhFlhBKpBWqB/rBTn?B0qB,v115@EhC8HeB8HeB8BeA8CeD8Jex/IvhFlhBikBUmBTnB3p?BWwB,v115@EhC8HeB8HeB8BeA8CeD8JeZEJvhFSlBThB/nBupB0q?BlrB,v115@EhC8HeB8HeB8BeA8CeD8Je2EJvhFUiBFmBxpBCsB3p?BzqB,v115@EhC8HeB8HeB8BeA8CeD8JeRBJvhF/pBFlB8qB+rBTn?BipB,v115@EhC8HeB8HeB8BeA8CeD8JeOEJvhFzhBRlBSsB3pBUr?BlqB,v115@EhC8HeB8HeB8BeA8CeD8Jei/IvhFXhBVnBUlBTpBxr?BWwB,v115@EhC8HeB8HeB8BeA8CeD8JeXAJvhF8lBVnB2pBxrBTp?BSwB
TIJSLZO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJSZLO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
TIJSZOL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TIJSOLZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJSOZL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJZLSO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
TIJZLOS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIJZSLO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
TIJZSOL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TIJZOLS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJZOSL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TIJOLSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJOLZS,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIJOSLZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJOSZL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJOZLS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJOZSL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TISLJZO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TISLJOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISLZJO,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X
TISLZOJ,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X
TISLOJZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TISLOZJ,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TISJLZO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TISJLOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISJZLO,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O
TISJZOL,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O
TISJOLZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISJOZL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISZLJO,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O
TISZLOJ,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
TISZJLO,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O
TISZJOL,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O
TISZOLJ,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
TISZOJL,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O
TISOLJZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TISOLZJ,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TISOJLZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TISOJZL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TISOZLJ,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
TISOZJL,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
TIZLJSO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
TIZLJOS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZLSJO,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O
TIZLSOJ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TIZLOJS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZLOSJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZJLSO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
TIZJLOS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZJSLO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
TIZJSOL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TIZJOLS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZJOSL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TIZSLJO,O,X,X,X,X,O,O,X,X,O,X,X,X,X,O
TIZSLOJ,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
TIZSJLO,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O
TIZSJOL,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O
TIZSOLJ,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
TIZSOJL,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O
TIZOLJS,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIZOLSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZOJLS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIZOJSL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
TIZOSLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIZOSJL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
TIOLJSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOLJZS,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIOLSJZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOLSZJ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIOLZJS,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIOLZSJ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIOJLSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOJLZS,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIOJSLZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIOJSZL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOJZLS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOJZSL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
TIOSLJZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TIOSJLZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIOSJZL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOSZLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOSZJL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOZLJS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOZLSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOZJLS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOZJSL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
TIOZSLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOZSJL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
TLIJSZO,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TLIJSOZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TLIJZSO,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
TLIJZOS,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
TLIJOSZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TLIJOZS,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TLISJZO,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TLISJOZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TLISZJO,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TLISZOJ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X
TLISOJZ,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
TLISOZJ,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
TLIZJSO,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
TLIZJOS,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
TLIZSJO,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
TLIZSOJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLIZOJS,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
TLIZOSJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TLIOJZS,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TLIOSJZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLIOZJS,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TLIOZSJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLJISZO,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TLJISOZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TLJIZSO,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
TLJIZOS,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
TLJIOSZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TLJIOZS,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TLJSIZO,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X
TLJSIOZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TLJSZIO,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X
TLJSZOI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TLJSOZI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLJZISO,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X
TLJZIOS,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X
TLJZSIO,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLJZSOI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLJZOIS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJZOSI,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TLJOIZS,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TLJOSIZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TLJOSZI,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TLJOZIS,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TLJOZSI,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLSIJZO,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X
TLSIJOZ,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X
TLSIZJO,O,X,O,X,O,O,O,O,X,X,O,X,X,X,X
TLSIZOJ,O,X,O,X,O,O,O,O,X,X,X,X,X,X,X
TLSIOJZ,X,X,O,X,O,O,O,O,X,X,X,X,O,X,X
TLSIOZJ,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X
TLSJIZO,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X
TLSJIOZ,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X
TLSJZIO,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X
TLSJZOI,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X
TLSJOIZ,X,X,O,X,O,O,O,O,X,X,X,X,O,X,X
TLSJOZI,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X
TLSZIJO,O,X,O,X,O,O,O,O,X,X,O,X,O,X,X
TLSZIOJ,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X
TLSZJIO,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X
TLSZJOI,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X
TLSZOIJ,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X
TLSZOJI,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X
TLSOIJZ,X,X,O,X,O,O,O,O,X,X,X,X,O,X,X
TLSOIZJ,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X
TLSOJIZ,X,X,O,X,O,O,O,O,X,X,X,X,O,X,X
TLSOJZI,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X
TLSOZIJ,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X
TLSOZJI,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X
TLZIJSO,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X
TLZIJOS,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X
TLZISJO,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X
TLZISOJ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TLZIOJS,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X
TLZIOSJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLZJISO,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X
TLZJIOS,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X
TLZJSIO,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TLZJSOI,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TLZJOIS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLZJOSI,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZSIJO,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X
TLZSIOJ,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X
TLZSJIO,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X
TLZSJOI,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X
TLZSOIJ,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X
TLZSOJI,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X
TLZOIJS,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X
TLZOISJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLZOJIS,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLZOJSI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLZOSIJ,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X
TLZOSJI,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X
TLOIJSZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TLOIJZS,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TLOISJZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TLOISZJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLOIZJS,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TLOIZSJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLOJISZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TLOJIZS,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TLOJSIZ,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X
TLOJSZI,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X
TLOJZIS,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X
TLOJZSI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLOSIJZ,X,X,X,X,O,O,O,O,X,X,X,X,O,X,X
TLOSIZJ,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X
TLOSJIZ,X,X,X,X,O,O,O,O,X,X,X,X,O,X,X
TLOSJZI,O,X,X,X,O,O,O,O,X,X,X,X,O,X,X
TLOSZIJ,O,X,X,X,O,O,O,O,X,X,X,X,O,X,X
TLOSZJI,X,X,X,X,O,O,O,O,X,X,X,X,O,X,X
TLOZIJS,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X
TLOZISJ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TLOZJIS,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X
TLOZJSI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLOZSIJ,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X
TLOZSJI,X,X,X,X,O,O,O,O,X,X,X,X,O,X,X
TJILSZO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJILSOZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJILZSO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O
TJILZOS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJILOSZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJILOZS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJISLZO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TJISLOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJISZLO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
TJISZOL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TJISOLZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJISOZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZLSO,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O
TJIZLOS,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TJIZSLO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
TJIZSOL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TJIZOLS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJIZOSL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TJIOLSZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJIOLZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJIOSLZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJIOSZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOZLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOZSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TJLISZO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLISOZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLIZSO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLIZOS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLIOSZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLIOZS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLSIZO,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TJLSIOZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLSZIO,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TJLSZOI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLSOZI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TJLZISO,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TJLZIOS,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TJLZSIO,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TJLZSOI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TJLZOIS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLZOSI,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLOISZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLOIZS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLOSIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLOSZI,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLOZIS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLOZSI,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSILZO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TJSILOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSIZLO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TJSIZOL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJSIOLZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSIOZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSLIZO,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TJSLIOZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TJSLZIO,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TJSLZOI,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TJSLOIZ,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TJSLOZI,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TJSZILO,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TJSZIOL,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TJSZLIO,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TJSZLOI,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TJSZOIL,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TJSZOLI,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TJSOILZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TJSOIZL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJSOLIZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TJSOLZI,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TJSOZIL,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TJSOZLI,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TJZILSO,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TJZILOS,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TJZISLO,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TJZISOL,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TJZIOLS,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TJZIOSL,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TJZLISO,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TJZLIOS,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TJZLSIO,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TJZLSOI,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TJZLOIS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJZLOSI,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJZSILO,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TJZSIOL,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TJZSLIO,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
