sequence,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhFuiBcjB?lgBanBXmBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je37IvhFRdBSjB?lhBzlBmnB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhF3dBcjB?6lBOmBFnBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhFSiBTeB?lgBXmBmnB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Jex9IvhFlgBcmB?OnBXjBCmBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhFGeBlgB?UiBXmBysBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je37IvhFRdBcjB?lhBzlB2sBqsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeZCJvhFWjBlgB?cmBXjBCmBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR9IvhFSjBlgB?3hBmnBzlB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je37IvhF1hBxdB?SnBOoBzlB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JelAJvhFcmBxiB?OnBXjBCmBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je+BJvhFlgBxiB?inBzlBXoB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhFlgBXmB?inBcoBGnBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeWCJvhFcjBlgB?xmBzlB/sBatB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeSCJvhFlgBOoB?xmBzlBUnBXtB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeG8IvhFZiBCeB?VmBXjB0lBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeF8IvhFxdBSmB?OnBXjB0lBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeSDJvhFlgBxmB?8sBfnBzlBmsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je1AJvhF6hBZiB?cjBzlBftBusB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JecDJvhFlgBxmB?fnBqsBzqBmsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je37IvhF0hB5nB?OoBzlBanBFtB
JLOZTIS,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JLOZTSI,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JLOZITS,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O
JLOZIST,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JLOZSTI,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JLOZSIT,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JSTILZO,O,O,X,X,X,O,X,X,X,X,X,O,O,X,O,O,O,X,X,X,X
JSTILOZ,O,O,X,O,X,O,X,X,X,X,X,O,O,X,O,O,O,X,X,X,X
JSTIZLO,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSTIZOL,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSTIOLZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSTIOZL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLIZO,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
JSTLIOZ,O,O,X,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
JSTLZIO,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X
JSTLZOI,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
JSTLOIZ,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
JSTLOZI,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSTZILO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JSTZIOL,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSTZLIO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JSTZLOI,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSTZOIL,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSTZOLI,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSTOILZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSTOIZL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTOLIZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSTOLZI,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTOZIL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTOZLI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITLZO,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
JSITLOZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
JSITZLO,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSITZOL,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSITOLZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSITOZL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILTZO,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X
JSILTOZ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X
JSILZTO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSILZOT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSILOTZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSILOZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSIZTLO,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZTOL,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZLTO,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSIZLOT,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSIZOTL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSIZOLT,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOTLZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JSIOTZL,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
JSIOLTZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSIOLZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JSIOZTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
JSIOZLT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSLTIZO,O,O,X,X,X,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X
JSLTIOZ,O,O,X,O,X,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X
JSLTZIO,O,O,X,X,X,O,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X
JSLTZOI,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
JSLTOIZ,O,X,X,O,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X
JSLTOZI,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLITZO,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X
JSLITOZ,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X
JSLIZTO,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLIZOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLIOTZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSLIOZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLZTIO,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLZTOI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLZITO,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLZIOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLZOTI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLZOIT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLOTIZ,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSLOTZI,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLOITZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSLOIZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLOZTI,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSLOZIT,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSZTILO,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZTIOL,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZTLIO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZTLOI,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZTOIL,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZTOLI,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZITLO,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZITOL,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZILTO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JSZILOT,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JSZIOTL,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JSZIOLT,X,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZLTIO,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JSZLTOI,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JSZLITO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JSZLIOT,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JSZLOTI,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JSZLOIT,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JSZOTIL,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JSZOTLI,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JSZOITL,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JSZOILT,X,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZOLTI,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZOLIT,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOTILZ,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JSOTIZL,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
JSOTLIZ,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JSOTLZI,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JSOTZIL,O,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O
JSOTZLI,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JSOITLZ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JSOITZL,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
JSOILTZ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSOILZT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JSOIZTL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
JSOIZLT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSOLTIZ,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSOLTZI,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOLITZ,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSOLIZT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JSOLZTI,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSOLZIT,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JSOZTIL,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O
JSOZTLI,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JSOZITL,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
JSOZILT,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSOZLTI,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOZLIT,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZTILSO,O,O,O,O,X,X,X,O,O,O,O,O,X,O,O,X,X,O,X,O,X
JZTILOS,O,O,X,O,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
JZTISLO,O,O,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X,O,X,O,X
JZTISOL,X,O,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X
JZTIOLS,O,O,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X
JZTIOSL,X,O,O,O,X,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
JZTLISO,O,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X
JZTLIOS,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZTLSIO,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTLSOI,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTLOIS,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTLOSI,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTSILO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTSIOL,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTSLIO,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTSLOI,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTSOIL,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTSOLI,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTOILS,O,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JZTOISL,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JZTOLIS,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTOLSI,O,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTOSIL,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTOSLI,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZITLSO,O,O,O,O,X,X,X,O,O,O,O,O,X,O,O,X,X,O,X,O,X
JZITLOS,O,O,X,O,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
JZITSLO,O,O,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X,O,X,O,X
JZITSOL,X,O,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X
JZITOLS,O,O,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X
JZITOSL,X,O,O,O,X,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
JZILTSO,O,O,X,O,X,X,X,O,O,O,X,X,X,O,O,X,O,O,X,X,X
JZILTOS,O,O,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
JZILSTO,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZILSOT,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZILOTS,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZILOST,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZISTLO,O,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZISTOL,O,O,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZISLTO,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZISLOT,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZISOTL,X,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZISOLT,X,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZIOTLS,X,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O
JZIOTSL,X,O,O,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O
JZIOLTS,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
JZIOLST,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JZIOSTL,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
JZIOSLT,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JZLTISO,O,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,O,O,X,X,X
JZLTIOS,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZLTSIO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZLTSOI,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLTOIS,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLTOSI,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLITSO,O,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,O,O,X,X,X
JZLITOS,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZLISTO,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLISOT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLIOTS,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLIOST,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLSTIO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZLSTOI,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZLSITO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZLSIOT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZLSOTI,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZLSOIT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZLOTIS,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLOTSI,O,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLOITS,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLOIST,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLOSTI,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLOSIT,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSTILO,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSTIOL,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSTLIO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSTLOI,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSTOIL,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSTOLI,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSITLO,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSITOL,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSILTO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZSILOT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZSIOTL,X,X,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JZSIOLT,X,X,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSLTIO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZSLTOI,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZSLITO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZSLIOT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZSLOTI,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZSLOIT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZSOTIL,O,O,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JZSOTLI,O,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JZSOITL,X,O,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JZSOILT,X,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSOLTI,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSOLIT,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZOTILS,O,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O
JZOTISL,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O
JZOTLIS,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOTLSI,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JZOTSIL,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O
JZOTSLI,X,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JZOITLS,X,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O
JZOITSL,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O
JZOILTS,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
JZOILST,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JZOISTL,X,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
JZOISLT,X,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JZOLTIS,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOLTSI,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZOLITS,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
JZOLIST,O,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JZOLSTI,O,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZOLSIT,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JZOSTIL,O,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O
JZOSTLI,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JZOSITL,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O
JZOSILT,X,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JZOSLTI,O,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZOSLIT,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JOTILSZ,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,O,O,X,O,X,X
JOTILZS,O,X,O,X,X,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X
JOTISLZ,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X
JOTISZL,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O
JOTIZLS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JOTIZSL,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O
JOTLISZ,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,O,X,X
JOTLIZS,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JOTLSIZ,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X
JOTLSZI,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X
