sequence,v115@zgB8HeC8GeD8FeD8FeH8AeA8Je07IvhFlcB3dB5jBy?nBTmBmsB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jex7IvhFXdBTeBUhBW?oByrBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Je07IvhFxcBFiB6oBX?jBTmBmsB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jel7IvhFUdBajB5jBO?mBzmBftB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Je07IvhFajB5jBFiBT?mBftBmrB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jex7IvhFXdB6jBziBm?mBUmBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jex7IvhF8hBzdB+jBa?mBXnBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jex7IvhF8hBWjBamBT?jBXnBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Je07IvhFxdBCiBTjBO?mBXnBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jex7IvhFUhBFiBTjBf?tBywBGtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8JeC9IvhFUhBxiBTjBX?nBmlBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8JeaDJvhF5jBUhBFiBf?tBmqBzrB
TISJZOL,X,O,X,O,X,O,O,X,X,X,X,X
TISJOLZ,X,O,X,O,X,O,O,X,X,X,X,X
TISJOZL,X,O,X,O,X,O,O,X,X,X,X,X
TISZLJO,X,O,X,O,O,X,O,O,X,X,O,O
TISZLOJ,X,X,X,O,O,X,O,O,O,O,O,O
TISZJLO,X,O,X,O,O,X,O,O,X,X,O,O
TISZJOL,X,O,X,O,X,X,O,X,X,O,X,X
TISZOLJ,X,X,X,O,O,X,X,X,O,O,O,O
TISZOJL,X,O,X,O,O,X,O,X,O,O,X,X
TISOLJZ,X,X,X,O,O,O,X,X,O,X,X,X
TISOLZJ,X,X,X,O,O,O,X,X,O,X,X,O
TISOJLZ,X,X,X,O,O,O,X,X,O,X,X,X
TISOJZL,X,X,X,O,O,O,X,X,O,X,X,X
TISOZLJ,X,X,X,O,O,O,X,X,O,O,O,O
TISOZJL,X,X,X,O,O,X,X,X,O,O,X,X
TIZLJSO,O,O,X,X,X,O,X,X,X,X,X,X
TIZLJOS,O,O,X,X,X,X,X,X,X,X,X,X
TIZLSJO,X,O,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,X,O,X,X,X,X,X,X,X,O,X,X
TIZLOJS,O,O,X,X,X,O,X,X,X,X,X,X
TIZLOSJ,X,O,X,X,X,O,X,X,X,X,X,X
TIZJLSO,O,O,X,X,X,O,X,X,X,X,X,X
TIZJLOS,O,O,X,X,X,X,X,X,X,X,X,X
TIZJSLO,O,O,X,O,X,O,X,X,X,X,X,X
TIZJSOL,X,O,X,O,X,O,X,X,X,O,X,X
TIZJOLS,O,O,X,X,X,O,X,X,X,X,X,X
TIZJOSL,O,O,X,O,X,O,X,X,X,X,X,X
TIZSLJO,X,O,X,O,O,X,X,X,X,X,O,O
TIZSLOJ,X,O,X,O,O,X,X,X,O,O,O,O
TIZSJLO,O,O,X,O,O,X,X,X,X,X,O,O
TIZSJOL,X,O,X,O,X,X,X,X,X,O,X,X
TIZSOLJ,X,X,X,O,O,X,X,X,O,O,O,O
TIZSOJL,O,O,X,O,O,X,X,X,O,O,X,X
TIZOLJS,O,X,X,X,X,O,X,X,X,X,X,X
TIZOLSJ,X,X,X,X,X,O,X,X,O,X,X,X
TIZOJLS,O,O,X,X,X,O,X,X,X,X,X,X
TIZOJSL,O,O,X,X,X,O,X,X,O,X,X,X
TIZOSLJ,X,X,X,O,O,O,X,X,O,O,X,X
TIZOSJL,O,O,X,O,O,X,X,X,O,O,X,X
TIOLJSZ,O,O,X,X,X,O,X,X,X,X,X,X
TIOLJZS,O,O,X,X,X,O,X,X,X,X,X,X
TIOLSJZ,X,O,X,O,X,O,X,X,O,X,X,X
TIOLSZJ,X,X,X,O,X,O,X,X,O,X,X,X
TIOLZJS,O,X,X,X,X,O,X,X,X,X,X,X
TIOLZSJ,X,X,X,X,X,O,X,X,O,X,X,X
TIOJLSZ,O,O,X,O,X,O,X,X,X,X,X,X
TIOJLZS,O,O,X,X,X,O,X,X,X,X,X,X
TIOJSLZ,O,O,X,O,X,O,X,X,O,X,X,X
TIOJSZL,O,O,X,O,X,O,X,X,O,X,X,X
TIOJZLS,O,O,X,X,X,O,X,X,X,X,X,X
TIOJZSL,O,O,X,O,X,O,X,X,O,X,X,X
TIOSLJZ,X,X,X,O,O,O,X,X,O,X,X,X
TIOSLZJ,X,X,X,O,O,O,X,X,O,X,X,X
TIOSJLZ,O,X,X,O,O,O,X,X,O,X,X,X
TIOSJZL,O,X,X,O,O,O,X,X,O,X,X,X
TIOSZLJ,X,X,X,O,O,O,X,X,O,X,X,X
TIOSZJL,O,X,X,O,O,X,X,X,O,X,X,X
TIOZLJS,O,X,X,X,X,O,X,X,X,X,X,X
TIOZLSJ,X,X,X,X,X,O,X,X,O,X,X,X
TIOZJLS,O,O,X,X,X,O,X,X,X,X,X,X
TIOZJSL,O,O,X,X,X,O,X,X,O,X,X,X
TIOZSLJ,X,X,X,O,O,O,X,X,O,X,X,X
TIOZSJL,O,O,X,O,O,X,X,X,O,X,X,X
TLIJSZO,X,O,X,O,X,O,O,X,X,X,X,X
TLIJSOZ,X,O,X,O,X,O,O,X,X,X,X,X
TLIJZSO,X,O,X,X,X,O,X,X,X,X,X,X
TLIJZOS,X,O,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,X,O,X,O,X,O,O,X,X,X,X,X
TLIJOZS,X,O,X,X,X,O,X,X,X,X,X,X
TLISJZO,X,O,X,O,X,O,O,O,X,X,X,X
TLISJOZ,X,O,X,O,X,O,O,X,X,X,X,X
TLISZJO,X,O,X,O,X,X,O,O,X,X,X,X
TLISZOJ,X,O,X,O,X,X,O,O,X,X,X,X
TLISOJZ,X,O,X,O,X,O,X,X,X,X,X,X
TLISOZJ,X,X,X,O,X,O,X,X,X,X,X,X
TLIZJSO,X,O,X,X,X,O,X,X,X,X,X,X
TLIZJOS,X,O,X,X,X,X,X,X,X,X,X,X
TLIZSJO,X,O,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,O,X,X,X,X,X,X,X,X,X,X
TLIZOJS,X,O,X,X,X,O,X,X,X,X,X,X
TLIZOSJ,X,O,X,X,X,O,X,X,X,X,X,X
TLIOJSZ,X,O,X,X,X,O,X,X,X,X,X,X
TLIOJZS,X,O,X,X,X,O,X,X,X,X,X,X
TLIOSJZ,X,O,X,O,X,O,X,X,X,X,X,X
TLIOSZJ,X,X,X,O,X,O,X,X,X,X,X,X
TLIOZJS,X,X,X,X,X,O,X,X,X,X,X,X
TLIOZSJ,X,X,X,X,X,O,X,X,X,X,X,X
TLJISZO,X,O,O,O,X,O,O,X,X,X,X,X
TLJISOZ,X,O,X,O,X,O,O,X,X,X,X,X
TLJIZSO,X,O,O,X,X,O,X,X,X,X,X,X
TLJIZOS,X,O,O,X,X,X,X,X,X,X,X,X
TLJIOSZ,X,O,X,O,X,O,O,X,X,X,X,X
TLJIOZS,X,O,O,X,X,O,X,X,X,X,X,X
TLJSIZO,X,O,O,O,X,O,O,O,X,X,X,X
TLJSIOZ,X,O,X,O,X,O,O,X,X,X,X,X
TLJSZIO,X,O,O,O,X,O,O,O,X,X,X,X
TLJSZOI,X,O,O,O,X,X,O,O,X,X,X,X
TLJSOIZ,X,O,X,O,X,O,O,X,X,X,X,X
TLJSOZI,X,O,X,O,X,O,O,O,X,X,X,X
TLJZISO,X,O,O,X,X,O,X,X,X,X,X,X
TLJZIOS,X,O,O,X,X,X,X,X,X,X,X,X
TLJZSIO,X,O,O,O,X,O,O,X,X,X,X,X
TLJZSOI,X,O,O,O,X,X,O,X,X,X,X,X
TLJZOIS,X,O,O,X,X,X,X,X,X,X,X,X
TLJZOSI,X,O,O,O,X,X,O,X,X,X,X,X
TLJOISZ,X,O,O,O,X,O,O,X,X,X,X,X
TLJOIZS,X,O,O,X,X,O,X,X,X,X,X,X
TLJOSIZ,X,O,O,O,X,O,O,X,X,X,X,X
TLJOSZI,X,O,O,O,X,O,O,X,X,X,X,X
TLJOZIS,X,O,O,X,X,O,X,X,X,X,X,X
TLJOZSI,X,O,O,O,X,O,O,X,X,X,X,X
TLSIJZO,X,O,X,O,X,O,O,O,X,X,X,X
TLSIJOZ,X,O,X,O,X,O,O,X,X,X,X,X
TLSIZJO,X,O,X,O,X,X,O,O,X,X,O,X
TLSIZOJ,X,O,X,O,X,X,O,O,O,X,O,X
TLSIOJZ,X,O,X,O,X,O,X,X,O,X,X,X
TLSIOZJ,X,X,X,O,X,O,X,X,O,X,X,X
TLSJIZO,X,O,X,O,X,O,O,O,X,X,X,X
TLSJIOZ,X,O,X,O,X,O,O,X,X,X,X,X
TLSJZIO,X,O,X,O,X,O,O,O,X,X,X,X
TLSJZOI,X,O,X,O,X,X,O,O,O,X,X,X
TLSJOIZ,X,O,X,O,X,O,O,X,O,X,X,X
TLSJOZI,X,O,X,O,X,X,O,O,O,X,X,X
TLSZIJO,X,O,X,O,X,X,O,O,X,X,O,X
TLSZIOJ,X,O,X,O,X,X,O,O,O,X,O,X
TLSZJIO,X,O,X,O,X,X,O,O,X,X,O,X
TLSZJOI,X,O,X,O,X,X,O,O,O,X,X,X
TLSZOIJ,X,O,X,O,X,X,O,O,O,X,O,X
TLSZOJI,X,O,X,O,X,X,O,O,O,X,X,X
TLSOIJZ,X,O,X,O,X,O,X,X,O,X,X,X
TLSOIZJ,X,X,X,O,X,O,X,X,O,X,X,X
TLSOJIZ,X,O,X,O,X,O,O,X,O,X,X,X
TLSOJZI,X,O,X,O,X,O,O,O,O,X,X,X
TLSOZIJ,X,O,X,O,X,O,O,O,O,X,X,X
TLSOZJI,X,O,X,O,X,O,O,O,O,X,X,X
TLZIJSO,X,O,X,X,X,O,X,X,X,X,X,X
TLZIJOS,X,O,X,X,X,X,X,X,X,X,X,X
TLZISJO,X,O,X,X,X,X,X,X,X,X,X,X
TLZISOJ,X,O,X,X,X,X,X,X,X,X,X,X
TLZIOJS,X,O,X,X,X,O,X,X,X,X,X,X
TLZIOSJ,X,O,X,X,X,O,X,X,X,X,X,X
TLZJISO,X,O,O,X,X,O,X,X,X,X,X,X
TLZJIOS,X,O,O,X,X,X,X,X,X,X,X,X
TLZJSIO,X,O,O,X,X,O,O,X,X,X,X,X
TLZJSOI,X,O,O,X,X,X,O,X,X,X,X,X
TLZJOIS,X,O,O,X,X,X,X,X,X,X,X,X
TLZJOSI,X,O,O,X,X,X,O,X,X,X,X,X
TLZSIJO,X,O,X,X,X,X,O,O,X,X,O,X
TLZSIOJ,X,O,X,X,X,X,O,O,O,X,O,X
TLZSJIO,X,O,X,X,X,X,O,O,X,X,O,X
TLZSJOI,X,O,X,X,X,X,O,O,O,X,X,X
TLZSOIJ,X,O,X,X,X,X,O,O,O,X,O,X
TLZSOJI,X,O,X,X,X,X,O,O,O,X,X,X
TLZOIJS,X,O,O,X,X,O,X,X,X,X,X,X
TLZOISJ,X,O,O,X,X,O,X,X,O,X,X,X
TLZOJIS,X,O,O,X,X,O,X,X,X,X,X,X
TLZOJSI,X,O,O,X,X,O,X,X,X,X,X,X
TLZOSIJ,X,O,O,X,X,O,X,X,O,X,X,X
TLZOSJI,X,O,O,X,X,O,X,X,O,X,X,X
TLOIJSZ,X,O,X,X,X,O,X,X,X,X,X,X
TLOIJZS,X,O,O,X,X,O,X,X,X,X,X,X
TLOISJZ,X,O,X,O,X,O,X,X,O,X,X,X
TLOISZJ,X,X,O,O,X,O,X,X,O,X,X,X
TLOIZJS,X,X,O,X,X,O,X,X,X,X,X,X
TLOIZSJ,X,X,O,X,X,O,X,X,O,X,X,X
TLOJISZ,X,O,O,X,X,O,O,X,X,X,X,X
TLOJIZS,X,O,O,X,X,O,X,X,X,X,X,X
TLOJSIZ,X,O,O,X,X,O,O,X,X,X,X,X
TLOJSZI,X,O,O,X,X,O,O,X,X,X,X,X
TLOJZIS,X,O,O,X,X,O,X,X,X,X,X,X
TLOJZSI,X,O,O,X,X,O,O,X,X,X,X,X
TLOSIJZ,X,O,X,O,X,O,X,X,O,X,X,X
TLOSIZJ,X,X,O,O,X,O,X,X,O,X,X,X
TLOSJIZ,X,O,X,O,X,O,O,X,O,X,X,X
TLOSJZI,X,O,X,O,X,O,O,O,O,X,X,X
TLOSZIJ,X,O,O,O,X,O,O,O,O,X,X,X
TLOSZJI,X,O,O,O,X,O,O,O,O,X,X,X
TLOZIJS,X,O,O,X,X,O,X,X,X,X,X,X
TLOZISJ,X,O,O,X,X,O,X,X,O,X,X,X
TLOZJIS,X,O,O,X,X,O,X,X,X,X,X,X
TLOZJSI,X,O,O,X,X,O,X,X,X,X,X,X
TLOZSIJ,X,O,O,O,X,O,X,X,O,X,X,X
TLOZSJI,X,O,O,O,X,O,X,X,O,X,X,X
TJILSZO,O,O,O,O,X,O,O,X,X,X,X,X
TJILSOZ,O,O,X,O,X,O,O,X,X,X,X,X
TJILZSO,O,O,O,X,X,O,X,X,X,X,X,X
TJILZOS,O,O,O,X,X,X,X,X,X,X,X,X
TJILOSZ,O,O,X,O,X,O,O,X,X,X,X,X
TJILOZS,O,O,O,X,X,O,X,X,X,X,X,X
TJISLZO,X,O,O,O,X,O,O,X,X,X,X,X
TJISLOZ,X,O,X,O,X,O,O,X,X,X,X,X
TJISZLO,X,O,O,O,X,O,O,X,X,X,X,X
TJISZOL,X,O,X,O,X,O,O,X,X,X,X,X
TJISOLZ,X,O,X,O,X,O,O,X,X,X,X,X
TJISOZL,X,O,X,O,X,O,O,X,X,X,X,X
TJIZLSO,O,O,O,X,X,O,X,X,X,X,X,X
TJIZLOS,O,O,O,X,X,X,X,X,X,X,X,X
TJIZSLO,O,O,O,O,X,O,X,X,X,X,X,X
TJIZSOL,X,O,X,O,X,O,X,X,X,X,X,X
TJIZOLS,O,O,O,X,X,O,X,X,X,X,X,X
TJIZOSL,X,O,X,O,X,O,X,X,X,X,X,X
TJIOLSZ,O,O,X,O,X,O,O,X,X,X,X,X
TJIOLZS,O,O,O,X,X,O,X,X,X,X,X,X
TJIOSLZ,O,O,X,O,X,O,O,X,X,X,X,X
TJIOSZL,O,O,X,O,X,O,O,X,X,X,X,X
TJIOZLS,O,O,O,X,X,O,X,X,X,X,X,X
TJIOZSL,O,O,X,O,X,O,X,X,X,X,X,X
TJLISZO,O,O,O,O,X,O,O,X,X,X,X,X
TJLISOZ,O,O,X,O,X,O,O,X,X,X,X,X
TJLIZSO,O,O,O,X,X,O,X,X,X,X,X,X
TJLIZOS,O,O,O,X,X,X,X,X,X,X,X,X
TJLIOSZ,O,O,X,O,X,O,O,X,X,X,X,X
TJLIOZS,O,O,O,X,X,O,X,X,X,X,X,X
TJLSIZO,O,O,O,O,X,O,O,O,X,X,X,X
TJLSIOZ,O,O,X,O,X,O,O,X,X,X,X,X
TJLSZIO,O,O,O,O,X,O,O,O,X,X,X,X
TJLSZOI,O,O,O,O,X,X,O,O,X,X,X,X
TJLSOIZ,O,O,X,O,X,O,O,X,X,X,X,X
TJLSOZI,O,O,X,O,X,O,O,O,X,X,X,X
TJLZISO,O,O,O,X,X,O,X,X,X,X,X,X
TJLZIOS,O,O,O,X,X,X,X,X,X,X,X,X
TJLZSIO,O,O,O,O,X,O,O,X,X,X,X,X
TJLZSOI,O,O,O,O,X,X,O,X,X,X,X,X
TJLZOIS,O,O,O,X,X,X,X,X,X,X,X,X
TJLZOSI,O,O,O,O,X,X,O,X,X,X,X,X
TJLOISZ,O,O,O,O,X,O,O,X,X,X,X,X
TJLOIZS,O,O,O,X,X,O,X,X,X,X,X,X
TJLOSIZ,O,O,O,O,X,O,O,X,X,X,X,X
TJLOSZI,O,O,O,O,X,O,O,X,X,X,X,X
TJLOZIS,O,O,O,X,X,O,X,X,X,X,X,X
TJLOZSI,O,O,O,O,X,O,O,X,X,X,X,X
TJSILZO,X,O,O,O,X,O,O,O,X,X,X,X
TJSILOZ,X,O,X,O,X,O,O,X,X,X,X,X
TJSIZLO,X,O,O,O,X,O,O,O,X,X,O,X
TJSIZOL,X,O,X,O,X,O,O,X,X,X,X,X
TJSIOLZ,X,O,X,O,X,O,O,X,X,X,X,X
TJSIOZL,X,O,X,O,X,O,O,X,X,X,X,X
TJSLIZO,X,O,O,O,X,O,O,O,X,X,X,X
TJSLIOZ,X,O,X,O,X,O,O,X,X,X,X,X
TJSLZIO,X,O,O,O,X,O,O,O,X,X,X,X
TJSLZOI,X,O,O,O,X,X,O,O,O,X,X,X
TJSLOIZ,X,O,X,O,X,O,O,X,O,X,X,X
TJSLOZI,X,O,X,O,X,O,O,O,O,X,X,X
TJSZILO,X,O,O,O,X,O,O,O,X,X,O,X
TJSZIOL,X,O,X,O,X,O,O,X,X,X,X,X
TJSZLIO,X,O,O,O,X,O,O,O,X,X,O,X
TJSZLOI,X,O,O,O,X,X,O,O,O,X,X,X
TJSZOIL,X,O,X,O,X,O,O,X,O,X,X,X
TJSZOLI,X,O,X,O,X,O,O,O,O,X,X,X
TJSOILZ,X,O,X,O,X,O,O,X,O,X,X,X
TJSOIZL,X,O,X,O,X,O,O,X,O,X,X,X
TJSOLIZ,X,O,X,O,X,O,O,X,O,X,X,X
TJSOLZI,X,O,X,O,X,O,O,O,O,X,X,X
TJSOZIL,X,O,X,O,X,O,O,X,O,X,X,X
TJSOZLI,X,O,X,O,X,O,O,O,O,X,X,X
TJZILSO,O,O,O,X,X,O,X,X,X,X,X,X
TJZILOS,O,O,O,X,X,X,X,X,X,X,X,X
TJZISLO,O,O,O,O,X,O,X,X,X,X,X,X
TJZISOL,X,O,X,O,X,O,X,X,X,X,X,X
TJZIOLS,O,O,O,X,X,O,X,X,X,X,X,X
TJZIOSL,X,O,X,O,X,O,X,X,X,X,X,X
TJZLISO,O,O,O,X,X,O,X,X,X,X,X,X
TJZLIOS,O,O,O,X,X,X,X,X,X,X,X,X
TJZLSIO,O,O,O,O,X,O,O,X,X,X,X,X
TJZLSOI,O,O,O,O,X,X,O,X,X,X,X,X
TJZLOIS,O,O,O,X,X,X,X,X,X,X,X,X
TJZLOSI,O,O,O,O,X,X,O,X,X,X,X,X
TJZSILO,O,O,O,O,X,O,O,X,X,X,O,X
TJZSIOL,X,O,X,O,X,O,O,X,X,X,X,X
TJZSLIO,O,O,O,O,X,O,O,X,X,X,O,X
TJZSLOI,O,O,O,O,X,X,O,X,O,X,X,X
TJZSOIL,X,O,X,O,X,O,O,X,O,X,X,X
TJZSOLI,X,O,X,O,X,O,O,X,O,X,X,X
TJZOILS,O,O,O,X,X,O,X,X,X,X,X,X
TJZOISL,X,O,X,O,X,O,X,X,O,X,X,X
TJZOLIS,O,O,O,X,X,O,X,X,X,X,X,X
TJZOLSI,O,O,O,O,X,O,O,X,X,X,X,X
TJZOSIL,X,O,X,O,X,O,O,X,O,X,X,X
TJZOSLI,X,O,X,O,X,O,O,X,O,X,X,X
TJOILSZ,O,O,O,O,X,O,O,X,X,X,X,X
TJOILZS,O,O,O,X,X,O,X,X,X,X,X,X
TJOISLZ,O,O,O,O,X,O,O,X,O,X,X,X
TJOISZL,O,O,O,O,X,O,O,X,O,X,X,X
TJOIZLS,O,O,O,X,X,O,X,X,X,X,X,X
TJOIZSL,O,O,O,O,X,O,X,X,O,X,X,X
TJOLISZ,O,O,O,O,X,O,O,X,X,X,X,X
TJOLIZS,O,O,O,X,X,O,X,X,X,X,X,X
TJOLSIZ,O,O,O,O,X,O,O,X,X,X,X,X
TJOLSZI,O,O,O,O,X,O,O,X,X,X,X,X
TJOLZIS,O,O,O,X,X,O,X,X,X,X,X,X
TJOLZSI,O,O,O,O,X,O,O,X,X,X,X,X
TJOSILZ,O,O,O,O,X,O,O,X,O,X,X,X
TJOSIZL,O,O,O,O,X,O,O,X,O,X,X,X
TJOSLIZ,O,O,O,O,X,O,O,X,O,X,X,X
TJOSLZI,O,O,O,O,X,O,O,X,O,X,X,X
TJOSZIL,O,O,O,O,X,O,O,X,O,X,X,X
TJOSZLI,O,O,O,O,X,O,O,X,O,X,X,X
TJOZILS,O,O,O,X,X,O,X,X,X,X,X,X
TJOZISL,O,O,O,O,X,O,X,X,O,X,X,X
TJOZLIS,O,O,O,X,X,O,X,X,X,X,X,X
TJOZLSI,O,O,O,O,X,O,O,X,X,X,X,X
TJOZSIL,O,O,O,O,X,O,O,X,O,X,X,X
TJOZSLI,O,O,O,O,X,O,O,X,O,X,X,X
TSILJZO,X,O,X,O,O,O,O,O,X,X,X,O
TSILJOZ,X,O,X,O,X,O,O,X,X,X,X,X
TSILZJO,X,O,X,O,O,X,O,O,X,X,O,O
TSILZOJ,X,X,X,O,O,X,O,O,O,X,O,O
TSILOJZ,X,O,X,O,O,O,X,X,O,X,X,X
TSILOZJ,X,X,X,O,O,O,X,X,O,X,X,O
TSIJLZO,X,O,X,O,O,O,O,O,X,X,X,O
TSIJLOZ,X,O,X,O,X,O,O,X,X,X,X,X
TSIJZLO,X,X,X,O,O,O,O,O,X,X,O,O
TSIJZOL,X,O,X,O,X,O,O,X,X,X,X,X
TSIJOLZ,X,O,X,O,X,O,O,X,X,X,X,X
TSIJOZL,X,O,X,O,X,O,O,X,X,X,X,X
TSIZLJO,X,O,X,O,O,X,O,O,X,X,O,O
TSIZLOJ,X,X,X,O,O,X,O,O,O,O,O,O
TSIZJLO,X,O,X,O,O,X,O,O,X,X,O,O
TSIZJOL,X,O,X,O,X,X,O,X,X,O,X,X
TSIZOLJ,X,X,X,O,O,X,X,X,O,O,O,O
TSIZOJL,X,O,X,O,O,X,O,X,O,O,X,X
TSIOLJZ,X,X,X,O,O,O,X,X,O,X,X,X
TSIOLZJ,X,X,X,O,O,O,X,X,O,X,X,O
TSIOJLZ,X,X,X,O,O,O,X,X,O,X,X,X
TSIOJZL,X,X,X,O,O,O,X,X,O,X,X,X
TSIOZLJ,X,X,X,O,O,O,X,X,O,O,O,O
TSIOZJL,X,X,X,O,O,X,X,X,O,O,X,X
TSLIJZO,X,O,X,O,O,O,O,O,X,X,X,O
TSLIJOZ,X,O,X,O,X,O,O,X,X,X,X,X
TSLIZJO,X,O,X,O,O,X,O,O,X,X,O,O
TSLIZOJ,X,O,X,O,O,X,O,O,O,X,O,O
TSLIOJZ,X,O,X,O,O,O,X,X,O,X,X,X
TSLIOZJ,X,X,X,O,O,O,X,X,O,X,X,O
TSLJIZO,X,O,X,O,O,O,O,O,X,X,X,O
TSLJIOZ,X,O,X,O,X,O,O,X,X,X,X,X
TSLJZIO,X,O,X,O,O,O,O,O,X,X,X,O
TSLJZOI,X,O,X,O,X,X,O,O,O,X,X,X
TSLJOIZ,X,O,X,O,X,O,O,X,O,X,X,X
