sequence,v115@5gD8HeB8HeD8EeF8AeF8Je06IvhFxbB2kBzgBCiBXn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8Jex6IvhF0cBTfBlgBSnB/q?B2wB,v115@5gD8HeB8HeD8EeF8AeF8Jex6IvhFXcBifBGiBFlB8q?BzrB,v115@5gD8HeB8HeD8EeF8AeF8Je06IvhF6gBTcB2kBxmBXn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8JeK/IvhFfgBxbBzgBumBcn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8Je06IvhF6gB2kBxhBThBXn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8JeT6IvhFibBWiBUhBxkBXn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8JeO/IvhFXbBRhBcnBThBFl?BCrB,v115@5gD8HeB8HeD8EeF8AeF8JeK/IvhFGbBTcBUgBxmBXn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8JeT6IvhFxbBlgB3hBcnBmk?BCrB,v115@5gD8HeB8HeD8EeF8AeF8JeK/IvhFfgBxbBWmBTiB0m?BlqB,v115@5gD8HeB8HeD8EeF8AeF8Jex6IvhFWiBTfBKlBFmBXn?B8qB,v115@5gD8HeB8HeD8EeF8AeF8Je37IvhF1hBTfBcnBmfBxq?BCrB,v115@5gD8HeB8HeD8EeF8AeF8Jex6IvhFTfB0gB/qBCsBOr?BFsB,v115@5gD8HeB8HeD8EeF8AeF8JeT6IvhFXcBxkB8qBCsBOq?BFsB,v115@5gD8HeB8HeD8EeF8AeF8Je36IvhFxgBTiB2kBChB0m?BlqB
TIOZLSJ,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
TIOZJLS,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TIOZJSL,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TIOZSLJ,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TIOZSJL,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TLIJSZO,X,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TLIJSOZ,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X
TLIJZSO,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
TLIJZOS,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TLIJOSZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLIJOZS,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TLISJZO,X,X,O,O,O,O,O,O,X,X,O,X,X,X,X,X
TLISJOZ,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X
TLISZJO,X,X,X,X,O,O,O,O,O,X,O,X,X,X,X,X
TLISZOJ,X,X,X,X,O,X,O,O,O,X,O,X,X,X,X,X
TLISOJZ,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
TLISOZJ,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X
TLIZJSO,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X
TLIZJOS,X,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X
TLIZSJO,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X
TLIZSOJ,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X
TLIZOJS,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X
TLIZOSJ,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X
TLIOJSZ,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
TLIOJZS,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TLIOSJZ,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
TLIOSZJ,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X
TLIOZJS,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
TLIOZSJ,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TLJISZO,X,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TLJISOZ,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X
TLJIZSO,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
TLJIZOS,X,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TLJIOSZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJIOZS,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TLJSIZO,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X
TLJSIOZ,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X
TLJSZIO,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X
TLJSZOI,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLJSOIZ,O,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X
TLJSOZI,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X
TLJZISO,O,X,O,O,X,O,X,O,O,O,X,X,X,X,X,X
TLJZIOS,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TLJZSIO,O,O,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TLJZSOI,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TLJZOIS,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TLJZOSI,X,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TLJOISZ,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
TLJOIZS,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJOSIZ,X,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X
TLJOSZI,X,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X
TLJOZIS,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TLJOZSI,X,O,O,X,X,O,X,O,X,O,O,X,X,X,X,X
TLSIJZO,O,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X
TLSIJOZ,O,X,X,O,O,O,O,X,X,O,O,O,X,X,X,X
TLSIZJO,O,O,X,X,O,O,O,O,O,X,O,X,X,X,X,X
TLSIZOJ,O,O,X,X,O,X,O,O,O,X,O,X,X,X,X,X
TLSIOJZ,O,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X
TLSIOZJ,O,O,X,X,O,X,O,X,O,X,O,O,X,X,X,X
TLSJIZO,O,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X
TLSJIOZ,O,O,X,O,O,O,O,X,X,O,O,O,X,X,X,X
TLSJZIO,O,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X
TLSJZOI,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
TLSJOIZ,O,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X
TLSJOZI,O,O,X,X,X,O,X,O,X,X,O,O,X,X,X,X
TLSZIJO,O,O,O,X,O,O,O,O,O,X,O,X,X,X,X,X
TLSZIOJ,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X
TLSZJIO,O,O,O,X,O,O,O,O,O,X,O,X,X,X,X,X
TLSZJOI,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
TLSZOIJ,O,O,O,X,O,X,O,O,X,X,O,O,X,O,X,X
TLSZOJI,O,O,X,X,O,X,O,O,X,X,O,O,X,O,X,X
TLSOIJZ,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X
TLSOIZJ,O,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X
TLSOJIZ,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X
TLSOJZI,O,O,O,X,X,O,X,O,X,X,O,O,X,X,X,X
TLSOZIJ,O,O,O,X,O,X,X,O,X,X,O,O,X,O,X,X
TLSOZJI,O,O,O,X,O,X,X,O,X,X,O,O,X,O,X,X
TLZIJSO,X,X,O,O,X,X,O,O,O,O,X,X,X,X,O,X
TLZIJOS,X,X,O,O,X,X,O,O,O,O,X,X,X,X,O,X
TLZISJO,X,X,O,X,O,X,O,O,O,O,X,X,X,X,O,X
TLZISOJ,X,X,O,X,O,X,O,O,O,O,X,X,X,X,O,X
TLZIOJS,X,X,O,O,X,X,O,O,O,O,X,X,X,X,O,X
TLZIOSJ,X,X,O,X,O,X,O,O,O,X,X,X,X,X,O,X
TLZJISO,X,X,O,O,O,O,O,O,O,O,X,X,X,X,X,X
TLZJIOS,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X
TLZJSIO,X,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X
TLZJSOI,X,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TLZJOIS,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X
TLZJOSI,X,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TLZSIJO,X,O,O,X,O,O,O,O,O,O,O,X,X,X,O,X
TLZSIOJ,X,O,O,X,O,X,O,O,O,O,O,X,X,X,O,X
TLZSJIO,X,O,O,X,O,O,O,O,O,O,O,X,X,X,X,X
TLZSJOI,X,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TLZSOIJ,X,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X
TLZSOJI,X,O,X,X,O,X,X,O,X,O,O,X,X,X,X,X
TLZOIJS,X,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X
TLZOISJ,X,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X
TLZOJIS,X,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X
TLZOJSI,X,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X
TLZOSIJ,X,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X
TLZOSJI,X,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X
TLOIJSZ,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
TLOIJZS,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TLOISJZ,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TLOISZJ,X,O,X,X,O,X,X,X,O,X,O,X,X,O,X,X
TLOIZJS,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLOIZSJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOJISZ,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
TLOJIZS,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLOJSIZ,X,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X
TLOJSZI,X,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X
TLOJZIS,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TLOJZSI,X,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X
TLOSIJZ,X,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X
TLOSIZJ,X,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X
TLOSJIZ,X,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X
TLOSJZI,X,O,O,X,X,O,X,O,X,X,O,O,X,X,X,X
TLOSZIJ,X,O,O,X,O,X,X,O,X,X,O,O,X,O,X,X
TLOSZJI,X,O,O,X,O,X,X,O,X,X,O,O,X,O,X,X
TLOZIJS,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TLOZISJ,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X
TLOZJIS,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TLOZJSI,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X
TLOZSIJ,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X
TLOZSJI,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X
TJILSZO,X,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TJILSOZ,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X
TJILZSO,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
TJILZOS,X,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TJILOSZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TJILOZS,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TJISLZO,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TJISLOZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TJISZLO,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TJISZOL,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TJISOLZ,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X
TJISOZL,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X
TJIZLSO,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TJIZLOS,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TJIZSLO,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TJIZSOL,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TJIZOLS,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TJIZOSL,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X
TJIOLSZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TJIOLZS,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X
TJIOSLZ,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TJIOSZL,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TJIOZLS,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TJIOZSL,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TJLISZO,X,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TJLISOZ,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X
TJLIZSO,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
TJLIZOS,X,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TJLIOSZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TJLIOZS,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TJLSIZO,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X
TJLSIOZ,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X
TJLSZIO,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X
TJLSZOI,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TJLSOIZ,O,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X
TJLSOZI,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X
TJLZISO,O,X,O,O,X,O,X,O,O,O,X,X,X,X,X,X
TJLZIOS,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TJLZSIO,O,O,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TJLZSOI,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TJLZOIS,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TJLZOSI,X,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TJLOISZ,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
TJLOIZS,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TJLOSIZ,X,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X
TJLOSZI,X,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X
TJLOZIS,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TJLOZSI,X,O,O,X,X,O,X,O,X,O,O,X,X,X,X,X
