sequence,v115@5gD8HeB8HeD8EeF8AeF8Je06IvhFxbB2kBzgBCiBXn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8Jex6IvhF0cBTfBlgBSnB/q?B2wB,v115@5gD8HeB8HeD8EeF8AeF8Jex6IvhFXcBifBGiBFlB8q?BzrB,v115@5gD8HeB8HeD8EeF8AeF8Je06IvhF6gBTcB2kBxmBXn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8JeK/IvhFfgBxbBzgBumBcn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8Je06IvhF6gB2kBxhBThBXn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8JeT6IvhFibBWiBUhBxkBXn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8JeO/IvhFXbBRhBcnBThBFl?BCrB,v115@5gD8HeB8HeD8EeF8AeF8JeK/IvhFGbBTcBUgBxmBXn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8JeT6IvhFxbBlgB3hBcnBmk?BCrB,v115@5gD8HeB8HeD8EeF8AeF8JeK/IvhFfgBxbBWmBTiB0m?BlqB,v115@5gD8HeB8HeD8EeF8AeF8Jex6IvhFWiBTfBKlBFmBXn?B8qB,v115@5gD8HeB8HeD8EeF8AeF8Je37IvhF1hBTfBcnBmfBxq?BCrB,v115@5gD8HeB8HeD8EeF8AeF8Jex6IvhFTfB0gB/qBCsBOr?BFsB,v115@5gD8HeB8HeD8EeF8AeF8JeT6IvhFXcBxkB8qBCsBOq?BFsB,v115@5gD8HeB8HeD8EeF8AeF8Je36IvhFxgBTiB2kBChB0m?BlqB
JSZTLOI,O,O,O,X,X,O,O,O,X,O,X,O,X,X,X,X
JSZTOIL,O,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X
JSZTOLI,O,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X
JSZITLO,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X
JSZITOL,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X
JSZILTO,O,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X
JSZILOT,O,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X
JSZIOTL,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JSZIOLT,O,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X
JSZLTIO,O,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X
JSZLTOI,O,O,O,X,X,O,O,O,X,O,X,O,X,X,X,X
JSZLITO,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X
JSZLIOT,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X
JSZLOTI,O,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X
JSZLOIT,O,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X
JSZOTIL,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JSZOTLI,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JSZOITL,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JSZOILT,O,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X
JSZOLTI,O,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X
JSZOLIT,O,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X
JSOTILZ,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JSOTIZL,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JSOTLIZ,O,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X
JSOTLZI,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JSOTZIL,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOTZLI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOITLZ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSOITZL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOILTZ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JSOILZT,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
JSOIZTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOIZLT,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X
JSOLTIZ,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
JSOLTZI,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOLITZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOLIZT,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JSOLZTI,O,O,O,X,X,X,X,X,X,O,X,O,X,O,X,X
JSOLZIT,O,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X
JSOZTIL,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JSOZTLI,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JSOZITL,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JSOZILT,O,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X
JSOZLTI,O,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X
JSOZLIT,O,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X
JZTILSO,O,X,O,O,O,O,X,O,X,X,X,X,O,X,X,X
JZTILOS,O,X,O,O,O,X,X,O,X,O,X,X,O,X,X,X
JZTISLO,O,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
JZTISOL,O,X,O,O,X,O,X,O,X,O,X,X,O,X,X,X
JZTIOLS,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X
JZTIOSL,O,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X
JZTLISO,O,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X
JZTLIOS,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X
JZTLSIO,O,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X
JZTLSOI,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JZTLOIS,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X
JZTLOSI,X,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JZTSILO,O,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
JZTSIOL,O,X,O,O,X,O,X,O,X,O,X,X,O,X,X,X
JZTSLIO,O,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X
JZTSLOI,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JZTSOIL,O,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X
JZTSOLI,O,X,O,X,O,O,X,O,X,O,X,X,O,X,X,X
JZTOILS,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X
JZTOISL,O,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X
JZTOLIS,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X
JZTOLSI,X,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JZTOSIL,O,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X
JZTOSLI,O,X,O,X,O,O,X,O,X,O,X,X,O,X,X,X
JZITLSO,O,X,O,O,O,O,X,O,X,X,X,X,O,X,X,X
JZITLOS,O,X,O,O,O,X,X,O,X,O,X,X,O,X,X,X
JZITSLO,O,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
JZITSOL,O,X,O,O,X,O,X,O,X,O,X,X,O,X,X,X
JZITOLS,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X
JZITOSL,O,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X
JZILTSO,O,X,O,O,O,X,X,O,X,O,X,X,O,X,O,X
JZILTOS,O,X,X,X,O,X,X,O,X,O,X,X,O,X,O,X
JZILSTO,O,X,O,O,O,O,X,O,X,O,X,X,X,X,O,X
JZILSOT,O,X,O,O,O,O,X,O,X,O,X,X,X,X,O,X
JZILOTS,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X
JZILOST,X,X,O,O,X,X,X,O,X,O,X,X,X,X,O,X
JZISTLO,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
JZISTOL,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
JZISLTO,O,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
JZISLOT,O,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
JZISOTL,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JZISOLT,O,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
JZIOTLS,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
JZIOTSL,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JZIOLTS,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X
JZIOLST,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X
JZIOSTL,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JZIOSLT,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JZLTISO,O,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X
JZLTIOS,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X
JZLTSIO,O,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
JZLTSOI,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JZLTOIS,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X
JZLTOSI,X,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JZLITSO,O,X,O,O,O,X,X,O,X,O,X,X,X,X,O,X
JZLITOS,O,O,X,X,O,X,X,O,X,O,X,X,X,X,O,X
JZLISTO,O,O,O,O,O,O,X,O,X,O,X,X,X,X,O,X
JZLISOT,O,O,O,O,O,O,X,O,X,O,X,X,X,X,O,X
JZLIOTS,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X
JZLIOST,X,O,O,O,X,X,X,O,X,O,X,X,X,X,O,X
JZLSTIO,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JZLSTOI,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JZLSITO,O,O,O,O,O,O,X,O,X,O,X,X,X,X,O,X
JZLSIOT,O,O,O,O,O,O,X,O,X,O,X,X,X,X,O,X
JZLSOTI,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JZLSOIT,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X
JZLOTIS,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
JZLOTSI,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
JZLOITS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZLOIST,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
JZLOSTI,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JZLOSIT,X,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X
JZSTILO,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
JZSTIOL,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
JZSTLIO,O,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
JZSTLOI,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JZSTOIL,O,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X
JZSTOLI,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JZSITLO,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
JZSITOL,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
JZSILTO,O,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
JZSILOT,O,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
JZSIOTL,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JZSIOLT,O,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
JZSLTIO,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JZSLTOI,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JZSLITO,O,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
JZSLIOT,O,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
JZSLOTI,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JZSLOIT,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X
JZSOTIL,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZSOTLI,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZSOITL,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSOILT,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZSOLTI,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSOLIT,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZOTILS,O,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X
JZOTISL,O,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X
JZOTLIS,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X
JZOTLSI,X,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JZOTSIL,O,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X
JZOTSLI,O,X,O,X,O,O,X,O,X,O,X,X,O,X,X,X
JZOITLS,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
JZOITSL,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
JZOILTS,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X
JZOILST,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZOISTL,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JZOISLT,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X
JZOLTIS,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
JZOLTSI,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
JZOLITS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOLIST,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
JZOLSTI,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JZOLSIT,X,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X
JZOSTIL,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZOSTLI,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZOSITL,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOSILT,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZOSLTI,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOSLIT,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JOTILSZ,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
JOTILZS,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JOTISLZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOTISZL,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOTIZLS,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOTIZSL,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOTLISZ,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
JOTLIZS,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JOTLSIZ,X,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
JOTLSZI,X,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X
JOTLZIS,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
JOTLZSI,X,O,O,X,X,O,X,O,X,O,O,X,X,X,X,X
JOTSILZ,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JOTSIZL,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JOTSLIZ,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
JOTSLZI,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X
JOTSZIL,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JOTSZLI,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JOTZILS,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JOTZISL,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X
JOTZLIS,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
JOTZLSI,X,O,O,X,X,O,X,O,X,O,O,X,X,X,X,X
JOTZSIL,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
JOTZSLI,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
JOITLSZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOITLZS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOITSLZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOITSZL,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOITZLS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOITZSL,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOILTSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOILTZS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOILSTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOILSZT,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JOILZTS,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JOILZST,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JOISTLZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISTZL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISLTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISLZT,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JOISZTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISZLT,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
JOIZTLS,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
JOIZTSL,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
JOIZLTS,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X
JOIZLST,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JOIZSTL,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOIZSLT,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JOLTISZ,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOLTIZS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLTSIZ,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOLTSZI,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
JOLTZIS,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOLTZSI,X,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X
JOLITSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLITZS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLISTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLISZT,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JOLIZTS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLIZST,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLSTIZ,X,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X
JOLSTZI,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X
JOLSITZ,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X
JOLSIZT,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JOLSZTI,X,O,O,X,X,X,X,X,X,O,X,O,X,O,X,X
JOLSZIT,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X
JOLZTIS,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOLZTSI,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOLZITS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLZIST,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOLZSTI,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLZSIT,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOSTILZ,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JOSTIZL,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JOSTLIZ,O,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X
JOSTLZI,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JOSTZIL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOSTZLI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOSITLZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSITZL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSILTZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOSILZT,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JOSIZTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSIZLT,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
JOSLTIZ,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
JOSLTZI,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOSLITZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOSLIZT,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JOSLZTI,O,O,O,X,X,X,X,X,X,O,X,O,X,O,X,X
JOSLZIT,O,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X
JOSZTIL,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JOSZTLI,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JOSZITL,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOSZILT,O,O,O,X,X,O,X,X,X,O,X,X,X,O,X,X
JOSZLTI,O,O,O,X,X,X,X,X,X,O,X,O,X,O,X,X
JOSZLIT,O,O,O,X,X,O,X,X,X,O,X,X,X,O,X,X
JOZTILS,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
JOZTISL,O,X,O,O,X,X,X,O,X,O,X,X,O,X,X,O
JOZTLIS,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
JOZTLSI,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X
JOZTSIL,O,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X
JOZTSLI,O,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X
JOZITLS,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
JOZITSL,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O
JOZILTS,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X
JOZILST,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JOZISTL,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O
JOZISLT,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O
JOZLTIS,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOZLTSI,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOZLITS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOZLIST,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
JOZLSTI,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOZLSIT,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JOZSTIL,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JOZSTLI,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JOZSITL,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOZSILT,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JOZSLTI,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOZSLIT,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
STILJZO,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X
STILJOZ,O,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X
STILZJO,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X
STILZOJ,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
STILOJZ,O,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X
STILOZJ,O,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X
STIJLZO,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X
STIJLOZ,O,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X
STIJZLO,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X
STIJZOL,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X
STIJOLZ,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
STIJOZL,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
STIZLJO,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
STIZLOJ,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
STIZJLO,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
STIZJOL,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
STIZOLJ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
STIZOJL,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
STIOLJZ,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
STIOLZJ,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
STIOJLZ,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
STIOJZL,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
STIOZLJ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
STIOZJL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
STLIJZO,O,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X
STLIJOZ,O,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X
STLIZJO,O,O,X,X,O,O,O,O,O,X,O,X,X,X,X,X
STLIZOJ,O,O,X,X,O,X,O,O,O,X,O,X,X,X,X,X
STLIOJZ,O,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X
STLIOZJ,O,O,X,X,O,X,O,X,O,X,O,O,X,X,X,X
STLJIZO,O,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X
STLJIOZ,O,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X
STLJZIO,O,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X
STLJZOI,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
STLJOIZ,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X
STLJOZI,O,O,X,X,X,O,X,O,X,X,O,O,X,X,X,X
STLZIJO,O,O,O,X,O,O,O,O,O,X,O,X,X,X,X,X
STLZIOJ,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X
STLZJIO,O,O,O,X,O,O,O,O,O,X,O,X,X,X,X,X
STLZJOI,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
STLZOIJ,O,O,O,X,O,X,O,O,X,X,O,O,X,O,X,X
STLZOJI,O,O,X,X,O,X,O,O,X,X,O,O,X,O,X,X
STLOIJZ,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X
STLOIZJ,O,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X
STLOJIZ,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X
STLOJZI,O,O,O,X,X,O,X,O,X,X,O,O,X,X,X,X
STLOZIJ,O,O,O,X,O,X,X,O,X,X,O,O,X,O,X,X
STLOZJI,O,O,O,X,O,X,X,O,X,X,O,O,X,O,X,X
