sequence,v115@zgB8HeB8GeD8EeE8DeF8DeC8JeT7IvhFxdBlhB3iBu?qBirB0rB,v115@zgB8HeB8GeD8EeE8DeF8DeC8JeT7IvhFxcBXeBuqBF?nB0rBirB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Jex8IvhFXeBlgBUiBO?rB6qBzrB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Je08IvhFxdBlgB3iBO?rB6qBzrB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Jei7IvhF3cBFeB5lBT?iB0mB2wB,v115@zgB8HeB8GeD8EeE8DeF8DeC8JeT7IvhFxcBXeBFnBC?rBUrBmrB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Jex7IvhFXeB0gBFnBC?rBOsBTrB,v115@zgB8HeB8GeD8EeE8DeF8DeC8JeT7IvhFxdBlhB3iBq?qB2rB0rB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Jex9IvhF0gBlhB3iB6?qBmrBTrB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Jex9IvhF0gBlhB3iB6?qBOrBzrB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Jei7IvhFchBXeB5lBF?nBTrBOsB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Je08IvhFXeBlgBxmB6?qBOsBTrB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Je/AJvhFchBxdBFnBG?rBisBzqB
TISOLZJ,X,X,X,X,O,O,X,O,X,O,O,O,X
TISOJLZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TISOJZL,O,O,X,O,O,X,X,X,X,O,O,O,X
TISOZLJ,X,X,X,X,O,X,X,X,O,O,O,O,X
TISOZJL,O,O,O,O,X,X,X,X,O,O,O,O,X
TIZLJSO,X,X,X,X,O,X,O,X,X,X,X,X,X
TIZLJOS,X,X,X,X,O,X,O,X,X,X,X,X,X
TIZLSJO,X,X,X,X,X,X,O,X,X,X,X,O,X
TIZLSOJ,X,X,X,X,X,X,O,X,X,X,X,O,X
TIZLOJS,X,X,X,X,O,X,O,X,X,X,X,X,X
TIZLOSJ,X,X,X,X,O,X,O,X,X,X,X,X,X
TIZJLSO,X,O,X,X,O,X,X,X,X,X,X,X,X
TIZJLOS,X,O,X,X,O,X,X,X,X,X,X,X,X
TIZJSLO,X,O,X,X,O,X,X,X,O,X,X,O,X
TIZJSOL,X,O,X,X,O,X,X,X,O,X,X,O,X
TIZJOLS,X,O,X,X,O,X,X,X,X,X,X,X,X
TIZJOSL,X,O,X,X,O,X,X,X,X,X,X,X,X
TIZSLJO,X,X,X,X,X,X,O,X,O,O,X,O,X
TIZSLOJ,X,X,X,X,X,X,O,X,O,O,X,O,X
TIZSJLO,X,O,O,X,X,X,X,X,O,O,X,O,X
TIZSJOL,X,O,O,X,X,X,X,X,O,O,X,O,X
TIZSOLJ,X,X,X,X,X,X,X,X,O,O,X,O,X
TIZSOJL,X,X,O,X,X,X,X,X,O,O,X,O,X
TIZOLJS,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZOLSJ,X,X,X,X,O,X,X,X,X,X,X,O,X
TIZOJLS,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZOJSL,X,X,X,X,O,X,X,X,X,X,X,O,X
TIZOSLJ,X,X,X,X,O,X,X,X,X,X,X,O,X
TIZOSJL,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOLJSZ,X,X,X,X,O,X,X,O,X,X,X,X,X
TIOLJZS,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOLSJZ,X,X,X,X,O,X,X,O,X,X,X,X,X
TIOLSZJ,X,X,X,X,O,X,X,O,X,X,O,O,X
TIOLZJS,X,X,X,X,O,X,X,X,X,X,O,X,X
TIOLZSJ,X,X,X,X,O,X,X,X,X,X,O,O,X
TIOJLSZ,O,X,X,X,O,X,X,X,X,X,X,X,X
TIOJLZS,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOJSLZ,O,O,X,X,O,X,X,X,X,X,X,X,X
TIOJSZL,O,O,X,X,O,X,X,X,X,X,O,O,X
TIOJZLS,X,O,X,X,O,X,X,X,X,X,O,X,X
TIOJZSL,X,O,X,X,O,X,X,X,X,X,O,O,X
TIOSLJZ,O,O,X,X,O,X,X,O,X,X,X,X,X
TIOSLZJ,X,X,X,X,O,X,X,O,X,O,O,O,X
TIOSJLZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TIOSJZL,O,O,X,O,O,X,X,X,X,O,O,O,X
TIOSZLJ,X,X,X,X,O,X,X,X,X,O,O,O,X
TIOSZJL,O,O,O,O,X,X,X,X,X,O,O,O,X
TIOZLJS,X,X,X,X,O,X,X,X,X,X,O,X,X
TIOZLSJ,X,X,X,X,O,X,X,X,X,X,O,O,X
TIOZJLS,X,X,X,X,O,X,X,X,X,X,O,X,X
TIOZJSL,X,X,X,X,O,X,X,X,X,X,O,O,X
TIOZSLJ,X,X,X,X,O,X,X,X,X,O,O,O,X
TIOZSJL,X,X,O,X,X,X,X,X,X,O,O,O,X
TLIJSZO,O,X,X,X,O,X,X,O,X,X,X,X,X
TLIJSOZ,O,X,X,X,O,X,X,O,X,X,X,X,X
TLIJZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIJZOS,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIJOSZ,O,X,X,X,O,X,X,O,X,X,X,X,X
TLIJOZS,X,X,X,X,O,X,X,X,X,X,X,X,X
TLISJZO,O,X,X,X,O,X,X,O,X,X,X,X,X
TLISJOZ,O,X,X,X,O,O,X,O,X,X,X,X,X
TLISZJO,X,X,X,X,X,O,O,X,X,X,X,O,X
TLISZOJ,X,X,X,X,X,O,O,O,X,X,X,O,X
TLISOJZ,X,X,X,X,O,O,X,O,X,X,X,X,X
TLISOZJ,X,X,X,X,O,O,X,O,X,X,X,O,X
TLIZJSO,X,X,X,X,O,O,O,X,X,X,X,X,X
TLIZJOS,X,X,X,X,O,O,O,X,X,X,X,X,X
TLIZSJO,X,X,X,X,X,O,O,X,X,X,X,O,X
TLIZSOJ,X,X,X,X,X,O,O,X,X,X,X,O,X
TLIZOJS,X,X,X,X,O,O,O,X,X,X,X,X,X
TLIZOSJ,X,X,X,X,O,O,O,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,O,X,X,O,X,X,X,X,X
TLIOJZS,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIOSJZ,X,X,X,X,O,O,X,O,X,X,X,X,X
TLIOSZJ,X,X,X,X,O,O,X,O,X,X,X,O,X
TLIOZJS,X,X,X,X,O,O,X,X,X,X,O,X,X
TLIOZSJ,X,X,X,X,O,O,X,X,X,X,O,O,X
TLJISZO,O,X,X,X,O,X,X,O,X,X,X,X,X
TLJISOZ,O,X,X,X,O,X,X,O,X,X,X,X,X
TLJIZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJIZOS,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJIOSZ,O,X,X,X,O,X,X,O,X,X,X,X,X
TLJIOZS,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJSIZO,O,X,X,O,O,X,X,O,X,X,X,X,X
TLJSIOZ,O,O,X,X,O,O,X,O,X,X,X,X,X
TLJSZIO,O,O,O,O,O,O,O,O,X,X,X,X,O
TLJSZOI,O,O,O,O,O,O,O,O,X,X,X,X,O
TLJSOIZ,O,O,X,O,O,O,X,O,X,X,X,X,X
TLJSOZI,O,O,X,O,O,O,X,O,X,X,X,X,X
TLJZISO,X,O,O,X,O,O,O,X,X,X,X,X,X
TLJZIOS,X,O,X,X,O,O,O,X,X,X,X,X,X
TLJZSIO,O,O,O,O,O,O,O,O,X,X,X,X,O
TLJZSOI,O,O,O,O,O,O,O,O,X,X,X,X,O
TLJZOIS,X,O,X,X,O,O,O,X,X,X,X,X,X
TLJZOSI,O,O,X,X,O,O,O,O,X,X,X,X,X
TLJOISZ,O,X,X,X,O,X,X,O,X,X,X,X,X
TLJOIZS,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJOSIZ,O,O,X,X,O,O,X,O,X,X,X,X,X
TLJOSZI,O,O,X,X,O,O,X,O,X,X,X,X,X
TLJOZIS,X,O,X,X,O,O,X,X,X,X,X,X,X
TLJOZSI,O,O,X,X,O,O,X,O,X,X,X,X,X
TLSIJZO,O,X,X,X,O,X,X,O,X,X,X,X,X
TLSIJOZ,O,O,X,X,O,O,X,O,X,X,X,X,X
TLSIZJO,X,X,X,X,X,O,O,X,X,X,X,O,X
TLSIZOJ,X,X,X,X,X,O,O,O,X,X,X,O,X
TLSIOJZ,X,O,X,X,O,O,X,O,X,X,X,X,X
TLSIOZJ,X,X,X,X,O,O,X,O,X,X,X,O,X
TLSJIZO,O,X,X,O,O,X,X,O,X,X,X,X,X
TLSJIOZ,O,O,X,X,O,O,X,O,X,X,X,X,X
TLSJZIO,O,O,O,O,O,O,O,O,X,X,X,X,O
TLSJZOI,O,O,O,O,O,O,O,O,X,X,X,X,O
TLSJOIZ,O,O,X,O,O,O,X,O,X,X,X,X,X
TLSJOZI,O,O,X,O,O,O,X,O,X,X,X,X,X
TLSZIJO,X,X,X,X,X,O,O,X,X,X,X,O,X
TLSZIOJ,X,X,X,X,X,O,O,O,X,X,X,O,X
TLSZJIO,X,O,O,X,X,O,O,X,X,X,X,X,X
TLSZJOI,X,O,O,X,X,O,O,X,X,X,X,X,X
TLSZOIJ,X,X,X,X,X,O,O,O,X,X,X,X,X
TLSZOJI,X,X,O,X,X,O,O,O,X,X,X,X,X
TLSOIJZ,X,O,X,X,O,O,X,O,X,X,X,X,X
TLSOIZJ,X,X,X,X,O,O,X,O,X,X,O,O,X
TLSOJIZ,X,O,X,X,O,O,X,O,X,X,X,X,X
TLSOJZI,X,O,X,X,O,O,X,O,X,X,X,X,X
TLSOZIJ,X,X,X,X,O,O,O,O,X,X,O,O,X
TLSOZJI,X,X,O,X,O,O,O,O,X,X,X,X,X
TLZIJSO,X,X,X,X,O,O,O,X,X,X,X,X,X
TLZIJOS,X,X,X,X,O,O,O,X,X,X,X,X,X
TLZISJO,X,X,X,X,X,O,O,X,X,X,X,O,X
TLZISOJ,X,X,X,X,X,O,O,X,X,X,X,O,X
TLZIOJS,X,X,X,X,O,O,O,X,X,X,X,X,X
TLZIOSJ,X,X,X,X,O,O,O,X,X,X,X,X,X
TLZJISO,X,O,X,X,O,O,O,X,X,X,X,X,X
TLZJIOS,X,O,X,X,O,O,O,X,X,X,X,X,X
TLZJSIO,X,O,X,X,O,O,O,X,X,X,X,X,X
TLZJSOI,X,O,X,X,O,O,O,X,X,X,X,X,X
TLZJOIS,X,O,X,X,O,O,O,X,X,X,X,X,X
TLZJOSI,X,O,X,X,O,O,O,X,X,X,X,X,X
TLZSIJO,X,X,X,X,X,O,O,X,X,X,X,O,X
TLZSIOJ,X,X,X,X,X,O,O,X,X,X,X,O,X
TLZSJIO,X,O,O,X,X,O,O,X,X,X,X,X,X
TLZSJOI,X,O,O,X,X,O,O,X,X,X,X,X,X
TLZSOIJ,X,X,X,X,X,O,O,X,X,X,X,X,X
TLZSOJI,X,X,O,X,X,O,O,X,X,X,X,X,X
TLZOIJS,X,X,X,X,O,O,O,X,X,X,X,X,X
TLZOISJ,X,X,X,X,O,O,O,X,X,X,X,X,X
TLZOJIS,X,X,X,X,X,O,O,X,X,X,X,X,X
TLZOJSI,X,X,X,X,O,O,O,X,X,X,X,X,X
TLZOSIJ,X,X,X,X,O,O,O,X,X,X,X,X,X
TLZOSJI,X,X,X,X,O,O,O,X,X,X,X,X,X
TLOIJSZ,X,X,X,X,O,X,X,O,X,X,X,X,X
TLOIJZS,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOISJZ,X,X,X,X,O,O,X,O,X,X,X,X,X
TLOISZJ,X,X,X,X,O,O,X,O,X,X,O,O,X
TLOIZJS,X,X,X,X,O,O,X,X,X,X,O,X,X
TLOIZSJ,X,X,X,X,O,O,X,X,X,X,O,O,X
TLOJISZ,X,X,X,X,O,X,X,O,X,X,X,X,X
TLOJIZS,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOJSIZ,X,O,X,X,O,O,X,O,X,X,X,X,X
TLOJSZI,X,O,X,X,O,O,X,O,X,X,X,X,X
TLOJZIS,X,O,X,X,O,O,X,X,X,X,X,X,X
TLOJZSI,X,O,X,X,O,O,X,O,X,X,X,X,X
TLOSIJZ,X,O,X,X,O,O,X,O,X,X,X,X,X
TLOSIZJ,X,X,X,X,O,O,X,O,X,X,O,O,X
TLOSJIZ,X,O,X,X,O,O,X,O,X,X,X,X,X
TLOSJZI,X,O,X,X,O,O,X,O,X,X,X,X,X
TLOSZIJ,X,X,X,X,O,O,O,O,X,X,O,O,X
TLOSZJI,X,X,O,X,O,O,O,O,X,X,X,X,X
TLOZIJS,X,X,X,X,O,O,O,X,X,X,O,X,X
TLOZISJ,X,X,X,X,O,O,O,X,X,X,O,O,X
TLOZJIS,X,X,X,X,X,O,O,X,X,X,X,X,X
TLOZJSI,X,X,X,X,O,O,O,X,X,X,X,X,X
TLOZSIJ,X,X,X,X,O,O,O,X,X,X,O,O,X
TLOZSJI,X,X,O,X,O,O,O,X,X,X,X,X,X
TJILSZO,O,X,X,X,O,X,X,X,X,X,X,X,X
TJILSOZ,O,X,X,X,O,X,X,X,X,X,X,X,X
TJILZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
TJILZOS,X,X,X,X,O,X,X,X,X,X,X,X,X
TJILOSZ,O,X,X,X,O,X,X,X,X,X,X,X,X
TJILOZS,X,X,X,X,O,X,X,X,X,X,X,X,X
TJISLZO,O,X,X,O,O,X,X,X,O,X,X,X,X
TJISLOZ,O,O,X,X,O,X,X,X,X,X,X,X,X
TJISZLO,X,O,O,O,O,X,X,X,O,X,X,O,O
TJISZOL,O,O,O,O,O,X,X,X,O,X,X,O,X
TJISOLZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TJISOZL,O,O,X,O,O,X,X,X,O,X,X,O,X
TJIZLSO,X,O,O,X,O,X,X,X,X,X,X,X,X
TJIZLOS,X,O,X,X,O,X,X,X,X,X,X,X,X
TJIZSLO,X,O,O,O,O,X,X,X,O,X,X,O,O
TJIZSOL,X,O,O,O,O,X,X,X,O,X,X,O,X
TJIZOLS,X,O,X,X,O,X,X,X,X,X,X,X,X
TJIZOSL,X,O,O,X,O,X,X,X,X,X,X,X,X
TJIOLSZ,O,X,X,X,O,X,X,X,X,X,X,X,X
TJIOLZS,X,X,X,X,O,X,X,X,X,X,X,X,X
TJIOSLZ,O,O,X,X,O,X,X,X,X,X,X,X,X
TJIOSZL,O,O,X,X,O,X,X,X,X,X,X,O,X
TJIOZLS,X,O,X,X,O,X,X,X,X,X,X,X,X
TJIOZSL,X,O,X,X,O,X,X,X,X,X,X,O,X
TJLISZO,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLISOZ,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLIZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLIZOS,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLIOSZ,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLIOZS,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLSIZO,O,X,X,O,O,X,X,X,O,X,X,X,X
TJLSIOZ,O,O,X,X,O,O,X,X,X,X,X,X,X
TJLSZIO,O,O,O,O,O,O,O,X,O,X,X,X,O
TJLSZOI,O,O,O,O,O,O,O,X,O,X,X,X,O
TJLSOIZ,O,O,X,O,O,O,X,X,X,X,X,X,X
TJLSOZI,O,O,X,O,O,O,X,X,X,X,X,X,X
TJLZISO,X,O,O,X,O,O,O,X,X,X,X,X,X
TJLZIOS,X,O,X,X,O,O,O,X,X,X,X,X,X
TJLZSIO,O,O,O,O,O,O,O,X,O,X,X,X,O
TJLZSOI,O,O,O,O,O,O,O,X,O,X,X,X,O
TJLZOIS,X,O,X,X,O,O,O,X,X,X,X,X,X
TJLZOSI,O,O,X,X,O,O,O,X,X,X,X,X,X
TJLOISZ,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLOIZS,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLOSIZ,O,O,X,X,O,O,X,X,X,X,X,X,X
TJLOSZI,O,O,X,X,O,O,X,X,X,X,X,X,X
TJLOZIS,X,O,X,X,O,O,X,X,X,X,X,X,X
TJLOZSI,O,O,X,X,O,O,X,X,X,X,X,X,X
TJSILZO,O,X,X,O,O,X,X,X,O,X,X,X,X
TJSILOZ,O,O,X,X,O,O,X,X,X,X,X,X,X
TJSIZLO,X,O,O,O,O,X,X,X,O,X,X,O,O
TJSIZOL,O,O,O,O,O,X,X,X,O,X,X,O,X
TJSIOLZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TJSIOZL,O,O,X,O,O,X,X,X,O,X,X,O,X
TJSLIZO,O,X,X,O,O,X,X,X,O,X,X,X,X
TJSLIOZ,O,O,X,X,O,O,X,X,X,X,X,X,X
TJSLZIO,O,O,O,O,O,O,O,X,O,X,X,X,O
TJSLZOI,O,O,O,O,O,O,O,X,O,X,X,X,O
TJSLOIZ,O,O,X,O,O,O,X,X,X,X,X,X,X
TJSLOZI,O,O,X,O,O,O,X,X,X,X,X,X,X
TJSZILO,X,O,O,O,O,X,X,X,O,X,X,O,O
TJSZIOL,O,O,O,O,O,X,X,X,O,X,X,O,X
TJSZLIO,X,O,O,O,O,X,O,X,O,X,X,X,O
TJSZLOI,X,O,O,O,O,X,O,X,O,X,X,X,O
TJSZOIL,O,O,O,O,O,X,X,X,O,X,X,X,X
TJSZOLI,O,O,O,O,O,X,X,X,O,X,X,X,O
TJSOILZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TJSOIZL,O,O,X,O,O,X,X,X,O,X,O,O,X
TJSOLIZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TJSOLZI,O,O,X,O,O,X,X,X,X,X,X,X,X
TJSOZIL,O,O,O,O,O,X,X,X,O,X,O,O,X
TJSOZLI,O,O,O,O,O,X,X,X,O,X,X,X,O
TJZILSO,X,O,O,X,O,X,X,X,X,X,X,X,X
TJZILOS,X,O,X,X,O,X,X,X,X,X,X,X,X
TJZISLO,X,O,O,O,O,X,X,X,O,X,X,O,O
TJZISOL,X,O,O,O,O,X,X,X,O,X,X,O,X
TJZIOLS,X,O,X,X,O,X,X,X,X,X,X,X,X
TJZIOSL,X,O,O,X,O,X,X,X,X,X,X,X,X
TJZLISO,X,O,O,X,O,X,O,X,X,X,X,X,X
TJZLIOS,X,O,X,X,O,X,O,X,X,X,X,X,X
TJZLSIO,X,O,O,O,O,X,O,X,O,X,X,X,O
TJZLSOI,X,O,O,O,O,X,O,X,O,X,X,X,O
TJZLOIS,X,O,X,X,O,X,O,X,X,X,X,X,X
TJZLOSI,X,O,X,X,O,X,O,X,X,X,X,X,X
TJZSILO,X,O,O,O,O,X,X,X,O,X,X,O,O
TJZSIOL,O,O,O,O,O,X,X,X,O,X,X,O,X
TJZSLIO,X,O,O,O,O,X,O,X,O,X,X,X,O
TJZSLOI,X,O,O,O,O,X,O,X,O,X,X,X,O
TJZSOIL,O,O,O,O,O,X,X,X,O,X,X,X,X
TJZSOLI,O,O,O,O,O,X,X,X,O,X,X,X,O
TJZOILS,X,O,X,X,O,X,X,X,X,X,X,X,X
TJZOISL,X,O,O,X,O,X,X,X,X,X,X,X,X
TJZOLIS,X,O,X,X,O,X,X,X,X,X,X,X,X
TJZOLSI,X,O,X,X,O,X,X,X,X,X,X,X,X
TJZOSIL,O,O,O,O,O,X,X,X,O,X,X,X,X
TJZOSLI,O,O,O,O,O,X,X,X,O,X,X,X,O
TJOILSZ,O,X,X,X,O,X,X,X,X,X,X,X,X
TJOILZS,X,X,X,X,O,X,X,X,X,X,X,X,X
TJOISLZ,O,O,X,X,O,X,X,X,X,X,X,X,X
TJOISZL,O,O,X,X,O,X,X,X,X,X,O,O,X
TJOIZLS,X,O,X,X,O,X,X,X,X,X,O,X,X
TJOIZSL,X,O,X,X,O,X,X,X,X,X,O,O,X
TJOLISZ,O,X,X,X,O,X,X,X,X,X,X,X,X
TJOLIZS,X,X,X,X,O,X,X,X,X,X,X,X,X
TJOLSIZ,O,O,X,X,O,X,X,X,X,X,X,X,X
TJOLSZI,O,O,X,X,O,X,X,X,X,X,X,X,X
TJOLZIS,X,O,X,X,O,X,X,X,X,X,X,X,X
TJOLZSI,O,O,X,X,O,X,X,X,X,X,X,X,X
TJOSILZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TJOSIZL,O,O,X,O,O,X,X,X,O,X,O,O,X
TJOSLIZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TJOSLZI,O,O,X,O,O,X,X,X,X,X,X,X,X
TJOSZIL,O,O,O,O,O,X,X,X,O,X,O,O,X
TJOSZLI,O,O,O,O,O,X,X,X,O,X,X,X,O
TJOZILS,X,O,X,X,O,X,X,X,X,X,O,X,X
TJOZISL,X,O,O,X,O,X,X,X,X,X,O,O,X
TJOZLIS,X,O,X,X,O,X,X,X,X,X,X,X,X
TJOZLSI,X,O,X,X,O,X,X,X,X,X,X,X,X
TJOZSIL,O,O,O,O,O,X,X,X,O,X,O,O,X
TJOZSLI,O,O,O,O,O,X,X,X,O,X,X,X,O
TSILJZO,O,X,X,X,O,X,X,O,X,X,X,X,X
TSILJOZ,O,O,X,X,O,O,X,O,X,X,X,X,X
TSILZJO,X,X,X,X,X,O,O,X,O,O,X,O,X
TSILZOJ,X,X,X,X,X,O,O,O,O,O,X,O,X
TSILOJZ,O,O,X,X,O,O,X,O,X,X,X,X,X
TSILOZJ,X,X,X,X,O,O,X,O,X,X,X,O,X
TSIJLZO,O,X,X,O,O,X,X,X,O,X,X,X,X
TSIJLOZ,O,O,X,X,O,O,X,O,X,X,X,X,X
TSIJZLO,X,O,O,O,O,X,X,X,O,O,X,O,O
