sequence,v115@7gB8GeC8HeF8DeG8AeD8Je06IvhF6gBxcB2kBThB/n?BlrB,v115@7gB8GeC8HeF8DeG8AeD8JeO/IvhF0bBxcBzfBSmB/n?BlrB,v115@7gB8GeC8HeF8DeG8AeD8JeK/IvhFGbBxcBUgBThB/n?BlrB,v115@7gB8GeC8HeF8DeG8AeD8Jex7IvhFXdBifBzgB0fBGn?BlrB,v115@7gB8GeC8HeF8DeG8AeD8JeO/IvhF8fBFdBamB5mB3l?BTsB,v115@7gB8GeC8HeF8DeG8AeD8JeO/IvhF8fBzbBCdB/nBxl?BlrB,v115@7gB8GeC8HeF8DeG8AeD8JeT6IvhFxcBykBGhB/nB0g?BlrB,v115@7gB8GeC8HeF8DeG8AeD8JeT6IvhF2gBCdB/nBUhBxk?BlrB,v115@7gB8GeC8HeF8DeG8AeD8Jei6IvhFzbB3fBUiBxlBGn?BlrB,v115@7gB8GeC8HeF8DeG8AeD8JeF8IvhFXdBTfB0gBmfBxr?BCsB
TIOJSLZ,O,O,X,O,O,O,X,O,O,X
TIOJSZL,O,O,X,O,O,O,X,O,O,X
TIOJZLS,O,O,X,O,O,O,X,X,X,X
TIOJZSL,O,O,X,O,O,O,X,O,O,X
TIOSLJZ,O,O,O,O,O,O,X,O,O,X
TIOSLZJ,O,O,O,O,O,O,X,O,O,X
TIOSJLZ,O,O,O,O,O,O,X,O,O,X
TIOSJZL,O,O,X,X,O,O,X,O,O,X
TIOSZLJ,O,O,O,O,O,O,X,O,O,O
TIOSZJL,O,O,X,X,O,O,X,O,O,O
TIOZLJS,X,O,X,X,O,O,X,X,X,O
TIOZLSJ,X,O,X,O,O,O,X,X,O,O
TIOZJLS,X,O,X,X,O,O,X,X,X,X
TIOZJSL,X,O,X,X,O,O,X,O,O,O
TIOZSLJ,X,O,X,O,O,O,X,O,O,O
TIOZSJL,X,O,X,X,O,O,X,O,O,O
TLIJSZO,O,O,X,X,O,X,O,O,X,X
TLIJSOZ,O,O,X,O,X,X,O,O,X,X
TLIJZSO,O,O,X,X,O,X,X,X,X,X
TLIJZOS,O,X,X,X,O,X,X,X,X,X
TLIJOSZ,O,X,X,O,X,X,O,O,X,X
TLIJOZS,O,X,X,O,O,X,X,X,X,X
TLISJZO,O,O,O,X,O,O,O,O,O,X
TLISJOZ,O,O,O,O,X,O,O,O,O,X
TLISZJO,O,O,O,X,O,O,O,O,O,X
TLISZOJ,X,O,O,X,X,O,O,O,O,X
TLISOJZ,O,O,O,O,X,O,O,O,O,X
TLISOZJ,O,O,O,O,X,O,O,O,O,X
TLIZJSO,X,O,O,X,O,O,X,X,X,X
TLIZJOS,X,X,O,X,O,O,X,X,X,X
TLIZSJO,X,O,O,X,O,O,X,X,O,X
TLIZSOJ,X,O,O,X,X,O,X,X,O,X
TLIZOJS,X,O,O,X,O,O,X,X,X,X
TLIZOSJ,X,O,O,X,X,O,X,X,O,X
TLIOJSZ,O,O,X,O,X,X,O,O,X,X
TLIOJZS,O,O,X,O,O,X,X,X,X,X
TLIOSJZ,O,O,O,O,X,O,O,O,O,X
TLIOSZJ,O,O,O,O,X,O,O,O,O,X
TLIOZJS,X,O,O,X,O,O,X,X,X,X
TLIOZSJ,X,O,O,O,X,O,X,X,O,X
TLJISZO,O,O,X,X,O,X,O,X,X,X
TLJISOZ,O,O,X,O,X,X,O,X,X,X
TLJIZSO,O,O,X,X,O,X,X,X,X,X
TLJIZOS,O,X,X,X,O,X,X,X,X,X
TLJIOSZ,O,X,X,O,X,X,O,X,X,X
TLJIOZS,O,X,X,O,O,X,X,X,X,X
TLJSIZO,O,O,O,X,X,X,O,X,X,X
TLJSIOZ,O,O,O,O,X,X,O,X,X,X
TLJSZIO,O,O,O,X,X,O,O,X,X,X
TLJSZOI,O,O,O,O,X,X,O,X,X,X
TLJSOIZ,O,O,O,O,X,X,O,X,X,X
TLJSOZI,O,O,O,O,X,X,O,X,X,X
TLJZISO,O,O,O,X,O,O,X,X,X,X
TLJZIOS,O,X,O,X,O,O,X,X,X,X
TLJZSIO,O,O,O,X,X,O,O,X,X,X
TLJZSOI,O,O,O,O,X,X,O,X,X,X
TLJZOIS,O,O,O,O,O,X,X,X,X,X
TLJZOSI,O,O,O,O,X,X,O,X,X,X
TLJOISZ,O,O,X,O,O,X,O,X,X,X
TLJOIZS,O,O,X,O,O,X,X,X,X,X
TLJOSIZ,O,O,O,O,X,X,O,X,X,X
TLJOSZI,O,O,O,O,X,X,O,X,X,X
TLJOZIS,O,O,O,O,O,X,X,X,X,X
TLJOZSI,O,O,O,O,X,X,O,X,X,X
TLSIJZO,O,O,O,X,X,O,O,O,O,X
TLSIJOZ,O,O,O,O,X,O,O,O,O,X
TLSIZJO,O,O,O,X,X,O,O,O,O,X
TLSIZOJ,X,O,O,X,X,O,O,O,O,X
TLSIOJZ,O,O,O,O,X,O,O,O,O,X
TLSIOZJ,O,O,O,O,X,O,O,O,O,X
TLSJIZO,O,O,O,X,X,O,O,O,O,X
TLSJIOZ,O,O,O,O,X,O,O,O,O,X
TLSJZIO,O,O,O,X,X,O,O,X,X,X
TLSJZOI,O,O,O,O,X,X,O,X,X,X
TLSJOIZ,O,O,O,O,X,X,O,X,X,X
TLSJOZI,O,O,O,O,X,X,O,X,X,X
TLSZIJO,O,O,O,X,X,O,O,O,O,X
TLSZIOJ,X,O,O,X,X,O,O,O,O,X
TLSZJIO,O,O,O,X,X,O,O,X,X,X
TLSZJOI,O,O,O,O,X,X,O,X,X,X
TLSZOIJ,O,O,O,O,X,X,O,X,X,X
TLSZOJI,O,O,O,O,X,X,O,X,X,X
TLSOIJZ,O,O,O,O,X,O,O,O,O,X
TLSOIZJ,O,O,O,O,X,O,O,O,O,X
TLSOJIZ,O,O,O,O,X,X,O,X,X,X
TLSOJZI,O,O,O,O,X,X,O,X,X,X
TLSOZIJ,O,O,O,O,X,X,O,X,X,X
TLSOZJI,O,O,O,O,X,X,O,X,X,X
TLZIJSO,X,O,O,X,O,O,X,X,X,X
TLZIJOS,X,X,O,X,O,O,X,X,X,X
TLZISJO,X,O,O,X,O,O,X,X,O,X
TLZISOJ,X,O,O,X,X,O,X,X,O,X
TLZIOJS,X,O,O,X,O,O,X,X,X,X
TLZIOSJ,X,O,O,X,X,O,X,X,O,X
TLZJISO,O,O,O,X,O,O,X,X,X,X
TLZJIOS,O,X,O,X,O,O,X,X,X,X
TLZJSIO,O,O,O,X,X,O,O,X,X,X
TLZJSOI,O,O,O,O,X,X,O,X,X,X
TLZJOIS,O,O,O,O,O,X,X,X,X,X
TLZJOSI,O,O,O,O,X,X,O,X,X,X
TLZSIJO,O,O,O,X,X,O,O,X,X,X
TLZSIOJ,X,O,O,X,X,O,O,X,X,X
TLZSJIO,O,O,O,X,X,O,O,X,X,X
TLZSJOI,O,O,O,O,X,X,O,X,X,X
TLZSOIJ,O,O,O,O,X,X,O,X,X,X
TLZSOJI,O,O,O,O,X,X,O,X,X,X
TLZOIJS,X,O,O,X,O,X,X,X,X,X
TLZOISJ,X,O,O,O,O,X,X,X,X,X
TLZOJIS,O,O,O,O,O,X,X,X,X,X
TLZOJSI,O,O,O,O,X,X,O,X,X,X
TLZOSIJ,O,O,O,O,X,X,O,X,X,X
TLZOSJI,O,O,O,O,X,X,O,X,X,X
TLOIJSZ,O,O,X,O,O,X,O,X,X,X
TLOIJZS,O,O,X,O,O,X,X,X,X,X
TLOISJZ,O,O,O,O,O,X,O,X,X,X
TLOISZJ,O,O,O,O,O,X,O,X,X,X
TLOIZJS,X,O,O,X,O,X,X,X,X,X
TLOIZSJ,X,O,O,O,O,X,X,X,X,X
TLOJISZ,O,O,X,O,O,X,O,X,X,X
TLOJIZS,O,O,X,O,O,X,X,X,X,X
TLOJSIZ,O,O,O,O,X,X,O,X,X,X
TLOJSZI,O,O,O,O,X,X,O,X,X,X
TLOJZIS,O,O,O,O,O,X,X,X,X,X
TLOJZSI,O,O,O,O,X,X,O,X,X,X
TLOSIJZ,O,O,O,O,X,X,O,X,X,X
TLOSIZJ,O,O,O,O,X,X,O,X,X,X
TLOSJIZ,O,O,O,O,X,X,O,X,X,X
TLOSJZI,O,O,O,O,X,X,O,X,X,X
TLOSZIJ,O,O,O,O,X,X,O,X,X,X
TLOSZJI,O,O,O,O,X,X,O,X,X,X
TLOZIJS,X,O,O,X,O,X,X,X,X,X
TLOZISJ,X,O,O,O,O,X,X,X,X,X
TLOZJIS,O,O,O,O,O,X,X,X,X,X
TLOZJSI,O,O,O,O,X,X,O,X,X,X
TLOZSIJ,O,O,O,O,X,X,O,X,X,X
TLOZSJI,O,O,O,O,X,X,O,X,X,X
TJILSZO,O,O,X,X,O,X,O,O,X,X
TJILSOZ,O,O,X,O,X,X,O,O,X,X
TJILZSO,O,O,X,X,O,X,X,X,X,X
TJILZOS,O,X,X,X,O,X,X,X,X,X
TJILOSZ,O,X,X,O,X,X,O,O,X,X
TJILOZS,O,X,X,O,O,X,X,X,X,X
TJISLZO,O,O,X,X,O,O,O,O,O,X
TJISLOZ,O,O,X,O,X,O,O,O,O,X
TJISZLO,O,O,X,X,O,O,O,O,O,X
TJISZOL,O,O,X,O,X,O,X,O,O,X
TJISOLZ,O,O,X,O,X,O,O,O,O,X
TJISOZL,O,O,X,O,X,O,X,O,O,X
TJIZLSO,O,X,X,X,O,O,X,X,X,X
TJIZLOS,O,X,X,X,O,O,X,X,X,X
TJIZSLO,O,X,X,X,O,O,X,O,O,X
TJIZSOL,O,X,X,X,X,O,X,O,O,X
TJIZOLS,O,X,X,X,O,O,X,X,X,X
TJIZOSL,O,X,X,X,O,O,X,O,O,X
TJIOLSZ,O,O,X,O,O,X,X,O,X,X
TJIOLZS,O,O,X,O,O,X,X,X,X,X
TJIOSLZ,O,O,X,O,O,O,X,O,O,X
TJIOSZL,O,O,X,O,O,O,X,O,O,X
TJIOZLS,O,O,X,O,O,O,X,X,X,X
TJIOZSL,O,O,X,O,O,O,X,O,O,X
TJLISZO,O,O,X,X,O,X,O,X,X,X
TJLISOZ,O,O,X,O,X,X,O,X,X,X
TJLIZSO,O,O,X,X,O,X,X,X,X,X
TJLIZOS,O,X,X,X,O,X,X,X,X,X
TJLIOSZ,O,X,X,O,X,X,O,X,X,X
TJLIOZS,O,X,X,O,O,X,X,X,X,X
TJLSIZO,O,O,O,X,X,X,O,X,X,X
TJLSIOZ,O,O,O,O,X,X,O,X,X,X
TJLSZIO,O,O,O,X,X,O,O,X,X,X
TJLSZOI,O,O,O,O,X,X,O,X,X,X
TJLSOIZ,O,O,O,O,X,X,O,X,X,X
TJLSOZI,O,O,O,O,X,X,O,X,X,X
TJLZISO,O,O,O,X,O,O,X,X,X,X
TJLZIOS,O,X,O,X,O,O,X,X,X,X
TJLZSIO,O,O,O,X,X,O,O,X,X,X
TJLZSOI,O,O,O,O,X,X,O,X,X,X
TJLZOIS,O,O,O,O,O,X,X,X,X,X
TJLZOSI,O,O,O,O,X,X,O,X,X,X
TJLOISZ,O,O,X,O,O,X,O,X,X,X
TJLOIZS,O,O,X,O,O,X,X,X,X,X
TJLOSIZ,O,O,O,O,X,X,O,X,X,X
TJLOSZI,O,O,O,O,X,X,O,X,X,X
TJLOZIS,O,O,O,O,O,X,X,X,X,X
TJLOZSI,O,O,O,O,X,X,O,X,X,X
TJSILZO,O,O,O,X,O,O,O,O,O,X
TJSILOZ,O,O,O,O,X,O,O,O,O,X
TJSIZLO,O,O,X,X,O,O,O,O,O,X
TJSIZOL,O,O,X,O,X,O,X,O,O,X
TJSIOLZ,O,O,O,O,X,O,O,O,O,X
TJSIOZL,O,O,X,O,X,O,X,O,O,X
TJSLIZO,O,O,O,X,X,O,O,O,O,X
TJSLIOZ,O,O,O,O,X,O,O,O,O,X
TJSLZIO,O,O,O,X,X,O,O,X,X,X
TJSLZOI,O,O,O,O,X,X,O,X,X,X
TJSLOIZ,O,O,O,O,X,X,O,X,X,X
TJSLOZI,O,O,O,O,X,X,O,X,X,X
TJSZILO,O,O,X,X,O,O,O,X,X,X
TJSZIOL,O,O,X,O,X,O,X,X,X,X
TJSZLIO,O,O,X,X,X,O,O,X,X,X
TJSZLOI,O,O,X,O,X,X,O,X,X,X
TJSZOIL,O,O,X,O,O,X,X,X,X,X
TJSZOLI,O,O,X,O,X,X,X,X,X,X
TJSOILZ,O,O,O,O,O,X,O,X,X,X
TJSOIZL,O,O,X,O,O,X,X,X,X,X
TJSOLIZ,O,O,O,O,X,X,O,X,X,X
TJSOLZI,O,O,O,O,X,X,O,X,X,X
TJSOZIL,O,O,X,O,O,X,X,X,X,X
TJSOZLI,O,O,X,O,X,X,X,X,X,X
TJZILSO,O,X,X,X,O,O,X,X,X,X
TJZILOS,O,X,X,X,O,O,X,X,X,X
TJZISLO,O,X,X,X,O,O,X,X,O,X
TJZISOL,O,X,X,X,X,O,X,X,O,X
TJZIOLS,O,X,X,X,O,O,X,X,X,X
TJZIOSL,O,X,X,X,O,O,X,X,O,X
TJZLISO,O,O,X,X,O,O,X,X,X,X
TJZLIOS,O,X,X,X,O,O,X,X,X,X
TJZLSIO,O,O,X,X,X,O,O,X,X,X
TJZLSOI,O,O,X,O,X,X,O,X,X,X
TJZLOIS,O,X,X,O,O,X,X,X,X,X
TJZLOSI,O,O,X,O,X,X,O,X,X,X
TJZSILO,O,O,X,X,O,O,O,X,X,X
TJZSIOL,O,O,X,O,X,O,X,X,X,X
TJZSLIO,O,O,X,X,X,O,O,X,X,X
TJZSLOI,O,O,X,O,X,X,O,X,X,X
TJZSOIL,O,O,X,O,O,X,X,X,X,X
TJZSOLI,O,O,X,O,X,X,X,X,X,X
TJZOILS,O,O,X,O,O,O,X,X,X,X
TJZOISL,O,O,X,O,O,O,X,X,X,X
TJZOLIS,O,O,X,O,O,X,X,X,X,X
TJZOLSI,O,O,X,O,X,X,X,X,X,X
TJZOSIL,O,O,X,O,O,X,X,X,X,X
TJZOSLI,O,O,X,O,X,X,X,X,X,X
TJOILSZ,O,O,X,O,O,X,X,X,X,X
TJOILZS,O,O,X,O,O,X,X,X,X,X
TJOISLZ,O,O,X,O,O,X,X,X,X,X
TJOISZL,O,O,X,O,O,X,X,X,X,X
TJOIZLS,O,O,X,O,O,X,X,X,X,X
TJOIZSL,O,O,X,O,O,X,X,X,X,X
TJOLISZ,O,O,X,O,O,X,O,X,X,X
TJOLIZS,O,O,X,O,O,X,X,X,X,X
TJOLSIZ,O,O,O,O,X,X,O,X,X,X
TJOLSZI,O,O,O,O,X,X,O,X,X,X
TJOLZIS,O,O,O,O,O,X,X,X,X,X
TJOLZSI,O,O,O,O,X,X,O,X,X,X
TJOSILZ,O,O,O,O,O,X,O,X,X,X
TJOSIZL,O,O,X,O,O,X,X,X,X,X
TJOSLIZ,O,O,O,O,X,X,O,X,X,X
TJOSLZI,O,O,O,O,X,X,O,X,X,X
TJOSZIL,O,O,X,O,O,X,X,X,X,X
TJOSZLI,O,O,X,O,X,X,X,X,X,X
TJOZILS,O,O,X,O,O,O,X,X,X,X
TJOZISL,O,O,X,O,O,O,X,X,X,X
TJOZLIS,O,O,X,O,O,X,X,X,X,X
TJOZLSI,O,O,X,O,X,X,X,X,X,X
TJOZSIL,O,O,X,O,O,X,X,X,X,X
TJOZSLI,O,O,X,O,X,X,X,X,X,X
TSILJZO,O,O,O,X,O,O,O,O,O,X
TSILJOZ,O,O,O,O,X,O,O,O,O,X
TSILZJO,O,O,O,X,O,O,O,O,O,X
TSILZOJ,X,O,O,X,X,O,O,O,O,O
TSILOJZ,O,O,O,O,X,O,O,O,O,X
TSILOZJ,O,O,O,O,X,O,O,O,O,X
TSIJLZO,O,O,O,X,O,O,O,O,O,X
TSIJLOZ,O,O,O,O,X,O,O,O,O,X
TSIJZLO,O,O,X,X,O,O,O,O,O,X
TSIJZOL,O,O,X,O,X,O,X,O,O,O
TSIJOLZ,O,O,O,O,X,O,O,O,O,X
TSIJOZL,O,O,X,O,X,O,X,O,O,X
TSIZLJO,O,O,O,X,O,O,O,O,O,X
TSIZLOJ,X,O,O,X,X,O,O,O,O,O
TSIZJLO,O,O,X,X,O,O,O,O,O,X
TSIZJOL,O,O,X,O,X,O,X,O,O,O
TSIZOLJ,O,O,O,O,X,O,X,O,O,O
TSIZOJL,O,O,X,X,X,O,X,O,O,O
TSIOLJZ,O,O,O,O,X,O,O,O,O,X
TSIOLZJ,O,O,O,O,X,O,O,O,O,X
TSIOJLZ,O,O,O,O,X,O,O,O,O,X
TSIOJZL,O,O,X,O,X,O,X,O,O,X
TSIOZLJ,O,O,O,O,X,O,X,O,O,O
TSIOZJL,O,O,X,X,X,O,X,O,O,O
TSLIJZO,O,O,O,X,X,O,O,O,O,X
TSLIJOZ,O,O,O,O,X,O,O,O,O,X
TSLIZJO,O,O,O,X,X,O,O,O,O,X
TSLIZOJ,X,O,O,X,X,O,O,O,O,O
TSLIOJZ,O,O,O,O,X,O,O,O,O,X
TSLIOZJ,O,O,O,O,X,O,O,O,O,X
TSLJIZO,O,O,O,X,X,O,O,O,O,X
TSLJIOZ,O,O,O,O,X,O,O,O,O,X
TSLJZIO,O,O,O,X,X,O,O,X,X,X
TSLJZOI,O,O,O,O,X,X,O,X,X,X
TSLJOIZ,O,O,O,O,X,X,O,X,X,X
TSLJOZI,O,O,O,O,X,X,O,X,X,X
TSLZIJO,O,O,O,X,X,O,O,O,O,X
TSLZIOJ,X,O,O,X,X,O,O,O,O,X
TSLZJIO,O,O,O,X,X,O,O,X,X,X
TSLZJOI,O,O,O,O,X,X,O,X,X,X
TSLZOIJ,O,O,O,O,X,X,O,X,X,X
TSLZOJI,O,O,O,O,X,X,O,X,X,O
TSLOIJZ,O,O,O,O,X,O,O,O,O,X
TSLOIZJ,O,O,O,O,X,O,O,O,O,X
TSLOJIZ,O,O,O,O,X,X,O,X,X,X
TSLOJZI,O,O,O,O,X,X,O,X,X,X
TSLOZIJ,O,O,O,O,X,X,O,X,X,X
TSLOZJI,O,O,O,O,X,X,O,X,X,X
TSJILZO,O,O,O,X,O,O,O,O,O,X
TSJILOZ,O,O,O,O,X,O,O,O,O,X
TSJIZLO,O,O,X,X,O,O,O,O,O,X
TSJIZOL,O,O,X,O,X,O,X,O,O,O
TSJIOLZ,O,O,O,O,X,O,O,O,O,X
TSJIOZL,O,O,X,O,X,O,X,O,O,X
TSJLIZO,O,O,O,X,X,O,O,O,O,X
TSJLIOZ,O,O,O,O,X,O,O,O,O,X
TSJLZIO,O,O,O,X,X,O,O,X,X,X
TSJLZOI,O,O,O,O,X,X,O,X,X,X
TSJLOIZ,O,O,O,O,X,X,O,X,X,X
TSJLOZI,O,O,O,O,X,X,O,X,X,X
TSJZILO,O,O,X,X,O,O,O,X,X,X
TSJZIOL,O,O,X,O,X,O,X,X,X,X
TSJZLIO,O,O,X,X,X,O,O,X,X,X
TSJZLOI,O,O,X,O,X,X,O,X,X,X
TSJZOIL,O,O,X,O,O,X,X,X,X,O
TSJZOLI,O,O,X,O,X,X,X,X,X,O
TSJOILZ,O,O,O,O,O,X,O,X,X,X
TSJOIZL,O,O,X,O,O,X,X,X,X,X
TSJOLIZ,O,O,O,O,X,X,O,X,X,X
TSJOLZI,O,O,O,O,X,X,O,X,X,X
TSJOZIL,O,O,X,O,O,X,X,X,X,X
TSJOZLI,O,O,X,O,X,X,X,X,X,X
TSZILJO,O,O,O,X,O,O,O,O,O,X
TSZILOJ,X,O,O,X,X,O,O,O,O,O
TSZIJLO,O,O,X,X,O,O,O,O,O,X
TSZIJOL,O,O,X,O,X,O,X,O,O,O
TSZIOLJ,O,O,O,O,X,O,X,O,O,O
TSZIOJL,O,O,X,X,X,O,X,O,O,O
TSZLIJO,O,O,O,X,X,O,O,O,O,X
TSZLIOJ,X,O,O,X,X,O,O,O,O,X
TSZLJIO,O,O,O,X,X,O,O,X,X,X
TSZLJOI,O,O,O,O,X,X,O,X,X,X
TSZLOIJ,O,O,O,O,X,X,O,X,X,X
TSZLOJI,O,O,O,O,X,X,O,X,X,O
TSZJILO,O,O,X,X,O,O,O,X,X,X
TSZJIOL,O,O,X,O,X,O,X,X,X,X
TSZJLIO,O,O,X,X,X,O,O,X,X,X
TSZJLOI,O,O,X,O,X,X,O,X,X,X
TSZJOIL,O,O,X,O,O,X,X,X,X,O
TSZJOLI,O,O,X,O,X,X,X,X,X,O
TSZOILJ,O,O,O,O,O,X,X,X,X,X
TSZOIJL,O,O,X,X,O,X,X,X,X,O
TSZOLIJ,O,O,O,O,X,X,X,X,X,X
TSZOLJI,O,O,O,O,X,X,X,X,X,O
TSZOJIL,O,O,X,X,O,X,X,X,X,O
TSZOJLI,O,O,X,X,X,X,X,X,X,O
TSOILJZ,O,O,O,O,O,O,O,O,O,X
TSOILZJ,O,O,O,O,O,O,O,O,O,X
TSOIJLZ,O,O,O,O,O,O,O,O,O,X
TSOIJZL,O,O,X,O,O,O,X,O,O,X
TSOIZLJ,O,O,O,O,O,O,X,O,O,O
TSOIZJL,O,O,X,X,O,O,X,O,O,O
