sequence,v115@HhA8IeA8GeD8AeA8AeE8Jem/IvhFzgBRiBSoBfqBUn?BFrB,v115@HhA8IeA8GeD8AeA8AeE8Je0/IvhFxgBTjBarBGnBXn?BFqB,v115@HhA8IeA8GeD8AeA8AeE8Je6EJvhFZlBUhBGiBTjBfr?BVxB,v115@HhA8IeA8GeD8AeA8AeE8Je6EJvhFZlBFhB8mB+nBTj?BfrB,v115@HhA8IeA8GeD8AeA8AeE8Jex/IvhFylBGiBTjBfqBUn?BFrB,v115@HhA8IeA8GeD8AeA8AeE8JezBJvhFGjBRlB3nB0kBFr?BiqB
TSOLZJI,O,X,O,X,O,X
TSOJILZ,X,X,O,X,X,X
TSOJIZL,X,X,O,X,X,O
TSOJLIZ,O,X,O,X,X,X
TSOJLZI,O,X,O,X,X,X
TSOJZIL,O,X,O,X,X,X
TSOJZLI,O,X,O,X,X,X
TSOZILJ,O,X,O,X,O,X
TSOZIJL,O,X,O,X,O,X
TSOZLIJ,O,X,O,X,O,X
TSOZLJI,O,X,O,X,O,X
TSOZJIL,O,X,O,X,O,X
TSOZJLI,O,X,O,X,O,X
TZILJSO,X,X,X,X,X,X
TZILJOS,X,X,X,X,X,X
TZILSJO,O,X,X,X,X,X
TZILSOJ,O,X,X,X,X,X
TZILOJS,X,X,X,X,X,X
TZILOSJ,O,X,X,X,X,X
TZIJLSO,X,X,X,X,X,X
TZIJLOS,X,X,X,X,X,X
TZIJSLO,X,X,X,X,X,X
TZIJSOL,X,X,X,X,X,X
TZIJOLS,X,X,X,X,X,X
TZIJOSL,X,X,X,X,X,X
TZISLJO,O,X,X,X,X,X
TZISLOJ,O,X,X,X,X,X
TZISJLO,O,X,X,X,X,X
TZISJOL,O,X,X,X,X,X
TZISOLJ,O,X,X,X,X,X
TZISOJL,O,X,X,X,X,X
TZIOLJS,X,X,X,X,X,X
TZIOLSJ,O,X,X,X,X,X
TZIOJLS,X,X,X,X,X,X
TZIOJSL,X,X,X,X,X,X
TZIOSLJ,O,X,X,X,X,X
TZIOSJL,O,X,X,X,X,X
TZLIJSO,X,X,X,X,X,X
TZLIJOS,X,O,X,X,X,X
TZLISJO,O,X,X,X,X,X
TZLISOJ,O,X,X,X,X,X
TZLIOJS,X,O,X,X,X,X
TZLIOSJ,O,X,X,X,X,X
TZLJISO,X,X,X,X,X,X
TZLJIOS,X,O,X,X,X,X
TZLJSIO,X,X,X,X,X,X
TZLJSOI,X,X,X,X,X,X
TZLJOIS,X,O,X,X,X,X
TZLJOSI,X,O,X,X,X,X
TZLSIJO,O,X,X,X,X,X
TZLSIOJ,O,X,X,X,X,X
TZLSJIO,O,X,X,X,X,X
TZLSJOI,O,X,X,X,X,X
TZLSOIJ,O,X,X,X,X,X
TZLSOJI,O,X,X,X,X,X
TZLOIJS,X,O,X,X,X,X
TZLOISJ,O,X,X,X,X,X
TZLOJIS,X,O,X,X,X,X
TZLOJSI,X,O,X,X,X,X
TZLOSIJ,O,X,X,X,X,X
TZLOSJI,O,X,X,X,X,X
TZJILSO,X,X,X,X,X,X
TZJILOS,X,X,X,X,X,X
TZJISLO,X,X,X,X,X,X
TZJISOL,X,X,X,X,X,X
TZJIOLS,X,X,X,X,X,X
TZJIOSL,X,X,X,X,X,X
TZJLISO,X,X,X,X,X,X
TZJLIOS,X,O,X,X,X,X
TZJLSIO,X,X,X,X,X,X
TZJLSOI,X,X,X,X,X,X
TZJLOIS,X,O,X,X,X,X
TZJLOSI,X,O,X,X,X,X
TZJSILO,X,X,X,X,O,X
TZJSIOL,X,X,X,X,O,X
TZJSLIO,X,X,X,X,O,X
TZJSLOI,X,X,X,X,O,X
TZJSOIL,X,X,X,X,O,X
TZJSOLI,X,X,X,X,O,X
TZJOILS,X,X,X,X,X,X
TZJOISL,X,X,X,X,X,X
TZJOLIS,X,O,X,X,X,X
TZJOLSI,X,O,X,X,X,X
TZJOSIL,X,X,X,X,O,X
TZJOSLI,X,X,X,X,O,X
TZSILJO,O,X,X,X,O,X
TZSILOJ,O,X,X,X,O,X
TZSIJLO,O,X,X,X,O,X
TZSIJOL,O,X,X,X,O,X
TZSIOLJ,O,X,X,X,O,X
TZSIOJL,O,X,X,X,O,X
TZSLIJO,O,X,X,X,O,X
TZSLIOJ,O,X,X,X,O,X
TZSLJIO,O,X,X,X,O,X
TZSLJOI,O,X,X,X,O,X
TZSLOIJ,O,X,X,X,O,X
TZSLOJI,O,X,X,X,O,X
TZSJILO,O,X,X,X,O,X
TZSJIOL,O,X,X,X,O,X
TZSJLIO,O,X,X,X,O,X
TZSJLOI,O,X,X,X,O,X
TZSJOIL,O,X,X,X,O,X
TZSJOLI,O,X,X,X,O,X
TZSOILJ,O,X,X,X,O,X
TZSOIJL,O,X,X,X,O,X
TZSOLIJ,O,X,X,X,O,X
TZSOLJI,O,X,X,X,O,X
TZSOJIL,O,X,X,X,O,X
TZSOJLI,O,X,X,X,O,X
TZOILJS,X,X,X,X,X,X
TZOILSJ,O,X,X,X,X,X
TZOIJLS,X,X,X,X,X,X
TZOIJSL,X,X,X,X,X,X
TZOISLJ,O,X,X,X,X,X
TZOISJL,O,X,X,X,X,X
TZOLIJS,X,O,X,X,X,X
TZOLISJ,O,X,X,X,X,X
TZOLJIS,X,O,X,X,X,X
TZOLJSI,X,O,X,X,X,X
TZOLSIJ,O,X,X,X,X,X
TZOLSJI,O,X,X,X,X,X
TZOJILS,X,X,X,X,X,X
TZOJISL,X,X,X,X,X,X
TZOJLIS,X,O,X,X,X,X
TZOJLSI,X,O,X,X,X,X
TZOJSIL,X,X,X,X,O,X
TZOJSLI,X,X,X,X,O,X
TZOSILJ,O,X,X,X,O,X
TZOSIJL,O,X,X,X,O,X
TZOSLIJ,O,X,X,X,O,X
TZOSLJI,O,X,X,X,O,X
TZOSJIL,O,X,X,X,O,X
TZOSJLI,O,X,X,X,O,X
TOILJSZ,X,X,O,X,X,X
TOILJZS,X,X,X,X,X,X
TOILSJZ,X,X,O,X,X,X
TOILSZJ,X,X,O,X,X,X
TOILZJS,X,X,X,X,X,X
TOILZSJ,X,X,X,X,X,X
TOIJLSZ,X,X,O,X,X,X
TOIJLZS,X,X,X,X,X,X
TOIJSLZ,X,X,O,X,X,X
TOIJSZL,X,X,O,X,X,X
TOIJZLS,X,X,X,X,X,X
TOIJZSL,X,X,X,X,X,X
TOISLJZ,X,X,O,X,X,X
TOISLZJ,X,X,O,X,X,X
TOISJLZ,X,X,O,X,X,X
TOISJZL,X,X,O,X,X,X
TOISZLJ,X,X,O,X,X,X
TOISZJL,X,X,O,X,X,X
TOIZLJS,X,X,X,X,X,X
TOIZLSJ,X,X,X,X,X,X
TOIZJLS,X,X,X,X,X,X
TOIZJSL,X,X,X,X,X,X
TOIZSLJ,X,X,X,X,X,X
TOIZSJL,X,X,X,X,X,X
TOLIJSZ,X,X,O,X,X,X
TOLIJZS,X,O,X,X,X,X
TOLISJZ,O,X,O,X,X,X
TOLISZJ,X,X,O,X,X,X
TOLIZJS,X,O,X,X,X,X
TOLIZSJ,X,X,X,X,X,X
TOLJISZ,X,X,O,X,X,X
TOLJIZS,X,O,X,X,X,X
TOLJSIZ,X,X,O,X,X,X
TOLJSZI,X,X,O,X,X,X
TOLJZIS,X,O,X,X,X,X
TOLJZSI,X,O,X,X,X,X
TOLSIJZ,O,X,O,X,X,X
TOLSIZJ,X,X,O,X,X,X
TOLSJIZ,O,X,O,X,X,X
TOLSJZI,O,X,O,X,X,X
TOLSZIJ,O,X,O,X,X,X
TOLSZJI,O,X,O,X,X,X
TOLZIJS,X,O,X,X,X,X
TOLZISJ,O,X,X,X,X,X
TOLZJIS,X,O,X,X,X,X
TOLZJSI,X,O,X,X,X,X
TOLZSIJ,O,X,X,X,X,X
TOLZSJI,O,X,X,X,X,X
TOJILSZ,X,X,O,X,X,X
TOJILZS,X,X,X,X,X,X
TOJISLZ,X,X,O,X,X,X
