sequence,v115@5gB8HeB8GeE8DeF8CeG8JeNAJvhFGcBTeBZkB8lBfq?B6pB,v115@5gB8HeB8GeE8DeF8CeG8Je//IvhFRbBchBTeB6lBNp?BeqB,v115@5gB8HeB8GeE8DeF8CeG8Je2/IvhFRbBchBTeB9lBKp?BfqB,v115@5gB8HeB8GeE8DeF8CeG8JeR7IvhFchBTeB6lBOpBdq?B/pB,v115@5gB8HeB8GeE8DeF8CeG8Je06IvhFShBTeBxpBNpBml?BXqB,v115@5gB8HeB8GeE8DeF8CeG8JeO/IvhFxbBTeBXhBcpBNq?BCqB,v115@5gB8HeB8GeE8DeF8CeG8JedAJvhFCcBTeBZkBXhBWq?B0pB
TLIOJZS,X,X,X,O,O,X,X
TLIOSJZ,X,X,O,X,O,X,X
TLIOSZJ,X,X,O,X,O,X,X
TLIOZJS,X,X,X,O,O,X,X
TLIOZSJ,X,X,O,X,O,X,X
TLJISZO,X,O,X,X,X,X,X
TLJISOZ,X,O,X,X,X,X,X
TLJIZSO,X,O,X,O,X,X,X
TLJIZOS,X,O,X,O,X,X,X
TLJIOSZ,X,O,X,X,X,X,X
TLJIOZS,X,O,X,O,X,X,X
TLJSIZO,X,O,O,X,X,X,X
TLJSIOZ,X,O,O,X,X,X,X
TLJSZIO,X,O,O,O,X,X,X
TLJSZOI,X,O,O,O,X,X,X
TLJSOIZ,X,O,O,X,X,X,X
TLJSOZI,X,O,O,O,X,X,X
TLJZISO,X,O,X,O,X,X,X
TLJZIOS,X,O,X,O,X,X,X
TLJZSIO,X,O,O,O,X,X,X
TLJZSOI,X,O,O,O,X,X,X
TLJZOIS,X,O,X,O,X,X,X
TLJZOSI,X,O,O,O,X,X,X
TLJOISZ,X,O,X,X,X,X,X
TLJOIZS,X,O,X,O,X,X,X
TLJOSIZ,X,O,O,X,X,X,X
TLJOSZI,X,O,O,O,X,X,X
TLJOZIS,X,O,X,O,X,X,X
TLJOZSI,X,O,O,O,X,X,X
TLSIJZO,X,X,O,X,X,X,X
TLSIJOZ,X,X,O,X,X,X,X
TLSIZJO,X,X,O,X,X,O,X
TLSIZOJ,X,X,O,X,X,O,X
TLSIOJZ,X,X,O,X,X,X,X
TLSIOZJ,X,X,O,X,X,O,X
TLSJIZO,X,O,O,X,X,X,X
TLSJIOZ,X,O,O,X,X,X,X
TLSJZIO,X,O,O,O,X,X,X
TLSJZOI,X,O,O,O,X,X,X
TLSJOIZ,X,O,O,X,X,X,X
TLSJOZI,X,O,O,O,X,X,X
TLSZIJO,X,X,O,X,X,O,X
TLSZIOJ,X,O,O,X,X,O,X
TLSZJIO,X,O,O,O,X,O,X
TLSZJOI,X,O,O,O,X,O,X
TLSZOIJ,X,O,O,X,X,O,X
TLSZOJI,X,O,O,O,X,O,X
TLSOIJZ,X,X,O,X,X,X,X
TLSOIZJ,X,X,O,X,X,O,X
TLSOJIZ,X,O,O,X,X,X,X
TLSOJZI,X,O,O,O,X,X,X
TLSOZIJ,X,O,O,X,X,O,X
TLSOZJI,X,O,O,O,X,O,X
TLZIJSO,X,X,X,O,X,X,X
TLZIJOS,X,X,X,O,X,X,X
TLZISJO,X,X,O,X,X,X,X
TLZISOJ,X,X,O,X,X,X,X
TLZIOJS,X,X,X,O,X,X,X
TLZIOSJ,X,X,O,X,X,X,X
TLZJISO,X,O,X,O,X,X,X
TLZJIOS,X,O,X,O,X,X,X
TLZJSIO,X,O,O,O,X,O,X
TLZJSOI,X,O,O,O,X,O,X
TLZJOIS,X,O,X,O,X,X,X
TLZJOSI,X,O,O,O,X,O,X
TLZSIJO,X,X,O,X,X,O,X
TLZSIOJ,X,O,O,X,X,O,X
TLZSJIO,X,O,O,O,X,O,X
TLZSJOI,X,O,O,O,X,O,X
TLZSOIJ,X,O,O,X,X,O,X
TLZSOJI,X,O,O,O,X,O,X
TLZOIJS,X,X,X,O,X,X,X
TLZOISJ,X,X,O,X,X,X,X
TLZOJIS,X,O,X,O,X,X,X
TLZOJSI,X,O,O,O,X,O,X
TLZOSIJ,X,O,O,X,X,O,X
TLZOSJI,X,O,O,O,X,O,X
TLOIJSZ,X,X,X,X,O,X,X
TLOIJZS,X,X,X,O,O,X,X
TLOISJZ,X,X,O,X,O,X,X
TLOISZJ,X,X,O,X,O,X,X
TLOIZJS,X,X,X,O,O,X,X
TLOIZSJ,X,X,O,X,O,X,X
TLOJISZ,X,O,X,X,X,X,X
TLOJIZS,X,O,X,O,X,X,X
TLOJSIZ,X,O,O,X,X,X,X
TLOJSZI,X,O,O,O,X,X,X
TLOJZIS,X,O,X,O,X,X,X
TLOJZSI,X,O,O,O,X,X,X
TLOSIJZ,X,X,O,X,X,X,X
TLOSIZJ,X,X,O,X,X,O,X
TLOSJIZ,X,O,O,X,X,X,X
TLOSJZI,X,O,O,O,X,X,X
TLOSZIJ,X,O,O,X,X,O,X
TLOSZJI,X,O,O,O,X,O,X
TLOZIJS,X,X,X,O,X,X,X
TLOZISJ,X,X,O,X,X,X,X
TLOZJIS,X,O,X,O,X,X,X
TLOZJSI,X,O,O,O,X,O,X
TLOZSIJ,X,O,O,X,X,O,X
TLOZSJI,X,O,O,O,X,O,X
TJILSZO,X,O,X,X,X,X,O
TJILSOZ,X,O,X,X,X,X,O
TJILZSO,X,O,X,O,X,X,X
TJILZOS,X,O,X,O,X,X,X
TJILOSZ,X,O,X,X,X,X,O
TJILOZS,X,O,X,O,X,X,X
TJISLZO,X,O,X,X,X,X,O
TJISLOZ,X,O,X,X,X,X,O
TJISZLO,O,O,X,X,X,X,O
TJISZOL,O,O,X,X,X,X,O
TJISOLZ,X,O,X,X,X,X,O
TJISOZL,O,O,X,X,X,X,O
TJIZLSO,X,O,X,O,X,X,X
TJIZLOS,X,O,X,O,X,X,X
TJIZSLO,O,O,X,X,X,X,O
TJIZSOL,O,O,X,X,X,X,O
TJIZOLS,X,O,X,O,X,X,X
TJIZOSL,O,O,X,X,X,X,O
TJIOLSZ,X,O,X,X,X,X,O
TJIOLZS,X,O,X,O,X,X,X
TJIOSLZ,X,O,X,X,X,X,O
TJIOSZL,O,O,X,X,X,X,O
TJIOZLS,X,O,X,O,X,X,X
TJIOZSL,O,O,X,X,X,X,O
TJLISZO,X,O,X,X,X,X,O
TJLISOZ,X,O,X,X,X,X,O
TJLIZSO,X,O,X,O,X,X,X
TJLIZOS,X,O,X,O,X,X,X
TJLIOSZ,X,O,X,X,X,X,O
TJLIOZS,X,O,X,O,X,X,X
TJLSIZO,X,O,O,X,X,X,O
TJLSIOZ,X,O,O,X,X,X,O
TJLSZIO,X,O,O,O,X,X,O
TJLSZOI,X,O,O,O,X,X,O
TJLSOIZ,X,O,O,X,X,X,O
TJLSOZI,X,O,O,O,X,X,O
TJLZISO,X,O,X,O,X,X,X
TJLZIOS,X,O,X,O,X,X,X
TJLZSIO,X,O,O,O,X,X,X
TJLZSOI,X,O,O,O,X,X,X
TJLZOIS,X,O,X,O,X,X,X
TJLZOSI,X,O,O,O,X,X,X
TJLOISZ,X,O,X,X,X,X,O
TJLOIZS,X,O,X,O,X,X,X
TJLOSIZ,X,O,O,X,X,X,O
TJLOSZI,X,O,O,O,X,X,O
TJLOZIS,X,O,X,O,X,X,X
TJLOZSI,X,O,O,O,X,X,X
TJSILZO,X,O,X,X,X,X,O
TJSILOZ,X,O,X,X,X,X,O
TJSIZLO,O,O,X,X,X,O,O
TJSIZOL,O,O,X,X,X,O,O
TJSIOLZ,X,O,X,X,X,X,O
TJSIOZL,O,O,X,X,X,O,O
TJSLIZO,X,O,X,X,X,X,O
TJSLIOZ,X,O,X,X,X,X,O
TJSLZIO,X,O,X,O,X,X,O
TJSLZOI,X,O,X,O,X,X,O
TJSLOIZ,X,O,X,X,X,X,O
TJSLOZI,X,O,X,O,X,X,O
TJSZILO,O,O,X,X,X,O,O
TJSZIOL,O,O,X,X,X,O,O
TJSZLIO,O,O,X,O,X,O,O
TJSZLOI,O,O,X,O,X,O,O
TJSZOIL,O,O,X,X,X,O,O
TJSZOLI,O,O,X,O,X,O,O
TJSOILZ,X,O,X,X,X,X,O
TJSOIZL,O,O,X,X,X,O,O
TJSOLIZ,X,O,X,X,X,X,O
TJSOLZI,X,O,X,O,X,X,O
TJSOZIL,O,O,X,X,X,O,O
TJSOZLI,O,O,X,O,X,O,O
TJZILSO,X,O,X,O,X,X,X
TJZILOS,X,O,X,O,X,X,X
TJZISLO,O,O,X,X,X,O,O
TJZISOL,O,O,X,X,X,O,O
TJZIOLS,X,O,X,O,X,X,X
TJZIOSL,O,O,X,X,X,O,O
TJZLISO,X,O,X,O,X,X,X
TJZLIOS,X,O,X,O,X,X,X
TJZLSIO,O,O,O,O,X,O,X
TJZLSOI,O,O,O,O,X,O,X
TJZLOIS,X,O,X,O,X,X,X
TJZLOSI,O,O,O,O,X,O,X
TJZSILO,O,O,X,X,X,O,O
TJZSIOL,O,O,X,X,X,O,O
TJZSLIO,O,O,X,O,X,O,O
TJZSLOI,O,O,X,O,X,O,O
TJZSOIL,O,O,X,X,X,O,O
TJZSOLI,O,O,X,O,X,O,O
TJZOILS,X,O,X,O,X,X,X
TJZOISL,O,O,X,X,X,O,O
TJZOLIS,X,O,X,O,X,X,X
TJZOLSI,O,O,O,O,X,O,X
TJZOSIL,O,O,X,X,X,O,O
TJZOSLI,O,O,X,O,X,O,O
TJOILSZ,X,O,X,X,X,X,O
TJOILZS,X,O,X,O,X,X,X
TJOISLZ,X,O,X,X,X,X,O
TJOISZL,O,O,X,X,X,X,O
TJOIZLS,X,O,X,O,X,X,X
TJOIZSL,O,O,X,X,X,X,O
TJOLISZ,X,O,X,X,X,X,O
TJOLIZS,X,O,X,O,X,X,X
TJOLSIZ,X,O,O,X,X,X,O
TJOLSZI,X,O,O,O,X,X,O
TJOLZIS,X,O,X,O,X,X,X
TJOLZSI,X,O,O,O,X,X,X
TJOSILZ,X,O,X,X,X,X,O
TJOSIZL,O,O,X,X,X,O,O
TJOSLIZ,X,O,X,X,X,X,O
TJOSLZI,X,O,X,O,X,X,O
TJOSZIL,O,O,X,X,X,O,O
TJOSZLI,O,O,X,O,X,O,O
TJOZILS,X,O,X,O,X,X,X
TJOZISL,O,O,X,X,X,O,O
TJOZLIS,X,O,X,O,X,X,X
TJOZLSI,O,O,O,O,X,O,X
TJOZSIL,O,O,X,X,X,O,O
TJOZSLI,O,O,X,O,X,O,O
TSILJZO,X,X,X,X,X,X,O
TSILJOZ,X,X,X,X,X,X,O
TSILZJO,O,X,X,X,X,O,X
TSILZOJ,O,X,X,X,X,O,X
TSILOJZ,X,X,X,X,X,X,O
TSILOZJ,O,X,X,X,X,O,X
TSIJLZO,X,O,X,X,X,X,O
TSIJLOZ,X,O,X,X,X,X,O
TSIJZLO,O,O,X,X,X,O,O
TSIJZOL,O,O,X,X,X,O,O
TSIJOLZ,X,O,X,X,X,X,O
TSIJOZL,O,O,X,X,X,O,O
TSIZLJO,O,X,X,X,X,O,X
TSIZLOJ,O,O,X,X,X,O,X
TSIZJLO,O,O,X,X,X,O,X
TSIZJOL,O,O,X,X,X,O,X
TSIZOLJ,O,O,X,X,X,O,X
TSIZOJL,O,O,X,X,X,O,X
TSIOLJZ,X,X,X,X,X,X,O
TSIOLZJ,O,X,X,X,X,O,X
TSIOJLZ,X,O,X,X,X,X,O
TSIOJZL,O,O,X,X,X,O,O
TSIOZLJ,O,O,X,X,X,O,X
TSIOZJL,O,O,X,X,X,O,X
TSLIJZO,X,X,O,X,X,X,O
TSLIJOZ,X,X,O,X,X,X,O
TSLIZJO,O,X,O,X,X,O,X
TSLIZOJ,O,X,O,X,X,O,X
TSLIOJZ,X,X,O,X,X,X,O
TSLIOZJ,O,X,O,X,X,O,X
TSLJIZO,X,O,O,X,X,X,O
TSLJIOZ,X,O,O,X,X,X,O
TSLJZIO,X,O,O,O,X,X,O
TSLJZOI,X,O,O,O,X,X,O
TSLJOIZ,X,O,O,X,X,X,O
TSLJOZI,X,O,O,O,X,X,O
TSLZIJO,O,X,O,X,X,O,X
TSLZIOJ,O,O,O,X,X,O,X
TSLZJIO,O,O,O,O,X,O,X
TSLZJOI,O,O,O,O,X,O,X
TSLZOIJ,O,O,O,X,X,O,X
TSLZOJI,O,O,O,O,X,O,X
TSLOIJZ,X,X,O,X,X,X,O
TSLOIZJ,O,X,O,X,X,O,X
TSLOJIZ,X,O,O,X,X,X,O
TSLOJZI,X,O,O,O,X,X,O
TSLOZIJ,O,O,O,X,X,O,X
TSLOZJI,O,O,O,O,X,O,X
TSJILZO,X,O,X,X,X,X,O
TSJILOZ,X,O,X,X,X,X,O
TSJIZLO,O,O,X,X,X,O,O
TSJIZOL,O,O,X,X,X,O,O
TSJIOLZ,X,O,X,X,X,X,O
TSJIOZL,O,O,X,X,X,O,O
TSJLIZO,X,O,X,X,X,X,O
TSJLIOZ,X,O,X,X,X,X,O
TSJLZIO,X,O,X,O,X,X,O
TSJLZOI,X,O,X,O,X,X,O
TSJLOIZ,X,O,X,X,X,X,O
TSJLOZI,X,O,X,O,X,X,O
TSJZILO,O,O,X,X,X,O,O
TSJZIOL,O,O,X,X,X,O,O
TSJZLIO,O,O,X,O,X,O,O
TSJZLOI,O,O,X,O,X,O,O
TSJZOIL,O,O,X,X,X,O,O
TSJZOLI,O,O,X,O,X,O,O
TSJOILZ,X,O,X,X,X,X,O
TSJOIZL,O,O,X,X,X,O,O
TSJOLIZ,X,O,X,X,X,X,O
TSJOLZI,X,O,X,O,X,X,O
TSJOZIL,O,O,X,X,X,O,O
TSJOZLI,O,O,X,O,X,O,O
TSZILJO,O,X,X,X,X,O,X
TSZILOJ,O,O,X,X,X,O,X
TSZIJLO,O,O,X,X,X,O,X
TSZIJOL,O,O,X,X,X,O,X
TSZIOLJ,O,O,X,X,X,O,X
TSZIOJL,O,O,X,X,X,O,X
TSZLIJO,O,X,O,X,X,O,X
TSZLIOJ,O,O,O,X,X,O,X
TSZLJIO,O,O,O,O,X,O,X
TSZLJOI,O,O,O,O,X,O,X
TSZLOIJ,O,O,O,X,X,O,X
TSZLOJI,O,O,O,O,X,O,X
TSZJILO,O,O,X,X,X,O,X
TSZJIOL,O,O,X,X,X,O,X
TSZJLIO,O,O,X,O,X,O,X
TSZJLOI,O,O,X,O,X,O,X
TSZJOIL,O,O,X,X,X,O,X
TSZJOLI,O,O,X,O,X,O,X
TSZOILJ,O,O,X,X,X,O,X
TSZOIJL,O,O,X,X,X,O,X
TSZOLIJ,O,O,O,X,X,O,X
TSZOLJI,O,O,O,O,X,O,X
TSZOJIL,O,O,X,X,X,O,X
TSZOJLI,O,O,X,O,X,O,X
TSOILJZ,X,X,X,X,X,X,O
TSOILZJ,O,X,X,X,X,O,X
TSOIJLZ,X,O,X,X,X,X,O
TSOIJZL,O,O,X,X,X,O,O
TSOIZLJ,O,O,X,X,X,O,X
TSOIZJL,O,O,X,X,X,O,X
TSOLIJZ,X,X,O,X,X,X,O
TSOLIZJ,O,X,O,X,X,O,X
TSOLJIZ,X,O,O,X,X,X,O
TSOLJZI,X,O,O,O,X,X,O
TSOLZIJ,O,O,O,X,X,O,X
TSOLZJI,O,O,O,O,X,O,X
TSOJILZ,X,O,X,X,X,X,O
TSOJIZL,O,O,X,X,X,O,O
TSOJLIZ,X,O,X,X,X,X,O
TSOJLZI,X,O,X,O,X,X,O
TSOJZIL,O,O,X,X,X,O,O
TSOJZLI,O,O,X,O,X,O,O
TSOZILJ,O,O,X,X,X,O,X
TSOZIJL,O,O,X,X,X,O,X
TSOZLIJ,O,O,O,X,X,O,X
TSOZLJI,O,O,O,O,X,O,X
TSOZJIL,O,O,X,X,X,O,X
TSOZJLI,O,O,X,O,X,O,X
TZILJSO,X,X,X,O,X,X,X
TZILJOS,X,X,X,O,X,X,X
TZILSJO,X,X,O,X,X,X,X
TZILSOJ,X,X,O,X,X,X,X
TZILOJS,X,X,X,O,X,X,X
TZILOSJ,X,X,O,X,X,X,X
TZIJLSO,X,O,X,O,X,X,X
TZIJLOS,X,O,X,O,X,X,X
TZIJSLO,O,O,X,X,X,O,X
TZIJSOL,O,O,X,X,X,O,X
TZIJOLS,X,O,X,O,X,X,X
TZIJOSL,O,O,X,X,X,O,X
TZISLJO,O,X,X,X,X,O,X
TZISLOJ,O,O,X,X,X,O,X
TZISJLO,O,O,X,X,X,O,X
TZISJOL,O,O,X,X,X,O,X
TZISOLJ,O,O,X,X,X,O,X
TZISOJL,O,O,X,X,X,O,X
TZIOLJS,X,X,X,O,X,X,X
TZIOLSJ,X,X,O,X,X,X,X
TZIOJLS,X,O,X,O,X,X,X
TZIOJSL,O,O,X,X,X,O,X
TZIOSLJ,O,O,X,X,X,O,X
TZIOSJL,O,O,X,X,X,O,X
TZLIJSO,X,X,X,O,X,X,X
TZLIJOS,X,X,X,O,X,X,X
TZLISJO,X,X,O,X,X,X,X
TZLISOJ,X,X,O,X,X,X,X
TZLIOJS,X,X,X,O,X,X,X
TZLIOSJ,X,X,O,X,X,X,X
TZLJISO,X,O,X,O,X,X,X
TZLJIOS,X,O,X,O,X,X,X
TZLJSIO,O,O,O,O,X,O,X
TZLJSOI,O,O,O,O,X,O,X
TZLJOIS,X,O,X,O,X,X,X
TZLJOSI,O,O,O,O,X,O,X
TZLSIJO,O,X,O,X,X,O,X
TZLSIOJ,O,O,O,X,X,O,X
TZLSJIO,O,O,O,O,X,O,X
TZLSJOI,O,O,O,O,X,O,X
TZLSOIJ,O,O,O,X,X,O,X
TZLSOJI,O,O,O,O,X,O,X
TZLOIJS,X,X,X,O,X,X,X
TZLOISJ,X,X,O,X,X,X,X
TZLOJIS,X,O,X,O,X,X,X
TZLOJSI,O,O,O,O,X,O,X
TZLOSIJ,O,O,O,X,X,O,X
TZLOSJI,O,O,O,O,X,O,X
TZJILSO,X,O,X,O,X,X,X
TZJILOS,X,O,X,O,X,X,X
TZJISLO,O,O,X,X,X,O,X
TZJISOL,O,O,X,X,X,O,X
TZJIOLS,X,O,X,O,X,X,X
TZJIOSL,O,O,X,X,X,O,X
TZJLISO,X,O,X,O,X,X,X
TZJLIOS,X,O,X,O,X,X,X
TZJLSIO,O,O,O,O,X,O,X
TZJLSOI,O,O,O,O,X,O,X
TZJLOIS,X,O,X,O,X,X,X
TZJLOSI,O,O,O,O,X,O,X
TZJSILO,O,O,X,X,X,O,X
TZJSIOL,O,O,X,X,X,O,X
TZJSLIO,O,O,X,O,X,O,X
TZJSLOI,O,O,X,O,X,O,X
TZJSOIL,O,O,X,X,X,O,X
TZJSOLI,O,O,X,O,X,O,X
TZJOILS,X,O,X,O,X,X,X
TZJOISL,O,O,X,X,X,O,X
TZJOLIS,X,O,X,O,X,X,X
TZJOLSI,O,O,O,O,X,O,X
TZJOSIL,O,O,X,X,X,O,X
TZJOSLI,O,O,X,O,X,O,X
TZSILJO,O,X,X,X,X,O,X
TZSILOJ,O,O,X,X,X,O,X
TZSIJLO,O,O,X,X,X,O,X
TZSIJOL,O,O,X,X,X,O,X
TZSIOLJ,O,O,X,X,X,O,X
TZSIOJL,O,O,X,X,X,O,X
TZSLIJO,O,X,O,X,X,O,X
TZSLIOJ,O,O,O,X,X,O,X
TZSLJIO,O,O,O,O,X,O,X
TZSLJOI,O,O,O,O,X,O,X
TZSLOIJ,O,O,O,X,X,O,X
TZSLOJI,O,O,O,O,X,O,X
TZSJILO,O,O,X,X,X,O,X
TZSJIOL,O,O,X,X,X,O,X
TZSJLIO,O,O,X,O,X,O,X
TZSJLOI,O,O,X,O,X,O,X
TZSJOIL,O,O,X,X,X,O,X
TZSJOLI,O,O,X,O,X,O,X
TZSOILJ,O,O,X,X,X,O,X
TZSOIJL,O,O,X,X,X,O,X
TZSOLIJ,O,O,O,X,X,O,X
TZSOLJI,O,O,O,O,X,O,X
TZSOJIL,O,O,X,X,X,O,X
TZSOJLI,O,O,X,O,X,O,X
TZOILJS,X,X,X,O,X,X,X
TZOILSJ,X,X,O,X,X,X,X
TZOIJLS,X,O,X,O,X,X,X
TZOIJSL,O,O,X,X,X,O,X
TZOISLJ,O,O,X,X,X,O,X
TZOISJL,O,O,X,X,X,O,X
TZOLIJS,X,X,X,O,X,X,X
TZOLISJ,X,X,O,X,X,X,X
TZOLJIS,X,O,X,O,X,X,X
TZOLJSI,O,O,O,O,X,O,X
TZOLSIJ,O,O,O,X,X,O,X
TZOLSJI,O,O,O,O,X,O,X
TZOJILS,X,O,X,O,X,X,X
TZOJISL,O,O,X,X,X,O,X
TZOJLIS,X,O,X,O,X,X,X
TZOJLSI,O,O,O,O,X,O,X
TZOJSIL,O,O,X,X,X,O,X
TZOJSLI,O,O,X,O,X,O,X
TZOSILJ,O,O,X,X,X,O,X
TZOSIJL,O,O,X,X,X,O,X
TZOSLIJ,O,O,O,X,X,O,X
TZOSLJI,O,O,O,O,X,O,X
TZOSJIL,O,O,X,X,X,O,X
TZOSJLI,O,O,X,O,X,O,X
TOILJSZ,X,X,X,X,O,X,X
TOILJZS,X,X,X,O,O,X,X
