sequence,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jex7IvhFyh?BGeBTgBUjBXmBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Je2AJvhFRc?BCeB3hBTjB0lBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jex7IvhF8h?BfjB6jBTgBemBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8JeOAJvhF8g?BCdBxiBTjBXmBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jei7IvhFWj?BRhB3hBTjB0lBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jex7IvhF8h?BWjB/lBamBTjBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jei7IvhFzd?B+jBRhB3hB0lBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8JeT7IvhFyh?BGeBUjBxlBXmBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jem7IvhFzc?BfjB6jBxlB0lBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8JeX8IvhFxd?B2lBCiBTjB0lBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Je07IvhFxd?B2lBCiBTjBXmBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jem8IvhFSj?BxgBTgBUjBXmBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jez8IvhFGe?BUjBxlB/lBamBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8JeyAJvhFzc?BxlBXoBGoB0lBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8JeT7IvhFmc?BUjBxlBXmBStBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8JeC9IvhF/l?BUhBxiBTjBmlBFtB
TIJLSOZ,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X
TIJLZSO,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJLZOS,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X
TIJLOSZ,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TIJLOZS,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TIJSLZO,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X
TIJSLOZ,X,X,O,X,O,X,O,X,O,O,X,O,X,X,X,X
TIJSZLO,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X,O
TIJSZOL,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIJSOLZ,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X
TIJSOZL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJZLSO,X,X,O,X,O,X,O,O,X,X,X,X,O,X,O,X
TIJZLOS,X,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X
TIJZSLO,X,X,O,X,O,O,O,O,O,X,X,X,O,X,O,X
TIJZSOL,X,X,O,X,X,X,O,O,O,X,X,X,O,X,O,X
TIJZOLS,X,X,O,X,O,X,O,O,X,X,O,X,O,X,X,X
TIJZOSL,X,X,O,X,X,X,O,O,O,X,O,X,O,X,X,X
TIJOLSZ,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TIJOLZS,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TIJOSLZ,X,X,O,X,X,X,O,X,O,O,O,X,X,X,X,X
TIJOSZL,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TIJOZLS,X,X,O,X,X,X,O,O,X,O,O,X,O,X,X,X
TIJOZSL,X,X,O,X,X,X,O,O,O,X,O,X,O,X,X,X
TISLJZO,O,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X
TISLJOZ,X,O,O,X,O,X,O,X,O,X,X,O,X,O,X,X
TISLZJO,O,O,O,O,X,O,X,O,O,X,X,O,X,X,X,O
TISLZOJ,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O
TISLOJZ,O,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X
TISLOZJ,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TISJLZO,X,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X
TISJLOZ,X,O,O,X,O,X,O,X,O,X,X,O,X,O,X,X
TISJZLO,X,O,O,O,X,O,X,X,O,X,X,O,X,X,X,O
TISJZOL,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TISJOLZ,X,O,O,X,X,X,O,X,O,X,X,O,X,O,X,X
TISJOZL,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TISZLJO,O,O,O,O,X,O,X,O,O,X,X,O,O,X,X,O
TISZLOJ,O,O,O,O,X,O,X,O,O,X,X,X,O,X,X,O
TISZJLO,O,O,O,O,X,O,X,O,O,X,X,O,O,X,X,O
TISZJOL,O,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X
TISZOLJ,O,O,O,O,X,X,X,O,O,X,X,X,O,X,X,O
TISZOJL,O,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X
TISOLJZ,O,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X
TISOLZJ,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TISOJLZ,O,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X
TISOJZL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TISOZLJ,O,O,X,O,X,X,X,O,O,X,X,X,O,X,X,O
TISOZJL,O,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X
TIZLJSO,O,O,X,X,O,X,O,O,X,X,X,X,O,X,O,X
TIZLJOS,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X
TIZLSJO,O,O,O,O,O,X,O,O,X,X,X,X,O,X,O,X
TIZLSOJ,O,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TIZLOJS,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X
TIZLOSJ,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TIZJLSO,O,O,O,X,O,X,O,O,X,X,X,X,O,X,O,X
TIZJLOS,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X
TIZJSLO,O,O,O,X,O,O,O,O,O,X,X,X,O,X,O,X
TIZJSOL,O,O,O,X,X,X,O,O,O,X,X,X,O,X,O,X
TIZJOLS,O,O,O,X,O,X,O,O,X,X,X,X,O,X,X,X
TIZJOSL,O,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X
TIZSLJO,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O
TIZSLOJ,O,O,O,O,X,O,X,O,O,X,X,X,O,X,O,O
TIZSJLO,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O
TIZSJOL,O,O,O,O,X,X,O,O,O,X,X,X,O,X,O,X
TIZSOLJ,O,O,O,O,X,X,X,O,O,X,X,X,O,X,O,O
TIZSOJL,O,O,X,O,X,X,X,O,O,X,X,X,O,X,O,X
TIZOLJS,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X
TIZOLSJ,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TIZOJLS,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X
TIZOJSL,O,O,X,X,X,X,O,O,O,X,X,X,O,X,X,X
TIZOSLJ,O,O,O,X,X,X,X,O,O,X,X,X,O,X,X,X
TIZOSJL,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X
TIOLJSZ,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TIOLJZS,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TIOLSJZ,X,O,X,X,X,X,X,X,O,O,O,X,X,O,X,X
TIOLSZJ,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TIOLZJS,O,O,X,X,X,X,X,O,X,O,O,X,O,X,X,X
TIOLZSJ,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TIOJLSZ,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TIOJLZS,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TIOJSLZ,X,X,O,X,X,X,O,X,O,O,O,X,X,X,X,X
TIOJSZL,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TIOJZLS,O,X,O,X,X,X,O,O,X,O,O,X,O,X,X,X
TIOJZSL,O,X,O,X,X,X,X,O,O,X,O,X,O,X,X,X
TIOSLJZ,X,O,O,X,X,X,X,X,O,O,O,X,X,O,X,X
TIOSLZJ,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TIOSJLZ,X,O,O,X,X,X,X,X,O,O,O,X,X,O,X,X
TIOSJZL,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TIOSZLJ,O,O,X,O,X,X,X,O,O,X,X,X,O,X,X,O
TIOSZJL,O,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X
TIOZLJS,O,O,X,X,X,X,X,O,X,O,O,X,O,X,X,X
TIOZLSJ,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TIOZJLS,O,O,X,X,X,X,X,O,X,O,O,X,O,X,X,X
TIOZJSL,O,O,X,X,X,X,X,O,O,X,O,X,O,X,X,X
TIOZSLJ,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X
TIOZSJL,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X
TLIJSZO,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X
TLIJSOZ,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X
TLIJZSO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIJZOS,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X
TLIJOSZ,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TLIJOZS,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TLISJZO,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X
TLISJOZ,X,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X
TLISZJO,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X,O
TLISZOJ,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O
TLISOJZ,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X
TLISOZJ,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TLIZJSO,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TLIZJOS,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X
TLIZSJO,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X
TLIZSOJ,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X
TLIZOJS,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TLIZOSJ,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TLIOJSZ,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TLIOJZS,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TLIOSJZ,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TLIOSZJ,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TLIOZJS,O,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X
TLIOZSJ,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TLJISZO,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLJISOZ,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X
TLJIZSO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJIZOS,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X
TLJIOSZ,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X
TLJIOZS,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TLJSIZO,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TLJSIOZ,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLJSZIO,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TLJSZOI,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
TLJSOIZ,O,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X
TLJSOZI,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X
TLJZISO,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TLJZIOS,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X
TLJZSIO,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
TLJZSOI,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X
TLJZOIS,O,O,O,X,O,X,O,O,X,O,O,X,X,X,X,X
TLJZOSI,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
TLJOISZ,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TLJOIZS,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TLJOSIZ,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X
TLJOSZI,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TLJOZIS,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
TLJOZSI,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
TLSIJZO,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X
TLSIJOZ,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X
TLSIZJO,O,O,O,O,X,O,X,O,O,X,X,O,X,X,X,O
TLSIZOJ,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O
TLSIOJZ,O,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X
TLSIOZJ,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TLSJIZO,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X
TLSJIOZ,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X
TLSJZIO,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
TLSJZOI,O,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X
TLSJOIZ,O,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X
TLSJOZI,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
TLSZIJO,O,O,O,O,X,O,X,O,O,X,X,O,X,X,X,O
TLSZIOJ,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O
TLSZJIO,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,O
TLSZJOI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
TLSZOIJ,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O
TLSZOJI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
TLSOIJZ,O,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X
TLSOIZJ,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X
TLSOJIZ,O,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X
TLSOJZI,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
TLSOZIJ,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X
TLSOZJI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
TLZIJSO,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X
TLZIJOS,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X
TLZISJO,O,O,O,X,O,X,O,O,X,X,X,X,O,X,X,X
TLZISOJ,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
TLZIOJS,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X
TLZIOSJ,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TLZJISO,O,O,O,X,O,X,O,O,X,X,X,X,O,X,X,X
TLZJIOS,O,O,X,X,O,X,O,O,X,X,O,X,O,X,X,X
TLZJSIO,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
TLZJSOI,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X
TLZJOIS,O,O,O,X,O,X,O,O,X,O,O,X,O,X,X,X
TLZJOSI,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
TLZSIJO,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
TLZSIOJ,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLZSJIO,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
TLZSJOI,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
TLZSOIJ,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLZSOJI,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLZOIJS,O,O,X,X,O,X,O,O,X,O,O,X,O,X,X,X
TLZOISJ,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TLZOJIS,O,O,X,X,O,X,O,O,X,O,O,X,O,X,X,X
TLZOJSI,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TLZOSIJ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZOSJI,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOIJSZ,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TLOIJZS,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X
TLOISJZ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TLOISZJ,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TLOIZJS,O,O,X,X,X,X,X,O,X,O,O,X,O,X,X,X
TLOIZSJ,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TLOJISZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLOJIZS,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLOJSIZ,X,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X
TLOJSZI,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TLOJZIS,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TLOJZSI,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TLOSIJZ,O,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X
TLOSIZJ,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TLOSJIZ,O,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X
TLOSJZI,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TLOSZIJ,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TLOSZJI,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOZIJS,O,O,X,X,X,X,X,O,X,O,O,X,O,X,X,X
TLOZISJ,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TLOZJIS,O,O,X,X,X,X,X,O,X,O,O,X,O,X,X,X
TLOZJSI,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLOZSIJ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOZSJI,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJILSZO,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X
TJILSOZ,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X
TJILZSO,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TJILZOS,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X
TJILOSZ,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TJILOZS,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TJISLZO,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X
TJISLOZ,X,X,O,X,O,X,O,X,O,O,X,O,X,X,X,X
TJISZLO,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X,O
TJISZOL,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TJISOLZ,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X
TJISOZL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TJIZLSO,X,X,O,X,O,X,O,O,X,X,X,X,O,X,O,X
TJIZLOS,X,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X
TJIZSLO,X,X,O,X,O,O,O,O,O,X,X,X,O,X,O,X
TJIZSOL,X,X,O,X,X,X,O,O,O,X,X,X,O,X,O,X
TJIZOLS,X,X,O,X,O,X,O,O,X,X,O,X,O,X,X,X
TJIZOSL,X,X,O,X,X,X,O,O,O,X,O,X,O,X,X,X
TJIOLSZ,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TJIOLZS,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TJIOSLZ,X,X,O,X,X,X,O,X,O,O,O,X,X,X,X,X
TJIOSZL,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TJIOZLS,X,X,O,X,X,X,O,O,X,O,O,X,O,X,X,X
TJIOZSL,X,X,O,X,X,X,O,O,O,X,O,X,O,X,X,X
TJLISZO,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJLISOZ,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X
TJLIZSO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TJLIZOS,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X
TJLIOSZ,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X
TJLIOZS,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TJLSIZO,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TJLSIOZ,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TJLSZIO,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TJLSZOI,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
TJLSOIZ,O,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X
TJLSOZI,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X
TJLZISO,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TJLZIOS,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X
TJLZSIO,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
TJLZSOI,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X
TJLZOIS,O,O,O,X,O,X,O,O,X,O,O,X,X,X,X,X
TJLZOSI,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
TJLOISZ,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TJLOIZS,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TJLOSIZ,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X
TJLOSZI,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TJLOZIS,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
TJLOZSI,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
TJSILZO,X,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X
TJSILOZ,X,O,O,X,O,X,O,X,O,O,X,O,X,X,X,X
TJSIZLO,X,O,O,O,X,O,X,X,O,X,X,O,X,X,X,O
TJSIZOL,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TJSIOLZ,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X
TJSIOZL,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TJSLIZO,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X
TJSLIOZ,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X
TJSLZIO,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
TJSLZOI,O,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X
