sequence,v115@zgB8HeC8GeB8HeD8DeH8AeC8Jex7IvhFOiB6jB3gBc?mBziBFsB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Jex7IvhFKiBzdB+jB3?gBcmBFsB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Je07IvhFxcBXeBzhBS?oBmlBFsB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Jex7IvhF6jB3gBcmBm?iBTiBFsB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Jex7IvhFyiB+jB3gBc?mBTiBFsB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Jex7IvhF6jB3gBFiB8?nBTmBOsB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Je07IvhFlcBCeB/nBT?jBxlBmrB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Jel7IvhF3cBciBTeBx?lBCoBmrB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Je07IvhFxcBTeBFiBm?lBfsBCtB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Je09IvhF6jBRhBTgBO?mBfsBlsB
TLOZJIS,O,O,O,X,X,X,X,O,O,X
TLOZJSI,O,O,O,O,X,O,X,O,O,X
TLOZSIJ,O,O,O,O,X,O,X,O,O,X
TLOZSJI,O,O,O,O,X,O,X,O,O,X
TJILSZO,O,X,O,X,X,X,O,O,X,X
TJILSOZ,O,O,O,X,X,X,O,O,X,X
TJILZSO,O,O,O,O,O,X,O,O,X,X
TJILZOS,O,O,O,X,X,X,X,O,X,X
TJILOSZ,O,O,O,X,X,X,X,O,X,X
TJILOZS,O,O,O,X,X,X,X,O,X,X
TJISLZO,O,X,X,X,X,X,O,O,X,X
TJISLOZ,O,O,X,X,X,X,O,O,X,X
TJISZLO,X,O,X,X,O,X,O,O,X,X
TJISZOL,X,O,X,X,O,X,O,O,X,X
TJISOLZ,O,X,X,X,X,X,O,X,X,X
TJISOZL,X,X,X,X,X,X,O,O,X,X
TJIZLSO,O,O,O,O,O,X,O,O,X,X
TJIZLOS,O,O,O,X,X,X,X,O,X,X
TJIZSLO,O,O,O,O,O,X,O,O,X,X
TJIZSOL,O,O,O,O,O,X,O,O,X,X
TJIZOLS,O,O,O,X,X,X,X,O,X,X
TJIZOSL,O,O,O,X,X,X,O,O,X,X
TJIOLSZ,O,O,O,X,X,X,X,O,X,X
TJIOLZS,O,O,O,X,X,X,X,O,X,X
TJIOSLZ,O,X,O,X,X,X,O,X,X,X
TJIOSZL,X,X,O,X,X,X,O,O,X,X
TJIOZLS,O,O,O,X,X,X,X,O,X,X
TJIOZSL,O,O,O,X,X,X,O,O,X,X
TJLISZO,O,X,O,X,X,X,X,O,X,X
TJLISOZ,O,O,O,X,X,X,X,O,X,X
TJLIZSO,O,O,O,O,O,X,X,O,X,X
TJLIZOS,O,O,O,X,X,X,X,O,X,X
TJLIOSZ,O,O,O,X,X,X,X,O,X,X
TJLIOZS,O,O,O,X,X,X,X,O,X,X
TJLSIZO,O,X,O,X,X,X,X,X,O,X
TJLSIOZ,O,O,O,X,X,X,X,X,O,X
TJLSZIO,O,O,O,O,O,X,X,O,O,X
TJLSZOI,O,O,O,O,O,X,X,O,O,X
TJLSOIZ,X,O,O,X,X,X,X,O,O,X
TJLSOZI,X,O,O,X,X,X,X,O,O,X
TJLZISO,O,O,O,O,O,X,X,O,X,X
TJLZIOS,O,O,O,X,X,X,X,O,O,X
TJLZSIO,O,O,O,O,O,X,X,O,O,X
TJLZSOI,O,O,O,O,O,X,X,O,O,X
TJLZOIS,O,O,O,X,X,X,X,O,O,X
TJLZOSI,O,O,O,O,O,X,X,O,O,X
TJLOISZ,O,O,O,X,X,X,X,O,X,X
TJLOIZS,O,O,O,X,X,X,X,O,X,X
TJLOSIZ,O,O,O,X,X,X,X,O,O,X
TJLOSZI,O,O,O,X,X,X,X,O,O,X
TJLOZIS,O,O,O,X,X,X,X,O,O,X
TJLOZSI,O,O,O,O,O,X,X,O,O,X
TJSILZO,O,X,X,X,X,X,O,O,O,X
TJSILOZ,O,O,X,X,X,X,X,O,O,X
TJSIZLO,X,O,X,X,O,X,O,O,O,X
TJSIZOL,X,O,X,X,O,X,O,O,O,X
TJSIOLZ,O,X,X,X,X,X,O,X,O,X
TJSIOZL,X,X,X,X,X,X,O,O,O,X
TJSLIZO,O,X,O,X,X,X,O,X,O,X
TJSLIOZ,O,O,O,X,X,X,X,X,O,X
TJSLZIO,O,O,O,O,O,X,O,O,O,X
TJSLZOI,O,O,O,O,O,X,O,O,O,X
TJSLOIZ,X,O,O,X,X,X,O,O,O,X
TJSLOZI,X,O,O,X,X,X,O,O,O,X
TJSZILO,O,O,O,O,O,X,O,O,O,X
TJSZIOL,O,O,O,O,O,X,O,O,O,X
TJSZLIO,O,O,O,O,O,X,O,O,O,X
TJSZLOI,O,O,O,O,O,X,O,O,O,X
TJSZOIL,O,O,O,O,O,X,O,X,O,X
TJSZOLI,O,O,O,O,O,X,O,O,O,X
TJSOILZ,O,X,O,X,X,X,O,X,O,X
TJSOIZL,X,X,O,X,X,X,O,X,O,X
TJSOLIZ,O,O,O,X,X,X,O,X,O,X
TJSOLZI,O,O,O,X,X,X,O,X,O,X
TJSOZIL,O,O,O,X,X,X,O,X,O,X
TJSOZLI,O,O,O,X,X,X,O,X,O,X
TJZILSO,O,O,O,O,O,X,O,O,X,X
TJZILOS,O,O,O,X,X,X,X,O,O,X
TJZISLO,O,O,O,O,O,X,O,O,O,X
TJZISOL,O,O,O,O,O,X,O,O,O,X
TJZIOLS,O,O,O,X,X,X,X,O,X,X
TJZIOSL,O,O,O,X,X,X,O,O,X,X
TJZLISO,O,O,O,O,O,X,O,O,X,X
TJZLIOS,O,O,O,X,X,X,X,O,O,X
TJZLSIO,O,O,O,O,O,X,O,O,O,X
TJZLSOI,O,O,O,O,O,X,O,O,O,X
TJZLOIS,O,O,O,X,X,X,X,O,O,X
TJZLOSI,O,O,O,O,O,X,X,O,O,X
TJZSILO,O,O,O,O,O,X,O,O,O,X
TJZSIOL,O,O,O,O,O,X,O,O,O,X
TJZSLIO,O,O,O,O,O,X,O,O,O,X
TJZSLOI,O,O,O,O,O,X,O,O,O,X
TJZSOIL,O,O,O,O,O,X,O,X,O,X
TJZSOLI,O,O,O,O,O,X,O,O,O,X
TJZOILS,O,O,O,X,X,X,X,O,X,X
TJZOISL,O,O,O,X,X,X,O,O,X,X
TJZOLIS,O,O,O,X,X,X,X,O,X,X
TJZOLSI,O,O,O,O,O,X,X,O,X,X
TJZOSIL,O,O,O,O,O,X,O,X,X,X
TJZOSLI,O,O,O,O,O,X,O,O,X,X
TJOILSZ,O,O,O,X,X,X,X,O,X,X
TJOILZS,O,O,O,X,X,X,X,O,X,X
TJOISLZ,O,X,O,X,X,X,O,X,X,X
TJOISZL,X,X,O,X,X,X,O,O,X,X
TJOIZLS,O,O,O,X,X,X,X,O,X,X
TJOIZSL,O,O,O,X,X,X,O,O,X,X
TJOLISZ,O,O,O,X,X,X,X,O,X,X
TJOLIZS,O,O,O,X,X,X,X,O,X,X
TJOLSIZ,O,O,O,X,X,X,X,O,X,X
TJOLSZI,O,O,O,X,X,X,X,O,X,X
TJOLZIS,O,O,O,X,X,X,X,O,X,X
TJOLZSI,O,O,O,O,O,X,X,O,X,X
TJOSILZ,O,X,O,X,X,X,O,X,X,X
TJOSIZL,X,X,O,X,X,X,O,X,X,X
TJOSLIZ,O,O,O,X,X,X,O,X,X,X
TJOSLZI,O,O,O,X,X,X,O,X,X,X
TJOSZIL,O,O,O,X,X,X,O,X,X,X
TJOSZLI,O,O,O,X,X,X,O,X,X,X
TJOZILS,O,O,O,X,X,X,X,O,X,X
TJOZISL,O,O,O,X,X,X,O,O,X,X
TJOZLIS,O,O,O,X,X,X,X,O,X,X
TJOZLSI,O,O,O,O,O,X,X,O,X,X
TJOZSIL,O,O,O,O,O,X,O,X,X,X
TJOZSLI,O,O,O,O,O,X,O,O,X,X
TSILJZO,O,X,X,X,X,X,O,O,O,O
TSILJOZ,O,O,X,X,X,X,X,O,O,X
TSILZJO,O,X,X,O,X,X,O,O,O,O
TSILZOJ,O,X,X,O,X,X,O,O,O,O
TSILOJZ,O,X,X,X,X,X,O,O,O,X
TSILOZJ,X,X,X,X,X,O,O,O,O,O
TSIJLZO,O,X,X,X,X,X,O,O,O,O
TSIJLOZ,O,O,X,X,X,X,X,O,O,X
TSIJZLO,X,O,X,X,O,X,O,O,O,O
TSIJZOL,X,O,X,X,O,X,O,O,O,X
TSIJOLZ,O,X,X,X,X,X,O,X,O,X
TSIJOZL,X,X,X,X,X,X,O,O,O,X
TSIZLJO,O,O,X,O,O,X,O,X,O,O
TSIZLOJ,O,O,X,O,X,X,O,X,O,O
TSIZJLO,O,O,X,O,O,X,O,O,O,O
TSIZJOL,O,O,X,O,O,X,O,O,X,X
TSIZOLJ,O,O,X,O,X,X,O,X,O,O
TSIZOJL,O,O,X,O,O,X,O,X,X,X
TSIOLJZ,O,X,X,X,X,X,O,X,O,X
TSIOLZJ,X,X,X,X,X,O,O,X,O,O
TSIOJLZ,O,X,X,X,X,X,O,X,X,X
TSIOJZL,X,X,X,X,X,X,O,O,X,X
TSIOZLJ,X,X,X,X,X,O,O,X,O,O
TSIOZJL,X,X,X,X,X,O,O,X,X,X
TSLIJZO,O,X,O,X,X,X,O,O,O,O
TSLIJOZ,O,O,X,X,X,X,X,O,O,X
TSLIZJO,O,X,O,O,X,X,O,O,O,O
TSLIZOJ,O,X,O,O,X,X,O,O,O,O
TSLIOJZ,O,X,O,X,X,X,X,O,O,X
TSLIOZJ,X,X,O,X,X,O,O,O,O,O
TSLJIZO,O,X,O,X,X,X,X,X,O,O
TSLJIOZ,O,O,X,X,X,X,X,X,O,X
TSLJZIO,O,O,O,O,X,X,X,O,O,O
TSLJZOI,O,O,O,O,X,X,O,O,O,X
TSLJOIZ,X,O,O,X,X,X,X,O,O,X
TSLJOZI,X,O,O,X,X,X,X,O,O,X
TSLZIJO,O,O,O,O,X,X,O,O,O,O
TSLZIOJ,O,O,O,O,X,O,O,O,O,O
TSLZJIO,O,O,O,O,X,X,O,O,O,O
TSLZJOI,O,O,O,O,X,O,O,O,O,X
TSLZOIJ,O,O,O,O,X,O,O,O,O,O
TSLZOJI,O,O,O,O,X,O,O,O,O,X
TSLOIJZ,O,X,O,X,X,X,X,O,O,X
TSLOIZJ,X,X,O,X,X,O,O,O,O,O
TSLOJIZ,O,X,O,X,X,X,X,O,O,X
TSLOJZI,O,X,O,X,X,X,O,O,O,X
TSLOZIJ,O,X,O,X,X,O,O,O,O,O
TSLOZJI,O,X,O,X,X,O,O,O,O,X
TSJILZO,O,X,X,X,X,X,X,O,O,O
TSJILOZ,O,O,X,X,X,X,X,O,O,X
TSJIZLO,X,O,X,X,O,X,X,O,O,O
TSJIZOL,X,O,X,X,O,X,X,O,O,X
TSJIOLZ,O,X,X,X,X,X,X,X,O,X
TSJIOZL,X,X,X,X,X,X,X,O,O,X
TSJLIZO,O,X,X,X,X,X,X,X,O,O
TSJLIOZ,O,O,X,X,X,X,X,X,O,X
TSJLZIO,O,O,X,O,O,X,X,O,O,O
TSJLZOI,O,O,X,O,O,X,O,O,O,X
TSJLOIZ,X,O,X,X,X,X,X,O,O,X
TSJLOZI,X,O,X,X,X,X,X,O,O,X
TSJZILO,O,O,X,O,O,X,X,O,O,O
TSJZIOL,O,O,X,O,O,X,X,O,O,X
TSJZLIO,O,O,X,O,O,X,X,O,O,O
TSJZLOI,O,O,X,O,O,X,O,O,O,X
TSJZOIL,O,O,X,O,O,X,X,X,O,X
TSJZOLI,O,O,X,O,O,X,O,O,O,X
TSJOILZ,O,X,X,X,X,X,X,X,O,X
TSJOIZL,X,X,X,X,X,X,X,X,O,X
TSJOLIZ,O,O,X,X,X,X,X,X,O,X
TSJOLZI,O,O,X,X,X,X,O,X,O,X
TSJOZIL,O,O,X,X,X,X,X,X,O,X
TSJOZLI,O,O,X,X,X,X,O,X,O,X
TSZILJO,O,O,O,O,O,X,O,X,O,O
TSZILOJ,O,O,O,O,X,O,O,X,O,O
TSZIJLO,O,O,X,O,O,X,O,X,O,O
TSZIJOL,O,O,X,O,O,X,O,X,X,X
TSZIOLJ,O,O,O,O,X,X,O,X,O,O
TSZIOJL,O,O,X,O,O,X,O,X,X,X
TSZLIJO,O,O,O,O,O,X,O,X,O,O
TSZLIOJ,O,O,O,O,X,O,O,X,O,O
TSZLJIO,O,O,O,O,O,X,O,X,O,O
TSZLJOI,O,O,O,O,O,O,O,X,O,X
TSZLOIJ,O,O,O,O,X,O,O,X,O,O
TSZLOJI,O,O,O,O,X,O,O,X,O,X
TSZJILO,O,O,X,O,O,X,O,X,O,O
TSZJIOL,O,O,X,O,O,X,O,X,O,X
TSZJLIO,O,O,X,O,O,X,O,X,O,O
TSZJLOI,O,O,X,O,O,O,O,X,O,X
TSZJOIL,O,O,X,O,O,X,O,X,O,X
TSZJOLI,O,O,X,O,O,X,O,X,O,X
TSZOILJ,O,O,O,O,X,O,O,X,O,O
TSZOIJL,O,O,X,O,O,O,O,X,X,X
TSZOLIJ,O,O,O,O,X,O,O,X,O,O
TSZOLJI,O,O,O,O,X,O,O,X,O,X
TSZOJIL,O,O,X,O,O,O,O,X,X,X
TSZOJLI,O,O,X,O,O,O,O,X,X,X
TSOILJZ,O,X,O,X,X,X,O,X,O,X
TSOILZJ,X,X,O,X,X,O,O,X,O,O
TSOIJLZ,O,X,X,X,X,X,O,X,X,X
