sequence,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeZ/IvhFufB3bBqiBT?eBllBUqB,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeZ/IvhFUbBGeBqkBz?iBllB3qB,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeZ/IvhF3bBGeBqkBz?iBllBUqB,v115@4gB8GeC8HeB8BeA8DeH8BeF8Jel6IvhF3bBuiBcjBK?kBRlBTqB,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeT6IvhFlbBuiBcjBy?kBxpB3qB,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeT6IvhFCeB0gBXjBx?pBmpBlqB,v115@4gB8GeC8HeB8BeA8DeH8BeF8Jel7IvhFGeBifBziB0?fBxpB3qB,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeZ/IvhFufBqiBTeB0?gBVqB3qB,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeG+IvhFxfBziB0kBl?lBikB3qB,v115@4gB8GeC8HeB8BeA8DeH8BeF8Jei6IvhFGeB1kB0gBz?iBxpB3qB,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeZ/IvhFUbBFjBGqBf?qBzqBCtB
TJZOLIS,X,X,X,X,X,X,X,O,O,X,X
TJZOLSI,X,X,X,X,X,X,X,O,X,X,X
TJZOSIL,X,X,X,X,X,X,X,X,O,X,X
TJZOSLI,X,X,X,X,X,X,X,X,X,X,X
TJOILSZ,X,O,O,X,X,X,O,O,X,X,X
TJOILZS,X,O,O,X,X,X,O,O,O,X,X
TJOISLZ,X,X,O,X,X,X,O,X,X,X,X
TJOISZL,X,X,X,X,X,X,O,X,O,X,O
TJOIZLS,X,X,X,X,X,X,O,O,O,X,X
TJOIZSL,X,X,X,X,X,X,O,X,O,X,X
TJOLISZ,X,O,O,X,X,X,O,O,X,X,X
TJOLIZS,X,O,O,X,X,X,O,O,O,X,X
TJOLSIZ,X,O,O,X,X,X,X,O,X,X,X
TJOLSZI,X,O,O,X,X,X,X,O,X,X,X
TJOLZIS,X,O,O,X,X,X,X,O,O,X,X
TJOLZSI,X,O,O,X,X,X,X,O,X,X,X
TJOSILZ,X,X,O,X,X,X,O,X,X,X,X
TJOSIZL,X,X,X,X,X,X,O,X,O,X,X
TJOSLIZ,X,O,O,X,X,X,X,X,X,X,X
TJOSLZI,X,O,O,X,X,X,X,X,X,X,X
TJOSZIL,X,X,X,X,X,X,X,X,O,X,X
TJOSZLI,X,X,O,X,X,X,X,X,X,X,X
TJOZILS,X,X,X,X,X,X,O,O,O,X,X
TJOZISL,X,X,X,X,X,X,O,X,O,X,X
TJOZLIS,X,O,O,X,X,X,X,O,O,X,X
TJOZLSI,X,O,O,X,X,X,X,O,X,X,X
TJOZSIL,X,X,X,X,X,X,X,X,O,X,X
TJOZSLI,X,X,O,X,X,X,X,X,X,X,X
TSILJZO,O,X,X,X,O,O,X,O,X,X,X
TSILJOZ,O,X,O,X,O,O,O,O,X,X,X
TSILZJO,O,X,X,X,O,O,X,O,X,X,X
TSILZOJ,O,X,O,X,O,X,O,O,X,X,X
TSILOJZ,O,X,O,X,O,X,O,O,X,X,X
TSILOZJ,O,X,O,X,O,X,O,O,X,X,X
TSIJLZO,O,X,X,X,O,O,X,O,X,X,O
TSIJLOZ,O,X,X,X,O,O,O,O,X,X,X
TSIJZLO,O,X,X,X,O,O,X,O,X,X,O
TSIJZOL,X,X,X,X,O,O,X,X,X,X,O
TSIJOLZ,O,X,X,X,X,O,O,X,X,X,X
TSIJOZL,X,X,X,X,X,O,O,X,X,X,O
TSIZLJO,O,X,X,X,O,O,X,O,X,X,X
TSIZLOJ,O,X,X,X,O,X,O,O,X,X,X
TSIZJLO,O,X,X,X,O,O,X,O,X,X,X
TSIZJOL,X,X,X,X,O,O,X,X,X,X,X
TSIZOLJ,X,X,X,X,O,X,O,X,X,X,X
TSIZOJL,X,X,X,X,O,X,O,X,X,X,X
TSIOLJZ,O,X,O,X,O,X,O,X,X,X,X
TSIOLZJ,O,X,O,X,O,X,O,X,X,X,X
TSIOJLZ,O,X,O,X,X,X,O,X,X,X,X
TSIOJZL,X,X,X,X,X,X,O,X,O,X,X
TSIOZLJ,X,X,X,X,O,X,O,X,X,X,X
TSIOZJL,X,X,X,X,O,X,O,X,X,X,X
TSLIJZO,O,X,X,O,X,O,X,O,X,X,X
TSLIJOZ,O,X,O,X,X,O,X,O,X,X,X
TSLIZJO,O,X,X,O,X,O,X,O,X,X,X
TSLIZOJ,O,O,O,O,X,X,X,O,X,X,X
TSLIOJZ,O,O,O,X,X,X,X,O,X,X,X
TSLIOZJ,O,O,O,O,X,X,X,O,X,X,X
TSLJIZO,O,X,X,X,X,X,X,O,X,X,X
TSLJIOZ,O,X,O,X,X,X,X,O,X,X,X
TSLJZIO,O,X,X,O,X,X,X,O,X,X,X
TSLJZOI,O,X,X,O,X,X,X,O,X,X,X
TSLJOIZ,O,X,O,X,X,X,X,O,X,X,X
TSLJOZI,O,X,O,X,X,X,X,O,X,X,X
TSLZIJO,O,X,X,O,X,O,X,O,X,X,X
TSLZIOJ,O,O,O,O,X,X,X,O,X,X,X
TSLZJIO,O,X,X,O,X,X,X,O,X,X,X
TSLZJOI,O,X,X,O,X,X,X,O,X,X,X
TSLZOIJ,O,O,O,X,X,X,X,O,X,X,X
TSLZOJI,O,O,O,O,X,X,X,O,X,X,X
TSLOIJZ,O,O,O,X,X,X,X,O,X,X,X
TSLOIZJ,O,O,O,X,X,X,X,O,X,X,X
TSLOJIZ,O,O,O,X,X,X,X,O,X,X,X
TSLOJZI,O,O,O,X,X,X,X,O,X,X,X
TSLOZIJ,O,O,O,X,X,X,X,O,X,X,X
TSLOZJI,O,O,O,O,X,X,X,O,X,X,X
TSJILZO,O,X,X,X,X,X,X,O,X,X,O
TSJILOZ,O,X,X,X,X,X,X,O,X,X,X
TSJIZLO,O,X,X,X,X,X,X,O,X,X,O
TSJIZOL,X,X,X,X,X,X,X,X,X,X,O
TSJIOLZ,O,X,X,X,X,X,X,X,X,X,X
TSJIOZL,X,X,X,X,X,X,X,X,X,X,O
TSJLIZO,O,X,X,X,X,X,X,O,X,X,X
TSJLIOZ,O,X,O,X,X,X,X,O,X,X,X
TSJLZIO,O,X,X,X,X,X,X,O,X,X,X
TSJLZOI,O,X,X,X,X,X,X,O,X,X,X
TSJLOIZ,O,X,O,X,X,X,X,O,X,X,X
TSJLOZI,O,X,O,X,X,X,X,O,X,X,X
TSJZILO,O,X,X,X,X,X,X,O,X,X,X
TSJZIOL,X,X,X,X,X,X,X,X,X,X,X
TSJZLIO,O,X,X,X,X,X,X,O,X,X,X
TSJZLOI,O,X,X,X,X,X,X,O,X,X,X
TSJZOIL,X,X,X,X,X,X,X,X,X,X,X
