sequence,v115@7gB8HeF8BeE8EeD8EeE8Jem6IvhFfhB6hBTiB0kBFr?BxuB,v115@7gB8HeF8BeE8EeD8EeE8Jey/IvhFzbBGdB3hB0kBFr?BxuB,v115@7gB8HeF8BeE8EeD8EeE8JeG8IvhFTdBUhB/kBalBFr?BxuB,v115@7gB8HeF8BeE8EeD8EeE8JeF7IvhFTdBUhB/kB6mBmq?BxuB,v115@7gB8HeF8BeE8EeD8EeE8Jex6IvhFygBGdB3hBUqBFr?BTpB,v115@7gB8HeF8BeE8EeD8EeE8JeT6IvhF0bBxcBCiBVrB3p?B2vB,v115@7gB8HeF8BeE8EeD8EeE8JeT6IvhFSiBUhBelBfrBlm?BxuB,v115@7gB8HeF8BeE8EeD8EeE8JeT6IvhF0bBxcBOrB/qBCn?B1uB,v115@7gB8HeF8BeE8EeD8EeE8Jem6IvhFfhBxcBCiBUqBFr?BTpB,v115@7gB8HeF8BeE8EeD8EeE8Je07IvhFGdB3hBlkBxqBTp?ByvB,v115@7gB8HeF8BeE8EeD8EeE8Je2/IvhFSiBUhBzkBfrBlm?BxuB,v115@7gB8HeF8BeE8EeD8EeE8JeF7IvhF5hBTdBerB/kB8l?ByuB,v115@7gB8HeF8BeE8EeD8EeE8JeT6IvhFygBGdB3hB1uBxq?B0qB,v115@7gB8HeF8BeE8EeD8EeE8Jex6IvhFTdBUhBmkBSrB1u?BXrB,v115@7gB8HeF8BeE8EeD8EeE8Jem7IvhFSiBxfB3hBUqBFr?BTpB,v115@7gB8HeF8BeE8EeD8EeE8Je07IvhFxcBXmBlkBCnB2v?BTpB,v115@7gB8HeF8BeE8EeD8EeE8Jem6IvhF6hBTdBVrB0kBfr?BxuB
TISOJLZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISOJZL,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TISOZLJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISOZJL,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TIZLJSO,X,O,O,O,X,O,X,X,X,X,O,X,X,O,O,X,X
TIZLJOS,X,X,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X
TIZLSJO,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
TIZLSOJ,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZLOJS,X,X,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X
TIZLOSJ,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZJLSO,X,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X
TIZJLOS,X,X,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X
TIZJSLO,O,O,O,O,X,X,X,X,X,X,X,X,O,O,O,X,X
TIZJSOL,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
TIZJOLS,X,X,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X
TIZJOSL,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
TIZSLJO,O,O,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X
TIZSLOJ,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZSJLO,O,O,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X
TIZSJOL,O,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X
TIZSOLJ,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZSOJL,O,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X
TIZOLJS,X,X,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X
TIZOLSJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJLS,X,X,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X
TIZOJSL,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
TIZOSLJ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZOSJL,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOLJSZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOLJZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOLSZJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOLZJS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIOJLSZ,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TIOJLZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOJSLZ,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TIOJSZL,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TIOJZLS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZSL,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOSLJZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOSLZJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOSJLZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOSJZL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOSZLJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOSZJL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOZLJS,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TIOZLSJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJLS,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TIOZJSL,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
TIOZSLJ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOZSJL,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIJSZO,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLIJSOZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLIJZSO,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
