sequence,v115@5gB8IeA8HeD8CeA8AeI8AeE8JeZ/IvhF0cBTeBflBl?gBOrBCqB,v115@5gB8IeA8HeD8CeA8AeI8AeE8Jex6IvhF0cBTeBifB3?gB1pBOrB,v115@5gB8IeA8HeD8CeA8AeI8AeE8JeZ/IvhFFbB0cBTeBq?kB3gBOrB,v115@5gB8IeA8HeD8CeA8AeI8AeE8JeO/IvhFXbB0cBTeB1?pBxlBarB,v115@5gB8IeA8HeD8CeA8AeI8AeE8Jex6IvhF0cBTeBKkBf?lBFmBmqB,v115@5gB8IeA8HeD8CeA8AeI8AeE8Jex6IvhF0cBTeBKkBf?lBlgBOrB,v115@5gB8IeA8HeD8CeA8AeI8AeE8JeZ/IvhFTeBflB0gBl?hBClBOrB,v115@5gB8IeA8HeD8CeA8AeI8AeE8Jex6IvhFTeBKkBflB0?gBlhBOrB,v115@5gB8IeA8HeD8CeA8AeI8AeE8Jex7IvhFTeBOkBXgBl?hBarB0pB
TIJLZOS,X,O,O,O,X,X,X,X,X
TIJLOSZ,X,O,O,O,X,X,X,X,X
TIJLOZS,X,O,O,O,X,X,X,X,X
TIJSLZO,O,O,X,O,X,X,X,X,X
TIJSLOZ,O,O,X,O,X,X,X,X,X
TIJSZLO,O,O,X,O,X,X,X,X,X
TIJSZOL,O,O,X,O,X,X,O,X,X
TIJSOLZ,O,O,X,O,X,X,X,X,X
TIJSOZL,O,O,X,O,X,X,O,X,X
TIJZLSO,X,O,O,O,X,X,X,X,X
TIJZLOS,X,O,O,O,X,X,X,X,X
TIJZSLO,O,O,X,O,X,X,X,X,X
TIJZSOL,O,O,X,O,X,X,X,X,X
TIJZOLS,X,O,O,O,X,X,X,X,X
TIJZOSL,O,O,X,O,X,X,X,X,X
TIJOLSZ,X,O,O,O,X,X,X,X,X
TIJOLZS,X,O,O,O,X,X,X,X,X
TIJOSLZ,O,O,X,O,X,X,X,X,X
TIJOSZL,O,O,X,O,X,X,O,X,X
TIJOZLS,X,O,O,O,X,X,X,X,X
TIJOZSL,O,O,X,O,X,X,X,X,X
TISLJZO,X,O,X,O,X,X,X,X,X
TISLJOZ,X,O,X,O,X,X,X,X,X
TISLZJO,X,O,X,O,X,X,X,X,X
TISLZOJ,X,O,X,O,X,X,O,X,X
TISLOJZ,X,O,X,O,X,X,X,X,X
TISLOZJ,X,O,X,O,X,X,O,X,X
TISJLZO,O,X,X,O,X,X,X,X,X
TISJLOZ,O,X,X,O,X,X,X,X,X
TISJZLO,O,X,X,O,X,X,X,X,X
TISJZOL,O,O,X,O,X,X,O,X,X
TISJOLZ,O,X,X,O,X,X,X,X,X
TISJOZL,O,O,X,O,X,X,O,X,X
TISZLJO,X,O,X,O,X,X,X,X,X
TISZLOJ,X,O,X,O,X,X,O,X,X
TISZJLO,X,X,X,O,X,X,X,X,X
TISZJOL,X,O,X,O,X,X,O,X,X
TISZOLJ,X,O,X,O,X,X,O,X,X
TISZOJL,X,O,X,O,X,X,O,X,X
TISOLJZ,X,O,X,O,X,X,X,X,X
TISOLZJ,X,O,X,O,X,X,O,X,X
TISOJLZ,O,X,X,O,X,X,X,X,X
TISOJZL,O,O,X,O,X,X,O,X,X
TISOZLJ,X,O,X,O,X,X,O,X,X
TISOZJL,X,O,X,O,X,X,O,X,X
TIZLJSO,X,X,X,O,X,X,X,X,X
TIZLJOS,X,O,O,O,O,X,X,X,X
TIZLSJO,X,O,O,O,O,X,X,X,X
TIZLSOJ,X,O,O,O,O,X,X,X,X
TIZLOJS,X,O,O,O,O,X,X,X,X
TIZLOSJ,X,O,O,O,O,X,X,X,X
TIZJLSO,X,X,X,O,X,X,X,X,X
TIZJLOS,X,X,X,O,X,X,X,X,X
TIZJSLO,X,X,X,O,X,X,X,X,X
TIZJSOL,X,X,X,O,X,X,X,X,X
TIZJOLS,X,X,X,O,X,X,X,X,X
TIZJOSL,X,X,X,O,X,X,X,X,X
TIZSLJO,X,O,X,O,X,X,X,X,X
TIZSLOJ,X,O,X,O,X,X,O,X,X
TIZSJLO,X,X,X,O,X,X,X,X,X
TIZSJOL,X,O,X,O,X,X,O,X,X
TIZSOLJ,X,O,X,O,X,X,O,X,X
TIZSOJL,X,O,X,O,X,X,O,X,X
TIZOLJS,X,O,O,O,O,X,X,X,X
TIZOLSJ,X,O,O,O,O,X,X,X,X
TIZOJLS,X,X,X,O,X,X,X,X,X
TIZOJSL,X,X,X,O,X,X,X,X,X
TIZOSLJ,X,O,X,O,X,X,O,X,X
TIZOSJL,X,O,X,O,X,X,O,X,X
TIOLJSZ,X,O,O,O,X,X,X,X,X
TIOLJZS,X,O,O,O,O,X,X,X,X
TIOLSJZ,X,O,O,O,O,X,X,X,X
TIOLSZJ,X,O,O,O,O,X,O,O,X
TIOLZJS,X,O,O,O,O,X,X,X,X
TIOLZSJ,X,O,O,O,O,X,X,X,X
TIOJLSZ,X,O,O,O,X,X,X,X,X
TIOJLZS,X,O,O,O,X,X,X,X,X
TIOJSLZ,O,O,X,O,X,X,X,X,X
TIOJSZL,O,O,X,O,X,X,O,X,X
TIOJZLS,X,O,O,O,X,X,X,X,X
TIOJZSL,O,O,X,O,X,X,X,X,X
TIOSLJZ,X,O,X,O,X,X,X,X,X
TIOSLZJ,X,O,X,O,X,X,O,X,X
TIOSJLZ,O,X,X,O,X,X,X,X,X
TIOSJZL,O,O,X,O,X,X,O,X,X
TIOSZLJ,X,O,X,O,X,X,O,X,X
TIOSZJL,X,O,X,O,X,X,O,X,X
TIOZLJS,X,O,O,O,O,X,X,X,X
TIOZLSJ,X,O,O,O,O,X,X,X,X
TIOZJLS,X,X,X,O,X,X,X,X,X
TIOZJSL,X,X,X,O,X,X,X,X,X
TIOZSLJ,X,O,X,O,X,X,O,X,X
TIOZSJL,X,O,X,O,X,X,O,X,X
TLIJSZO,X,O,O,O,X,X,X,X,O
TLIJSOZ,X,O,O,O,X,X,X,X,O
TLIJZSO,X,O,O,O,X,X,X,X,X
TLIJZOS,X,O,O,O,O,O,X,X,X
TLIJOSZ,X,O,O,O,X,X,X,X,O
TLIJOZS,X,O,O,O,O,O,X,X,X
TLISJZO,X,O,O,O,O,O,X,X,O
TLISJOZ,X,O,O,O,O,O,X,X,O
TLISZJO,X,O,O,O,O,O,X,O,O
TLISZOJ,X,O,O,O,O,O,O,O,O
TLISOJZ,X,O,O,O,O,O,X,X,O
TLISOZJ,X,O,O,O,O,O,O,O,O
TLIZJSO,X,O,O,O,X,X,X,X,X
TLIZJOS,X,O,O,O,O,X,X,X,X
TLIZSJO,X,O,O,O,O,X,X,X,O
TLIZSOJ,X,O,O,O,O,X,X,X,O
TLIZOJS,X,O,O,O,O,X,X,X,X
TLIZOSJ,X,O,O,O,O,O,X,X,O
TLIOJSZ,X,O,O,O,X,X,X,X,O
TLIOJZS,X,O,O,O,O,O,X,X,X
TLIOSJZ,X,O,O,O,O,O,X,X,O
TLIOSZJ,X,O,O,O,O,O,O,O,O
TLIOZJS,X,O,O,O,O,X,X,X,X
TLIOZSJ,X,O,O,O,O,O,X,X,O
TLJISZO,X,O,O,O,X,X,X,X,O
TLJISOZ,X,O,O,O,X,X,X,X,O
TLJIZSO,X,O,O,O,X,X,X,X,X
TLJIZOS,X,O,O,O,O,O,X,X,X
TLJIOSZ,X,O,O,O,X,X,X,X,O
TLJIOZS,X,O,O,O,O,O,X,X,X
TLJSIZO,X,O,O,O,O,O,X,X,O
TLJSIOZ,X,O,O,O,O,O,X,X,O
TLJSZIO,X,O,O,X,O,O,X,O,O
TLJSZOI,X,O,O,O,O,O,X,O,O
TLJSOIZ,X,O,O,O,O,O,X,X,O
TLJSOZI,X,O,O,O,O,O,X,O,O
TLJZISO,X,O,O,O,X,X,X,X,X
TLJZIOS,X,O,O,O,O,O,X,X,X
TLJZSIO,X,O,O,X,O,O,X,X,O
TLJZSOI,X,O,O,O,O,O,X,X,O
TLJZOIS,X,O,O,O,O,O,X,X,X
TLJZOSI,X,O,O,O,O,O,X,X,O
TLJOISZ,X,O,O,O,X,X,X,X,O
TLJOIZS,X,O,O,O,O,O,X,X,X
TLJOSIZ,X,O,O,O,O,O,X,X,O
TLJOSZI,X,O,O,O,O,O,X,O,O
TLJOZIS,X,O,O,O,O,O,X,X,X
TLJOZSI,X,O,O,O,O,O,X,X,O
TLSIJZO,X,O,O,O,O,O,X,X,O
TLSIJOZ,X,O,O,O,O,O,X,X,O
TLSIZJO,X,O,O,O,O,O,X,O,O
TLSIZOJ,X,O,O,O,O,O,O,O,O
TLSIOJZ,X,O,O,O,O,O,X,X,O
TLSIOZJ,X,O,O,O,O,O,O,O,O
TLSJIZO,X,O,O,O,O,O,X,X,O
TLSJIOZ,X,O,O,O,O,O,X,X,O
TLSJZIO,X,O,O,X,O,O,X,O,O
TLSJZOI,X,O,O,O,O,O,X,O,O
TLSJOIZ,X,O,O,O,O,O,X,X,O
TLSJOZI,X,O,O,O,O,O,X,O,O
TLSZIJO,X,O,O,X,O,O,X,O,O
TLSZIOJ,X,O,O,X,O,O,O,O,O
TLSZJIO,X,O,O,X,O,O,X,O,O
TLSZJOI,X,O,O,O,O,O,X,O,O
TLSZOIJ,X,O,O,X,O,O,O,O,O
TLSZOJI,X,O,O,O,O,O,X,O,O
TLSOIJZ,X,O,O,O,O,O,X,X,O
TLSOIZJ,X,O,O,O,O,O,O,O,O
TLSOJIZ,X,O,O,O,O,O,X,X,O
TLSOJZI,X,O,O,O,O,O,X,O,O
TLSOZIJ,X,O,O,X,O,O,O,O,O
TLSOZJI,X,O,O,O,O,O,X,O,O
TLZIJSO,X,O,O,O,X,X,X,X,X
TLZIJOS,X,O,O,O,O,X,X,X,X
TLZISJO,X,O,O,O,O,X,X,X,O
TLZISOJ,X,O,O,O,O,X,X,X,O
TLZIOJS,X,O,O,O,O,X,X,X,X
TLZIOSJ,X,O,O,O,O,O,X,X,O
TLZJISO,X,O,O,O,X,X,X,X,X
TLZJIOS,X,O,O,O,O,X,X,X,X
TLZJSIO,X,O,O,X,O,X,X,X,O
TLZJSOI,X,O,O,O,O,X,X,X,O
TLZJOIS,X,O,O,O,O,X,X,X,X
TLZJOSI,X,O,O,O,O,X,X,X,O
TLZSIJO,X,O,O,X,O,O,X,O,O
TLZSIOJ,X,O,O,X,O,O,O,O,O
TLZSJIO,X,O,O,X,O,O,X,O,O
TLZSJOI,X,O,O,O,O,O,X,O,O
TLZSOIJ,X,O,O,X,O,O,O,O,O
TLZSOJI,X,O,O,O,O,O,X,O,O
TLZOIJS,X,O,O,O,O,X,X,X,X
TLZOISJ,X,O,O,O,O,O,X,X,O
TLZOJIS,X,O,O,O,O,X,X,X,X
TLZOJSI,X,O,O,O,O,X,X,X,O
TLZOSIJ,X,O,O,X,O,O,O,O,O
TLZOSJI,X,O,O,O,O,O,X,O,O
TLOIJSZ,X,O,O,O,X,X,X,X,O
TLOIJZS,X,O,O,O,O,O,X,X,X
TLOISJZ,X,O,O,O,O,O,X,X,O
TLOISZJ,X,O,O,O,O,O,O,O,O
TLOIZJS,X,O,O,O,O,X,X,X,X
TLOIZSJ,X,O,O,O,O,O,X,X,O
TLOJISZ,X,O,O,O,X,X,X,X,O
TLOJIZS,X,O,O,O,O,O,X,X,X
TLOJSIZ,X,O,O,O,O,O,X,X,O
TLOJSZI,X,O,O,O,O,O,X,O,O
TLOJZIS,X,O,O,O,O,O,X,X,X
TLOJZSI,X,O,O,O,O,O,X,X,O
TLOSIJZ,X,O,O,O,O,O,X,X,O
TLOSIZJ,X,O,O,O,O,O,O,O,O
TLOSJIZ,X,O,O,O,O,O,X,X,O
TLOSJZI,X,O,O,O,O,O,X,O,O
TLOSZIJ,X,O,O,X,O,O,O,O,O
TLOSZJI,X,O,O,O,O,O,X,O,O
TLOZIJS,X,O,O,O,O,X,X,X,X
TLOZISJ,X,O,O,O,O,O,X,X,O
TLOZJIS,X,O,O,O,O,X,X,X,X
TLOZJSI,X,O,O,O,O,X,X,X,O
TLOZSIJ,X,O,O,X,O,O,O,O,O
TLOZSJI,X,O,O,O,O,O,X,O,O
TJILSZO,X,O,O,O,X,X,X,X,X
TJILSOZ,X,O,O,O,X,X,X,X,X
TJILZSO,X,O,O,O,X,X,X,X,X
TJILZOS,X,O,O,O,X,X,X,X,X
TJILOSZ,X,O,O,O,X,X,X,X,X
TJILOZS,X,O,O,O,X,X,X,X,X
TJISLZO,O,O,X,O,X,X,X,X,X
TJISLOZ,O,O,X,O,X,X,X,X,X
TJISZLO,O,O,X,O,X,X,X,X,X
TJISZOL,O,O,X,O,X,X,O,X,X
TJISOLZ,O,O,X,O,X,X,X,X,X
TJISOZL,O,O,X,O,X,X,O,X,X
TJIZLSO,X,O,O,O,X,X,X,X,X
TJIZLOS,X,O,O,O,X,X,X,X,X
TJIZSLO,O,O,X,O,X,X,X,X,X
TJIZSOL,O,O,X,O,X,X,X,X,X
TJIZOLS,X,O,O,O,X,X,X,X,X
TJIZOSL,O,O,X,O,X,X,X,X,X
TJIOLSZ,X,O,O,O,X,X,X,X,X
TJIOLZS,X,O,O,O,X,X,X,X,X
TJIOSLZ,O,O,X,O,X,X,X,X,X
TJIOSZL,O,O,X,O,X,X,O,X,X
TJIOZLS,X,O,O,O,X,X,X,X,X
TJIOZSL,O,O,X,O,X,X,X,X,X
TJLISZO,X,O,O,O,X,X,X,X,O
TJLISOZ,X,O,O,O,X,X,X,X,O
TJLIZSO,X,O,O,O,X,X,X,X,X
TJLIZOS,X,O,O,O,O,O,X,X,X
TJLIOSZ,X,O,O,O,X,X,X,X,O
TJLIOZS,X,O,O,O,O,O,X,X,X
TJLSIZO,O,O,O,O,O,O,X,X,O
TJLSIOZ,O,O,O,O,O,O,X,X,O
TJLSZIO,O,O,O,X,O,O,X,O,O
TJLSZOI,O,O,O,O,O,O,X,O,O
TJLSOIZ,O,O,O,O,O,O,X,X,O
TJLSOZI,O,O,O,O,O,O,X,O,O
TJLZISO,X,O,O,O,X,X,X,X,X
TJLZIOS,X,O,O,O,O,O,X,X,X
TJLZSIO,O,O,O,X,O,O,X,X,O
TJLZSOI,O,O,O,O,O,O,X,X,O
TJLZOIS,X,O,O,O,O,O,X,X,X
TJLZOSI,O,O,O,O,O,O,X,X,O
TJLOISZ,X,O,O,O,X,X,X,X,O
TJLOIZS,X,O,O,O,O,O,X,X,X
TJLOSIZ,O,O,O,O,O,O,X,X,O
TJLOSZI,O,O,O,O,O,O,X,O,O
TJLOZIS,X,O,O,O,O,O,X,X,X
TJLOZSI,O,O,O,O,O,O,X,X,O
TJSILZO,O,O,X,O,X,X,X,X,X
TJSILOZ,O,O,X,O,X,X,X,X,X
TJSIZLO,O,O,X,O,X,X,X,X,X
TJSIZOL,O,O,X,O,X,X,O,X,X
TJSIOLZ,O,O,X,O,X,X,X,X,X
TJSIOZL,O,O,X,O,X,X,O,X,X
TJSLIZO,O,O,O,O,X,X,X,X,X
TJSLIOZ,O,O,O,O,X,X,X,X,X
TJSLZIO,O,O,O,X,X,X,X,X,X
TJSLZOI,O,O,O,O,X,X,X,X,X
TJSLOIZ,O,O,O,O,X,X,X,X,X
TJSLOZI,O,O,O,O,X,X,X,X,X
TJSZILO,O,O,X,O,X,X,X,X,X
TJSZIOL,O,O,X,O,X,X,O,X,X
TJSZLIO,O,O,O,X,X,X,X,X,X
TJSZLOI,O,O,O,O,X,X,X,X,X
TJSZOIL,O,O,X,O,X,X,O,X,X
TJSZOLI,O,O,O,O,X,X,X,X,X
TJSOILZ,O,O,X,O,X,X,X,X,X
TJSOIZL,O,O,X,O,X,X,O,X,X
TJSOLIZ,O,O,O,O,X,X,X,X,X
TJSOLZI,O,O,O,O,X,X,X,X,X
TJSOZIL,O,O,X,O,X,X,O,X,X
TJSOZLI,O,O,O,O,X,X,X,X,X
TJZILSO,X,O,O,O,X,X,X,X,X
TJZILOS,X,O,O,O,X,X,X,X,X
TJZISLO,O,O,X,O,X,X,X,X,X
TJZISOL,O,O,X,O,X,X,X,X,X
TJZIOLS,X,O,O,O,X,X,X,X,X
TJZIOSL,O,O,X,O,X,X,X,X,X
TJZLISO,X,O,O,O,X,X,X,X,X
TJZLIOS,X,O,O,O,O,O,X,X,X
TJZLSIO,O,O,O,X,O,O,X,X,X
TJZLSOI,O,O,O,O,O,O,X,X,X
TJZLOIS,X,O,O,O,O,O,X,X,X
TJZLOSI,O,O,O,O,O,O,X,X,X
TJZSILO,O,O,X,O,X,X,X,X,X
TJZSIOL,O,O,X,O,X,X,O,X,X
TJZSLIO,O,O,O,X,X,X,X,X,X
TJZSLOI,O,O,O,O,X,X,X,X,X
TJZSOIL,O,O,X,O,X,X,O,X,X
TJZSOLI,O,O,O,O,X,X,X,X,X
TJZOILS,X,O,O,O,X,X,X,X,X
TJZOISL,O,O,X,O,X,X,X,X,X
TJZOLIS,X,O,O,O,O,O,X,X,X
TJZOLSI,O,O,O,O,O,O,X,X,X
TJZOSIL,O,O,X,O,X,X,O,X,X
TJZOSLI,O,O,O,O,X,X,X,X,X
TJOILSZ,X,O,O,O,X,X,X,X,X
TJOILZS,X,O,O,O,X,X,X,X,X
TJOISLZ,O,O,X,O,X,X,X,X,X
TJOISZL,O,O,X,O,X,X,O,X,X
TJOIZLS,X,O,O,O,X,X,X,X,X
TJOIZSL,O,O,X,O,X,X,X,X,X
TJOLISZ,X,O,O,O,X,X,X,X,O
TJOLIZS,X,O,O,O,O,O,X,X,X
TJOLSIZ,O,O,O,O,O,O,X,X,O
TJOLSZI,O,O,O,O,O,O,X,O,O
TJOLZIS,X,O,O,O,O,O,X,X,X
TJOLZSI,O,O,O,O,O,O,X,X,O
TJOSILZ,O,O,X,O,X,X,X,X,X
TJOSIZL,O,O,X,O,X,X,O,X,X
TJOSLIZ,O,O,O,O,X,X,X,X,X
TJOSLZI,O,O,O,O,X,X,X,X,X
TJOSZIL,O,O,X,O,X,X,O,X,X
TJOSZLI,O,O,O,O,X,X,X,X,X
TJOZILS,X,O,O,O,X,X,X,X,X
TJOZISL,O,O,X,O,X,X,X,X,X
TJOZLIS,X,O,O,O,O,O,X,X,X
TJOZLSI,O,O,O,O,O,O,X,X,X
TJOZSIL,O,O,X,O,X,X,O,X,X
TJOZSLI,O,O,O,O,X,X,X,X,X
TSILJZO,X,O,X,O,X,X,X,X,X
TSILJOZ,X,O,X,O,X,X,X,X,X
TSILZJO,X,O,X,O,X,X,X,X,X
TSILZOJ,X,O,X,O,X,X,O,X,X
TSILOJZ,X,O,X,O,X,X,X,X,X
TSILOZJ,X,O,X,O,X,X,O,X,X
TSIJLZO,O,X,X,O,X,X,X,X,X
TSIJLOZ,O,X,X,O,X,X,X,X,X
TSIJZLO,O,X,X,O,X,X,X,X,X
TSIJZOL,O,O,X,O,X,X,O,X,X
TSIJOLZ,O,X,X,O,X,X,X,X,X
TSIJOZL,O,O,X,O,X,X,O,X,X
TSIZLJO,X,O,X,O,X,X,X,X,X
TSIZLOJ,X,O,X,O,X,X,O,X,X
TSIZJLO,X,X,X,O,X,X,X,X,X
TSIZJOL,X,O,X,O,X,X,O,X,X
TSIZOLJ,X,O,X,O,X,X,O,X,X
TSIZOJL,X,O,X,O,X,X,O,X,X
TSIOLJZ,X,O,X,O,X,X,X,X,X
TSIOLZJ,X,O,X,O,X,X,O,X,X
TSIOJLZ,O,X,X,O,X,X,X,X,X
TSIOJZL,O,O,X,O,X,X,O,X,X
TSIOZLJ,X,O,X,O,X,X,O,X,X
TSIOZJL,X,O,X,O,X,X,O,X,X
TSLIJZO,X,O,O,O,O,X,X,X,X
TSLIJOZ,X,O,O,O,O,X,X,X,X
TSLIZJO,X,O,O,O,O,X,X,O,X
TSLIZOJ,X,O,O,O,O,X,O,O,X
TSLIOJZ,X,O,O,O,O,X,X,X,X
TSLIOZJ,X,O,O,O,O,X,O,O,X
TSLJIZO,X,O,O,O,O,X,X,X,X
TSLJIOZ,X,O,O,O,O,X,X,X,X
TSLJZIO,X,O,O,X,O,X,X,O,X
TSLJZOI,X,O,O,O,O,X,X,O,X
TSLJOIZ,X,O,O,O,O,X,X,X,X
TSLJOZI,X,O,O,O,O,X,X,O,X
TSLZIJO,X,O,O,X,O,X,X,O,X
TSLZIOJ,X,O,O,X,O,X,O,O,X
TSLZJIO,X,O,O,X,O,X,X,O,X
TSLZJOI,X,O,O,O,O,X,X,O,X
TSLZOIJ,X,O,O,X,O,X,O,O,X
TSLZOJI,X,O,O,O,O,X,X,O,X
TSLOIJZ,X,O,O,O,O,X,X,X,X
TSLOIZJ,X,O,O,O,O,X,O,O,X
TSLOJIZ,X,O,O,O,O,X,X,X,X
TSLOJZI,X,O,O,O,O,X,X,O,X
TSLOZIJ,X,O,O,X,O,X,O,O,X
TSLOZJI,X,O,O,O,O,X,X,O,X
TSJILZO,O,O,X,O,X,X,X,X,X
TSJILOZ,O,O,X,O,X,X,X,X,X
TSJIZLO,O,O,X,O,X,X,X,X,X
TSJIZOL,O,O,X,O,X,X,O,X,X
TSJIOLZ,O,O,X,O,X,X,X,X,X
TSJIOZL,O,O,X,O,X,X,O,X,X
TSJLIZO,O,O,X,O,X,X,X,X,X
TSJLIOZ,O,O,X,O,X,X,X,X,X
TSJLZIO,O,O,X,X,X,X,X,X,X
TSJLZOI,O,O,X,O,X,X,X,X,X
TSJLOIZ,O,O,X,O,X,X,X,X,X
TSJLOZI,O,O,X,O,X,X,X,X,X
TSJZILO,O,O,X,O,X,X,X,X,X
TSJZIOL,O,O,X,O,X,X,O,X,X
TSJZLIO,O,O,X,X,X,X,X,X,X
TSJZLOI,O,O,X,O,X,X,X,X,X
TSJZOIL,O,O,X,O,X,X,O,X,X
TSJZOLI,O,O,X,O,X,X,X,X,X
TSJOILZ,O,O,X,O,X,X,X,X,X
TSJOIZL,O,O,X,O,X,X,O,X,X
TSJOLIZ,O,O,X,O,X,X,X,X,X
TSJOLZI,O,O,X,O,X,X,X,X,X
TSJOZIL,O,O,X,O,X,X,O,X,X
TSJOZLI,O,O,X,O,X,X,X,X,X
TSZILJO,X,O,X,O,X,X,X,X,X
TSZILOJ,X,O,X,O,X,X,O,X,X
TSZIJLO,X,X,X,O,X,X,X,X,X
TSZIJOL,X,O,X,O,X,X,O,X,X
TSZIOLJ,X,O,X,O,X,X,O,X,X
TSZIOJL,X,O,X,O,X,X,O,X,X
TSZLIJO,X,O,O,X,O,X,X,X,X
TSZLIOJ,X,O,O,X,O,X,O,X,X
TSZLJIO,X,O,O,X,O,X,X,X,X
TSZLJOI,X,O,O,O,O,X,X,X,X
TSZLOIJ,X,O,O,X,O,X,O,X,X
TSZLOJI,X,O,O,O,O,X,X,X,X
TSZJILO,X,X,X,O,X,X,X,X,X
TSZJIOL,X,O,X,O,X,X,O,X,X
TSZJLIO,X,O,X,X,X,X,X,X,X
TSZJLOI,X,O,X,O,X,X,X,X,X
TSZJOIL,X,O,X,O,X,X,O,X,X
TSZJOLI,X,O,X,O,X,X,X,X,X
TSZOILJ,X,O,X,O,X,X,O,X,X
TSZOIJL,X,O,X,O,X,X,O,X,X
TSZOLIJ,X,O,O,X,O,X,O,X,X
TSZOLJI,X,O,O,O,O,X,X,X,X
TSZOJIL,X,O,X,O,X,X,O,X,X
TSZOJLI,X,O,X,O,X,X,X,X,X
TSOILJZ,X,O,X,O,X,X,X,X,X
TSOILZJ,X,O,X,O,X,X,O,X,X
TSOIJLZ,O,X,X,O,X,X,X,X,X
TSOIJZL,O,O,X,O,X,X,O,X,X
TSOIZLJ,X,O,X,O,X,X,O,X,X
TSOIZJL,X,O,X,O,X,X,O,X,X
TSOLIJZ,X,O,O,O,O,X,X,X,X
TSOLIZJ,X,O,O,O,O,X,O,O,X
TSOLJIZ,X,O,O,O,O,X,X,X,X
TSOLJZI,X,O,O,O,O,X,X,O,X
TSOLZIJ,X,O,O,X,O,X,O,O,X
TSOLZJI,X,O,O,O,O,X,X,O,X
TSOJILZ,O,O,X,O,X,X,X,X,X
TSOJIZL,O,O,X,O,X,X,O,X,X
TSOJLIZ,O,O,X,O,X,X,X,X,X
TSOJLZI,O,O,X,O,X,X,X,X,X
TSOJZIL,O,O,X,O,X,X,O,X,X
TSOJZLI,O,O,X,O,X,X,X,X,X
TSOZILJ,X,O,X,O,X,X,O,X,X
TSOZIJL,X,O,X,O,X,X,O,X,X
TSOZLIJ,X,O,O,X,O,X,O,X,X
TSOZLJI,X,O,O,O,O,X,X,X,X
TSOZJIL,X,O,X,O,X,X,O,X,X
TSOZJLI,X,O,X,O,X,X,X,X,X
TZILJSO,X,X,X,O,X,X,X,X,X
TZILJOS,X,O,O,O,O,X,X,X,X
TZILSJO,X,O,O,O,O,X,X,X,X
TZILSOJ,X,O,O,O,O,X,X,X,X
TZILOJS,X,O,O,O,O,X,X,X,X
TZILOSJ,X,O,O,O,O,X,X,X,X
TZIJLSO,X,X,X,O,X,X,X,X,X
TZIJLOS,X,X,X,O,X,X,X,X,X
TZIJSLO,X,X,X,O,X,X,X,X,X
TZIJSOL,X,X,X,O,X,X,X,X,X
TZIJOLS,X,X,X,O,X,X,X,X,X
TZIJOSL,X,X,X,O,X,X,X,X,X
TZISLJO,X,O,X,O,X,X,X,X,X
TZISLOJ,X,O,X,O,X,X,O,X,X
TZISJLO,X,X,X,O,X,X,X,X,X
TZISJOL,X,O,X,O,X,X,O,X,X
TZISOLJ,X,O,X,O,X,X,O,X,X
TZISOJL,X,O,X,O,X,X,O,X,X
