sequence,v115@DhB8FeF8EeH8AeF8JeWBJvhFxcBTeB/kBUgBikBlqB,v115@DhB8FeF8EeH8AeF8Jex6IvhF8gBCdBTeB2kB3kBlqB,v115@DhB8FeF8EeH8AeF8JeX7IvhFxcBTeB0kB6qBOpBFrB,v115@DhB8FeF8EeH8AeF8JeZ/IvhFCdBTeBukB3gBFlB8qB,v115@DhB8FeF8EeH8AeF8Je//IvhFFbBxcBTeB2pB0lBCrB,v115@DhB8FeF8EeH8AeF8Je//IvhFRbBCdBTeB2pB0lBlqB,v115@DhB8FeF8EeH8AeF8JeO/IvhFXbBxcBTeB1pB0lBCrB,v115@DhB8FeF8EeH8AeF8JeZ/IvhF3bBCdBTeBFlBukB8qB,v115@DhB8FeF8EeH8AeF8Jex6IvhFCdBTeB2kB1qB3kB8qB
TLJIOZS,X,O,X,X,X,X,X,O,X
TLJSIZO,X,X,X,X,X,X,X,X,O
TLJSIOZ,X,X,X,O,X,O,O,X,O
TLJSZIO,X,O,X,X,X,O,X,X,O
TLJSZOI,X,O,X,X,X,O,X,X,O
TLJSOIZ,X,X,X,O,X,O,O,X,O
TLJSOZI,X,O,X,X,X,O,X,X,O
TLJZISO,X,O,X,X,X,X,O,X,X
TLJZIOS,X,O,X,X,X,X,O,X,X
TLJZSIO,X,O,X,X,X,O,O,X,O
TLJZSOI,X,O,X,X,X,O,O,X,O
TLJZOIS,X,O,X,X,X,X,O,X,X
TLJZOSI,X,O,X,X,X,O,O,X,O
TLJOISZ,X,X,X,O,X,X,O,O,O
TLJOIZS,X,O,X,X,X,X,X,O,X
TLJOSIZ,X,X,X,O,X,O,O,X,O
TLJOSZI,X,O,X,X,X,O,X,X,O
TLJOZIS,X,O,X,X,X,X,O,X,X
TLJOZSI,X,O,X,X,X,O,O,X,O
TLSIJZO,X,X,X,X,X,X,X,O,X
TLSIJOZ,X,X,X,O,X,X,O,O,X
TLSIZJO,O,X,X,X,X,X,X,O,X
TLSIZOJ,O,X,X,X,X,X,X,O,X
TLSIOJZ,X,X,X,O,X,X,O,O,X
TLSIOZJ,O,X,X,X,X,X,X,O,X
TLSJIZO,X,X,X,X,X,X,X,X,O
TLSJIOZ,X,X,X,O,X,X,O,X,O
TLSJZIO,X,O,X,X,X,X,X,X,O
TLSJZOI,X,O,X,X,X,X,X,X,O
TLSJOIZ,X,X,X,O,X,X,O,X,O
TLSJOZI,X,O,X,X,X,X,X,X,O
TLSZIJO,O,X,X,X,X,X,X,X,X
TLSZIOJ,O,O,X,X,X,X,X,X,X
TLSZJIO,O,O,X,X,X,X,X,X,X
TLSZJOI,O,O,X,X,X,X,X,X,X
TLSZOIJ,O,O,X,X,X,X,X,X,X
TLSZOJI,O,O,X,X,X,X,X,X,X
TLSOIJZ,X,X,X,O,X,X,O,O,X
TLSOIZJ,O,X,X,X,X,X,X,O,X
TLSOJIZ,X,X,X,O,X,X,O,X,O
TLSOJZI,X,O,X,X,X,X,X,X,O
TLSOZIJ,O,O,X,X,X,X,X,X,X
TLSOZJI,O,O,X,X,X,X,X,X,X
TLZIJSO,X,O,O,X,X,X,O,O,X
TLZIJOS,X,O,O,X,X,X,O,O,X
TLZISJO,X,X,O,X,X,X,O,O,X
TLZISOJ,X,O,O,X,X,X,O,O,X
TLZIOJS,X,O,O,X,X,X,O,O,X
TLZIOSJ,X,O,O,X,X,X,O,O,X
TLZJISO,X,O,O,X,X,X,O,X,X
TLZJIOS,X,O,O,X,X,X,O,X,X
TLZJSIO,X,O,O,X,X,O,O,X,O
TLZJSOI,X,O,O,X,X,O,O,X,O
TLZJOIS,X,O,O,X,X,X,O,X,X
TLZJOSI,X,O,O,X,X,O,O,X,O
TLZSIJO,X,X,O,X,X,X,O,X,X
TLZSIOJ,X,O,O,X,X,X,O,X,X
TLZSJIO,X,O,O,X,X,X,O,X,X
TLZSJOI,X,O,O,X,X,X,O,X,X
TLZSOIJ,X,O,O,X,X,X,O,X,X
TLZSOJI,X,O,O,X,X,X,O,X,X
TLZOIJS,X,O,O,X,X,X,O,O,X
TLZOISJ,X,O,O,X,X,X,O,O,X
TLZOJIS,X,O,O,X,X,X,O,X,X
TLZOJSI,X,O,O,X,X,O,O,X,O
TLZOSIJ,X,O,O,X,X,X,O,X,X
TLZOSJI,X,O,O,X,X,X,O,X,X
TLOIJSZ,X,X,X,O,X,X,O,O,O
TLOIJZS,X,O,X,X,X,X,X,O,X
TLOISJZ,X,X,X,O,X,X,O,O,X
TLOISZJ,O,X,X,X,X,X,X,O,X
TLOIZJS,X,O,O,X,X,X,X,O,X
TLOIZSJ,X,O,O,X,X,X,X,O,X
TLOJISZ,X,X,X,O,X,X,O,O,O
TLOJIZS,X,O,X,X,X,X,X,O,X
TLOJSIZ,X,X,X,O,X,O,O,X,O
TLOJSZI,X,O,X,X,X,O,X,X,O
TLOJZIS,X,O,X,X,X,X,O,X,X
TLOJZSI,X,O,X,X,X,O,O,X,O
TLOSIJZ,X,X,X,O,X,X,O,O,X
TLOSIZJ,O,X,X,X,X,X,X,O,X
TLOSJIZ,X,X,X,O,X,X,O,X,O
TLOSJZI,X,O,X,X,X,X,X,X,O
TLOSZIJ,O,O,X,X,X,X,X,X,X
TLOSZJI,O,O,X,X,X,X,X,X,X
TLOZIJS,X,O,O,X,X,X,O,O,X
TLOZISJ,X,O,O,X,X,X,O,O,X
TLOZJIS,X,O,O,X,X,X,O,X,X
TLOZJSI,X,O,O,X,X,O,O,X,O
TLOZSIJ,X,O,O,X,X,X,O,X,X
TLOZSJI,X,O,O,X,X,X,O,X,X
TJILSZO,X,X,X,X,X,X,X,O,O
TJILSOZ,X,X,X,O,X,X,O,O,O
TJILZSO,X,O,X,X,X,X,X,O,X
TJILZOS,X,O,X,X,X,X,X,O,X
TJILOSZ,X,X,X,O,X,X,O,O,O
TJILOZS,X,O,X,X,X,X,X,O,X
TJISLZO,X,X,X,X,X,X,X,O,O
TJISLOZ,X,X,X,O,O,X,O,O,O
TJISZLO,O,X,X,X,O,X,X,O,O
TJISZOL,O,X,X,X,O,X,O,O,O
TJISOLZ,X,X,X,O,O,X,O,O,O
TJISOZL,O,X,X,X,O,X,O,O,O
TJIZLSO,X,O,X,X,X,X,O,O,X
TJIZLOS,X,O,X,X,X,X,O,O,X
TJIZSLO,X,O,X,X,X,X,O,O,X
TJIZSOL,X,O,X,X,X,X,O,O,X
TJIZOLS,X,O,X,X,X,X,O,O,X
TJIZOSL,X,O,X,X,X,X,O,O,X
TJIOLSZ,X,X,X,O,X,X,O,O,O
TJIOLZS,X,O,X,X,X,X,X,O,X
TJIOSLZ,X,X,X,O,O,X,O,O,O
TJIOSZL,O,X,X,X,O,X,O,O,O
TJIOZLS,X,O,X,X,X,X,O,O,X
TJIOZSL,X,O,X,X,X,X,O,O,X
TJLISZO,X,X,X,X,X,X,X,O,O
TJLISOZ,X,X,X,O,X,X,O,O,O
TJLIZSO,X,O,X,X,X,X,X,O,X
TJLIZOS,X,O,X,X,X,X,X,O,X
TJLIOSZ,X,X,X,O,X,X,O,O,O
TJLIOZS,X,O,X,X,X,X,X,O,X
TJLSIZO,X,X,X,X,X,X,X,X,O
TJLSIOZ,X,X,X,O,X,O,O,X,O
TJLSZIO,X,O,X,X,X,O,X,X,O
TJLSZOI,X,O,X,X,X,O,X,X,O
TJLSOIZ,X,X,X,O,X,O,O,X,O
TJLSOZI,X,O,X,X,X,O,X,X,O
TJLZISO,X,O,X,X,X,X,O,X,X
TJLZIOS,X,O,X,X,X,X,O,X,X
TJLZSIO,X,O,X,X,X,O,O,X,O
TJLZSOI,X,O,X,X,X,O,O,X,O
TJLZOIS,X,O,X,X,X,X,O,X,X
TJLZOSI,X,O,X,X,X,O,O,X,O
TJLOISZ,X,X,X,O,X,X,O,O,O
TJLOIZS,X,O,X,X,X,X,X,O,X
TJLOSIZ,X,X,X,O,X,O,O,X,O
TJLOSZI,X,O,X,X,X,O,X,X,O
TJLOZIS,X,O,X,X,X,X,O,X,X
TJLOZSI,X,O,X,X,X,O,O,X,O
TJSILZO,X,X,X,X,X,X,X,X,O
TJSILOZ,X,X,X,O,O,O,O,X,O
TJSIZLO,O,X,X,X,O,X,X,X,O
TJSIZOL,O,X,X,X,O,X,O,X,O
TJSIOLZ,X,X,X,O,O,O,O,X,O
TJSIOZL,O,X,X,X,O,X,O,X,O
TJSLIZO,X,X,X,X,X,X,X,X,O
TJSLIOZ,X,X,X,O,O,O,O,X,O
TJSLZIO,X,O,X,X,X,O,X,X,O
TJSLZOI,X,O,X,X,X,O,X,X,O
TJSLOIZ,X,X,X,O,O,O,O,X,O
TJSLOZI,X,O,X,X,X,O,X,X,O
TJSZILO,O,O,X,X,O,O,O,X,O
TJSZIOL,O,O,X,X,O,O,O,X,O
TJSZLIO,O,O,X,X,O,O,O,X,O
TJSZLOI,O,O,X,X,O,O,O,X,O
TJSZOIL,O,O,X,X,O,O,O,X,O
TJSZOLI,O,O,X,X,O,O,O,X,O
TJSOILZ,X,X,X,O,O,O,O,X,O
TJSOIZL,O,X,X,X,O,X,O,X,O
TJSOLIZ,X,X,X,O,O,O,O,X,O
TJSOLZI,X,O,X,X,X,O,X,X,O
TJSOZIL,O,O,X,X,O,O,O,X,O
TJSOZLI,O,O,X,X,O,O,O,X,O
TJZILSO,X,O,X,X,X,X,O,X,X
TJZILOS,X,O,X,X,X,X,O,X,X
TJZISLO,X,O,X,X,O,X,O,X,X
TJZISOL,X,O,X,X,O,X,O,X,X
TJZIOLS,X,O,X,X,X,X,O,X,X
TJZIOSL,X,O,X,X,O,X,O,X,X
TJZLISO,X,O,X,X,X,X,O,X,X
TJZLIOS,X,O,X,X,X,X,O,X,X
TJZLSIO,X,O,X,X,X,O,O,X,O
TJZLSOI,X,O,X,X,X,O,O,X,O
TJZLOIS,X,O,X,X,X,X,O,X,X
TJZLOSI,X,O,X,X,X,O,O,X,O
TJZSILO,X,O,X,X,O,O,O,X,O
TJZSIOL,X,O,X,X,O,O,O,X,O
TJZSLIO,X,O,X,X,O,O,O,X,O
TJZSLOI,X,O,X,X,O,O,O,X,O
TJZSOIL,X,O,X,X,O,O,O,X,O
TJZSOLI,X,O,X,X,O,O,O,X,O
TJZOILS,X,O,X,X,X,X,O,X,X
TJZOISL,X,O,X,X,O,X,O,X,X
TJZOLIS,X,O,X,X,X,X,O,X,X
TJZOLSI,X,O,X,X,X,O,O,X,O
TJZOSIL,X,O,X,X,O,O,O,X,O
TJZOSLI,X,O,X,X,O,O,O,X,O
TJOILSZ,X,X,X,O,X,X,O,O,O
TJOILZS,X,O,X,X,X,X,X,O,X
TJOISLZ,X,X,X,O,O,X,O,O,O
TJOISZL,O,X,X,X,O,X,O,O,O
TJOIZLS,X,O,X,X,X,X,O,O,X
TJOIZSL,X,O,X,X,X,X,O,O,X
TJOLISZ,X,X,X,O,X,X,O,O,O
TJOLIZS,X,O,X,X,X,X,X,O,X
TJOLSIZ,X,X,X,O,X,O,O,X,O
TJOLSZI,X,O,X,X,X,O,X,X,O
TJOLZIS,X,O,X,X,X,X,O,X,X
TJOLZSI,X,O,X,X,X,O,O,X,O
TJOSILZ,X,X,X,O,O,O,O,X,O
TJOSIZL,O,X,X,X,O,X,O,X,O
TJOSLIZ,X,X,X,O,O,O,O,X,O
TJOSLZI,X,O,X,X,X,O,X,X,O
TJOSZIL,O,O,X,X,O,O,O,X,O
TJOSZLI,O,O,X,X,O,O,O,X,O
TJOZILS,X,O,X,X,X,X,O,X,X
TJOZISL,X,O,X,X,O,X,O,X,X
TJOZLIS,X,O,X,X,X,X,O,X,X
TJOZLSI,X,O,X,X,X,O,O,X,O
TJOZSIL,X,O,X,X,O,O,O,X,O
TJOZSLI,X,O,X,X,O,O,O,X,O
TSILJZO,X,X,X,X,X,X,X,O,X
TSILJOZ,X,X,X,O,X,X,O,O,X
TSILZJO,O,X,X,X,X,X,X,O,X
TSILZOJ,O,X,X,X,X,X,X,O,X
TSILOJZ,X,X,X,O,X,X,O,O,X
TSILOZJ,O,X,X,X,X,X,X,O,X
TSIJLZO,X,X,X,X,X,X,X,O,X
TSIJLOZ,X,X,X,O,X,X,O,O,X
TSIJZLO,O,X,X,X,X,X,X,O,X
TSIJZOL,O,X,X,X,X,X,O,O,X
TSIJOLZ,X,X,X,O,X,X,O,O,X
TSIJOZL,O,X,X,X,X,X,O,O,X
TSIZLJO,O,X,X,X,X,X,X,O,X
TSIZLOJ,O,X,X,X,X,X,X,O,X
TSIZJLO,O,X,X,X,X,X,X,O,X
TSIZJOL,O,X,X,X,X,X,O,O,X
TSIZOLJ,O,X,X,X,X,X,X,O,X
TSIZOJL,O,X,X,X,X,X,O,O,X
TSIOLJZ,X,X,X,O,X,X,O,O,X
TSIOLZJ,O,X,X,X,X,X,X,O,X
TSIOJLZ,X,X,X,O,X,X,O,O,X
TSIOJZL,O,X,X,X,X,X,O,O,X
TSIOZLJ,O,X,X,X,X,X,X,O,X
TSIOZJL,O,X,X,X,X,X,O,O,X
TSLIJZO,X,X,X,X,X,X,X,O,X
TSLIJOZ,X,X,X,O,X,X,O,O,X
TSLIZJO,O,X,X,X,X,X,X,O,X
TSLIZOJ,O,X,X,X,X,X,X,O,X
TSLIOJZ,X,X,X,O,X,X,O,O,X
TSLIOZJ,O,X,X,X,X,X,X,O,X
TSLJIZO,X,X,X,X,X,X,X,X,O
TSLJIOZ,X,X,X,O,X,X,O,X,O
TSLJZIO,X,O,X,X,X,X,X,X,O
TSLJZOI,X,O,X,X,X,X,X,X,O
TSLJOIZ,X,X,X,O,X,X,O,X,O
TSLJOZI,X,O,X,X,X,X,X,X,O
TSLZIJO,O,X,X,X,X,X,X,X,X
TSLZIOJ,O,O,X,X,X,X,X,X,X
TSLZJIO,O,O,X,X,X,X,X,X,X
TSLZJOI,O,O,X,X,X,X,X,X,X
TSLZOIJ,O,O,X,X,X,X,X,X,X
TSLZOJI,O,O,X,X,X,X,X,X,X
TSLOIJZ,X,X,X,O,X,X,O,O,X
TSLOIZJ,O,X,X,X,X,X,X,O,X
TSLOJIZ,X,X,X,O,X,X,O,X,O
TSLOJZI,X,O,X,X,X,X,X,X,O
TSLOZIJ,O,O,X,X,X,X,X,X,X
TSLOZJI,O,O,X,X,X,X,X,X,X
TSJILZO,X,X,X,X,X,X,X,X,O
TSJILOZ,X,X,X,O,X,X,O,X,O
TSJIZLO,O,X,X,X,X,X,X,X,O
TSJIZOL,O,X,X,X,X,X,O,X,O
TSJIOLZ,X,X,X,O,X,X,O,X,O
TSJIOZL,O,X,X,X,X,X,O,X,O
TSJLIZO,X,X,X,X,X,X,X,X,O
TSJLIOZ,X,X,X,O,X,X,O,X,O
TSJLZIO,X,O,X,X,X,X,X,X,O
TSJLZOI,X,O,X,X,X,X,X,X,O
TSJLOIZ,X,X,X,O,X,X,O,X,O
TSJLOZI,X,O,X,X,X,X,X,X,O
TSJZILO,O,O,X,X,X,X,O,X,O
TSJZIOL,O,O,X,X,X,X,O,X,O
TSJZLIO,O,O,X,X,X,X,O,X,O
TSJZLOI,O,O,X,X,X,X,O,X,O
TSJZOIL,O,O,X,X,X,X,O,X,O
TSJZOLI,O,O,X,X,X,X,O,X,O
TSJOILZ,X,X,X,O,X,X,O,X,O
TSJOIZL,O,X,X,X,X,X,O,X,O
TSJOLIZ,X,X,X,O,X,X,O,X,O
TSJOLZI,X,O,X,X,X,X,X,X,O
TSJOZIL,O,O,X,X,X,X,O,X,O
TSJOZLI,O,O,X,X,X,X,O,X,O
TSZILJO,O,X,X,X,X,X,O,X,X
TSZILOJ,O,O,X,X,X,X,O,X,X
TSZIJLO,O,X,X,X,X,X,O,X,X
TSZIJOL,O,X,X,X,X,X,O,X,X
TSZIOLJ,O,O,X,X,X,X,O,X,X
TSZIOJL,O,X,X,X,X,X,O,X,X
TSZLIJO,O,X,X,X,X,X,O,X,X
TSZLIOJ,O,O,X,X,X,X,O,X,X
TSZLJIO,O,O,X,X,X,X,O,X,X
TSZLJOI,O,O,X,X,X,X,O,X,X
TSZLOIJ,O,O,X,X,X,X,O,X,X
TSZLOJI,O,O,X,X,X,X,O,X,X
TSZJILO,O,O,X,X,X,X,O,X,X
TSZJIOL,O,O,X,X,X,X,O,X,X
TSZJLIO,O,O,X,X,X,X,O,X,X
TSZJLOI,O,O,X,X,X,X,O,X,X
TSZJOIL,O,O,X,X,X,X,O,X,X
TSZJOLI,O,O,X,X,X,X,O,X,X
TSZOILJ,O,O,X,X,X,X,O,X,X
TSZOIJL,O,X,X,X,X,X,O,X,X
TSZOLIJ,O,O,X,X,X,X,O,X,X
TSZOLJI,O,O,X,X,X,X,O,X,X
TSZOJIL,O,O,X,X,X,X,O,X,X
TSZOJLI,O,O,X,X,X,X,O,X,X
TSOILJZ,X,X,X,O,X,X,O,O,X
TSOILZJ,O,X,X,X,X,X,X,O,X
TSOIJLZ,X,X,X,O,X,X,O,O,X
TSOIJZL,O,X,X,X,X,X,O,O,X
TSOIZLJ,O,X,X,X,X,X,X,O,X
TSOIZJL,O,X,X,X,X,X,O,O,X
TSOLIJZ,X,X,X,O,X,X,O,O,X
TSOLIZJ,O,X,X,X,X,X,X,O,X
TSOLJIZ,X,X,X,O,X,X,O,X,O
TSOLJZI,X,O,X,X,X,X,X,X,O
TSOLZIJ,O,O,X,X,X,X,X,X,X
TSOLZJI,O,O,X,X,X,X,X,X,X
TSOJILZ,X,X,X,O,X,X,O,X,O
TSOJIZL,O,X,X,X,X,X,O,X,O
TSOJLIZ,X,X,X,O,X,X,O,X,O
TSOJLZI,X,O,X,X,X,X,X,X,O
TSOJZIL,O,O,X,X,X,X,O,X,O
TSOJZLI,O,O,X,X,X,X,O,X,O
TSOZILJ,O,O,X,X,X,X,O,X,X
TSOZIJL,O,X,X,X,X,X,O,X,X
TSOZLIJ,O,O,X,X,X,X,O,X,X
TSOZLJI,O,O,X,X,X,X,O,X,X
TSOZJIL,O,O,X,X,X,X,O,X,X
TSOZJLI,O,O,X,X,X,X,O,X,X
TZILJSO,X,O,O,X,X,X,O,O,X
TZILJOS,X,O,O,X,X,X,O,O,X
TZILSJO,X,X,O,X,X,X,O,O,X
TZILSOJ,X,O,O,X,X,X,O,O,X
TZILOJS,X,O,O,X,X,X,O,O,X
TZILOSJ,X,O,O,X,X,X,O,O,X
TZIJLSO,X,O,X,X,X,X,O,O,X
TZIJLOS,X,O,X,X,X,X,O,O,X
TZIJSLO,X,O,X,X,O,X,O,O,X
TZIJSOL,X,O,X,X,O,X,O,O,X
TZIJOLS,X,O,X,X,X,X,O,O,X
TZIJOSL,X,O,X,X,O,X,O,O,X
TZISLJO,O,X,X,X,X,X,O,O,X
TZISLOJ,O,O,X,X,X,X,O,O,X
TZISJLO,O,X,X,X,X,X,O,O,X
TZISJOL,O,X,X,X,X,X,O,O,X
TZISOLJ,O,O,X,X,X,X,O,O,X
TZISOJL,O,X,X,X,X,X,O,O,X
TZIOLJS,X,O,O,X,X,X,O,O,X
TZIOLSJ,X,O,O,X,X,X,O,O,X
TZIOJLS,X,O,X,X,X,X,O,O,X
TZIOJSL,X,O,X,X,O,X,O,O,X
TZIOSLJ,O,O,X,X,X,X,O,O,X
TZIOSJL,O,X,X,X,X,X,O,O,X
