sequence,v115@/gB8GeC8EeA8AeD8AeI8BeC8JeZ/IvhFCbBOhBTeBt?mB0nBXsB,v115@/gB8GeC8EeA8AeD8AeI8BeC8JeZ/IvhFCbBdiBGeB/?mBznB0rB,v115@/gB8GeC8EeA8AeD8AeI8BeC8Jex6IvhFdiBqiBTeBO?kB/mB0rB,v115@/gB8GeC8EeA8AeD8AeI8BeC8Jex6IvhFNhBCeBOkB8?mBXoBzrB,v115@/gB8GeC8EeA8AeD8AeI8BeC8Jex6IvhFNhB3dBcjBO?kBCnBzrB,v115@/gB8GeC8EeA8AeD8AeI8BeC8JeZ/IvhFCbBNhBWjB8?mBXoBzrB
TJZLSOI,O,X,O,O,O,X
TJZLOIS,O,X,O,X,O,O
TJZLOSI,O,X,O,X,O,X
TJZSILO,O,X,O,O,O,O
TJZSIOL,O,X,X,O,O,X
TJZSLIO,O,X,O,O,O,O
TJZSLOI,O,X,O,O,O,X
TJZSOIL,O,X,X,O,O,X
TJZSOLI,O,X,X,O,O,X
TJZOILS,O,X,X,X,O,O
TJZOISL,O,X,X,O,O,X
TJZOLIS,O,X,X,X,O,O
TJZOLSI,O,X,X,X,O,X
TJZOSIL,O,X,X,O,O,X
TJZOSLI,O,X,X,O,O,X
TJOILSZ,O,O,O,X,X,X
TJOILZS,O,O,O,X,O,O
TJOISLZ,O,O,O,O,X,X
TJOISZL,O,O,X,O,X,X
TJOIZLS,O,O,X,X,O,O
TJOIZSL,O,O,X,O,O,X
TJOLISZ,O,O,O,X,X,X
TJOLIZS,O,O,O,X,O,O
TJOLSIZ,O,O,O,X,X,X
TJOLSZI,O,O,O,X,X,X
TJOLZIS,O,O,O,X,O,O
TJOLZSI,O,O,O,X,O,X
TJOSILZ,O,O,O,O,X,X
TJOSIZL,O,O,X,O,X,X
TJOSLIZ,O,O,O,O,X,X
TJOSLZI,O,O,O,O,X,X
TJOSZIL,O,O,X,O,X,X
TJOSZLI,O,O,X,O,X,X
TJOZILS,O,O,X,X,O,O
TJOZISL,O,O,X,O,O,X
TJOZLIS,O,O,X,X,O,O
TJOZLSI,O,O,X,X,O,X
TJOZSIL,O,O,X,O,O,X
TJOZSLI,O,O,X,O,O,X
TSILJZO,O,X,O,O,X,O
TSILJOZ,O,O,O,O,X,X
TSILZJO,O,X,X,O,X,O
TSILZOJ,O,O,X,X,X,X
TSILOJZ,O,O,O,X,X,X
TSILOZJ,X,O,X,X,X,X
TSIJLZO,O,X,O,O,X,O
TSIJLOZ,O,O,O,O,X,X
TSIJZLO,O,X,O,O,X,O
TSIJZOL,O,X,X,O,X,X
TSIJOLZ,O,O,O,O,X,X
TSIJOZL,O,O,X,O,X,X
TSIZLJO,O,X,X,O,X,O
TSIZLOJ,O,O,X,X,X,X
TSIZJLO,O,X,X,O,X,O
TSIZJOL,O,X,X,O,X,X
TSIZOLJ,O,O,X,X,X,X
TSIZOJL,O,O,X,X,X,X
TSIOLJZ,O,O,X,X,X,X
TSIOLZJ,X,O,X,X,X,X
TSIOJLZ,O,O,X,X,X,X
TSIOJZL,O,O,X,X,X,X
TSIOZLJ,X,O,X,X,X,X
TSIOZJL,X,O,X,X,X,X
TSLIJZO,O,X,O,O,X,O
TSLIJOZ,O,O,O,O,X,X
TSLIZJO,O,X,X,O,X,O
TSLIZOJ,O,O,X,X,X,X
TSLIOJZ,O,O,O,X,X,X
TSLIOZJ,X,O,X,X,X,X
TSLJIZO,O,X,O,O,O,O
TSLJIOZ,O,O,O,O,X,X
TSLJZIO,O,X,O,O,O,O
TSLJZOI,O,X,O,O,O,X
TSLJOIZ,O,O,O,O,X,X
TSLJOZI,O,O,O,O,X,X
TSLZIJO,O,X,X,O,O,O
TSLZIOJ,O,O,X,X,X,X
TSLZJIO,O,X,O,O,O,O
TSLZJOI,O,X,O,O,O,X
TSLZOIJ,O,O,X,X,X,X
TSLZOJI,O,O,O,O,O,X
TSLOIJZ,O,O,O,X,X,X
TSLOIZJ,X,O,X,X,X,X
TSLOJIZ,O,O,O,O,X,X
TSLOJZI,O,O,O,O,X,X
TSLOZIJ,X,O,X,X,X,X
TSLOZJI,X,O,O,O,X,X
TSJILZO,O,X,O,O,O,O
TSJILOZ,O,O,O,O,X,X
TSJIZLO,O,X,O,O,O,O
TSJIZOL,O,X,X,O,O,X
TSJIOLZ,O,O,O,O,X,X
TSJIOZL,O,O,X,O,X,X
TSJLIZO,O,X,O,O,O,O
TSJLIOZ,O,O,O,O,X,X
TSJLZIO,O,X,O,O,O,O
TSJLZOI,O,X,O,O,O,X
TSJLOIZ,O,O,O,O,X,X
TSJLOZI,O,O,O,O,X,X
TSJZILO,O,X,O,O,O,O
TSJZIOL,O,X,X,O,O,X
TSJZLIO,O,X,O,O,O,O
TSJZLOI,O,X,O,O,O,X
TSJZOIL,O,X,X,O,O,X
TSJZOLI,O,X,X,O,O,X
TSJOILZ,O,O,O,O,X,X
TSJOIZL,O,O,X,O,X,X
TSJOLIZ,O,O,O,O,X,X
TSJOLZI,O,O,O,O,X,X
TSJOZIL,O,O,X,O,X,X
TSJOZLI,O,O,X,O,X,X
TSZILJO,O,X,X,O,X,O
TSZILOJ,O,O,X,X,X,X
TSZIJLO,O,X,X,O,O,O
TSZIJOL,O,X,X,O,O,X
TSZIOLJ,O,O,X,X,X,X
TSZIOJL,O,O,X,X,X,X
TSZLIJO,O,X,X,O,O,O
TSZLIOJ,O,O,X,X,X,X
TSZLJIO,O,X,O,O,O,O
TSZLJOI,O,X,O,O,O,X
TSZLOIJ,O,O,X,X,X,X
TSZLOJI,O,O,O,O,O,X
TSZJILO,O,X,O,O,O,O
TSZJIOL,O,X,X,O,O,X
TSZJLIO,O,X,O,O,O,O
TSZJLOI,O,X,O,O,O,X
TSZJOIL,O,X,X,O,O,X
TSZJOLI,O,X,X,O,O,X
TSZOILJ,O,O,X,X,X,X
TSZOIJL,O,O,X,X,X,X
TSZOLIJ,O,O,X,X,X,X
TSZOLJI,O,O,X,O,X,X
TSZOJIL,O,O,X,O,O,X
TSZOJLI,O,O,X,O,O,X
TSOILJZ,O,O,X,X,X,X
TSOILZJ,X,O,X,X,X,X
TSOIJLZ,O,O,X,X,X,X
TSOIJZL,O,O,X,X,X,X
TSOIZLJ,X,O,X,X,X,X
TSOIZJL,X,O,X,X,X,X
TSOLIJZ,O,O,O,X,X,X
TSOLIZJ,X,O,X,X,X,X
TSOLJIZ,O,O,O,O,X,X
TSOLJZI,O,O,O,O,X,X
TSOLZIJ,X,O,X,X,X,X
TSOLZJI,X,O,O,O,X,X
TSOJILZ,O,O,O,O,X,X
TSOJIZL,O,O,X,O,X,X
TSOJLIZ,O,O,O,O,X,X
TSOJLZI,O,O,O,O,X,X
TSOJZIL,O,O,X,O,X,X
TSOJZLI,O,O,X,O,X,X
TSOZILJ,X,O,X,X,X,X
TSOZIJL,X,O,X,X,X,X
TSOZLIJ,X,O,X,X,X,X
TSOZLJI,X,O,X,O,X,X
TSOZJIL,X,O,X,O,X,X
TSOZJLI,X,O,X,O,X,X
TZILJSO,O,X,X,X,O,O
TZILJOS,O,X,X,X,O,O
TZILSJO,O,X,X,X,O,O
TZILSOJ,O,O,X,X,X,X
TZILOJS,O,O,X,X,X,O
TZILOSJ,O,O,X,X,X,X
TZIJLSO,O,X,X,O,O,O
TZIJLOS,O,X,X,X,O,O
TZIJSLO,O,X,X,O,O,O
TZIJSOL,O,X,X,O,O,X
TZIJOLS,O,X,X,X,O,O
TZIJOSL,O,X,X,O,O,X
TZISLJO,O,X,X,O,X,O
TZISLOJ,O,O,X,X,X,X
TZISJLO,O,X,X,O,O,O
TZISJOL,O,X,X,O,O,X
TZISOLJ,O,O,X,X,X,X
TZISOJL,O,O,X,X,X,X
TZIOLJS,O,O,X,X,X,O
TZIOLSJ,O,O,X,X,X,X
TZIOJLS,O,O,X,X,X,O
TZIOJSL,O,O,X,X,X,X
TZIOSLJ,O,O,X,X,X,X
TZIOSJL,O,O,X,X,X,X
TZLIJSO,O,X,X,X,O,O
TZLIJOS,O,X,X,X,O,O
TZLISJO,O,X,X,X,O,O
TZLISOJ,O,O,X,X,X,X
TZLIOJS,O,O,X,X,X,O
TZLIOSJ,O,O,X,X,X,X
TZLJISO,O,X,O,O,O,O
TZLJIOS,O,X,O,X,O,O
TZLJSIO,O,X,O,O,O,O
TZLJSOI,O,X,O,O,O,X
TZLJOIS,O,X,O,X,O,O
TZLJOSI,O,X,O,X,O,X
TZLSIJO,O,X,X,O,O,O
TZLSIOJ,O,O,X,X,X,X
TZLSJIO,O,X,O,O,O,O
TZLSJOI,O,X,O,O,O,X
TZLSOIJ,O,O,X,X,X,X
TZLSOJI,O,O,O,O,O,X
TZLOIJS,O,O,X,X,X,O
TZLOISJ,O,O,X,X,X,X
TZLOJIS,O,O,O,X,O,O
TZLOJSI,O,O,O,X,O,X
TZLOSIJ,O,O,X,X,X,X
TZLOSJI,O,O,O,X,O,X
TZJILSO,O,X,O,O,O,O
TZJILOS,O,X,O,X,O,O
TZJISLO,O,X,O,O,O,O
TZJISOL,O,X,X,O,O,X
TZJIOLS,O,X,X,X,O,O
TZJIOSL,O,X,X,O,O,X
TZJLISO,O,X,O,O,O,O
TZJLIOS,O,X,O,X,O,O
TZJLSIO,O,X,O,O,O,O
TZJLSOI,O,X,O,O,O,X
TZJLOIS,O,X,O,X,O,O
TZJLOSI,O,X,O,X,O,X
TZJSILO,O,X,O,O,O,O
TZJSIOL,O,X,X,O,O,X
TZJSLIO,O,X,O,O,O,O
TZJSLOI,O,X,O,O,O,X
TZJSOIL,O,X,X,O,O,X
TZJSOLI,O,X,X,O,O,X
TZJOILS,O,X,X,X,O,O
TZJOISL,O,X,X,O,O,X
TZJOLIS,O,X,X,X,O,O
TZJOLSI,O,X,X,X,O,X
TZJOSIL,O,X,X,O,O,X
TZJOSLI,O,X,X,O,O,X
TZSILJO,O,X,X,O,X,O
TZSILOJ,O,O,X,X,X,X
TZSIJLO,O,X,X,O,O,O
TZSIJOL,O,X,X,O,O,X
TZSIOLJ,O,O,X,X,X,X
TZSIOJL,O,O,X,X,X,X
TZSLIJO,O,X,X,O,O,O
TZSLIOJ,O,O,X,X,X,X
TZSLJIO,O,X,O,O,O,O
TZSLJOI,O,X,O,O,O,X
TZSLOIJ,O,O,X,X,X,X
TZSLOJI,O,O,O,O,O,X
TZSJILO,O,X,O,O,O,O
TZSJIOL,O,X,X,O,O,X
TZSJLIO,O,X,O,O,O,O
TZSJLOI,O,X,O,O,O,X
TZSJOIL,O,X,X,O,O,X
TZSJOLI,O,X,X,O,O,X
TZSOILJ,O,O,X,X,X,X
TZSOIJL,O,O,X,X,X,X
TZSOLIJ,O,O,X,X,X,X
TZSOLJI,O,O,X,O,X,X
TZSOJIL,O,O,X,O,O,X
TZSOJLI,O,O,X,O,O,X
TZOILJS,O,O,X,X,X,O
TZOILSJ,O,O,X,X,X,X
TZOIJLS,O,O,X,X,X,O
TZOIJSL,O,O,X,X,X,X
TZOISLJ,O,O,X,X,X,X
TZOISJL,O,O,X,X,X,X
TZOLIJS,O,O,X,X,X,O
TZOLISJ,O,O,X,X,X,X
TZOLJIS,O,O,X,X,O,O
TZOLJSI,O,O,X,X,O,X
TZOLSIJ,O,O,X,X,X,X
TZOLSJI,O,O,X,X,O,X
TZOJILS,O,O,X,X,O,O
TZOJISL,O,O,X,O,O,X
TZOJLIS,O,O,X,X,O,O
TZOJLSI,O,O,X,X,O,X
TZOJSIL,O,O,X,O,O,X
TZOJSLI,O,O,X,O,O,X
TZOSILJ,O,O,X,X,X,X
TZOSIJL,O,O,X,X,X,X
TZOSLIJ,O,O,X,X,X,X
TZOSLJI,O,O,X,O,X,X
TZOSJIL,O,O,X,O,O,X
TZOSJLI,O,O,X,O,O,X
TOILJSZ,O,O,X,X,X,X
TOILJZS,O,O,X,X,X,O
TOILSJZ,O,O,X,X,X,X
TOILSZJ,X,O,X,X,X,X
TOILZJS,O,O,X,X,X,O
TOILZSJ,O,O,X,X,X,X
TOIJLSZ,O,O,X,X,X,X
TOIJLZS,O,O,X,X,X,O
TOIJSLZ,O,O,X,X,X,X
TOIJSZL,O,O,X,X,X,X
TOIJZLS,O,O,X,X,X,O
TOIJZSL,O,O,X,X,X,X
TOISLJZ,O,O,X,X,X,X
TOISLZJ,X,O,X,X,X,X
TOISJLZ,O,O,X,X,X,X
TOISJZL,O,O,X,X,X,X
TOISZLJ,X,O,X,X,X,X
TOISZJL,X,O,X,X,X,X
TOIZLJS,O,O,X,X,X,O
TOIZLSJ,O,O,X,X,X,X
TOIZJLS,O,O,X,X,X,O
TOIZJSL,O,O,X,X,X,X
TOIZSLJ,O,O,X,X,X,X
TOIZSJL,O,O,X,X,X,X
TOLIJSZ,O,O,O,X,X,X
TOLIJZS,O,O,O,X,X,O
TOLISJZ,O,O,O,X,X,X
TOLISZJ,X,O,X,X,X,X
TOLIZJS,O,O,X,X,X,O
TOLIZSJ,O,O,X,X,X,X
TOLJISZ,O,O,O,X,X,X
TOLJIZS,O,O,O,X,O,O
TOLJSIZ,O,O,O,X,X,X
TOLJSZI,O,O,O,X,X,X
TOLJZIS,O,O,O,X,O,O
TOLJZSI,O,O,O,X,O,X
TOLSIJZ,O,O,O,X,X,X
TOLSIZJ,X,O,X,X,X,X
TOLSJIZ,O,O,O,X,X,X
TOLSJZI,O,O,O,X,X,X
TOLSZIJ,X,O,X,X,X,X
TOLSZJI,X,O,O,X,X,X
TOLZIJS,O,O,X,X,X,O
TOLZISJ,O,O,X,X,X,X
TOLZJIS,O,O,O,X,O,O
TOLZJSI,O,O,O,X,O,X
TOLZSIJ,O,O,X,X,X,X
TOLZSJI,O,O,O,X,O,X
TOJILSZ,O,O,O,X,X,X
TOJILZS,O,O,O,X,O,O
TOJISLZ,O,O,O,O,X,X
TOJISZL,O,O,X,O,X,X
TOJIZLS,O,O,X,X,O,O
TOJIZSL,O,O,X,O,O,X
TOJLISZ,O,O,O,X,X,X
TOJLIZS,O,O,O,X,O,O
TOJLSIZ,O,O,O,X,X,X
TOJLSZI,O,O,O,X,X,X
TOJLZIS,O,O,O,X,O,O
TOJLZSI,O,O,O,X,O,X
TOJSILZ,O,O,O,O,X,X
TOJSIZL,O,O,X,O,X,X
TOJSLIZ,O,O,O,O,X,X
TOJSLZI,O,O,O,O,X,X
