sequence,v115@HhB8HeB8GeD8AeB8BeB8Jex/IvhFmhBqnBTjB/qBFm?BUsB,v115@HhB8HeB8GeD8AeB8BeB8Jem/IvhFzgBRiBcoBfsB6s?BlqB,v115@HhB8HeB8GeD8AeB8BeB8Jex/IvhFlhBGjB/qBUmBKs?BzsB,v115@HhB8HeB8GeD8AeB8BeB8Jem/IvhFzgBCiBxnBXoBlq?BUsB,v115@HhB8HeB8GeD8AeB8BeB8Jem/IvhFChBxiB0mBXoBlq?BTsB,v115@HhB8HeB8GeD8AeB8BeB8Jex/IvhFylBumB3iBcoBlq?BTsB,v115@HhB8HeB8GeD8AeB8BeB8Jex/IvhFmhBSoB/qBFmBzn?BUsB,v115@HhB8HeB8GeD8AeB8BeB8Jem/IvhFChB0mBxnBXoBlq?BTsB,v115@HhB8HeB8GeD8AeB8BeB8JeUBJvhF6qBxnBmkB3mBFo?BTsB
TLZJOIS,O,O,O,O,X,O,X,O,X
TLZJOSI,O,O,O,O,O,O,O,X,X
TLZSIJO,X,O,O,O,O,O,O,O,X
TLZSIOJ,X,O,O,O,O,O,O,X,X
TLZSJIO,O,O,O,O,O,O,O,O,X
TLZSJOI,O,O,O,O,O,O,O,X,X
TLZSOIJ,X,O,O,O,O,O,O,X,X
TLZSOJI,O,O,O,O,O,O,O,X,X
TLZOIJS,O,O,O,O,X,O,X,O,O
TLZOISJ,X,X,O,O,X,O,X,X,O
TLZOJIS,O,O,O,O,X,O,X,O,X
TLZOJSI,O,O,O,O,O,O,O,X,X
TLZOSIJ,X,O,O,O,O,O,X,X,X
TLZOSJI,O,O,O,O,O,O,X,X,X
TLOIJSZ,O,X,O,O,X,O,X,X,X
TLOIJZS,X,X,O,O,X,O,X,X,X
TLOISJZ,O,X,O,O,X,O,X,X,X
TLOISZJ,O,X,O,X,X,O,X,X,X
TLOIZJS,X,X,O,O,X,O,X,X,O
TLOIZSJ,X,X,O,X,X,O,X,X,O
TLOJISZ,O,X,O,O,X,O,X,X,X
TLOJIZS,X,X,O,O,X,O,X,X,X
TLOJSIZ,O,O,O,X,O,O,O,X,X
TLOJSZI,O,O,O,X,O,O,O,X,X
TLOJZIS,X,O,O,O,X,O,X,O,X
TLOJZSI,O,O,O,O,O,O,X,X,X
TLOSIJZ,O,O,O,X,O,O,X,X,X
TLOSIZJ,O,O,O,X,X,O,X,X,X
TLOSJIZ,O,O,O,X,O,O,X,X,X
TLOSJZI,O,O,O,X,O,O,X,X,X
TLOSZIJ,O,O,O,X,O,O,X,X,X
TLOSZJI,O,O,O,X,O,O,X,X,X
TLOZIJS,O,O,O,O,X,O,X,O,O
TLOZISJ,X,X,O,O,X,O,X,X,O
TLOZJIS,O,O,O,O,X,O,X,O,X
TLOZJSI,O,O,O,O,O,O,X,X,X
TLOZSIJ,X,O,O,O,O,O,X,X,X
TLOZSJI,O,O,O,O,O,O,X,X,X
TJILSZO,O,X,O,X,O,O,O,X,X
TJILSOZ,O,X,O,O,O,O,O,X,X
TJILZSO,X,X,O,X,O,O,X,O,X
TJILZOS,X,X,O,O,X,O,X,O,X
TJILOSZ,O,X,O,O,X,O,X,X,X
TJILOZS,X,X,O,O,X,O,X,X,X
TJISLZO,O,O,O,X,O,O,O,X,X
TJISLOZ,O,O,O,O,O,O,O,X,X
TJISZLO,O,O,O,X,O,O,O,O,X
TJISZOL,O,O,O,X,O,O,O,X,X
TJISOLZ,O,O,O,O,O,O,O,X,X
TJISOZL,O,O,O,X,O,O,O,X,X
TJIZLSO,O,X,X,O,O,O,O,O,X
TJIZLOS,O,O,X,O,X,O,X,O,X
TJIZSLO,O,O,X,O,O,O,O,O,X
TJIZSOL,O,O,X,O,O,O,O,X,X
TJIZOLS,X,O,X,O,X,O,X,O,X
TJIZOSL,X,O,X,O,X,O,X,X,X
TJIOLSZ,X,X,O,O,X,O,X,X,X
TJIOLZS,X,X,O,O,X,O,X,X,X
