sequence,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jex8IvhF6jBFhBXiB8?nBmqBzrB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeX8IvhFxdBFiBTjB6?rBcsBmqB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jex9IvhFFhBXiBTjBc?sB6rBmqB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jex9IvhFFhBXiBTjBS?sBmqB0rB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeX8IvhFxdBFiBTjBS?sBmqB0rB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jex8IvhF6jBFhB8mBz?iBmqBXsB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeX8IvhFxdBFiBTjBy?qB+rBcsB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeeCJvhFfjB6jBFhBc?sBxqBTrB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Je6DJvhFFhBXiB8nBO?sBxqBTrB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jem8IvhFCeBFhBTjBc?sBxqB3rB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jex8IvhFTeB8mBWoBy?qBXsBFrB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeX8IvhFxdBTjBlmBc?sBmqBCsB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeVBJvhFTeBmmBCoBx?qBcsB3rB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeSCJvhFTeBUhBxnBl?mBmqBXsB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeX+IvhFFhBSoBUnBx?qBOsBTrB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jex8IvhF8iB+jBzhBK?rB3lBFsB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeFBJvhFXiBTjBCjBU?nBxqB2wB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jem8IvhFfjB6jBTnBx?qB0rBFrB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jex8IvhFFhB8mBCjBT?jBmqBXsB
JLTISOZ,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JLTIZSO,O,X,X,X,O,X,X,X,O,X,X,X,O,X,O,O,X,X,X
JLTIZOS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X
JLTIOSZ,O,O,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JLTIOZS,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JLTSIZO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTSIOZ,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JLTSZIO,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JLTSZOI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JLTSOIZ,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JLTSOZI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JLTZISO,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
JLTZIOS,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JLTZSIO,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
JLTZSOI,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
JLTZOIS,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JLTZOSI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JLTOISZ,O,O,X,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
JLTOIZS,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JLTOSIZ,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JLTOSZI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JLTOZIS,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JLTOZSI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JLITSZO,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLITSOZ,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JLITZSO,O,X,X,X,O,X,X,X,O,X,X,X,O,X,O,O,X,X,X
JLITZOS,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X
JLITOSZ,O,O,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JLITOZS,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X
JLISTZO,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLISTOZ,X,O,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JLISZTO,X,O,X,X,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X
JLISZOT,X,O,X,X,O,O,O,O,X,X,O,X,O,O,X,X,X,X,X
JLISOTZ,X,O,X,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
JLISOZT,X,O,X,O,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X
JLIZTSO,O,O,X,X,O,X,O,X,O,X,X,X,O,X,O,O,X,X,X
JLIZTOS,O,O,X,X,O,X,O,X,X,X,X,X,O,O,O,O,X,X,X
JLIZSTO,O,O,X,X,O,X,O,X,O,X,X,X,O,O,O,O,X,X,X
JLIZSOT,O,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X
JLIZOTS,O,O,X,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X
JLIZOST,O,O,X,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
JLIOTSZ,O,O,X,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
JLIOTZS,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JLIOSTZ,X,O,X,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
JLIOSZT,X,O,X,O,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X
JLIOZTS,O,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X
JLIOZST,O,O,X,O,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X
JLSTIZO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTIOZ,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JLSTZIO,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,O
JLSTZOI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,O,X,X,O
JLSTOIZ,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JLSTOZI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JLSITZO,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JLSITOZ,X,O,X,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JLSIZTO,X,O,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,O
JLSIZOT,X,O,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X
JLSIOTZ,X,O,X,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
JLSIOZT,X,O,X,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
JLSZTIO,O,O,X,X,O,O,O,O,X,X,O,X,X,O,X,O,X,X,O
JLSZTOI,O,O,X,O,O,O,O,O,X,X,O,X,X,X,X,O,X,X,O
JLSZITO,O,O,X,X,O,O,O,O,X,X,O,X,X,O,O,O,X,X,O
JLSZIOT,O,O,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X
JLSZOTI,O,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O
JLSZOIT,O,O,X,O,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X
JLSOTIZ,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X
JLSOTZI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JLSOITZ,X,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X
JLSOIZT,X,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X
JLSOZTI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O
JLSOZIT,O,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X
JLZTISO,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
JLZTIOS,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X
JLZTSIO,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
JLZTSOI,O,O,O,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X
JLZTOIS,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X
JLZTOSI,O,O,O,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X
JLZITSO,O,O,X,X,O,X,O,X,O,X,X,X,X,X,O,O,X,X,X
JLZITOS,O,O,X,X,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X
JLZISTO,O,O,X,X,O,X,O,X,O,X,X,X,X,O,O,O,X,X,X
JLZISOT,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JLZIOTS,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X
JLZIOST,O,O,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JLZSTIO,O,O,X,X,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X
JLZSTOI,O,O,O,O,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X
JLZSITO,O,O,X,X,O,O,O,X,O,X,O,X,X,O,O,O,X,X,X
JLZSIOT,O,O,X,X,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
JLZSOTI,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JLZSOIT,O,O,O,O,O,O,O,X,X,X,O,O,X,O,X,X,X,X,X
JLZOTIS,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X
JLZOTSI,O,O,O,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X
JLZOITS,O,O,X,X,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X
JLZOIST,O,O,O,O,O,O,O,X,X,X,O,O,X,O,X,X,X,X,X
JLZOSTI,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JLZOSIT,O,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JLOTISZ,O,O,X,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
JLOTIZS,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JLOTSIZ,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JLOTSZI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JLOTZIS,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JLOTZSI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JLOITSZ,O,O,X,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
JLOITZS,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLOISTZ,X,O,X,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
JLOISZT,X,O,X,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
JLOIZTS,O,O,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X
JLOIZST,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
JLOSTIZ,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JLOSTZI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JLOSITZ,X,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JLOSIZT,X,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JLOSZTI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JLOSZIT,O,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JLOZTIS,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X
JLOZTSI,O,O,O,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X
JLOZITS,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X
JLOZIST,O,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JLOZSTI,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JLOZSIT,O,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JSTILZO,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSTILOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSTIZLO,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSTIZOL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSTIOLZ,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JSTIOZL,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JSTLIZO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLIOZ,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSTLZIO,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O
JSTLZOI,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O
JSTLOIZ,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSTLOZI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JSTZILO,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O
JSTZIOL,O,O,O,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,O
JSTZLIO,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O
JSTZLOI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
JSTZOIL,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O
JSTZOLI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
JSTOILZ,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSTOIZL,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JSTOLIZ,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSTOLZI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JSTOZIL,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JSTOZLI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSITLZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSITLOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSITZLO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSITZOL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSITOLZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JSITOZL,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JSILTZO,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSILTOZ,X,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JSILZTO,X,O,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,O
JSILZOT,X,O,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X
JSILOTZ,X,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
JSILOZT,X,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
JSIZTLO,X,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,O
JSIZTOL,X,O,X,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,O
JSIZLTO,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O
JSIZLOT,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X
JSIZOTL,X,O,X,X,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X
JSIZOLT,X,O,X,X,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X
JSIOTLZ,X,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
JSIOTZL,X,O,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
JSIOLTZ,X,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
JSIOLZT,X,O,X,X,O,O,O,X,X,X,O,O,X,O,X,X,X,X,X
JSIOZTL,X,O,X,X,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X
JSIOZLT,X,O,X,X,O,O,O,X,X,X,O,O,X,O,X,X,X,X,X
JSLTIZO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTIOZ,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSLTZIO,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,O
JSLTZOI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,O,X,X,O
JSLTOIZ,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JSLTOZI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JSLITZO,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSLITOZ,X,O,X,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JSLIZTO,X,O,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,O
JSLIZOT,X,O,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X
JSLIOTZ,X,O,X,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
JSLIOZT,X,O,X,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
JSLZTIO,O,O,X,X,O,O,O,O,X,X,O,X,X,O,X,O,X,X,O
JSLZTOI,O,O,X,O,O,O,O,O,X,X,O,X,X,X,X,O,X,X,O
JSLZITO,O,O,X,X,O,O,O,O,X,X,O,X,X,O,X,O,X,X,O
JSLZIOT,O,O,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X
JSLZOTI,O,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O
JSLZOIT,O,O,X,O,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X
JSLOTIZ,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X
JSLOTZI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JSLOITZ,X,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X
JSLOIZT,X,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X
JSLOZTI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O
JSLOZIT,O,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X
JSZTILO,O,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,O
JSZTIOL,O,O,O,X,X,O,O,O,X,X,O,O,X,O,X,X,X,X,O
JSZTLIO,O,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,O
JSZTLOI,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O
JSZTOIL,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O
JSZTOLI,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O
JSZITLO,O,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,O
JSZITOL,O,O,O,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,O
JSZILTO,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X,O
JSZILOT,O,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X
JSZIOTL,X,O,O,X,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X
JSZIOLT,O,O,O,X,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X
JSZLTIO,O,O,X,X,O,O,O,O,X,X,O,X,X,O,X,O,X,X,O
JSZLTOI,O,O,O,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X,O
JSZLITO,O,O,X,X,O,O,X,O,X,X,O,X,X,O,X,O,X,X,O
JSZLIOT,O,O,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X
JSZLOTI,O,O,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O
JSZLOIT,O,O,O,X,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X
JSZOTIL,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O
JSZOTLI,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O
JSZOITL,O,O,O,X,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X
JSZOILT,O,O,O,X,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X
JSZOLTI,O,O,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O
JSZOLIT,O,O,O,X,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X
JSOTILZ,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSOTIZL,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JSOTLIZ,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X
JSOTLZI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JSOTZIL,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JSOTZLI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOITLZ,X,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,O,X
JSOITZL,X,O,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
JSOILTZ,X,O,X,O,O,O,O,X,X,X,O,X,X,O,X,X,X,O,X
JSOILZT,X,O,X,O,O,O,O,X,X,X,O,O,X,O,X,X,X,O,X
JSOIZTL,X,O,O,X,X,O,O,X,X,X,O,O,X,O,X,X,X,O,X
JSOIZLT,X,O,O,X,O,O,O,X,X,X,O,O,X,O,X,X,X,O,X
JSOLTIZ,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X
JSOLTZI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JSOLITZ,X,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X
JSOLIZT,X,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X
JSOLZTI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O
JSOLZIT,O,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X
JSOZTIL,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O
JSOZTLI,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O
JSOZITL,O,O,O,X,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X
JSOZILT,O,O,O,X,O,O,O,X,X,X,O,O,X,O,X,X,X,X,X
JSOZLTI,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O
JSOZLIT,O,O,O,X,O,O,O,X,X,X,O,O,X,O,X,X,X,O,X
JZTILSO,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X
JZTILOS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JZTISLO,O,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
JZTISOL,O,O,O,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X
JZTIOLS,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JZTIOSL,O,O,O,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X
JZTLISO,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
JZTLIOS,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
JZTLSIO,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X
JZTLSOI,O,O,O,O,X,X,O,O,O,O,X,O,X,X,X,O,X,X,X
JZTLOIS,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
JZTLOSI,O,O,O,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
JZTSILO,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JZTSIOL,O,O,O,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X
JZTSLIO,O,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
JZTSLOI,O,O,O,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X
JZTSOIL,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JZTSOLI,O,O,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
JZTOILS,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JZTOISL,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JZTOLIS,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JZTOLSI,O,O,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JZTOSIL,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JZTOSLI,O,O,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
JZITLSO,O,O,X,X,X,X,O,O,O,O,X,X,X,X,O,O,X,X,X
JZITLOS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X
JZITSLO,O,O,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
JZITSOL,O,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X
JZITOLS,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JZITOSL,X,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X
JZILTSO,O,O,X,X,X,X,X,O,O,O,X,X,X,X,O,O,X,X,X
JZILTOS,O,O,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X
JZILSTO,O,O,X,X,X,X,X,O,O,O,X,X,X,O,O,O,X,X,X
JZILSOT,O,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JZILOTS,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
JZILOST,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZISTLO,O,O,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
JZISTOL,O,O,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
JZISLTO,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X
JZISLOT,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JZISOTL,X,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X
JZISOLT,O,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X
JZIOTLS,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
