sequence,v115@0gA8IeA8IeD8FeE8AeG8BeD8JeZ/IvhFTbBicBGeBU?jBFnB3rB,v115@0gA8IeA8IeD8FeE8AeG8BeD8JeZ/IvhF2gBzcBfjB6?jBFnBUrB,v115@0gA8IeA8IeD8FeE8AeG8BeD8JeZ/IvhFTbBfjB6jBF?nBOrB8rB,v115@0gA8IeA8IeD8FeE8AeG8BeD8JeZ/IvhF2gBFdB6jBf?nBznBUrB,v115@0gA8IeA8IeD8FeE8AeG8BeD8JeZ/IvhFibBFdBTeBf?nBWtBUrB
JTZOSIL,O,O,X,X,X
JTZOSLI,O,O,X,X,X
JTOILSZ,X,O,X,O,O
JTOILZS,O,X,X,X,X
JTOISLZ,X,O,O,O,O
JTOISZL,X,O,X,O,O
JTOIZLS,O,X,X,X,X
JTOIZSL,O,O,X,X,X
JTOLISZ,X,O,X,O,O
JTOLIZS,O,X,X,X,X
JTOLSIZ,X,O,X,O,O
JTOLSZI,X,O,X,O,O
JTOLZIS,O,X,X,X,X
JTOLZSI,O,X,X,X,X
JTOSILZ,X,O,O,O,O
JTOSIZL,X,O,X,O,O
JTOSLIZ,X,O,O,O,O
JTOSLZI,X,O,X,O,O
JTOSZIL,X,O,X,O,O
JTOSZLI,X,O,X,O,O
JTOZILS,O,X,X,X,X
JTOZISL,O,O,X,X,X
JTOZLIS,O,X,X,X,X
JTOZLSI,O,X,X,X,X
JTOZSIL,O,O,X,X,X
JTOZSLI,O,O,X,X,X
JITLSZO,X,O,X,X,O
JITLSOZ,X,O,X,X,O
JITLZSO,O,X,X,X,X
JITLZOS,O,X,X,X,X
JITLOSZ,X,O,X,O,O
JITLOZS,O,X,X,X,X
JITSLZO,X,O,O,X,O
JITSLOZ,X,O,O,O,O
JITSZLO,X,O,X,X,O
JITSZOL,X,O,X,O,O
JITSOLZ,X,O,O,O,O
JITSOZL,X,O,X,O,O
JITZLSO,O,X,X,X,X
JITZLOS,O,X,X,X,X
JITZSLO,O,O,X,X,X
JITZSOL,O,O,X,X,X
JITZOLS,O,X,X,X,X
JITZOSL,O,O,X,X,X
JITOLSZ,X,O,X,O,O
JITOLZS,O,X,X,X,X
JITOSLZ,X,O,O,O,O
JITOSZL,X,O,X,O,O
JITOZLS,O,X,X,X,X
JITOZSL,O,O,X,X,X
JILTSZO,X,O,X,X,O
JILTSOZ,X,O,X,X,O
JILTZSO,O,X,X,X,X
JILTZOS,O,X,X,X,X
JILTOSZ,X,O,X,O,O
JILTOZS,O,X,X,X,X
JILSTZO,X,O,O,X,O
JILSTOZ,X,O,O,O,O
JILSZTO,X,O,X,X,O
JILSZOT,X,X,X,X,O
JILSOTZ,X,O,O,O,O
JILSOZT,X,X,X,O,O
JILZTSO,X,X,X,X,X
JILZTOS,O,X,X,X,X
JILZSTO,X,O,X,X,O
JILZSOT,O,X,X,X,O
JILZOTS,O,X,X,X,X
JILZOST,O,X,X,O,O
JILOTSZ,X,X,X,O,O
JILOTZS,O,X,X,X,X
JILOSTZ,X,O,O,O,O
JILOSZT,X,X,X,O,O
JILOZTS,O,X,X,X,X
JILOZST,O,X,X,O,O
JISTLZO,X,O,O,X,O
JISTLOZ,X,O,O,O,O
JISTZLO,X,O,X,X,O
JISTZOL,X,O,X,O,O
JISTOLZ,X,O,O,O,O
JISTOZL,X,O,X,O,O
JISLTZO,X,O,O,X,O
JISLTOZ,X,O,O,O,O
JISLZTO,X,O,X,X,O
JISLZOT,X,X,X,X,O
JISLOTZ,X,O,O,O,O
JISLOZT,X,X,X,O,O
JISZTLO,X,O,X,X,O
JISZTOL,X,O,X,O,O
JISZLTO,X,O,X,X,O
JISZLOT,X,X,X,X,O
JISZOTL,X,X,X,O,O
JISZOLT,X,X,X,O,O
JISOTLZ,X,O,O,O,O
JISOTZL,X,O,X,O,O
JISOLTZ,X,O,O,O,O
JISOLZT,X,X,X,O,O
JISOZTL,X,X,X,O,O
JISOZLT,X,X,X,O,O
JIZTLSO,O,X,X,X,X
JIZTLOS,O,X,X,X,X
JIZTSLO,O,O,X,X,X
JIZTSOL,O,O,X,X,X
JIZTOLS,O,X,X,X,X
JIZTOSL,O,O,X,X,X
JIZLTSO,O,X,X,X,X
JIZLTOS,O,X,X,X,X
JIZLSTO,X,O,X,X,O
JIZLSOT,O,X,X,X,O
JIZLOTS,O,X,X,X,X
JIZLOST,O,X,X,O,O
JIZSTLO,O,O,X,X,O
JIZSTOL,O,O,X,O,O
JIZSLTO,X,O,X,X,O
JIZSLOT,O,X,X,X,O
JIZSOTL,O,X,X,O,O
JIZSOLT,O,X,X,O,O
JIZOTLS,O,X,X,X,X
JIZOTSL,O,X,X,X,X
JIZOLTS,O,X,X,X,X
JIZOLST,O,X,X,O,O
JIZOSTL,O,X,X,O,O
JIZOSLT,O,X,X,O,O
JIOTLSZ,X,O,X,O,O
JIOTLZS,O,X,X,X,X
JIOTSLZ,X,O,O,O,O
JIOTSZL,X,O,X,O,O
JIOTZLS,O,X,X,X,X
JIOTZSL,O,O,X,X,X
JIOLTSZ,X,X,X,O,O
JIOLTZS,O,X,X,X,X
JIOLSTZ,X,O,O,O,O
JIOLSZT,X,X,X,O,O
JIOLZTS,O,X,X,X,X
JIOLZST,O,X,X,O,O
JIOSTLZ,X,O,O,O,O
JIOSTZL,X,O,X,O,O
JIOSLTZ,X,O,O,O,O
JIOSLZT,X,X,X,O,O
JIOSZTL,X,X,X,O,O
JIOSZLT,X,X,X,O,O
JIOZTLS,O,X,X,X,X
JIOZTSL,O,X,X,X,X
JIOZLTS,O,X,X,X,X
JIOZLST,O,X,X,O,O
JIOZSTL,O,X,X,O,O
JIOZSLT,O,X,X,O,O
JLTISZO,X,O,X,X,O
JLTISOZ,X,O,X,X,O
JLTIZSO,O,X,X,X,X
JLTIZOS,O,X,X,X,X
JLTIOSZ,X,O,X,O,O
JLTIOZS,O,X,X,X,X
JLTSIZO,X,O,X,X,O
JLTSIOZ,X,O,X,X,O
JLTSZIO,X,O,X,X,O
JLTSZOI,X,O,X,X,O
JLTSOIZ,X,O,X,X,O
JLTSOZI,X,O,X,X,O
JLTZISO,O,X,X,X,X
JLTZIOS,O,X,X,X,X
JLTZSIO,O,X,X,X,X
JLTZSOI,O,X,X,X,X
JLTZOIS,O,X,X,X,X
JLTZOSI,O,X,X,X,X
JLTOISZ,X,O,X,O,O
JLTOIZS,O,X,X,X,X
JLTOSIZ,X,O,X,O,O
JLTOSZI,X,O,X,O,O
JLTOZIS,O,X,X,X,X
JLTOZSI,O,X,X,X,X
JLITSZO,X,O,X,X,O
JLITSOZ,X,O,X,X,O
JLITZSO,O,X,X,X,X
JLITZOS,O,X,X,X,X
JLITOSZ,X,O,X,O,O
JLITOZS,O,X,X,X,X
JLISTZO,X,O,O,X,O
JLISTOZ,X,O,O,O,O
JLISZTO,X,O,X,X,O
JLISZOT,X,X,X,X,O
JLISOTZ,X,O,O,O,O
JLISOZT,X,X,X,O,O
JLIZTSO,X,X,X,X,X
JLIZTOS,O,X,X,X,X
JLIZSTO,X,O,X,X,O
JLIZSOT,O,X,X,X,O
JLIZOTS,O,X,X,X,X
JLIZOST,O,X,X,O,O
JLIOTSZ,X,X,X,O,O
JLIOTZS,O,X,X,X,X
JLIOSTZ,X,O,O,O,O
JLIOSZT,X,X,X,O,O
JLIOZTS,O,X,X,X,X
JLIOZST,O,X,X,O,O
JLSTIZO,X,O,O,X,O
JLSTIOZ,X,O,O,O,O
JLSTZIO,X,O,X,X,O
JLSTZOI,X,O,X,X,O
JLSTOIZ,X,O,O,O,O
JLSTOZI,X,O,X,O,O
JLSITZO,X,O,O,X,O
JLSITOZ,X,O,O,O,O
JLSIZTO,X,O,X,X,O
JLSIZOT,X,X,X,X,O
JLSIOTZ,X,O,O,O,O
JLSIOZT,X,X,X,O,O
JLSZTIO,X,O,X,X,O
JLSZTOI,X,O,X,X,O
JLSZITO,X,O,X,X,O
JLSZIOT,X,X,X,X,O
JLSZOTI,X,X,X,X,O
JLSZOIT,X,X,X,X,O
JLSOTIZ,X,O,O,O,O
JLSOTZI,X,O,X,O,O
JLSOITZ,X,O,O,O,O
JLSOIZT,X,X,X,O,O
JLSOZTI,X,X,X,O,O
JLSOZIT,X,X,X,O,O
JLZTISO,X,X,X,X,X
JLZTIOS,O,X,X,X,X
JLZTSIO,X,X,X,X,X
JLZTSOI,X,X,X,X,X
JLZTOIS,O,X,X,X,X
JLZTOSI,X,X,X,X,X
JLZITSO,X,X,X,X,X
JLZITOS,O,X,X,X,X
JLZISTO,X,O,X,X,O
JLZISOT,O,X,X,X,O
JLZIOTS,O,X,X,X,X
JLZIOST,O,X,X,O,O
JLZSTIO,X,O,X,X,O
JLZSTOI,X,O,X,X,O
JLZSITO,X,O,X,X,O
JLZSIOT,O,X,X,X,O
JLZSOTI,X,X,X,X,O
JLZSOIT,O,X,X,X,O
JLZOTIS,O,X,X,X,X
JLZOTSI,X,X,X,X,X
JLZOITS,O,X,X,X,X
JLZOIST,O,X,X,O,O
JLZOSTI,X,X,X,O,O
JLZOSIT,O,X,X,O,O
JLOTISZ,X,X,X,O,O
JLOTIZS,O,X,X,X,X
JLOTSIZ,X,X,X,O,O
JLOTSZI,X,X,X,O,O
JLOTZIS,O,X,X,X,X
JLOTZSI,O,X,X,X,X
JLOITSZ,X,X,X,O,O
JLOITZS,O,X,X,X,X
JLOISTZ,X,O,O,O,O
JLOISZT,X,X,X,O,O
JLOIZTS,O,X,X,X,X
JLOIZST,O,X,X,O,O
JLOSTIZ,X,O,O,O,O
JLOSTZI,X,O,X,O,O
JLOSITZ,X,O,O,O,O
JLOSIZT,X,X,X,O,O
JLOSZTI,X,X,X,O,O
JLOSZIT,X,X,X,O,O
JLOZTIS,O,X,X,X,X
JLOZTSI,X,X,X,X,X
JLOZITS,O,X,X,X,X
JLOZIST,O,X,X,O,O
JLOZSTI,X,X,X,O,O
JLOZSIT,O,X,X,O,O
JSTILZO,X,O,O,X,O
JSTILOZ,X,O,O,O,O
JSTIZLO,X,O,X,X,O
JSTIZOL,X,O,X,O,O
JSTIOLZ,X,O,O,O,O
JSTIOZL,X,O,X,O,O
JSTLIZO,X,O,O,X,O
JSTLIOZ,X,O,O,O,O
JSTLZIO,X,O,X,X,O
JSTLZOI,X,O,X,X,O
JSTLOIZ,X,O,O,O,O
JSTLOZI,X,O,X,O,O
JSTZILO,X,O,X,X,O
JSTZIOL,X,O,X,O,O
JSTZLIO,X,O,X,X,O
JSTZLOI,X,O,X,X,O
JSTZOIL,X,O,X,O,O
JSTZOLI,X,O,X,O,O
JSTOILZ,X,O,O,O,O
JSTOIZL,X,O,X,O,O
JSTOLIZ,X,O,O,O,O
JSTOLZI,X,O,X,O,O
JSTOZIL,X,O,X,O,O
JSTOZLI,X,O,X,O,O
JSITLZO,X,O,O,X,O
JSITLOZ,X,O,O,O,O
JSITZLO,X,O,X,X,O
JSITZOL,X,O,X,O,O
JSITOLZ,X,O,O,O,O
JSITOZL,X,O,X,O,O
JSILTZO,X,O,O,X,O
JSILTOZ,X,O,O,O,O
JSILZTO,X,O,X,X,O
JSILZOT,X,X,X,X,O
JSILOTZ,X,O,O,O,O
JSILOZT,X,X,X,O,O
JSIZTLO,X,O,X,X,O
JSIZTOL,X,O,X,O,O
JSIZLTO,X,O,X,X,O
JSIZLOT,X,X,X,X,O
JSIZOTL,X,X,X,O,O
JSIZOLT,X,X,X,O,O
JSIOTLZ,X,O,O,O,O
JSIOTZL,X,O,X,O,O
JSIOLTZ,X,O,O,O,O
JSIOLZT,X,X,X,O,O
JSIOZTL,X,X,X,O,O
JSIOZLT,X,X,X,O,O
JSLTIZO,X,O,O,X,O
JSLTIOZ,X,O,O,O,O
JSLTZIO,X,O,X,X,O
JSLTZOI,X,O,X,X,O
JSLTOIZ,X,O,O,O,O
JSLTOZI,X,O,X,O,O
JSLITZO,X,O,O,X,O
JSLITOZ,X,O,O,O,O
JSLIZTO,X,O,X,X,O
JSLIZOT,X,X,X,X,O
JSLIOTZ,X,O,O,O,O
JSLIOZT,X,X,X,O,O
JSLZTIO,X,O,X,X,O
JSLZTOI,X,O,X,X,O
JSLZITO,X,O,X,X,O
JSLZIOT,X,X,X,X,O
JSLZOTI,X,X,X,X,O
JSLZOIT,X,X,X,X,O
JSLOTIZ,X,O,O,O,O
JSLOTZI,X,O,X,O,O
JSLOITZ,X,O,O,O,O
JSLOIZT,X,X,X,O,O
JSLOZTI,X,X,X,O,O
JSLOZIT,X,X,X,O,O
JSZTILO,X,O,X,X,O
JSZTIOL,X,O,X,O,O
JSZTLIO,X,O,X,X,O
JSZTLOI,X,O,X,X,O
JSZTOIL,X,O,X,O,O
JSZTOLI,X,O,X,O,O
JSZITLO,X,O,X,X,O
JSZITOL,X,O,X,O,O
JSZILTO,X,O,X,X,O
JSZILOT,X,X,X,X,O
JSZIOTL,X,X,X,O,O
JSZIOLT,X,X,X,O,O
JSZLTIO,X,O,X,X,O
JSZLTOI,X,O,X,X,O
JSZLITO,X,O,X,X,O
JSZLIOT,X,X,X,X,O
JSZLOTI,X,X,X,X,O
JSZLOIT,X,X,X,X,O
JSZOTIL,X,X,X,O,O
JSZOTLI,X,X,X,O,O
JSZOITL,X,X,X,O,O
JSZOILT,X,X,X,O,O
JSZOLTI,X,X,X,O,O
JSZOLIT,X,X,X,O,O
JSOTILZ,X,O,O,O,O
JSOTIZL,X,O,X,O,O
JSOTLIZ,X,O,O,O,O
JSOTLZI,X,O,X,O,O
JSOTZIL,X,O,X,O,O
JSOTZLI,X,O,X,O,O
JSOITLZ,X,O,O,O,O
JSOITZL,X,O,X,O,O
JSOILTZ,X,O,O,O,O
JSOILZT,X,X,X,O,O
JSOIZTL,X,X,X,O,O
JSOIZLT,X,X,X,O,O
JSOLTIZ,X,O,O,O,O
JSOLTZI,X,O,X,O,O
JSOLITZ,X,O,O,O,O
JSOLIZT,X,X,X,O,O
JSOLZTI,X,X,X,O,O
JSOLZIT,X,X,X,O,O
JSOZTIL,X,X,X,O,O
JSOZTLI,X,X,X,O,O
JSOZITL,X,X,X,O,O
JSOZILT,X,X,X,O,O
JSOZLTI,X,X,X,O,O
JSOZLIT,X,X,X,O,O
JZTILSO,O,X,X,X,X
JZTILOS,O,X,X,X,X
JZTISLO,O,O,X,X,X
JZTISOL,O,O,X,X,X
JZTIOLS,O,X,X,X,X
JZTIOSL,O,O,X,X,X
JZTLISO,O,X,X,X,X
JZTLIOS,O,X,X,X,X
JZTLSIO,O,X,X,X,X
JZTLSOI,O,X,X,X,X
JZTLOIS,O,X,X,X,X
JZTLOSI,O,X,X,X,X
JZTSILO,O,O,X,X,X
JZTSIOL,O,O,X,X,X
JZTSLIO,O,O,X,X,X
JZTSLOI,O,O,X,X,X
JZTSOIL,O,O,X,X,X
JZTSOLI,O,O,X,X,X
JZTOILS,O,X,X,X,X
JZTOISL,O,O,X,X,X
JZTOLIS,O,X,X,X,X
JZTOLSI,O,X,X,X,X
JZTOSIL,O,O,X,X,X
JZTOSLI,O,O,X,X,X
JZITLSO,O,X,X,X,X
JZITLOS,O,X,X,X,X
JZITSLO,O,O,X,X,X
JZITSOL,O,O,X,X,X
JZITOLS,O,X,X,X,X
JZITOSL,O,O,X,X,X
JZILTSO,O,X,X,X,X
JZILTOS,O,X,X,X,X
JZILSTO,X,O,X,X,O
JZILSOT,O,X,X,X,O
JZILOTS,O,X,X,X,X
JZILOST,O,X,X,O,O
JZISTLO,O,O,X,X,O
JZISTOL,O,O,X,O,O
JZISLTO,X,O,X,X,O
JZISLOT,O,X,X,X,O
JZISOTL,O,X,X,O,O
JZISOLT,O,X,X,O,O
JZIOTLS,O,X,X,X,X
JZIOTSL,O,X,X,X,X
JZIOLTS,O,X,X,X,X
JZIOLST,O,X,X,O,O
JZIOSTL,O,X,X,O,O
JZIOSLT,O,X,X,O,O
JZLTISO,O,X,X,X,X
JZLTIOS,O,X,X,X,X
JZLTSIO,O,X,X,X,X
JZLTSOI,O,X,X,X,X
JZLTOIS,O,X,X,X,X
JZLTOSI,O,X,X,X,X
JZLITSO,O,X,X,X,X
JZLITOS,O,X,X,X,X
JZLISTO,X,O,X,X,O
JZLISOT,O,X,X,X,O
JZLIOTS,O,X,X,X,X
JZLIOST,O,X,X,O,O
JZLSTIO,X,O,X,X,O
JZLSTOI,X,O,X,X,O
JZLSITO,X,O,X,X,O
JZLSIOT,O,X,X,X,O
JZLSOTI,X,X,X,X,O
JZLSOIT,O,X,X,X,O
JZLOTIS,O,X,X,X,X
JZLOTSI,O,X,X,X,X
JZLOITS,O,X,X,X,X
JZLOIST,O,X,X,O,O
JZLOSTI,X,X,X,O,O
JZLOSIT,O,X,X,O,O
JZSTILO,O,O,X,X,O
JZSTIOL,O,O,X,O,O
JZSTLIO,O,O,X,X,O
JZSTLOI,O,O,X,X,O
JZSTOIL,O,O,X,O,O
JZSTOLI,O,O,X,O,O
JZSITLO,O,O,X,X,O
JZSITOL,O,O,X,O,O
JZSILTO,X,O,X,X,O
JZSILOT,O,X,X,X,O
JZSIOTL,O,X,X,O,O
JZSIOLT,O,X,X,O,O
JZSLTIO,X,O,X,X,O
JZSLTOI,X,O,X,X,O
JZSLITO,X,O,X,X,O
JZSLIOT,O,X,X,X,O
JZSLOTI,X,X,X,X,O
JZSLOIT,O,X,X,X,O
JZSOTIL,O,X,X,O,O
JZSOTLI,O,X,X,O,O
JZSOITL,O,X,X,O,O
JZSOILT,O,X,X,O,O
JZSOLTI,X,X,X,O,O
JZSOLIT,O,X,X,O,O
JZOTILS,O,X,X,X,X
JZOTISL,O,X,X,X,X
JZOTLIS,O,X,X,X,X
JZOTLSI,O,X,X,X,X
JZOTSIL,O,X,X,X,X
JZOTSLI,O,X,X,X,X
JZOITLS,O,X,X,X,X
JZOITSL,O,X,X,X,X
JZOILTS,O,X,X,X,X
JZOILST,O,X,X,O,O
JZOISTL,O,X,X,O,O
JZOISLT,O,X,X,O,O
JZOLTIS,O,X,X,X,X
JZOLTSI,O,X,X,X,X
JZOLITS,O,X,X,X,X
JZOLIST,O,X,X,O,O
JZOLSTI,X,X,X,O,O
JZOLSIT,O,X,X,O,O
JZOSTIL,O,X,X,O,O
JZOSTLI,O,X,X,O,O
JZOSITL,O,X,X,O,O
JZOSILT,O,X,X,O,O
JZOSLTI,X,X,X,O,O
JZOSLIT,O,X,X,O,O
JOTILSZ,X,O,X,O,O
JOTILZS,O,X,X,X,X
JOTISLZ,X,O,O,O,O
JOTISZL,X,O,X,O,O
JOTIZLS,O,X,X,X,X
JOTIZSL,O,O,X,X,X
JOTLISZ,X,O,X,O,O
JOTLIZS,O,X,X,X,X
JOTLSIZ,X,O,X,O,O
JOTLSZI,X,O,X,O,O
JOTLZIS,O,X,X,X,X
JOTLZSI,O,X,X,X,X
JOTSILZ,X,O,O,O,O
JOTSIZL,X,O,X,O,O
JOTSLIZ,X,O,O,O,O
JOTSLZI,X,O,X,O,O
JOTSZIL,X,O,X,O,O
JOTSZLI,X,O,X,O,O
JOTZILS,O,X,X,X,X
JOTZISL,O,O,X,X,X
JOTZLIS,O,X,X,X,X
JOTZLSI,O,X,X,X,X
JOTZSIL,O,O,X,X,X
JOTZSLI,O,O,X,X,X
JOITLSZ,X,O,X,O,O
JOITLZS,O,X,X,X,X
JOITSLZ,X,O,O,O,O
JOITSZL,X,O,X,O,O
JOITZLS,O,X,X,X,X
JOITZSL,O,O,X,X,X
JOILTSZ,X,X,X,O,O
JOILTZS,O,X,X,X,X
JOILSTZ,X,O,O,O,O
JOILSZT,X,X,X,O,O
JOILZTS,O,X,X,X,X
JOILZST,O,X,X,O,O
JOISTLZ,X,O,O,O,O
JOISTZL,X,O,X,O,O
JOISLTZ,X,O,O,O,O
JOISLZT,X,X,X,O,O
JOISZTL,X,X,X,O,O
JOISZLT,X,X,X,O,O
JOIZTLS,O,X,X,X,X
JOIZTSL,O,X,X,X,X
JOIZLTS,O,X,X,X,X
JOIZLST,O,X,X,O,O
JOIZSTL,O,X,X,O,O
JOIZSLT,O,X,X,O,O
JOLTISZ,X,X,X,O,O
JOLTIZS,O,X,X,X,X
JOLTSIZ,X,X,X,O,O
JOLTSZI,X,X,X,O,O
JOLTZIS,O,X,X,X,X
JOLTZSI,O,X,X,X,X
JOLITSZ,X,X,X,O,O
JOLITZS,O,X,X,X,X
JOLISTZ,X,O,O,O,O
JOLISZT,X,X,X,O,O
JOLIZTS,O,X,X,X,X
JOLIZST,O,X,X,O,O
JOLSTIZ,X,O,O,O,O
JOLSTZI,X,O,X,O,O
JOLSITZ,X,O,O,O,O
JOLSIZT,X,X,X,O,O
JOLSZTI,X,X,X,O,O
JOLSZIT,X,X,X,O,O
JOLZTIS,O,X,X,X,X
JOLZTSI,X,X,X,X,X
JOLZITS,O,X,X,X,X
JOLZIST,O,X,X,O,O
JOLZSTI,X,X,X,O,O
JOLZSIT,O,X,X,O,O
JOSTILZ,X,O,O,O,O
JOSTIZL,X,O,X,O,O
JOSTLIZ,X,O,O,O,O
JOSTLZI,X,O,X,O,O
JOSTZIL,X,O,X,O,O
JOSTZLI,X,O,X,O,O
JOSITLZ,X,O,O,O,O
JOSITZL,X,O,X,O,O
JOSILTZ,X,O,O,O,O
JOSILZT,X,X,X,O,O
JOSIZTL,X,X,X,O,O
JOSIZLT,X,X,X,O,O
JOSLTIZ,X,O,O,O,O
JOSLTZI,X,O,X,O,O
JOSLITZ,X,O,O,O,O
JOSLIZT,X,X,X,O,O
JOSLZTI,X,X,X,O,O
JOSLZIT,X,X,X,O,O
JOSZTIL,X,X,X,O,O
JOSZTLI,X,X,X,O,O
JOSZITL,X,X,X,O,O
JOSZILT,X,X,X,O,O
JOSZLTI,X,X,X,O,O
JOSZLIT,X,X,X,O,O
JOZTILS,O,X,X,X,X
JOZTISL,O,X,X,X,X
JOZTLIS,O,X,X,X,X
JOZTLSI,O,X,X,X,X
JOZTSIL,O,X,X,X,X
JOZTSLI,O,X,X,X,X
JOZITLS,O,X,X,X,X
JOZITSL,O,X,X,X,X
JOZILTS,O,X,X,X,X
JOZILST,O,X,X,O,O
JOZISTL,O,X,X,O,O
JOZISLT,O,X,X,O,O
JOZLTIS,O,X,X,X,X
JOZLTSI,O,X,X,X,X
JOZLITS,O,X,X,X,X
JOZLIST,O,X,X,O,O
JOZLSTI,X,X,X,O,O
JOZLSIT,O,X,X,O,O
JOZSTIL,O,X,X,O,O
JOZSTLI,O,X,X,O,O
JOZSITL,O,X,X,O,O
JOZSILT,O,X,X,O,O
JOZSLTI,X,X,X,O,O
JOZSLIT,O,X,X,O,O
STILJZO,X,O,O,X,O
STILJOZ,X,O,O,O,O
STILZJO,O,O,O,X,O
STILZOJ,O,O,O,X,X
STILOJZ,X,O,O,O,O
STILOZJ,O,O,O,O,X
STIJLZO,X,O,O,X,O
STIJLOZ,X,O,O,O,O
STIJZLO,X,O,X,X,O
STIJZOL,X,O,X,O,O
STIJOLZ,X,O,O,O,O
STIJOZL,X,O,X,O,O
STIZLJO,O,O,O,X,O
STIZLOJ,O,O,O,X,X
STIZJLO,O,O,X,X,O
STIZJOL,O,O,X,O,O
STIZOLJ,O,O,O,O,X
STIZOJL,O,O,X,O,X
STIOLJZ,X,O,O,O,O
STIOLZJ,O,O,O,O,X
STIOJLZ,X,O,O,O,O
STIOJZL,X,O,X,O,O
STIOZLJ,O,O,O,O,X
STIOZJL,O,O,X,O,X
STLIJZO,X,O,O,X,O
STLIJOZ,X,O,O,O,O
STLIZJO,O,O,O,X,O
STLIZOJ,O,O,O,X,X
STLIOJZ,X,O,O,O,O
STLIOZJ,O,O,O,O,X
STLJIZO,X,O,O,X,O
STLJIOZ,X,O,O,O,O
STLJZIO,X,O,X,X,O
STLJZOI,X,O,X,X,O
STLJOIZ,X,O,O,O,O
STLJOZI,X,O,X,O,O
STLZIJO,O,O,O,X,O
STLZIOJ,O,O,O,X,X
STLZJIO,O,O,X,X,O
STLZJOI,O,O,X,X,O
STLZOIJ,O,O,O,X,X
STLZOJI,O,O,X,X,X
STLOIJZ,X,O,O,O,O
STLOIZJ,O,O,O,O,X
STLOJIZ,X,O,O,O,O
STLOJZI,X,O,X,O,O
STLOZIJ,O,O,O,O,X
STLOZJI,O,O,X,O,X
STJILZO,X,O,O,X,O
STJILOZ,X,O,O,O,O
STJIZLO,X,O,X,X,O
STJIZOL,X,O,X,O,O
STJIOLZ,X,O,O,O,O
STJIOZL,X,O,X,O,O
STJLIZO,X,O,O,X,O
STJLIOZ,X,O,O,O,O
STJLZIO,X,O,X,X,O
STJLZOI,X,O,X,X,O
STJLOIZ,X,O,O,O,O
STJLOZI,X,O,X,O,O
STJZILO,X,O,X,X,O
STJZIOL,X,O,X,O,O
STJZLIO,X,O,X,X,O
STJZLOI,X,O,X,X,O
STJZOIL,X,O,X,O,O
STJZOLI,X,O,X,O,O
STJOILZ,X,O,O,O,O
STJOIZL,X,O,X,O,O
STJOLIZ,X,O,O,O,O
STJOLZI,X,O,X,O,O
STJOZIL,X,O,X,O,O
STJOZLI,X,O,X,O,O
STZILJO,O,O,O,X,O
STZILOJ,O,O,O,X,X
STZIJLO,O,O,X,X,O
STZIJOL,O,O,X,O,O
STZIOLJ,O,O,O,O,X
STZIOJL,O,O,X,O,X
STZLIJO,O,O,O,X,O
STZLIOJ,O,O,O,X,X
STZLJIO,O,O,X,X,O
STZLJOI,O,O,X,X,O
STZLOIJ,O,O,O,X,X
STZLOJI,O,O,X,X,X
STZJILO,O,O,X,X,O
STZJIOL,O,O,X,O,O
STZJLIO,O,O,X,X,O
STZJLOI,O,O,X,X,O
STZJOIL,O,O,X,O,O
STZJOLI,O,O,X,O,O
STZOILJ,O,O,O,O,X
STZOIJL,O,O,X,O,X
STZOLIJ,O,O,O,O,X
STZOLJI,O,O,X,O,X
STZOJIL,O,O,X,O,X
STZOJLI,O,O,X,O,X
STOILJZ,X,O,O,O,O
STOILZJ,O,O,O,O,X
STOIJLZ,X,O,O,O,O
STOIJZL,X,O,X,O,O
STOIZLJ,O,O,O,O,X
STOIZJL,O,O,X,O,X
STOLIJZ,X,O,O,O,O
STOLIZJ,O,O,O,O,X
STOLJIZ,X,O,O,O,O
STOLJZI,X,O,X,O,O
STOLZIJ,O,O,O,O,X
STOLZJI,O,O,X,O,X
STOJILZ,X,O,O,O,O
STOJIZL,X,O,X,O,O
STOJLIZ,X,O,O,O,O
STOJLZI,X,O,X,O,O
STOJZIL,X,O,X,O,O
STOJZLI,X,O,X,O,O
STOZILJ,O,O,O,O,X
STOZIJL,O,O,X,O,X
STOZLIJ,O,O,O,O,X
STOZLJI,O,O,X,O,X
STOZJIL,O,O,X,O,X
STOZJLI,O,O,X,O,X
SITLJZO,X,O,O,X,O
SITLJOZ,X,O,O,O,O
SITLZJO,O,O,O,X,O
SITLZOJ,O,O,O,X,X
SITLOJZ,X,O,O,O,O
SITLOZJ,O,O,O,O,X
SITJLZO,X,O,O,X,O
SITJLOZ,X,O,O,O,O
SITJZLO,X,O,X,X,O
SITJZOL,X,O,X,O,O
SITJOLZ,X,O,O,O,O
SITJOZL,X,O,X,O,O
SITZLJO,O,O,O,X,O
SITZLOJ,O,O,O,X,X
SITZJLO,O,O,X,X,O
SITZJOL,O,O,X,O,O
SITZOLJ,O,O,O,O,X
SITZOJL,O,O,X,O,X
SITOLJZ,X,O,O,O,O
SITOLZJ,O,O,O,O,X
SITOJLZ,X,O,O,O,O
SITOJZL,X,O,X,O,O
SITOZLJ,O,O,O,O,X
SITOZJL,O,O,X,O,X
SILTJZO,X,O,O,X,O
SILTJOZ,X,O,O,O,O
SILTZJO,O,O,O,X,O
SILTZOJ,O,O,O,X,X
SILTOJZ,X,O,O,O,O
SILTOZJ,O,O,O,O,X
SILJTZO,X,O,O,X,O
